,Company(1),Business Description,Investment,Interest(6)(12),Acquisition  Date,Amortized  Cost,Fair Value
155,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"First lien senior secured revolving loan ($1,000 par due 11/2017)",7.75% (Base Rate + 4.25%/M),11/3/2014,1000.0,1000
156,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"First lien senior secured loan ($3,000 par due 12/2019)",9.75% (Libor + 8.75%/M),12/3/2015,3000.0,3000
157,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"First lien senior secured loan ($3,556 par due 5/2019)",9.75% (Libor + 8.75%/M),11/3/2014,3512.0,3556
158,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 1,481 shares of Series A preferred stock (expires 12/2025)",0,12/3/2015,0.0,0
159,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (25)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 2,037 shares of Series A preferred stock (expires 11/2024)",0,11/3/2014,93.0,147
160,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",0,3/20/2014,0.0,11
161,"iControl Networks, Inc. and uControl Acquisition, LLC",Software and services company for the connected home market,"Second lien senior secured loan ($20,000 par due 3/2019)",9.50% (Libor + 8.50%/M),2/19/2015,19750.0,20150
162,"iControl Networks, Inc. and uControl Acquisition, LLC",Software and services company for the connected home market,"Warrant to purchase up to 385,616 shares of Series D preferred stock (expires 2/2022)",0,2/19/2015,0.0,0
163,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",0,10/15/2012,88.0,71
164,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Second lien senior secured loan ($2,500 par due 7/2019)",9.85% (Libor + 8.85%/M),6/16/2015,2260.0,2500
165,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Second lien senior secured loan ($22,500 par due 7/2019)",9.85% (Libor + 8.85%/M),6/16/2015,22227.0,22500
166,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Warrant to purchase up to 68,187 shares of Series G-3 convertible preferred stock (expires 6/2022)",0,6/16/2015,303.0,290
167,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"First lien senior secured loan ($2,504 par due 8/2022)",8.25% (Libor + 7.25%/Q),8/4/2015,2504.0,2504
168,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"First lien senior secured loan ($44,550 par due 8/2022)",8.25% (Libor + 7.25%/Q),8/4/2015,44550.0,44550
169,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"First lien senior secured loan ($14,850 par due 8/2022)",8.25% (Libor + 7.25%/Q),8/4/2015,14850.0,14850
170,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Preferred stock (1,485 shares)",0,8/4/2015,1485.0,2508
171,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc. (25)",Provider of SaaS-based software solutions to the insurance and financial services industry,"Common stock (647,542 shares)",0,8/4/2015,15.0,25
172,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock (expires 9/2023)",0,9/24/2013,214.0,383
173,"Itel Laboratories, Inc. (25)",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",0,6/29/2012,1000.0,1254
174,"Market Track Holdings, LLC",Business media consulting services company,"Preferred stock (1,685 shares)",0,12/13/2013,2221.0,2538
175,"Market Track Holdings, LLC",Business media consulting services company,"Common stock (16,251 shares)",0,12/13/2013,2221.0,2278
176,"Maximus Holdings, LLC",Provider of software simulation tools and related services,"Warrant to purchase up to 1,050,013 shares of common stock (expires 10/2019)",0,12/13/2013,0.0,91
177,"Ministry Brands, LLC and MB Parent Holdings, LLC (25)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($244 par due 11/2021),5.25% (Libor + 4.25%/Q),7/12/2016,244.0,244
178,"Ministry Brands, LLC and MB Parent Holdings, LLC (25)",Software and payment services provider to faith-based institutions,"First lien senior secured loan ($38,214 par due 11/2021)",10.75% (Libor + 9.75%/Q),3/16/2016,37992.0,38214
179,"Ministry Brands, LLC and MB Parent Holdings, LLC (25)",Software and payment services provider to faith-based institutions,"First lien senior secured loan ($24,875 par due 11/2021)",10.75% (Libor + 9.75%/Q),3/16/2016,24875.0,24875
180,"Ministry Brands, LLC and MB Parent Holdings, LLC (25)",Software and payment services provider to faith-based institutions,"First lien senior secured loan ($9,686 par due 11/2021)",10.75% (Libor + 9.75%/Q),3/16/2016,9686.0,9686
181,"Ministry Brands, LLC and MB Parent Holdings, LLC (25)",Software and payment services provider to faith-based institutions,"Class A common units (2,130,772 units)",0,11/20/2015,2131.0,2131
182,"MVL Group, Inc. (8)",Marketing research provider,Senior subordinated loan ($450 par due 7/2012),0,4/1/2010,226.0,226
183,"MVL Group, Inc. (8)",Marketing research provider,"Common stock (560,716 shares)",0,4/1/2010,0.0,0
184,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers","Second lien senior secured loan ($24,100 par due 12/2021)",9.75% (Libor + 8.75%/Q),6/1/2015,24100.0,22413
185,"NSM Insurance Group, LLC (25)",Insurance program administrator,"First lien senior secured loan ($13,222 par due 9/2022)",5.75% (Libor + 4.75%/Q),9/1/2016,13222.0,13222
186,"PayNearMe, Inc.",Electronic cash payment system provider,"First lien senior secured loan ($10,000 par due 9/2019)",9.50% (Libor + 8.50%/M),3/11/2016,9576.0,10000
187,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,3/11/2016,207.0,192
188,"PHL Investors, Inc., and PHL Holding Co. (8)",Mortgage services,Class A common stock (576 shares),0,7/31/2012,3768.0,0
189,"Planview, Inc.",Provider of project and portfolio management software,"Second lien senior secured loan ($30,000 par due 8/2022)",10.50% (Libor + 9.50%/Q),8/9/2016,30000.0,30000
190,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"First lien senior secured loan ($5,096 par due 1/2018)",0,6/25/2015,4669.0,2549
191,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",0,6/25/2015,125.0,0
192,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",Fixed asset financial management software provider,"Second lien senior secured loan ($30,000 par due 2/2023)",10.75% (Libor + 9.75%/Q),2/23/2015,29774.0,30000
193,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",Fixed asset financial management software provider,"Second lien senior secured loan ($50,000 par due 2/2023)",10.75% (Libor + 9.75%/Q),2/23/2015,49603.0,50000
194,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",Fixed asset financial management software provider,"Class A common stock (1,980 shares)",0,2/23/2015,1980.0,7
195,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",Fixed asset financial management software provider,"Class B common stock (989,011 shares)",0,2/23/2015,20.0,3507
196,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",0,3/2/2012,1000.0,1473
197,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"First lien senior secured loan ($140,286 par due 8/2022)",9.25% (Libor + 8.25%/Q),8/22/2016,138324.0,140286
198,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",0,8/22/2016,7445.0,7445
199,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class B common shares (1,841,609 shares)",0,8/22/2016,75.0,75
200,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250.0,266
201,Rocket Fuel Inc.,Provider of open and integrated software for digital marketing optimization,"Common stock (11,405 shares)",0,9/9/2014,40.0,16
202,Sonian Inc.,Cloud-based email archiving platform,"First lien senior secured loan ($7,500 par due 9/2019)",9.00% (Libor + 8.00%/M),9/9/2015,7346.0,7500
203,Sonian Inc.,Cloud-based email archiving platform,"Warrant to purchase up to 169,045 shares of Series C preferred stock (expires 9/2022)",0,9/9/2015,93.0,93
204,"Talari Networks, Inc.",Networking equipment provider,"First lien senior secured loan ($6,000 par due 12/2018)",9.75% (Libor + 8.75%/M),8/3/2015,5923.0,6000
205,"Talari Networks, Inc.",Networking equipment provider,"Warrant to purchase up to 421,052 shares of Series D-1 preferred stock (expires 8/2022)",0,8/3/2015,50.0,50
206,"The Greeley Company, Inc. and HCP Acquisition Holdings, LLC (8)",Healthcare compliance advisory services,"Senior subordinated loan ($10,131 par due 3/2017)",0,3/5/2013,0.0,1000
207,"The Greeley Company, Inc. and HCP Acquisition Holdings, LLC (8)",Healthcare compliance advisory services,"Class A units (14,293,110 units)",0,6/26/2008,12793.0,0
208,"TraceLink, Inc. (25)",Supply chain management software provider for the pharmaceutical industry,"First lien senior secured revolving loan ($4,400 par due 12/2016)",7.50%(Base Rate + 4.00%/M),1/2/2015,4400.0,4400
209,"TraceLink, Inc. (25)",Supply chain management software provider for the pharmaceutical industry,"First lien senior secured loan ($4,065 par due 1/2019)",8.50% (Libor + 7.00%/M),1/2/2015,4004.0,4065
210,"TraceLink, Inc. (25)",Supply chain management software provider for the pharmaceutical industry,"Warrant to purchase up to 283,353 shares of Series A-2 preferred stock (expires 1/2025)",0,1/2/2015,146.0,1040
211,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",0,12/13/2013,4503.0,2975
212,WorldPay Group PLC (9),Payment processing company,"C2 shares (73,974 shares)",0,10/21/2015,11.0,0
213,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,"Second lien senior secured loan ($50,000 par due 3/2024)",10.00% (Libor + 9.00%/Q),9/6/2016,49893.0,50000
214,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($4,438 par due 3/2019)",4.00% (Libor + 3.00%/Q),4/24/2014,4438.0,4216
215,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($6,613 par due 3/2019)",4.00% (Libor + 3.00%/Q),4/24/2014,6613.0,6282
216,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($9,500 par due 3/2019)",6.55% (Libor + 5.55%/Q),4/24/2014,9500.0,8740
217,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,"First lien senior secured loan ($50,100 par due 3/2019)",6.55% (Libor + 5.55%/Q),4/24/2014,50100.0,46092
218,"Feradyne Outdoors, LLC and Bowhunter Holdings, LLC",Provider of branded archery and bowhunting accessories,Common units (300 units),0,4/24/2014,3733.0,2034
219,Indra Holdings Corp.,"Designer, marketer, and distributor of rain and cold weather products","Second lien senior secured loan ($80,000 par due 11/2021)",8.50% (Libor + 7.50%/Q),5/1/2014,79117.0,61600
220,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,Warrant to purchase up to 941 shares of preferred stock (expires 6/2021),0,7/27/2011,0.0,1424
221,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Warrant to purchase up to 1,654,678 shares of common stock (expires 6/2021)",0,7/27/2011,0.0,579
222,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($7,687 par due 4/2018)",7.84% (Libor + 7.00%/Q),4/2/2012,7676.0,7686
223,"Oak Parent, Inc.",Manufacturer of athletic apparel,First lien senior secured loan ($43 par due 4/2018),9.50%(Base Rate + 6.00%/Q),4/2/2012,43.0,43
224,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($2,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),12/23/2014,1996.0,2000
225,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($54,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),12/23/2014,53773.0,54000
226,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Second lien senior secured loan ($10,000 par due 6/2021)",9.54% (Libor + 8.54%/Q),12/23/2014,9962.0,10000
227,"Plantation Products, LLC, Seed Holdings, Inc. and Flora Parent, Inc.",Provider of branded lawn and garden products,"Common stock (30,000 shares)",0,12/23/2014,3000.0,4212
228,SHO Holding I Corporation,Manufacturer and distributor of slip resistant footwear,"Second lien senior secured loan ($100,000 par due 4/2023)",9.50% (Libor + 8.50%/Q),10/27/2015,97753.0,99000
229,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories","Second lien senior secured loan ($35,425 par due 10/2021)",11.50% (Libor + 10.50%/Q),4/22/2015,35425.0,35425
230,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories","Second lien senior secured loan ($54,000 par due 10/2021)",11.50% (Libor + 10.50%/Q),4/22/2015,54000.0,54000
231,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories","Class A preferred units (50,000 units)",0,3/14/2014,5000.0,4544
232,"Shock Doctor, Inc. and Shock Doctor Holdings, LLC (7)","Developer, marketer and distributor of sports protection equipment and accessories","Class C preferred units (50,000 units)",0,4/22/2015,5000.0,4543
233,"The Step2 Company, LLC (8)",Toy manufacturer,"Second lien senior secured loan ($27,583 par due 9/2019)",10.00%,4/1/2010,27501.0,27583
234,"The Step2 Company, LLC (8)",Toy manufacturer,"Second lien senior secured loan ($48,318 par due 9/2019)",15.00% PIK,4/1/2010,30307.0,48318
235,"The Step2 Company, LLC (8)",Toy manufacturer,"Common units (1,116,879 units)",0,4/1/2011,24.0,3418
236,"The Step2 Company, LLC (8)",Toy manufacturer,"Class B common units (126,278,000 units)",0,10/30/2014,0.0,0
237,"The Step2 Company, LLC (8)",Toy manufacturer,"Warrant to purchase up to 3,157,895 units",0,4/1/2010,0.0,85
238,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($1,576 par due 12/2022)",9.75% (Libor + 8.75%/Q),12/11/2014,1570.0,1576
239,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($54,000 par due 12/2022)",9.75% (Libor + 8.75%/Q),12/11/2014,53573.0,54000
240,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Second lien senior secured loan ($91,697 par due 12/2022)",9.75% (Libor + 8.75%/Q),12/11/2014,90987.0,91697
241,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Common stock (3,353,370 shares)",0,12/11/2014,3353.0,5160
242,"Varsity Brands Holding Co., Inc., Hercules Achievement, Inc., Hercules Achievement Holdings, Inc. and Hercules VB Holdings, Inc.","Leading manufacturer and distributor of textiles, apparel & luxury goods","Common stock (3,353,371 shares)",0,12/11/2014,4147.0,6381
243,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($3,893 par due 8/2017)","14.50% (Libor + 11.50% Cash, 2.00% PIK/M)",12/16/2013,3743.0,3940
244,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,First lien senior secured loan ($20 par due 8/2017),0,12/16/2013,19.0,20
245,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Series 1B preferred stock (12,976 shares)",0,6/21/2016,250.0,56
246,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Warrant to purchase up to 125,000 shares of Series 2 preferred stock (expires 12/2023)",0,6/30/2016,146.0,54
247,"CEI Kings Mountain Investor, LP",Gas turbine power generation facilities operator,"Senior subordinated loan ($31,727 par due 3/2017)",11.00% PIK,3/11/2016,31673.0,31727
248,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($44,460 par due 12/2020)",10.00%,8/8/2014,44460.0,42904
249,"CPV Maryland Holding Company II, LLC",Gas turbine power generation facilities operator,Warrant to purchase up to 4 units of common stock (expires 8/2018),0,8/8/2014,0.0,200
250,"DESRI VI Management Holdings, LLC",Wind power generation facility operator,"Senior subordinated loan ($25,000 par due 12/2021)",9.75%,12/24/2014,25000.0,25000
251,"DESRI VI Management Holdings, LLC",Wind power generation facility operator,Non-Controlling units (10.0 units),0,12/24/2014,1606.0,2316
252,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($25,000 par due 11/2021)",6.50% (Libor + 5.50%/Q),11/13/2014,24784.0,24125
253,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($19,258 par due 12/2021)","8.00% Cash, 5.25% PIK",11/13/2014,19258.0,18776
254,"Green Energy Partners, Stonewall LLC and Panda Stonewall Intermediate Holdings II LLC",Gas turbine power generation facilities operator,"Senior subordinated loan ($90,023 par due 12/2021)","8.00% Cash, 5.25% PIK",11/13/2014,90023.0,87772
255,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"First lien senior secured loan ($8,743 par due 10/2018)","13.00% (Libor + 11.00% Cash, 1.00%PIK/M)",3/31/2015,8664.0,7570
256,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,First lien senior secured loan ($31 par due 10/2018),0,3/31/2015,31.0,27
257,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock (expires 7/2023)",0,7/25/2013,0.0,0
258,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($10,000 par due 2/2020)",0,2/20/2014,8764.0,0
259,Moxie Liberty LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($34,788 par due 8/2020)",7.50% (Libor + 6.50%/Q),8/21/2013,34550.0,34440
260,Moxie Patriot LLC,Gas turbine power generation facilities operator,"First lien senior secured loan ($34,345 par due 12/2020)",6.75% (Libor + 5.75%/Q),12/19/2013,34113.0,33315
261,Panda Power Annex Fund Hummel Holdings II LLC,Gas turbine power generation facilities operator,"Senior subordinated loan ($117,869 par due 10/2016)",13.00% PIK,10/27/2015,117723.0,117868
262,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($19,850 par due 4/2019)",7.25% (Libor + 6.00%/Q),4/3/2013,19763.0,18064
263,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($24,625 par due 3/2022)",7.25% (Libor + 6.25%/Q),3/6/2015,23615.0,21424
264,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",0,10/20/2014,21654.0,25062
265,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($28,581 par due 12/2018)",9.25% (Libor + 8.25%/Q),11/27/2006,28581.0,25437
266,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($10,919 par due 12/2018)",9.25% (Libor + 8.25%/Q),11/27/2006,10922.0,9718
267,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Promissory note ($24,539 par due 12/2023)",0,11/27/2006,13770.0,3477
268,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Warrant to purchase up to 23,750 units of Series D common stock (expires 12/2023)",0,12/18/2013,24.0,0
269,"Benihana, Inc. (25)",Restaurant owner and operator,First lien senior secured revolving loan ($808 par due 7/2018),7.25% (Libor + 6.00%/Q),8/21/2012,808.0,759
270,"Benihana, Inc. (25)",Restaurant owner and operator,"First lien senior secured revolving loan ($1,615 par due 7/2018)",8.25%(Base Rate + 4.75%/Q),8/21/2012,1615.0,1518
271,"Benihana, Inc. (25)",Restaurant owner and operator,"First lien senior secured loan ($4,801 par due 1/2019)",7.25% (Libor + 6.00%/Q),8/21/2012,4802.0,4514
272,"DineInFresh, Inc.",Meal-delivery provider,"First lien senior secured loan ($5,500 par due 7/2018)",9.75% (Libor + 8.75%/M),12/19/2014,5462.0,5500
273,"DineInFresh, Inc.",Meal-delivery provider,"Warrant to purchase up to 143,079 shares of Series A preferred stock (expires 12/2024)",0,12/19/2014,0.0,5
274,Garden Fresh Restaurant Corp. (25),Restaurant owner and operator,First lien senior secured revolving loan,0,10/3/2013,0.0,0
275,Garden Fresh Restaurant Corp. (25),Restaurant owner and operator,"First lien senior secured loan ($40,141 par due 7/2018)",10.50% (Libor + 9.00%/Q),10/3/2013,40141.0,38134
276,"Global Franchise Group, LLC and GFG Intermediate Holding, Inc.",Worldwide franchisor of quick service restaurants,"First lien senior secured loan ($60,811 par due 12/2019)",10.49% (Libor + 9.49%/Q),12/18/2014,60811.0,60811
277,"Heritage Food Service Group, Inc. and WCI-HFG Holdings, LLC",Distributor of repair and replacement parts for commercial kitchen equipment,"Second lien senior secured loan ($31,645 par due 10/2022)",9.50% (Libor + 8.50%/Q),10/20/2015,31645.0,31645
278,"Heritage Food Service Group, Inc. and WCI-HFG Holdings, LLC",Distributor of repair and replacement parts for commercial kitchen equipment,"Preferred units (3,000,000 units)",0,10/20/2015,3000.0,3016
279,"Orion Foods, LLC (8)",Convenience food service retailer,"First lien senior secured loan ($1,180 par due 9/2015)",0,4/1/2010,1180.0,516
280,"Orion Foods, LLC (8)",Convenience food service retailer,"Second lien senior secured loan ($19,420 par due 9/2015)",0,4/1/2010,0.0,0
281,"Orion Foods, LLC (8)",Convenience food service retailer,"Preferred units (10,000 units)",0,10/28/2010,0.0,0
282,"Orion Foods, LLC (8)",Convenience food service retailer,"Class A common units (25,001 units)",0,4/1/2010,0.0,0
283,"Orion Foods, LLC (8)",Convenience food service retailer,"Class B common units (1,122,452 units)",0,4/1/2010,0.0,0
284,"OTG Management, LLC (25)",Airport restaurant operator,"First lien senior secured loan ($76,613 par due 8/2021)",9.50% (Libor + 8.50%/Q),8/26/2016,76613.0,76613
285,"OTG Management, LLC (25)",Airport restaurant operator,"First lien senior secured loan ($24,688 par due 8/2021)",9.50% (Libor + 8.50%/Q),8/26/2016,24688.0,24688
286,"OTG Management, LLC (25)",Airport restaurant operator,"Senior subordinated loan ($20,340 par due 2/2022)",17.50% PIK,8/26/2016,20178.0,20340
287,"OTG Management, LLC (25)",Airport restaurant operator,"Class A preferred units (3,000,000 units)",0,8/26/2016,30000.0,30000
288,"OTG Management, LLC (25)",Airport restaurant operator,"Common units (3,000,000 units)",0,1/5/2011,3000.0,11148
289,"OTG Management, LLC (25)",Airport restaurant operator,Warrant to purchase up to 7.73% of common units (expires 6/2018),0,6/19/2008,100.0,24529
290,"OTG Management, LLC (25)",Airport restaurant operator,Warrant to purchase 0.60 shares of the common units (expires 12/2018),0,8/26/2016,0.0,0
291,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($34,615 par due 2/2019)",8.75% (Libor + 7.75%/Q),3/13/2014,34446.0,33922
292,"AllBridge Financial, LLC (8)",Asset management services,Equity interests,0,4/1/2010,0.0,524
293,Callidus Capital Corporation (8),Asset management services,Common stock (100 shares),0,4/1/2010,3000.0,1668
294,Ciena Capital LLC (8)(25),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2016)",6.00%,11/29/2010,14000.0,14000
295,Ciena Capital LLC (8)(25),Real estate and small business loan servicer,First lien senior secured loan ($250 par due 12/2016),12.00%,11/29/2010,250.0,250
296,Ciena Capital LLC (8)(25),Real estate and small business loan servicer,First lien senior secured loan ($500 par due 12/2016),12.00%,11/29/2010,500.0,500
297,Ciena Capital LLC (8)(25),Real estate and small business loan servicer,"First lien senior secured loan ($1,250 par due 12/2016)",12.00%,11/29/2010,1250.0,1250
298,Ciena Capital LLC (8)(25),Real estate and small business loan servicer,Equity interests,0,11/29/2010,34974.0,17082
299,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 8/2022)",11.00% (Libor + 9.75%/Q),5/10/2012,28000.0,28000
300,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),0,11/30/2012,0.0,0
301,Imperial Capital Group LLC,Investment services,"Class A common units (32,369 units)",0,5/10/2007,7870.0,11812
302,Imperial Capital Group LLC,Investment services,"2006 Class B common units (10,605 units)",0,5/10/2007,1.0,2
303,Imperial Capital Group LLC,Investment services,"2007 Class B common units (1,323 units)",0,5/10/2007,0.0,0
304,"Ivy Hill Asset Management, L.P. (8)(10)",Asset management services,Member interest (100.00% interest),0,6/15/2009,170961.0,233464
305,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC (10)",Asset-backed financial services company,"First lien senior secured loan ($34,900 par due 6/2017)",10.47% (Libor + 10.00%/Q),6/24/2014,34900.0,34900
306,"LSQ Funding Group, L.C. and LM LSQ Investors LLC (10)(25)",Asset based lender,"Senior subordinated loan ($30,000 par due 6/2021)",10.50%,6/25/2015,30000.0,30000
307,"LSQ Funding Group, L.C. and LM LSQ Investors LLC (10)(25)",Asset based lender,"Membership units (3,275,000 units)",0,6/25/2015,3275.0,3309
308,"Component Hardware Group, Inc. (25)",Commercial equipment,"First lien senior secured revolving loan ($1,867 par due 7/2019)",5.50% (Libor + 4.50%/Q),7/1/2013,1867.0,1867
309,"Component Hardware Group, Inc. (25)",Commercial equipment,"First lien senior secured loan ($8,001 par due 7/2019)",5.50% (Libor + 4.50%/Q),7/1/2013,8001.0,8001
310,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC (25)",Cutting tool provider to the metalworking industry,"Senior subordinated loan ($28,064 par due 9/2020)","10.00% Cash, 1.00% PIK",8/13/2015,28064.0,28064
311,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC (25)",Cutting tool provider to the metalworking industry,Class A membership units (750 units),0,3/28/2014,896.0,1521
312,"Ioxus, Inc",Energy storage devices,First lien senior secured loan ($662 par due 8/2017),12.00% PIK,8/24/2016,662.0,662
