,Industry,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
146,Software & Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.8 par due 4/2018),,,12/19/2014,,1.3,0.0
147,Software & Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.",,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,,12/19/2014,,0.0,0.0
148,Software & Services,Doxim Inc.,Enterprise content management software provider,First lien senior secured loan ($10.2 par due 2/2024),7.95% (Libor + 6.00%/Q),,2/28/2018,,10.1,10.2
149,Software & Services,Doxim Inc.,,First lien senior secured loan ($6.8 par due 2/2024),7.90% (Libor + 6.00%/Q),,2/28/2018,,6.8,6.8
150,Software & Services,"Dynatrace, Inc.",Web and mobile cloud performance testing and monitoring services provider,"Common stock (790,416 shares)",,,8/5/2019,,2.9,20.0
151,Software & Services,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.5 par due 5/2026),7.70% (Libor + 5.75%/Q),,5/10/2019,,29.5,29.5
152,Software & Services,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",,First lien senior secured loan ($20.8 par due 5/2026),7.70% (Libor + 5.75%/Q),,5/10/2019,,20.8,20.8
153,Software & Services,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",,First lien senior secured loan ($10.8 par due 5/2026),7.70% (Libor + 5.75%/Q),,5/10/2019,,10.8,10.8
154,Software & Services,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",,First lien senior secured loan ($4.1 par due 5/2026),7.85% (Libor + 5.75%/Q),,5/10/2019,,4.1,4.1
155,Software & Services,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",,"Partnership units (5,034,483 units)",,,5/10/2019,,5.0,5.6
156,Software & Services,Episerver Inc. and Goldcup 17308 AB (17),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.1 par due 10/2024),6.00% (EURIBOR + 6.00%/M),,3/22/2019,,6.1,6.0
157,Software & Services,Episerver Inc. and Goldcup 17308 AB (17),,First lien senior secured loan ($27.4 par due 10/2024),7.55% (Libor + 5.75%/M),,10/9/2018,,27.4,27.2
158,Software & Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (17)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($1.4 par due 9/2025),7.40% (Libor + 5.50%/Q),,9/18/2019,,1.4,1.3
159,Software & Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (17)",,First lien senior secured loan ($59.5 par due 9/2025),7.40% (Libor + 5.50%/Q),,9/18/2019,,59.5,58.9
160,Software & Services,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (17)",,"Preferred equity (4,599 shares)",,,9/18/2019,,4.6,4.6
161,Software & Services,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,,3/20/2014,,0.0,0.0
162,Software & Services,FM: Systems Group LLC (17),Provider of facilities and space management software solutions,First lien senior secured loan ($26.6 par due 12/2024),8.30% (Libor + 6.50%/M),,12/2/2019,,26.6,26.3
163,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management (“HCM”) and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($16.8 par due 9/2023),7.55% (Libor + 5.75%/M),,9/19/2017,,16.8,16.8
164,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",,First lien senior secured loan ($8.3 par due 9/2023),7.55% (Libor + 5.75%/M),,9/19/2017,,8.3,8.3
165,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",,"Class A preferred units (4,574 units)",9.00% PIK,,9/18/2017,,5.1,5.6
166,Software & Services,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",,"Class B common units (499,050 units)",,,9/18/2017,,0.0,3.2
167,Software & Services,Genesis Acquisition Co. and Genesis Holding Co. (17),Child care management software and services provider,First lien senior secured revolving loan ($0.5 par due 7/2024),5.70% (Libor + 3.75%/Q),,7/31/2018,,0.5,0.5
168,Software & Services,Genesis Acquisition Co. and Genesis Holding Co. (17),,Second lien senior secured loan ($25.8 par due 7/2025),9.60% (Libor + 7.50%/Q),,7/31/2018,,25.8,25.8
169,Software & Services,Genesis Acquisition Co. and Genesis Holding Co. (17),,Class A common stock (8 shares),,,7/31/2018,,0.8,1.0
170,Software & Services,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,,12/19/2014,,1.0,4.3
171,Software & Services,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (17)",Provider of payment processing and merchant acquiring solutions,Class A-2 units (911 units),,,8/1/2017,,0.9,2.4
172,Software & Services,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (17)",,"Class B units (2,878,372 units)",,,8/1/2017,,0.0,0.0
173,Software & Services,"Help/Systems Holdings, Inc. (17)",Provider of IT operations management and cybersecurity software,First lien senior secured loan ($26.2 par due 11/2026),6.55% (Libor + 4.75%/M),,11/22/2019,,26.2,25.9
174,Software & Services,"Huskies Parent, Inc. (17)",Insurance software provider,First lien senior secured revolving loan ($1.0 par due 7/2024),5.69% (Libor + 4.00%/M),,7/18/2019,,1.0,1.0
175,Software & Services,"Huskies Parent, Inc. (17)",,First lien senior secured loan ($0.8 par due 7/2026),5.84% (Libor + 4.00%/Q),,7/18/2019,,0.8,0.8
176,Software & Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,,10/15/2012,,0.1,0.0
177,Software & Services,"Infogix, Inc. and Infogix Parent Corporation (17)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($2.0 par due 4/2024),8.60% (Libor + 6.50%/Q),,4/18/2018,,2.0,2.0
178,Software & Services,"Infogix, Inc. and Infogix Parent Corporation (17)",,"Series A preferred stock (2,475 shares)",,,1/3/2017,,2.6,1.6
179,Software & Services,"Infogix, Inc. and Infogix Parent Corporation (17)",,"Common stock (1,297,768 shares)",,,1/3/2017,,0.0,0.0
180,Software & Services,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.7 par due 5/2024),5.95% (Libor + 4.00%/Q),,1/31/2019,,15.0,14.9
181,Software & Services,"Inmar, Inc.",,Second lien senior secured loan ($28.3 par due 5/2025),9.95% (Libor + 8.00%/Q),,4/25/2017,,28.0,27.1
182,Software & Services,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($51.4 par due 5/2022),10.11% (Libor + 8.31%/M),,5/31/2017,,51.4,47.8
183,Software & Services,"InterVision Systems, LLC and InterVision Holdings, LLC",,"Class A membership units (1,000 units)",,,5/31/2017,,1.0,0.0
184,Software & Services,"Invoice Cloud, Inc. (17)",Provider of electronic payment processing solutions,First lien senior secured revolving loan,0,,2/11/2019,,0.0,0.0
185,Software & Services,"Invoice Cloud, Inc. (17)",,First lien senior secured loan ($33.2 par due 2/2024),"8.40% (Libor + 3.25% Cash, 3.25% PIK/Q)",,2/11/2019,,33.2,33.2
186,Software & Services,"Masergy Holdings, Inc. (17)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan ($0.4 par due 12/2022),5.27% (Libor + 3.50%/M),,2/8/2018,,0.4,0.4
187,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($2.2 par due 12/2022),6.95% (Libor + 5.00%/Q),,12/2/2016,,2.2,2.2
188,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,First lien senior secured loan ($9.4 par due 12/2022),5.85% (Libor + 4.00%/Q),,4/6/2017,,9.4,9.1
189,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,First lien senior secured loan ($4.8 par due 12/2022),5.85% (Libor + 4.00%/Q),,8/22/2017,,4.8,4.7
190,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($90.0 par due 6/2023),11.08% (Libor + 9.25%/Q),,12/2/2016,,89.5,90.0
191,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($16.6 par due 6/2023),11.08% (Libor + 9.25%/Q),,12/2/2016,,16.6,16.6
192,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($9.2 par due 6/2023),11.08% (Libor + 9.25%/Q),,4/6/2017,,9.2,9.2
193,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($4.7 par due 6/2023),11.08% (Libor + 9.25%/Q),,4/6/2017,,4.7,4.7
194,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($17.9 par due 6/2023),11.08% (Libor + 9.25%/Q),,8/22/2017,,17.9,17.9
195,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($10.3 par due 6/2023),9.84% (Libor + 8.00%/Q),,4/18/2018,,10.3,10.0
196,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,Second lien senior secured loan ($38.6 par due 6/2023),9.83% (Libor + 8.00%/Q),,4/18/2018,,38.6,37.5
197,Software & Services,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",,"Class A units (500,000 units)",,,12/2/2016,,5.0,5.9
198,Software & Services,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.5 par due 10/2022),6.80% (Libor + 5.00%/M),,1/3/2017,,8.3,8.4
199,Software & Services,"Novetta Solutions, LLC",,Second lien senior secured loan ($31.0 par due 10/2023),10.30% (Libor + 8.50%/M),,1/3/2017,,29.4,29.1
200,Software & Services,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),11.55% (Libor + 9.75%/M),,4/20/2016,,9.8,8.5
201,Software & Services,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,,3/11/2016,,0.2,0.0
202,Software & Services,"PaySimple, Inc. (17)",Provider of business management software solutions,First lien senior secured loan ($11.3 par due 8/2025),7.30% (Libor + 5.50%/M),,8/23/2019,,11.1,11.2
203,Software & Services,"PaySimple, Inc. (17)",,First lien senior secured loan ($1.1 par due 8/2025),7.31% (Libor + 5.50%/M),,8/23/2019,,1.1,1.1
204,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured revolving loan ($7.6 par due 10/2024),6.40% (Libor + 4.50%/Q),,3/19/2019,,7.6,7.4
205,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",,First lien senior secured loan ($54.6 par due 10/2024),6.40% (Libor + 4.50%/Q),,3/19/2019,,54.6,53.5
206,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",,Second lien senior secured loan ($70.1 par due 10/2025),10.40% (Libor + 8.50%/Q),,3/19/2019,,70.1,68.0
207,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",,"Series A preferred shares (13,656 shares)",13.25% PIK,,3/19/2019,,14.9,15.2
208,Software & Services,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",,"Class A units (1,942,225 units)",,,3/19/2019,,1.9,1.8
209,Software & Services,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured revolving loan ($9.7 par due 5/2025),9.50% (Base Rate + 4.75%/Q),,5/29/2019,,9.7,9.6
210,Software & Services,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",,First lien senior secured loan ($20.2 par due 5/2025),7.55% (Libor + 5.75%/M),,5/29/2019,,20.2,20.0
211,Software & Services,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",,"Class A units (5,000 units)",,,5/29/2019,,5.0,4.2
212,Software & Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,First lien senior secured loan ($1.1 par due 1/2023),7.05% (Libor + 5.25%/M),,1/27/2017,,1.1,1.1
213,Software & Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",,Second lien senior secured loan ($62.0 par due 7/2023),11.55% (Libor + 9.75%/M),,1/27/2017,,61.5,62.0
214,Software & Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",,Class A common shares (990 shares),,,1/27/2017,,1.0,1.7
215,Software & Services,"PHNTM Holdings, Inc. and Planview Parent, Inc.",,"Class B common shares (168,329 shares)",,,1/27/2017,,0.0,0.3
216,Software & Services,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,,6/25/2015,,0.1,0.0
217,Software & Services,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",,,8/22/2016,,7.4,11.7
218,Software & Services,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",,"Class B common shares (1,841,609 shares)",,,8/22/2016,,0.1,0.1
219,Software & Services,"QF Holdings, Inc. (17)",SaaS based electronic health record software provider,First lien senior secured loan ($24.4 par due 9/2024),8.90% (Libor + 7.00%/Q),,9/19/2019,,24.4,24.2
220,Software & Services,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($15.9 par due 12/2024),7.95% (Libor + 6.00%/Q),,12/17/2018,,15.9,15.9
221,Software & Services,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",,First lien senior secured loan ($5.4 par due 12/2024),7.95% (Libor + 6.00%/Q),,12/17/2018,,5.4,5.4
222,Software & Services,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",,"Class A common units (2,294,000 units)",,,12/17/2018,,2.3,2.8
223,Software & Services,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,,12/23/2016,,0.0,0.0
224,Software & Services,"Regent Education, Inc.",,Warrant to purchase up to 987 shares of common stock (expires 12/2026),,,12/23/2016,,0.0,0.0
225,Software & Services,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (17)",Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($26.8 par due 2/2023),8.05% (Libor + 6.25%/M),,3/14/2019,,26.8,26.5
226,Software & Services,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (17)",Provider of student information system software solutions to the K-12 education market,First lien senior secured loan ($34.8 par due 8/2025),6.37% (Libor + 4.50%/Q),,11/22/2019,,34.8,34.4
227,Software & Services,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (17)",,Second lien senior secured loan ($80.0 par due 8/2026),8.64% (Libor + 6.75%/Q),,6/12/2018,,79.3,78.4
228,Software & Services,SIGOS LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (4,132 units)",,,6/7/2019,,0.3,0.5
229,Software & Services,"Siteworx Holdings, LLC & Siteworx LLC (17)","Provider of design, web content management, eCommerce solutions and system integration",First lien senior secured revolving loan ($0.7 par due 1/2020),6.00% (Base Rate + 1.25%/M),,2/16/2018,,0.7,0.7
230,Software & Services,"Siteworx Holdings, LLC & Siteworx LLC (17)",,First lien senior secured revolving loan ($0.7 par due 1/2020),6.00% (Base Rate + 1.25%/Q),,2/16/2018,,0.7,0.7
231,Software & Services,"Siteworx Holdings, LLC & Siteworx LLC (17)",,First lien senior secured loan ($0.9 par due 1/2020),5.50%,,2/16/2018,,0.9,0.9
232,Software & Services,"Siteworx Holdings, LLC & Siteworx LLC (17)",,First lien senior secured loan ($0.9 par due 1/2020),5.50%,,2/16/2018,,0.9,0.9
233,Software & Services,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,,1/13/2016,,0.0,0.0
234,Software & Services,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,,8/15/2017,,0.4,0.7
235,Software & Services,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,First lien senior secured revolving loan ($0.8 par due 4/2023),6.13% (Libor + 4.25%/M),,4/13/2018,,0.8,0.8
236,Software & Services,"SpareFoot, LLC (17)",,First lien senior secured loan ($0.5 par due 4/2024),6.31% (Libor + 4.25%/Q),,3/29/2019,,0.5,0.5
237,Software & Services,"SpareFoot, LLC (17)",,First lien senior secured loan ($1.4 par due 4/2024),6.31% (Libor + 4.25%/Q),,7/1/2019,,1.3,1.4
238,Software & Services,"SpareFoot, LLC (17)",,First lien senior secured loan ($0.7 par due 4/2024),6.31% (Libor + 4.25%/Q),,7/1/2019,,0.7,0.7
239,Software & Services,"SpareFoot, LLC (17)",,First lien senior secured loan ($0.7 par due 4/2024),6.31% (Libor + 4.25%/Q),,8/30/2019,,0.7,0.7
240,Software & Services,"SpareFoot, LLC (17)",,Second lien senior secured loan ($6.1 par due 4/2025),10.31% (Libor + 8.25%/Q),,4/13/2018,,6.0,6.1
241,Software & Services,"SpareFoot, LLC (17)",,Second lien senior secured loan ($4.2 par due 4/2025),10.31% (Libor + 8.25%/Q),,8/31/2018,,4.1,4.2
242,Software & Services,"SpareFoot, LLC (17)",,Second lien senior secured loan ($2.5 par due 4/2025),10.31% (Libor + 8.25%/Q),,7/1/2019,,2.5,2.5
243,Software & Services,"SpareFoot, LLC (17)",,Second lien senior secured loan ($1.3 par due 4/2025),10.31% (Libor + 8.25%/Q),,7/1/2019,,1.3,1.3
244,Software & Services,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (17)",Quality management software provider,Second lien senior secured loan ($20.0 par due 8/2025),10.20% (Libor + 8.25%/Q),,8/21/2017,,19.7,15.6
245,Software & Services,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (17)",,"Series B preferred shares (10,084 shares)",,,8/21/2017,,1.1,0.0
246,Software & Services,Storm UK Holdco Limited and Storm US Holdco Inc. (17),Provider of water infrastructure software solutions for municipalities / utilities and engineering consulting firms,First lien senior secured revolving loan ($0.6 par due 5/2022),7.20% (Libor + 5.25%/M),,5/5/2017,,0.6,0.6
247,Software & Services,Telestream Holdings Corporation (17),Provider of digital video tools and workflow solutions to the media and entertainment industries,First lien senior secured revolving loan,0,,2/8/2018,,0.0,0.0
248,Software & Services,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (17)",Provider of cloud based HCM solutions for businesses,Second lien senior secured loan ($205.4 par due 5/2027),9.80% (Libor + 8.00%/M),,5/3/2019,,205.4,205.4
249,Software & Services,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (17)",,"Limited partner interests (12,583,556 interests)",,,5/3/2019,,12.6,10.4
250,Software & Services,"TimeClock Plus, LLC (17)",Workforce management solutions provider,First lien senior secured revolving loan ($0.0 par due 8/2025),7.45% (Libor + 5.50%/Q),,8/30/2019,,0.0,0.0
251,Software & Services,"TimeClock Plus, LLC (17)",,First lien senior secured loan ($35.5 par due 8/2026),7.45% (Libor + 5.50%/Q),,8/30/2019,,35.5,35.1
252,Software & Services,"Vela Trading Technologies, LLC (17)",Provider of market data software and content to global financial services clients,First lien senior secured revolving loan ($2.0 par due 6/2022),8.75% (Base Rate + 4.00%/Q),,2/8/2018,,2.0,2.0
253,Software & Services,"Vela Trading Technologies, LLC (17)",,First lien senior secured loan ($4.8 par due 6/2022),7.01% (Libor + 5.00%/Q),,4/17/2018,,4.8,4.7
254,Software & Services,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",,,12/13/2013,,4.5,2.3
255,Software & Services,Verscend Holding Corp. (17),Healthcare analytics solutions provider,First lien senior secured loan ($46.7 par due 8/2025),6.30% (Libor + 4.50%/M),,8/27/2018,,46.4,47.0
256,Software & Services,"WebPT, Inc. (17)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 8/2024),8.66% (Libor + 6.75%/Q),,8/28/2019,,48.1,47.6
257,Software & Services,WorldPay Group PLC,Payment software and service provider,"C2 shares (73,974 shares)",,,10/21/2015,,0.0,0.0
258,Software & Services,"Zemax Software Holdings, LLC (17)",Provider of optical illumination design software to design engineers,First lien senior secured loan ($16.8 par due 6/2024),7.70% (Libor + 5.75%/Q),,6/25/2018,,16.8,16.8
259,Software & Services,"Zywave, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($3.5 par due 11/2022),6.80% (Libor + 5.00%/M),,11/17/2016,,3.5,3.5
260,Software & Services,"Zywave, Inc. (17)",,First lien senior secured loan ($4.0 par due 11/2022),6.84% (Libor + 5.00%/Q),,12/3/2019,,4.0,4.0
261,Software & Services,"Zywave, Inc. (17)",,Second lien senior secured loan ($17.1 par due 11/2023),10.95% (Libor + 9.00%/Q),,11/17/2016,,17.1,17.1
262,Software & Services,"Zywave, Inc. (17)",,Seniond lien senior secured loan ($2.3 par due 11/2023),10.84% (Libor + 9.00%/Q),,12/3/2019,,2.3,2.3
263,Software & Services,"Zywave, Inc. (17)",,,,,,,1852.2,1859.6
264,Commercial & Professional Services,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (17),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",,,5/11/2018,,4.3,8.0
265,Commercial & Professional Services,"AMCP Clean Intermediate, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured revolving loan ($0.8 par due 10/2024),7.33% (Libor + 5.50%/M),,10/1/2018,,0.8,0.8
266,Commercial & Professional Services,"AMCP Clean Intermediate, LLC (17)",,First lien senior secured loan ($1.2 par due 10/2024),7.50% (Libor + 5.50%/Q),,10/18/2019,,1.2,1.2
267,Commercial & Professional Services,"Capstone Logistics Acquisition, Inc. (17)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan ($0.3 par due 4/2021),6.30% (Libor + 4.50%/M),,2/8/2018,,0.3,0.3
268,Commercial & Professional Services,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured revolving loan ($6.5 par due 3/2023),7.30% (Libor + 5.50%/M),,3/10/2017,,6.5,6.5
269,Commercial & Professional Services,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",,First lien senior secured loan ($11.5 par due 3/2023),7.30% (Libor + 5.50%/M),,3/10/2017,,11.5,11.5
270,Commercial & Professional Services,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",,"Common units (2,950,000 units)",,,3/10/2017,,3.0,3.3
271,Commercial & Professional Services,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan ($1.0 par due 12/2021),8.05% (Libor + 6.25%/M),,3/13/2014,,1.0,1.0
272,Commercial & Professional Services,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",,First lien senior secured loan ($20.9 par due 12/2021),8.05% (Libor + 6.25%/M),,3/13/2014,,20.9,20.9
273,Commercial & Professional Services,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",,First lien senior secured loan ($11.7 par due 12/2021),8.05% (Libor + 6.25%/M),,4/6/2017,,11.7,11.7
274,Commercial & Professional Services,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",,First lien senior secured loan ($11.8 par due 12/2021),8.05% (Libor + 6.25%/M),,6/12/2018,,11.8,11.8
275,Commercial & Professional Services,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",,"Class A preferred units (3,393,973 units)",,,3/13/2014,,4.0,6.0
276,Commercial & Professional Services,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",,"Class B common units (377,108 units)",,,3/13/2014,,0.4,0.6
277,Commercial & Professional Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($1.8 par due 9/2021),6.31% (Libor + 4.50%/Q),,9/23/2016,,1.8,1.6
278,Commercial & Professional Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",,"Class A common stock (7,500 shares)",,,8/19/2014,,7.5,5.7
279,Commercial & Professional Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",,"Class B common stock (7,500 shares)",,,8/19/2014,,0.0,0.0
280,Commercial & Professional Services,"Gordian Group, LLC",Provider of nationwide investment banking and advisory services,Common stock (526 shares),,,11/30/2012,,0.0,0.0
281,Commercial & Professional Services,"HAI Acquisition Corporation and Aloha Topco, LLC (17)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($62.2 par due 11/2024),7.39% (Libor + 5.50%/Q),,11/1/2017,,62.2,62.2
282,Commercial & Professional Services,"HAI Acquisition Corporation and Aloha Topco, LLC (17)",,"Class A units (16,980 units)",,,11/1/2017,,1.7,2.7
283,Commercial & Professional Services,"IMIA Holdings, Inc. (17)",Marine preservation maintenance company,First lien senior secured revolving loan,0,,10/26/2018,,0.0,0.0
284,Commercial & Professional Services,"IMIA Holdings, Inc. (17)",,First lien senior secured loan ($17.9 par due 10/2024),6.45% (Libor + 4.50%/Q),,10/26/2018,,17.8,17.9
285,Commercial & Professional Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($56.1 par due 12/2025),6.30% (Libor + 4.50%/M),,11/30/2018,,55.7,55.0
286,Commercial & Professional Services,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",,Second lien senior secured loan ($86.8 par due 11/2026),9.80% (Libor + 8.00%/M),,11/30/2018,,85.5,85.1
