,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
194,Insight Pharmaceuticals Corporation (6),0,"Class A common stock (155,000 shares)",0,8/26/2011,6035.0,9302
195,Insight Pharmaceuticals Corporation (6),0,"Class B common stock (155,000 shares)",0,8/26/2011,6035.0,9302
196,"Making Memories Wholesale, Inc. (7)",Scrapbooking branded products manufacturer,"Senior secured revolving loan ($2,250 par due 8/2014)",0,8/21/2009,2229.0,2052
197,"Making Memories Wholesale, Inc. (7)",0,"Senior secured loan ($9,625 par due 8/2014)",0,8/21/2009,7193.0,0
198,"Making Memories Wholesale, Inc. (7)",0,"Senior secured loan ($5,861 par due 8/2014)",0,8/21/2009,3874.0,0
199,"Making Memories Wholesale, Inc. (7)",0,Common stock (100 shares),0,8/21/2009,0.0,0
200,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of OTC healthcare products,"Senior secured revolving loan ($13,300 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,13300.0,12901
201,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Senior secured loan ($41,969 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,41695.0,40710
202,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Warrants to purchase up to 1,654,678 shares of common stock",0,7/27/2011,0.0,238
203,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Warrants to purchase up to 1,489 shares of preferred stock",0,7/27/2011,0.0,1509
204,"The Step2 Company, LLC",Toy manufacturer,"Junior secured loan ($27,000 par due 4/2015)",10.00%,4/1/2010,25696.0,27000
205,"The Step2 Company, LLC",0,"Junior secured loan ($30,776 par due 4/2015)","10.00% Cash, 5.00% PIK",4/1/2010,29172.0,27773
206,"The Step2 Company, LLC",0,"Common units (1,116,879 units)",0,4/1/2010,24.0,0
207,"The Step2 Company, LLC",0,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0.0,0
208,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,6200.0,6632
209,"The Thymes, LLC (7)",0,"Common units (5,400 units)",0,6/21/2007,0.0,195
210,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($45,000 par due 2/2015)",12.00%,1/22/2010,40175.0,43200
211,Woodstream Corporation,0,"Common stock (4,254 shares)",0,1/22/2010,1222.0,2090
212,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","Senior secured loan ($153,500 par due 8/2016)",8.00% (Libor + 7.00%/Q),8/31/2011,153500.0,149662
213,"ICSH, Inc.",0,"Senior secured loan ($23,000 par due 8/2016)",8.00% (Libor + 7.00%/Q),8/31/2011,23000.0,22425
214,"Growing Family, Inc. and GFH Holdings, LLC (6)",Photography services,"Senior secured loan ($9,645 par due 12/2014)",6.50% (Libor + 6.00%/Q),7/01/2011,9424.0,8719
215,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Series D preferred units (8,750 units)",0,7/01/2011,0.0,0
216,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Common stock (552,430 shares)",0,3/16/2007,872.0,0
217,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Warrants to purchase up to 11,313,678 shares",0,7/01/2011,0.0,0
218,PODS Funding Corp.,Storage and warehousing,"Senior subordinated loan ($25,125 par due 6/2015)",15.00%,12/23/2009,25125.0,25125
219,PODS Funding Corp.,0,"Senior subordinated loan ($7,582 par due 12/2015)",16.64% PIK,12/23/2009,6405.0,7582
220,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($17,100 par due 12/2016)",14.50%,12/22/2010,17100.0,17100
221,The Dwyer Group (6),0,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,14131.0,15396
222,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,4/1/2010,0.0,0
223,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",Laundry service and equipment provider,"Senior secured loan ($4,850 par due 8/2014)",7.00% (Base Rate + 3.75%/Q),6/15/2009,4712.0,4850
224,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($36,900 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,36900.0,36531
225,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($50,000 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,50000.0,49500
226,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($3,100 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,3100.0,3069
227,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",Broadband communication services,"Senior secured loan ($12,675 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,12183.0,12548
228,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior secured loan ($8,930 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,8930.0,8841
229,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($10,476 par due 11/2014)","12.00% Cash, 2.00% PIK",11/7/2007,10476.0,10476
230,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($26,799 par due 11/2014)","12.00% Cash, 4.00% PIK",9/1/2010,26799.0,26799
231,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($33,263 par due 11/2014)","12.00% Cash, 2.00% PIK",2/8/2008,33263.0,33263
232,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,Warrants to purchase up to 378 shares,0,11/7/2007,0.0,6165
233,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,Warrants to purchase up to 200 shares,0,9/1/2010,0.0,3262
234,Dialog Telecom LLC,Broadband communication services,"Senior secured loan ($16,259 par due 12/2012)","12.00% (Libor + 5.50% Cash, 6.00% PIK /Q)",6/20/2011,16259.0,16259
235,"Startec Equity, LLC (7)",Communication services,Member interest,0,4/1/2010,0.0,0
236,"AWTP, LLC (7)",Water treatment services,"Junior secured loan ($4,058 par due 6/2015)","5.00% Cash, 5.00% PIK",4/18/2011,4058.0,4058
237,"AWTP, LLC (7)",0,Junior secured loan ($863 par due 6/2015),15.00% PIK,4/18/2011,863.0,661
238,"AWTP, LLC (7)",0,"Junior secured loan ($4,353 par due 6/2015)",15.00% PIK,4/18/2011,4353.0,3331
239,"AWTP, LLC (7)",0,Membership interests (90% interest),0,4/18/2011,0.0,0
240,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,"Senior secured loan ($36,700 par due 3/2016)",11.50% (Libor + 9.75%/Q),3/1/2011,36700.0,36700
241,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",0,"Senior secured loan ($8,300 par due 3/2016)",11.50% (Libor + 9.75%/Q),3/1/2011,8300.0,8300
242,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",0,"Preferred stock (1,000 shares)",12.50% PIK,3/1/2011,8059.0,8047
243,"Sigma International Group, Inc. (8)",Water treatment parts manufacturer,"Junior secured loan ($4,000 par due 4/2014)","10.00% (Libor + 3.50% Cash, 5.00% PIK /A)",7/8/2011,4000.0,3000
244,"Waste Pro USA, Inc",Waste management services,"Preferred Class A common equity (611,615 shares)",0,11/9/2006,12263.0,19621
245,"Component Hardware Group, Inc.",Commercial equipment manufacturer,"Junior secured loan ($3,083 par due 12/2014)","7.00% Cash, 3.00% PIK",8/4/2010,3083.0,3083
246,"Component Hardware Group, Inc.",0,"Senior subordinated loan ($10,463 par due 12/2014)","7.50% Cash, 5.00% PIK",4/1/2010,6618.0,10463
247,"Component Hardware Group, Inc.",0,"Warrants to purchase up to 1,462,500 shares of common stock",0,8/4/2010,0.0,2942
248,HOPPY Holdings Corp.,Manufacturer of automotive and recreational vehicle aftermarket products,"Senior secured loan ($14,550 par due 6/2016)",5.25% (Libor + 4.00%/Q),6/3/2011,14550.0,13823
249,"NetShape Technologies, Inc.",Metal precision engineered components manufacturer,Senior secured revolving loan ($849 par due 2/2013),4.08% (Libor + 3.75%/Q),4/1/2010,398.0,527
250,Saw Mill PCG Partners LLC,Metal precision engineered components manufacturer,"Common units (1,000 units)",0,1/30/2007,1000.0,0
251,"UL Holding Co., LLC",Petroleum product manufacturer,"Junior secured loan ($2,098 par due 12/2012)",9.14% (Libor + 8.88%/Q),12/24/2007,2098.0,2098
252,"UL Holding Co., LLC",0,"Junior secured loan ($4,091 par due 12/2012)",14.00%,12/24/2007,4091.0,4091
253,"UL Holding Co., LLC",0,"Junior secured loan ($2,000 par due 12/2012)",9.24% (Libor + 8.88%/Q),6/17/2011,2000.0,2000
254,"UL Holding Co., LLC",0,"Junior secured loan ($5,000 par due 12/2012)",15.00%,8/13/2010,5000.0,5000
255,"UL Holding Co., LLC",0,"Junior secured loan ($2,933 par due 12/2012)",14.00%,12/24/2007,2933.0,2933
256,"UL Holding Co., LLC",0,Junior secured loan ($835 par due 12/2012),9.14% (Libor + 8.88%/Q),12/24/2007,835.0,835
257,"UL Holding Co., LLC",0,"Junior secured loan ($1,810 par due 12/2012)",14.00%,12/24/2007,1810.0,1810
258,"UL Holding Co., LLC",0,"Junior secured loan ($10,755 par due 12/2012)",9.15% (Libor + 8.88%/Q),12/24/2007,10755.0,10755
259,"UL Holding Co., LLC",0,"Class A common units (8,982 units)",0,6/17/2011,90.0,41
260,"UL Holding Co., LLC",0,"Class B-4 common units (50,000 units)",0,4/25/2008,500.0,229
261,"UL Holding Co., LLC",0,"Class B-5 common units (499,000 units)",0,6/17/2011,4990.0,2285
262,"UL Holding Co., LLC",0,"Class C common units (549,491 units)",0,4/25/2008,0.0,2517
263,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Junior secured loan ($59,000 par due 8/2018)",10.25% (Libor + 8.75%/Q),8/9/2011,57744.0,57525
264,"Apple & Eve, LLC and US Juice Partners, LLC (6)",Juice manufacturer,"Senior secured revolving loan ($3,000 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,3000.0,3000
265,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior secured loan ($13,363 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,13363.0,13363
266,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior secured loan ($14,060 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,14060.0,14060
267,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior units (50,000 units)",0,0,5000.0,3921
268,"Charter Baking Company, Inc.",Baked goods manufacturer,"Senior subordinated loan ($7,615 par due 2/2013)",16.00% PIK,2/6/2008,7615.0,7615
269,"Charter Baking Company, Inc.",0,"Preferred stock (6,258 shares)",0,9/1/2006,2500.0,1500
270,Distant Lands Trading Co.,Coffee manufacturer,"Class A common stock (1,294 shares)",0,4/1/2010,980.0,728
271,Distant Lands Trading Co.,0,"Class A-1 common stock (2,157 shares)",0,4/1/2010,0.0,0
272,"Fleischmann’s Vinegar Company, Inc.","Leading manufacturer, supplier, and distributer of industrial vinegar products","Senior secured loan ($12,540 par due 5/2016)",8.75% (Libor + 7.25%/Q),6/1/2011,12540.0,12540
273,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,"Common stock (25,000 shares)",0,7/30/2010,2500.0,2589
274,"Stag-Parkway, Inc. (7)",Automotive aftermarket components supplier,"Senior secured loan ($34,500 par due 12/2014)",12.50% (Libor + 11.00%/Q),9/30/2010,34500.0,34500
275,"Stag-Parkway, Inc. (7)",0,"Preferred stock (4,200 shares)",16.50% PIK,9/30/2010,3013.0,4200
276,"Stag-Parkway, Inc. (7)",0,"Common stock (10,200 shares)",0,9/30/2010,0.0,12765
277,"Savers, Inc. and SAI Acquisition Corporation",For-profit thrift retailer,"Common stock (1,218,481 shares)",0,8/8/2006,4909.0,11633
278,Things Remembered Inc. and TRM Holdings Corporation,Personalized gifts retailer,"Senior secured loan ($26,433 par due 3/2014)",9.00% (Base Rate + 7.00%/M),9/28/2006,26409.0,26433
279,Things Remembered Inc. and TRM Holdings Corporation,0,"Senior secured loan ($8,226 par due 3/2014)",9.00% (Base Rate + 7.00%/M),9/28/2006,8302.0,8226
280,Things Remembered Inc. and TRM Holdings Corporation,0,Class B preferred stock (73 shares),0,3/19/2009,0.0,2056
281,Things Remembered Inc. and TRM Holdings Corporation,0,Preferred stock (80 shares),0,9/28/2006,1800.0,2249
282,Things Remembered Inc. and TRM Holdings Corporation,0,Common stock (800 shares),0,9/28/2006,200.0,465
283,Things Remembered Inc. and TRM Holdings Corporation,0,Warrants to purchase up to 859 shares of preferred stock,0,3/19/2009,0.0,497
284,"10th Street, LLC (6)",Real estate holding company,"Senior subordinated loan ($23,964 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,23964.0,23964
285,"10th Street, LLC (6)",0,Member interest (10.00% interest),0,4/1/2010,594.0,0
286,"10th Street, LLC (6)",0,"Option (25,000 units)",0,4/1/2010,25.0,556
287,"Allied Capital REIT, Inc. (7)",Real estate investment trust,Real estate equity interests,0,4/1/2010,0.0,428
288,"Allied Capital REIT, Inc. (7)",0,Real estate equity interests,0,4/1/2010,50.0,0
289,"American Commercial Coatings, Inc.",Real estate property,"Commercial mortgage loan ($2,000 par due 12/2025)",0,4/1/2010,1611.0,1727
290,"Aquila Binks Forest Development, LLC",Real estate developer,"Commercial mortgage loan ($13,118 par due 12/2014)",0,4/1/2010,11541.0,5022
291,"Aquila Binks Forest Development, LLC",0,Real estate equity interests,0,4/1/2010,0.0,0
292,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,0,4/1/2010,1026.0,2508
293,"Commons R-3, LLC",Real estate developer,Real estate equity interests,0,4/1/2010,0.0,0
294,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,Senior secured loan ($433 par due 6/2010),10.00%,4/1/2010,433.0,444
295,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($8,891 par due 1/2012)",0,4/1/2010,1475.0,372
296,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($12,408 par due 6/2017)",0,4/1/2010,2410.0,650
297,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($10,967 par due 9/2012)",0,4/1/2010,2051.0,546
298,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Senior subordinated loan ($261 par due 3/2013),0,4/1/2010,263.0,24
299,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($2,236 par due 9/2011)",0,4/1/2010,0.0,0
300,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Preferred equity interest,0,4/1/2010,0.0,39
301,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Common equity interest,0,4/1/2010,35.0,0
302,"DI Safford, LLC",Hotel operator,"Commercial mortgage loan ($5,423 par due 5/2032)",0,4/1/2010,2667.0,2400
303,"Hot Light Brands, Inc. (7)",Real estate holding company,"Senior secured loan ($35,239 par due 2/2011)",0,4/1/2010,3945.0,3770
304,"Hot Light Brands, Inc. (7)",0,"Common stock (93,500 shares)",0,4/1/2010,0.0,0
305,"MGP Park Place Equity, LLC",Office building operator,"Commercial mortgage loan ($6,500 par due 5/2011)",0,4/1/2010,0.0,0
306,"NPH, Inc.",Hotel property,Real estate equity interests,0,4/1/2010,5291.0,7970
307,Bushnell Inc.,Sports optics manufacturer,"Junior secured loan ($41,325 par due 2/2014)",6.75% (Libor + 6.50%/Q),4/1/2010,32367.0,35126
308,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",Membership based buying club franchisor and operator,"Junior secured note ($32,000 par due 2/2017)",0,1/21/2011,30761.0,10082
309,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,"Limited partnership interest (66,667 shares)",0,4/1/2010,2594.0,0
310,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,"Limited partnership interest (83,333 shares)",0,11/30/2007,8333.0,0
311,"Emerald Performance Materials, LLC",Polymers and performance materials manufacturer,"Senior secured loan ($3,576 par due 11/2013)","13.00% Cash, 3.00% PIK",5/22/2006,3576.0,3576
312,"Emerald Performance Materials, LLC",0,"Senior secured loan ($9,967 par due 11/2013)",10.25% (Base Rate + 3.50%/M),6/29/2011,9967.0,9967
313,"Emerald Performance Materials, LLC",0,"Senior secured loan ($6,639 par due 11/2013)",10.00% (Libor + 6.00%/M),6/29/2011,6639.0,6639
314,"Emerald Performance Materials, LLC",0,"Senior secured loan ($5,207 par due 11/2013)","13.00% Cash, 3.00% PIK",5/22/2006,5207.0,5207
315,"Emerald Performance Materials, LLC",0,"Senior secured loan ($8,227 par due 11/2013)",8.25% (Libor + 4.25%/M),5/22/2006,8227.0,8227
316,"Emerald Performance Materials, LLC",0,Senior secured loan ($915 par due 11/2013),10.25% (Base Rate + 3.50%/M),6/29/2011,915.0,915
317,"Emerald Performance Materials, LLC",0,Senior secured loan ($610 par due 11/2013),10.00% (Libor + 6.00%/M),6/29/2011,610.0,610
318,"Protective Industries, Inc.",Manufacturer of plastic protection products,"Senior secured loan ($5,603 par due 5/2017)",5.75% (Libor + 4.25%/M),5/23/2011,5603.0,5435
319,"Protective Industries, Inc.",0,Senior subordinated loan ($707 par due 5/2018),"8.00% Cash, 7.25% PIK",5/23/2011,707.0,707
320,"Protective Industries, Inc.",0,"Preferred stock (2,379,361 shares)",0,5/23/2011,2307.0,2307
321,"Driven Brands, Inc. (6)",Automotive aftermarket car care franchisor,"Senior secured loan ($3,200 par due 10/2014)",6.50% (Libor + 5.00%/M),5/12/2010,3131.0,3200
322,"Driven Brands, Inc. (6)",0,Senior secured loan ($201 par due 10/2014),7.00% (Base Rate + 3.75%/M),5/12/2010,197.0,201
323,"Driven Brands, Inc. (6)",0,"Common stock (3,772,098 shares)",0,4/1/2010,4939.0,7543
324,"Penn Detroit Diesel Allison, LLC (7)",Diesel engine manufacturer,"Member interest (70,249 shares)",0,4/1/2010,15993.0,21601
325,"EarthColor, Inc. (7)",Printing management services,"Common stock (89,435 shares)",0,4/1/2010,0.0,0
326,LVCG Holdings LLC (7),Commercial printer,Membership interests (56.53% interest),0,10/12/2007,6600.0,0
327,"National Print Group, Inc.",Printing management services,"Senior secured revolving loan ($1,141 par due 10/2012)",9.00% (Libor + 6.00%/Q),3/2/2006,1141.0,982
328,"National Print Group, Inc.",0,"Senior secured revolving loan ($1,128 par due 10/2012)",9.00% (Base Rate + 5.00%/M),3/2/2006,1128.0,970
329,"National Print Group, Inc.",0,"Senior secured loan ($7,629 par due 10/2012)","16.00% (Libor + 6.00% Cash, 5.00% PIK /Q)",3/2/2006,7315.0,7171
330,"National Print Group, Inc.",0,Senior secured loan ($70 par due 10/2012),"15.00% (Base Rate + 5.00% Cash, 5.00% PIK /M)",3/2/2006,67.0,66
331,"National Print Group, Inc.",0,"Preferred stock (9,344 shares)",0,3/2/2006,2000.0,0
332,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (21,711 shares)",0,9/29/2006,2171.0,4172
333,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Common stock (15,393 shares)",0,9/29/2006,3.0,10
334,"Athletic Club Holdings, Inc.",Premier health club operator,"Senior secured loan ($11,500 par due 10/2013)",4.74% (Libor + 4.50%/M),10/11/2007,11500.0,11270
335,"HB&G Building Products, Inc.",Synthetic and wood product manufacturer,"Senior subordinated loan ($9,627 par due 3/2013)",0,10/8/2004,8991.0,1003
336,"HB&G Building Products, Inc.",0,"Common stock (2,743 shares)",0,10/8/2004,753.0,0
337,"HB&G Building Products, Inc.",0,"Warrants to purchase up to 4,464 shares of common stock",0,10/8/2004,653.0,0
338,"Geotrace Technologies, Inc.","Reservoir processing, development","Warrants to purchase up to 69,978 shares of common stock",0,4/1/2010,88.0,0
339,"Geotrace Technologies, Inc.",0,"Warrants to purchase up to 210,453 shares of preferred stock",0,4/1/2010,2805.0,0
