,Company(1),Business Description,Investment,Interest(5)(12),Acquisition  Date,Amortized  Cost,Fair Value
196,Vistar Corporation and Wellspring Distribution Corp.,Food service distributor,"Senior subordinated loan ($31,625 par due 5/2015)",13.50%,5/23/2008,31625.0,31625
197,Vistar Corporation and Wellspring Distribution Corp.,0,"Senior subordinated loan ($30,000 par due 5/2015)",13.50%,5/23/2008,30000.0,30000
198,Vistar Corporation and Wellspring Distribution Corp.,0,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,7500.0,7431
199,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,11395.0,16081
200,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,6000.0,2712
201,Ciena Capital LLC (7),Real estate and small business loan servicer,"Senior secured revolving loan ($14,000 par due 12/2013)",6.00%,11/29/2010,14000.0,14000
202,Ciena Capital LLC (7),0,"Senior secured loan ($2,000 par due 12/2015)",12.00%,11/29/2010,2000.0,2000
203,Ciena Capital LLC (7),0,"Senior secured loan ($20,000 par due 12/2015)",12.00%,11/29/2010,20000.0,20000
204,Ciena Capital LLC (7),0,"Senior secured loan ($10,000 par due 12/2015)",12.00%,11/29/2010,10000.0,10000
205,Ciena Capital LLC (7),0,Equity interests,0,11/29/2010,53374.0,30424
206,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($6,000 par due 6/2015)",15.00%,4/1/2010,6000.0,6000
207,"Commercial Credit Group, Inc.",0,"Senior subordinated loan ($4,000 par due 6/2015)",15.00%,4/1/2010,4000.0,4000
208,"Commercial Credit Group, Inc.",0,"Senior subordinated loan ($9,500 par due 6/2015)",15.00%,4/1/2010,9500.0,9500
209,"Compass Group Diversified Holdings, LLC (10)",Middle market business manager,"Senior secured revolving loan ($1,103 par due 12/2012)",2.69% (Libor + 2.50%/M),4/1/2010,1103.0,1103
210,Financial Pacific Company,Commercial finance leasing,"Preferred stock (6,500 shares)",8.00% PIK,10/13/2010,6880.0,7665
211,Financial Pacific Company,0,"Common stock (650,000 shares)",0,10/13/2010,0.0,0
212,"Imperial Capital Group, LLC (6)",Investment services,"Class A common units (7,710 units)",0,5/10/2007,14997.0,14347
213,"Imperial Capital Group, LLC (6)",0,2007 Class B common units (315 units),0,5/10/2007,0.0,586
214,"Imperial Capital Group, LLC (6)",0,"2006 Class B common units (2,526 units)",0,5/10/2007,3.0,4700
215,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,112876.0,177452
216,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","Senior secured revolving loan ($1,000 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/17/2011,1000.0,1000
217,"American Academy Holdings, LLC",0,"Senior secured loan ($31,783 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/17/2011,31783.0,31783
218,"American Academy Holdings, LLC",0,"Senior secured loan ($49,506 par due 3/2016)",9.50% (Libor + 8.50%/Q),3/17/2011,49506.0,49506
219,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520.0,14431
220,"Community Education Centers, Inc.",Offender re-entry and in-prison treatment services provider,"Senior secured loan ($19,231 par due 12/2014)",6.25% (Libor + 5.25%/Q),12/10/2010,19231.0,19231
221,"Community Education Centers, Inc.",0,Senior secured loan ($769 par due 12/2014),7.50% (Base Rate + 4.25%/Q),12/10/2010,769.0,769
222,"Community Education Centers, Inc.",0,"Junior secured loan ($31,191 par due 12/2015)","15.28% (Libor + 11.00% Cash, 4.00% PIK/M)",12/10/2010,31191.0,31191
223,"Community Education Centers, Inc.",0,"Junior secured loan ($9,389 par due 12/2015)","15.26% (Libor + 11.00%Cash, 4.00% PIK/M)",12/10/2010,9389.0,9389
224,"Community Education Centers, Inc.",0,"Warrants to purchase up to 578,427 shares",0,12/10/2010,0.0,925
225,eInstruction Corporation,"Developer, manufacturer and retailer of educational products","Junior secured loan ($17,000 par due 7/2014)",7.69% (Libor + 7.50%/Q),4/1/2010,15002.0,13260
226,eInstruction Corporation,0,"Senior subordinated loan ($25,190 par due 1/2015)",16.00% PIK,4/1/2010,23132.0,18893
227,eInstruction Corporation,0,"Common stock (2,406 shares)",0,4/1/2010,926.0,72
228,ELC Acquisition Corporation,"Developer, manufacturer and retailer of educational products",Senior secured loan ($127 par due 11/2012),3.44% (Libor + 3.25%/M),11/30/2006,127.0,127
229,ELC Acquisition Corporation,0,"Junior secured loan ($8,333 par due 11/2013)",7.19% (Libor + 7.00%/M),11/30/2006,8333.0,8333
230,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000.0,5707
231,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",0,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689.0,1918
232,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",0,Common stock (20 shares),0,6/7/2010,0.0,0
233,"JTC Education Holdings, Inc.",Postsecondary school operator,"Senior secured loan ($18,338 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,18338.0,18338
234,"JTC Education Holdings, Inc.",0,"Senior secured loan ($9,961 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,9961.0,9961
235,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",Medical school operator,"Senior secured loan ($10,113 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,10113.0,15968
236,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Senior secured loan ($5,275 par due 4/2013)",9.00% (Libor + 6.00%/Q),5/24/2007,5275.0,8329
237,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Senior secured loan ($4,000 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,4000.0,6316
238,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Senior secured loan ($6,104 par due 4/2013)",13.00% PIK,12/8/2009,3098.0,9639
239,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Preferred stock (8,800 shares)",0,7/30/2008,2200.0,1100
240,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,Common membership interest (26.27% interest),0,9/21/2007,15800.0,19824
241,"R3 Education, Inc. and EIC Acquisitions Corp. (8)",0,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0.0,0
242,"Augusta Sportswear, Inc.",Manufacturer of athletic apparel,"Senior secured loan ($9,137 par due 7/2015)",8.50% (Libor + 7.50%/Q),9/3/2010,9137.0,9137
243,"Gilchrist & Soames, Inc.",Personal care manufacturer,"Senior secured revolving loan ($1,250 par due 10/2013)",3.94% (Libor + 3.75%/S),4/1/2010,1250.0,1250
244,"Gilchrist & Soames, Inc.",0,"Senior secured loan ($22,902 par due 10/2013)",13.44%,4/1/2010,22244.0,22902
245,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,"Senior subordinated loan ($25,809 par due 12/2017)","13.00% Cash, 2.00% PIK",4/1/2010,25809.0,25809
246,Insight Pharmaceuticals Corporation (6),0,"Common stock (155,000 shares)",0,4/1/2010,12070.0,17645
247,"Making Memories Wholesale, Inc. (7)",Scrapbooking branded products manufacturer,"Senior secured revolving loan ($2,250 par due 8/2014)",0,8/21/2009,2229.0,2045
248,"Making Memories Wholesale, Inc. (7)",0,"Senior secured loan ($9,625 par due 8/2014)",0,8/21/2009,7193.0,0
249,"Making Memories Wholesale, Inc. (7)",0,"Senior secured loan ($5,751 par due 8/2014)",0,8/21/2009,3874.0,0
250,"Making Memories Wholesale, Inc. (7)",0,Common stock (100 shares),0,8/21/2009,0.0,0
251,"Matrixx Initiatives, Inc.",Developer and marketer of OTC healthcare products,"Senior secured revolving loan ($1,000 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,1000.0,1000
252,"Matrixx Initiatives, Inc.",0,"Senior secured loan ($42,500 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,42213.0,42500
253,"Matrixx Initiatives, Inc.",0,"Warrants to purchase up to 1,823,271 shares",0,6/30/2011,0.0,157
254,"The Step2 Company, LLC",Toy manufacturer,"Junior secured loan ($27,000 par due 4/2015)",10.00%,4/1/2010,25626.0,27000
255,"The Step2 Company, LLC",0,"Junior secured loan ($30,392 par due 4/2015)","10.00% Cash, 5.00% PIK",4/1/2010,28788.0,28568
256,"The Step2 Company, LLC",0,"Common units (1,116,879 units)",0,4/1/2010,24.0,79
257,"The Step2 Company, LLC",0,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0.0,225
258,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,6076.0,6907
259,"The Thymes, LLC (7)",0,"Common units (5,400 units)",0,6/21/2007,0.0,298
260,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($45,000 par due 2/2015)",12.00%,1/22/2010,39916.0,43650
261,Woodstream Corporation,0,"Common stock (4,254 shares)",0,1/22/2010,1222.0,2081
262,"Growing Family, Inc. and GFH Holdings, LLC (6)",Photography services,Senior secured revolving loan ($231 par due 8/2011),"9.00% (Libor + 2.00% Cash, 4.00% PIK/M)",3/16/2007,226.0,187
263,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Senior secured revolving loan ($2,252 par due 8/2011)","9.00% (Base Rate + 1.75% Cash, 4.00% PIK/M)",3/16/2007,2197.0,1818
264,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Senior secured loan ($7,164 par due 3/2013)","9.00% (Libor + 2.00% Cash, 4.00% PIK/M)",3/16/2007,7003.0,5782
265,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Preferred stock (17,500 shares)",0,3/16/2007,0.0,0
266,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Common stock (552,430 shares)",0,3/16/2007,872.0,0
267,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,"Warrants to purchase up to 22,627,356 Class B units",0,3/16/2007,0.0,0
268,PODS Funding Corp.,Storage and warehousing,"Senior subordinated loan ($25,125 par due 6/2015)",15.00%,12/23/2009,25125.0,25125
269,PODS Funding Corp.,0,"Senior subordinated loan ($7,582 par due 12/2015)",16.64% PIK,12/23/2009,6364.0,7582
270,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($27,100 par due 12/2016)",14.50%,12/22/2010,27100.0,27100
271,The Dwyer Group (6),0,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,13853.0,15390
272,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,4/1/2010,0.0,0
273,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",Laundry service and equipment provider,"Senior secured loan ($4,863 par due 8/2014)",7.00% (Base Rate + 3.75%/Q),6/15/2009,4714.0,4863
274,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($51,900 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,51900.0,51900
275,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($50,000 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,50000.0,50000
276,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($3,100 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,3100.0,3100
277,"American Broadband Communications, LLC and American Broadband Holding Company",Broadband communication services,Senior secured loan ($517 par due 9/2013),7.50% (Libor + 5.50%/M),9/1/2010,548.0,517
278,"American Broadband Communications, LLC and American Broadband Holding Company",0,"Senior secured loan ($17,325 par due 9/2013)",7.50% (Libor + 5.50%/M),9/1/2010,16582.0,17325
279,"American Broadband Communications, LLC and American Broadband Holding Company",0,"Senior secured loan ($9,048 par due 9/2013)",7.50% (Libor + 5.50%/M),9/1/2010,9048.0,9047
280,"American Broadband Communications, LLC and American Broadband Holding Company",0,"Senior subordinated loan ($33,096 par due 11/2014)","12.00% Cash, 2.00% PIK",2/8/2008,33096.0,33096
281,"American Broadband Communications, LLC and American Broadband Holding Company",0,"Senior subordinated loan ($10,424 par due 11/2014)","12.00% Cash, 2.00% PIK",11/7/2007,10424.0,10424
282,"American Broadband Communications, LLC and American Broadband Holding Company",0,"Senior subordinated loan ($26,400 par due 11/2014)","10.00% Cash, 4.00% PIK",9/1/2010,26400.0,26400
283,"American Broadband Communications, LLC and American Broadband Holding Company",0,Warrants to purchase up to 378 shares,0,11/7/2007,0.0,5492
284,"American Broadband Communications, LLC and American Broadband Holding Company",0,Warrants to purchase up to 200 shares,0,9/1/2010,0.0,2906
285,Dialog Telecom LLC,Broadband communication services,"Senior secured loan ($16,018 par due 12/2012)","8.50% (Libor + 4.00% Cash, 4.00% PIK/Q)",6/20/2011,16018.0,16018
286,"Startec Equity, LLC (7)",Communication services,Member interest,0,4/1/2010,0.0,0
287,"AWTP, LLC (7)",Water treatment services,"Junior secured loan ($4,008 par due 6/2015)","5.00% Cash, 5.00% PIK",4/18/2011,4008.0,4008
288,"AWTP, LLC (7)",0,Junior secured loan ($832 par due 6/2015),15.00% PIK,4/18/2011,832.0,832
289,"AWTP, LLC (7)",0,"Junior secured loan ($4,196 par due 6/2015)",15.00% PIK,4/18/2011,4196.0,4196
290,"AWTP, LLC (7)",0,Membership interests (90% interest),0,4/18/2011,0.0,49
291,"RE Community Holdings II, Inc. and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,"Senior secured loan ($36,700 par due 3/2016)",11.50% (Libor + 9.75%/M),3/1/2011,36700.0,36700
292,"RE Community Holdings II, Inc. and Pegasus Community Energy, LLC.",0,"Senior secured loan ($8,300 par due 3/2016)",11.50% (Libor + 9.75%/M),3/1/2011,8300.0,8300
293,"RE Community Holdings II, Inc. and Pegasus Community Energy, LLC.",0,"Senior Secured Loan ($5,000 par due 3/2016)",11.50% (Libor + 9.75%/Q ),3/1/2011,5000.0,5000
294,"RE Community Holdings II, Inc. and Pegasus Community Energy, LLC.",0,"Preferred stock (1,000 shares)",12.50% PIK,3/1/2011,7815.0,7815
295,"Sigma International Group, Inc. (8)",Water treatment parts manufacturer,"Junior secured loan ($5,597 par due 10/2013)",16.00% (Base Rate + 6.50%/M),10/11/2007,5537.0,3918
296,"Sigma International Group, Inc. (8)",0,"Junior secured loan ($12,214 par due 10/2013)",16.00% (Base Rate + 6.50%/M),10/11/2007,12079.0,8549
297,"Waste Pro USA, Inc",Waste management services,"Preferred Class A Common Equity (611,615 shares)",0,11/9/2006,12263.0,18701
298,"Wastequip, Inc.",Waste management equipment manufacturer,"Senior subordinated loan ($14,774 par due 2/2015)",0,2/5/2007,12239.0,443
299,"Wastequip, Inc.",0,"Common stock (13,889 shares)",0,2/2/2007,1389.0,0
300,"Savers, Inc. and SAI Acquisition Corporation",For-profit thrift retailer,"Common stock (1,218,481 shares)",0,8/8/2006,4909.0,10713
301,"Things Remembered, Inc. and TRM Holdings Corporation",Personalized gifts retailer,"Senior secured loan ($36,433 par due 3/2014)",9.00% (Libor + 7.00%/M),9/28/2006,36400.0,36433
302,"Things Remembered, Inc. and TRM Holdings Corporation",0,Senior secured loan ($915 par due 3/2014),9.00% (Libor + 7.00%/M),9/28/2006,913.0,915
303,"Things Remembered, Inc. and TRM Holdings Corporation",0,"Senior secured loan ($7,311 par due 3/2014)",9.00% (Libor + 7.00%/M),9/28/2006,7389.0,7311
304,"Things Remembered, Inc. and TRM Holdings Corporation",0,Preferred stock (80 shares),0,9/28/2006,1800.0,2255
305,"Things Remembered, Inc. and TRM Holdings Corporation",0,Class B Preferred stock (73 shares),0,3/19/2009,0.0,2062
306,"Things Remembered, Inc. and TRM Holdings Corporation",0,Common stock (800 shares),0,9/28/2006,200.0,43
307,"Things Remembered, Inc. and TRM Holdings Corporation",0,Warrants to purchase up to 859 shares of preferred stock,0,3/19/2009,0.0,46
308,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,"Common stock (25,000 shares)",0,7/30/2010,2500.0,2536
309,"Stag-Parkway, Inc. (7)",Automotive aftermarket components supplier,"Senior secured loan ($34,500 par due 12/2014)",12.50% (Libor + 11.00%/Q),9/30/2010,34500.0,34500
310,"Stag-Parkway, Inc. (7)",0,"Preferred stock (4,200 shares)",16.50%,9/30/2010,2363.0,4200
311,"Stag-Parkway, Inc. (7)",0,"Common stock (10,200 shares)",0,9/30/2010,0.0,14980
312,"Apple & Eve, LLC and US Juice Partners, LLC (6)",Juice manufacturer,"Senior secured loan ($13,401 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,13401.0,13401
313,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior secured loan ($14,100 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,14100.0,14100
314,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior units (50,000 units)",0,10/5/2007,5000.0,4806
315,"Charter Baking Company, Inc.",Baked goods manufacturer,"Senior subordinated loan ($7,111 par due 2/2013)",16.00% PIK,2/6/2008,7111.0,7111
316,"Charter Baking Company, Inc.",0,"Preferred stock (6,258 shares)",0,9/1/2006,2500.0,1500
317,Distant Lands Trading Co.,Coffee manufacturer,"Class A common stock (1,294 shares)",0,4/1/2010,980.0,786
318,Distant Lands Trading Co.,0,"Class A-1 common stock (2,157 shares)",0,4/1/2010,0.0,0
319,"Fleischmann’s Vinegar Company, Inc.","Leading manufacturer, supplier, and distributer of industrial vinegar products","Senior secured loan ($12,628 par due 5/2016)",8.75% (Libor + 7.25%/Q),6/1/2011,12628.0,12628
320,Ideal Snacks Corporation,Snacks manufacturer,"Senior secured revolving loan ($1,084 par due 6/2011)",8.50% (Base Rate + 4.00%/M),4/1/2010,1084.0,1030
321,"10th Street, LLC (6)",Real estate holding company,"Senior subordinated loan ($23,723 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,23723.0,23723
322,"10th Street, LLC (6)",0,Member interest (10.00% interest),0,4/1/2010,594.0,552
323,"10th Street, LLC (6)",0,"Option (25,000 units)",0,4/1/2010,25.0,25
324,"Allied Capital REIT, Inc. (7)",Real estate investment trust,Real estate equity interests,0,4/1/2010,0.0,429
325,"Allied Capital REIT, Inc. (7)",0,Real estate equity interests,0,4/1/2010,50.0,0
326,"American Commercial Coatings, Inc.",Real estate property,"Commercial mortgage loan ($2,000 par due 12/2025)",0,4/1/2010,1723.0,1776
327,"Aquila Binks Forest Development, LLC",Real estate developer,"Commercial mortgage loan ($12,942 par due 6/2011)",0,4/1/2010,11365.0,4957
328,"Aquila Binks Forest Development, LLC",0,Real estate equity interests,0,4/1/2010,0.0,0
329,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,0,4/1/2010,1026.0,2647
330,"Commons R-3, LLC",Real estate developer,Real estate equity interests,0,4/1/2010,0.0,0
331,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,Senior secured loan ($433 par due 6/2010),10.00%,4/1/2010,433.0,444
332,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($8,719 par due 1/2012)",0,4/1/2010,1475.0,459
333,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($12,407 par due 6/2017)",0,4/1/2010,2410.0,801
334,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($10,968 par due 9/2012)",0,4/1/2010,2051.0,673
335,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Senior subordinated loan ($261 par due 3/2013),0,4/1/2010,263.0,29
336,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($2,236 par due 9/2011)",0,4/1/2010,0.0,0
337,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Preferred equity interest,0,4/1/2010,0.0,34
338,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Common equity interest,0,4/1/2010,35.0,0
339,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Member interests,0,4/1/2010,0.0,0
340,"DI Safford, LLC",Hotel operator,"Commercial mortgage loan ($5,423 par due 5/2032)",0,4/1/2010,2682.0,2400
341,"Hot Light Brands, Inc. (7)",Real estate holding company,"Senior secured loan ($35,239 par due 2/2011)",0,4/1/2010,3945.0,3663
342,"Hot Light Brands, Inc. (7)",0,"Common stock (93,500 shares)",0,4/1/2010,0.0,0
343,"MGP Park Place Equity, LLC",Office building operator,"Commercial mortgage loan ($6,500 par due 5/2011)",0,4/1/2010,0.0,0
344,"NPH, Inc.",Hotel property,Real estate equity interests,0,4/1/2010,5291.0,7960
345,Bushnell Inc.,Sports optics manufacturer,"Junior secured loan ($41,325 par due 2/2014)",6.80% (Libor + 6.50%/Q),4/1/2010,32016.0,36366
346,"Carlisle Wide Plank Floors, Inc.",Hardwood floor manufacturer,"Member interest (345,056 shares)",0,4/1/2010,0.0,0
347,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",Membership based buying club franchisor and operator,"Junior secured note ($32,000 par due 2/2017)",12.00%,1/21/2011,31069.0,13120
348,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,"Partnership interests (83,333 shares)",0,11/30/2007,8333.0,0
349,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,"Limited partnership interest (66,667 shares)",0,4/1/2010,2594.0,0
350,"Driven Brands, Inc. (6)",Automotive aftermarket car care franchisor,"Senior secured loan ($3,480 par due 10/2014)",6.50% (Libor + 5.00%/M),5/12/2010,3400.0,3480
351,"Driven Brands, Inc. (6)",0,Senior secured loan ($164 par due 10/2014),7.00% (Base Rate + 3.75%/M),5/12/2010,160.0,164
352,"Driven Brands, Inc. (6)",0,"Common stock (3,772,098 shares)",0,4/1/2010,4939.0,7377
353,"Penn Detroit Diesel Allison, LLC (7)",Diesel engine manufacturer,"Member interest (70,249 shares)",0,4/1/2010,15993.0,19340
354,"Industrial Container Services, LLC (6)","Industrial container manufacturer, reconditioner and servicer",Senior secured revolving loan ($909 par due 9/2011),5.75% (Base Rate + 2.50%/Q),9/30/2005,909.0,909
355,"Industrial Container Services, LLC (6)",0,Senior secured loan ($54 par due 9/2011),5.75% (Base Rate + 2.50%/Q),6/21/2006,54.0,54
356,"Industrial Container Services, LLC (6)",0,Senior secured loan ($821 par due 9/2011),5.75% (Base Rate + 2.50%/Q),6/21/2006,821.0,821
357,"Industrial Container Services, LLC (6)",0,"Common units (1,800,000 units)",0,9/29/2005,1800.0,20145
358,"Athletic Club Holdings, Inc.",Premier health club operator,"Senior secured loan ($7,250 par due 10/2013)",4.69% (Libor + 4.50%/M),10/11/2007,7250.0,7033
359,"Athletic Club Holdings, Inc.",0,"Senior secured loan ($11,500 par due 10/2013)",4.69% (Libor + 4.50%/M),10/11/2007,11500.0,11155
360,"EarthColor, Inc. (7)",Printing management services,"Common stock (89,435 shares)",0,4/1/2010,0.0,0
361,LVCG Holdings LLC (7),Commercial printer,Membership interests (56.53% interest),0,10/12/2007,6600.0,0
362,"National Print Group, Inc.",Printing management services,"Senior secured revolving loan ($1,141 par due 10/2012)",9.00% (Libor + 6.00%/Q),3/2/2006,1141.0,982
363,"National Print Group, Inc.",0,"Senior secured revolving loan ($1,468 par due 10/2012)",9.00% (Base Rate + 5.00%/Q),3/2/2006,1468.0,1262
364,"National Print Group, Inc.",0,"Senior secured loan ($7,629 par due 10/2012)","14.00% (Libor + 6.00% Cash, 5.00% PIK/Q)",3/2/2006,7311.0,7171
365,"National Print Group, Inc.",0,Senior secured loan ($129 par due 10/2012),"14.00% (Base Rate + 5.00% Cash, 5.00% PIK/Q)",3/2/2006,123.0,121
366,"National Print Group, Inc.",0,"Preferred stock (9,344 shares)",0,3/2/2006,2000.0,0
367,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (21,711 shares)",0,9/29/2006,2171.0,3475
368,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Common stock (15,393 shares)",0,9/29/2006,3.0,8
369,"AP Global Holdings, Inc.",Safety and security equipment manufacturer,"Senior secured loan ($6,274 par due 10/2013)",3.94% (Libor + 3.75%/M),11/18/2007,6248.0,6274
370,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,91.0,91
371,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",0,"Common stock (1,885,195 shares)",0,1/17/2008,2291.0,2114
372,"HB&G Building Products, Inc.",Synthetic and wood product manufacturer,"Senior subordinated loan ($9,479 par due 3/2013)",0,10/8/2004,8991.0,179
373,"HB&G Building Products, Inc.",0,"Common stock (2,743 shares)",0,10/8/2004,753.0,0
374,"HB&G Building Products, Inc.",0,"Warrants to purchase up to 4,464 shares of common stock",0,10/8/2004,653.0,0
375,"Geotrace Technologies, Inc.","Reservoir processing, development","Warrants to purchase up to 80,063 shares of preferred stock",0,4/1/2010,1738.0,0
376,"Geotrace Technologies, Inc.",0,"Warrants to purchase up to 130,390 shares of preferred stock",0,4/1/2010,1067.0,0
377,"Geotrace Technologies, Inc.",0,"Warrants to purchase up to 43,356 shares of common stock",0,4/1/2010,54.0,0
378,"Geotrace Technologies, Inc.",0,"Warrants to purchase up to 26,622 shares of common stock",0,4/1/2010,33.0,0
