,Company(1),Industry,,Investment,Interest(5)(10),Acquisition  Date,,Amortized  Cost,Fair Value
184,"Community Education Centers, Inc.",0,0,"Junior secured loan ($31,084 par due 12/2015)",15.26% (Libor + 15.00%/M ),12/10/2010,0,31084.0,31084.0
185,"Community Education Centers, Inc.",0,0,"Junior secured loan ($9,297 par due 12/2015)",15.31% (Libor + 15.00%/M ),12/10/2010,0,9297.0,9297.0
186,"Community Education Centers, Inc.",0,0,"Warrants to purchase up to 578,427 shares",0,12/13/2010,0,0.0,1863.0
187,eInstruction Corporation,"Developer, manufacturer and retailer of educational products",0,"Junior secured loan ($17,000 par due 7/2014)",7.81% (Libor + 7.50%/Q),4/1/2010,0,15002.0,13600.0
188,eInstruction Corporation,0,0,"Senior subordinated loan ($24,221 par due 1/2015)",16.00% PIK,4/1/2010,0,22163.0,20104.0
189,eInstruction Corporation,0,0,"Common stock (2,406 shares)",0,4/1/2010,0,926.0,547.0
190,ELC Acquisition Corporation,"Developer, manufacturer and retailer of educational products",0,Senior secured loan ($160 par due 11/2012),3.50% (Libor + 3.25%/M),11/30/2006,0,160.0,160.0
191,ELC Acquisition Corporation,0,0,"Junior secured loan ($8,333 par due 11/2013)",7.25% (Libor + 7.00%/M),11/30/2006,0,8333.0,8333.0
192,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",Private school operator,0,"Series B preferred stock (1,401,385 shares)",0,8/5/2010,0,4004.0,4403.0
193,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,"Series B preferred stock (348,615 shares)",0,8/5/2010,0,996.0,1095.0
194,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,"Series C preferred stock (1,994,644 shares)",0,6/7/2010,0,547.0,1799.0
195,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,"Series C preferred stock (517,942 shares)",0,6/7/2010,0,142.0,467.0
196,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,Common stock (16 shares),0,6/7/2010,0,0.0,0.0
197,"Instituto de Banca y Comercio, Inc.  & Leeds IV Advisors, Inc.",0,0,Common stock (4 shares),0,6/7/2010,0,0.0,0.0
198,"JTC Education Holdings, Inc.",Postsecondary school operator,0,"Senior secured revolving loan ($1,250 par due 12/2014)",12.75% (Base Rate + 9.50%/Q),12/31/2009,0,1250.0,1250.0
199,"JTC Education Holdings, Inc.",0,0,"Senior secured loan ($18,574 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,0,18574.0,18574.0
200,"JTC Education Holdings, Inc.",0,0,"Senior secured loan ($10,090 par due 12/2014)",12.50% (Libor + 9.50%/M),12/31/2009,0,10090.0,10090.0
201,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",Medical school operator,0,"Senior secured loan ($10,113 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,0,10113.0,15788.0
202,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,"Senior secured loan ($5,775 par due 4/2013)",9.00% (Libor + 6.00%/Q),4/3/2007,0,5775.0,9016.0
203,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,"Senior secured loan ($4,000 par due 4/2013)",9.00% (Libor + 6.00%/Q),9/21/2007,0,4000.0,6245.0
204,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,"Senior secured loan ($5,913 par due 4/2013)",13.00% PIK,12/8/2009,0,2698.0,9231.0
205,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,Preferred stock (800 shares),0,7/30/2008,0,200.0,100.0
206,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,"Preferred stock (8,000 shares)",0,7/30/2008,0,2000.0,1000.0
207,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,Common membership interest (26.27% interest),0,9/21/2007,0,15800.0,19875.0
208,"R3 Education, Inc. (formerly known as Equinox EIC Partners, LLC and MUA Management Company) and EIC Acquisitions Corp. (8)",0,0,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0,0.0,0.0
209,The Dwyer Group,Operator of multiple franchise concepts primarily related to home maintenance or repairs,0,"Senior subordinated loan ($27,100 par due 12/2016)",14.50%,12/22/2010,0,27100.0,27100.0
210,The Dwyer Group,0,0,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,0,13292.0,13292.0
211,"Growing Family, Inc. and GFH Holdings, LLC (6)",Photography services,0,Senior secured revolving loan ($206 par due 8/2011),"9.00% (Libor + 2.00% Cash, 4.00% PIK/M)",3/16/2007,0,201.0,112.0
212,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,0,"Senior secured revolving loan ($2,252 par due 8/2011)","9.00% (Base Rate + 1.75% Cash, 4.00% PIK/M)",3/16/2007,0,2197.0,1220.0
213,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,0,"Senior secured loan ($6,498 par due 3/2013)","9.00% (Libor + 2.00% Cash, 4.00% PIK/M)",3/16/2007,0,6350.0,3520.0
214,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,0,Senior secured loan ($594 par due 3/2013),"9.00% (Libor + 2.00% Cash, 4.00% PIK/M)",3/16/2007,0,581.0,322.0
215,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,0,"Preferred stock (8,750 shares)",0,3/16/2007,0,0.0,0.0
216,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,0,"Common stock (552,430 shares)",0,3/16/2007,0,872.0,0.0
217,"Growing Family, Inc. and GFH Holdings, LLC (6)",0,0,"Warrants to purchase up to 11,313,678 Class B units",0,3/16/2007,0,0.0,0.0
218,PODS Funding Corp.,Storage and warehousing,0,"Senior subordinated loan ($25,125 par due 6/2015)",15.00%,12/23/2009,0,25125.0,25125.0
219,PODS Funding Corp.,0,0,"Senior subordinated loan ($7,582 par due 12/2015)",16.64%,12/23/2009,0,6326.0,7582.0
220,"United Road Towing, Inc.",Towing company,0,"Junior secured loan ($18,889 par due 1/2014)","14.75% (Libor + 11.25 Cash, 1.00% PIK/Q)",4/1/2010,0,18670.0,18889.0
221,"United Road Towing, Inc.",0,0,Warrants to purchase up to 607 shares,0,4/1/2010,0,0.0,20.0
222,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",Laundry service and equipment provider,0,"Senior secured loan ($4,875 par due 8/2014)",7.00% (Base Rate + 3.75%/Q),6/15/2009,0,4716.0,4875.0
223,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,0,"Junior secured loan ($101,900 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,0,101900.0,101900.0
224,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,0,"Junior secured loan ($3,100 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,0,3100.0,3100.0
225,"Augusta Sportswear, Inc.",Manufacturer of athletic apparel,0,"Senior secured loan ($9,158 par due 7/2015)",8.50% (Libor + 7.50%/Q),9/3/2010,0,9158.0,9158.0
226,"Augusta Sportswear, Inc.",0,0,Senior secured loan ($1 par due 7/2015),9.50% (Base Rate + 6.25%/Q ),9/3/2010,0,1.0,1.0
227,"Gilchrist & Soames, Inc.",Personal care manufacturer,0,"Senior secured revolving loan ($1,000 par due 10/2013)",4.04% (Libor + 3.75%/S ),4/1/2010,0,1000.0,1000.0
228,"Gilchrist & Soames, Inc.",0,0,Senior secured revolving loan ($750 par due 10/2013),4.03% (Libor + 3.75%/S ),4/1/2010,0,750.0,750.0
229,"Gilchrist & Soames, Inc.",0,0,"Senior secured loan ($22,902 par due 10/2013)",13.44%,4/1/2010,0,22185.0,22902.0
230,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,0,"Senior subordinated loan ($25,704 par due 12/2017)","13.00% Cash, 2.00% PIK",4/1/2010,0,25704.0,25704.0
231,Insight Pharmaceuticals Corporation (6),0,0,"Common stock (155,000 shares)",0,4/1/2010,0,12070.0,14675.0
232,"Making Memories Wholesale, Inc. (7)",Scrapbooking branded products manufacturer,0,"Senior secured revolving loan ($1,750 par due 8/2014)",10.00% (Libor + 6.50%/S ),8/21/2009,0,1750.0,1750.0
233,"Making Memories Wholesale, Inc. (7)",0,0,"Senior secured loan ($9,148 par due 8/2014)",0,8/21/2009,0,7193.0,2090.0
234,"Making Memories Wholesale, Inc. (7)",0,0,"Senior secured loan ($5,024 par due 8/2014)",0,8/21/2009,0,3874.0,0.0
235,"Making Memories Wholesale, Inc. (7)",0,0,Common stock (100 shares),0,8/21/2009,0,0.0,0.0
236,"The Step2 Company, LLC",Toy manufacturer,0,"Junior secured loan ($27,000 par due 4/2015)",10.00%,4/1/2010,0,25557.0,27000.0
237,"The Step2 Company, LLC",0,0,"Junior secured loan ($30,000 par due 4/2015)",15.00%,4/1/2010,0,28396.0,30000.0
238,"The Step2 Company, LLC",0,0,"Common units (1,114,343 units)",0,4/1/2010,0,24.0,237.0
239,"The Step2 Company, LLC",0,0,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0,0.0,676.0
240,"The Thymes, LLC (7)",Cosmetic products manufacturer,0,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,0,5956.0,6636.0
241,"The Thymes, LLC (7)",0,0,"Common units (5,400 units)",0,6/21/2007,0,0.0,383.0
242,Woodstream Corporation,Pet products manufacturer,0,"Senior subordinated loan ($4,743 par due 2/2015)",12.00%,1/22/2010,0,4743.0,4600.0
243,Woodstream Corporation,0,0,"Senior subordinated loan ($50,257 par due 2/2015)",12.00%,1/22/2010,0,43578.0,48750.0
244,Woodstream Corporation,0,0,"Common stock (4,254 shares)",0,1/22/2010,0,1222.0,2685.0
245,Bundy Refrigeration International Holding B.V. (aka Tyde Group Worldwide) (8),Refrigeration and cooling systems parts manufacturer,0,"Senior secured loan ($8,756 par due 4/2012)",13.13% (Base Rate + 5.63%/M),12/15/2010,0,8756.0,8756.0
246,Bundy Refrigeration International Holding B.V. (aka Tyde Group Worldwide) (8),0,0,"Senior secured loan ($15,651 par due 4/2012)",15.38% (Base Rate + 7.88%/Q ),12/15/2010,0,15651.0,15651.0
247,"Component Hardware Group, Inc.",Commercial equipment manufacturer,0,"Junior secured loan ($3,037 par due 12/2014)","7.00% Cash, 3.00% PIK",8/4/2010,0,3037.0,3037.0
248,"Component Hardware Group, Inc.",0,0,"Senior subordinated loan ($10,206 par due 12/2014)","7.50% Cash, 5.00% PIK",4/1/2010,0,6046.0,10206.0
249,"Component Hardware Group, Inc.",0,0,"Warrants to purchase up to 1,462,500 shares of common stock",0,8/4/2010,0,0.0,1932.0
250,"Emerald Performance Materials, LLC",Polymers and performance materials manufacturer,0,Senior secured loan ($375 par due 11/2013),8.25% (Libor + 4.25%/M),5/16/2006,0,375.0,375.0
251,"Emerald Performance Materials, LLC",0,0,Senior secured loan ($536 par due 11/2013),8.25% (Libor + 4.25%/M),5/16/2006,0,536.0,536.0
252,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($5,359 par due 11/2013)",8.25% (Libor + 4.25%/M),5/16/2006,0,5359.0,5359.0
253,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($7,665 par due 11/2013)",8.25% (Libor + 4.25%/M),5/16/2006,0,7665.0,7665.0
254,"Emerald Performance Materials, LLC",0,0,Senior secured loan ($331 par due 11/2013),8.50% (Base Rate + 1.75%/Q),5/16/2006,0,331.0,331.0
255,"Emerald Performance Materials, LLC",0,0,Senior secured loan ($474 par due 11/2013),8.50% (Base Rate + 1.75%/Q),5/16/2006,0,474.0,474.0
256,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($3,806 par due 11/2013)",10.00% (Libor + 6.00%/M),5/16/2006,0,3806.0,3806.0
257,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($1,579 par due 11/2013)",10.00% (Libor + 6.00%/M),5/16/2006,0,1579.0,1579.0
258,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($3,585 par due 11/2013)","13.00% Cash, 3.00% PIK",5/16/2006,0,3585.0,3585.0
259,"Emerald Performance Materials, LLC",0,0,"Senior secured loan ($5,128 par due 11/2013)","13.00% Cash, 3.00% PIK",5/16/2006,0,5128.0,5128.0
260,"Industrial Air Tool, LP and Affiliates d/b/a Industrial Air Tool (7)",Industrial products,0,"Class B common units (37,125 units)",0,4/1/2010,0,6000.0,16216.0
261,"Industrial Air Tool, LP and Affiliates d/b/a Industrial Air Tool (7)",0,0,Member interest (375 units),0,4/1/2010,0,7419.0,164.0
262,"NetShape Technologies, Inc.",Metal precision engineered components manufacturer,0,Senior secured revolving loan ($972 par due 2/2013),4.00% (Libor + 3.75%/M),4/1/2010,0,521.0,602.0
263,"NetShape Technologies, Inc.",0,0,"Common units (1,000 units)",0,1/30/2007,0,1000.0,0.0
264,Reflexite Corporation (7),Developer and manufacturer of high-visibility reflective products,0,"Senior subordinated loan ($3,282 par due 11/2014)","12.50% Cash, 5.50% PIK",2/26/2008,0,3282.0,3282.0
265,Reflexite Corporation (7),0,0,"Senior subordinated loan ($5,999 par due 11/2014)","12.50% Cash, 5.50% PIK",2/26/2008,0,5999.0,5999.0
266,Reflexite Corporation (7),0,0,"Common stock (1,821,860 shares)",0,3/28/2006,0,27435.0,30523.0
267,"STS Operating, Inc.",Hydraulic systems equipment and supplies provider,0,"Senior subordinated loan ($30,386 par due 1/2013)",11.00%,4/1/2010,0,29562.0,30386.0
268,"UL Holding Co., LLC",Petroleum product manufacturer,0,"Junior secured loan ($5,000 par due 12/2012)",15.00%,8/13/2010,0,5000.0,5000.0
269,"UL Holding Co., LLC",0,0,"Junior secured loan ($2,103 par due 12/2012)",9.69% (Libor + 9.38%/Q),2/13/2009,0,2103.0,2103.0
270,"UL Holding Co., LLC",0,0,Junior secured loan ($837 par due 12/2012),9.69% (Libor + 9.38%/Q ),2/13/2009,0,837.0,837.0
271,"UL Holding Co., LLC",0,0,"Junior secured loan ($2,114 par due 12/2012)",14.50%,2/13/2009,0,2114.0,2114.0
272,"UL Holding Co., LLC",0,0,Junior secured loan ($842 par due 12/2012),14.50%,2/13/2009,0,842.0,842.0
273,"UL Holding Co., LLC",0,0,"Junior secured loan ($10,782 par due 12/2012)",9.69% (Libor + 9.38%/Q ),2/13/2009,0,10782.0,10782.0
274,"UL Holding Co., LLC",0,0,"Junior secured loan ($2,956 par due 12/2012)",14.50%,2/13/2009,0,2956.0,2956.0
275,"UL Holding Co., LLC",0,0,Junior secured loan ($985 par due 12/2012),14.50%,2/13/2009,0,985.0,985.0
276,"UL Holding Co., LLC",0,0,"Common units (50,000 units)",0,4/25/2008,0,500.0,109.0
277,"UL Holding Co., LLC",0,0,"Common units (207,843 units)",0,4/25/2008,0,0.0,452.0
278,"Apple & Eve, LLC and US Juice Partners, LLC (6)",Juice manufacturer,0,"Senior secured loan ($13,440 par due 10/2013)",12.00% (Libor + 9.00%/M),10/5/2007,0,13440.0,13440.0
279,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,0,"Senior secured loan ($14,140 par due 10/2013)",12.00% (Libor + 9.00%/M ),10/5/2007,0,14140.0,14140.0
280,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,0,"Senior units (50,000 units)",0,10/5/2007,0,5000.0,4984.0
281,"Border Foods, Inc. (7)",Green chile and jalapeno products manufacturer,0,"Senior secured loan ($28,526 par due 3/2012)",13.50%,4/1/2010,0,28526.0,28526.0
282,"Border Foods, Inc. (7)",0,0,"Preferred stock (100,000 shares)",0,4/1/2010,0,21346.0,23293.0
283,"Border Foods, Inc. (7)",0,0,"Common stock (148,838 shares)",0,4/1/2010,0,13472.0,6795.0
284,"Border Foods, Inc. (7)",0,0,"Common stock (87,707 shares)",0,4/1/2010,0,0.0,4004.0
285,"Border Foods, Inc. (7)",0,0,"Common stock (23,922 shares)",0,4/1/2010,0,0.0,1092.0
286,"Charter Baking Company, Inc.",Baked goods manufacturer,0,"Senior subordinated loan ($7,111 par due 2/2013)",13.00% PIK,2/6/2008,0,7111.0,7111.0
287,"Charter Baking Company, Inc.",0,0,"Preferred stock (6,258 shares)",0,9/1/2006,0,2500.0,1650.0
288,Distant Lands Trading Co.,Coffee manufacturer,0,"Common stock (1,294 shares)",0,4/1/2010,0,980.0,850.0
289,Distant Lands Trading Co.,0,0,"Common stock (2,157 shares)",0,4/1/2010,0,0.0,0.0
290,Ideal Snacks Corporation,Snacks manufacturer,0,"Senior secured revolving loan ($1,071 par due 6/2011)",8.50% (Base Rate + 4.00%/M),4/1/2010,0,1071.0,910.0
291,"American Broadband Communications, LLC and American Broadband Holding Company",Broadband communication services,0,Senior secured loan ($523 par due 9/2013),7.50% (Libor + 5.50%/Q),9/1/2010,0,555.0,523.0
292,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior secured loan ($17,550 par due 9/2013)",7.50% (Libor + 5.50%/Q ),9/1/2010,0,16752.0,17550.0
293,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior secured loan ($9,165 par due 9/2013)",7.50% (Libor + 5.50%/Q ),9/1/2010,0,9165.0,9165.0
294,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior subordinated loan ($32,932 par due 11/2014)","12.00% Cash, 2.00% PIK",2/8/2008,0,32932.0,32932.0
295,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior subordinated loan ($10,372 par due 11/2014)","12.00% Cash, 2.00% PIK",11/7/2007,0,10372.0,10372.0
296,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,"Senior subordinated loan ($26,010 par due 11/2014)","10.00% Cash, 4.00% PIK",9/1/2010,0,26010.0,26010.0
297,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,Warrants to purchase up to 378 shares,0,9/1/2010,0,0.0,7330.0
298,"American Broadband Communications, LLC and American Broadband Holding Company",0,0,Warrants to purchase up to 200 shares,0,11/7/2007,0,0.0,0.0
299,"Startec Equity, LLC (7)",Communication services,0,Member interest,0,4/1/2010,0,0.0,0.0
300,"AWTP, LLC",Water treatment services,0,"Junior secured loan ($4,755 par due 12/2012)",0,12/21/2005,0,4755.0,1517.0
301,"AWTP, LLC",0,0,"Junior secured loan ($2,086 par due 12/2012)",0,12/21/2005,0,2086.0,666.0
302,"AWTP, LLC",0,0,"Junior secured loan ($4,755 par due 12/2012)",0,12/21/2005,0,4755.0,1517.0
303,"AWTP, LLC",0,0,"Junior secured loan ($2,086 par due 12/2012)",0,12/21/2005,0,2086.0,666.0
304,"Mactec, Inc.",Engineering and environmental services,0,Class B-4 stock (16 shares),0,11/3/2004,0,0.0,0.0
305,"Mactec, Inc.",0,0,"Class C stock (5,556 shares)",0,11/3/2004,0,0.0,165.0
306,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,0,"Senior secured loan ($36,700 par due 3/2016)",11.50% (Libor + 9.75%/M),3/1/2011,0,36700.0,36700.0
307,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",0,0,"Senior secured loan ($8,300 par due 3/2016)",11.50% (Libor + 9.75%/M),3/1/2011,0,8300.0,8300.0
308,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",0,0,"Senior secured loan ($5,000 par due 3/2016)",11.50% (Libor + 9.75%/Q ),3/1/2011,0,5000.0,5000.0
309,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",0,0,"Preferred stock (1,000 shares)",0,3/1/2011,0,7500.0,7500.0
310,"Sigma International Group, Inc. (8)",Water treatment parts manufacturer,0,"Junior secured loan ($1,827 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,1823.0,1279.0
311,"Sigma International Group, Inc. (8)",0,0,"Junior secured loan ($3,986 par due 10/2013)",16.00% (Libor + 8.00%/Q),10/11/2007,0,3978.0,2790.0
312,"Sigma International Group, Inc. (8)",0,0,"Junior secured loan ($2,796 par due 10/2013)",16.00% (Base Rate + 6.50%/M),10/11/2007,0,2790.0,1957.0
313,"Sigma International Group, Inc. (8)",0,0,Junior secured loan ($926 par due 10/2013),16.00% (Base Rate + 6.50%/M),10/11/2007,0,924.0,648.0
314,"Sigma International Group, Inc. (8)",0,0,"Junior secured loan ($6,100 par due 10/2013)",16.00% (Base Rate + 6.50%/M),10/11/2007,0,6086.0,4270.0
315,"Sigma International Group, Inc. (8)",0,0,"Junior secured loan ($2,020 par due 10/2013)",16.00% (Base Rate + 6.50%/M),10/11/2007,0,2015.0,1414.0
316,"Waste Pro USA, Inc",Waste management services,0,"Preferred Class A Common Equity (611,615 shares)",0,11/9/2006,0,12263.0,17781.0
317,"Wastequip, Inc.",Waste management equipment manufacturer,0,"Senior subordinated loan ($12,669 par due 2/2015)",0,2/5/2007,0,12581.0,760.0
318,"Wastequip, Inc.",0,0,"Common stock (13,889 shares)",0,2/2/2007,0,1389.0,0.0
319,Bushnell Inc.,Sports optics manufacturer,0,"Junior secured loan ($41,325 par due 2/2014)",6.80% (Libor + 6.50%/Q),4/1/2010,0,31344.0,35126.0
320,"Carlisle Wide Plank Floors, Inc.",Hardwood floor manufacturer,0,"Senior secured loan ($1,545 par due 6/2011)",0,4/1/2010,0,1450.0,773.0
321,"Carlisle Wide Plank Floors, Inc.",0,0,"Common stock (345,056 shares)",0,4/1/2010,0,0.0,0.0
322,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",Membership based buying club franchisor and operator,0,"Junior secured note ($32,000 par due 2/2017)",12.00%,1/21/2011,0,31069.0,24640.0
323,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,0,"Partnership interests (83,333 shares)",0,11/30/2007,0,8333.0,1794.0
324,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,0,"Limited partnership interest (66,667 shares)",0,4/1/2010,0,2594.0,1436.0
325,"10th Street, LLC (6)",Real estate holding company,0,"Senior subordinated loan ($23,489 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,0,23489.0,23489.0
326,"10th Street, LLC (6)",0,0,Member interest (10.00% interest),0,4/1/2010,0,594.0,565.0
327,"10th Street, LLC (6)",0,0,"Option (25,000 units)",0,4/1/2010,0,25.0,25.0
328,"Allied Capital REIT, Inc. (7)",Real estate investment trust,0,Real estate equity interests,0,4/1/2010,0,50.0,54.0
329,"Allied Capital REIT, Inc. (7)",0,0,Real estate equity interests,0,4/1/2010,0,0.0,1075.0
330,"American Commercial Coatings, Inc.",Real estate property,0,"Commercial mortgage loan ($2,000 par due 12/2025)",0,4/1/2010,0,1834.0,1822.0
331,"Aquila Binks Forest Development, LLC",Real estate developer,0,"Commercial mortgage loan ($12,942 par due 6/2011)",0,4/1/2010,0,11365.0,4913.0
332,"Aquila Binks Forest Development, LLC",0,0,Real estate equity interests,0,4/1/2010,0,0.0,0.0
333,"Cleveland East Equity, LLC",Hotel operator,0,Real estate equity interests,0,4/1/2010,0,1026.0,2158.0
334,"Commons R-3, LLC",Real estate developer,0,Real estate equity interests,0,4/1/2010,0,0.0,0.0
335,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,0,Senior secured loan ($433 par due 6/2010),10.00%,4/1/2010,0,433.0,444.0
336,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($4,124 par due 1/2012)",0,4/1/2010,0,1475.0,596.0
337,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($4,348 par due 6/2017)",0,4/1/2010,0,1482.0,628.0
338,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($2,722 par due 6/2017)",0,4/1/2010,0,928.0,393.0
339,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($5,974 par due 9/2012)",0,4/1/2010,0,2051.0,863.0
340,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,Senior subordinated loan ($263 par due 3/2013),0,4/1/2010,0,263.0,38.0
341,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,Senior subordinated loan ($2.112 par due 9/2011),0,4/1/2010,0,0.0,0.0
342,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($3,078 par due 1/2012)",0,4/1/2010,0,0.0,0.0
343,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($2,926 par due 6/2017)",0,4/1/2010,0,0.0,0.0
344,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($2,050 par due 6/2017)",0,4/1/2010,0,0.0,0.0
345,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,"Senior subordinated loan ($4,826 par due 9/2012)",0,4/1/2010,0,0.0,0.0
346,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,Preferred equity interest,0,4/1/2010,0,0.0,18.0
347,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,Preferred equity interest,0,4/1/2010,0,0.0,16.0
348,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,Common equity interest,0,4/1/2010,0,35.0,0.0
349,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,0,Member interests,0,4/1/2010,0,0.0,0.0
350,"DI Safford, LLC",Hotel operator,0,"Commercial mortgage loan ($5,311 par due 5/2032)",0,4/1/2010,0,2757.0,2750.0
351,"Hot Light Brands, Inc. (7)",Real estate holding company,0,"Senior secured loan ($27,393 par due 2/2011)",0,4/1/2010,0,4875.0,4543.0
352,"Hot Light Brands, Inc. (7)",0,0,"Common stock (93,500 shares)",0,4/1/2010,0,0.0,0.0
353,"MGP Park Place Equity, LLC",Office building operator,0,"Commercial mortgage loan ($6,000 par due 5/2011)",0,4/1/2010,0,150.0,0.0
354,"NPH, Inc.",Hotel property,0,Real estate equity interests,0,4/1/2010,0,5291.0,7838.0
355,"Van Ness Hotel, Inc.",Hotel operator,0,"Commercial mortgage loan ($3,750 par due 8/2013)",0,4/1/2010,0,1027.0,0.0
356,"Van Ness Hotel, Inc.",0,0,"Commercial mortgage loan ($13,579 par due 12/2011)",0,4/1/2010,0,13579.0,11513.0
357,"Van Ness Hotel, Inc.",0,0,Real estate equity interests,0,4/1/2010,0,0.0,0.0
358,"Savers, Inc. and SAI Acquisition Corporation",For-profit thrift retailer,0,"Common stock (1,218,481 shares)",0,8/8/2006,0,4909.0,9907.0
359,"Things Remembered, Inc. and TRM Holdings Corporation",Personalized gifts retailer,0,Senior secured loan ($915 par due 3/2014),9.00% (Libor + 7.00%/M),9/28/2006,0,913.0,915.0
360,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,"Senior secured loan ($36,433 par due 3/2014)",9.00% (Libor + 7.00%/M),9/28/2006,0,36400.0,36433.0
361,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,"Senior secured loan ($7,311 par due 3/2014)",9.00% (Libor + 7.00%/M),9/28/2006,0,7389.0,7311.0
362,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Preferred stock (73 shares),0,3/19/2009,0,0.0,2042.0
363,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Preferred stock (80 shares),0,9/28/2006,0,1800.0,2234.0
364,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Common stock (800 shares),0,9/28/2006,0,200.0,0.0
365,"Things Remembered, Inc. and TRM Holdings Corporation",0,0,Warrants to purchase up to 859 shares of preferred stock,0,3/19/2009,0,0.0,0.0
