,Company(1),Business Description,Investment,Interest (5)(10),Acquisition  Date,Amortized  Cost,Fair Value
199,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Warrants to purchase up to 1,654,678 shares of common stock",0,7/27/2011,0.0,0
200,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Warrants to purchase up to 1,489 shares of preferred stock",0,7/27/2011,0.0,335
201,"Oak Parent, Inc.",Manufacturer of athletic apparel,"Senior secured loan ($57,000 par due 4/2018)",8.00% (Libor + 7.00%/Q),4/2/2012,56742.0,57000
202,"Oak Parent, Inc.",0,"Senior secured loan ($10,000 par due 4/2018)",8.00% (Libor + 7.00%/Q),4/2/2012,9954.0,10000
203,"The Step2 Company, LLC",Toy manufacturer,"Junior secured loan ($27,000 par due 4/2015)",10.00%,4/1/2010,25922.0,27000
204,"The Step2 Company, LLC",0,"Junior secured loan ($31,971 par due 4/2015)","10.00% Cash, 5.00% PIK",4/1/2010,30839.0,28134
205,"The Step2 Company, LLC",0,"Common units (1,116,879 units)",0,4/1/2010,24.0,9
206,"The Step2 Company, LLC",0,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0.0,25
207,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,5952.0,6672
208,"The Thymes, LLC (7)",0,"Common units (5,400 units)",0,6/21/2007,0.0,1071
209,Woodstream Corporation,Pet products manufacturer,"Senior secured loan ($3,000 par due 8/2014)",6.50% (Libor + 5.00%/Q),4/18/2012,3000.0,3000
210,Woodstream Corporation,0,"Senior secured loan ($15,000 par due 8/2014)",6.50% (Libor + 5.00%/Q),4/18/2012,15000.0,15000
211,Woodstream Corporation,0,"Senior subordinated loan ($45,000 par due 2/2015)",12.00%,1/22/2010,41013.0,45000
212,Woodstream Corporation,0,"Common stock (4,254 shares)",0,1/22/2010,1222.0,3320
213,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer",Senior secured loan ($131 par due 8/2016),8.00% (Base Rate + 7.00%/Q),8/31/2011,131.0,131
214,"ICSH, Inc.",0,"Senior secured loan ($50,886 par due 8/2016)",8.00% (Libor + 7.00%/Q),8/31/2011,50886.0,50886
215,"ICSH, Inc.",0,"Senior secured loan ($49,618 par due 8/2016)",8.00% (Libor + 7.00%/Q),8/31/2011,49618.0,49618
216,"ICSH, Inc.",0,"Senior secured loan ($14,949 par due 8/2016)",8.00% (Base Rate + 7.00%/Q),8/31/2011,14949.0,14949
217,Microstar Logistics LLC,Keg management solutions provider,"Junior secured loan ($60,000 par due 8/2016)",10.00% (Libor + 9.00%/Q),8/5/2011,60000.0,60000
218,Microstar Logistics LLC,0,"Junior secured loan ($50,000 par due 8/2016)",10.00% (Libor + 9.00%/Q),8/5/2011,50000.0,50000
219,"Pregis Corporation, Pregis Intellipack Corp. and Pregis Innovative Packaging Inc.","Provider of a broad range of highly-customized, tailored protective packaging solutions","Senior secured loan ($1,000 par due 3/2017)",7.75% (Libor + 6.25%/M),4/25/2012,1000.0,1000
220,"Competitor Group, Inc.",Endurance sports media and event operator,"Senior secured loan ($29,489 par due 1/2017)",9.50% (Libor + 8.00%/Q),1/30/2012,29489.0,29489
221,"Competitor Group, Inc.",0,"Senior secured loan ($4,969 par due 1/2017)",9.50% (Libor + 8.00%/Q),1/30/2012,4969.0,4969
222,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","Senior secured loan ($21,784 par due 3/2017)",7.00% (Libor + 5.50%/S),3/30/2012,21784.0,21784
223,"McKenzie Sports Products, LLC",0,Senior secured loan ($161 par due 3/2017),7.75% (Base Rate + 4.50%/M),3/30/2012,161.0,161
224,"McKenzie Sports Products, LLC",0,"Senior secured loan ($9,902 par due 3/2017)",7.00% (Libor + 5.50%/S),3/30/2012,9902.0,9902
225,"McKenzie Sports Products, LLC",0,Senior secured loan ($73 par due 3/2017),7.75% (Base Rate + 4.50%/M),3/30/2012,73.0,73
226,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($25,303 par due 6/2018)","12.00% Cash, 1.50% PIK",12/22/2010,25303.0,25303
227,The Dwyer Group (6),0,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,6089.0,12439
228,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",Laundry service and equipment provider,"Senior secured loan ($27,325 par due 8/2014)",7.00% (Base Rate + 3.75%/Q),6/26/2012,27220.0,27325
229,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($40,000 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,40000.0,40000
230,"Wash Multifamily Laundry Systems, LLC (fka Web Services Company, LLC)",0,"Junior secured loan ($50,000 par due 8/2015)",10.88% (Libor + 9.38%/Q),1/25/2011,50000.0,50000
231,"Component Hardware Group, Inc.",Commercial equipment,"Junior secured loan ($3,154 par due 12/2014)","7.00% Cash, 3.00% PIK",8/4/2010,3154.0,3154
232,"Component Hardware Group, Inc.",0,"Senior subordinated loan ($10,866 par due 12/2014)","7.50% Cash, 5.00% PIK",4/1/2010,7606.0,10866
233,"Component Hardware Group, Inc.",0,"Warrants to purchase up to 1,462,500 shares of common stock",0,8/4/2010,0.0,4213
234,HOPPY Holdings Corp.,Automotive and recreational vehicle aftermarket products,"Senior secured loan ($13,238 par due 6/2016)",5.00% (Libor + 3.75%/M),6/3/2011,13238.0,12973
235,"MWI Holdings, Inc.","Highly engineered springs, fastners, and other precision components","Senior secured loan ($38,274 par due 6/2017)",10.00% (Libor + 8.00%/Q),6/15/2011,38274.0,38274
236,"MWI Holdings, Inc.",0,"Senior secured loan ($10,000 par due 6/2017)",10.00% (Libor + 8.00%/Q),6/15/2011,10000.0,10000
237,"NetShape Technologies, Inc.",Metal precision engineered components,Senior secured revolving loan ($648 par due 2/2013),4.21% (Libor + 3.75%/Q),4/1/2010,197.0,549
238,"Protective Industries, Inc.",Plastic protection products,Senior secured revolving loan ($233 par due 5/2016),6.25% (Base Rate + 3.00%/M),5/23/2011,233.0,229
239,"Protective Industries, Inc.",0,Senior secured revolving loan ($933 par due 5/2016),5.75% (Libor + 4.25%/M),5/23/2011,933.0,915
240,"Protective Industries, Inc.",0,"Senior secured loan ($5,561 par due 5/2017)",5.75% (Libor + 4.25%/M),5/23/2011,5561.0,5449
241,"Protective Industries, Inc.",0,Senior secured loan ($14 par due 5/2017),6.25% (Base Rate + 3.00%/M),5/23/2011,14.0,14
242,"Protective Industries, Inc.",0,Senior subordinated loan ($746 par due 5/2018),"8.00% Cash, 7.25% PIK",5/23/2011,746.0,746
243,"Protective Industries, Inc.",0,"Preferred stock (2,379,361 shares)",0,5/23/2011,2307.0,3759
244,Saw Mill PCG Partners LLC,Metal precision engineered components,"Common units (1,000 units)",0,1/30/2007,1000.0,0
245,"Sigma International Group, Inc.",Water treatment parts,"Junior secured loan ($4,151 par due 4/2014)","10.00% (Libor + 5.00% Cash, 5.00% PIK /A)",7/8/2011,4151.0,3487
246,"SSH Environmental Industries, Inc. and SSH Non-Destructive Testing, Inc.",Magnetic sensors and supporting sensor products,"Senior secured loan ($11,867 par due 12/2016)",9.00% (Libor + 7.50%/Q),3/23/2012,11640.0,11867
247,"WP CPP Holdings, LLC",Precision engineered castings,"Senior secured loan ($10,743 par due 10/2017)",8.50% (Libor + 7.00%/M),10/11/2011,10696.0,10743
248,"WP CPP Holdings, LLC",0,"Senior secured loan ($49,749 par due 10/2017)",8.50% (Libor + 7.00%/M),10/11/2011,49511.0,49749
249,"WP CPP Holdings, LLC",0,"Senior secured loan ($9,975 par due 10/2017)",8.50% (Libor + 7.00%/M),10/11/2011,9929.0,9975
250,Bushnell Inc.,Sports optics manufacturer,"Senior secured loan ($22,886 par due 8/2015)",6.00% (Libor + 4.50%/Q),4/30/2012,22886.0,22657
251,Bushnell Inc.,0,"Senior secured loan ($26,685 par due 8/2015)",5.75% (Libor + 4.25%/Q),4/19/2012,26551.0,26285
252,Bushnell Inc.,0,"Junior secured loan ($56,325 par due 2/2016)",9.00% (Libor + 7.50%/Q),4/1/2010,49584.0,55198
253,Bushnell Inc.,0,"Junior secured loan ($43,675 par due 2/2016)",9.50% (Libor + 8.00%/Q),4/30/2012,43675.0,43238
254,Grocery Outlet Inc.,Value grocery retailer,"Senior secured loan ($30,000 par due 12/2017)",10.50% (Libor + 9.00%/Q),12/15/2011,30000.0,30000
255,Grocery Outlet Inc.,0,"Senior secured loan ($1,185 par due 12/2017)",11.25% (Base Rate + 8.00%/Q),12/15/2011,1185.0,1185
256,Grocery Outlet Inc.,0,"Senior secured loan ($47,619 par due 12/2017)",10.50% (Libor + 9.00%/Q),12/15/2011,47619.0,47619
257,Grocery Outlet Inc.,0,"Senior secured loan ($1,881 par due 12/2017)",11.25% (Base Rate + 8.00%/Q),12/15/2011,1881.0,1881
258,Grocery Outlet Inc.,0,"Senior secured loan ($9,524 par due 12/2017)",10.50% (Libor + 9.00%/Q),12/15/2011,9524.0,9524
259,Grocery Outlet Inc.,0,Senior secured loan ($376 par due 12/2017),11.25% (Base Rate + 8.00%/Q),12/15/2011,376.0,376
260,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",Broadband communication services,"Senior secured loan ($8,077 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,8077.0,8077
261,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($10,634 par due 11/2014)","12.00% Cash, 2.00% PIK",9/1/2010,10634.0,10208
262,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($22,816 par due 11/2014)","10.00% Cash, 4.00% PIK",11/7/2007,22816.0,21904
263,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($33,762 par due 11/2014)","12.00% Cash, 2.00% PIK",11/7/2007,33762.0,32412
264,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,Warrants to purchase up to 378 shares,0,11/7/2007,0.0,808
265,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,Warrants to purchase up to 200 shares,0,9/1/2010,0.0,427
266,Dialog Telecom LLC,Broadband communication services,"Senior secured loan ($16,476 par due 12/2013)","12.00% (Libor + 10.50% Cash, 1.50% PIK /Q)",6/20/2011,16476.0,16476
267,"Startec Equity, LLC (7)",Communication services,Member interest,0,4/1/2010,0.0,0
268,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",Membership based buying club franchisor and operator,"Limited partnership interest (66,667 shares)",0,4/1/2010,2594.0,0
269,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,"Limited partnership interest (83,333 shares)",0,11/30/2007,8333.0,0
270,Fulton Holdings Corp.,Airport restaurant operator,"Senior secured loan ($40,000 par due 5/2016)",12.50%,5/28/2010,40000.0,40000
271,Fulton Holdings Corp.,0,"Common stock (19,672 shares)",0,5/28/2010,1967.0,1563
272,"Savers, Inc. and SAI Acquisition Corporation",For-profit thrift retailer,"Common stock (1,218,481 shares)",0,8/8/2006,4909.0,19834
273,Things Remembered Inc. and TRM Holdings Corporation,Personalized gifts retailer,"Senior secured loan ($15,000 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,15000.0,15000
274,Things Remembered Inc. and TRM Holdings Corporation,0,"Senior secured loan ($10,000 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,10000.0,10000
275,"EquiPower Resources Holdings, LLC",Gas-fired power generation facilities operator,"Junior secured loan ($22,500 par due 6/2019)",10.00% (Libor + 8.50%/Q),6/27/2012,22050.0,22050
276,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Junior secured loan ($59,000 par due 8/2018)",10.25% (Libor + 8.75%/Q),8/9/2011,57840.0,56050
277,USG Nevada LLC,"Geothermal, renewable energy, developer for electrical power and direct uses","Junior secured loan ($7,500 par due 6/2012)",11.97% (Libor + 11.50%/Q),11/10/2011,7500.0,7500
278,"PRV Aerospace, LLC",Aerospace precision components manufacturer,"Senior secured loan ($8,500 par due 5/2018)",6.50% (Libor + 5.25%/Q),5/15/2012,8416.0,8500
279,"PRV Aerospace, LLC",0,"Junior secured loan ($68,000 par due 5/2019)",10.50% (Libor + 9.25%/Q),5/10/2012,68000.0,68000
280,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,99.0,99
281,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",0,"Common stock (1,885,195 shares)",0,1/17/2008,2291.0,2093
282,"Geotrace Technologies, Inc.","Reservoir processing, development","Warrants to purchase up to 69,978 shares of common stock",0,4/1/2010,88.0,0
283,"Geotrace Technologies, Inc.",0,"Warrants to purchase up to 210,453 shares of preferred stock",0,4/1/2010,2806.0,1576
284,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Junior secured loan ($30,211 par due 12/2014)","9.34% (Libor + 7.34% Cash, 2.00% PIK /Q)",4/30/2012,30211.0,30211
285,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($20,532 par due 12/2014)","12.00% Cash, 2.00% PIK",4/30/2012,20532.0,20532
286,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($5,025 par due 12/2014)","12.00% Cash, 3.00% PIK",4/30/2012,5025.0,5025
287,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($2,926 par due 12/2014)","12.00% Cash, 2.00% PIK",4/30/2012,2926.0,2926
288,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class A common units (10,782 units)",0,6/17/2011,108.0,82
289,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class B-5 common units (599,200 units)",0,4/25/2008,5472.0,4541
290,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class B-4 common units (50,000 units)",0,6/17/2011,500.0,379
291,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class C common units (618,091 units)",0,4/25/2008,0.0,4685
292,"Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Preferred stock (247,500 units)",0,12/16/2011,2475.0,2550
293,"Driven Holdings, LLC",0,"Common stock (25,000 units)",0,12/16/2011,25.0,56
294,"Stag-Parkway, Inc. (7)",Automotive aftermarket components supplier,"Senior secured loan ($34,500 par due 12/2014)",12.50% (Libor + 11.00%/Q),9/30/2010,34500.0,34500
295,"Stag-Parkway, Inc. (7)",0,"Preferred stock (4,200 shares)",16.50% PIK,9/30/2010,2664.0,4200
296,"Stag-Parkway, Inc. (7)",0,"Common stock (10,200 shares)",0,9/30/2010,0.0,23067
297,"Earthcolor Group, LLC (6)",Printing management services,Limited liability company interests (9.30%),0,5/18/2012,0.0,0
298,"National Print Group, Inc.",Printing management services,"Senior secured revolving loan ($1,141 par due 10/2013)",9.00% (Libor + 6.00%/Q),3/2/2006,1141.0,1096
299,"National Print Group, Inc.",0,Senior secured revolving loan ($627 par due 10/2013),9.00% (Base Rate + 5.00%/M),3/2/2006,627.0,602
300,"National Print Group, Inc.",0,"Senior secured loan ($7,510 par due 10/2013)","10.00% (Libor + 9.00% Cash, 1.00% PIK /Q)",3/2/2006,7213.0,7360
301,"National Print Group, Inc.",0,"Preferred stock (9,344 shares)",0,3/2/2006,2000.0,0
302,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Senior secured loan ($21,531 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,21531.0,21531
303,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Senior secured loan ($10,000 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,10000.0,10000
304,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Preferred stock (10,663 shares)",0,9/29/2006,1066.0,4483
305,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Common stock (15,393 shares)",0,9/29/2006,3.0,11
306,"10th Street, LLC (6)",Real estate holding company,"Senior subordinated loan ($24,706 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,24706.0,24706
307,"10th Street, LLC (6)",0,Member interest (10.00% interest),0,4/1/2010,594.0,492
308,"10th Street, LLC (6)",0,"Option (25,000 units)",0,4/1/2010,25.0,25
309,"American Commercial Coatings, Inc.",Real estate property,"Commercial mortgage loan ($2,000 par due 12/2025)",0,4/1/2010,1238.0,2004
310,"Aquila Binks Forest Development, LLC",Real estate developer,"Commercial mortgage loan ($13,477 par due 12/2014)",0,4/1/2010,11900.0,2966
311,"Aquila Binks Forest Development, LLC",0,Real estate equity interests,0,4/1/2010,0.0,0
312,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,0,4/1/2010,1026.0,2624
313,"Commons R-3, LLC",Real estate developer,Real estate equity interests,0,4/1/2010,0.0,0
314,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,"Senior subordinated loan ($2,236 par due 9/2011)",0,4/1/2010,0.0,0
315,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($2,092 par due 6/2017)",0,4/1/2010,0.0,0
316,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Common equity interest,0,4/1/2010,0.0,0
317,"Hot Light Brands, Inc. (7)",Real estate holding company,"Senior secured loan ($34,239 par due 2/2011)",0,4/1/2010,2946.0,2566
318,"Hot Light Brands, Inc. (7)",0,"Common stock (93,500 shares)",0,4/1/2010,0.0,0
319,"NPH, Inc.",Hotel property,Real estate equity interests,0,4/1/2010,5291.0,8170
320,PODS Funding Corp.,Storage and warehousing,"Junior subordinated loan ($39,675 par due 5/2017)","12.75% Cash, 2.75% PIK",11/29/2011,39675.0,39675
321,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,4/1/2010,0.0,0
322,"Apple & Eve, LLC and US Juice Partners, LLC (6)",Juice manufacturer,"Senior secured loan ($21,530 par due 10/2013)",13.00% (Libor + 10.00%/M),10/5/2007,21530.0,21529
323,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior secured loan ($4,818 par due 10/2013)",13.00% (Libor + 10.00%/M),10/5/2007,4818.0,4818
324,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior units (50,000 units)",0,10/5/2007,5000.0,2030
325,"Charter Baking Company, Inc.",Baked goods manufacturer,"Senior subordinated loan ($8,230 par due 2/2013)",16.00% PIK,2/6/2008,8230.0,8230
326,"Charter Baking Company, Inc.",0,"Preferred stock (6,258 shares)",8.00% PIK,9/1/2006,2566.0,1542
327,Distant Lands Trading Co.,Coffee manufacturer,"Class A common stock (1,294 shares)",0,4/1/2010,980.0,275
328,Distant Lands Trading Co.,0,"Class A-1 common stock (2,157 shares)",0,4/1/2010,0.0,0
329,"AWTP, LLC (7)",Water treatment services,"Junior secured loan ($4,212 par due 6/2015)","5.00% Cash, 5.00% PIK",4/18/2011,4212.0,4212
330,"AWTP, LLC (7)",0,"Junior secured loan ($5,826 par due 6/2015)",15.00% PIK,4/18/2011,5826.0,5826
331,"AWTP, LLC (7)",0,Membership interests (90% interest),0,4/18/2011,0.0,333
332,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",12.50% PIK,3/1/2011,8839.0,5032
333,"Waste Pro USA, Inc",Waste management services,"Preferred Class A common equity (611,615 shares)",0,11/9/2006,12263.0,22380
334,"Athletic Club Holdings, Inc.",Premier health club operator,"Senior secured loan ($11,500 par due 10/2013)",4.75% (Libor + 4.50%/M),10/11/2007,11500.0,11385
335,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,"Common stock (25,000 shares)",0,7/30/2010,2500.0,3455
