,Company(1),Business Description,Investment,Interest (5)(11),Acquisition  Date,Amortized  Cost,Fair Value
194,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior subordinated loan ($3,000 par due 9/2015)",9.00%,9/30/2011,3000.0,3000
195,Financial Pacific Company,Commercial finance leasing,"Preferred stock (6,500 shares)",8.00% PIK,10/13/2010,5284.0,10069
196,Financial Pacific Company,0,"Common stock (650,000 shares)",0,10/13/2010,0.0,0
197,Imperial Capital Group LLC,Investment services,"2006 Class B common units (2,526 units)",0,5/10/2007,3.0,3
198,Imperial Capital Group LLC,0,2007 Class B common units (315 units),0,5/10/2007,0.0,0
199,Imperial Capital Group LLC,0,"Class A common units (7,710 units)",0,5/10/2007,14997.0,18661
200,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,112876.0,211614
201,"Gilchrist & Soames, Inc.",Personal care manufacturer,"Senior secured revolving loan ($4,750 par due 10/2013)",6.25% (Libor + 5.00%/M),4/1/2010,4750.0,4750
202,"Gilchrist & Soames, Inc.",0,"Senior secured loan ($21,941 par due 10/2013)",13.44%,4/1/2010,21634.0,20844
203,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,10/31/2011,4800.0,4800
204,"Implus Footcare, LLC",0,Common stock (455 shares),0,10/31/2011,455.0,213
205,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,"Junior secured loan ($25,000 par due 8/2017)",13.25% (Libor + 11.75%/Q),8/26/2011,24764.0,24500
206,Insight Pharmaceuticals Corporation (6),0,"Class A common stock (155,000 shares)",0,8/26/2011,6035.0,8162
207,Insight Pharmaceuticals Corporation (6),0,"Class B common stock (155,000 shares)",0,8/26/2011,6035.0,8162
208,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Senior secured revolving loan ($11,500 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,11500.0,10580
209,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Senior secured loan ($39,578 par due 6/2016)",13.00% (Libor + 12.00%/Q),6/30/2011,39362.0,36412
210,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Warrants to purchase up to 1,654,678 shares of common stock",0,7/27/2011,0.0,0
211,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",0,"Warrants to purchase up to 1,489 shares of preferred stock",0,7/27/2011,0.0,67
212,"Oak Parent, Inc.",Manufacturer of athletic apparel,"Senior secured loan ($54,994 par due 4/2018)",8.00% (Libor + 7.00%/Q),4/2/2012,54753.0,54994
213,"Oak Parent, Inc.",0,"Senior secured loan ($9,648 par due 4/2018)",8.00% (Libor + 7.00%/Q),4/2/2012,9606.0,9648
214,"The Step2 Company, LLC",Toy manufacturer,"Junior secured loan ($27,000 par due 4/2015)",10.00%,4/1/2010,26006.0,27000
215,"The Step2 Company, LLC",0,"Junior secured loan ($32,375 par due 4/2015)","10.00% Cash, 6.00% PIK",4/1/2010,31330.0,28489
216,"The Step2 Company, LLC",0,"Common units (1,116,879 units)",0,4/1/2010,24.0,93
217,"The Step2 Company, LLC",0,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0.0,265
218,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,6074.0,7070
219,"The Thymes, LLC (7)",0,"Common units (5,400 units)",0,6/21/2007,0.0,0
220,Woodstream Corporation,Pet products manufacturer,"Senior secured loan ($3,000 par due 8/2014)",6.50% (Libor + 5.00%/Q),4/18/2012,3000.0,3000
221,Woodstream Corporation,0,"Senior secured loan ($15,000 par due 8/2014)",6.50% (Libor + 5.00%/Q),4/18/2012,15000.0,15000
222,Woodstream Corporation,0,"Senior subordinated loan ($45,000 par due 2/2015)",12.00%,1/22/2010,41318.0,45000
223,Woodstream Corporation,0,"Common stock (4,254 shares)",0,1/22/2010,1222.0,3201
224,"Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Preferred stock (247,500 units)",0,12/16/2011,2475.0,2601
225,"Driven Holdings, LLC",0,"Common stock (25,000 units)",0,12/16/2011,25.0,44
226,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Senior secured revolving loan ($1,400 par due 7/2017)",8.25% (Base Rate + 5.00%/M),7/12/2012,1400.0,1400
227,"Eckler Industries, Inc.",0,"Senior secured loan ($52,735 par due 7/2017)",7.25% (Libor + 6.00%/M),7/12/2012,52735.0,52735
228,"Eckler Industries, Inc.",0,"Series A preferred stock (1,800 shares)",0,7/12/2012,1800.0,1800
229,"Eckler Industries, Inc.",0,"Common stock (20,000 shares)",0,7/12/2012,200.0,200
230,"Service King Paint & Body, LLC",Collision repair site operators,"Senior secured loan ($111,500 par due 8/2017)",8.50% (Libor + 7.25%/Q),8/20/2012,111500.0,111500
231,"Service King Paint & Body, LLC",0,"Senior secured loan ($10,000 par due 8/2017)",5.50% (Libor + 4.25%/Q),8/20/2012,10000.0,10000
232,"Service King Paint & Body, LLC",0,Membership interest,0,8/20/2012,5000.0,5000
233,"Stag-Parkway, Inc. (7)",Automotive aftermarket components supplier,"Senior secured loan ($34,500 par due 12/2014)",12.50% (Libor + 11.00%/Q),9/30/2010,34500.0,34500
234,"Stag-Parkway, Inc. (7)",0,"Preferred stock (4,200 shares)",16.50% PIK,9/30/2010,2852.0,4200
235,"Stag-Parkway, Inc. (7)",0,"Common stock (10,200 shares)",0,9/30/2010,0.0,28945
236,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","Senior secured loan ($22,500 par due 8/2016)",9.25% (Base Rate + 6.00%/Q),8/31/2011,22500.0,22500
237,"ICSH, Inc.",0,Senior secured loan ($112 par due 8/2016),8.00% (Libor + 7.00%/M),8/31/2011,112.0,112
238,"ICSH, Inc.",0,Senior secured loan ($335 par due 8/2016),8.00% (Libor + 7.00%/Q),8/31/2011,335.0,335
239,"ICSH, Inc.",0,"Senior secured loan ($42,959 par due 8/2016)",8.04% (Libor + 7.00%/Q),8/31/2011,42959.0,42959
240,"ICSH, Inc.",0,Senior secured loan ($382 par due 8/2016),8.00% (Libor + 7.00%/Q),8/31/2011,382.0,382
241,"ICSH, Inc.",0,"Senior secured loan ($49,108 par due 8/2016)",8.04% (Libor + 7.00%/Q),8/31/2011,49108.0,49108
242,"ICSH, Inc.",0,Senior secured loan ($38 par due 8/2016),8.00% (Libor + 7.00%/M),8/31/2011,38.0,38
243,"ICSH, Inc.",0,Senior secured loan ($115 par due 8/2016),8.00% (Libor + 7.00%/Q),8/31/2011,115.0,115
244,"ICSH, Inc.",0,"Senior secured loan ($14,757 par due 8/2016)",8.04% (Libor + 7.00%/Q),8/31/2011,14757.0,14757
245,Microstar Logistics LLC,Keg management solutions provider,"Junior secured loan ($52,500 par due 8/2016)",10.00% (Libor + 9.00%/Q),8/5/2011,52500.0,52500
246,Microstar Logistics LLC,0,"Junior secured loan ($50,000 par due 8/2016)",10.00% (Libor + 9.00%/Q),8/5/2011,50000.0,50000
247,"Pregis Corporation, Pregis Intellipack Corp. and Pregis Innovative Packaging Inc.","Provider of a broad range of highly-customized, tailored protective",Senior secured loan ($5 par due 3/2017),8.50% (Base Rate + 5.25%/Q),4/25/2012,5.0,5
248,"Pregis Corporation, Pregis Intellipack Corp. and Pregis Innovative Packaging Inc.",0,Senior secured loan ($992 par due 3/2017),7.75% (Libor + 6.25%/Q),4/25/2012,992.0,992
249,Cambrios Technologies Corporation,Developer and manufacturer of nanotechnology-based solutions for electronic devices and computers,"Senior secured loan ($5,000 par due 9/2015)",12.00%,8/7/2012,4987.0,5000
250,Cambrios Technologies Corporation,0,"Warrants to purchase up to 400,000 shares of Series D-4 convertible preferred stock",0,8/2/2012,13.0,13
251,"Component Hardware Group, Inc.",Commercial equipment,"Junior secured loan ($3,178 par due 12/2014)","7.00% Cash, 3.00% PIK",8/4/2010,3178.0,3178
252,"Component Hardware Group, Inc.",0,"Senior subordinated loan ($11,002 par due 12/2014)","7.50% Cash, 5.00% PIK",4/1/2010,7968.0,11002
253,"Component Hardware Group, Inc.",0,"Warrants to purchase up to 1,462,500 shares of common stock",0,8/4/2010,0.0,4457
254,"MWI Holdings, Inc.","Highly engineered springs, fasteners, and other precision components","Senior secured loan ($38,274 par due 6/2017)",10.00% (Libor + 8.00%/Q),6/15/2011,38274.0,38274
255,"MWI Holdings, Inc.",0,"Senior secured loan ($10,000 par due 6/2017)",10.00% (Libor + 8.00%/Q),6/15/2011,10000.0,10000
256,"NetShape Technologies, Inc.",Metal precision engineered components,Senior secured revolving loan ($519 par due 2/2013),3.97% (Libor + 3.75%/M),4/1/2010,67.0,439
257,"Pelican Products, Inc.",Flashlight manufacturer,"Senior secured loan ($7,980 par due 7/2018)",7.00% (Libor + 5.50%/Q),7/13/2012,7980.0,7980
258,"Pelican Products, Inc.",0,"Junior secured loan ($32,000 par due 6/2019)",11.50% (Libor + 10.00%/Q),7/13/2012,32000.0,32000
259,"Protective Industries, Inc. dba Caplugs",Plastic protection products,Senior secured revolving loan ($233 par due 5/2016),6.00% (Base Rate + 2.75%/M),5/23/2011,233.0,231
260,"Protective Industries, Inc. dba Caplugs",0,Senior secured revolving loan ($933 par due 5/2016),5.50% (Libor + 4.00%/M),5/23/2011,933.0,925
261,"Protective Industries, Inc. dba Caplugs",0,Senior subordinated loan ($759 par due 5/2018),"8.00% Cash, 7.25% PIK",5/23/2011,759.0,759
262,"Protective Industries, Inc. dba Caplugs",0,"Preferred stock (2,379,361 shares)",0,5/23/2011,2307.0,4589
263,Saw Mill PCG Partners LLC,Metal precision engineered components manufacturer,"Common units (1,000 units)",0,1/30/2007,1000.0,0
264,"Sigma International Group, Inc.",Water treatment parts,"Junior secured loan ($4,163 par due 4/2014)","10.00% (Libor + 5.00% Cash, 5.00% PIK /Q)",7/8/2011,4163.0,3330
265,"SSH Environmental Industries, Inc. and SSH Non-Destructive Testing, Inc.",Magnetic sensors and supporting sensor products,"Senior secured loan ($11,746 par due 12/2016)",9.00% (Libor + 7.50%/Q),3/23/2012,11532.0,11746
266,"WP CPP Holdings, LLC",Precision engineered castings,"Senior secured loan ($10,716 par due 10/2017)",8.50% (Libor + 7.00%/M),10/11/2011,10671.0,10716
267,"WP CPP Holdings, LLC",0,Senior secured loan ($27 par due 10/2017),9.25% (Base Rate + 6.00%/Q),10/11/2011,27.0,27
268,"WP CPP Holdings, LLC",0,"Senior secured loan ($49,624 par due 10/2017)",8.50% (Libor + 7.00%/M),10/11/2011,49394.0,49624
269,"WP CPP Holdings, LLC",0,Senior secured loan ($125 par due 10/2017),9.25% (Base Rate + 6.00%/Q),10/11/2011,125.0,125
270,"WP CPP Holdings, LLC",0,"Senior secured loan ($9,950 par due 10/2017)",8.50% (Libor + 7.00%/M),10/11/2011,9907.0,9950
271,"WP CPP Holdings, LLC",0,Senior secured loan ($25 par due 10/2017),9.25% (Base Rate + 6.00%/Q),10/11/2011,25.0,25
272,"EquiPower Resources Holdings, LLC",Gas-fired power generation facilities operator,"Junior secured loan ($22,500 par due 6/2019)",10.00% (Libor + 8.50%/Q),6/27/2012,22062.0,22050
273,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Junior secured loan ($59,000 par due 8/2018)",10.25% (Libor + 8.75%/Q),8/9/2011,57873.0,56050
274,"Panda Sherman Power, LLC",Developer and operator of a gas turbine power plant,"Senior secured loan ($32,500 par due 9/2018)",9.00% (Libor + 7.50%/M),9/14/2012,32500.0,32500
275,"Panda Temple Power, LLC",Developer and operator of a gas turbine power plant,"Senior secured loan ($60,000 par due 7/2018)",11.50% (Libor + 10.00%/Q),7/17/2012,58100.0,60000
276,USG Nevada LLC,"Geothermal, renewable energy, developer for electrical power and direct uses","Junior secured loan ($7,500 par due 10/2012)",9.47% (Libor + 9.00%/Q),11/10/2011,7500.0,7500
277,"ILC Industries, LLC",Designer and manufacturer of protective cases and technically advanced lighting systems,"Senior secured loan ($24,937 par due 7/2018)",7.50% (Libor + 6.00%/Q),7/13/2012,24453.0,24937
278,"PRV Aerospace, LLC",Aerospace precision components manufacturer,"Senior secured loan ($8,479 par due 5/2018)",6.50% (Libor + 5.25%/S),5/15/2012,8398.0,8479
279,"PRV Aerospace, LLC",0,Senior secured loan ($21 par due 5/2018),7.50% (Base Rate + 4.25%/Q),5/15/2012,21.0,21
280,"PRV Aerospace, LLC",0,"Junior secured loan ($68,000 par due 5/2019)",10.50% (Libor + 9.25%/S),5/10/2012,68000.0,68000
281,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,101.0,101
282,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",0,"Common stock (1,885,195 shares)",0,1/17/2008,2291.0,2446
283,Bushnell Inc.,Sports optics manufacturer,"Junior secured loan ($48,825 par due 2/2016)",9.00% (Libor + 7.50%/Q),4/1/2010,43957.0,47849
284,Bushnell Inc.,0,"Junior secured loan ($43,675 par due 2/2016)",9.50% (Libor + 8.00%/Q),4/30/2012,43675.0,43238
285,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",0,8/29/2012,1000.0,1000
286,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",Broadband communication services,"Senior secured loan ($7,901 par due 9/2013)",7.50% (Libor + 5.50%/Q),9/1/2010,7901.0,7901
287,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($10,686 par due 11/2014)","12.00% Cash, 2.00% PIK",9/1/2010,10686.0,10260
288,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($23,157 par due 11/2014)","10.00% Cash, 4.00% PIK",11/7/2007,23157.0,22230
289,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,"Senior subordinated loan ($33,930 par due 11/2014)","12.00% Cash, 2.00% PIK",11/7/2007,33930.0,32573
290,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,Warrants to purchase up to 378 shares,0,11/7/2007,0.0,690
291,"American Broadband Communications, LLC, American Broadband Holding Company and Cameron Holdings of NC, Inc.",0,Warrants to purchase up to 200 shares,0,9/1/2010,0.0,365
292,Dialog Telecom LLC,Broadband communication services,"Senior secured loan ($16,476 par due 12/2013)","12.00% (Libor + 10.50% Cash, 1.50% PIK /Q)",6/20/2011,16476.0,16476
293,"Startec Equity, LLC (7)",Communication services,Member interest,0,4/1/2010,0.0,0
294,Grocery Outlet Inc.,Value grocery retailer,"Senior secured loan ($25,070 par due 12/2017)",10.50% (Libor + 9.00%/Q),12/15/2011,25070.0,25070
295,Grocery Outlet Inc.,0,Senior secured loan ($859 par due 12/2017),11.25% (Base Rate + 8.00%/Q),12/15/2011,859.0,859
296,Grocery Outlet Inc.,0,"Senior secured loan ($47,619 par due 12/2017)",10.50% (Libor + 9.00%/Q),12/15/2011,47619.0,47619
297,Grocery Outlet Inc.,0,"Senior secured loan ($1,631 par due 12/2017)",11.25% (Base Rate + 8.00%/Q),12/15/2011,1631.0,1631
298,Grocery Outlet Inc.,0,"Senior secured loan ($9,524 par due 12/2017)",10.50% (Libor + 9.00%/Q),12/15/2011,9524.0,9524
299,Grocery Outlet Inc.,0,Senior secured loan ($326 par due 12/2017),11.25% (Base Rate + 8.00%/Q),12/15/2011,326.0,326
300,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",Membership based buying club franchisor and operator,"Limited partnership interest (66,667 shares)",0,4/1/2010,2594.0,0
301,"Direct Buy Holdings, Inc. and Direct Buy Investors, LP (6)",0,"Limited partnership interest (83,333 shares)",0,11/30/2007,8333.0,0
302,Fulton Holdings Corp.,Airport restaurant operator,"Senior secured loan ($40,000 par due 5/2016)",12.50%,5/28/2010,40000.0,40000
303,Fulton Holdings Corp.,0,"Common stock (19,672 shares)",0,5/28/2010,1967.0,1871
304,Things Remembered Inc. and TRM Holdings Corporation,Personalized gifts retailer,"Senior secured loan ($10,000 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,10000.0,10000
305,Things Remembered Inc. and TRM Holdings Corporation,0,"Senior secured loan ($15,000 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,15000.0,15000
306,"Geotrace Technologies, Inc.","Reservoir processing, development","Warrants to purchase up to 69,978 shares of common stock",0,4/1/2010,88.0,0
307,"Geotrace Technologies, Inc.",0,"Warrants to purchase up to 210,453 shares of preferred stock",0,4/1/2010,2805.0,1572
308,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Junior secured loan ($2,926 par due 12/2014)","9.31% (Libor + 7.31% Cash, 2.00% PIK /Q)",4/30/2012,2926.0,2926
309,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($2,010 par due 12/2014)","9.24% (Libor + 7.24% Cash, 2.00% PIK /Q)",4/30/2012,2010.0,2010
310,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($4,907 par due 12/2014)","12.00% Cash, 2.00% PIK",4/30/2012,4907.0,4907
311,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($5,051 par due 12/2014)","12.00% Cash, 3.00% PIK",4/30/2012,5051.0,5051
312,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($18,611 par due 12/2014)","12.00% Cash, 2.00% PIK",4/30/2012,18611.0,18611
313,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($14,651 par due 12/2014)","9.32% (Libor + 7.32% Cash, 2.00% PIK /Q)",4/30/2012,14651.0,14651
314,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Junior secured loan ($10,702 par due 12/2014)","9.31% (Libor + 7.31% Cash, 2.00% PIK /Q)",4/30/2012,10702.0,10702
315,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class A common units (10,782 units)",0,6/17/2011,108.0,35
316,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class B-5 common units (599,200 units)",0,4/25/2008,5472.0,1933
317,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class B-4 common units (50,000 units)",0,6/17/2011,500.0,161
318,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",0,"Class C common units (618,091 units)",0,4/25/2008,0.0,1994
319,"Earthcolor Group, LLC",Printing management services,Limited liability company interests (9.30%),0,5/18/2012,0.0,0
320,"National Print Group, Inc.",Printing management services,"Senior secured revolving loan ($1,141 par due 10/2013)",9.00% (Libor + 6.00%/Q),3/2/2006,1141.0,1107
321,"National Print Group, Inc.",0,Senior secured revolving loan ($284 par due 10/2013),9.00% (Base Rate + 5.00%/M),3/2/2006,284.0,276
322,"National Print Group, Inc.",0,"Senior secured loan ($7,371 par due 10/2013)","10.00% (Libor + 9.00% Cash, 1.00% PIK /Q)",3/2/2006,7080.0,7224
323,"National Print Group, Inc.",0,"Preferred stock (9,344 shares)",0,3/2/2006,2000.0,0
324,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Senior secured loan ($21,428 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,21428.0,21428
325,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Senior secured loan ($9,952 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,9952.0,9952
326,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Preferred stock (10,663 shares)",0,9/29/2006,1066.0,3181
327,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",0,"Common stock (15,393 shares)",0,9/29/2006,3.0,8
328,"AWTP, LLC (7)",Water treatment services,"Junior secured loan ($4,212 par due 6/2015)",10.00%,4/18/2011,4212.0,4212
329,"AWTP, LLC (7)",0,"Junior secured loan ($6,045 par due 6/2015)",15.00% PIK,4/18/2011,6045.0,6045
330,"AWTP, LLC (7)",0,Membership interests (90% interest),0,4/18/2011,0.0,3715
331,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",0,3/1/2011,8839.0,3219
332,"Waste Pro USA, Inc",Waste management services,"Preferred Class A common equity (611,615 shares)",0,11/9/2006,12263.0,23300
333,PODS Funding Corp.,Storage and warehousing,"Junior subordinated loan ($39,945 par due 5/2017)","12.75% Cash, 2.75% PIK",11/29/2011,39945.0,39945
334,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,4/1/2010,0.0,0
335,"10th Street, LLC (6)",Real estate holding company,"Senior subordinated loan ($24,957 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,24957.0,24957
336,"10th Street, LLC (6)",0,Member interest (10.00% interest),0,4/1/2010,594.0,485
337,"10th Street, LLC (6)",0,"Option (25,000 units)",0,4/1/2010,25.0,25
338,"American Commercial Coatings, Inc.",Real estate property,"Commercial mortgage loan ($2,500 par due 12/2025)",0,4/1/2010,1071.0,2061
339,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,0,4/1/2010,1026.0,3277
340,"Commons R-3, LLC",Real estate developer,Real estate equity interests,0,4/1/2010,0.0,0
341,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,"Senior subordinated loan ($2,236 par due 9/2011)",0,4/1/2010,0.0,0
342,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,"Senior subordinated loan ($2,092 par due 6/2017)",0,4/1/2010,0.0,0
343,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Common equity interest,0,4/1/2010,0.0,0
344,"Crescent Hotels & Resorts, LLC and affiliates (7)",0,Limited liability company membership interest (100% interest),0,6/19/2012,0.0,0
345,"Hot Light Brands, Inc. (7)",Real estate holding company,"Senior secured loan ($33,731 par due 2/2011)",0,4/1/2010,2439.0,1961
346,"Hot Light Brands, Inc. (7)",0,"Common stock (93,500 shares)",0,4/1/2010,0.0,0
347,"NPH, Inc.",Hotel property,Real estate equity interests,0,4/1/2010,5291.0,6064
348,"Apple & Eve, LLC and US Juice Partners, LLC (6)",Juice manufacturer,Senior secured revolving loan ($500 par due 10/2013),13.00% (Libor + 10.00%/M),10/5/2007,500.0,500
349,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior secured loan ($21,467 par due 10/2013)",13.00% (Libor + 10.00%/M),10/5/2007,21467.0,21467
350,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior secured loan ($4,804 par due 10/2013)",13.00% (Libor + 10.00%/M),10/5/2007,4804.0,4804
351,"Apple & Eve, LLC and US Juice Partners, LLC (6)",0,"Senior units (50,000 units)",0,10/5/2007,5000.0,1161
352,"Charter Baking Company, Inc.",Baked goods manufacturer,"Senior subordinated loan ($8,885 par due 2/2013)",16.00% PIK,2/6/2008,8885.0,8885
353,"Charter Baking Company, Inc.",0,"Preferred stock (6,258 shares)",0,9/1/2006,2567.0,1583
354,Distant Lands Trading Co.,Coffee manufacturer,"Class A common stock (1,294 shares)",0,4/1/2010,980.0,0
355,Distant Lands Trading Co.,0,"Class A-1 common stock (2,157 shares)",0,4/1/2010,0.0,0
356,"Athletic Club Holdings, Inc.",Premier health club operator,"Senior secured loan ($11,500 par due 10/2013)",4.72% (Libor + 4.50%/M),10/11/2007,11500.0,11500
357,"Curves International Holdings, Inc.",Health club franchisor,"Limited partnership interest (4,152,165 shares)",0,7/31/2012,4152.0,4152
358,"Curves International Holdings, Inc.",0,"Limited partnership interest (1,847,835 shares)",0,7/31/2012,1848.0,1848
359,"BECO Holding Company, Inc.",Wholesale distributor of first response fire protection equipment and related parts,"Common stock (25,000 shares)",0,7/30/2010,2500.0,3788
