,Industry,Company(1),Business Description,Investment,Interest(5)(11),Acquisition  Date,Amortized  Cost,Fair Value
175,Services-Other,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($14,962 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,14962.0,14962
176,Services-Other,"ISS #2, LLC",,"First lien senior secured loan ($44,887 par due 6/2018)",6.50% (Libor + 5.50%/Q),6/5/2013,44887.0,44887
177,Services-Other,"Massage Envy, LLC",Franchisor in the massage industry,"First lien senior secured loan ($29,366 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,29366.0,29366
178,Services-Other,"Massage Envy, LLC",,"First lien senior secured loan ($49,609 par due 9/2018)",8.50% (Libor + 7.25%/Q),9/27/2012,49609.0,49609
179,Services-Other,"Massage Envy, LLC",,"Common stock (3,000,000 shares)",,9/27/2012,3000.0,3421
180,Services-Other,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","First lien senior secured loan ($9,314 par due 3/2017)",6.00% (Libor + 4.75%/M),3/30/2012,9314.0,9314
181,Services-Other,"McKenzie Sports Products, LLC",,First lien senior secured loan ($11 par due 3/2017),7.00% (Base Rate + 3.75%/M),3/30/2012,11.0,11
182,Services-Other,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",9.00% (Libor + 7.75%/M),5/14/2013,140000.0,140000
183,Services-Other,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($25,686 par due 6/2018)","12.00% Cash, 1.50% PIK",12/22/2010,25686.0,25686
184,Services-Other,The Dwyer Group (6),,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,6724.0,17432
185,Services-Other,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,"Second lien senior secured loan ($78,000 par due 2/2020)",9.75% (Libor + 8.50%/Q),2/21/2013,78000.0,78000
186,Services-Other,"Wash Multifamily Laundry Systems, LLC",,,,,533212.0,536691
187,Energy,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($91,770 par due 8/2020)",6.25% (Libor + 5.25%/Q),8/1/2013,91770.0,91770
188,Energy,"Centinela Funding, LLC",Solar power generation facility developer and operator,"First lien senior secured loan ($56,000 par due 11/2020)",10.00% (Libor + 8.75%/Q),11/14/2012,56000.0,56000
189,Energy,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"First lien senior secured loan ($7,500 par due 2/2017)",10.00%,7/25/2013,7428.0,7500
190,Energy,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock",,7/25/2013,0.0,34
191,Energy,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($68,000 par due 8/2018)",10.25% (Libor + 8.75%/M),8/9/2011,67021.0,67320
192,Energy,"Panda Sherman Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($32,500 par due 9/2018)",9.00% (Libor + 7.50%/Q),9/14/2012,32500.0,32500
193,Energy,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($60,000 par due 7/2018)",11.50% (Libor + 10.00%/Q),7/17/2012,58338.0,60000
194,Energy,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($20,000 par due 4/2019)",7.25% (Libor + 6.00%/Q),4/3/2013,19813.0,20000
195,Energy,"Sunrun Solar Owner Holdco X, LLC",Residential solar energy provider,"First lien senior secured loan ($60,000 par due 6/2019)",9.50% (Libor + 8.25%/Q),6/7/2013,60000.0,60000
196,Energy,"Sunrun Solar Owner Holdco X, LLC",,,,,392870.0,395124
197,Financial Services,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,,4/1/2010,5077.0,7980
198,Financial Services,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),,4/1/2010,3000.0,1725
199,Financial Services,Ciena Capital LLC (7),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2014)",6.00%,11/29/2010,14000.0,14000
200,Financial Services,Ciena Capital LLC (7),,"First lien senior secured loan ($28,000 par due 12/2016)",12.00%,11/29/2010,28000.0,28000
201,Financial Services,Ciena Capital LLC (7),,Equity interests,,11/29/2010,53374.0,12907
202,Financial Services,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,5/10/2012,28000.0,28000
203,Financial Services,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior subordinated loan ($2,000 par due 9/2015)",9.00%,9/30/2011,2000.0,2000
204,Financial Services,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),,11/30/2012,0.0,0
205,Financial Services,Imperial Capital Group LLC,Investment services,"Class A common units (7,710 units)",,5/10/2007,14997.0,19280
206,Financial Services,Imperial Capital Group LLC,,"2006 Class B common units (2,526 units)",,5/10/2007,3.0,5
207,Financial Services,Imperial Capital Group LLC,,2007 Class B common units (315 units),,5/10/2007,0.0,1
208,Financial Services,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),,6/15/2009,170961.0,275462
209,Financial Services,"Ivy Hill Asset Management, L.P. (7)(9)",,,,,319412.0,389360
210,Restaurants and Food Services,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"First lien senior secured revolving loan ($1,018 par due 11/2014)",6.50% (Libor + 3.50%/Q),11/27/2006,1018.0,1018
211,Restaurants and Food Services,"ADF Capital, Inc. & ADF Restaurant Group, LLC",,"First lien senior secured loan ($9,104 par due 11/2015)",12.50% (Libor + 9.50%/Q),11/27/2006,9104.0,9104
212,Restaurants and Food Services,"ADF Capital, Inc. & ADF Restaurant Group, LLC",,"First lien senior secured loan ($10,919 par due 11/2015)",12.50% (Libor + 9.50%/Q),11/27/2006,10922.0,10919
213,Restaurants and Food Services,"ADF Capital, Inc. & ADF Restaurant Group, LLC",,"Promissory note ($21,240,073 par due 11/2016)",12.00% PIK,11/27/2006,17804.0,21195
214,Restaurants and Food Services,"ADF Capital, Inc. & ADF Restaurant Group, LLC",,Warrants to purchase up to 0.61 shares,,6/1/2006,0.0,1411
215,Restaurants and Food Services,"Benihana, Inc.",Restaurant owner and operator,"First lien senior secured loan ($9,950 par due 2/2018)",6.75% (Libor + 5.50%/Q),8/21/2012,9950.0,9950
216,Restaurants and Food Services,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured revolving loan ($2,350 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,2350.0,2350
217,Restaurants and Food Services,"Hojeij Branded Foods, Inc.",,"First lien senior secured loan ($25,600 par due 2/2017)",9.00% (Libor + 8.00%/S),2/15/2012,25112.0,25600
218,Restaurants and Food Services,"Hojeij Branded Foods, Inc.",,Warrants to purchase up to,,2/15/2012,0.0,276
219,Restaurants and Food Services,"Hojeij Branded Foods, Inc.",,Warrants to purchase up to 324 shares of Class A common stock,,2/15/2012,669.0,3972
220,Restaurants and Food Services,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"First lien senior secured revolving loan ($8,000 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,8000.0,8000
221,Restaurants and Food Services,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",,"First lien senior secured loan ($33,147 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,33147.0,33147
222,Restaurants and Food Services,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",,"Second lien senior secured loan ($37,552 par due 9/2014)",,4/1/2010,19752.0,21822
223,Restaurants and Food Services,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",,"Preferred units (10,000 units)",,10/28/2010,0.0,0
224,Restaurants and Food Services,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",,"Class A common units (25,001 units)",,4/1/2010,0.0,0
225,Restaurants and Food Services,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",,"Class B common units (1,122,452 units)",,4/1/2010,0.0,0
226,Restaurants and Food Services,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($30,500 par due 12/2017)",8.75% (Libor + 7.25%/Q),12/11/2012,30500.0,30500
227,Restaurants and Food Services,"OTG Management, LLC",,"Common units (3,000,000 units)",,1/5/2011,3000.0,1804
228,Restaurants and Food Services,"OTG Management, LLC",,Warrants to purchase up to 7.73% of common units,,6/19/2008,100.0,3830
229,Restaurants and Food Services,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Second lien senior secured loan ($74,812 par due 11/2019)",6.25% (Libor + 5.25%/Q),5/14/2013,74456.0,74812
230,Restaurants and Food Services,"Performance Food Group, Inc. and Wellspring Distribution Corp",,"Class A non-voting common stock (1,366,120 shares)",,5/3/2008,6303.0,6408
231,Restaurants and Food Services,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($60,417 par due 2/2017)",9.00% (Libor + 7.50%/M),2/17/2012,59535.0,60417
232,Restaurants and Food Services,"Restaurant Holding Company, LLC",,"First lien senior secured loan ($9,295 par due 2/2017)",9.00% (Libor + 7.50%/M),2/17/2012,9158.0,9295
233,Restaurants and Food Services,S.B. Restaurant Company,Restaurant owner and operator,"Preferred stock (46,690 shares)",,4/1/2010,0.0,0
234,Restaurants and Food Services,S.B. Restaurant Company,,"Warrants to purchase up to 257,429 shares of common stock",,4/1/2010,0.0,0
235,Restaurants and Food Services,S.B. Restaurant Company,,,,,320880.0,335830
236,Containers-Packaging,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer",First lien senior secured revolving loan,,8/31/2011,0.0,0
237,Containers-Packaging,"ICSH, Inc.",,"First lien senior secured loan ($25,997 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,25997.0,25997
238,Containers-Packaging,"ICSH, Inc.",,"First lien senior secured loan ($36,814 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,36945.0,36814
239,Containers-Packaging,"ICSH, Inc.",,"First lien senior secured loan ($61,679 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,61679.0,61679
240,Containers-Packaging,"ICSH, Inc.",,"First lien senior secured loan ($14,757 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,14757.0,14757
241,Containers-Packaging,"Microstar Logistics LLC, Microstar Global Asset Management LLC and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($165,000 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,165000.0,165000
242,Containers-Packaging,"Microstar Logistics LLC, Microstar Global Asset Management LLC and MStar Holding Corporation",,"Common stock (50,000 shares)",,12/14/2012,5000.0,6242
243,Containers-Packaging,"Pregis Corporation, Pregis Intellipack Corp. and Pregis Innovative Packaging Inc.","Provider of a broad range of highly-customized, tailored protective packaging solutions",First lien senior secured loan ($985 par due 3/2017),7.75% (Libor + 6.25%/M),4/25/2012,985.0,985
244,Containers-Packaging,"Pregis Corporation, Pregis Intellipack Corp. and Pregis Innovative Packaging Inc.",,,,,310363.0,311474
245,Consumer Products- Non-durable,"Gilchrist & Soames, Inc.",Personal care manufacturer,"First lien senior secured revolving loan ($8,700 par due 10/2013)",6.25% (Libor + 5.00%/M),4/1/2010,8700.0,8700
246,Consumer Products- Non-durable,"Gilchrist & Soames, Inc.",,"First lien senior secured loan ($22,393 par due 10/2013)","13.44% Cash, 2.00% PIK",4/1/2010,22389.0,21722
247,Consumer Products- Non-durable,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,10/31/2011,5095.0,5095
248,Consumer Products- Non-durable,"Implus Footcare, LLC",,Common stock (455 shares),,10/31/2011,455.0,853
249,Consumer Products- Non-durable,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,"Second lien senior secured loan ($19,310 par due 8/2017)",13.25% (Libor + 11.75%/Q),8/26/2011,19157.0,19310
250,Consumer Products- Non-durable,Insight Pharmaceuticals Corporation (6),,"Class A common stock (155,000 shares)",,8/26/2011,6035.0,7110
251,Consumer Products- Non-durable,Insight Pharmaceuticals Corporation (6),,"Class B common stock (155,000 shares)",,8/26/2011,6035.0,7110
252,Consumer Products- Non-durable,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Warrants to purchase up to 1,489 shares of preferred stock",,7/27/2011,0.0,1121
253,Consumer Products- Non-durable,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",,"Warrants to purchase up to 1,654,678 shares of common stock",,7/27/2011,0.0,1144
254,Consumer Products- Non-durable,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($5,624 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,5603.0,5624
255,Consumer Products- Non-durable,"Oak Parent, Inc.",,"First lien senior secured loan ($33,386 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,33263.0,33386
256,Consumer Products- Non-durable,"Oak Parent, Inc.",,"First lien senior secured loan ($8,906 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,8872.0,8906
257,Consumer Products- Non-durable,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",,8/29/2012,1000.0,1365
258,Consumer Products- Non-durable,"The Step2 Company, LLC",Toy manufacturer,"Second lien senior secured loan ($25,600 par due 4/2015)",10.00%,4/1/2010,24997.0,25600
259,Consumer Products- Non-durable,"The Step2 Company, LLC",,"Second lien senior secured loan ($32,450 par due 4/2015)",10.00%,4/1/2010,30802.0,25960
260,Consumer Products- Non-durable,"The Step2 Company, LLC",,"Common units (1,116,879 units)",,4/1/2010,24.0,0
261,Consumer Products- Non-durable,"The Step2 Company, LLC",,"Warrants to purchase up to 3,157,895 units",,4/1/2010,0.0,0
262,Consumer Products- Non-durable,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,5206.0,4753
263,Consumer Products- Non-durable,"The Thymes, LLC (7)",,"Common units (5,400 units)",,6/21/2007,0.0,4635
264,Consumer Products- Non-durable,Woodstream Corporation,Pet products manufacturer,"First lien senior secured loan ($14,377 par due 8/2016)",6.00% (Libor + 5.00%/Q),4/18/2012,14377.0,14377
265,Consumer Products- Non-durable,Woodstream Corporation,,"Senior subordinated loan ($73,102 par due 2/2017)",11.00%,4/18/2012,70351.0,72371
266,Consumer Products- Non-durable,Woodstream Corporation,,"Senior subordinated loan ($6,898 par due 2/2017)",11.00%,4/18/2012,6898.0,6829
267,Consumer Products- Non-durable,Woodstream Corporation,,"Common stock (4,254 shares)",,1/22/2010,1222.0,2294
268,Consumer Products- Non-durable,Woodstream Corporation,,,,1/22/2010,92848.0,95871
269,Consumer Products- Non-durable,Woodstream Corporation,,,,,270481.0,278265
270,Automotive Services,"Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Preferred stock (247,500 units)",,12/16/2011,2475.0,2797
271,Automotive Services,"Driven Holdings, LLC",,"Common stock (25,000 units)",,12/16/2011,25.0,308
272,Automotive Services,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured revolving loan ($1,600 par due 7/2017)",8.25% (Base Rate + 5.00%/Q),7/12/2012,1600.0,1600
273,Automotive Services,"Eckler Industries, Inc.",,"First lien senior secured loan ($8,220 par due",7.25% (Libor + 6.00%/Q),7/12/2012,8220.0,8220
274,Automotive Services,"Eckler Industries, Inc.",,"First lien senior secured loan ($40,807 par due 7/2017)",7.25% (Libor + 6.00%/Q),7/12/2012,40807.0,40807
275,Automotive Services,"Eckler Industries, Inc.",,"Series A preferred stock (1,800 shares)",,7/12/2012,1800.0,1989
276,Automotive Services,"Eckler Industries, Inc.",,"Common stock (20,000 shares)",,7/12/2012,200.0,261
277,Automotive Services,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($5,000 par due 10/2016)",10.83%,12/28/2012,5000.0,5000
278,Automotive Services,"EcoMotors, Inc.",,"First lien senior secured loan ($5,000 par due 7/2016)",10.13%,12/28/2012,4878.0,5000
279,Automotive Services,"EcoMotors, Inc.",,"Warrant to purchase up to 321,888 shares of Series C preferred stock",,12/28/2012,0.0,43
280,Automotive Services,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($117,850 par due 8/2017)",7.25% (Libor + 6.25%/Q),8/20/2012,117850.0,115724
281,Automotive Services,"Service King Paint & Body, LLC",,"First lien senior secured loan ($4,850 par due 8/2017)",4.50% (Libor + 3.50%/Q),8/20/2012,4850.0,5270
282,Automotive Services,"Service King Paint & Body, LLC",,"First lien senior secured loan ($10,000 par due 8/2017)",7.25% (Libor + 6.25%/Q),8/20/2012,10000.0,10866
283,Automotive Services,"Service King Paint & Body, LLC",,"First lien senior secured loan ($9,699 par due 8/2017)",4.50% (Libor + 3.50%/Q),8/20/2012,9699.0,10539
284,Automotive Services,"Service King Paint & Body, LLC",,Membership interest,,8/20/2012,5000.0,6528
285,Automotive Services,"Service King Paint & Body, LLC",,,,,212404.0,214952
286,Manufacturing,"Argotec, LLC",Thermoplastic polyurethane films,"First lien senior secured revolving loan ($1,125 par due 5/2018)",7.00% (Base Rate + 3.75%/M),5/31/2013,1125.0,1125
287,Manufacturing,"Argotec, LLC",,"First lien senior secured loan ($10,862 par due 5/2019)",5.75% (Libor + 4.75%/S),5/31/2013,10862.0,10862
288,Manufacturing,"Argotec, LLC",,First lien senior secured loan ($137 par due 5/2019),5.75% (Libor + 4.75%/S),5/31/2013,137.0,137
289,Manufacturing,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"First lien senior secured loan ($3,485 par due 8/2015)",12.00%,8/7/2012,3485.0,3485
290,Manufacturing,Cambrios Technologies Corporation,,"Warrants to purchase up to 400,000 shares of Series D-4 convertible preferred stock",,8/7/2012,0.0,6
291,Manufacturing,"Component Hardware Group, Inc.",Commercial equipment,"First lien senior secured loan ($25,766 par due 7/2019)",5.50% (Libor + 4.50%/M),7/1/2013,25766.0,25766
292,Manufacturing,Lighting Science Group Corporation,Advanced lighting products,Letter of credit facility,,9/20/2011,0.0,0
293,Manufacturing,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($38,274 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,38274.0,38274
294,Manufacturing,"MWI Holdings, Inc.",,"First lien senior secured loan ($10,000 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,10000.0,10000
295,Manufacturing,"NetShape Technologies, Inc.",Metal precision engineered components,First lien senior secured revolving loan ($266 par due 12/2014),7.50% (Libor + 6.50%/S),4/1/2010,266.0,266
296,Manufacturing,"Pelican Products, Inc.",Flashlights,"First lien senior secured loan ($7,900 par due 7/2018)",7.00% (Libor + 5.50%/Q),7/13/2012,7900.0,7900
297,Manufacturing,"Pelican Products, Inc.",,"Second lien senior secured loan ($32,000 par due 6/2019)",11.50% (Libor + 10.00%/Q),7/13/2012,32000.0,32000
298,Manufacturing,"Protective Industries, Inc. (dba Caplugs)",Plastic protection products,First lien senior secured revolving loan,,11/30/2012,0.0,0
299,Manufacturing,"Protective Industries, Inc. (dba Caplugs)",,Senior subordinated loan ($733 par due 5/2018),"8.00% Cash, 7.25% PIK",5/23/2011,733.0,733
300,Manufacturing,"Protective Industries, Inc. (dba Caplugs)",,"Preferred stock (2,379,361 shares)",,5/23/2011,2307.0,5541
301,Manufacturing,Saw Mill PCG Partners LLC,Metal precision engineered components manufacturer,"Common units (1,000 units)",,1/30/2007,1000.0,0
302,Manufacturing,"SSH Environmental Industries, Inc. and SSH Non-Destructive Testing, Inc.",Magnetic sensors and supporting sensor products,"First lien senior secured loan ($11,261 par due 12/2016)",9.00% (Libor + 7.50%/Q),3/23/2012,11098.0,11261
303,Manufacturing,TPTM Merger Corp.,Time temperature indicator products,First lien senior secured revolving loan ($540 par due 9/2018),7.50% (Base Rate + 4.25%/Q),9/12/2013,540.0,540
304,Manufacturing,TPTM Merger Corp.,,"First lien senior secured loan ($33,500 par due 9/2018)",6.25% (Libor + 5.25%/Q),9/12/2013,33500.0,33500
305,Manufacturing,TPTM Merger Corp.,,,,,178993.0,181396
306,Retail,Fulton Holdings Corp.,Airport retail operator,"First lien senior secured loan ($43,000 par due 5/2018)",8.50%,5/10/2013,43000.0,43000
307,Retail,Fulton Holdings Corp.,,"First lien senior secured loan ($40,000 par due 5/2018)",8.50%,5/28/2010,40000.0,40000
308,Retail,Fulton Holdings Corp.,,"Common stock (19,672 shares)",,5/28/2010,1461.0,1741
309,Retail,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes",First lien senior secured revolving loan ($333 par due 9/2018),7.25% (Libor + 6.25%/Q),9/23/2013,333.0,333
310,Retail,"Paper Source, Inc. and Pine Holdings, Inc.",,"First lien senior secured loan ($25,000 par due 9/2018)",7.25% (Libor + 6.25%/Q),9/23/2013,25000.0,25000
311,Retail,"Paper Source, Inc. and Pine Holdings, Inc.",,"Class A Common Stock (36,364 shares)",,9/23/2013,6000.0,6000
312,Retail,Things Remembered Inc. and TRM Holdings Corporation,Personalized gifts retailer,"First lien senior secured loan ($14,850 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,14850.0,14850
313,Retail,Things Remembered Inc. and TRM Holdings Corporation,,,,,130644.0,130924
314,Aerospace and Defense,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",Aerospace precision components manufacturer,"First lien senior secured loan ($1,127 par due 5/2018)",6.50% (Libor + 5.25%/Q),5/15/2012,1122.0,1127
315,Aerospace and Defense,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",,"First lien senior secured loan ($8,396 par due 5/2018)",6.50% (Libor + 5.25%/Q),5/15/2012,8329.0,8396
316,Aerospace and Defense,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",,"Second lien senior secured loan ($79,658 par due 5/2019)",10.50% (Libor + 9.25%/Q),5/10/2012,79658.0,79658
317,Aerospace and Defense,"ILC Industries, LLC",Designer and manufacturer of protective cases and technically advanced lighting systems,"First lien senior secured loan ($4,796 par due 7/2018)",8.00% (Libor + 6.50%/Q),7/13/2012,4720.0,4700
318,Aerospace and Defense,"ILC Industries, LLC",,"First lien senior secured loan ($19,427 par due 7/2018)",8.00% (Libor + 6.50%/Q),7/13/2012,19102.0,19038
319,Aerospace and Defense,"TurboCombuster Technology, Inc.","Manufacturer of complex fabrications for the commercial aerospace, military aerospace and industrial gas turbine markets","First lien senior secured loan ($4,987 par due 12/2017)",6.00% (Libor + 5.00%/Q),1/31/2013,4965.0,4987
320,Aerospace and Defense,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,109.0,109
321,Aerospace and Defense,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",,"Common stock (1,885,195 shares)",,1/17/2008,2291.0,1807
322,Aerospace and Defense,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.",,,,,120296.0,119822
323,Consumer Products- Durable,Bushnell Inc.,Sports optics manufacturer,"Second lien senior secured loan ($48,825 par due 2/2016)",9.00% (Libor + 7.50%/Q),4/1/2010,44951.0,48825
324,Consumer Products- Durable,Bushnell Inc.,,"Second lien senior secured loan ($43,675 par due 2/2016)",9.50% (Libor + 8.00%/Q),4/30/2012,43675.0,43675
325,Consumer Products- Durable,Bushnell Inc.,,,,,88626.0,92500
326,Chemicals,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured revolving loan ($1,200 par due 8/2019)",8.13% (Libor + 7.13%/M),8/19/2013,1200.0,1200
327,Chemicals,"K2 Pure Solutions Nocal, L.P.",,"First lien senior secured loan ($90,000 par due 8/2019)",7.00% (Libor + 6.00%/M),8/19/2013,90000.0,90000
328,Chemicals,"K2 Pure Solutions Nocal, L.P.",,,,,91200.0,91200
329,Transportation,"Eberle Design, Inc.",Provider of intelligent transportation systems products in the traffic and rail industries,"First lien senior secured loan ($43,000 par due 8/2018)",7.50% (Libor + 6.25%/Q),8/26/2013,42794.0,43000
330,Transportation,PODS Funding Corp.,Storage and warehousing,"Junior subordinated loan ($41,064 par due 5/2017)","12.75% Cash, 2.75% PIK",11/29/2011,41064.0,41064
331,Transportation,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,,4/1/2010,0.0,0
332,Transportation,"United Road Towing, Inc.",,,,,83858.0,84064
333,"Printing, Publishing and Media","Batanga, Inc.",Independent digital media company,"First lien senior secured loan ($5,359 par due 11/2016)",9.60%,10/31/2012,5359.0,5453
334,"Printing, Publishing and Media","Batanga, Inc.",,"First lien senior secured loan ($4,500 par due 9/2017)",9.60%,10/31/2012,4500.0,4500
335,"Printing, Publishing and Media","Earthcolor Group, LLC",Printing management services,Limited liability company interests (9.30%),,5/18/2012,0.0,0
336,"Printing, Publishing and Media","National Print Group, Inc.",Printing management services,First lien senior secured revolving loan ($685 par due 10/2013),9.00% (Libor + 6.00%/Q),3/2/2006,685.0,685
337,"Printing, Publishing and Media","National Print Group, Inc.",,"First lien senior secured revolving loan ($1,850 par due 10/2013)",9.00% (Base Rate + 5.00%/Q),3/2/2006,1850.0,1850
338,"Printing, Publishing and Media","National Print Group, Inc.",,"First lien senior secured loan ($6,540 par due 10/2013)",9.00% (Libor + 6.00%/Q),3/2/2006,6283.0,6540
339,"Printing, Publishing and Media","National Print Group, Inc.",,"Preferred stock (9,344 shares)",,3/2/2006,2000.0,561
340,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"First lien senior secured loan ($20,995 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,20995.0,20995
341,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",,"First lien senior secured loan ($9,751 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,9751.0,9751
342,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",,"Preferred stock (10,663 shares)",,9/29/2006,1066.0,3334
343,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",,"Common stock (15,393 shares)",,9/29/2006,3.0,8
344,"Printing, Publishing and Media","The Teaching Company, LLC and The Teaching Company Holdings, Inc.",,,,,52492.0,53677
345,Environmental Services,"AWTP, LLC (7)",Water treatment services,"Second lien senior secured loan ($4,212 par due 6/2015)",10.00%,4/18/2011,4212.0,4212
346,Environmental Services,"AWTP, LLC (7)",,"Second lien senior secured loan ($6,121 par due 6/2015)",15.00%,4/18/2011,6121.0,6121
347,Environmental Services,"AWTP, LLC (7)",,Membership interests (90% interest),,4/18/2011,0.0,7905
348,Environmental Services,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"First lien senior secured loan ($1,500 par due 10/2016)",9.26%,3/28/2013,1434.0,1500
349,Environmental Services,"Genomatica, Inc.",,"Warrant to purchase 322,422 shares of Series D preferred stock",,3/28/2013,0.0,6
350,Environmental Services,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",,3/1/2011,8839.0,800
351,Environmental Services,"Waste Pro USA, Inc",Waste management services,"Preferred Class A common equity (611,615 shares)",,11/9/2006,12263.0,26978
352,Environmental Services,"Waste Pro USA, Inc",,,,,32869.0,47522
