,0,1,2,3,4,5,6,7,8
282,"Sneaker Villa, Inc.",One stop,P + 7.00,11.50,12/2017,752.0,736,0.1,752
283,"Sneaker Villa, Inc.",One stop,L + 8.50,10.00,12/2017,4549.0,4453,0.7,4549
284,Specialty Catalog  Corp.  (4),One stop,L + 6.00,(5),07/2017,0.0,(6,0.0,0
285,Specialty Catalog Corp.,One stop,L + 6.00,7.50,07/2017,5187.0,5134,0.8,5187
286,Vision Source L.P.,One stop,P + 5.50,8.75,04/2016,129.0,123,0.0,129
287,Vision Source L.P.*,One stop,L + 6.75,8.00,04/2016,11703.0,11580,1.8,11703
288,Telecommunications,,,,,,,,
289,Hosting.com Inc.,Senior loan,P + 3.25,6.50,10/2016,20.0,19,0.0,20
290,Hosting.com Inc.*,Senior loan,L + 4.50,5.75,10/2016,812.0,802,0.1,812
291,"ITC Global, Inc.  (4)",One stop,P + 5.50,8.75,07/2018,10.0,(5,0.0,(4
292,"ITC Global, Inc.",One stop,L + 6.75,7.75,07/2018,8605.0,8513,1.3,8519
293,"NameMedia, Inc.",Senior loan,L + 6.00,(5),11/2014,0.0,0,0.0,0
294,"NameMedia, Inc.",Senior loan,P + 5.00,8.25,11/2014,1170.0,1162,0.2,1170
295,Utilities,,,,,,,,
296,"PowerPlan Consultants, Inc.  (4)",Senior loan,L + 5.25,(5),03/2017,0.0,(1,0.0,0
297,"PowerPlan Consultants, Inc.*",Senior loan,L + 5.25,6.75,03/2018,4218.0,4171,0.6,4218
298,Equity investments,,,,,,,,
299,Aerospace and Defense,,,,,,,,
300,"Tresys Technology Holdings, Inc.",Common stock,No Value,No Value,No Value,295.0,295,0.1,232
301,Whitcraft LLC,Common stock,No Value,No Value,No Value,1.0,670,0.1,626
302,Whitcraft LLC,Warrant,No Value,No Value,No Value,0.0,0,0.0,122
303,Automobile,,,,,,,,
304,"ABRA, Inc",LLC interest,No Value,No Value,No Value,208.0,1471,0.5,3000
305,"Express Oil Change,  LLC",LLC interest,No Value,No Value,No Value,81.0,81,0.0,66
306,"K&N Engineering, Inc.",Common stock,No Value,No Value,No Value,0.0,4,0.0,57
307,"K&N Engineering, Inc.",Preferred stock A,No Value,No Value,No Value,0.0,26,0.0,34
308,"K&N Engineering, Inc.",Preferred stock B,No Value,No Value,No Value,0.0,0,0.0,7
309,Banking,,,,,,,,
310,Prommis Solutions  Inc.*,Preferred LLC  interest,No Value,No Value,No Value,1.0,472,0.0,0
311,"Beverage, Food and Tobacco",,,,,,,,
312,"Atkins Nutritionals, Inc.",LLC interest,No Value,No Value,No Value,57.0,746,0.1,824
313,"First Watch Restaurants, Inc.",Common stock,No Value,No Value,No Value,7.0,691,0.1,691
314,"Goode Seed Co-Invest, LLC",LLC units,No Value,No Value,No Value,356.0,356,0.1,411
315,Julio & Sons Company,LLC interest,No Value,No Value,No Value,521.0,521,0.1,555
316,"Northern Brewer,  LLC",LLC interest,No Value,No Value,No Value,142.0,315,0.0,271
317,"Richelieu Foods, Inc.",LP interest,No Value,No Value,No Value,220.0,220,0.0,138
318,"Containers, Packaging and Glass",,,,,,,,
319,"Packaging Coordinators, Inc.",LLC interest,No Value,No Value,No Value,48.0,2476,0.4,2476
320,Diversified Conglomerate Manufacturing,,,,,,,,
321,"Oasis Outsourcing Holdings, Inc.",LLC interest,No Value,No Value,No Value,1088.0,1088,0.3,1797
322,"Sunless Merger Sub,  Inc.",LP interest,No Value,No Value,No Value,0.0,148,0.0,23
323,"TIDI Products, LLC",LLC interest,No Value,No Value,No Value,315.0,315,0.1,368
324,Diversified Conglomerate Service,,,,,,,,
325,"Document Technologies, LLC",LLC interest,No Value,No Value,No Value,24.0,490,0.1,624
326,"Marathon Data Operating Co., LLC",Common stock,No Value,No Value,No Value,1.0,264,0.0,264
327,"Marathon Data Operating Co., LLC",Preferred stock,No Value,No Value,No Value,1.0,264,0.0,264
328,"Navex Global, Inc.",LP interest,No Value,No Value,No Value,0.0,666,0.1,386
329,"PC Helps Support, LLC",Common stock,No Value,No Value,No Value,1.0,7,0.0,7
330,"PC Helps Support, LLC",Preferred stock,No Value,No Value,No Value,0.0,61,0.0,61
331,"Secure-24, LLC",LLC Units,No Value,No Value,No Value,263.0,263,0.0,263
332,Grocery,,,,,,,,
333,"MyWebGrocer, Inc.",LLC units,No Value,No Value,No Value,1269.0,1269,0.2,1269
334,"Healthcare, Education and Childcare",,,,,,,,
335,"Advanced Pain Management Holdings, Inc.",Common stock,No Value,No Value,No Value,67.0,67,0.1,675
336,"Advanced Pain Management Holdings, Inc.",Preferred stock,No Value,No Value,No Value,13.0,829,0.2,869
337,"Avatar International,  LLC",LP interest,No Value,No Value,No Value,1.0,695,0.1,350
338,"Dialysis Newco, Inc.",LLC interest,No Value,No Value,No Value,871.0,124,0.1,765
339,"Encore Rehabilitation Services, LLC",LLC interest,No Value,No Value,No Value,270.0,271,0.1,349
340,"G & H Wire Company, Inc.",LP interest,No Value,No Value,No Value,0.0,103,0.0,103
341,"Hospitalists Management Group, LLC",Common stock,No Value,No Value,No Value,0.0,38,0.0,13
342,"IntegraMed America,  Inc.",Common stock,No Value,No Value,No Value,1.0,514,0.1,665
343,National Healing Corporation,Preferred stock,No Value,No Value,No Value,695.0,799,0.1,812
344,"NeuroTherm, Inc.",Common stock,No Value,No Value,No Value,1.0,569,0.1,731
345,"Northwestern Management Services, LLC",LLC units,No Value,No Value,No Value,3.0,3,0.0,8
346,"Northwestern Management Services, LLC",LLC units,No Value,No Value,No Value,0.0,249,0.0,259
347,"Pentec Acquisition Sub, Inc.",Preferred stock,No Value,No Value,No Value,1.0,116,0.0,62
348,"Reliant Pro ReHab,  LLC",Preferred stock,No Value,No Value,No Value,2.0,264,0.0,278
349,Southern Anesthesia and Surgical,LLC units,No Value,No Value,No Value,487.0,487,0.1,603
350,"Surgical Information Systems, LLC",Common stock,No Value,No Value,No Value,4.0,414,0.1,495
351,"Young Innovations, Inc.",Preferred stock,No Value,No Value,No Value,0.0,236,0.0,236
352,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,
353,"Top Knobs USA, Inc.",Common stock,No Value,No Value,No Value,3.0,73,0.0,110
354,Investment Funds and Vehicles,,,,,,,,
355,Senior Loan Fund  LLC  (7),LLC interest,No Value,No Value,No Value,591.0,591,0.1,768
356,Insurance,,,,,,,,
357,"Captive Resources Midco, LLC",LLC units,No Value,No Value,No Value,1.0,121,0.0,135
358,"Leisure, Amusement, Motion Pictures and Entertainment",,,,,,,,
359,"Competitor Group, Inc.",LLC interest,No Value,No Value,No Value,711.0,711,0.1,393
360,"LMP TR Holdings, LLC",LLC units,No Value,No Value,No Value,712.0,712,0.1,712
361,"Titan Fitness, LLC",LLC units,No Value,No Value,No Value,6.0,582,0.1,582
362,Personal and Non-Durable Consumer Products,,,,,,,,
363,"Hygenic Corporation, The",LP interest,No Value,No Value,No Value,1.0,61,0.0,61
364,"Massage Envy,  LLC",LLC interest,No Value,No Value,No Value,749.0,749,0.1,749
365,Team Technologies Acquisition Company,Common stock,No Value,No Value,No Value,0.0,148,0.0,148
366,Personal Transportation,,,,,,,,
367,PODS Funding  Corp. II,Warrant,No Value,No Value,No Value,271.0,0,0.0,256
368,Printing and Publishing,,,,,,,,
369,"Market Track, LLC",Preferred stock,No Value,No Value,No Value,0.0,145,0.0,180
370,"Market Track, LLC",Common stock,No Value,No Value,No Value,1.0,145,0.0,162
371,Retail Stores,,,,,,,,
372,"Barcelona Restaurants, LLC  (6)",LP interest,No Value,No Value,No Value,1996.0,1996,0.4,2518
373,"Benihana, Inc.",LLC interest,No Value,No Value,No Value,43.0,699,0.1,830
374,"Capital Vision Services, LLC",LLC interest,No Value,No Value,No Value,402.0,402,0.1,473
375,"Paper Source, Inc.",LLC interest,No Value,No Value,No Value,8.0,1387,0.2,1387
376,"Rubio's Restaurants, Inc.",Preferred stock,No Value,No Value,No Value,199.0,945,0.2,1178
377,"Sneaker Villa, Inc.",LLC interest,No Value,No Value,No Value,4.0,411,0.1,462
378,Vision Source L.P.,Common stock,No Value,No Value,No Value,9.0,936,0.1,949
379,Telecommunications,,,,,,,,
380,"ITC Global, Inc.",Preferred stock,No Value,No Value,No Value,17.0,311,0.1,311
