,0,1,2,3,4,5,6,7
213,"Animal Supply Holdings, LLC^^ (1) (6) (9)",Distributors,,406226,29230,19361,,
214,"Bolttech Mannings, Inc.^^ (1) (6) (9)",Commercial Services & Supplies,,309142,14885,8514,,
215,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)^ (1) (6) (9)",Aerospace & Defense,,453383,2393,9231,,
216,"Collaborative Imaging Holdco, LLC (dba Texas Radiology Associates) - Class B^^^ (1) (2) (9)",Health Care Providers & Services,,8464,1141,1458,,
217,"Collaborative Imaging Holdco, LLC (dba Texas Radiology Associates) - Performance Units^^^ (1) (2) (5) (6) (9)",Health Care Providers & Services,,7988,159,284,,
218,"Conergy Asia Holdings, Ltd.^ (1) (5) (6) (9)",Construction & Engineering,,2000,4700,0,,
219,Country Fresh Holding Company Inc.(1)(2) (6) (9),Food Products,,671,839,229,,
220,"Elah Holdings, Inc.^ (1) (2) (6) (9)",Capital Markets,,46214,2234,2234,,
221,"Iracore International Holdings, Inc.^ (1) (6) (9)",Energy Equipment & Services,,28898,7003,5994,,
222,Kawa Solar Holdings Limited^ (1) (5)(6) (9),Construction & Engineering,,1399556,0,0,,
223,"National Spine and Pain Centers, LLC(1) (2) (6) (9)",Health Care Providers & Services,,600,600,80,,
224,"Prairie Provident Resources, Inc.^^^ (5) (6)","Oil, Gas & Consumable Fuels",,3579988,9237,38,,
225,"Wrike, Inc.(1) (2) (6) (9)",Professional Services,,3484784,2165,4182,,
226,"Yasso, Inc.(1) (2) (6) (9)",Food Products,,850,850,425,,
227,Total Common Stock,,,,75436,52030,,
228,,,Yield,Shares,Cost,Fair Value,,
229,Investments in Affiliated Money Market Fund * - 10.81,,,,,,,
230,Goldman Sachs Financial Square Government Fund - Institutional Shares^^^ (10),,0.34,64305925,64306,64306,,
231,Total Investments in Affiliated Money Market Fund,,,,64306,64306,,
232,TOTAL INVESTMENTS - 249.98,,,,"$1,615,298","$1,487,053",,
233,LIABILITIES IN EXCESS OF OTHER ASSETS - (149.98 ),,,,,"$(892,194)",,
234,NET ASSETS - 100.00,,,,,"$594,859",,
235,*,Assets are pledged as collateral for the Revolving Credit Facility. See Note 6 “Debt”.,,,,,,
