,0,1,2,3,4,5,6,7
204,"Accuity Delivery Systems, LLC  ^ (1) (2) (6) (9)",Health Care Providers & Services,97130,"$ 3,200","$ 5,760",,,
205,"Animal Supply Holdings, LLC  ^^ (1) (6) (9)",Distributors,250000,25000,23490,,,
206,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1) (6) (9)",Aerospace & Defense,1108333,10186,22621,,,
207,"Conergy Asia Holdings, Ltd.  ^  (1) (5) (6) (9)",Construction & Engineering,600000,600,—,,,
208,Kawa Solar Holdings Limited  ^ (1) (5) (8) (9),Construction & Engineering,8.00% PIK,64539,778,—,,
209,"Wine.com, LLC  (1) (2) (6) (9)",Beverages,221072,1900,1943,,,
210,Total Preferred Stock,41664,53814,,,,,
211,Common Stock - 8.75%,,,,,,,
212,"Animal Supply Holdings, LLC  ^^ (1) (6) (9)",Distributors,406226,29230,19361,,,
213,"Bolttech Mannings, Inc.  ^^ (1) (6) (9)",Commercial Services & Supplies,309142,14885,8514,,,
214,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1) (6) (9)",Aerospace & Defense,453383,2393,9231,,,
215,"Collaborative Imaging Holdco, LLC (dba Texas Radiology Associates) - Class B  ^^^ (1) (2) (9)",Health Care Providers & Services,8464,1141,1458,,,
216,"Collaborative Imaging Holdco, LLC (dba Texas Radiology Associates) - Performance Units  ^^^ (1) (2) (5) (6) (9)",Health Care Providers & Services,7988,159,284,,,
217,"Conergy Asia Holdings, Ltd.  ^ (1) (5) (6) (9)",Construction & Engineering,2000,4700,—,,,
218,Country Fresh Holding Company Inc.  (1)  (2) (6) (9),Food Products,671,839,229,,,
219,"Elah Holdings, Inc.  ^ (1) (2) (6) (9)",Capital Markets,46214,2234,2234,,,
220,"Iracore International Holdings, Inc.  ^ (1) (6) (9)",Energy Equipment & Services,28898,7003,5994,,,
221,Kawa Solar Holdings Limited  ^ (1) (5)  (6) (9),Construction & Engineering,1399556,—,—,,,
222,"National Spine and Pain Centers, LLC  (1) (2) (6) (9)",Health Care Providers & Services,600,600,80,,,
223,"Prairie Provident Resources, Inc.  ^^^ (5) (6)","Oil, Gas & Consumable Fuels",3579988,9237,38,,,
224,"Wrike, Inc.  (1) (2) (6) (9)",Professional Services,3484784,2165,4182,,,
225,"Yasso, Inc.  (1) (2) (6) (9)",Food Products,850,850,425,,,
226,Total Common Stock,75436,52030,,,,,
227,Yield,Shares,Cost,Fair Value,,,,
228,Investments in Affiliated Money Market Fund * - 10.81%,,,,,,,
229,Goldman Sachs Financial Square Government Fund - Institutional Shares  ^^^ (10),0.34%,64305925,64306,64306,,,
230,Total Investments in Affiliated Money Market Fund,64306,64306,,,,,
231,TOTAL INVESTMENTS - 249.98%,"$1,615,298","$1,487,053",,,,,
232,LIABILITIES IN EXCESS OF OTHER ASSETS - (149.98%),"$(892,194)",,,,,,
233,NET ASSETS - 100.00%,"$  594  ,859",,,,,,
234,*,Assets are pledged as collateral for the Revolving Credit Facility. See Note 6 “Debt”.,,,,,,
