,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,0,1
188,Odyssey Logistics & Technology Corporation  (2),Road & Rail,9.80%,L + 8.00%; 1.00% Floor,10/12/2025,18722,18381,18067,,,,
189,"SMB Shipping Logistics, LLC (dba Worldwide Express)  (1) (2)",Air Freight & Logistics,9.90%,L + 8.00%; 1.00% Floor,02/03/2025,41667,41107,40937,,,,
190,"Spectrum Plastics Group, Inc.  (2)",Containers & Packaging,8.80%,L + 7.00%; 1.00% Floor,01/31/2026,6248,6222,4925,,,,
191,"YI, LLC (dba Young  Innovations)  (1) (2)",Health Care Equipment & Supplies,9.69%,L + 7.75%; 1.00% Floor,11/07/2025,15235,14868,14854,,,,
192,Zep Inc.  (2),Chemicals,10.19%,L + 8.25%; 1.00% Floor,08/11/2025,23800,23332,11900,,,,
193,Total 2nd Lien/Senior Secured Debt,263440,234025,,,,,,,,,
194,Unsecured Debt  – 1.10%,,,,,,,,,,,
195,"CB-HDT  Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1)",Aerospace & Defense,12.00% PIK,03/06/2021,4417,4417,4417,,,,,
196,"CB-HDT  Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1)",Aerospace & Defense,12.00% PIK,03/06/2021,1928,1928,1928,,,,,
197,Conergy Asia & ME Pte.  LTD.  ^ (1) (5),Construction & Engineering,10.00%,05/26/2020,1064,1064,1064,,,,,
198,Total Unsecured Debt,7409,7409,,,,,,,,,
199,,,,,,,,,,,*,Assets are pledged as collateral for the Revolving Credit Facility. See Note 6 “Debt”.
