,0,1,2,3,4,5,6,7,8,9,10
193,"SMB Shipping Logistics, LLC (dba Worldwide Express)  (1) (2)",Air Freight & Logistics,9.00%,L + 8.00%; 1.00% Floor,02/03/2025,,"$ 41,667",,"$ 41,151",,"$ 38,750"
194,"Spectrum Plastics Group, Inc.  (2)",Containers & Packaging,8.07%,L + 7.00%,01/31/2026,,6248,,6224,,4686
195,"YI, LLC (dba Young Innovations)  (1) (2)",Health Care Equipment & Supplies,8.82%,L + 7.75%; 1.00% Floor,11/07/2025,,15235,,14893,,13293
196,Zep Inc.  (2),Chemicals,9.32%,L + 8.25%; 1.00% Floor,08/11/2025,,23800,,23364,,15470
197,Total 2nd Lien/Senior Secured Debt,,,,,,,238804,,205341.0,
198,Unsecured Debt  - 1.18%,,,,,,,,,,
199,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1)",Aerospace & Defense,12.00% PIK,,03/06/2021,,"$ 4,327",,"$ 4,327",,"$ 4,327"
200,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1)",Aerospace & Defense,12.00% PIK,,03/06/2021,,1888,,1888,,1888
201,Conergy Asia & ME Pte. LTD.  ^ (1) (5) (6),Construction & Engineering,,,06/30/2021,,1266,,1073,,991
202,Total Unsecured Debt,,,,,,,7288,,7206.0,
203,Preferred Stock  - 9.78%,,,,,,,,,,
204,"Accuity Delivery Systems, LLC  ^ (1) (2) (6) (9)",Health Care Providers & Services,,,,,97130,,"$ 3,200",,"$ 6,080"
205,"Animal Supply Holdings, LLC  ^^ (1) (6) (9)",Distributors,,,,,250000,,25000,,22693
206,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1) (6) (9)",Aerospace & Defense,,,,,1108333,,10186,,26955
207,"Conergy Asia Holdings, Ltd.  ^ (1) (5) (6) (9)",Construction & Engineering,,,,,600000,,600,,—
208,Kawa Solar Holdings Limited  ^ (1) (5) (8) (9),Construction & Engineering,8.00% PIK,,,,65830,,778,,—
209,"Wine.com, LLC  (1) (2) (6) (9)",Beverages,,,,,221072,,1900,,4103
210,Total Preferred Stock,,,,,,,41664,,59831.0,
211,Common Stock  - 5.99%,,,,,,,,,,
212,"Animal Supply Holdings, LLC  ^^ (1) (6) (9)",Distributors,,,,,406226,,"$ 29,230",,$ —
213,"Bolttech Mannings, Inc.  ^^ (1) (6) (9)",Commercial Services & Supplies,,,,,309142,,14885,,7441
214,"CB-HDT Holdings, Inc. (dba Hunter Defense Technologies)  ^ (1) (6) (9)",Aerospace & Defense,,,,,453383,,2393,,11013
215,"Collaborative Imaging Holdco, LLC (dba Texas Radiology Associates) - Class B  ^^^ (1) (2) (9)",Health Care Providers & Services,,,,,8464,,1141,,1450
216,"Collaborative Imaging Holdco, LLC (dba Texas Radiology Associates) - Performance Units  ^^^ (1) (2) (5) (6)  (9)",Health Care Providers & Services,,,,,7988,,159,,289
217,"Conergy Asia Holdings, Ltd.  ^ (1) (5) (6) (9)",Construction & Engineering,,,,,2000,,4700,,—
218,Country Fresh Holding Company Inc.  (1) (2) (6) (9),Food Products,,,,,671,,839,,152
219,"Elah Holdings, Inc.  ^ (1) (2) (6) (9)",Capital Markets,,,,,46214,,2234,,2233
220,"Iracore International Holdings, Inc.  ^ (1) (6) (9)",Energy Equipment & Services,,,,,28898,,7003,,7834
221,Kawa Solar Holdings Limited  ^ (1) (5) (6) (9),Construction & Engineering,,,,,1399556,,—,,—
222,"National Spine and Pain Centers, LLC  (1) (2) (6) (9)",Health Care Providers & Services,,,,,600,,600,,29
223,"Prairie Provident Resources, Inc.  ^^^ (5) (6)","Oil, Gas & Consumable Fuels",,,,,3579988,,9237,,40
224,"Wrike, Inc.  (1) (2) (6) (9)",Professional Services,,,,,3484784,,2165,,5610
225,"Yasso, Inc.  (1) (2) (6) (9)",Food Products,,,,,850,,850,,516
226,Total Common Stock,,,,,,,75436,,36607.0,
227,*,Assets are pledged as collateral for the Revolving Credit Facility. See Note 6 “Debt”.,,,,,,,,,
