,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,0,1
197,"CB-HDT  Holdings,  Inc.  ^ (2) (7) (10)",Aerospace & Defense,1108333,10186,16381,,,,,,,,
198,"Conergy Asia Holdings,  Ltd.  ^ (2) (7) (9) (10)",Construction & Engineering,600000,600,—,,,,,,,,
199,Kawa Solar Holdings  Limited  ^ (2) (7) (9) (12),Construction & Engineering,8.00% PIK,62006,778,—,,,,,,,
200,"Wine.com, LLC  (2) (3) (7) (10)",Beverages,221072,1900,1930,,,,,,,,
201,Total Preferred Stock,41664,49709,,,,,,,,,,
202,Common Stock  (1)  – 7.32%,,,,,,,,,,,,
203,"Animal Supply Holdings,  LLC  ^^ (2) (7) (10)",Distributors,406226,29230,24942,,,,,,,,
204,"Bolttech Mannings,  Inc.  ^^ (2) (7) (10)",Commercial Services & Supplies,8000,6591,1388,,,,,,,,
205,"CB-HDT  Holdings,  Inc.  ^ (2) (7) (10)",Aerospace & Defense,453383,2393,6474,,,,,,,,
206,"Collaborative Imaging Holdco, LLC – Class B  ^^^ (2) (3) (7)",Health Care Providers & Services,8464,1141,1574,,,,,,,,
207,"Collaborative Imaging Holdco, LLC – Performance  Units  ^^^ (2) (3) (7) (9) (10)",Health Care Providers & Services,7988,159,405,,,,,,,,
208,"Conergy Asia Holdings,  Ltd.  ^ (2) (7) (9) (10)",Construction & Engineering,2000,4700,—,,,,,,,,
209,Continuum Managed Services LLC – Class A  (2) (3) (7) (10),IT Services,733,733,900,,,,,,,,
210,Continuum Managed Services LLC – Class B  (2) (3) (7) (10),IT Services,496698,7,1480,,,,,,,,
211,Country Fresh Holding Company  Inc.  (2) (3) (7) (10),Food Products,671,839,780,,,,,,,,
212,"Elah Holdings, Inc.  ^ (2) (3) (7) (10)",Capital Markets,46214,2234,2234,,,,,,,,
213,"Iracore International Holdings,  Inc.  ^ (2) (7) (10)",Energy Equipment & Services,28898,7003,6357,,,,,,,,
214,Kawa Solar Holdings  Limited  ^ (2) (7) (9) (10),Construction & Engineering,1399556,—,—,,,,,,,,
215,"National Spine and Pain Centers,  LLC  (2) (3) (7) (10)",Health Care Providers & Services,600,600,173,,,,,,,,
216,"Prairie Provident Resources,  Inc.  ^^^ (9) (10)","Oil, Gas & Consumable Fuels",3579988,9237,149,,,,,,,,
217,"Wrike, Inc.  (2) (3) (7) (10)",Professional Services,348478,2165,2903,,,,,,,,
218,"Yasso, Inc.  (2) (3) (7) (10)",Food Products,850,850,355,,,,,,,,
219,Total Common Stock,67882,50114,,,,,,,,,,
220,TOTAL INVESTMENTS – 208.83%,$,1474402,$,1430155,,,,,,,,
221,LIABILITIES IN EXCESS OF OTHER ASSETS – (108.83%),$,"(745,316",),,,,,,,,,
222,NET ASSETS – 100.00%,$,684839,,,,,,,,,,
223,,,,,,,,,,,,(+),"The Consolidated Schedule of Investments discloses the actual interest rate for partially or fully funded debt in effect as of the reporting date. Variable rate loans bear interest at a rate that may be determined by reference to either LIBOR (“L”) or alternate base rate (commonly based on the Prime Rate (“P”)), at the borrower’s option, which reset periodically based on the terms of the credit agreement. L loans are typically indexed to 12 month, 6 month, 3 month, 2 month, 1 month or 1 week L rates. As of September 30, 2019, rates for the 12 month, 6 month, 3 month, 2 month, 1 month and 1 week L are 2.03%, 2.06%, 2.09%, 2.07%, 2.02% and 1.91%, respectively. As of September 30, 2019, P was 5.00%. For investments with multiple reference rates or alternate base rates, the interest rate shown is the weighted average interest rate in effect at September 30, 2019."
