,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
219,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($42.8 par due 4/2029),7.50% (Libor + 6.75%/Q),4/16/2021,42.8,,,42.8,,(2)(12),,,
220,,,"Limited partnership interests (614,950 interests)",,4/16/2021,6.2,,,6.8,,(2)(6),,,
222,"Sundance Group Holdings, Inc. (16)",Provider of cloud-based document management and collaboration solutions,First lien senior secured revolving loan ($0.9 par due 7/2027),7.75% (Libor + 6.75%/Q),7/2/2021,0.8,,,0.9,,(2)(12),,,
223,,,First lien senior secured loan ($15.4 par due 7/2027),7.75% (Libor + 6.75%/Q),7/2/2021,15.2,,,15.3,,(2)(12),,,
225,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured loan ($6.6 par due 8/2026),6.50% (Libor + 5.50%/Q),12/1/2020,6.6,,,6.6,,(12),,,
226,,,First lien senior secured loan ($4.0 par due 8/2026),6.50% (Libor + 5.50%/Q),10/19/2021,4.0,,,4.0,,(2)(12),,,
227,,,First lien senior secured loan ($34.8 par due 8/2026),6.50% (Libor + 5.50%/Q),8/30/2019,34.8,,,34.8,,(12),,,
229,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan,-%,5/3/2019,0,,,0,,(6)(14),,,
230,,,"Limited partnership interests (12,583,556 interests)",,5/3/2019,12.6,,,15.1,,(2)(6),,,
232,Verscend Holding Corp. (16),Healthcare analytics solutions provider,First lien senior secured revolving loan,-%,8/27/2018,0,,,0,,(14),,,
233,"WebPT, Inc. (16)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 8/2024),7.75% (Libor + 6.75%/Q),8/28/2019,48.1,,,48.1,,(2)(12),,,
234,"Wellness AcquisitionCo, Inc. (16)","Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",First lien senior secured loan ($0.1 par due 1/2027),6.50% (Libor + 5.50%/Q),1/20/2021,0.1,,,0.1,,(2)(12),,,
235,"WorkWave Intermediate II, LLC (16)",Provider of cloud-based field services and fleet management solutions,First lien senior secured loan ($61.6 par due 6/2027),8.00% PIK (Libor + 7.25%/Q),6/29/2021,61.6,,,61.6,,(2)(12),,,
236,,,,,,4308.2,,,4378.1,,,49.37%,,
238,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 6/2024),11.25% (Base rate + 3.00% Cash + 5.00% PIK/Q),6/1/2021,4.0,,,4.0,,(2)(12),,,
239,,,First lien senior secured loan ($49.5 par due 6/2024),"10.00% (Libor + 4.00% Cash, 5.00% PIK/Q)",6/1/2021,49.5,,,49.5,,(2)(12),,,
240,,,"Class A common units (7,617,280 units)",,6/1/2021,4.7,,,10.4,,(2),,,
242,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($9.6 par due 9/2022),7.50% (Base rate + 3.75% Cash + .50% PIK/A),9/28/2016,9.6,,,9.5,,(2)(12),,,
244,,,First lien senior secured revolving loan ($2.3 par due 9/2022),"5.75% (Libor + 4.25% Cash, 0.50% PIK/Q)",9/28/2016,2.3,,,2.3,,(2)(12),,,
245,,,Second lien senior secured loan ($115.3 par due 3/2024),11.00% PIK (Libor + 10.00%/Q),9/28/2016,95.2,,,103.7,,(2)(12),,,
246,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,(2),,,
248,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,,,2.8,,(2)(12),,,
249,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (16)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),,2/11/2019,9.0,,,49.3,,(2),,,
250,"Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,1.1,,(2),,,
251,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($69.5 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,69.5,,,69.5,,(2)(12),,,
252,,,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,,,12.7,,(2)(12),,,
253,,,"Class B common units (4,211 units)",,7/9/2019,4.2,,,10.8,,(2),,,
255,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan,-%,10/1/2018,0,,,0,,(14),,,
256,,,First lien senior secured loan ($34.0 par due 10/2025),5.63% (Libor + 5.50%/Q),9/25/2018,33.8,,,33.3,,,,,
258,"Center for Autism and Related Disorders, LLC (16)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($6.8 par due 11/2023),5.65% (Libor + 5.50%/Q),11/21/2018,6.8,,,6.2,,(2)(15),,,
259,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured revolving loan ($0.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,0.3,,,0.3,,(2)(12),,,
260,,,First lien senior secured loan ($2.6 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,2.6,,,2.6,,(2)(12),,,
261,,,First lien senior secured loan ($0.1 par due 2/2024),8.00% (Base Rate + 4.75%/Q),4/19/2021,0.1,,,0.1,,(2)(12),,,
262,,,First lien senior secured loan ($0.6 par due 2/2024),7.00% (Libor + 5.75%/Q),4/19/2021,0.6,,,0.6,,(2)(12),,,
264,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.7 par due 9/2026),5.50% (Libor + 4.75%/M),9/4/2019,2.7,,,2.7,,(12),,,
265,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured revolving loan ($0.4 par due 10/2024),8.00% (Base Rate + 4.75%/Q),10/31/2019,0.4,,,0.4,,(2)(12)(15),,,
266,,,First lien senior secured loan ($39.4 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,39.4,,,39.4,,(12),,,
267,,,First lien senior secured loan ($49.2 par due 10/2025),6.75% (Libor + 5.75%/Q),4/26/2021,49.2,,,49.2,,(2)(12),,,
268,,,"Common stock (32,429 shares)",,10/31/2019,10.0,,,15.9,,(2),,,
270,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($114.0 par due 5/2029),7.50% (Libor + 6.75%/Q),5/26/2021,114.0,,,114.0,,(2)(12),,,
271,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,32.2,,(2),,,
273,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,Second lien senior secured loan ($95.4 par due 12/2029),7.50% (Libor + 6.75%/Q),12/17/2021,95.4,,,94.5,,(2)(12),,,
274,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,3.0,,(2),,,
275,,,"Warrant to purchase up to 1,926.57 units of common stock (expires 12/2031)",,12/17/2021,0.1,,,0,,(2),,,
278,"HealthEdge Software, Inc. (16)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,-%,12/16/2021,0,,,0,,(14),,,
279,,,First lien senior secured loan ($79.2 par due 4/2026),7.25% (Libor + 6.25%/Q),12/16/2021,79.2,,,79.2,,(2)(12),,,
281,"Honor Technology, Inc.",Nursing and home care provider,First lien senior secured loan ($2.5 par due 8/2026),11.00% (Libor + 10.00%/M),8/6/2021,2.4,,,2.5,,(2)(12),,,
282,,,"Warrant to purchase up to 133,333 shares of series D-2 preferred stock (expires 8/2031)",,8/6/2021,0.1,,,0.1,,(2),,,
284,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.4 par due 4/2022),,4/10/2017,3.8,,,3.1,,(2)(11),,,
285,,,First lien senior secured loan ($37.2 par due 4/2023),,4/10/2017,31.7,,,26.5,,(2)(11),,,
287,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (16)",Provider of behavioral health services,First lien senior secured revolving loan ($0.8 par due 3/2024),6% (Libor + 4.00% Cash + 1% PIK/M),3/17/2017,0.8,,,0.8,,(2)(12),,,
288,"MCH Holdings, Inc., MC Acquisition Holdings I, LLC and Privia Health Group, Inc.",Healthcare professional provider,First lien senior secured loan ($110.2 par due 7/2022),8.50% (Libor + 7.00%/M),7/26/2017,110.2,,,110.2,,(12),,,
289,,,"Class A units (1,438,643 shares)",,1/17/2014,0,,,0.6,,(2),,,
291,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.00% (Libor + 10.00%/Q),4/19/2016,72.8,,,72.8,,(2)(12),,,
292,,,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,,,0.1,,(2),,,
293,,,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,,,0.3,,(2),,,
294,,,"Class A units (25,277 units)",,4/19/2016,2.5,,,4.1,,(2),,,
296,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,-%,11/13/2018,0,,,0,,(14),,,
297,,,"Partnership units (30,000 units)",,11/13/2018,3.0,,,2.8,,(2),,,
299,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured revolving loan ($3.3 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,3.3,,,3.3,,(2)(12),,,
300,,,First lien senior secured loan ($12.4 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,12.4,,,12.4,,(12),,,
301,,,First lien senior secured loan ($3.0 par due 9/2023),8.25% (Libor + 7.25%/M),2/1/2020,3.0,,,3.0,,(2)(12),,,
303,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),9/24/2019,10.1,,,8.3,,(2)(12),,,
304,,,First lien senior secured revolving loan ($0.2 par due 9/2024),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),12/17/2020,0.2,,,0.2,,(2)(12),,,
305,,,First lien senior secured loan ($42.1 par due 9/2026),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),9/24/2019,42.1,,,34.5,,(12),,,
306,,,First lien senior secured loan ($0.9 par due 9/2026),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),12/31/2020,0.9,,,0.8,,(12),,,
307,,,"Preferred units (417,189)",15.00% PIK,7/28/2021,0.3,,,0.3,,(2),,,
308,,,"Class A common units (9,549,000 units)",,9/24/2019,9.5,,,0,,(2),,,
310,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($26.1 par due 10/2025),6.50% (Libor + 5.50%/Q),10/24/2019,26.1,,,26.1,,(12),,,
311,,,First lien senior secured loan ($15.4 par due 10/2025),6.50% (Libor + 5.50%/Q),3/10/2021,15.4,,,15.4,,(12),,,
314,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,First lien senior secured revolving loan,-%,3/31/2020,0,,,0,,(14),,,
315,,,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,,,76.3,,(2)(12),,,
316,,,"Class R common units (6,004,768 units)",,3/31/2020,6.0,,,7.9,,(2),,,
318,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($55.7 par due 9/2022),15% (Libor + 3.51% Cash + 10.49% PIK/Q),12/18/2015,55.6,,,52.4,,(2)(12),,,
319,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 7/2023),3.41% (Libor + 3.25%/Q),7/10/2018,12.0,,,12.0,,(2)(15),,,
320,,,First lien senior secured loan ($8.6 par due 7/2025),3.72% (Libor + 3.50%/Q),7/10/2018,8.6,,,8.6,,,,,
321,,,Second lien senior secured loan ($67.1 par due 7/2026),7.72% (Libor + 7.50%/Q),7/10/2018,66.7,,,67.1,,(2),,,
322,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,17.5,,(2),,,
324,Project Ruby Ultimate Parent  Corp. (dba Wellsky),Provider of care coordination and transition management software solutions,Second lien senior secured loan ($193.1 par due 3/2029),7.25% (Libor + 6.50%/M),3/10/2021,193.1,,,193.1,,(2)(12),,,
325,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),,,
326,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (16)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured revolving loan ($5.0 par due 7/2026),8.25% (Libor + 6.75%/M),7/20/2020,5.0,,,5.0,,(2)(12),,,
327,,,First lien senior secured loan ($28.5 par due 7/2026),8.25% (Libor + 6.75%/Q),7/20/2020,28.5,,,28.5,,(12),,,
329,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,First lien senior secured loan ($11.5 par due 3/2024),5.75% (Libor + 4.75%/M),3/26/2018,11.5,,,9.9,,(12),,,
330,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0.7,,(2),,,
332,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series A units (8,041 units)",,8/1/2018,8.0,,,9.6,,(2),,,
333,,,"Series B units (804,142 units)",,8/1/2018,0,,,0,,(2),,,
335,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,Second lien senior secured loan ($69.9 par due 12/2028),8.63% (Libor + 7.88%/Q),12/22/2020,69.9,,,69.9,,(2)(12),,,
336,,,"Series C-1 preferred shares (75,939 shares)",11.00% PIK,6/18/2021,85.0,,,85.0,,(2),,,
337,,,"Series C-2 preferred shares (40,115 shares)",11.00% PIK,6/18/2021,42.6,,,42.6,,(2),,,
338,,,"Series C-3 preferred shares (16,201 shares)",11.00% PIK,10/12/2021,16.6,,,16.6,,(2),,,
340,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private pay home care for the elderly,First lien senior secured loan ($15.3 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.3,,,15.3,,(12),,,
341,,,Common units (550 units),,4/2/2018,0.5,,,1.0,,,,,
343,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($8.8 par due 1/2022),,10/15/2021,8.1,,,8.8,,(2)(11),,,
344,,,Second lien senior secured loan ($1.4 par due 12/2022),,1/27/2021,1.3,,,0.5,,(2)(11),,,
345,,,Second lien senior secured loan ($77.8 par due 12/2022),,12/13/2018,67.6,,,29.5,,(2)(11),,,
346,,,"Series D preferred stock (77,725 shares)",,1/27/2021,0,,,0,,(2),,,
347,,,"Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",,4/6/2020,0,,,0,,(2),,,
349,,,"Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",,7/20/2020,0,,,0,,(2),,,
351,Therapy Brands Holdings LLC (16),Provider of software solutions for the mental and behavioral health market segments,Second lien senior secured loan ($20.5 par due 5/2029),7.50% (Libor + 6.75%/Q),6/2/2021,20.3,,,20.5,,(2)(12),,,
352,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.7,,,2.8,,(2),,,
353,"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",Anesthesiology service provider,Second lien senior secured loan ($147.8 par due 10/2029),8.00% (Libor + 7.50%/Q),10/1/2021,147.8,,,146.3,,(2)(12),,,
354,,,"Common stock (3,671,429 shares)",,12/3/2021,12.9,,,12.9,,(2),,,
356,"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P. (16)",Veterinary hospital operator,First lien senior secured loan ($6.4 par due 12/2027),6.75% (Libor + 5.75%/Q),12/1/2021,6.4,,,6.4,,(2)(12),,,
357,,,"Class A-2 units (7,524 units)",,12/1/2021,7.5,,,7.5,,(2),,,
359,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($1.5 par due 3/2027),7.00% (Libor + 6.00%/Q),3/30/2018,1.5,,,1.5,,(2)(12),,,
360,,,First lien senior secured loan ($4.9 par due 3/2027),7.00% (Libor + 6.00%/Q),10/14/2021,4.9,,,4.9,,(2)(12),,,
361,,,First lien senior secured loan ($33.4 par due 3/2027),7.00% (Libor + 6.00%/Q),3/30/2018,33.4,,,33.4,,(12),,,
362,,,First lien senior secured loan ($4.5 par due 3/2027),7.00% (Libor + 6.00%/Q),2/11/2019,4.5,,,4.5,,(12),,,
363,,,First lien senior secured loan ($11.4 par due 3/2027),7.00% (Libor + 6.00%/M),8/30/2019,11.4,,,11.4,,(12),,,
364,,,First lien senior secured loan ($10.8 par due 3/2027),7.00% (Libor + 6.00%/Q),10/31/2019,10.8,,,10.8,,(12),,,
365,,,First lien senior secured loan ($9.0 par due 3/2027),7.00% (Libor + 6.00%/Q),11/23/2021,9.0,,,9.0,,(2)(12),,,
367,,,,,,2133.9,,,2157.1,,,24.33%,,
369,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 5/2023),10.00% (Libor + 9.00%/Q),5/11/2018,4.1,,,3.9,,(2)(12),,,
370,,,"Class A common units (236,358 units)",,5/11/2018,4.3,,,4.0,,,,,
372,Aero Operating LLC,Provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($36.6 par due 2/2026),8.00% (Libor + 6.50%/M),2/7/2020,36.6,,,36.6,,(12),,,
373,,,First lien senior secured loan ($1.2 par due 2/2026),8.00% (Libor + 6.50%/Q),12/31/2021,1.2,,,1.2,,(2)(12),,,
375,"Argenbright Holdings V, LLC","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($21.1 par due 11/2026),7.00% (Libor + 6.00%/M),11/30/2021,21.1,,,20.9,,(2)(12),,,
376,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (16)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan ($2.3 par due 11/2025),7.00% (Base Rate + 3.75%/Q),11/12/2020,2.3,,,2.3,,(2)(12)(15),,,
377,,,First lien senior secured loan ($0.3 par due 11/2027),5.75% (Libor + 4.75%/M),11/12/2020,0.3,,,0.3,,(2)(12),,,
378,,,Second lien senior secured loan ($68.3 par due 11/2028),9.75% (Libor + 8.75%/M),11/12/2020,68.3,,,68.3,,(2)(12),,,
379,,,"Class A units (10,581 units)",,11/12/2020,10.6,,,14.4,,(2),,,
381,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (16)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured loan ($12.4 par due 3/2023),8.5% (Libor + 3.00% Cash + 4.50% PIK/Q),3/10/2017,12.4,,,11.4,,(2)(12),,,
383,,,"Common units (2,950,000 units)",,3/10/2017,3.0,,,1.4,,(2),,,
385,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($0.3 par due 6/2023),6.75% (Base Rate + 3.50%/Q),9/23/2016,0.3,,,0.3,,(2)(15),,,
386,,,First lien senior secured revolving loan ($4.8 par due 6/2023),4.65% (Libor + 4.50%/Q),9/23/2016,4.8,,,4.8,,(2)(15),,,
387,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,,4.2,,(2),,,
388,,,"Class B common stock (7,500 shares)",,8/19/2014,0,,,0,,(2),,,
390,"Elevation Services Parent Holdings, LLC",Elevator service platform,First lien senior secured loan ($8.7 par due 12/2026),7.00% (Libor + 6.00%/Q),12/18/2020,8.7,,,8.7,,(2)(12),,,
391,,,First lien senior secured loan ($0.3 par due 12/2026),6.50% (Libor + 5.50%/Q),12/18/2020,0.3,,,0.3,,(2)(12),,,
392,,,First lien senior secured loan ($5.2 par due 12/2026),7.00% (Libor + 6.00%/Q),12/18/2020,5.2,,,5.2,,(2)(12),,,
394,"HAI Acquisition Corporation and Aloha Topco, LLC (16)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($61.0 par due 11/2025),6.00% (Libor + 5.25%/M),11/1/2017,61.0,,,61.0,,(12),,,
395,,,First lien senior secured loan ($0.1 par due 11/2025),6.00% (Libor + 5.25%/Q),9/28/2021,0.1,,,0.1,,(2)(12),,,
396,,,"Class A units (16,980 units)",,11/1/2017,1.7,,,2.3,,(2),,,
398,"HH-Stella, Inc. and Bedrock Parent Holdings, LP (16)",Provider of municipal solid waste transfer management services,First lien senior secured revolving loan ($0.5 par due 4/2027),6.50% (Libor + 5.50%/M),4/22/2021,0.5,,,0.5,,(2)(12),,,
399,,,First lien senior secured loan ($2.6 par due 4/2028),6.50% (Libor + 5.50%/M),4/22/2021,2.6,,,2.6,,(2)(12),,,
400,,,"Class A units (25,490 units)",,4/22/2021,2.5,,,2.9,,(2),,,
402,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($42.3 par due 12/2025),4.35% (Libor + 4.25%/M),11/30/2018,41.9,,,42.3,,,,,
403,,,Second lien senior secured loan ($86.8 par due 11/2026),8.10% (Libor + 8.00%/M),11/30/2018,85.9,,,86.8,,(2),,,
404,,,"Series A-1 preferred shares (46,900 shares)",11.50% PIK (Libor + 10.50%/M),11/30/2018,65.3,,,66.0,,(2)(12),,,
405,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,,26.1,,(2),,,
407,"Kellermeyer Bergensons Services, LLC (16)",Provider of janitorial and facilities management services,First lien senior secured loan ($60.8 par due 11/2026),6.75% (Libor + 5.75%/A),11/7/2019,60.5,,,60.8,,(2)(12),,,
408,,,First lien senior secured loan ($21.1 par due 11/2026),6.75% (Libor + 5.75%/Q),7/2/2021,21.1,,,21.1,,(2)(12),,,
410,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($12.6 par due 4/2024),7.00% (Libor + 6.00%/M),4/5/2017,12.6,,,12.3,,(12),,,
411,,,First lien senior secured loan ($3.4 par due 4/2024),7.00% (Libor + 6.00%/M),11/16/2018,3.4,,,3.3,,(12),,,
412,,,"Class A units (13,292 units)",,9/21/2018,1.1,,,0.9,,,,,
414,Laboratories Bidco LLC and Laboratories Topco LLC (16),Lab testing services for nicotine containing products,First lien senior secured loan ($21.6 par due 7/2027),6.75% (Libor + 5.75%/Q),10/4/2019,21.6,,,21.6,,(12),,,
415,,,First lien senior secured loan ($25.5 par due 7/2027),6.75% (Libor + 5.75%/Q),10/4/2019,24.3,,,25.5,,(12),,,
416,,,First lien senior secured loan ($0.1 par due 7/2027),6.75% (Libor + 5.75%/Q),10/30/2020,0.1,,,0.1,,(2)(12),,,
417,,,First lien senior secured loan ($10.7 par due 7/2027),6.75% (Libor + 5.75%/Q),7/23/2021,10.7,,,10.7,,(2)(12),,,
418,,,"Class A units (3,099,335 units)",,7/23/2021,4.6,,,4.1,,(2),,,
421,"Lakers Buyer, Inc. and Lakers Parent LLC (16)",Provider of fire safety and life safety services,First lien senior secured revolving loan ($3.6 par due 3/2027),6.75% (Libor + 5.75%/Q),3/22/2021,3.6,,,3.6,,(2)(12),,,
422,,,First lien senior secured loan ($51.2 par due 3/2027),6.75% PIK (Libor + 5.75%/Q),3/22/2021,51.2,,,51.2,,(2)(12),,,
423,,,Second lien senior secured loan ($40.1 par due 9/2027),11.75% PIK (Libor + 10.75%/Q),3/22/2021,40.1,,,40.1,,(2)(12),,,
424,,,"Common units (46,990 units)",,3/22/2021,4.7,,,6.2,,(2),,,
426,"Marmic Purchaser, LLC and Marmic Topco, L.P.",Provider of recurring fire protection services,First lien senior secured loan ($34.4 par due 3/2027),7.00% (Libor + 6.00%/Q),3/5/2021,34.4,,,34.4,,(2)(12),,,
427,,,"Limited partnership units (1,929,237 units)",8.00% PIK,3/5/2021,2.1,,,2.4,,(2),,,
429,"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",Keg management solutions provider,Second lien senior secured loan ($153.5 par due 7/2023),10.00% PIK (Libor + 9.00%/Q),8/13/2020,153.5,,,150.4,,(12),,,
430,,,"Series A preferred stock (1,507 shares)",,8/13/2020,1.5,,,2.0,,(2),,,
431,,,"Common stock (54,710 shares)",,12/14/2012,4.9,,,4.5,,(2),,,
433,"NAS, LLC and Nationwide Marketing Group, LLC (16)","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",First lien senior secured revolving loan ($0.6 par due 6/2024),8.75% (Base Rate + 5.50%/Q),11/3/2020,0.6,,,0.6,,(2)(12),,,
434,,,First lien senior secured loan ($2.4 par due 6/2024),7.50% (Libor + 6.50%/Q),12/17/2021,2.4,,,2.4,,(2)(12),,,
435,,,First lien senior secured loan ($6.4 par due 6/2024),7.00% (Libor + 6.00%/B),11/3/2020,6.4,,,6.4,,(2)(12),,,
437,"Nest Topco Borrower Inc., KKR Nest Co-Invest L.P., and NBLY 2021-1 (16)",Operator of multiple franchise concepts primarily related to home maintenance or repairs,Senior subordinated loan ($119.1 par due 8/2029),9.00% (Libor + 8.50%/Q),9/1/2021,119.1,,,117.9,,(2)(12),,,
438,,,"Limited partner interest (9,725,000 interests)",,9/28/2021,9.7,,,9.7,,(2),,,
440,"NM GRC Holdco, LLC",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($45.4 par due 2/2024),8.5% (Libor + 6.00% Cash + 1.50% PIK/M),2/9/2018,45.2,,,45.4,,(12),,,
441,"North American Fire Holdings, LLC and North American Fire Ultimate Holdings, LLC (16)",Provider of fire safety and life safety services,First lien senior secured loan ($20.1 par due 5/2027),7.00% (Libor + 6.00%/Q),5/19/2021,20.1,,,20.1,,(12),,,
442,,,"Common units (884,916 units)",,5/19/2021,0.9,,,1.2,,(2),,,
444,"North Haven Stack Buyer, LLC (16)",Provider of environmental testing services,First lien senior secured loan ($11.1 par due 7/2027),6.50% (Libor + 5.50%/Q),7/15/2021,10.8,,,11.0,,(2)(12),,,
445,Petroleum Service Group LLC (16),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan ($2.2 par due 7/2025),7.00% (Libor + 6.00%/Q),7/23/2019,2.2,,,2.2,,(2)(12)(15),,,
446,,,First lien senior secured loan ($8.1 par due 7/2025),7.00% (Libor + 6.00%/Q),12/3/2021,8.1,,,8.1,,(2)(12),,,
447,,,First lien senior secured loan ($0.2 par due 7/2025),1.00% (Libor + 0.00%/Q),12/3/2021,0.2,,,0.2,,(2)(12),,,
448,,,First lien senior secured loan ($34.2 par due 7/2025),7.00% (Libor + 6.00%/Q),7/23/2019,34.2,,,34.2,,(12),,,
449,,,First lien senior secured loan ($0.7 par due 7/2025),7.00% (Libor + 6.00%/Q),7/23/2019,0.7,,,0.7,,(2)(12),,,
