,Company(1),Business Description,Investment,Interest(5)(9),,Acquisition  Date,,Amortized  Cost,Fair  Value
185,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data",Preferred equity (198 shares),9.00% PIK,0,7/2/2019,0,0.2,0.2
186,"Cority Software Inc., IQS, Inc. and Project Falcon Parent, Inc. (17)","Provider of environmental, health and safety software to track compliance data","Common equity (190,143 shares)",0,0,7/2/2019,0,0.0,0.0
188,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($5.8 par due 4/2025),6.43% (Libor + 4.50%/Q),0,4/27/2018,0,5.7,5.8
189,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($10.0 par due 4/2025),6.43% (Libor + 4.50%/Q),0,5/28/2019,0,9.9,10.0
190,Datix Bidco Limited,Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($3.1 par due 4/2025),6.43% (Libor + 4.50%/Q),0,10/7/2019,0,3.0,3.1
192,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.8 par due 4/2018),0,0,12/19/2014,0,1.3,0.0
193,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",0,0,12/19/2014,0,0.0,0.0
195,Doxim Inc.,Enterprise content management software provider,First lien senior secured loan ($10.2 par due 2/2024),7.95% (Libor + 6.00%/Q),0,2/28/2018,0,10.1,10.2
196,Doxim Inc.,Enterprise content management software provider,First lien senior secured loan ($6.8 par due 2/2024),7.90% (Libor + 6.00%/Q),0,2/28/2018,0,6.8,6.8
198,"Dynatrace, Inc.",Web and mobile cloud performance testing and monitoring services provider,"Common stock (790,416 shares)",0,0,8/5/2019,0,2.9,20.0
199,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($29.5 par due 5/2026),7.70% (Libor + 5.75%/Q),0,5/10/2019,0,29.5,29.5
200,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($20.8 par due 5/2026),7.70% (Libor + 5.75%/Q),0,5/10/2019,0,20.8,20.8
202,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($10.8 par due 5/2026),7.70% (Libor + 5.75%/Q),0,5/10/2019,0,10.8,10.8
203,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($4.1 par due 5/2026),7.85% (Libor + 5.75%/Q),0,5/10/2019,0,4.1,4.1
204,"EP Purchaser, LLC., Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (17)",Provider of entertainment workforce and production management solutions,"Partnership units (5,034,483 units)",0,0,5/10/2019,0,5.0,5.6
206,Episerver Inc. and Goldcup 17308 AB (17),Provider of web content management and digital commerce solutions,First lien senior secured loan ($6.1 par due 10/2024),6.00% (EURIBOR + 6.00%/M),0,3/22/2019,0,6.1,6.0
207,Episerver Inc. and Goldcup 17308 AB (17),Provider of web content management and digital commerce solutions,First lien senior secured loan ($27.4 par due 10/2024),7.55% (Libor + 5.75%/M),0,10/9/2018,0,27.4,27.2
209,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (17)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($1.4 par due 9/2025),7.40% (Libor + 5.50%/Q),0,9/18/2019,0,1.4,1.3
210,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (17)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured loan ($59.5 par due 9/2025),7.40% (Libor + 5.50%/Q),0,9/18/2019,0,59.5,58.9
211,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (17)",SaaS based supply chain management software provider focused on chemical markets,"Preferred equity (4,599 shares)",0,0,9/18/2019,0,4.6,4.6
213,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",0,0,3/20/2014,0,0.0,0.0
214,FM: Systems Group LLC (17),Provider of facilities and space management software solutions,First lien senior secured loan ($26.6 par due 12/2024),8.30% (Libor + 6.50%/M),0,12/2/2019,0,26.6,26.3
215,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management (“HCM”) and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($16.8 par due 9/2023),7.55% (Libor + 5.75%/M),0,9/19/2017,0,16.8,16.8
216,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management (“HCM”) and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($8.3 par due 9/2023),7.55% (Libor + 5.75%/M),0,9/19/2017,0,8.3,8.3
217,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management (“HCM”) and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class A preferred units (4,574 units)",9.00% PIK,0,9/18/2017,0,5.1,5.6
218,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management (“HCM”) and SaaS-based software solutions to employees and administrators of K-12 school organizations,"Class B common units (499,050 units)",0,0,9/18/2017,0,0.0,3.2
220,Genesis Acquisition Co. and Genesis Holding Co. (17),Child care management software and services provider,First lien senior secured revolving loan ($0.5 par due 7/2024),5.70% (Libor + 3.75%/Q),0,7/31/2018,0,0.5,0.5
221,Genesis Acquisition Co. and Genesis Holding Co. (17),Child care management software and services provider,Second lien senior secured loan ($25.8 par due 7/2025),9.60% (Libor + 7.50%/Q),0,7/31/2018,0,25.8,25.8
222,Genesis Acquisition Co. and Genesis Holding Co. (17),Child care management software and services provider,Class A common stock (8 shares),0,0,7/31/2018,0,0.8,1.0
224,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),0,0,12/19/2014,0,1.0,4.3
225,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (17)",Provider of payment processing and merchant acquiring solutions,Class A-2 units (911 units),0,0,8/1/2017,0,0.9,2.4
226,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (17)",Provider of payment processing and merchant acquiring solutions,"Class B units (2,878,372 units)",0,0,8/1/2017,0,0.0,0.0
228,"Help/Systems Holdings, Inc. (17)",Provider of IT operations management and cybersecurity software,First lien senior secured loan ($26.2 par due 11/2026),6.55% (Libor + 4.75%/M),0,11/22/2019,0,26.2,25.9
229,"Huskies Parent, Inc. (17)",Insurance software provider,First lien senior secured revolving loan ($1.0 par due 7/2024),5.69% (Libor + 4.00%/M),0,7/18/2019,0,1.0,1.0
230,"Huskies Parent, Inc. (17)",Insurance software provider,First lien senior secured loan ($0.8 par due 7/2026),5.84% (Libor + 4.00%/Q),0,7/18/2019,0,0.8,0.8
232,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",0,0,10/15/2012,0,0.1,0.0
234,"Infogix, Inc. and Infogix Parent Corporation (17)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($2.0 par due 4/2024),8.60% (Libor + 6.50%/Q),0,4/18/2018,0,2.0,2.0
235,"Infogix, Inc. and Infogix Parent Corporation (17)",Enterprise data analytics and integrity software solutions provider,"Series A preferred stock (2,475 shares)",0,0,1/3/2017,0,2.6,1.6
236,"Infogix, Inc. and Infogix Parent Corporation (17)",Enterprise data analytics and integrity software solutions provider,"Common stock (1,297,768 shares)",0,0,1/3/2017,0,0.0,0.0
238,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.7 par due 5/2024),5.95% (Libor + 4.00%/Q),0,1/31/2019,0,15.0,14.9
239,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",Second lien senior secured loan ($28.3 par due 5/2025),9.95% (Libor + 8.00%/Q),0,4/25/2017,0,28.0,27.1
241,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($51.4 par due 5/2022),10.11% (Libor + 8.31%/M),0,5/31/2017,0,51.4,47.8
242,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services","Class A membership units (1,000 units)",0,0,5/31/2017,0,1.0,0.0
244,"Invoice Cloud, Inc. (17)",Provider of electronic payment processing solutions,First lien senior secured revolving loan,0,0,2/11/2019,0,0.0,0.0
245,"Invoice Cloud, Inc. (17)",Provider of electronic payment processing solutions,First lien senior secured loan ($33.2 par due 2/2024),"8.40% (Libor + 3.25% Cash, 3.25% PIK/Q)",0,2/11/2019,0,33.2,33.2
247,"Masergy Holdings, Inc. (17)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan ($0.4 par due 12/2022),5.27% (Libor + 3.50%/M),0,2/8/2018,0,0.4,0.4
248,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($2.2 par due 12/2022),6.95% (Libor + 5.00%/Q),0,12/2/2016,0,2.2,2.2
249,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($9.4 par due 12/2022),5.85% (Libor + 4.00%/Q),0,4/6/2017,0,9.4,9.1
250,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($4.8 par due 12/2022),5.85% (Libor + 4.00%/Q),0,8/22/2017,0,4.8,4.7
251,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($90.0 par due 6/2023),11.08% (Libor + 9.25%/Q),0,12/2/2016,0,89.5,90.0
252,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($16.6 par due 6/2023),11.08% (Libor + 9.25%/Q),0,12/2/2016,0,16.6,16.6
253,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($9.2 par due 6/2023),11.08% (Libor + 9.25%/Q),0,4/6/2017,0,9.2,9.2
254,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($4.7 par due 6/2023),11.08% (Libor + 9.25%/Q),0,4/6/2017,0,4.7,4.7
255,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($17.9 par due 6/2023),11.08% (Libor + 9.25%/Q),0,8/22/2017,0,17.9,17.9
256,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($10.3 par due 6/2023),9.84% (Libor + 8.00%/Q),0,4/18/2018,0,10.3,10.0
257,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,Second lien senior secured loan ($38.6 par due 6/2023),9.83% (Libor + 8.00%/Q),0,4/18/2018,0,38.6,37.5
258,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (17)",Software and payment services provider to faith-based institutions,"Class A units (500,000 units)",0,0,12/2/2016,0,5.0,5.9
260,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.5 par due 10/2022),6.80% (Libor + 5.00%/M),0,1/3/2017,0,8.3,8.4
261,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",Second lien senior secured loan ($31.0 par due 10/2023),10.30% (Libor + 8.50%/M),0,1/3/2017,0,29.4,29.1
263,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),11.55% (Libor + 9.75%/M),0,4/20/2016,0,9.8,8.5
264,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",0,0,3/11/2016,0,0.2,0.0
265,"PaySimple, Inc. (17)",Provider of business management software solutions,First lien senior secured loan ($11.3 par due 8/2025),7.30% (Libor + 5.50%/M),0,8/23/2019,0,11.1,11.2
267,"PaySimple, Inc. (17)",Provider of business management software solutions,First lien senior secured loan ($1.1 par due 8/2025),7.31% (Libor + 5.50%/M),0,8/23/2019,0,1.1,1.1
269,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured revolving loan ($7.6 par due 10/2024),6.40% (Libor + 4.50%/Q),0,3/19/2019,0,7.6,7.4
270,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($54.6 par due 10/2024),6.40% (Libor + 4.50%/Q),0,3/19/2019,0,54.6,53.5
271,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,Second lien senior secured loan ($70.1 par due 10/2025),10.40% (Libor + 8.50%/Q),0,3/19/2019,0,70.1,68.0
272,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Series A preferred shares (13,656 shares)",13.25% PIK,0,3/19/2019,0,14.9,15.2
273,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (17)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,"Class A units (1,942,225 units)",0,0,3/19/2019,0,1.9,1.8
275,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured revolving loan ($9.7 par due 5/2025),9.50% (Base Rate + 4.75%/Q),0,5/29/2019,0,9.7,9.6
276,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($20.2 par due 5/2025),7.55% (Libor + 5.75%/M),0,5/29/2019,0,20.2,20.0
277,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (17)",Provider of plant maintenance and scheduling software,"Class A units (5,000 units)",0,0,5/29/2019,0,5.0,4.2
279,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,First lien senior secured loan ($1.1 par due 1/2023),7.05% (Libor + 5.25%/M),0,1/27/2017,0,1.1,1.1
280,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,Second lien senior secured loan ($62.0 par due 7/2023),11.55% (Libor + 9.75%/M),0,1/27/2017,0,61.5,62.0
281,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,Class A common shares (990 shares),0,0,1/27/2017,0,1.0,1.7
282,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,"Class B common shares (168,329 shares)",0,0,1/27/2017,0,0.0,0.3
284,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",0,0,6/25/2015,0,0.1,0.0
285,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",0,0,8/22/2016,0,7.4,11.7
286,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class B common shares (1,841,609 shares)",0,0,8/22/2016,0,0.1,0.1
288,"QF Holdings, Inc. (17)",SaaS based electronic health record software provider,First lien senior secured loan ($24.4 par due 9/2024),8.90% (Libor + 7.00%/Q),0,9/19/2019,0,24.4,24.2
289,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($15.9 par due 12/2024),7.95% (Libor + 6.00%/Q),0,12/17/2018,0,15.9,15.9
290,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($5.4 par due 12/2024),7.95% (Libor + 6.00%/Q),0,12/17/2018,0,5.4,5.4
291,"Raptor Technologies, LLC and Rocket Parent, LLC (17)",Provider of SaaS-based safety and security software to the K-12 school market,"Class A common units (2,294,000 units)",0,0,12/17/2018,0,2.3,2.8
293,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",0,0,12/23/2016,0,0.0,0.0
294,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,Warrant to purchase up to 987 shares of common stock (expires 12/2026),0,0,12/23/2016,0,0.0,0.0
296,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (17)",Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($26.8 par due 2/2023),8.05% (Libor + 6.25%/M),0,3/14/2019,0,26.8,26.5
297,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (17)",Provider of student information system software solutions to the K-12 education market,First lien senior secured loan ($34.8 par due 8/2025),6.37% (Libor + 4.50%/Q),0,11/22/2019,0,34.8,34.4
298,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (17)",Provider of student information system software solutions to the K-12 education market,Second lien senior secured loan ($80.0 par due 8/2026),8.64% (Libor + 6.75%/Q),0,6/12/2018,0,79.3,78.4
301,SIGOS LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (4,132 units)",0,0,6/7/2019,0,0.3,0.5
302,"Siteworx Holdings, LLC & Siteworx LLC (17)","Provider of design, web content management, eCommerce solutions and system integration",First lien senior secured revolving loan ($0.7 par due 1/2020),6.00% (Base Rate + 1.25%/M),0,2/16/2018,0,0.7,0.7
303,"Siteworx Holdings, LLC & Siteworx LLC (17)","Provider of design, web content management, eCommerce solutions and system integration",First lien senior secured revolving loan ($0.7 par due 1/2020),6.00% (Base Rate + 1.25%/Q),0,2/16/2018,0,0.7,0.7
304,"Siteworx Holdings, LLC & Siteworx LLC (17)","Provider of design, web content management, eCommerce solutions and system integration",First lien senior secured loan ($0.9 par due 1/2020),5.50%,0,2/16/2018,0,0.9,0.9
305,"Siteworx Holdings, LLC & Siteworx LLC (17)","Provider of design, web content management, eCommerce solutions and system integration",First lien senior secured loan ($0.9 par due 1/2020),5.50%,0,2/16/2018,0,0.9,0.9
307,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",0,0,1/13/2016,0,0.0,0.0
308,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",0,0,8/15/2017,0,0.4,0.7
309,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,First lien senior secured revolving loan ($0.8 par due 4/2023),6.13% (Libor + 4.25%/M),0,4/13/2018,0,0.8,0.8
310,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,First lien senior secured loan ($0.5 par due 4/2024),6.31% (Libor + 4.25%/Q),0,3/29/2019,0,0.5,0.5
311,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,First lien senior secured loan ($1.4 par due 4/2024),6.31% (Libor + 4.25%/Q),0,7/1/2019,0,1.3,1.4
312,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,First lien senior secured loan ($0.7 par due 4/2024),6.31% (Libor + 4.25%/Q),0,7/1/2019,0,0.7,0.7
313,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,First lien senior secured loan ($0.7 par due 4/2024),6.31% (Libor + 4.25%/Q),0,8/30/2019,0,0.7,0.7
314,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($6.1 par due 4/2025),10.31% (Libor + 8.25%/Q),0,4/13/2018,0,6.0,6.1
315,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($4.2 par due 4/2025),10.31% (Libor + 8.25%/Q),0,8/31/2018,0,4.1,4.2
316,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($2.5 par due 4/2025),10.31% (Libor + 8.25%/Q),0,7/1/2019,0,2.5,2.5
317,"SpareFoot, LLC (17)",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($1.3 par due 4/2025),10.31% (Libor + 8.25%/Q),0,7/1/2019,0,1.3,1.3
319,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (17)",Quality management software provider,Second lien senior secured loan ($20.0 par due 8/2025),10.20% (Libor + 8.25%/Q),0,8/21/2017,0,19.7,15.6
320,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (17)",Quality management software provider,"Series B preferred shares (10,084 shares)",0,0,8/21/2017,0,1.1,0.0
322,Storm UK Holdco Limited and Storm US Holdco Inc. (17),Provider of water infrastructure software solutions for municipalities / utilities and engineering consulting firms,First lien senior secured revolving loan ($0.6 par due 5/2022),7.20% (Libor + 5.25%/M),0,5/5/2017,0,0.6,0.6
323,Telestream Holdings Corporation (17),Provider of digital video tools and workflow solutions to the media and entertainment industries,First lien senior secured revolving loan,0,0,2/8/2018,0,0.0,0.0
324,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (17)",Provider of cloud based HCM solutions for businesses,Second lien senior secured loan ($205.4 par due 5/2027),9.80% (Libor + 8.00%/M),0,5/3/2019,0,205.4,205.4
325,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (17)",Provider of cloud based HCM solutions for businesses,"Limited partner interests (12,583,556 interests)",0,0,5/3/2019,0,12.6,10.4
327,"TimeClock Plus, LLC (17)",Workforce management solutions provider,First lien senior secured revolving loan ($0.0 par due 8/2025),7.45% (Libor + 5.50%/Q),0,8/30/2019,0,0.0,0.0
328,"TimeClock Plus, LLC (17)",Workforce management solutions provider,First lien senior secured loan ($35.5 par due 8/2026),7.45% (Libor + 5.50%/Q),0,8/30/2019,0,35.5,35.1
330,"Vela Trading Technologies, LLC (17)",Provider of market data software and content to global financial services clients,First lien senior secured revolving loan ($2.0 par due 6/2022),8.75% (Base Rate + 4.00%/Q),0,2/8/2018,0,2.0,2.0
332,"Vela Trading Technologies, LLC (17)",Provider of market data software and content to global financial services clients,First lien senior secured loan ($4.8 par due 6/2022),7.01% (Libor + 5.00%/Q),0,4/17/2018,0,4.8,4.7
334,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",0,0,12/13/2013,0,4.5,2.3
335,Verscend Holding Corp. (17),Healthcare analytics solutions provider,First lien senior secured loan ($46.7 par due 8/2025),6.30% (Libor + 4.50%/M),0,8/27/2018,0,46.4,47.0
336,"WebPT, Inc. (17)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 8/2024),8.66% (Libor + 6.75%/Q),0,8/28/2019,0,48.1,47.6
337,WorldPay Group PLC,Payment software and service provider,"C2 shares (73,974 shares)",0,0,10/21/2015,0,0.0,0.0
338,"Zemax Software Holdings, LLC (17)",Provider of optical illumination design software to design engineers,First lien senior secured loan ($16.8 par due 6/2024),7.70% (Libor + 5.75%/Q),0,6/25/2018,0,16.8,16.8
339,"Zywave, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($3.5 par due 11/2022),6.80% (Libor + 5.00%/M),0,11/17/2016,0,3.5,3.5
340,"Zywave, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured loan ($4.0 par due 11/2022),6.84% (Libor + 5.00%/Q),0,12/3/2019,0,4.0,4.0
341,"Zywave, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Second lien senior secured loan ($17.1 par due 11/2023),10.95% (Libor + 9.00%/Q),0,11/17/2016,0,17.1,17.1
342,"Zywave, Inc. (17)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,Seniond lien senior secured loan ($2.3 par due 11/2023),10.84% (Libor + 9.00%/Q),0,12/3/2019,0,2.3,2.3
346,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (17),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",0,0,5/11/2018,0,4.3,8.0
347,"AMCP Clean Intermediate, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured revolving loan ($0.8 par due 10/2024),7.33% (Libor + 5.50%/M),0,10/1/2018,0,0.8,0.8
348,"AMCP Clean Intermediate, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured loan ($1.2 par due 10/2024),7.50% (Libor + 5.50%/Q),0,10/18/2019,0,1.2,1.2
350,"Capstone Logistics Acquisition, Inc. (17)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan ($0.3 par due 4/2021),6.30% (Libor + 4.50%/M),0,2/8/2018,0,0.3,0.3
351,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured revolving loan ($6.5 par due 3/2023),7.30% (Libor + 5.50%/M),0,3/10/2017,0,6.5,6.5
352,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured loan ($11.5 par due 3/2023),7.30% (Libor + 5.50%/M),0,3/10/2017,0,11.5,11.5
353,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,"Common units (2,950,000 units)",0,0,3/10/2017,0,3.0,3.3
355,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan ($1.0 par due 12/2021),8.05% (Libor + 6.25%/M),0,3/13/2014,0,1.0,1.0
356,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($20.9 par due 12/2021),8.05% (Libor + 6.25%/M),0,3/13/2014,0,20.9,20.9
357,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(17)",Provider of outsourced healthcare linen management solutions,First lien senior secured loan ($11.7 par due 12/2021),8.05% (Libor + 6.25%/M),0,4/6/2017,0,11.7,11.7
