,Company (1),Business Description,Investment,Interest (3)(7),Acquisition Date,Amortized Cost,,Fair Value,,Percentage of Net Assets,,,
220,,,Second lien senior secured loan ($42.8 par due 04/2029),7.66% (LIBOR + 6.75%/Q),4/16/2021,42.8,,,42.8,,(2)(12),,
221,,,"Limited partnership interests (614,950 interests)",,4/16/2021,6.2,,,7.5,,(2)(6),,
223,"Sundance Group Holdings, Inc. (16)",Provider of cloud-based document management and collaboration solutions,First lien senior secured revolving loan ($0.7 par due 07/2027),7.50% (LIBOR + 6.50%/Q),7/2/2021,0.6,,,0.7,,(2)(12),,
224,,,First lien senior secured loan ($15.4 par due 07/2027),7.50% (LIBOR + 6.50%/Q),7/2/2021,15.2,,,15.4,,(2)(12),,
226,"Tamarack Intermediate, L.L.C. and Tamarack Parent, L.L.C. (16)","Provider of environment, health, safety, and sustainability software",First lien senior secured loan ($55.3 par due 03/2028),6.50% (SOFR + 5.75%/Q),3/11/2022,55.3,,,54.8,,(2)(12),,
227,,,"Class A-2 units (4,849 units)",,3/11/2022,4.8,,,4.8,,,,
229,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured revolving loan ($0.1 par due 08/2025),6.50% (LIBOR + 5.50%/Q),8/30/2019,0.1,,,0.1,,(2)(12),,
230,,,First lien senior secured loan ($34.7 par due 08/2026),7.00% (LIBOR + 6.00%/Q),8/30/2019,34.7,,,34.7,,(12),,
231,,,First lien senior secured loan ($6.6 par due 08/2026),6.50% (LIBOR + 5.50%/Q),12/1/2020,6.6,,,6.6,,(12),,
233,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan ($0.7 par due 05/2024),4.21% (LIBOR + 3.75%/M),5/3/2019,0.7,,,0.7,,(2)(6)(15),,
234,,,"Limited partnership interests (12,583,556 interests)",,5/3/2019,12.6,,,14.4,,(2)(6),,
236,Verscend Holding Corp. (16),Healthcare analytics solutions provider,First lien senior secured revolving loan,,8/27/2018,0,,,0,,(14),,
237,"WebPT, Inc. (16)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 01/2028),7.75% (LIBOR + 6.75%/Q),8/28/2019,48.1,,,48.1,,(2)(12),,
238,"Wellness AcquisitionCo, Inc. (16)","Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",First lien senior secured loan ($2.0 par due 01/2027),6.50% (LIBOR + 5.50%/Q),1/20/2021,2.0,,,2.0,,(2)(12),,
239,"WorkWave Intermediate II, LLC (16)",Provider of cloud-based field services and fleet management solutions,First lien senior secured loan ($62.8 par due 06/2027),8.00% PIK (SOFR + 7.25%/Q),6/29/2021,62.8,,,62.8,,(2)(12),,
240,,,,,,3869.5,,,3947.7,,,42.09%,
242,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,First lien senior secured revolving loan ($4.1 par due 06/2024),"11.50% (Base Rate + 3.00% Cash, 5.00% PIK/Q)",6/1/2021,4.1,,,4.1,,(2)(12),,
243,,,First lien senior secured loan ($50.2 par due 06/2024),"10.00% (LIBOR + 4.00% Cash, 5.00% PIK/Q)",6/1/2021,50.2,,,50.2,,(2)(12),,
244,,,"Class A common units (7,617,280 units)",,6/1/2021,4.7,,,13.7,,(2),,
246,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($8.9 par due 09/2022),"7.50% (Base Rate + 3.50% Cash, 0.50% PIK/M)",9/28/2016,8.9,,,8.8,,(2)(12),,
248,,,First lien senior secured revolving loan ($2.3 par due 09/2022),"5.75% (LIBOR + 4.25% Cash, 0.50% PIK/M)",9/28/2016,2.3,,,2.3,,(2)(12),,
249,,,Second lien senior secured loan ($118.5 par due 03/2024),11.00% (LIBOR + 10.00%/Q),9/28/2016,98.4,,,106.7,,(2)(12),,
250,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,,,
252,"AthenaHealth Group Inc., Minerva Holdco, Inc. and BCPE Co-Invest (A), LP (16)",Revenue cycle management provider to the physician practices and acute care hospitals,"Series A preferred stock (198,504 shares)",10.75% PIK,2/15/2022,201.1,,,201.1,,(2),,
253,,,"Class A units (10,487,950 units)",,2/15/2022,10.5,,,10.5,,(2),,
255,"Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,1.1,,(2),,
256,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($69.4 par due 07/2027),9.25% (LIBOR + 8.25%/Q),7/9/2019,69.4,,,69.4,,(2)(12),,
257,,,Second lien senior secured loan ($12.7 par due 07/2027),9.26% (LIBOR + 8.25%/Q),9/10/2019,12.7,,,12.7,,(2)(12),,
258,,,"Class B common units (4,211 units)",,7/9/2019,4.2,,,11.3,,(2),,
260,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan,,10/1/2018,0,,,0,,(14),,
261,,,First lien senior secured loan ($33.9 par due 10/2025),5.96% (LIBOR + 5.50%/M),9/25/2018,33.7,,,33.2,,,,
263,"Center for Autism and Related Disorders, LLC (16)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($6.8 par due 11/2023),7.26% (LIBOR + 6.25%/Q),11/21/2018,6.8,,,6.0,,(2)(15),,
264,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured revolving loan ($0.3 par due 02/2024),7.00% (LIBOR + 5.75%/Q),2/14/2018,0.3,,,0.3,,(2)(12),,
265,,,First lien senior secured loan ($0.3 par due 02/2024),7.00% (LIBOR + 5.75%/Q),2/14/2018,0.3,,,0.3,,(2)(12),,
267,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.7 par due 09/2026),5.50% (LIBOR + 4.75%/Q),9/4/2019,2.7,,,2.7,,(6)(12),,
268,,,First lien senior secured loan ($35.1 par due 09/2026),5.50% (LIBOR + 4.75%/M),2/1/2022,35.1,,,35.1,,(2)(6)(12),,
270,"Crown CT Parent Inc., Crown CT HoldCo Inc. and Crown CT Management LLC (16)",Provider of medical devices and services for the treatment of positional plagiocephaly,First lien senior secured loan ($24.7 par due 03/2029),6.11% (LIBOR + 5.50%/Q),3/8/2022,24.7,,,24.5,,(2)(12),,
271,,,Class A shares (176 shares),,3/8/2022,1.8,,,1.8,,(2),,
272,,,Common units (28.46 units),,3/8/2022,0.3,,,0.3,,(2),,
274,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured revolving loan,,10/31/2019,0,,,0,,(14),,
275,,,First lien senior secured loan ($39.2 par due 10/2025),7.25% (LIBOR + 6.25%/Q),10/31/2019,39.2,,,39.2,,(12),,
276,,,First lien senior secured loan ($54.6 par due 10/2025),7.25% (LIBOR + 6.25%/Q),4/26/2021,54.6,,,54.6,,(2)(12),,
277,,,"Common stock (32,429 shares)",,10/31/2019,10.0,,,16.6,,(2),,
279,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC (16)",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($114 par due 05/2029),7.76% (LIBOR + 6.75%/Q),5/26/2021,114.0,,,114.0,,(2)(12),,
281,,,"Class A units (14,853,569 units)",,6/30/2017,15.7,,,34.8,,(2),,
283,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,Second lien senior secured loan ($95.4 par due 12/2029),7.50% (LIBOR + 6.75%/M),12/17/2021,95.4,,,94.5,,(2)(12),,
284,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,2.9,,(2),,
285,,,"Warrant to purchase up to 1,926.57 units of common stock (expires 12/2031)",,12/17/2021,0.1,,,0,,(2),,
287,"HealthEdge Software, Inc. (16)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,,12/16/2021,0,,,0,,(14),,
288,,,First lien senior secured loan ($80.9 par due 04/2026),8.00% (LIBOR + 7.00%/Q),12/16/2021,80.9,,,80.9,,(2)(12),,
290,"Honor Technology, Inc.",Nursing and home care provider,First lien senior secured loan ($2.5 par due 08/2026),11.00% (LIBOR + 10.00%/M),8/6/2021,2.4,,,2.5,,(2)(12),,
291,,,"Warrant to purchase up to 133,333 shares of series D-2 preferred stock (expires 8/2031)",,8/6/2021,0.1,,,0.1,,(2),,
293,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.4 par due 04/2024),,4/10/2017,3.7,,,2.9,,(2)(11),,
294,,,First lien senior secured loan ($37.3 par due 04/2024),,4/10/2017,31.4,,,25.0,,(2)(11),,
296,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (16)",Provider of behavioral health services,First lien senior secured revolving loan ($0.5 par due 03/2024),"6.00% (LIBOR + 4.00% Cash, 1.00% PIK/M)",3/17/2017,0.5,,,0.5,,(2)(12),,
297,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,,,0.1,,(2),,
298,,,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,,,0.3,,(2),,
299,,,"Class A units (25,277 units)",,4/19/2016,2.5,,,4.8,,(2),,
301,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,,11/13/2018,0,,,0,,(14),,
302,,,"Partnership units (30,000 units)",,11/13/2018,3.0,,,2.5,,(2),,
304,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured revolving loan ($3.3 par due 09/2023),9.00% (LIBOR + 8.00%/M),9/27/2018,3.3,,,3.3,,(2)(12),,
305,,,First lien senior secured loan ($12.4 par due 09/2023),9.00% (LIBOR + 8.00%/M),9/27/2018,12.4,,,12.4,,(12),,
306,,,First lien senior secured loan ($3.0 par due 09/2023),9.00% (LIBOR + 8.00%/M),2/1/2020,3.0,,,3.0,,(2)(12),,
308,"Olympia Acquisition, Inc., Olympia TopCo, L.P., and Asclepius Holdings LLC (5)(16)",Behavioral health and special education platform provider,First lien senior secured loan ($2.6 par due 02/2027),10.00% PIK (SOFR + 9.00%/M),2/28/2022,2.6,,,2.6,,(2)(12),,
309,,,First lien senior secured loan ($46.7 par due 02/2027),10.00% PIK (SOFR + 9.00%/M),9/24/2019,46.7,,,46.7,,(12),,
310,,,"Preferred units (417,189)",15.00% PIK,7/28/2021,0.3,,,0,,,,
311,,,"Preferred stock (7,983 shares)",,2/28/2022,3.1,,,3.1,,,,
313,,,"Class A common units (9,549,000 units)",,9/24/2019,9.5,,,0,,,,
314,,,"Common units (7,584 units)",,2/28/2022,0,,,0,,,,
316,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($26.1 par due 10/2025),7.50% (LIBOR + 6.00%/S),10/24/2019,26.1,,,26.1,,(12),,
317,,,First lien senior secured loan ($7.4 par due 10/2025),7.50% (LIBOR + 6.00%/S),3/8/2022,7.4,,,7.4,,(2)(12),,
318,,,First lien senior secured loan ($15.4 par due 10/2025),7.50% (LIBOR + 6.00%/S),3/10/2021,15.4,,,15.4,,(12),,
320,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,First lien senior secured revolving loan,,3/31/2020,0,,,0,,(14),,
321,,,Second lien senior secured loan ($76.3 par due 03/2028),8.75% (LIBOR + 7.75%/M),3/31/2020,76.3,,,76.3,,(2)(12),,
322,,,"Class R common units (6,004,768 units)",,3/31/2020,6.0,,,7.7,,(2),,
324,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($57.7 par due 09/2022),,12/18/2015,55.8,,,14.4,,(2)(11),,
325,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 07/2023),3.74% (LIBOR + 3.25%/Q),7/10/2018,12.0,,,12.0,,(2)(15),,
326,,,First lien senior secured loan ($8.6 par due 07/2025),4.51% (LIBOR + 3.50%/Q),7/10/2018,8.6,,,8.6,,,,
327,,,Second lien senior secured loan ($67.1 par due 07/2026),8.51% (LIBOR + 7.50%/Q),7/10/2018,66.7,,,67.1,,(2),,
328,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,17.5,,(2),,
330,Project Ruby Ultimate Parent Corp.,Provider of care coordination and transition management software solutions,Second lien senior secured loan ($193.1 par due 03/2029),7.25% (LIBOR + 6.50%/M),3/10/2021,193.1,,,193.1,,(2)(12),,
331,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,,,
332,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (16)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured revolving loan ($7.7 par due 07/2026),8.25% (LIBOR + 6.75%/M),7/20/2020,7.7,,,7.7,,(2)(12),,
333,,,First lien senior secured loan ($22.7 par due 07/2026),8.25% (LIBOR + 6.75%/Q),7/20/2020,22.7,,,22.7,,(12),,
335,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,First lien senior secured loan ($11.5 par due 03/2024),5.76% (LIBOR + 4.75%/Q),3/26/2018,11.5,,,10.3,,(12),,
336,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0.7,,(2),,
338,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series A units (8,041 units)",,8/1/2018,8.0,,,0.1,,(2),,
339,,,"Series B units (804,142 units)",,8/1/2018,0,,,10.4,,(2),,
341,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,First lien senior secured revolving loan ($1.4 par due 12/2025),6.25% (Base Rate + 2.75%/Q),12/22/2020,1.4,,,1.4,,(2),,
342,,,First lien senior secured loan ($12.5 par due 12/2027),5.25% (SOFR + 4.50%/Q),2/8/2022,12.5,,,12.3,,(2)(12),,
343,,,Second lien senior secured loan ($76.2 par due 12/2028),8.63% (LIBOR + 7.88%/Q),12/22/2020,76.2,,,76.2,,(2)(12),,
344,,,"Series C-1 preferred shares (75,939 shares)",11.00% PIK,6/18/2021,87.3,,,87.3,,(2),,
346,,,"Series C-2 preferred shares (40,114.766 shares)",11.00% PIK,6/18/2021,43.7,,,43.7,,(2),,
347,,,"Series C-3 preferred shares (16,201.066 shares)",11.00% PIK,10/12/2021,17.1,,,17.1,,(2),,
349,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.3 par due 04/2024),6.76% (LIBOR + 5.75%/Q),4/2/2018,15.3,,,15.3,,(12),,
350,,,Common units (550 units),,4/2/2018,0.5,,,1.0,,,,
352,"Teligent, Inc.","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($80.6 par due 12/2022),,12/13/2018,67.5,,,38.4,,(2)(9)(11),,
353,,,Second lien senior secured loan ($1.5 par due 12/2022),,1/27/2021,1.3,,,0.7,,(2)(9)(11),,
354,,,"Series D preferred stock (77,726 shares)",,1/27/2021,0,,,0,,,,
355,,,"Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",,4/6/2020,0,,,0,,,,
356,,,"Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",,7/20/2020,0,,,0,,,,
358,Therapy Brands Holdings LLC (16),Provider of software solutions for the mental and behavioral health market segments,Second lien senior secured loan ($20.5 par due 05/2029),7.54% (LIBOR + 6.75%/Q),6/2/2021,20.3,,,20.5,,(2)(12),,
359,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.8,,,2.1,,(2),,
360,"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",Anesthesiology service provider,Second lien senior secured loan ($147.8 par due 10/2029),8.00% (LIBOR + 7.50%/M),10/1/2021,147.8,,,146.3,,(2)(12),,
361,,,"Common stock (3,671,429 shares)",,12/3/2021,12.9,,,14.1,,(2),,
363,"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P. (16)",Veterinary hospital operator,First lien senior secured loan ($2.6 par due 12/2027),6.76% (LIBOR + 5.75%/Q),12/1/2021,2.6,,,2.5,,(2)(12),,
364,,,"Class A-2 units (7,524 units)",,12/1/2021,7.5,,,7.1,,(2),,
366,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($3.6 par due 03/2027),7.01% (LIBOR + 6.00%/Q),3/30/2018,3.6,,,3.6,,(2)(12),,
367,,,First lien senior secured loan ($4.9 par due 03/2027),7.01% (LIBOR + 6.00%/Q),10/14/2021,4.9,,,4.9,,(2)(12),,
368,,,First lien senior secured loan ($33.3 par due 03/2027),7.01% (LIBOR + 6.00%/Q),3/30/2018,33.3,,,33.3,,(12),,
369,,,First lien senior secured loan ($3.0 par due 03/2027),7.01% (LIBOR + 6.00%/Q),11/23/2021,3.0,,,3.0,,(2)(12),,
370,,,First lien senior secured loan ($4.5 par due 03/2027),7.01% (LIBOR + 6.00%/Q),2/11/2019,4.5,,,4.5,,(12),,
371,,,First lien senior secured loan ($8.5 par due 03/2027),7.01% (LIBOR + 6.00%/Q),8/30/2019,8.5,,,8.5,,(12),,
372,,,First lien senior secured loan ($2.8 par due 03/2027),7.01% (LIBOR + 6.00%/Q),8/30/2019,2.8,,,2.8,,(2)(12),,
373,,,First lien senior secured loan ($10.8 par due 03/2027),7.01% (LIBOR + 6.00%/Q),10/31/2019,10.8,,,10.8,,(12),,
375,,,,,,2231.9,,,2198.3,,,23.44%,
378,"BCC Blueprint Holdings I, LLC and BCC Blueprint Investments, LLC",Provider of comprehensive suite of investment management and wealth planning solutions,First lien senior secured loan ($0.2 par due 09/2027),7.08% (LIBOR + 6.25%/Q),9/15/2021,0.2,,,0.2,,(2)(12),,
379,,,Senior subordinated loan ($4.6 par due 09/2026),9.30% PIK,9/15/2021,4.6,,,4.6,,(2),,
380,,,"Common units (4,288,445 units)",,9/15/2021,4.3,,,3.8,,(2),,
382,"Beacon Pointe Harmony, LLC (16)",Provider of comprehensive wealth management services,First lien senior secured loan ($14.5 par due 12/2028),6.70% (LIBOR + 5.25%/S),12/29/2021,14.5,,,14.4,,(6)(12),,
383,Convera International Holdings Limited and Convera International Financial S.A R.L. (16),Provider of B2B international payment and FX risk management solutions,First lien senior secured loan ($63.3 par due 03/2028),6.50% (SOFR + 5.75%/Q),3/1/2022,63.3,,,62.7,,(2)(12),,
384,"CrossCountry Mortgage, LLC (16)",Mortgage company originating loans in the retail and consumer direct channels,First lien senior secured loan ($93.8 par due 11/2027),7.51% (LIBOR + 7.00%/Q),11/10/2021,93.8,,,92.8,,(2)(12),,
385,DFC Global Facility Borrower III LLC (16),Non-bank provider of alternative financial services,First lien senior secured revolving loan ($148.2 par due 06/2026),8.50% (CDOR + 8.00%/M),6/10/2021,150.0,,,148.2,,(2)(6)(10)(12),,
386,eCapital Finance Corp.,Consolidator of commercial finance businesses,Senior subordinated loan ($24.3 par due 01/2025),7.75% (LIBOR + 7.25%/M),1/13/2022,24.3,,,24.3,,(2)(12),,
387,,,Senior subordinated loan ($56.0 par due 01/2025),7.75% (LIBOR + 7.25%/M),1/31/2020,56.0,,,56.0,,(2)(12),,
388,,,Senior subordinated loan ($5.4 par due 01/2025),7.75% (LIBOR + 7.25%/M),11/24/2020,5.4,,,5.4,,(2)(12),,
390,"EP Wealth Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.7 par due 09/2026),5.50% (LIBOR + 4.50%/Q),9/4/2020,0.7,,,0.7,,(2)(12),,
391,,,First lien senior secured loan ($0.3 par due 09/2026),5.51% (LIBOR + 4.50%/Q),11/19/2021,0.3,,,0.3,,(2)(12),,
392,,,First lien senior secured loan ($0.2 par due 09/2026),5.51% (LIBOR + 4.50%/Q),9/4/2020,0.2,,,0.2,,(2)(12),,
394,"Green Street Parent, LLC and Green Street Intermediate Holdings, LLC (16)",Provider of REIT research data and analytics,First lien senior secured loan ($0.1 par due 08/2026),6.50% (LIBOR + 5.75%/Q),12/14/2021,0.1,,,0.1,,(2)(12),,
395,"Ivy Hill Asset Management, L.P. (5)",Asset management services,Senior subordinated loan ($28.0 par due 5/2023),7.25% (LIBOR + 6.50%/Q),2/8/2018,28.0,,,28.0,,(6)(12),,
396,,,Member interest (100.00% interest),,6/15/2009,1085.8,,,1231.4,,(6),,
398,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC",Asset-backed financial services company,First lien senior secured loan ($15.5 par due 11/2018),,6/24/2014,12.5,,,0,,(6)(11),,
399,Joyce Lane Capital LLC and Joyce Lane Financing SPV LLC (fka Ciena Capital LLC) (5)(16),Specialty finance company,Equity interests,,11/29/2010,0,,,0,,(6),,
400,"Lido Advisors, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.2 par due 06/2027),7.00% (Base Rate + 3.50%/Q),6/15/2021,0.2,,,0.2,,(2)(12),,
401,LS DE LLC and LM LSQ Investors LLC,Asset based lender,Senior subordinated loan ($37.0 par due 03/2024),10.50%,6/25/2015,37.0,,,37.0,,(2)(6),,
402,,,Senior subordinated loan ($3.0 par due 06/2021),10.50%,6/15/2017,3.0,,,3.0,,(2)(6),,
403,,,"Membership units (3,275,000 units)",,6/25/2015,3.3,,,3.8,,(6),,
405,Monica Holdco (US) Inc. (16),Investment technology and advisory firm,First lien senior secured revolving loan,,1/8/2021,0,,,0,,(14),,
406,,,First lien senior secured loan ($2.6 par due 01/2028),7.25 % (LIBOR + 6.25%/Q),1/8/2021,2.6,,,2.6,,(2)(12),,
409,"Priority Holdings, LLC and Priority Technology Holdings, Inc.",Provider of merchant acquiring and payment processing solutions,First lien senior secured loan ($35.7 par due 04/2027),6.75% (LIBOR + 5.75%/Q),4/27/2021,35.7,,,35.7,,(2)(6)(12),,
410,,,"Senior preferred stock (65,761 shares)",13.00% PIK (LIBOR + 12.00%/Q),4/27/2021,65.5,,,69.5,,(2)(6)(12),,
411,,,"Warrant to purchase up to 527,226 shares of common stock (expires 4/2031)",,4/27/2021,4.0,,,3.0,,(2)(6),,
413,"Rialto Management Group, LLC (16)",Investment and asset management platform focused on real estate,First lien senior secured revolving loan,,11/30/2018,,,,(14),,,,
414,,,First lien senior secured loan ($0.5 par due 12/2025),6.50% (LIBOR + 5.75%/M),11/30/2018,0.5,,,0.5,,(6)(12),,
415,,,First lien senior secured loan ($0.1 par due 12/2025),6.50% (LIBOR + 5.75%/M),12/22/2021,0.1,,,0.1,,(2)(6)(12),,
416,,,First lien senior secured loan ($0.1 par due 12/2025),6.50% (LIBOR + 5.75%/M),4/30/2021,0.1,,,0.1,,(2)(6)(12),,
418,"TA/WEG Holdings, LLC (16)",Wealth management and financial planning firm,First lien senior secured revolving loan ($0.5 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/2/2019,0.5,,,0.5,,(2)(12)(15),,
419,,,First lien senior secured loan ($0.1 par due 10/2027),6.75% (LIBOR + 5.75%/M),6/3/2021,0.1,,,0.1,,(2)(12),,
420,,,First lien senior secured loan ($6.2 par due 10/2027),6.75% (LIBOR + 5.75%/Q),8/13/2021,6.2,,,6.2,,(2)(12),,
421,,,First lien senior secured loan ($0.1 par due 10/2027),6.75% (LIBOR + 5.75%/Q),10/2/2019,0.1,,,0.1,,(2)(12),,
422,,,First lien senior secured loan ($0.1 par due 10/2027),6.75% (LIBOR + 5.75%/Q),11/6/2020,0.1,,,0.1,,(2)(12),,
424,"The Mather Group, LLC, TVG-TMG Topco, Inc., and TVG-TMG Holdings, LLC (16)",Provider of comprehensive wealth management services,First lien senior secured loan ($2.8 par due 03/2028),6.50% (LIBOR + 5.75%/Q),3/31/2022,2.8,,,2.8,,(2)(6)(12),,
425,,,Senior subordinated loan ($2.8 par due 03/2029),12.00%,3/31/2022,2.8,,,2.7,,(2)(6),,
426,,,"Series A preferred units (7,199 units)",,3/31/2022,7.2,,,7.2,,(2)(6),,
427,,,"Common units (7,199 units)",,3/31/2022,0,,,0,,(6),,
429,"The Ultimus Group Midco, LLC, The Ultimus Group, LLC, and The Ultimus Group Aggregator, LP (16)",Provider of asset-servicing capabilities for fund managers,First lien senior secured loan ($37.7 par due 02/2026),5.76% (LIBOR + 4.75%/Q),2/1/2019,37.7,,,37.7,,(12),,
430,,,"Class A units (1,443 units)",,9/16/2019,1.6,,,1.9,,,,
431,,,Class A units (245 units),,2/1/2019,0.2,,,0,,,,
432,,,"Class B units (2,167,424 units)",,2/1/2019,0,,,0,,,,
433,,,"Class B units (245,194 units)",,2/1/2019,0,,,0,,,,
435,"WA Asset Management, LLC (16)",Wealth management and financial planning firm,First lien senior secured loan ($2.8 par due 03/2028),6.25% (SOFR + 5.50%/Q),3/1/2022,2.8,,,2.7,,(2)(6)(12),,
436,,,,,,1758.1,,,1890.6,,,20.16%,
438,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 05/2023),9.51% (LIBOR + 8.50%/Q),5/11/2018,4.1,,,4.0,,(2)(12),,
440,,,"Class A common units (236,358 units)",,5/11/2018,4.3,,,4.6,,,,
442,Aero Operating LLC,Provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($1.2 par due 02/2026),8.50% (LIBOR + 7.00%/M),12/31/2021,1.2,,,1.2,,(2)(12),,
443,,,First lien senior secured loan ($36.5 par due 02/2026),8.50% (LIBOR + 7.00%/M),2/7/2020,36.5,,,36.5,,(12),,
445,"Argenbright Holdings V, LLC (16)","Provider of outsourced security guard services, outsourced facilities management and outsourced aviation services",First lien senior secured loan ($21.1 par due 11/2026),7.00% (LIBOR + 6.00%/M),11/30/2021,21.1,,,20.8,,(2)(12),,
446,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (16)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan,,11/12/2020,0,,,0,,(14),,
447,,,First lien senior secured loan ($0.3 par due 11/2027),5.75% (LIBOR + 4.75%/M),11/12/2020,0.3,,,0.3,,(2)(12),,
448,,,Second lien senior secured loan ($68.3 par due 11/2028),9.75% (LIBOR + 8.75%/M),11/12/2020,68.3,,,68.3,,(2)(12),,
449,,,"Class A units (10,581 units)",,11/12/2020,10.6,,,15.0,,(2),,
451,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (16)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured loan ($12.5 par due 03/2023),"8.51% (LIBOR + 3.00% Cash, 4.50% PIK/Q)",3/10/2017,12.5,,,11.7,,(2)(12),,
452,,,"Common units (2,950,000 units)",,3/10/2017,3.0,,,1.2,,(2),,
454,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($4.4 par due 06/2023),4.82% (LIBOR + 4.50%/M),9/23/2016,4.4,,,4.2,,(2),,
455,,,First lien senior secured revolving loan ($0.9 par due 06/2023),7.00% (Base Rate + 3.50%/M),9/23/2016,0.9,,,0.8,,(2),,
456,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,,5.8,,(2),,
457,,,"Class B common stock (7,500 shares)",,8/19/2014,0,,,0,,(2),,
