,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
224,"eResearch Technology, Inc. and Astorg VII Co-Invest ERT (16)","Provider of mission-critical, software-enabled clinical research solutions",Second lien senior secured loan ($19.9 par due 2/2028),9.45% (Libor + 8.00%/Q),2/4/2020,19.4,,,19.2,,(2)(12),,
225,,,"Limited partnership interest (3,300,000 shares)",,1/31/2020,3.7,,,4.0,,(2)(6),,
227,"EZ Elemica Holdings, Inc. & Elemica Parent, Inc (16)",SaaS based supply chain management software provider focused on chemical markets,First lien senior secured revolving loan ($3.0 par due 9/2025),6.69% (Libor + 5.50%/Q),9/18/2019,3.0,,,2.9,,(2),,
228,,,First lien senior secured loan ($59.4 par due 9/2025),6.39% (Libor + 5.50%/Q),9/18/2019,59.4,,,57.6,,(2),,
229,,,"Preferred equity (4,599 shares)",,9/18/2019,4.6,,,4.3,,,,
231,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,0,,,0,,(2),,
232,FM: Systems Group LLC (16),Provider of facilities and space management software solutions,First lien senior secured revolving loan ($1.5 par due 12/2024),6.50% (Libor + 5.50%/M),2/8/2018,1.5,,,1.5,,(2)(12),,
233,,,First lien senior secured loan ($26.5 par due 12/2024),7.50% (Libor + 6.50%/M),12/2/2019,26.5,,,25.7,,(2)(12),,
235,"Frontline Technologies Group Holding LLC, Frontline Technologies Blocker Buyer, Inc., Frontline Technologies Holdings, LLC and Frontline Technologies Parent, LLC",Provider of human capital management (“HCM”) and SaaS-based software solutions to employees and administrators of K-12 school organizations,First lien senior secured loan ($16.8 par due 9/2023),6.75% (Libor + 5.75%/M),9/19/2017,16.8,,,16.6,,(2)(12),,
236,,,First lien senior secured loan ($8.3 par due 9/2023),6.75% (Libor + 5.75%/M),9/19/2017,8.3,,,8.2,,(2)(12),,
237,,,"Class A preferred units (4,574 units)",9.00% PIK,9/18/2017,5.2,,,5.7,,,,
238,,,"Class B common units (499,050 units)",,9/18/2017,0,,,3.5,,,,
240,Genesis Acquisition Co. and Genesis Holding Co. (16),Child care management software and services provider,First lien senior secured revolving loan ($1.5 par due 7/2024),4.75% (Libor + 3.75%/M),7/31/2018,1.5,,,1.5,,(2),,
241,,,Second lien senior secured loan ($25.8 par due 7/2025),9.41% (Libor + 7.50%/Q),7/31/2018,25.8,,,24.5,,(2),,
242,,,Class A common stock (8 shares),,7/31/2018,0.8,,,0.9,,(2),,
244,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (16)",Provider of payment processing and merchant acquiring solutions,First lien senior secured revolving loan ($2.0 par due 8/2022),7.50% (Base Rate + 4.25%/Q),8/1/2017,2.0,,,1.9,,(2)(12),,
245,,,Class A-2 units (911 units),,8/1/2017,0.9,,,2.5,,(2),,
246,,,"Class B units (2,878,372 units)",,8/1/2017,0,,,0,,(2),,
248,"Help/Systems Holdings, Inc. (16)",Provider of IT operations management and cybersecurity software,First lien senior secured revolving loan ($5.0 par due 11/2024),5.00% (Libor + 4.00%/M),11/19/2019,5.0,,,4.8,,(2)(12),,
249,,,First lien senior secured loan ($26.2 par due 11/2026),5.75% (Libor + 4.75%/M),11/22/2019,26.2,,,24.9,,(2)(12),,
252,"Huskies Parent, Inc. (16)",Insurance software provider,First lien senior secured revolving loan ($1.8 par due 7/2024),5.12% (Libor + 4.00%/M),7/18/2019,1.8,,,1.5,,(2),,
253,,,First lien senior secured loan ($0.8 par due 7/2026),5.78% (Libor + 4.00%/Q),7/18/2019,0.8,,,0.7,,(2)(19),,
255,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0,,(2),,
256,"Infogix, Inc. and Infogix Parent Corporation (16)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($5.3 par due 4/2024),8.12% (Libor + 6.75%/Q),4/18/2018,5.3,,,5.0,,(2)(12),,
257,,,"Series A preferred stock (2,475 shares)",,1/3/2017,2.6,,,2.3,,,,
258,,,"Common stock (1,297,768 shares)",,1/3/2017,0,,,0,,,,
260,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.6 par due 5/2024),5.07% (Libor + 4.00%/Q),1/31/2019,15.0,,,14.4,,(2)(12),,
261,,,Second lien senior secured loan ($28.3 par due 5/2025),9.07% (Libor + 8.00%/Q),4/25/2017,28.0,,,26.3,,(2)(12),,
263,"InterVision Systems, LLC and InterVision Holdings, LLC",Solar power generation facility developer and operator,First lien senior secured loan ($51.7 par due 5/2022),9.59% (Libor + 7.99%/M),5/31/2017,51.7,,,40.9,,(2)(12),,
264,,,"Class A membership units (1,000 units)",,5/31/2017,1.0,,,0,,,,
266,"Invoice Cloud, Inc. (16)",Provider of electronic payment processing solutions,First lien senior secured revolving loan,,2/11/2019,0,,,0,,(14),,
267,,,First lien senior secured loan ($33.5 par due 2/2024),"8.21% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,33.5,,,32.5,,(2)(12),,
268,,,First lien senior secured loan ($10.1 par due 2/2024),"7.95% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,10.1,,,9.8,,(2)(12),,
270,"Masergy Holdings, Inc. (16)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan ($0.7 par due 12/2022),4.50% (Libor + 3.50%/M),2/8/2018,0.7,,,0.7,,(2)(12)(15),,
271,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (16)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($6.3 par due 12/2022),6.16% (Libor + 5.00%/M),12/2/2016,6.3,,,6.0,,(2)(12),,
272,,,First lien senior secured loan ($9.4 par due 12/2022),5.62% (Libor + 4.00%/B),4/6/2017,9.4,,,8.8,,(2)(12),,
273,,,First lien senior secured loan ($4.8 par due 12/2022),5.62% (Libor + 4.00%/B),8/22/2017,4.8,,,4.5,,(2)(12),,
274,,,Second lien senior secured loan ($90.0 par due 6/2023),10.51% (Libor + 9.25%/B),12/2/2016,89.6,,,87.3,,(2)(12),,
275,,,Second lien senior secured loan ($16.6 par due 6/2023),10.51% (Libor + 9.25%/B),12/2/2016,16.6,,,16.1,,(2)(12),,
276,,,Second lien senior secured loan ($9.2 par due 6/2023),10.51% (Libor + 9.25%/B),4/6/2017,9.2,,,8.9,,(2)(12),,
277,,,Second lien senior secured loan ($4.7 par due 6/2023),10.51% (Libor + 9.25%/B),4/6/2017,4.7,,,4.6,,(2)(12),,
278,,,Second lien senior secured loan ($17.9 par due 6/2023),10.51% (Libor + 9.25%/B),8/22/2017,17.9,,,17.4,,(2)(12),,
279,,,Second lien senior secured loan ($10.3 par due 6/2023),9.26% (Libor + 8.00%/B),4/18/2018,10.3,,,9.7,,(2)(12),,
280,,,Second lien senior secured loan ($38.6 par due 6/2023),9.26% (Libor + 8.00%/B),4/18/2018,38.6,,,36.3,,(2)(12),,
282,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,5.1,,(2),,
284,MRI Software (16),Provider of real estate and investment management software,First lien senior secured revolving loan ($1.8 par due 2/2026),6.57% (Libor + 5.50%/Q),2/10/2020,1.8,,,1.7,,(2)(12),,
285,,,First lien senior secured loan ($51.9 par due 2/2026),6.57% (Libor + 5.50%/Q),2/10/2020,51.9,,,49.8,,(2)(12),,
287,"n2y Holding, LLC (16)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.1 par due 11/2025),7.06% (Libor + 6.00%/Q),11/15/2019,0.1,,,0.1,,(2)(12),,
288,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.5 par due 10/2022),6.00% (Libor + 5.00%/M),1/3/2017,8.3,,,8.2,,(2)(12),,
289,,,Second lien senior secured loan ($31.0 par due 10/2023),9.50% (Libor + 8.50%/M),1/3/2017,29.5,,,29.1,,(2)(12),,
291,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),10.75% (Libor + 9.75%/M),4/20/2016,9.8,,,8.5,,(2)(12),,
292,"Park Place Technologies, LLC (16)",Provides hardware maintenance and support services for IT data centers,First lien senior secured revolving loan ($1.6 par due 3/2023),4.75% (Libor + 4.00%/M),3/29/2018,1.6,,,1.5,,(2),,
293,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,(2),,
294,"PaySimple, Inc. (16)",Provider of business management solutions,First lien senior secured revolving loan ($6.7 par due 8/2024),6.25% (Libor + 5.50%/M),8/23/2019,6.7,,,6.5,,(2),,
295,,,First lien senior secured loan ($11.2 par due 8/2025),6.46% (Libor + 5.50%/M),8/23/2019,11.0,,,10.9,,(2),,
296,,,First lien senior secured loan ($2.5 par due 8/2025),6.56% (Libor + 5.50%/M),8/23/2019,2.5,,,2.4,,(2),,
298,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (16)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured revolving loan ($7.6 par due 10/2024),5.50% (Libor + 4.50%/Q),3/19/2019,7.6,,,7.3,,(2)(12),,
299,,,First lien senior secured loan ($54.4 par due 10/2024),5.55% (Libor + 4.50%/Q),3/19/2019,54.4,,,52.2,,(2)(12),,
300,,,Second lien senior secured loan ($70.1 par due 10/2025),9.50% (Libor + 8.50%/Q),3/19/2019,70.1,,,66.6,,(2)(12),,
301,,,"Series A preferred shares (13,656 shares)",13.25% PIK,3/19/2019,15.4,,,14.9,,(2),,
302,,,"Class A units (1,942,225 units)",,3/19/2019,1.9,,,1.8,,(2),,
304,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($20.1 par due 5/2025),6.82% (Libor + 5.75%/Q),5/29/2019,20.1,,,19.3,,(2)(12),,
305,,,First lien senior secured loan ($2.8 par due 5/2025),6.95% (Libor + 5.75%/Q),5/29/2019,2.8,,,2.7,,(2)(12),,
306,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,5.9,,(2),,
308,"Perforce Software, Inc. (16)",Developer of software used for application development,First lien senior secured revolving loan ($0.5 par due 7/2024),5.36% (Libor + 4.25%/M),7/1/2019,0.5,,,0.5,,(2),,
309,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,First lien senior secured loan ($1.1 par due 1/2023),6.87% (Libor + 5.25%/B),1/27/2017,1.1,,,1.1,,(2)(12),,
310,,,First lien senior secured loan ($22.0 par due 1/2023),7.02% (Libor + 5.25%/Q),1/30/2020,22.0,,,22.0,,(2)(12),,
311,,,Class A common shares (990 shares),,1/27/2017,1.0,,,1.4,,(2),,
313,,,"Class B common shares (168,329 shares)",,1/27/2017,0,,,0.2,,(2),,
315,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,(2),,
316,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",,8/22/2016,7.4,,,11.7,,(2),,
317,,,"Class B common shares (1,841,609 shares)",,8/22/2016,0.1,,,0.1,,(2),,
319,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured revolving loan ($0.1 par due 9/2024),8.20% (Libor + 7.00%/Q),9/19/2019,0.1,,,0.1,,(2)(12),,
320,,,First lien senior secured loan ($24.4 par due 9/2024),8.00% (Libor + 7.00%/Q),9/19/2019,24.4,,,23.7,,(2)(12),,
322,"Raptor Technologies, LLC and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan ($1.6 par due 12/2023),7.06% (Libor + 6.00%/M),12/17/2018,1.6,,,1.6,,(2)(12),,
323,,,First lien senior secured loan ($15.9 par due 12/2024),7.54% (Libor + 6.00%/Q),12/17/2018,15.9,,,15.1,,(2)(12),,
324,,,First lien senior secured loan ($5.4 par due 12/2024),7.45% (Libor + 6.00%/Q),12/17/2018,5.4,,,5.1,,(2)(12),,
325,,,"Class A common units (2,294,000 units)",,12/17/2018,2.3,,,1.6,,,,
327,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,12/23/2016,0,,,0,,(2),,
328,,,Warrant to purchase up to 987 shares of common stock (expires 12/2026),,12/23/2016,0,,,0,,(2),,
330,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (16)",Provider of payment processing services and software to healthcare providers,First lien senior secured revolving loan ($3.5 par due 2/2023),7.25% (Libor + 6.25%/Q),2/3/2017,3.5,,,3.5,,(2)(12),,
331,,,First lien senior secured loan ($26.7 par due 2/2023),8.03% (Libor + 6.25%/M),3/14/2019,26.7,,,26.5,,(2)(12),,
333,"RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,1.0,,,4.6,,(2),,
334,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (16)",Provider of student information system software solutions to the K-12 education market,First lien senior secured revolving loan ($2.7 par due 8/2023),4.28% (Libor + 3.00%/Q),8/1/2018,2.7,,,2.5,,(2),,
335,,,First lien senior secured revolving loan ($0.4 par due 8/2023),4.98% (Libor + 3.25%/Q),8/1/2018,0.4,,,0.3,,(2),,
336,,,First lien senior secured loan ($34.8 par due 8/2025),6.24% (Libor + 4.50%/Q),11/22/2019,34.8,,,32.4,,(2)(12),,
337,,,Second lien senior secured loan ($80.0 par due 8/2026),8.49% (Libor + 6.75%/Q),6/12/2018,79.4,,,74.4,,(2),,
339,SIGOS LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (4,132 units)",,6/7/2019,0.3,,,0.5,,(2),,
340,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,(2),,
342,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2)(6),,
343,"SpareFoot, LLC (16)",PMS solutions and web services for the self-storage industry,First lien senior secured revolving loan ($1.2 par due 4/2023),5.30% (Libor + 4.25%/Q),4/13/2018,1.2,,,1.2,,(2)(12)(15),,
344,,,First lien senior secured loan ($0.5 par due 4/2024),5.32% (Libor + 4.25%/Q),3/29/2019,0.5,,,0.5,,(2)(12),,
345,,,First lien senior secured loan ($1.4 par due 4/2024),5.32% (Libor + 4.25%/Q),7/1/2019,1.4,,,1.4,,(2)(12),,
346,,,First lien senior secured loan ($0.7 par due 4/2024),5.32% (Libor + 4.25%/Q),7/1/2019,0.7,,,0.7,,(2)(12),,
347,,,First lien senior secured loan ($0.7 par due 4/2024),5.32% (Libor + 4.25%/Q),8/30/2019,0.7,,,0.7,,(2)(12),,
348,,,Second lien senior secured loan ($6.1 par due 4/2025),9.32% (Libor + 8.25%/Q),4/13/2018,6.0,,,6.0,,(2)(12),,
349,,,Second lien senior secured loan ($4.2 par due 4/2025),9.32% (Libor + 8.25%/Q),8/31/2018,4.1,,,4.1,,(2)(12),,
350,,,Second lien senior secured loan ($2.5 par due 4/2025),10.31% (Libor + 8.25%/Q),7/1/2019,2.5,,,2.5,,(2)(12),,
351,,,Second lien senior secured loan ($1.3 par due 4/2025),10.31% (Libor + 8.25%/Q),7/1/2019,1.3,,,1.3,,(2)(12),,
353,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (16)",Quality management software provider,Second lien senior secured loan ($20.0 par due 8/2025),9.32% (Libor + 8.25%/Q),8/21/2017,19.7,,,15.6,,(2)(12),,
354,,,"Series B preferred shares (10,084 shares)",,8/21/2017,1.1,,,0,,,,
356,Storm UK Holdco Limited and Storm US Holdco Inc. (16),Provider of water infrastructure software solutions for municipalities / utilities and engineering consulting firms,First lien senior secured revolving loan ($1.1 par due 5/2022),6.70% (Libor + 5.25%/Q),5/5/2017,1.1,,,1.1,,(2)(6)(12),,
357,"Surf Holdings, LLC",Cybersecurity solutions provider,Second lien senior secured loan ($25.0 par due 3/2028),9.00% (Libor + 8.00%/Q),3/5/2020,25.0,,,25.0,,(2)(6)(12),,
358,Telestream Holdings Corporation (16),Provider of digital video tools and workflow solutions to the media and entertainment industries,First lien senior secured revolving loan,0,2/8/2018,0,,,0,,(14),,
359,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan ($8.9 par due 5/2024),4.45% (Libor + 3.50%/M),5/3/2019,8.9,,,8.6,,(2)(15),,
360,,,Second lien senior secured loan ($205.4 par due 5/2027),8.99% (Libor + 8.00%/M),5/3/2019,205.4,,,199.2,,(2),,
361,,,"Limited partner interests (12,583,556 interests)",,5/3/2019,12.6,,,12.6,,(2)(6),,
363,"TimeClock Plus, LLC (16)",Workforce management solutions provider,First lien senior secured revolving loan ($0.2 par due 8/2025),6.51% (Libor + 5.25%/Q),8/30/2019,0.2,,,0.2,,(2)(12),,
364,,,First lien senior secured loan ($35.4 par due 8/2026),6.71% (Libor + 5.25%/Q),8/30/2019,35.4,,,35.1,,(2)(12),,
366,"Vela Trading Technologies, LLC (16)",Provider of market data software and content to global financial services clients,First lien senior secured revolving loan ($2.0 par due 6/2022),7.25% (Base Rate + 4.00%/Q),2/8/2018,2.0,,,1.9,,(2)(12),,
367,,,First lien senior secured loan ($4.7 par due 6/2022),6.84% (Libor + 5.00%/Q),4/17/2018,4.7,,,4.5,,(2)(12),,
369,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",,12/13/2013,4.5,,,2.0,,,,
370,Verscend Holding Corp. (16),Healthcare analytics solutions provider,First lien senior secured revolving loan,0,8/27/2018,0,,,0,,(14),,
371,"WebPT, Inc. (16)",Electronic medical record software provider,First lien senior secured revolving loan ($0.1 par due 8/2024),7.95% (Libor + 6.75%/Q),8/28/2019,0.1,,,0.1,,(2)(12),,
373,,,First lien senior secured loan ($48.1 par due 8/2024),8.36% (Libor + 6.75%/Q),8/28/2019,48.1,,,46.6,,(2)(12),,
375,WorldPay Group PLC,Payment processing company,"C2 shares (73,974 shares)",,10/21/2015,0,,,0,,(6),,
376,"Zemax Software Holdings, LLC (16)",Provider of optical illumination design software to design engineers,First lien senior secured revolving loan ($2.0 par due 6/2024),8.00% (Base Rate + 4.75%/Q),6/25/2018,2.0,,,2.0,,(2)(12),,
377,,,First lien senior secured loan ($16.8 par due 6/2024),7.20% (Libor + 5.75%/Q),6/25/2018,16.8,,,16.8,,(2)(12),,
379,"Zywave, Inc. (16)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($10.5 par due 11/2022),6.00% (Libor + 5.00%/Q),11/17/2016,10.5,,,10.4,,(2)(12),,
380,,,First lien senior secured loan ($4.0 par due 11/2022),6.78% (Libor + 5.00%/Q),12/3/2019,4.0,,,4.0,,(2)(12),,
381,,,Second lien senior secured loan ($17.1 par due 11/2023),10.80% (Libor + 9.00%/Q),11/17/2016,17.1,,,17.0,,(2)(12),,
382,,,Second lien senior secured loan ($2.3 par due 11/2023),10.80% (Libor + 9.00%/Q),12/3/2019,2.3,,,2.3,,(2)(12),,
384,,,,,,2121.7,,,2071.1,,,31.46%,
386,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 5/2023),6.05% (Libor + 5.00%/Q),5/11/2018,4.1,,,3.8,,(2)(12),,
387,,,"Class A common units (236,358 units)",,5/11/2018,4.3,,,5.8,,,,
389,Aero Operating LLC (16),Service provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($37.3 par due 2/2026),8.09% (Libor + 6.50%/M),2/7/2020,37.3,,,35.8,,(2)(12),,
390,"AMCP Clean Intermediate, LLC (16)",Provider of janitorial and facilities management services,First lien senior secured revolving loan ($3.2 par due 10/2024),6.60% (Libor + 5.50%/M),10/1/2018,3.2,,,3.1,,(2)(12)(15),,
391,,,First lien senior secured loan ($1.2 par due 10/2024),7.32% (Libor + 5.50%/Q),10/18/2019,1.2,,,1.1,,(2)(12),,
393,"Capstone Logistics Acquisition, Inc. (16)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan ($1.1 par due 4/2021),5.34% (Libor + 4.50%/M),2/8/2018,1.1,,,1.1,,(2)(15),,
394,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (16)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured revolving loan ($0.2 par due 3/2023),7.85% (Libor + 6.25%/Q),3/10/2017,0.2,,,0.2,,(2)(12),,
395,,,First lien senior secured loan ($11.6 par due 3/2023),"7.32% (Libor + 3.125% Cash, 3.125% PIK/Q)",3/10/2017,11.6,,,11.2,,(2)(12),,
396,,,"Common units (2,950,000 units)",,3/10/2017,3.0,,,1.7,,(2),,
398,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(16)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan ($6.0 par due 12/2021),7.28% (Libor + 6.25%/Q),3/13/2014,6.0,,,5.9,,(2)(12)(15),,
399,,,First lien senior secured loan ($20.9 par due 12/2021),7.32% (Libor + 6.25%/Q),3/13/2014,20.9,,,20.7,,(2)(12),,
400,,,First lien senior secured loan ($11.7 par due 12/2021),7.32% (Libor + 6.25%/Q),4/6/2017,11.7,,,11.6,,(2)(12),,
402,,,First lien senior secured loan ($11.8 par due 12/2021),7.85% (Libor + 6.25%/Q),6/12/2018,11.8,,,11.7,,(2)(12),,
403,,,"Class A preferred units (3,393,973 units)",,3/13/2014,4.0,,,6.0,,(2),,
404,,,"Class B common units (377,108 units)",,3/13/2014,0.4,,,2.0,,(2),,
406,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (16)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($1.3 par due 9/2021),6.75% (Base Rate + 3.50%/M),9/23/2016,1.3,,,0.9,,(2)(19),,
407,,,First lien senior secured revolving loan ($7.2 par due 9/2021),5.30% (Libor + 4.50%/M),9/23/2016,7.2,,,5.0,,(2)(19),,
408,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,,4.8,,(2),,
409,,,"Class B common stock (7,500 shares)",,8/19/2014,0,,,0,,(2),,
411,"Gordian Group, LLC","Provider of products, services and software to organizations pursuing efficient and effective procurement and information solutions",Common stock (526 shares),,11/30/2012,0,,,0,,(2),,
412,"HAI Acquisition Corporation and Aloha Topco, LLC (16)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured revolving loan ($14.2 par due 11/2023),6.50% (Libor + 5.50%/M),11/1/2017,14.2,,,14.1,,(2)(12),,
413,,,First lien senior secured loan ($62.2 par due 11/2024),6.51% (Libor + 5.50%/M),11/1/2017,62.2,,,61.6,,(2)(12),,
414,,,"Class A units (16,980 units)",,11/1/2017,1.7,,,2.5,,(2),,
416,"IMIA Holdings, Inc. (16)",Marine preservation maintenance company,First lien senior secured revolving loan ($4.9 par due 10/2024),5.50% (Libor + 4.50%/M),10/26/2018,4.9,,,4.9,,(2)(12)(15),,
417,,,First lien senior secured loan ($17.8 par due 10/2024),5.95% (Libor + 4.50%/Q),10/26/2018,17.7,,,17.8,,(2)(12),,
419,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($56.0 par due 12/2025),6.11% (Libor + 4.50%/Q),11/30/2018,55.5,,,52.6,,(2),,
420,,,Second lien senior secured loan ($86.8 par due 11/2026),9.61% (Libor + 8.00%/Q),11/30/2018,85.5,,,80.7,,(2),,
421,,,"Series A-1 preferred shares (46,900 shares)",12.09% PIK (Libor + 10.50%/S),11/30/2018,54.9,,,51.7,,(2)(12),,
422,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,,7.4,,(2),,
424,"Kaufman, Hall & Associates, LLC (16)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured loan ($14.8 par due 5/2025),6.25% (Libor + 5.25%/M),11/9/2018,14.8,,,14.8,,(2)(12),,
425,"Kellermeyer Bergensons Services, LLC (16)",Provider of janitorial and facilities management services,First lien senior secured loan ($30.2 par due 11/2026),8.24% (Libor + 6.50%/Q),11/7/2019,29.9,,,29.0,,(2)(12),,
426,,,First lien senior secured loan ($6.6 par due 11/2026),8.33% (Libor + 6.50%/Q),11/7/2019,6.6,,,6.4,,(2)(12),,
428,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($4.2 par due 4/2022),7.56% (Libor + 6.56%/M),11/16/2018,4.2,,,4.2,,(2)(12),,
429,,,First lien senior secured loan ($1.4 par due 4/2022),3.50% (Libor + 2.50%/M),4/5/2017,1.4,,,1.4,,(2)(12),,
430,,,First lien senior secured loan ($15.2 par due 4/2022),7.46% (Libor + 6.46%/M),4/5/2017,15.2,,,15.2,,(2)(12),,
431,,,"Class A units (13,292 units)",,9/21/2018,1.1,,,2.5,,,,
434,Laboratories Bidco LLC (16),Lab testing services for nicotine containing products,First lien senior secured loan ($35.7 par due 6/2024),7.69% (Libor + 5.75%/Q),10/4/2019,35.7,,,34.6,,(2),,
435,,,First lien senior secured loan ($23.2 par due 6/2024),7.27% (Libor + 6.00%/Q),10/4/2019,24.6,,,22.5,,(2)(12),,
437,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,Second lien senior secured loan ($127.5 par due 7/2021),8.57% (Libor + 7.50%/Q),12/14/2012,127.5,,,125.0,,(2)(12),,
438,,,"Common stock (54,710 shares)",,12/14/2012,4.9,,,8.7,,(2),,
440,"MPH Energy Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (3.13% interest),,1/8/2014,0,,,0,,(2),,
441,"MSHC, Inc. (16)","Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($1.2 par due 12/2024),5.18% (Libor + 4.25%/Q),7/31/2017,1.2,,,1.2,,(2),,
442,,,First lien senior secured loan ($4.4 par due 12/2024),5.25% (Libor + 4.25%/M),7/31/2017,4.4,,,4.3,,(2)(12),,
443,,,Second lien senior secured loan ($2.8 par due 12/2025),9.25% (Libor + 8.25%/M),11/20/2018,2.8,,,2.8,,(2)(12),,
444,,,Second lien senior secured loan ($46.0 par due 12/2025),9.25% (Libor + 8.25%/M),7/31/2017,46.0,,,45.1,,(2)(12),,
445,,,Second lien senior secured loan ($4.8 par due 12/2025),9.25% (Libor + 8.25%/M),7/31/2017,4.8,,,4.7,,(2)(12),,
446,,,Second lien senior secured loan ($26.4 par due 12/2025),9.25% (Libor + 8.25%/M),6/27/2018,26.4,,,25.9,,(2)(12),,
448,"MVL Group, Inc. (5)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,0,,,0,,(2),,
449,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($31.1 par due 12/2021),11.82% (Libor + 10.75%/Q),6/1/2015,31.1,,,31.1,,(2)(12),,
