,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,
224,,,First lien senior secured loan ($0.2 par due 7/2024),4.31% (Libor + 4.00%/Q),7/31/2018,0.2,,,0.1,,(2),,,
225,,,Second lien senior secured loan ($25.8 par due 7/2025),8.95% (Libor + 7.50%/Q),7/31/2018,25.8,,,23.7,,(2),,,
226,,,Second lien senior secured loan ($6.6 par due 7/2025),7.67% (Libor + 7.50%/Q),7/31/2018,6.6,,,6.0,,(2),,,
227,,,Class A common stock (8 shares),,7/31/2018,0.8,,,0.7,,(2),,,
229,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (15)",Provider of payment processing and merchant acquiring solutions,Class A-2 units (911 units),,8/1/2017,0.9,,,2.6,,(2),,,
230,,,"Class B units (2,878,372 units)",,8/1/2017,0,,,0,,(2),,,
232,"Help/Systems Holdings, Inc. (15)",Provider of IT operations management and cybersecurity software,First lien senior secured revolving loan ($5.0 par due 11/2024),5.00% (Libor + 4.00%/Q),11/19/2019,5.0,,,4.9,,(2)(11),,,
233,,,First lien senior secured loan ($26.1 par due 11/2026),5.75% (Libor + 4.75%/Q),11/22/2019,26.1,,,25.8,,(2)(11),,,
235,"Huskies Parent, Inc. (15)",Insurance software provider,First lien senior secured revolving loan ($1.8 par due 7/2024),4.18% (Libor + 4.00%/Q),7/18/2019,1.8,,,1.7,,(2),,,
236,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,,0,,(2),,,
237,"Infogix, Inc. and Infogix Parent Corporation (15)",Enterprise data analytics and integrity software solutions provider,First lien senior secured revolving loan ($5.3 par due 4/2024),8.00% (Libor + 7.00%/Q),4/18/2018,5.3,,,5.1,,(2)(11),,,
238,,,"Series A preferred stock (2,475 shares)",,1/3/2017,2.6,,,2.5,,,,,
239,,,"Common stock (1,297,768 shares)",,1/3/2017,0,,,0,,,,,
241,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($15.6 par due 5/2024),5.07% (Libor + 4.00%/Q),1/31/2019,15.0,,,14.3,,(2)(11),,,
242,,,Second lien senior secured loan ($28.3 par due 5/2025),9.07% (Libor + 8.00%/M),4/25/2017,28.0,,,26.3,,(2)(11),,,
244,"InterVision Systems, LLC and InterVision Holdings, LLC",Solar power generation facility developer and operator,First lien senior secured loan ($52.4 par due 5/2022),9.50% PIK (Libor + 8.50%/Q),5/31/2017,52.4,,,43.4,,(2)(11),,,
245,,,"Class A membership units (1,000 units)",,5/31/2017,1.0,,,0,,,,,
247,"Invoice Cloud, Inc. (15)",Provider of electronic payment processing solutions,First lien senior secured revolving loan,,2/11/2019,0,,,0,,(13),,,
248,,,First lien senior secured loan ($33.7 par due 2/2024),"7.50% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,33.7,,,33.7,,(2)(11),,,
249,,,First lien senior secured loan ($13.7 par due 2/2024),"7.50% (Libor + 3.25% Cash, 3.25% PIK/Q)",2/11/2019,13.7,,,13.7,,(2)(11),,,
251,"Masergy Holdings, Inc. (15)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan ($0.4 par due 12/2022),3.69% (Libor + 3.50%/Q),2/8/2018,0.4,,,0.4,,(2)(14),,,
253,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (15)",Software and payment services provider to faith-based institutions,First lien senior secured revolving loan ($6.3 par due 12/2022),6.00% (Libor + 5.00%/Q),12/2/2016,6.3,,,6.1,,(2)(11),,,
254,,,First lien senior secured loan ($9.3 par due 12/2022),5.00% (Libor + 4.00%/M),4/6/2017,9.3,,,8.9,,(2)(11),,,
255,,,First lien senior secured loan ($4.8 par due 12/2022),5.00% (Libor + 4.00%/Q),8/22/2017,4.8,,,4.6,,(2)(11),,,
256,,,Second lien senior secured loan ($90.0 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,89.6,,,87.3,,(2)(11),,,
257,,,Second lien senior secured loan ($16.6 par due 6/2023),10.25% (Libor + 9.25%/M),12/2/2016,16.6,,,16.1,,(2)(11),,,
258,,,Second lien senior secured loan ($9.2 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,9.2,,,8.9,,(2)(11),,,
259,,,Second lien senior secured loan ($4.7 par due 6/2023),10.25% (Libor + 9.25%/M),4/6/2017,4.7,,,4.6,,(2)(11),,,
260,,,Second lien senior secured loan ($17.9 par due 6/2023),10.25% (Libor + 9.25%/M),8/22/2017,17.9,,,17.4,,(2)(11),,,
261,,,Second lien senior secured loan ($10.3 par due 6/2023),9.00% (Libor + 8.00%/Q),4/18/2018,10.3,,,9.8,,(2)(11),,,
262,,,Second lien senior secured loan ($38.6 par due 6/2023),9.00% (Libor + 8.00%/Q),4/18/2018,38.6,,,36.7,,(2)(11),,,
263,,,"Class A units (500,000 units)",,12/2/2016,5.0,,,4.6,,(2),,,
265,MRI Software (15),Provider of real estate and investment management software,First lien senior secured loan ($48.1 par due 2/2026),6.57% (Libor + 5.50%/Q),2/10/2020,48.1,,,46.6,,(2)(11),,,
266,"n2y Holding, LLC (15)",Developer of cloud-based special education platform,First lien senior secured revolving loan ($0.1 par due 11/2025),7.00% (Libor + 6.00%/Q),11/15/2019,0.1,,,0.1,,(2)(11),,,
267,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.5 par due 10/2022),6.00% (Libor + 5.00%/Q),1/3/2017,8.3,,,8.3,,(2)(11),,,
268,,,Second lien senior secured loan ($31.0 par due 10/2023),9.50% (Libor + 8.50%/M),1/3/2017,29.6,,,30.1,,(2)(11),,,
270,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),10.75% (Libor + 9.75%/M),4/20/2016,9.8,,,8.5,,(2)(11),,,
271,"Park Place Technologies, LLC (15)",Provider of hardware maintenance and support services for IT data centers,First lien senior secured revolving loan ($1.6 par due 3/2023),4.19% (Libor + 4.00%/Q),3/29/2018,1.6,,,1.5,,(2)(14),,,
272,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,,0,,(2),,,
273,"PaySimple, Inc. (15)",Provider of business management solutions,First lien senior secured revolving loan ($6.7 par due 8/2024),5.69% (Libor + 5.50%/Q),8/23/2019,6.7,,,6.4,,(2),,,
274,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (15)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured revolving loan ($5.7 par due 10/2024),5.51% (Libor + 4.50%/Q),3/19/2019,5.7,,,5.5,,(2)(11),,,
275,,,First lien senior secured loan ($54.3 par due 10/2024),5.51% (Libor + 4.50%/Q),3/19/2019,54.3,,,52.7,,(2)(11),,,
276,,,Second lien senior secured loan ($70.1 par due 10/2025),9.52% (Libor + 8.50%/Q),3/19/2019,70.1,,,67.3,,(2)(11),,,
277,,,"Series A preferred shares (13,656 shares)",13.25% PIK,3/19/2019,15.9,,,15.5,,(2),,,
278,,,"Class A units (2,062,493 units)",,3/19/2019,2.1,,,1.9,,(2),,,
281,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (15)",Provider of plant maintenance and scheduling software,First lien senior secured loan ($20.1 par due 5/2025),6.82% (Libor + 5.75%/Q),5/29/2019,20.1,,,19.5,,(2)(11),,,
282,,,First lien senior secured loan ($5.8 par due 5/2025),6.93% (Libor + 5.75%/Q),5/29/2019,5.8,,,5.7,,(2)(11),,,
283,,,First lien senior secured loan ($5.9 par due 5/2025),6.25% (Libor + 5.25%/Q),6/24/2020,5.9,,,5.7,,(2)(11),,,
284,,,"Class A units (5,000 units)",,5/29/2019,5.0,,,7.2,,(2),,,
286,"Perforce Software, Inc. (15)",Developer of software used for application development,First lien senior secured revolving loan ($0.1 par due 7/2024),4.43% (Libor + 4.25%/Q),7/1/2019,0.1,,,0.1,,(2),,,
287,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,First lien senior secured loan ($21.9 par due 1/2023),6.25% (Libor + 5.25%/Q),1/30/2020,21.9,,,21.9,,(2)(11),,,
288,,,Class A common shares (990 shares),,1/27/2017,1.0,,,1.7,,(2),,,
289,,,"Class B common shares (168,329 shares)",,1/27/2017,0,,,0.3,,(2),,,
291,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,,0,,(2),,,
292,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",,8/22/2016,7.4,,,10.9,,(2),,,
293,,,"Class B common shares (1,841,609 shares)",,8/22/2016,0.1,,,0.1,,(2),,,
295,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (15)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($44.8 par due 4/2027),9.25% (Libor + 8.25%/Q),4/23/2020,44.8,,,44.3,,(2)(11),,,
296,,,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.6,,,1.6,,(2),,,
297,,,"Class B units (588,636 units)",,4/23/2020,0,,,0,,(2),,,
299,"QF Holdings, Inc. (15)",SaaS based electronic health record software provider,First lien senior secured loan ($24.4 par due 9/2024),8.00% (Libor + 7.00%/Q),9/19/2019,24.4,,,23.9,,(2)(11),,,
300,"Raptor Technologies, LLC and Rocket Parent, LLC (15)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured revolving loan ($1.6 par due 12/2023),7.00% (Libor + 6.00%/Q),12/17/2018,1.6,,,1.5,,(2)(11),,,
301,,,First lien senior secured loan ($15.7 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,15.7,,,14.5,,(2)(11),,,
302,,,First lien senior secured loan ($5.4 par due 12/2024),7.00% (Libor + 6.00%/Q),12/17/2018,5.4,,,4.9,,(2)(11),,,
303,,,"Class A common units (2,294,000 units)",,12/17/2018,2.3,,,1.1,,,,,
305,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",,12/23/2016,0,,,0,,(2),,,
306,,,Warrant to purchase up to 987 shares of common stock (expires 12/2026),,12/23/2016,0,,,0,,(2),,,
308,"Retriever Medical/Dental Payments LLC, FSDC Holdings, LLC, Rectangle Ware-Ever Pay LLC and Retriever Enterprises, LLC (15)",Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($26.7 par due 2/2023),7.25% (Libor + 6.25%/Q),3/14/2019,26.7,,,26.4,,(2)(11),,,
309,"RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,1.0,,,6.8,,(2),,,
311,"Severin Acquisition, LLC, PeopleAdmin, Inc., Promachos Holding, Inc. and Performance Matters LLC (15)",Provider of student information system software solutions to the K-12 education market,First lien senior secured revolving loan ($4.6 par due 8/2023),3.61% (Libor + 3.25%/Q),8/1/2018,4.6,,,4.4,,(2)(14),,,
312,,,First lien senior secured loan ($26.8 par due 8/2025),5.50% (Libor + 4.50%/Q),11/22/2019,26.8,,,26.8,,(2)(11),,,
313,,,Second lien senior secured loan ($80.0 par due 8/2026),6.93% (Libor + 6.75%/Q),6/12/2018,79.4,,,76.8,,(2),,,
315,SIGOS LLC,Web and mobile cloud performance testing and monitoring services provider,"Common units (4,132 units)",,6/7/2019,0.3,,,0.5,,(2),,,
316,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",,1/13/2016,0,,,0,,(2),,,
317,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",,8/15/2017,0.4,,,0.7,,(2)(6),,,
318,"SpareFoot, LLC (15)",PMS solutions and web services for the self-storage industry,First lien senior secured revolving loan ($1.2 par due 4/2023),6.05% (Libor + 5.00%/Q),4/13/2018,1.2,,,1.2,,(2)(11)(14),,,
319,,,First lien senior secured loan ($1.3 par due 4/2024),6.00% (Libor + 5.00%/Q),5/6/2020,1.2,,,1.3,,(2)(11),,,
320,,,Second lien senior secured loan ($6.1 par due 4/2025),10.32% (Libor + 9.25%/Q),4/13/2018,6.0,,,6.1,,(2)(11),,,
321,,,Second lien senior secured loan ($4.2 par due 4/2025),10.32% (Libor + 9.25%/Q),8/31/2018,4.1,,,4.2,,(2)(11),,,
322,,,Second lien senior secured loan ($2.5 par due 4/2025),10.45% (Libor + 9.25%/Q),7/1/2019,2.5,,,2.5,,(2)(11),,,
323,,,Second lien senior secured loan ($1.3 par due 4/2025),10.70% (Libor + 9.50%/Q),7/1/2019,1.3,,,1.3,,(2)(11),,,
324,,,Second lien senior secured loan ($1.1 par due 4/2025),10.25% (Libor + 9.25%/Q),5/6/2020,1.1,,,1.1,,(2)(11),,,
326,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (15)",Quality management software provider,First lien senior secured revolving loan,,8/21/2017,0,,,0,,(13),,,
327,,,Second lien senior secured loan ($20.0 par due 8/2025),9.32% (Libor + 8.25%/Q),8/21/2017,19.7,,,15.6,,(2)(11),,,
328,,,"Series B preferred shares (10,084 shares)",,8/21/2017,1.1,,,0,,,,,
330,Storm UK Holdco Limited and Storm US Holdco Inc. (15),Provider of water infrastructure software solutions for municipalities / utilities and engineering consulting firms,First lien senior secured revolving loan ($0.7 par due 5/2022),6.25% (Libor + 5.25%/Q),5/5/2017,0.7,,,0.7,,(2)(6)(11),,,
331,"Surf Holdings, LLC",Cybersecurity solutions provider,Second lien senior secured loan ($25.0 par due 3/2028),9.00% (Libor + 8.00%/Q),3/5/2020,25.0,,,24.3,,(2)(6)(11),,,
332,Telestream Holdings Corporation (15),Provider of digital video tools and workflow solutions to the media and entertainment industries,First lien senior secured revolving loan,,2/8/2018,0,,,0,,(13),,,
333,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (15)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan ($8.9 par due 5/2024),3.68% (Libor + 3.50%/Q),5/3/2019,8.9,,,8.9,,(2)(14),,,
334,,,Second lien senior secured loan ($205.4 par due 5/2027),8.18% (Libor + 8.00%/Q),5/3/2019,205.4,,,205.4,,(2),,,
335,,,"Limited partner interests (12,583,556 interests)",,5/3/2019,12.6,,,12.6,,(2)(6),,,
337,"TimeClock Plus, LLC (15)",Workforce management solutions provider,First lien senior secured loan ($35.3 par due 8/2026),6.25% (Libor + 5.25%/Q),8/30/2019,35.3,,,35.3,,(2)(11),,,
338,"Vela Trading Technologies, LLC (15)",Provider of market data software and content to global financial services clients,First lien senior secured revolving loan ($3.5 par due 6/2022),6.15% (Libor + 5.00%/Q),2/8/2018,3.5,,,3.3,,(2)(11),,,
340,,,First lien senior secured loan ($4.7 par due 6/2022),6.14% (Libor + 5.00%/Q),4/17/2018,4.7,,,4.4,,(2)(11),,,
342,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",,12/13/2013,4.5,,,2.1,,,,,
343,"WebPT, Inc. (15)",Electronic medical record software provider,First lien senior secured revolving loan ($0.1 par due 8/2024),7.75% (Libor + 6.75%/Q),8/28/2019,0.1,,,0.1,,(2)(11),,,
344,,,First lien senior secured loan ($48.1 par due 8/2024),7.75% (Libor + 6.75%/Q),8/28/2019,48.1,,,46.6,,(2)(11),,,
346,WorldPay Group PLC,Payment processing company,"C2 shares (73,974 shares)",,10/21/2015,0,,,0,,(6),,,
347,"Zemax Software Holdings, LLC (15)",Provider of optical illumination design software to design engineers,First lien senior secured revolving loan ($2.0 par due 6/2024),8.00% (Base Rate + 4.75%/Q),6/25/2018,2.0,,,2.0,,(2)(11),,,
348,,,First lien senior secured loan ($16.7 par due 6/2024),6.75% (Libor + 5.75%/Q),6/25/2018,16.7,,,16.7,,(2)(11),,,
350,"Zywave, Inc. (15)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($2.6 par due 11/2022),6.00% (Libor + 5.00%/Q),11/17/2016,2.6,,,2.6,,(2)(11),,,
351,,,First lien senior secured loan ($0.2 par due 11/2022),6.00% (Libor + 5.00%/Q),4/28/2020,0.2,,,0.2,,(2)(11),,,
352,,,Second lien senior secured loan ($17.1 par due 11/2023),10.10% (Libor + 9.00%/Q),11/17/2016,17.1,,,17.0,,(2)(11),,,
353,,,Second lien senior secured loan ($2.3 par due 11/2023),10.10% (Libor + 9.00%/Q),12/3/2019,2.3,,,2.3,,(2)(11),,,
355,,,,,,1912.2,,,1887.8,,,28.21%,,
357,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (15),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 5/2023),6.00% (Libor + 5.00%/Q),5/11/2018,4.1,,,3.6,,(2)(11),,,
358,,,"Class A common units (236,358 units)",,5/11/2018,4.3,,,4.1,,,,,
360,Aero Operating LLC,Service provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($37.2 par due 2/2026),8.00% (Libor + 6.50%/Q),2/7/2020,37.2,,,35.3,,(2)(11),,,
361,"AMCP Clean Intermediate, LLC (15)",Provider of janitorial and facilities management services,First lien senior secured revolving loan ($3.2 par due 10/2024),6.51% (Libor + 5.50%/Q),10/1/2018,3.2,,,3.1,,(2)(11)(14),,,
362,"Capstone Logistics Acquisition, Inc. (15)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan ($0.2 par due 4/2021),4.68% (Libor + 4.50%/Q),2/8/2018,0.2,,,0.2,,(2)(14),,,
363,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (15)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured revolving loan ($0.3 par due 3/2023),"10.07% (Libor + 4.50% Cash, 4.50% PIK/Q)",3/10/2017,0.3,,,0.2,,(2)(11),,,
364,,,First lien senior secured loan ($11.7 par due 3/2023),"10.07% (Libor + 4.50% Cash, 4.50% PIK/Q)",3/10/2017,11.7,,,10.5,,(2)(11),,,
365,,,"Common units (2,950,000 units)",,3/10/2017,3.0,,,1.1,,(2),,,
367,"Crown Health Care Laundry Services, LLC and Crown Laundry Holdings, LLC (4)(15)",Provider of outsourced healthcare linen management solutions,First lien senior secured revolving loan ($4.0 par due 12/2021),7.34% (Libor + 6.25%/M),3/13/2014,4.0,,,4.0,,(2)(11)(14),,,
369,,,First lien senior secured loan ($10.0 par due 12/2021),7.32% (Libor + 6.25%/Q),3/13/2014,10.0,,,10.0,,(2)(11),,,
370,,,First lien senior secured loan ($0.9 par due 12/2021),7.32% (Libor + 6.25%/Q),4/6/2017,0.9,,,0.9,,(2)(11),,,
371,,,First lien senior secured loan ($5.0 par due 12/2021),7.38% (Libor + 6.25%/Q),2/22/2019,5.0,,,5.0,,(2)(11),,,
372,,,First lien senior secured loan ($11.4 par due 12/2021),7.32% (Libor + 6.25%/Q),6/12/2018,11.4,,,11.4,,(2)(11),,,
373,,,"Class A preferred units (3,393,973 units)",,3/13/2014,4.0,,,6.0,,(2),,,
374,,,"Class B common units (377,108 units)",,3/13/2014,0.4,,,2.9,,(2),,,
376,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (15)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($8.5 par due 9/2021),5.66% (Libor + 4.50%/Q),9/23/2016,8.5,,,6.9,,(2)(14),,,
377,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,,4.2,,(2),,,
378,,,"Class B common stock (7,500 shares)",,8/19/2014,0,,,0,,(2),,,
380,"Gordian Group, LLC","Provider of products, services and software to organizations pursuing efficient and effective procurement and information solutions",Common stock (526 shares),,11/30/2012,0,,,0,,(2),,,
381,"HAI Acquisition Corporation and Aloha Topco, LLC (15)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($62.0 par due 11/2024),6.50% (Libor + 5.50%/Q),11/1/2017,62.0,,,61.4,,(2)(11),,,
382,,,"Class A units (16,980 units)",,11/1/2017,1.7,,,2.6,,(2),,,
384,"IMIA Holdings, Inc. (15)",Marine preservation maintenance company,First lien senior secured revolving loan,,10/26/2018,0,,,0,,(13),,,
385,,,First lien senior secured loan ($17.5 par due 10/2024),5.50% (Libor + 4.50%/Q),10/26/2018,17.5,,,17.5,,(2)(11),,,
387,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($58.0 par due 12/2025),4.61% (Libor + 4.25%/Q),11/30/2018,57.4,,,55.7,,(2),,,
388,,,Second lien senior secured loan ($86.8 par due 11/2026),8.36% (Libor + 8.00%/Q),11/30/2018,85.6,,,83.3,,(2),,,
389,,,"Series A-1 preferred shares (46,900 shares)",11.59% PIK (Libor + 10.50%/S),11/30/2018,54.9,,,53.4,,(2)(11),,,
390,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,,11.3,,(2),,,
392,"Kaufman, Hall & Associates, LLC (15)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured loan ($14.8 par due 5/2025),6.25% (Libor + 5.25%/Q),11/9/2018,14.8,,,14.8,,(2)(11),,,
393,"Kellermeyer Bergensons Services, LLC (15)",Provider of janitorial and facilities management services,First lien senior secured loan ($30.1 par due 11/2026),7.50% (Libor + 6.50%/Q),11/7/2019,29.8,,,29.2,,(2)(11),,,
394,,,First lien senior secured loan ($6.6 par due 11/2026),7.73% (Libor + 6.50%/Q),11/7/2019,6.6,,,6.4,,(2)(11),,,
396,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($4.1 par due 4/2022),7.56% (Libor + 6.56%/Q),11/16/2018,4.1,,,4.1,,(2)(11),,,
397,,,First lien senior secured loan ($15.2 par due 4/2022),7.44% (Libor + 6.44%/M),4/5/2017,15.2,,,15.2,,(2)(11),,,
398,,,"Class A units (13,292 units)",,9/21/2018,1.1,,,2.2,,,,,
400,Laboratories Bidco LLC (15),Lab testing services for nicotine containing products,First lien senior secured loan ($29.6 par due 6/2024),6.75% (Libor + 5.75%/Q),10/4/2019,29.6,,,29.0,,(2)(11),,,
402,,,First lien senior secured loan ($24.0 par due 6/2024),7.00% (Libor + 6.00%/Q),10/4/2019,24.5,,,23.5,,(2)(11),,,
404,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,Second lien senior secured loan ($127.5 par due 7/2021),8.58% (Libor + 7.50%/M),12/14/2012,127.5,,,108.4,,(2)(11),,,
405,,,"Common stock (54,710 shares)",,12/14/2012,4.9,,,3.6,,(2),,,
407,"MPH Energy Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (3.13% interest),,1/8/2014,0,,,0,,(2),,,
408,"MSHC, Inc. (15)","Heating, ventilation and air conditioning services provider",First lien senior secured revolving loan ($0.8 par due 12/2024),4.43% (Libor + 4.25%/Q),7/31/2017,0.8,,,0.8,,(2)(14),,,
409,,,First lien senior secured loan ($0.5 par due 12/2024),5.25% (Libor + 4.25%/Q),7/31/2017,0.4,,,0.5,,(2)(11),,,
410,,,First lien senior secured loan ($0.8 par due 12/2024),5.25% (Libor + 4.25%/Q),3/12/2020,0.8,,,0.8,,(2)(11),,,
411,,,Second lien senior secured loan ($2.8 par due 12/2025),9.25% (Libor + 8.25%/Q),11/20/2018,2.8,,,2.8,,(2)(11),,,
412,,,Second lien senior secured loan ($6.7 par due 12/2025),9.25% (Libor + 8.25%/Q),3/28/2019,6.7,,,6.6,,(2)(11),,,
413,,,Second lien senior secured loan ($46.0 par due 12/2025),9.25% (Libor + 8.25%/Q),7/31/2017,46.0,,,45.1,,(2)(11),,,
414,,,Second lien senior secured loan ($4.8 par due 12/2025),9.25% (Libor + 8.25%/Q),7/31/2017,4.8,,,4.7,,(2)(11),,,
415,,,Second lien senior secured loan ($26.4 par due 12/2025),9.25% (Libor + 8.25%/Q),6/27/2018,26.4,,,25.9,,(2)(11),,,
417,"MVL Group, Inc. (5)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,0,,,0,,(2),,,
418,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($31.1 par due 12/2021),10.82% (Libor + 9.75%/Q),6/1/2015,31.1,,,31.1,,(2)(11),,,
419,National Intergovernmental Purchasing Alliance Company (15),Leading group purchasing organization (“GPO”) for public agencies and educational institutions in the U.S,First lien senior secured revolving loan ($9.0 par due 5/2023),3.81% (Libor + 3.50%/Q),5/23/2018,9.0,,,8.8,,(2),,,
420,"NM GRC Holdco, LLC",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($35.5 par due 2/2024),"8.50% (Libor + 6.00% Cash, 1.50% PIK/Q)",2/9/2018,35.3,,,33.4,,(2)(11),,,
421,,,First lien senior secured loan ($9.5 par due 2/2024),"8.50% (Libor + 6.00% Cash, 1.50% PIK/Q)",2/9/2018,9.5,,,8.9,,(2)(11),,,
423,Petroleum Service Group LLC (15),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan,,7/23/2019,0,,,0,,(13),,,
424,,,First lien senior secured loan ($36.9 par due 7/2025),6.29% (Libor + 5.25%/Q),7/23/2019,36.9,,,35.4,,(2)(11),,,
425,,,First lien senior secured loan ($0.7 par due 7/2025),6.25% (Libor + 5.25%/Q),7/23/2019,0.7,,,0.7,,(2)(11),,,
427,"Pillar Processing LLC and PHL Investors, Inc. (5)",Mortgage services,Class A common stock (576 shares),,7/31/2012,3.8,,,0,,(2),,,
428,Puerto Rico Waste Investment LLC,Waste management service provider,First lien senior secured loan ($30.9 par due 9/2024),8.50% (Libor + 7.00%/Q),9/20/2019,30.9,,,30.3,,(2)(11),,,
429,"QC Supply, LLC (15)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($9.5 par due 12/2021),7.50% (Libor + 6.50%/M),12/29/2016,9.5,,,8.9,,(2)(11)(14),,,
430,,,First lien senior secured loan ($25.8 par due 12/2022),"7.50% (Libor + 6.00% Cash, 0.50% PIK/Q)",12/29/2016,25.8,,,24.3,,(2)(11),,,
432,,,First lien senior secured loan ($8.7 par due 12/2022),"7.50% (Libor + 6.00% Cash, 0.50% PIK/Q)",12/29/2016,8.7,,,8.1,,(2)(11),,,
434,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,0.3,,,0.2,,(2),,,
435,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),,3/1/2011,0,,,0,,(2),,,
436,,,Limited partnership interest (2.49% interest),,3/1/2011,0,,,0,,(2),,,
438,"Research Now Group, LLC and Survey Sampling International, LLC",Provider of outsourced data collection to the market research industry,First lien senior secured loan ($41.3 par due 12/2024),6.50% (Libor + 5.50%/Q),2/14/2019,41.3,,,39.3,,(2)(11),,,
439,"Revint Intermediate II, LLC (15)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured revolving loan ($4.8 par due 12/2023),5.75% (Libor + 4.75%/Q),12/13/2017,4.8,,,4.7,,(2)(11),,,
440,,,First lien senior secured loan ($21.2 par due 12/2023),5.86% (Libor + 4.75%/Q),12/13/2017,21.2,,,21.0,,(2)(11),,,
