,Company(1),Business Description,Investment,Interest(3)(7),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,,,
217,"ADG, LLC and RC IV GEDC Investor LLC (17)",Dental services provider,First lien senior secured revolving loan ($6.2 par due 9/2022),"7.50% (Base rate + 1.50% Cash, 2.75% PIK/M)",9/28/2016,6.2,,,6.0,,(2)(13),,,,
218,,,Second lien senior secured loan ($109.1 par due 3/2024),,9/28/2016,89.0,,,93.8,,(2)(12),,,,
219,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,(2),,,,
221,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,,,2.5,,(2)(13),,,,
222,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (17)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),,2/11/2019,9.0,,,22.7,,(2),,,,
223,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (17)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($69.4 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,69.4,,,69.4,,(2)(13),,,,
224,,,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,,,12.7,,(2)(13),,,,
225,,,"Class B common units (4,211 units)",,7/9/2019,4.2,,,9.4,,(2),,,,
227,"CCS-CMGC Holdings, Inc. (17)",Correctional facility healthcare operator,First lien senior secured revolving loan,,10/1/2018,0,,,0,,(2)(15),,,,
228,,,First lien senior secured loan ($34.1 par due 10/2025),5.60% (Libor + 5.50%/M),9/25/2018,33.9,,,33.8,,,,,,
230,"Center for Autism and Related Disorders, LLC (17)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($2.2 par due 11/2023),5.63% (Libor + 5.50%/Q),11/21/2018,2.2,,,2.1,,(2)(16),,,,
232,"Comprehensive EyeCare Partners, LLC (17)",Vision care practice management company,First lien senior secured revolving loan ($0.5 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,0.5,,,0.5,,(2)(13),,,,
233,,,First lien senior secured loan ($0.3 par due 2/2024),8.00% (Base Rate + 4.75%/Q),4/19/2021,0.3,,,0.3,,(2)(13),,,,
234,,,First lien senior secured loan ($5.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,5.3,,,5.3,,(2)(13),,,,
235,,,First lien senior secured loan ($1.0 par due 2/2024),8.00% (Base Rate + 4.75%/Q),2/14/2018,1.0,,,1.0,,(2)(13),,,,
236,,,First lien senior secured loan ($3.1 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,3.1,,,3.1,,(2)(13),,,,
238,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.7 par due 9/2026),6.25% (Libor + 5.25%/Q),9/4/2019,2.7,,,2.7,,(13),,,,
239,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (17)",Veterinary hospital operator,First lien senior secured loan ($39.6 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,39.6,,,39.6,,(13),,,,
240,,,"Common stock (32,429 shares)",,10/31/2019,10.0,,,13.6,,(2),,,,
242,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,0.5,,(2),,,,
243,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC (17)",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($114.0 par due 5/2029),7.50% (Libor + 6.75%/Q),5/26/2021,114.0,,,112.9,,(2)(13),,,,
244,,,"Series A preferred stock (53,659 shares)",11.75% PIK (Libor + 10.75%/Q),6/30/2017,86.0,,,86.0,,(2)(13),,,,
245,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,29.1,,(2),,,,
247,"Global Medical Response, Inc.",Emergency air medical services provider,Senior subordinated loan ($145.1 par due 3/2026),8.88% (Libor + 7.88%/Q),3/14/2018,145.1,,,145.1,,(2)(13),,,,
248,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,2.4,,(2),,,,
250,"HealthEdge Software, Inc. (17)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan ($1.3 par due 4/2026),7.25% (Libor + 6.25%/Q),4/9/2020,1.2,,,1.3,,(2)(13),,,,
251,,,First lien senior secured loan ($47.5 par due 4/2026),7.25% (Libor + 6.25%/Q),12/16/2020,47.5,,,47.5,,(2)(13),,,,
252,,,First lien senior secured loan ($14.4 par due 4/2026),7.25% (Libor + 6.25%/Q),4/9/2020,14.4,,,14.4,,(2)(13),,,,
254,"JDC Healthcare Management, LLC (17)",Dental services provider,First lien senior secured revolving loan ($4.2 par due 4/2022),,4/10/2017,3.8,,,3.2,,(2)(12),,,,
255,,,First lien senior secured loan ($35.6 par due 4/2023),,4/10/2017,31.7,,,27.4,,(2)(12),,,,
257,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (17)",Provider of behavioral health services,First lien senior secured revolving loan ($0.5 par due 3/2022),"6.00% (Libor + 4.00% Cash, 1.00% PIK/M)",3/17/2017,0.5,,,0.5,,(2)(13),,,,
258,LivaNova USA Inc.,Medical device company focused on treating cardiovascular and neurological diseases,First lien senior secured loan ($42.5 par due 6/2025),7.50% (Libor + 6.50%/Q),6/10/2020,42.5,,,42.5,,(13),,,,
259,"MCH Holdings, Inc., MC Acquisition Holdings I, LLC and Privia Health Group, Inc.",Healthcare professional provider,First lien senior secured loan ($111.8 par due 7/2022),8.50% (Libor + 7.00%/M),7/26/2017,111.8,,,111.8,,(13),,,,
260,,,"Common stock (343,094 shares)",,4/30/2021,0,,,14.5,,(2),,,,
261,,,"Class A units (1,438,643 units)",,1/17/2014,0,,,0.5,,(2),,,,
264,"Minerva Surgical, Inc.",Medical device company focused on women's health,First lien senior secured loan ($32.4 par due 12/2022),"11.50% (Libor + 3.50% Cash, 6.00% PIK/Q)",12/30/2019,31.8,,,32.4,,(2)(13),,,,
265,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.00% (Libor + 10.00%/M),4/19/2016,72.8,,,72.8,,(2)(13),,,,
266,,,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,,,0.3,,(2),,,,
267,,,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,,,0.1,,(2),,,,
268,,,"Class A units (25,277 units)",,4/19/2016,2.5,,,1.1,,(2),,,,
270,NMN Holdings III Corp. and NMN Holdings LP (17),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,,11/13/2018,0,,,0,,(2)(15),,,,
271,,,"Partnership units (30,000 units)",,11/13/2018,3.0,,,3.9,,(2),,,,
273,"NueHealth Performance, LLC (17)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured revolving loan ($3.3 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,3.3,,,3.3,,(2)(13),,,,
274,,,First lien senior secured loan ($2.0 par due 9/2023),8.25% (Libor + 7.25%/M),2/1/2020,2.0,,,2.0,,(2)(13),,,,
275,,,First lien senior secured loan ($12.4 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,12.4,,,12.4,,(13),,,,
277,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (17)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($0.1 par due 9/2024),"8.50% (Libor + 5.50% Cash, 2.00% PIK/Q)",12/17/2020,0.1,,,0.1,,(2)(13),,,,
278,,,First lien senior secured revolving loan ($10.1 par due 9/2024),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",9/24/2019,10.1,,,9.5,,(2)(13),,,,
279,,,First lien senior secured loan ($0.4 par due 9/2026),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",12/31/2020,0.4,,,0.4,,(13),,,,
280,,,First lien senior secured loan ($42.4 par due 9/2026),"8.50% (Libor + 5.50% Cash, 2.00% PIK/M)",9/24/2019,42.4,,,39.8,,(13),,,,
281,,,"Class A common units (9,549,000 units)",,9/24/2019,9.5,,,3.5,,(2),,,,
283,"OMH-HealthEdge Holdings, LLC","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($15.5 par due 10/2025),6.25% (Libor + 5.25%/Q),3/10/2021,15.5,,,15.5,,(13),,,,
284,,,First lien senior secured loan ($26.3 par due 10/2025),6.25% (Libor + 5.25%/Q),10/24/2019,26.3,,,26.3,,(13),,,,
286,"OneSmile Intermediate, LLC",Dental services provider,Senior subordinated loan ($8.5 par due 10/2026),8.00% PIK,12/1/2020,8.5,,,7.4,,(2),,,,
287,"OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,,,1.3,,(2),,,,
288,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (17),Veterinary hospital operator,First lien senior secured revolving loan,,3/31/2020,0,,,0,,(2)(15),,,,
289,,,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,,,76.3,,(2)(13),,,,
290,,,"Class R common units (6,004,768 units)",,3/31/2020,6.0,,,10.8,,(2),,,,
292,"Performance Health Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($89.9 par due 8/2023),12.75% PIK (Base rate + 9.50%/Q),9/2/2015,89.3,,,89.9,,(2)(13),,,,
293,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($52.6 par due 9/2022),14.00% PIK (Base rate + 10.50%/Q),12/18/2015,52.4,,,52.6,,(2)(13),,,,
294,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (17),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 7/2023),3.41% (Libor + 3.25%/Q),7/10/2018,12.0,,,12.0,,(2)(16),,,,
296,,,First lien senior secured loan ($8.7 par due 7/2025),3.65% (Libor + 3.50%/Q),7/10/2018,8.7,,,8.7,,,,,,
297,,,Second lien senior secured loan ($67.1 par due 7/2026),7.65% (Libor + 7.50%/Q),7/10/2018,66.7,,,67.1,,(2),,,,
298,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,18.3,,(2),,,,
300,Project Ruby Ultimate Parent Corp.,Provider of care coordination and transition management software solutions,Second lien senior secured loan ($193.1 par due 3/2029),7.25% (Libor + 6.50%/M),3/10/2021,193.1,,,191.1,,(2)(13),,,,
301,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),,,,
302,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (17)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured revolving loan ($1.6 par due 7/2026),8.25% (Libor + 6.75%/M),7/20/2020,1.6,,,1.6,,(2)(13),,,,
303,,,First lien senior secured loan ($37.9 par due 7/2026),8.25% (Libor + 6.75%/Q),7/20/2020,37.9,,,37.9,,(13),,,,
305,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (17)",Outsourced anesthesia provider,First lien senior secured loan ($12.8 par due 3/2024),5.75% (Libor + 4.75%/Q),3/26/2018,12.8,,,10.6,,(13),,,,
306,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0.6,,(2),,,,
308,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (17)",Breast cancer screening provider,First lien senior secured loan ($3.2 par due 4/2028),5.50% (Libor + 4.75%/Q),4/15/2021,3.2,,,3.2,,(2)(13),,,,
309,,,"Series A units (8,041 units)",,8/1/2018,8.0,,,0.1,,(2),,,,
310,,,"Series B units (804,142 units)",,8/1/2018,0,,,8.2,,(2),,,,
312,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (17)",SaaS based healthcare compliance platform provider,First lien senior secured revolving loan ($4.9 par due 12/2025),3.85% (Libor + 3.75%/M),12/22/2020,4.9,,,4.9,,(2),,,,
313,,,First lien senior secured loan ($32.4 par due 12/2027),5.25% (Libor + 4.50%/Q),6/18/2021,32.4,,,32.4,,(2)(13),,,,
314,,,Second lien senior secured loan ($69.9 par due 12/2028),8.63% (Libor + 7.88%/Q),12/22/2020,69.9,,,69.9,,(2)(13),,,,
315,,,"Series C preferred shares (116,054 shares)",11.00% PIK,12/22/2020,120.7,,,120.7,,(2),,,,
317,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (17)",Franchisor of private-pay home care for the elderly,First lien senior secured loan ($15.3 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.3,,,15.3,,(13),,,,
318,,,Common units (550 units),,4/2/2018,0.5,,,0.9,,,,,,
320,"Teligent, Inc. (17)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($0.9 par due 12/2022),,1/27/2021,0.9,,,0.5,,(2)(12),,,,
321,,,Second lien senior secured loan ($0.5 par due 12/2022),,1/27/2021,0.5,,,0.3,,(2)(10)(12),,,,
322,,,Second lien senior secured loan ($77.4 par due 12/2022),,12/13/2018,72.4,,,39.7,,(2)(12),,,,
323,,,"Series D preferred stock (77,725 shares)",,1/27/2021,0,,,0,,(2),,,,
324,,,"Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",,7/20/2020,0,,,0,,(2),,,,
325,,,"Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",,4/6/2020,0,,,0,,(2),,,,
327,Therapy Brands Holdings LLC (17),Provider of software solutions for the mental and behavioral health market segments,Second lien senior secured loan ($20.5 par due 5/2029),7.50% (Libor + 6.75%/Q),6/2/2021,20.3,,,20.2,,(2)(13),,,,
328,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets",First lien senior secured loan ($36.2 par due 11/2025),4.85% (Libor + 4.75%/M),11/15/2018,36.2,,,36.2,,,,,,
330,,,"Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.6,,,2.7,,(2),,,,
332,"U.S. Anesthesia Partners, Inc.",Anesthesiology service provider,Second lien senior secured loan ($68.0 par due 6/2025),8.25% (Libor + 7.25%/Q),6/16/2017,67.5,,,68.0,,(2)(13),,,,
333,"Urgent Cares of America Holdings I, LLC and FastMed Holdings I, LLC",Operator of urgent care clinics,"Preferred units (7,696,613 units)",,6/11/2015,7.7,,,0,,,,,,
334,,,"Series A common units (2,000,000 units)",,6/11/2015,2.0,,,0,,,,,,
335,,,"Series C common units (5,288,427 units)",,6/11/2015,0,,,0,,,,,,
337,"Urology Management Associates, LLC and JWC/UMA Holdings, L.P.",Urology private practice,First lien senior secured loan ($9.3 par due 8/2024),6.00% (Libor + 5.00%/M),8/31/2018,9.2,,,9.3,,(13),,,,
338,,,Limited partnership interests (3.64% interest),,8/31/2018,4.8,,,5.1,,(2),,,,
340,"Veterinary Practice Partners, LLC (17)",Veterinary hospital operator,First lien senior secured revolving loan,,1/20/2021,0,,,0,,(2)(15),,,,
341,,,First lien senior secured loan ($26.9 par due 1/2027),7.00% (Libor + 6.00%/M),1/20/2021,26.9,,,26.6,,(2)(13),,,,
343,WSHP FC Acquisition LLC (17),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($2.7 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,2.7,,,2.7,,(2)(13),,,,
344,,,First lien senior secured loan ($33.6 par due 3/2024),7.25% (Libor + 6.25%/Q),3/30/2018,33.6,,,33.6,,(13),,,,
345,,,First lien senior secured loan ($4.6 par due 3/2024),7.25% (Libor + 6.25%/Q),2/11/2019,4.6,,,4.6,,(13),,,,
346,,,First lien senior secured loan ($8.6 par due 3/2024),7.25% (Libor + 6.25%/Q),8/30/2019,8.6,,,8.6,,(13),,,,
347,,,First lien senior secured loan ($2.9 par due 3/2024),7.25% (Libor + 6.25%/Q),8/30/2019,2.9,,,2.9,,(2)(13),,,,
348,,,First lien senior secured loan ($10.9 par due 3/2024),7.25% (Libor + 6.25%/Q),10/31/2019,10.9,,,10.9,,(13),,,,
350,,,,,,2344.9,,,2353.5,,,29.13,%,,
352,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (17),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 5/2023),10.00% (Libor + 9.00%/Q),5/11/2018,4.1,,,3.9,,(2)(13),,,,
353,,,"Class A common units (236,358 units)",,5/11/2018,4.3,,,4.3,,,,,,
355,Aero Operating LLC,Provider of snow removal and melting service for airports and marine terminals,First lien senior secured loan ($36.8 par due 2/2026),8.00% (Libor + 6.50%/M),2/7/2020,36.8,,,36.8,,(13),,,,
356,"AMCP Clean Intermediate, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured revolving loan,,10/1/2018,0,,,0,,(2)(15),,,,
357,,,First lien senior secured loan ($1.4 par due 10/2024),7.25% (Libor + 6.25%/Q),7/31/2020,1.4,,,1.4,,(2)(13),,,,
358,,,First lien senior secured loan ($0.7 par due 10/2024),7.25% (Libor + 6.25%/Q),10/1/2020,0.7,,,0.7,,(2)(13),,,,
359,,,First lien senior secured loan ($8.7 par due 10/2024),7.25% (Libor + 6.25%/Q),12/14/2020,8.7,,,8.7,,(2)(13),,,,
361,"Capstone Acquisition Holdings, Inc. and Capstone Parent Holdings, LP (17)",Outsourced supply chain solutions provider to operators of distribution centers,First lien senior secured revolving loan ($1.2 par due 11/2025),7.00% (Base Rate + 3.75%/Q),11/12/2020,1.2,,,1.2,,(2)(13)(16),,,,
362,,,First lien senior secured loan ($0.3 par due 11/2027),5.75% (Libor + 4.75%/M),11/12/2020,0.3,,,0.3,,(2)(13),,,,
363,,,Second lien senior secured loan ($68.3 par due 11/2028),9.75% (Libor + 8.75%/M),11/12/2020,68.3,,,68.3,,(2)(13),,,,
364,,,"Class A units (10,581 units)",,11/12/2020,10.6,,,12.8,,(2),,,,
367,"Cozzini Bros., Inc. and BH-Sharp Holdings LP (17)",Provider of commercial knife sharpening and cutlery services in the restaurant industry,First lien senior secured loan ($12.2 par due 3/2023),"8.50% (Libor + 3.00% Cash, 4.50% PIK/S)",3/10/2017,12.2,,,10.6,,(2)(13),,,,
368,,,"Common units (2,950,000 units)",,3/10/2017,3.0,,,0.8,,(2),,,,
370,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (17)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($6.1 par due 9/2022),4.66% (Libor + 4.50%/Q),9/23/2016,6.1,,,5.7,,(2)(16),,,,
371,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,,3.3,,(2),,,,
372,,,"Class B common stock (7,500 shares)",,8/19/2014,0,,,0,,(2),,,,
374,"Elevation Services Parent Holdings, LLC",Elevator service platform,First lien senior secured loan ($20.4 par due 12/2026),6.50% (Libor + 5.50%/Q),12/18/2020,20.4,,,20.4,,(2)(13),,,,
375,"HAI Acquisition Corporation and Aloha Topco, LLC (17)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($61.4 par due 11/2024),6.50% (Libor + 5.50%/M),11/1/2017,61.4,,,61.4,,(13),,,,
376,,,"Class A units (16,980 units)",,11/1/2017,1.7,,,2.7,,(2),,,,
378,"HH-Stella, Inc. and Bedrock Parent Holdings, LP (17)",Provider of municipal solid waste transfer management services,"Class A units (25,490 units)",,4/22/2021,2.5,,,2.5,,(2),,,,
379,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($42.5 par due 12/2025),4.35% (Libor + 4.25%/M),11/30/2018,42.1,,,42.5,,,,,,
380,,,Second lien senior secured loan ($86.8 par due 11/2026),8.10% (Libor + 8.00%/M),11/30/2018,85.8,,,86.8,,(2),,,,
381,,,"Series A-1 preferred shares (46,900 shares)",11.50% PIK (Libor + 10.50%/Q),11/30/2018,61.6,,,62.3,,(2)(13),,,,
382,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,,23.9,,(2),,,,
384,"Kellermeyer Bergensons Services, LLC (17)",Provider of janitorial and facilities management services,First lien senior secured loan ($32.6 par due 11/2026),7.50% (Libor + 6.50%/Q),11/7/2019,32.3,,,32.5,,(2)(13),,,,
385,,,First lien senior secured loan ($6.6 par due 11/2026),7.50% (Libor + 6.50%/Q),11/7/2019,6.6,,,6.6,,(13),,,,
387,KPS Global LLC and Cool Group LLC,Manufacturer of walk-in cooler and freezer systems,First lien senior secured loan ($4.1 par due 4/2024),7.00% (Libor + 6.00%/M),11/16/2018,4.1,,,4.1,,(13),,,,
388,,,First lien senior secured loan ($15.2 par due 4/2024),7.00% (Libor + 6.00%/M),4/5/2017,15.2,,,15.2,,(13),,,,
389,,,"Class A units (13,292 units)",,9/21/2018,1.1,,,1.7,,,,,,
391,Laboratories Bidco LLC (17),Lab testing services for nicotine containing products,First lien senior secured revolving loan ($4.4 par due 6/2024),7.00% (Libor + 6.00%/Q),10/4/2019,4.4,,,4.4,,(2)(13),,,,
392,,,First lien senior secured loan ($20.7 par due 6/2024),7.00% (Libor + 6.00%/Q),10/30/2020,20.7,,,20.7,,(2)(13),,,,
393,,,First lien senior secured loan ($29.3 par due 6/2024),7.00% (Libor + 6.00%/Q),10/4/2019,29.3,,,29.3,,(13),,,,
394,,,First lien senior secured loan ($26.0 par due 6/2024),7.00% (CDOR + 6.00%/Q),10/4/2019,24.3,,,26.0,,(13),,,,
396,"Lakers Buyer, Inc. and Lakers Parent LLC (17)",Provider of fire safety and life safety services,First lien senior secured revolving loan ($2.2 par due 3/2027),6.75% (Libor + 5.75%/Q),3/22/2021,2.2,,,2.1,,(2)(13),,,,
397,,,First lien senior secured loan ($73.6 par due 3/2027),6.75% (Libor + 5.75%/Q),3/22/2021,73.6,,,72.9,,(2)(13),,,,
398,,,Second lien senior secured loan ($36.6 par due 9/2027),11.75% (Libor + 10.75%/Q),3/22/2021,36.6,,,36.3,,(2)(13),,,,
399,,,"Common units (46,990 units)",,3/22/2021,4.7,,,4.7,,(2),,,,
402,"Marmic Purchaser, LLC and Marmic Topco, L.P. (17)",Provider of recurring fire protection services,First lien senior secured loan ($21.8 par due 3/2027),7.00% (Libor + 6.00%/Q),3/5/2021,21.8,,,21.6,,(2)(13),,,,
403,,,"Limited partnership units (1,674,000 units)",8.00% PIK,3/5/2021,1.7,,,1.7,,(2),,,,
405,"Microstar Logistics LLC, Microstar Global Asset Management LLC, MStar Holding Corporation and Kegstar USA Inc.",Keg management solutions provider,Second lien senior secured loan ($146.0 par due 7/2023),10.00% PIK (Libor + 9.00%/S),8/13/2020,146.0,,,129.9,,(13),,,,
406,,,"Series A preferred stock (1,507 shares)",,8/13/2020,1.5,,,2.3,,(2),,,,
407,,,"Common stock (54,710 shares)",,12/14/2012,4.9,,,1.7,,(2),,,,
409,"NAS, LLC and Nationwide Marketing Group, LLC (17)","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",First lien senior secured loan ($6.4 par due 6/2024),7.50% (Libor + 6.50%/Q),11/3/2020,6.4,,,6.4,,(2)(13),,,,
410,"Neighborly Issuer LLC, TDG Group Holding Company and TDG Co-Invest, LP",Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Preferred units (2,871,000 units)",,5/31/2018,2.1,,,3.6,,(2),,,,
411,,,"Common units (29,000 units)",,5/31/2018,0,,,5.0,,(2),,,,
413,"NM GRC Holdco, LLC",Regulatory compliance services provider to financial institutions,First lien senior secured loan ($45.2 par due 2/2024),"8.50% (Libor + 6.00% Cash, 1.50% PIK/A)",2/9/2018,45.1,,,45.2,,(13),,,,
414,"North American Fire Holdings, LLC and North American Fire Ultimate Holdings, LLC (17)",Provider of fire safety and life safety services,First lien senior secured loan ($20.2 par due 5/2027),7.00% (Libor + 6.00%/Q),5/19/2021,20.2,,,20.0,,(2)(13),,,,
415,,,"Common units (649,000 units)",,5/19/2021,0.6,,,0.6,,(2),,,,
417,Petroleum Service Group LLC (17),Provider of operational services for US petrochemical and refining companies,First lien senior secured revolving loan,,7/23/2019,0,,,0,,(2)(15),,,,
418,,,First lien senior secured loan ($34.4 par due 7/2025),6.25% (Libor + 5.25%/Q),7/23/2019,34.4,,,34.4,,(13),,,,
419,,,First lien senior secured loan ($0.7 par due 7/2025),6.25% (Libor + 5.25%/M),7/23/2019,0.7,,,0.7,,(2)(13),,,,
421,"QC Supply, LLC (17)",Specialty distributor and solutions provider to the swine and poultry markets,First lien senior secured revolving loan ($7.7 par due 12/2021),,12/29/2016,7.6,,,5.6,,(2)(12)(16),,,,
422,,,First lien senior secured loan ($34.4 par due 12/2022),,12/29/2016,33.9,,,24.7,,(2)(12),,,,
424,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,0.3,,,0.5,,(2),,,,
425,RC V Tecmo Investor LLC,Technology based aggregator for facility maintenance services,"Common member units (9,624,000 units)",,8/14/2020,8.3,,,21.7,,(2),,,,
426,"RE Community Holdings GP, LLC and RE Community Holdings, LP",Operator of municipal recycling facilities,Limited partnership interest (2.86% interest),,3/1/2011,0,,,0,,(2),,,,
427,,,Limited partnership interest (2.49% interest),,3/1/2011,0,,,0,,(2),,,,
429,"Research Now Group, LLC and Survey Sampling International, LLC",Provider of outsourced data collection to the market research industry,First lien senior secured loan ($31.4 par due 12/2024),6.50% (Libor + 5.50%/Q),2/14/2019,31.4,,,31.1,,(13),,,,
430,"SSE Buyer, Inc., Supply Source Enterprises, Inc., Impact Products LLC, The Safety Zone, LLC and SSE Parent, LP (17)","Manufacturer and distributor of personal protection equipment, commercial cleaning, maintenance and safety products",First lien senior secured loan ($21.7 par due 6/2026),10.22% (Libor + 9.22%/Q),6/30/2020,21.7,,,21.7,,(2)(13),,,,
431,,,"Limited partnership class A-1 units (2,173 units)",,6/30/2020,1.1,,,3.2,,(2),,,,
432,,,"Limited partnership class A-2 units (2,173 units)",,6/30/2020,1.1,,,3.2,,(2),,,,
435,"Startec Equity, LLC (5)",Communication services,Member interest,,4/1/2010,0,,,0,,,,,,
436,Stealth Holding LLC and UCIT Online Security Inc. (17),Live video monitoring solutions provider,First lien senior secured loan ($27.3 par due 3/2026),7.75% (Libor + 6.75%/Q),3/1/2021,27.3,,,27.0,,(6)(13),,,,
437,,,First lien senior secured loan ($17.6 par due 3/2026),7.75% (Libor + 6.75%/Q),3/1/2021,17.6,,,17.5,,(2)(6)(13),,,,
439,Tyden Group Holding Corp.,"Producer and marketer of global cargo security, product identification and traceability products and utility meter products","Preferred stock (46,276 shares)",,1/3/2017,0.4,,,0.6,,(6),,,,
440,,,"Common stock (5,521,203 shares)",,1/3/2017,2.0,,,2.8,,(6),,,,
442,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($32.5 par due 8/2022),"8.50% (Libor + 5.75% Cash, 1.25% PIK/Q)",8/31/2017,32.4,,,31.2,,(2)(13),,,,
443,,,Senior subordinated loan ($81.8 par due 9/2024),16.00% PIK,8/31/2017,79.9,,,75.2,,(2),,,,
444,,,"Warrant to purchase up to 3,094,492 shares of common stock (expires 8/2027)",,8/31/2017,0,,,0,,(2),,,,
445,,,"Warrant to purchase up to 2,838,079 shares of preferred stock (expires 8/2027)",,8/31/2017,3.9,,,0,,(2),,,,
447,"VLS Recovery Services, LLC (17)",Provider of commercial and industrial waste processing and disposal services,First lien senior secured revolving loan,,10/17/2017,0,,,0,,(2)(15),,,,
