,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,
231,,,Second lien senior secured loan ($6.1 par due 4/2025),10.31% (Libor + 8.25%/Q),4/13/2018,6.0,,,6.1,,(2)(15),
233,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (19)",Quality management software provider,Second lien senior secured loan ($20.0 par due 8/2025),10.29% (Libor + 8.25%/M),8/21/2017,19.7,,,15.8,,(2)(15),
234,,,"Series B preferred shares (10,084 shares)",,8/21/2017,1.1,,,0,,,
236,Telestream Holdings Corporation (19),Provider of digital video tools and workflow solutions to the media and entertainment industries,First lien senior secured revolving loan,,2/8/2018,0,,,0,,(2)(17),
237,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (19)",Provider of cloud based HCM solutions for businesses,Second lien senior secured loan ($205.4 par due 5/2027),10.04% (Libor + 8.00%/M),5/3/2019,205.4,,,203.3,,(2),
238,,,"Limited partner interests (12,583,556 interests)",,5/3/2019,12.6,,,12.8,,(2)(8),
240,"TimeClock Plus, LLC (19)",Workforce management solutions provider,First lien senior secured loan ($35.6 par due 8/2026),7.62% (Libor + 5.50%/Q),8/30/2019,35.6,,,35.2,,(2)(15),
241,"TPG VIII Elf Purchaser, LLC, Entertainment Partners Canada ULC and TPG VIII EP Co-Invest II, L.P. (19)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($4.1 par due 5/2026),7.85% (Libor + 5.75%/Q),5/10/2019,4.1,,,4.1,,(2)(8),
243,,,First lien senior secured loan ($10.8 par due 5/2026),7.85% (Libor + 5.75%/Q),5/10/2019,10.8,,,10.7,,(2)(8),
244,,,First lien senior secured loan ($20.8 par due 5/2026),7.85% (Libor + 5.75%/Q),5/10/2019,20.8,,,20.6,,(2)(13),
245,,,First lien senior secured loan ($54.6 par due 5/2026),7.85% (Libor + 5.75%/Q),5/10/2019,54.6,,,54.0,,(2),
246,,,"Partnership units (5,034,483 units)",,5/10/2019,5.0,,,5.0,,(2),
248,"UL Holding Co., LLC (6)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($3.3 par due 5/2020),10.00% PIK,4/30/2012,1.4,,,3.4,,(2),
249,,,Senior subordinated loan ($0.4 par due 5/2020),,4/30/2012,0.2,,,0.4,,(2),
250,,,Senior subordinated loan ($7.3 par due 5/2020),10.00% PIK,4/30/2012,2.9,,,7.3,,(2),
251,,,Senior subordinated loan ($0.5 par due 5/2020),,4/30/2012,0.2,,,0.5,,(2),
252,,,Senior subordinated loan ($28.4 par due 5/2020),10.00% PIK,4/30/2012,11.9,,,29.2,,(2),
253,,,Senior subordinated loan ($3.8 par due 5/2020),,4/30/2012,1.5,,,3.8,,(2),
254,,,"Class A common units (533,351 units)",,6/17/2011,5.0,,,0.8,,(2),
255,,,"Class B-5 common units (272,834 units)",,6/17/2011,2.5,,,0.4,,(2),
256,,,"Class C common units (758,546 units)",,4/25/2008,0,,,0,,(2),
257,,,"Warrant to purchase up to 719,044 shares of Class A units",,5/2/2014,0,,,0,,(2),
258,,,"Warrant to purchase up to 28,663 shares of Class B-1 units",,5/2/2014,0,,,0,,(2),
259,,,"Warrant to purchase up to 57,325 shares of Class B-2 units",,5/2/2014,0,,,0,,(2),
260,,,"Warrant to purchase up to 29,645 shares of Class B-3 units",,5/2/2014,0,,,0,,(2),
261,,,"Warrant to purchase up to 80,371 shares of Class B-5 units",,5/2/2014,0,,,0,,(2),
262,,,"Warrant to purchase up to 59,655 shares of Class B-6 units",,5/2/2014,0,,,0,,(2),
263,,,"Warrant to purchase up to 1,046,713 shares of Class C units",,5/2/2014,0,,,0,,(2),
265,"Unison Software, Inc. (fka Compusearch Software Systems, Inc.)",Provider of enterprise software and services for organizations in the public sector,Second lien senior secured loan ($51.0 par due 11/2021),10.93% (Libor + 8.75%/Q),1/3/2017,51.0,,,51.0,,(3)(15),
266,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",,12/13/2013,4.5,,,2.5,,,
267,"Visual Edge Technology, Inc.",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($15.6 par due 8/2022),9.12% (Libor + 7.00%/Q),8/31/2017,15.6,,,15.5,,(2)(15),
268,,,First lien senior secured loan ($16.7 par due 8/2022),9.12% (Libor + 7.00%/Q),8/31/2017,16.6,,,16.5,,(2)(15),
269,,,Senior subordinated loan ($62.2 par due 9/2024),15.00% PIK,8/31/2017,59.3,,,58.4,,(2),
270,,,"Warrant to purchase up to 1,961,452 shares of preferred stock (expires 8/2027)",,8/31/2017,3.9,,,1.3,,(2),
272,,,"Warrant to purchase up to 1,720,432 shares of common stock (expires 8/2027)",,8/31/2017,0,,,0,,(2),
274,"VRC Companies, LLC (19)",Provider of records and information management services,First lien senior secured revolving loan ($0.6 par due 3/2022),8.54% (Libor + 6.50%/M),4/17/2017,0.6,,,0.6,,(2)(15),
275,,,First lien senior secured revolving loan ($0.4 par due 3/2022),10.50% (Base Rate + 5.50%/M),4/17/2017,0.4,,,0.4,,(2)(15),
276,,,First lien senior secured loan ($0.6 par due 3/2023),8.54% (Libor + 6.50%/M),7/31/2019,0.6,,,0.6,,(2)(15),
277,,,First lien senior secured loan ($0.1 par due 3/2023),8.54% (Libor + 6.50%/M),7/31/2019,0.1,,,0.1,,(2)(15),
278,,,First lien senior secured loan ($15.0 par due 3/2023),8.54% (Libor + 6.50%/M),3/31/2017,15.0,,,15.0,,(2)(15),
280,WorldPay Group PLC (8),Payment processing company,"C2 shares (73,974 shares)",,10/21/2015,0,,,0,,(22),
281,"XIFIN, Inc. (19)",Revenue cycle management provider to labs,First lien senior secured revolving loan ($0.7 par due 11/2020),8.75% (Base Rate + 3.75%/Q),2/8/2018,0.7,,,0.7,,(2)(15)(18),
282,"Zywave, Inc. (19)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($1.2 par due 11/2022),7.04% (Libor + 5.00%/M),11/17/2016,1.2,,,1.2,,(2)(15),
283,,,First lien senior secured revolving loan ($2.4 par due 11/2022),7.38% (Libor + 5.00%/M),11/17/2016,2.4,,,2.4,,(2)(15),
284,,,Second lien senior secured loan ($17.1 par due 11/2023),11.28% (Libor + 9.00%/Q),11/17/2016,17.1,,,17.1,,(2)(15),
286,,,,,,2891.0,,,2881.0,,,39.08%
288,"Absolute Dental Management LLC and ADM Equity, LLC",Dental services provider,First lien senior secured loan ($0.8 par due 1/2022),9.64% (Libor + 7.50%/Q),1/15/2019,0.8,,,0.8,,(2)(15),
289,,,First lien senior secured loan ($24.5 par due 1/2022),,1/5/2016,24.2,,,10.2,,(2)(14),
290,,,"Class A preferred units (4,000,000 units)",,1/5/2016,4.0,,,0,,(2),
291,,,"Class A common units (4,000,000 units)",,1/5/2016,0,,,0,,(2),
293,"Acessa Health Inc. (fka HALT Medical, Inc.)",Medical supply provider,"Common stock (569,823 shares)",,6/22/2017,0.1,,,0,,,
294,"ADCS Billings Intermediate Holdings, LLC (19)",Dermatology practice,First lien senior secured revolving loan ($0.8 par due 5/2022),7.79% (Libor + 5.75%/M),5/18/2016,0.8,,,0.7,,(2)(15),
295,"ADG, LLC and RC IV GEDC Investor LLC (19)",Dental services provider,First lien senior secured revolving loan ($2.7 par due 9/2022),6.79% (Libor + 4.75%/M),9/28/2016,2.7,,,2.5,,(2)(15),
296,,,First lien senior secured revolving loan ($3.8 par due 9/2022),8.75% (Base Rate + 3.75%/M),9/28/2016,3.8,,,3.4,,(2)(15),
297,,,Second lien senior secured loan ($90.6 par due 3/2024),6.71% (Libor + 5.50%/Q),9/28/2016,89.0,,,67.9,,(2)(15),
298,,,"Membership units (3,000,000 units)",,9/28/2016,3.0,,,0,,(2),
300,"Air Medical Group Holdings, Inc. and Air Medical Buyer Corp.",Emergency air medical services provider,Senior subordinated loan ($182.7 par due 3/2026),9.92% (Libor + 7.88%/M),3/14/2018,182.7,,,180.8,,(2)(15),
301,,,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",,3/14/2018,0.9,,,1.4,,(2),
304,"Alcami Corporation and ACM Holdings I, LLC (19)",Outsourced drug development services provider,First lien senior secured loan ($29.9 par due 7/2025),6.29% (Libor + 4.25%/M),7/12/2018,29.8,,,28.7,,(3),
305,,,Second lien senior secured loan ($77.5 par due 7/2026),10.04% (Libor + 8.00%/M),7/12/2018,76.8,,,70.6,,(2),
306,,,"Common units (3,269,900 units)",,7/12/2018,32.7,,,19.3,,(2),
308,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($3.0 par due 9/2022),8.54% (Libor + 6.50%/M),5/15/2017,3.0,,,2.8,,(2)(15),
309,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (19)",Revenue cycle management provider to the physician practices and acute care hospitals,First lien senior secured loan ($16.1 par due 2/2026),6.68% (Libor + 4.50%/Q),2/11/2019,15.8,,,16.1,,(2),
310,,,Second lien senior secured loan ($210.3 par due 2/2027),10.68% (Libor + 8.50%/Q),2/11/2019,210.3,,,210.3,,(2),
311,,,"Senior preferred stock (121,810 shares)",13.25% PIK (Libor + 11.13%/Q),2/11/2019,128.3,,,128.3,,(2),
312,,,Class A interests (0.39% interest),,2/11/2019,9.0,,,11.9,,(2),
314,Bambino CI Inc. (19),Manufacturer and provider of single-use obstetrics products,First lien senior secured revolving loan ($0.1 par due 10/2022),7.56% (Libor + 5.50%/M),10/17/2017,0.1,,,0.1,,(2)(15),
315,,,First lien senior secured revolving loan ($0.8 par due 10/2022),7.54% (Libor + 5.50%/M),10/17/2017,0.8,,,0.8,,(2)(15),
316,,,First lien senior secured revolving loan ($1.1 par due 10/2022),7.54% (Libor + 5.50%/M),10/17/2017,1.1,,,1.1,,(2)(15),
317,,,First lien senior secured revolving loan ($1.1 par due 10/2022),7.54% (Libor + 5.50%/M),10/17/2017,1.1,,,1.1,,(2)(15),
318,,,First lien senior secured loan ($30.7 par due 10/2023),7.54% (Libor + 5.50%/M),10/17/2017,30.7,,,30.7,,(3)(15),
320,"Care Hospice, Inc (19)",Provider of hospice services,First lien senior secured revolving loan ($0.3 par due 4/2022),8.75% (Base Rate + 3.75%/Q),2/8/2018,0.3,,,0.3,,(2)(15)(18),
321,"CCS-CMGC Holdings, Inc. (19)",Correctional facility healthcare operator,First lien senior secured revolving loan ($0.9 par due 10/2023),7.29% (Libor + 5.25%/M),10/1/2018,0.9,,,0.9,,(2)(18),
322,,,First lien senior secured loan ($34.7 par due 10/2025),7.54% (Libor + 5.50%/M),9/25/2018,34.4,,,34.4,,(3),
324,"Center for Autism and Related Disorders, LLC (19)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan,,11/21/2018,0,,,0,,(2)(17),
325,"Comprehensive EyeCare Partners, LLC (19)",Vision care practice management company,First lien senior secured revolving loan ($0.1 par due 2/2024),6.60% (Libor + 4.50%/Q),2/14/2018,0.1,,,0.1,,(2)(15),
326,,,First lien senior secured revolving loan ($0.2 par due 2/2024),6.60% (Libor + 4.50%/Q),2/14/2018,0.2,,,0.2,,(2)(15),
327,,,First lien senior secured loan ($2.4 par due 2/2024),6.60% (Libor + 4.50%/Q),2/14/2018,2.4,,,2.4,,(2)(15),
328,,,First lien senior secured loan ($5.4 par due 2/2024),6.60% (Libor + 4.50%/Q),2/14/2018,5.4,,,5.3,,(2)(15),
330,"Convey Health Solutions, Inc.",Workforce management solutions provider,First lien senior secured loan ($20.2 par due 9/2026),7.39% (Libor + 5.25%/Q),9/4/2019,20.2,,,20.0,,(2)(15),
331,"D4C Dental Brands HoldCo, Inc. and Bambino Group Holdings, LLC (19)",Dental services provider,"Class A preferred units (1,000,000 units)",,12/21/2016,1.0,,,1.0,,(2),
333,Datix Bidco Limited (8),Global healthcare software company that provides software solutions for patient safety and risk management,First lien senior secured loan ($2.9 par due 4/2025),7.12% (Libor + 4.50%/Q),4/27/2018,2.9,,,2.9,,(2),
334,,,First lien senior secured loan ($2.9 par due 4/2025),7.12% (Libor + 4.50%/Q),4/27/2018,2.9,,,2.9,,(2),
335,,,First lien senior secured loan ($10.0 par due 4/2025),7.04% (Libor + 4.50%/Q),5/28/2019,9.9,,,10.0,,(2),
337,"DCA Investment Holding, LLC (19)",Multi-branded dental practice management,First lien senior secured revolving loan ($0.6 par due 7/2021),9.25% (Base Rate + 4.25%/Q),7/2/2015,0.6,,,0.6,,(2)(15)(18),
338,,,First lien senior secured loan ($18.4 par due 7/2021),7.35% (Libor + 5.25%/Q),7/2/2015,18.3,,,18.4,,(4)(15),
340,"Emerus Holdings, Inc.",Freestanding 24-hour emergency care micro-hospitals operator,First lien senior secured loan ($16.5 par due 2/2022),14.00%,2/21/2019,16.5,,,16.5,,(2),
341,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($34.5 par due 6/2025),10.10% (Libor + 8.00%/Q),6/30/2017,34.2,,,34.5,,(2)(15),
342,,,"Series A preferred stock (110,425 shares)",13.07% PIK (Libor + 10.75%/Q),6/30/2017,147.5,,,147.5,,(2)(15),
343,,,"Class A units (14,013,303 units)",,6/30/2017,14.0,,,16.5,,(2),
345,"Greenphire, Inc. and RMCF III CIV XXIX, L.P",Software provider for clinical trial management,Limited partnership interest (99.90% interest),,12/19/2014,1.0,,,4.0,,(2),
346,Hygiena Borrower LLC (19),Adenosine triphosphate testing technology provider,Second lien senior secured loan ($11.1 par due 8/2023),9.85% (Libor + 7.75%/Q),6/29/2018,11.1,,,11.1,,(2)(15),
347,,,Second lien senior secured loan ($0.6 par due 8/2023),9.85% (Libor + 7.75%/Q),6/29/2018,0.6,,,0.6,,(2)(15),
348,,,Second lien senior secured loan ($2.5 par due 8/2023),9.85% (Libor + 7.75%/Q),8/26/2016,2.5,,,2.5,,(2)(15),
349,,,Second lien senior secured loan ($10.7 par due 8/2023),9.85% (Libor + 7.75%/Q),2/27/2017,10.7,,,10.7,,(2)(15),
351,"JDC Healthcare Management, LLC (19)",Dental services provider,First lien senior secured revolving loan ($1.2 par due 4/2022),9.79% (Libor + 7.75%/M),4/10/2017,1.2,,,1.1,,(2)(15),
352,,,First lien senior secured revolving loan ($0.6 par due 4/2022),9.82% (Libor + 7.75%/M),4/10/2017,0.6,,,0.5,,(2)(15),
353,,,First lien senior secured revolving loan ($1.0 par due 4/2022),9.79% (Libor + 7.75%/M),4/10/2017,1.0,,,0.9,,(2)(15),
354,,,First lien senior secured revolving loan ($1.2 par due 4/2022),9.79% (Libor + 7.75%/M),4/10/2017,1.2,,,1.1,,(2)(15),
355,,,First lien senior secured loan ($4.2 par due 4/2023),"9.79% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,4.2,,,3.7,,(2)(15),
356,,,First lien senior secured loan ($9.9 par due 4/2023),"9.79% (Libor + 6.75% Cash, 1.00% PIK/M)",4/10/2017,9.9,,,8.8,,(15),
357,,,First lien senior secured loan ($19.7 par due 4/2023),9.79% (Libor + 7.75%/M),4/10/2017,19.7,,,17.6,,(4)(15),
359,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (19)",Provider of behavioral health services,First lien senior secured revolving loan ($0.2 par due 3/2022),7.04% (Libor + 5.00%/M),3/17/2017,0.2,,,0.1,,(2)(15),
360,,,First lien senior secured revolving loan ($0.6 par due 3/2022),7.06% (Libor + 5.00%/M),3/17/2017,0.6,,,0.5,,(2)(15),
361,,,First lien senior secured revolving loan ($1.0 par due 3/2022),7.05% (Libor + 5.00%/M),3/17/2017,1.0,,,0.9,,(2)(15),
363,,,First lien senior secured revolving loan ($0.9 par due 3/2022),7.05% (Libor + 5.00%/M),3/17/2017,0.9,,,0.8,,(2)(15),
364,,,First lien senior secured revolving loan ($2.1 par due 3/2022),7.04% (Libor + 5.00%/M),3/17/2017,2.1,,,1.9,,(2)(15),
365,,,First lien senior secured revolving loan ($0.2 par due 3/2022),7.07% (Libor + 5.00%/M),3/17/2017,0.2,,,0.2,,(2)(15),
367,Key Surgical LLC (19),"Provider of sterile processing, operating room and instrument care supplies for hospitals",First lien senior secured revolving loan ($0.1 par due 6/2022),9.00% (Base Rate + 4.00%/Q),6/1/2017,0.1,,,0.1,,(2)(15),
368,,,First lien senior secured loan ($16.1 par due 6/2023),6.00% (EURIBOR + 5.00%/Q),6/1/2017,16.5,,,16.1,,(2)(15),
369,,,First lien senior secured loan ($5.3 par due 6/2023),6.00% (Libor + 5.00%/Q),8/28/2019,5.4,,,5.3,,(2)(15),
370,,,First lien senior secured loan ($7.2 par due 6/2023),7.04% (Libor + 5.00%/M),8/28/2019,7.2,,,7.2,,(2)(15),
372,"MB2 Dental Solutions, LLC (19)",Dental services provider,First lien senior secured revolving loan ($1.0 par due 9/2023),9.00% (Base Rate + 3.75%/Q),9/29/2017,1.0,,,1.0,,(2)(15),
373,,,First lien senior secured loan ($1.7 par due 9/2023),7.00% (Libor + 4.75%/Q),9/29/2017,1.7,,,1.7,,(2)(15),
375,"MCH Holdings, Inc. and MC Acquisition Holdings I, LLC",Healthcare professional provider,First lien senior secured loan ($14.5 par due 1/2020),7.55% (Libor + 5.50%/M),7/26/2017,14.5,,,14.5,,(2)(15),
376,,,First lien senior secured loan ($12.7 par due 1/2020),7.54% (Libor + 5.50%/M),7/26/2017,12.7,,,12.7,,(2)(15),
377,,,First lien senior secured loan ($39.6 par due 1/2020),7.55% (Libor + 5.50%/M),7/26/2017,39.6,,,39.6,,(3)(15),
378,,,First lien senior secured loan ($34.6 par due 1/2020),7.54% (Libor + 5.50%/M),7/26/2017,34.6,,,34.6,,(3)(15),
379,,,First lien senior secured loan ($15.2 par due 1/2020),7.55% (Libor + 5.50%/M),7/26/2017,15.2,,,15.2,,(4)(15),
380,,,First lien senior secured loan ($13.3 par due 1/2020),7.54% (Libor + 5.50%/M),7/26/2017,13.3,,,13.3,,(4)(15),
381,,,"Class A units (1,438,643 shares)",,1/17/2014,1.5,,,1.2,,(2),
383,MW Dental Holding Corp. (19),Dental services provider,First lien senior secured revolving loan ($7.5 par due 4/2021),8.85% (Libor + 6.75%/Q),4/12/2011,7.5,,,7.5,,(2)(15),
384,,,First lien senior secured revolving loan ($2.6 par due 4/2021),10.75% (Base Rate + 5.75%/Q),4/12/2011,2.6,,,2.6,,(2)(15),
385,,,First lien senior secured loan ($21.7 par due 4/2021),8.85% (Libor + 6.75%/Q),3/19/2018,21.7,,,21.7,,(2)(15),
386,,,First lien senior secured loan ($103.7 par due 4/2021),8.85% (Libor + 6.75%/Q),4/12/2011,103.7,,,103.7,,(15),
387,,,First lien senior secured loan ($19.0 par due 4/2021),8.85% (Libor + 6.75%/Q),4/12/2011,19.0,,,19.0,,(4)(15),
389,"My Health Direct, Inc.",Healthcare scheduling exchange software solution provider,"Warrant to purchase up to 4,548 shares of Series D preferred stock (expires 9/2024)",,9/18/2014,0,,,0,,(2),
390,"NMC Skincare Intermediate Holdings II, LLC (19)","Developer, manufacturer and marketer of skincare products",First lien senior secured revolving loan ($1.6 par due 10/2024),6.79% (Libor + 4.75%/M),10/31/2018,1.6,,,1.6,,(2),
391,,,First lien senior secured loan ($1.7 par due 10/2024),6.79% (Libor + 4.75%/M),10/31/2018,1.7,,,1.7,,(2),
392,,,First lien senior secured loan ($24.7 par due 10/2024),6.79% (Libor + 4.75%/M),10/31/2018,24.7,,,24.7,,(3),
395,NMN Holdings III Corp. and NMN Holdings LP (19),Provider of complex rehab technology solutions for patients with mobility loss,"Partnership units (30,000 units)",,11/13/2018,3.0,,,2.5,,(2),
396,"NMSC Holdings, Inc. and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),12.26% (Libor + 10.00%/Q),4/19/2016,72.8,,,72.8,,(2)(15),
397,,,"Class A units (25,790 units)",,4/19/2016,2.6,,,1.3,,(2),
399,"Nodality, Inc.",Biotechnology company,First lien senior secured loan ($2.3 par due 8/2020),,11/12/2015,1.5,,,0,,(2)(14),
400,,,First lien senior secured loan ($0.8 par due 8/2020),,11/12/2015,0.6,,,0,,(2)(14),
401,,,First lien senior secured loan ($3.9 par due 8/2019),,4/25/2014,2.6,,,0,,(2)(14),
402,,,First lien senior secured loan ($11.0 par due 8/2019),,4/25/2014,7.1,,,0,,(2)(14),
403,,,"Warrant to purchase up to 3,736,255 shares of common stock (expires 3/2026)",,5/1/2016,0,,,0,,(2),
405,NSM Sub Holdings Corp. (19),"Provider of customized mobility, rehab and adaptive seating systems",First lien senior secured revolving loan ($1.8 par due 10/2022),9.75% (Base Rate + 4.75%/Q),9/28/2017,1.8,,,1.8,,(2)(15),
406,,,First lien senior secured loan ($10.0 par due 10/2022),7.85% (Libor + 5.75%/Q),5/3/2019,10.0,,,10.0,,(2)(15),
408,"nThrive, Inc. (fka Precyse Acquisition Corp.)",Provider of healthcare information management technology and services,Second lien senior secured loan ($10.0 par due 4/2023),11.79% (Libor + 9.75%/M),4/20/2016,9.8,,,9.4,,(2)(15),
409,"NueHealth Performance, LLC (19)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($1.5 par due 9/2023),8.54% (Libor + 6.50%/M),9/27/2018,1.5,,,1.5,,(2)(15),
410,,,First lien senior secured loan ($9.9 par due 9/2023),8.54% (Libor + 6.50%/M),9/27/2018,9.9,,,9.9,,(2)(15),
412,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (19)",Behavioral health and special education platform provider,First lien senior secured loan ($43.1 par due 9/2026),7.54% (Libor + 5.50%/M),9/24/2019,43.1,,,42.7,,(2)(15),
413,,,"Class A Common units (9,549,000 units)",,9/24/2019,9.5,,,9.5,,(2),
415,"OmniSYS Acquisition Corporation, OmniSYS, LLC, and OSYS Holdings, LLC",Provider of technology-enabled solutions to pharmacies,Limited liability company membership interest (1.57%),,11/21/2013,1.0,,,0.5,,(2),
416,Pathway Vet Alliance LLC and Pathway Vet Alliance Holding LLC (19),Operator of freestanding veterinary hospitals,First lien senior secured revolving loan,,12/21/2018,0,,,0,,(2)(17),
417,,,First lien senior secured loan ($14.7 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,14.7,,,14.6,,(2)(15),
418,,,First lien senior secured loan ($0.2 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,0.2,,,0.2,,(2)(15),
419,,,First lien senior secured loan ($1.2 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,1.2,,,1.2,,(2)(15),
420,,,First lien senior secured loan ($0.1 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,0.1,,,0.1,,(2)(15),
421,,,First lien senior secured loan ($0.2 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,0.2,,,0.2,,(2)(15),
422,,,First lien senior secured loan ($1.3 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,1.3,,,1.3,,(2)(15),
423,,,First lien senior secured loan ($57.2 par due 12/2024),6.54% (Libor + 4.50%/M),12/21/2018,56.8,,,56.8,,(2)(15),
425,,,Second lien senior secured loan ($0.6 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,0.6,,,0.6,,(2)(15),
426,,,Second lien senior secured loan ($38.3 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,38.3,,,38.1,,(2)(15),
427,,,Second lien senior secured loan ($0.6 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,0.6,,,0.6,,(2)(15),
428,,,Second lien senior secured loan ($2.7 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,2.7,,,2.7,,(2)(15),
429,,,Second lien senior secured loan ($0.3 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,0.3,,,0.3,,(2)(15),
430,,,Second lien senior secured loan ($2.8 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,2.8,,,2.8,,(2)(15),
431,,,Second lien senior secured loan ($163.9 par due 12/2025),10.54% (Libor + 8.50%/M),12/21/2018,163.9,,,163.1,,(2)(15),
432,,,"Preferred subscription units (1,507,384 units)",,12/21/2018,4.9,,,6.0,,,
434,"Patterson Medical Supply, Inc.",Distributor of rehabilitation supplies and equipment,Second lien senior secured loan ($78.0 par due 8/2023),10.76% (Libor + 8.50%/Q),9/2/2015,76.9,,,64.7,,(2)(15),
435,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($47.2 par due 5/2021),10.79% (Libor + 8.75%/M),12/18/2015,47.0,,,46.8,,(2)(15),
436,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (19),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($10.9 par due 7/2025),5.60% (Libor + 3.50%/Q),7/10/2018,10.8,,,10.8,,(4),
437,,,Second lien senior secured loan ($67.1 par due 7/2026),9.60% (Libor + 7.50%/Q),7/10/2018,66.5,,,66.4,,(2),
438,,,"Class A units (9,775 units)",,7/10/2018,9.8,,,11.1,,(2),
440,"ProVation Medical, Inc.",Provider of documentation and coding software for GI physicians,First lien senior secured loan ($12.9 par due 3/2024),9.34% (Libor + 7.00%/Q),3/9/2018,12.8,,,12.9,,(2),
441,"QF Holdings, Inc. (19)",SaaS based electronic health record software provider,First lien senior secured loan ($66.1 par due 9/2024),9.15% (Libor + 7.00%/Q),9/19/2019,66.1,,,65.4,,(2)(15),
442,"RecoveryDirect Acquisition, L.L.C. (19)",Outpatient physical therapy provider,First lien senior secured loan ($6.9 par due 1/2024),6.04% (Libor + 4.00%/M),1/3/2018,6.9,,,6.9,,(2)(15),
443,,,First lien senior secured loan ($30.5 par due 1/2024),6.04% (Libor + 4.00%/M),1/3/2018,30.5,,,30.5,,(4)(15),
445,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",,6/28/2012,0,,,0,,(2),
446,Retriever Medical/Dental Payments LLC (19),Provider of payment processing services and software to healthcare providers,First lien senior secured loan ($2.0 par due 2/2023),6.60% (Libor + 4.50%/Q),3/14/2019,2.0,,,2.0,,(2)(15),
447,"RMP Group, Inc (19)",Revenue cycle management provider to the emergency healthcare industry,First lien senior secured revolving loan ($0.6 par due 3/2022),6.54% (Libor + 4.50%/M),2/8/2018,0.6,,,0.6,,(2)(15),
448,"RTI Surgical, Inc. (8)","Manufacturer of biologic, metal and synthetic implants/devices",Second lien senior secured loan ($93.4 par due 12/2023),10.79% (Libor + 8.75%/M),3/8/2019,93.4,,,93.4,,(2)(15),
449,"SCSG EA Acquisition Company, Inc. (19)",Provider of outsourced clinical services to hospitals and health systems,First lien senior secured revolving loan,,9/1/2017,0,,,0,,(2)(17),
450,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (19)",Outsourced anesthesia provider,First lien senior secured loan ($17.1 par due 3/2024),6.85% (Libor + 4.75%/Q),3/26/2018,17.1,,,14.8,,(3)(15),
451,,,"Common units (684,854 units)",,3/26/2018,4.8,,,0.3,,(2),
453,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (19)",Breast cancer screening provider,First lien senior secured revolving loan ($2.0 par due 8/2024),7.54% (Libor + 5.50%/M),8/1/2018,2.0,,,2.0,,(2),
455,,,First lien senior secured loan ($7.1 par due 8/2024),7.54% (Libor + 5.50%/M),8/1/2018,7.1,,,7.1,,(2),
456,,,"Series A preferred stock (44,975 shares)",12.57% PIK (Libor + 10.25%/Q),8/1/2018,52.2,,,52.2,,(2),
457,,,"Series A units (7,475 units)",,8/1/2018,7.5,,,0.1,,(2),
458,,,"Series B units (747,500 units)",,8/1/2018,0,,,7.7,,(2),
