,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
185,"Sparta Systems, Inc.  (4)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,12/2017,,,,-,,,,(7,,,,-,,,,-,,,,,,,,,
186,"Sparta Systems, Inc.",,,Senior loan,,,,L + 5.25,,,,6.50,,,,12/2017,,,,6375,,,,6307,,,,1.0,,,,6375,,,,,,,,,
187,Syncsort Incorporated,,,Senior loan,,,,P + 4.25,,,,7.50,,,,03/2015,,,,160,,,,158,,,,-,,,,160,,,,,,,,,
188,Syncsort Incorporated*,,,Senior loan,,,,P + 4.25,,,,7.50,,,,03/2015,,,,6365,,,,6291,,,,1.0,,,,6365,,,,,,,,,
189,"Time-O-Matic, Inc.",,,Subordinated debt,,,,No Value,,,,12.00 cash/  1.25 PIK,,,,12/2016,,,,11709,,,,11576,,,,1.8,,,,11709,,,,,,,,,
190,,,,,,,,,,,,,,,,,,,,61104,,,,60428,,,,9.3,,,,61104,,,,,,,,,
191,Farming and Agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"AGData, L.P.",,,One stop,,,,L + 6.00,,,,7.25,,,,08/2016,,,,3837,,,,3799,,,,0.6,,,,3837,,,,,,,,,
193,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,"Ascensus, Inc.*",,,Senior loan,,,,L + 6.75,,,,8.00,,,,12/2018,,,,17958,,,,17643,,,,2.7,,,,17958,,,,,,,,,
195,Bonddesk Group LLC*,,,Senior loan,,,,L + 5.00,,,,6.50,,,,09/2016,,,,869,,,,864,,,,0.2,,,,869,,,,,,,,,
196,Pillar Processing LLC*,,,Senior loan,,,,L + 5.50,,,,5.78,,,,11/2018,,,,1604,,,,1601,,,,0.2,,,,1524,,,,,,,,,
197,Pillar Processing  LLC*  (3),,,Senior loan,,,,No Value,,,,14.50,,,,05/2019,,,,2478,,,,2483,,,,0.1,,,,625,,,,,,,,,
198,,,,,,,,,,,,,,,,,,,,22909,,,,22591,,,,3.2,,,,20976,,,,,,,,,
199,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"MyWebGrocer,  Inc.  (4)",,,Senior loan,,,,L + 8.75,,,,No Value,(5),,,05/2018,,,,-,,,,(15,,,,-,,,,(16,,,,,,,,,
201,"MyWebGrocer, Inc.",,,Senior loan,,,,L + 8.75,,,,6.00 cash/  4.00 PIK,,,,05/2018,,,,14271,,,,14036,,,,2.1,,,,14128,,,,,,,,,
202,"Teasdale Quality Foods, Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,05/2018,,,,2800,,,,2773,,,,0.4,,,,2772,,,,,,,,,
203,,,,,,,,,,,,,,,,,,,,17071,,,,16794,,,,2.5,,,,16884,,,,,,,,,
204,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Total  Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
205,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"Advanced Pain Management Holdings, Inc.  (4)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,02/2018,,,,-,,,,(7,,,,-,,,,-,,,,,,,,,
207,"Advanced Pain Management Holdings, Inc.  (4)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,02/2018,,,,-,,,,(10,,,,-,,,,-,,,,,,,,,
208,"Advanced Pain Management Holdings, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,02/2018,,,,7364,,,,7299,,,,1.1,,,,7364,,,,,,,,,
209,"Avatar International, LLC",,,Senior loan,,,,L + 8.00,,,,9.25,,,,09/2016,,,,1651,,,,1638,,,,0.2,,,,1618,,,,,,,,,
210,"Avatar International, LLC  (4)",,,One stop,,,,L + 7.50,,,,No Value,(5),,,09/2016,,,,-,,,,(6,,,,-,,,,(24,,,,,,,,,
211,"Avatar International, LLC*",,,One stop,,,,L + 7.50,,,,8.75,,,,09/2016,,,,7653,,,,7575,,,,1.1,,,,7424,,,,,,,,,
212,DDC Center Inc.,,,One stop,,,,L + 6.25,,,,No Value,(5),,,10/2013,,,,-,,,,-,,,,-,,,,-,,,,,,,,,
213,DDC Center Inc.*,,,One stop,,,,L + 6.25,,,,9.25,,,,10/2014,,,,7920,,,,7913,,,,1.2,,,,7920,,,,,,,,,
214,Delta Educational Systems*,,,Senior loan,,,,P + 4.75,,,,8.00,,,,12/2016,,,,1806,,,,1778,,,,0.3,,,,1806,,,,,,,,,
215,"Dialysis Newco, Inc.",,,Senior loan,,,,L + 4.25,,,,5.25,,,,08/2020,,,,6346,,,,6283,,,,1.0,,,,6314,,,,,,,,,
216,"Dialysis Newco, Inc.  (4)",,,Second lien,,,,L + 8.50,,,,No Value,(5),,,02/2021,,,,-,,,,(25,,,,-,,,,(22,,,,,,,,,
217,"Dialysis Newco, Inc.*",,,Second lien,,,,L + 8.50,,,,9.75,,,,02/2021,,,,23901,,,,23490,,,,3.6,,,,23543,,,,,,,,,
218,"Encore Rehabilitation Services, LLC  (4)",,,One stop,,,,L + 6.25,,,,No Value,(5),,,06/2017,,,,-,,,,(12,,,,-,,,,-,,,,,,,,,
219,"Encore Rehabilitation Services, LLC",,,One stop,,,,L + 6.25,,,,7.50,,,,06/2017,,,,5099,,,,4994,,,,0.8,,,,5099,,,,,,,,,
220,"G & H Wire Company,  Inc.  (4)",,,Senior loan,,,,L + 5.50,,,,No Value,(5),,,11/2016,,,,-,,,,(9,,,,-,,,,-,,,,,,,,,
221,"G & H Wire Company,  Inc.*",,,Senior loan,,,,L + 5.50,,,,7.00,,,,11/2016,,,,8555,,,,8452,,,,1.3,,,,8555,,,,,,,,,
222,"Healogics, Inc.*",,,Second lien,,,,L + 8.00,,,,9.25,,,,02/2020,,,,16454,,,,16304,,,,2.6,,,,16851,,,,,,,,,
223,"Hospitalists Management Group, LLC",,,Senior loan,,,,L + 5.00,,,,6.50,,,,05/2017,,,,438,,,,433,,,,0.1,,,,403,,,,,,,,,
224,"Hospitalists Management Group, LLC",,,Senior loan,,,,P + 4.00,,,,7.25,,,,05/2017,,,,888,,,,878,,,,0.1,,,,815,,,,,,,,,
225,"Hospitalists Management Group, LLC",,,Senior loan,,,,L + 5.00,,,,6.50,,,,05/2017,,,,3694,,,,3629,,,,0.5,,,,3398,,,,,,,,,
226,"IntegraMed America, Inc.  (4)",,,One stop,,,,L + 7.25,,,,No Value,(5),,,09/2017,,,,-,,,,(15,,,,-,,,,-,,,,,,,,,
227,"IntegraMed America, Inc.*",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2017,,,,14457,,,,14196,,,,2.2,,,,14457,,,,,,,,,
228,"Maverick Healthcare Group, LLC *",,,Senior loan,,,,L + 5.50,,,,7.25,,,,12/2016,,,,2030,,,,2011,,,,0.3,,,,2030,,,,,,,,,
229,"NeuroTherm, Inc.",,,Senior loan,,,,P + 4.00,,,,7.25,,,,02/2016,,,,64,,,,60,,,,-,,,,64,,,,,,,,,
230,"NeuroTherm, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.50,,,,02/2016,,,,1332,,,,1318,,,,0.2,,,,1332,,,,,,,,,
231,"Northwestern Management Services, LLC  (4)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,10/2017,,,,-,,,,(13,,,,-,,,,-,,,,,,,,,
232,"Northwestern Management Services, LLC  (4)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,10/2017,,,,-,,,,(5,,,,-,,,,-,,,,,,,,,
233,"Northwestern Management Services, LLC*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,10/2017,,,,4031,,,,3963,,,,0.6,,,,4031,,,,,,,,,
234,"Pentec Acquisition Sub,  Inc.  (4)",,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,05/2017,,,,-,,,,(3,,,,-,,,,(6,,,,,,,,,
235,"Pentec Acquisition Sub,  Inc.*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,05/2018,,,,1895,,,,1865,,,,0.3,,,,1819,,,,,,,,,
236,"Precision Dermatology,  Inc.  (4)",,,Senior loan,,,,L + 6.00,,,,No Value,(5),,,09/2018,,,,-,,,,(9,,,,-,,,,(4,,,,,,,,,
237,"Precision Dermatology, Inc.",,,Senior loan,,,,L + 6.00,,,,7.25,,,,09/2018,,,,11086,,,,10977,,,,1.7,,,,11031,,,,,,,,,
238,"Reliant Pro ReHab, LLC",,,Senior loan,,,,L + 4.75,,,,6.00,,,,06/2016,,,,949,,,,943,,,,0.1,,,,949,,,,,,,,,
239,"Reliant Pro ReHab, LLC",,,Senior loan,,,,P + 3.75,,,,7.00,,,,06/2016,,,,185,,,,179,,,,-,,,,185,,,,,,,,,
240,"Reliant Pro ReHab, LLC*",,,Senior loan,,,,L + 4.75,,,,6.00,,,,06/2016,,,,3409,,,,3376,,,,0.5,,,,3409,,,,,,,,,
241,Renaissance Pharma (U.S.) Holdings Inc.  (4),,,Senior loan,,,,L + 5.25,,,,No Value,(5),,,05/2018,,,,-,,,,(4,,,,-,,,,-,,,,,,,,,
242,Renaissance Pharma (U.S.) Holdings Inc.*,,,Senior loan,,,,L + 5.25,,,,6.75,,,,05/2018,,,,4493,,,,4436,,,,0.7,,,,4493,,,,,,,,,
243,Southern Anesthesia and Surgical  (4),,,One stop,,,,L + 7.00,,,,No Value,(5),,,11/2017,,,,-,,,,(13,,,,-,,,,-,,,,,,,,,
244,Southern Anesthesia and Surgical,,,One stop,,,,L + 7.00,,,,8.25,,,,11/2017,,,,6217,,,,6090,,,,0.9,,,,6217,,,,,,,,,
245,"Surgical Information Systems, LLC",,,Second lien,,,,L + 3.00,,,,4.00,,,,09/2018,,,,1714,,,,1714,,,,0.3,,,,1714,,,,,,,,,
246,"WIL Research Company,  Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,02/2018,,,,784,,,,775,,,,0.1,,,,776,,,,,,,,,
247,"Young Innovations, Inc.  (4)",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,01/2018,,,,-,,,,(2,,,,-,,,,-,,,,,,,,,
248,"Young Innovations, Inc.",,,Senior loan,,,,L + 4.50,,,,5.75,,,,01/2019,,,,4594,,,,4564,,,,0.7,,,,4594,,,,,,,,,
249,,,,,,,,,,,,,,,,,,,,149009,,,,147000,,,,22.5,,,,148155,,,,,,,,,
250,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage  of Total  Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
251,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,"WII Components,  Inc.",,,Senior loan,,,,P + 3.75,,,,7.00,,,,07/2016,,,,26,,,,25,,,,-,,,,26,,,,,,,,,
253,"WII Components,  Inc.*",,,Senior loan,,,,L + 4.75,,,,6.25,,,,07/2016,,,,1639,,,,1626,,,,0.3,,,,1639,,,,,,,,,
254,Zenith Products Corporation,,,One stop,,,,P + 1.75,,,,5.00,,,,09/2013,,,,29,,,,29,,,,-,,,,24,,,,,,,,,
255,Zenith Products Corporation*,,,One stop,,,,P + 3.50,,,,6.75,,,,09/2013,,,,3684,,,,3684,,,,0.4,,,,2947,,,,,,,,,
256,,,,,,,,,,,,,,,,,,,,5378,,,,5364,,,,0.7,,,,4636,,,,,,,,,
257,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"AssuredPartners Capital, Inc.  (4)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,06/2019,,,,-,,,,(4,,,,-,,,,-,,,,,,,,,
259,"AssuredPartners Capital, Inc.  (4)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,12/2019,,,,-,,,,(22,,,,-,,,,-,,,,,,,,,
260,"AssuredPartners Capital, Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,12/2018,,,,2377,,,,2358,,,,0.4,,,,2377,,,,,,,,,
261,"Captive Resources Midco, LLC  (4)",,,Senior loan,,,,L + 5.50,,,,No Value,(5),,,10/2017,,,,-,,,,(3,,,,-,,,,-,,,,,,,,,
262,"Captive Resources Midco, LLC*",,,Senior loan,,,,L + 5.50,,,,6.75,,,,10/2018,,,,3552,,,,3522,,,,0.5,,,,3552,,,,,,,,,
263,"Evolution1, Inc.  (4)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,06/2016,,,,-,,,,(14,,,,-,,,,-,,,,,,,,,
264,"Evolution1, Inc.",,,Senior loan,,,,P + 3.75,,,,7.00,,,,06/2016,,,,89,,,,86,,,,-,,,,89,,,,,,,,,
265,"Evolution1, Inc.*",,,Senior loan,,,,L + 4.75,,,,6.25,,,,06/2016,,,,4561,,,,4523,,,,0.7,,,,4561,,,,,,,,,
266,,,,,,,,,,,,,,,,,,,,10579,,,,10446,,,,1.6,,,,10579,,,,,,,,,
267,Investment Funds and Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Senior Loan Fund LLC  (7),,,Senior loan,,,,L + 4.00,,,,4.20,,,,05/2020,,,,4140,,,,4140,,,,0.6,,,,4066,,,,,,,,,
269,,,,,,,,,,,,,,,,,,,,4140,,,,4140,,,,0.6,,,,4066,,,,,,,,,
270,"Leisure, Amusement, Motion Pictures and Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"Competitor Group, Inc.  (4)",,,One stop,,,,L + 7.75,,,,No Value,(5),,,11/2018,,,,-,,,,(44,,,,-,,,,-,,,,,,,,,
272,"Competitor Group,  Inc.",,,One stop,,,,P + 6.75,,,,10.00,,,,11/2018,,,,884,,,,871,,,,0.1,,,,796,,,,,,,,,
273,"Competitor Group,  Inc.*",,,One stop,,,,L + 8.75,,,,7.75 cash/  1.00 PIK,,,,11/2018,,,,12774,,,,12581,,,,1.8,,,,11496,,,,,,,,,
274,"Octane Fitness,  LLC*",,,One stop,,,,L + 5.50,,,,7.00,,,,12/2015,,,,4675,,,,4590,,,,0.7,,,,4675,,,,,,,,,
275,"Pride Manufacturing Company, LLC*",,,Senior loan,,,,L + 6.00,,,,7.75,,,,11/2015,,,,591,,,,586,,,,0.1,,,,591,,,,,,,,,
276,"Service Companies,  The",,,Senior loan,,,,P + 5.25,,,,10.25,,,,03/2014,,,,155,,,,155,,,,-,,,,155,,,,,,,,,
277,"Service Companies, The*",,,Senior loan,,,,L + 6.50,,,,9.00,,,,03/2014,,,,6354,,,,6336,,,,1.0,,,,6354,,,,,,,,,
278,"Starplex Operating, L.L.C.",,,One stop,,,,L + 7.50,,,,9.00,,,,12/2017,,,,958,,,,940,,,,0.1,,,,958,,,,,,,,,
279,"Starplex Operating, L.L.C.*",,,One stop,,,,L + 7.50,,,,9.00,,,,12/2017,,,,17432,,,,17171,,,,2.6,,,,17432,,,,,,,,,
280,"Titan Fitness, LLC  (4)",,,One stop,,,,L + 6.50,,,,No Value,(5),,,09/2019,,,,-,,,,(26,,,,-,,,,(26,,,,,,,,,
281,"Titan Fitness, LLC",,,One stop,,,,P + 5.25,,,,8.50,,,,09/2019,,,,687,,,,661,,,,0.1,,,,661,,,,,,,,,
282,"Titan Fitness, LLC",,,One stop,,,,P + 5.25,,,,8.50,,,,09/2019,,,,13740,,,,13421,,,,2.1,,,,13533,,,,,,,,,
283,,,,,,,,,,,,,,,,,,,,58250,,,,57242,,,,8.6,,,,56625,,,,,,,,,
284,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage  of Total  Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
285,"Mining, Steel, Iron and Non-Precious Metals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,"Benetech, Inc.  (4)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,10/2017,,,,-,,,,(5,,,,-,,,,-,,,,,,,,,
287,"Benetech, Inc.*",,,One stop,,,,L + 6.00,,,,7.25,,,,10/2017,,,,5506,,,,5484,,,,0.8,,,,5506,,,,,,,,,
288,,,,,,,,,,,,,,,,,,,,5506,,,,5479,,,,0.8,,,,5506,,,,,,,,,
289,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,"Drilling Info, Inc.  (4)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,06/2018,,,,-,,,,(1,,,,-,,,,(1,,,,,,,,,
291,"Drilling Info, Inc.",,,One stop,,,,L + 5.50,,,,6.75,,,,06/2018,,,,1368,,,,1355,,,,0.2,,,,1354,,,,,,,,,
292,"Drilling Info, Inc.  (4)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,06/2018,,,,-,,,,(5,,,,-,,,,(5,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,,1368,,,,1349,,,,0.2,,,,1348,,,,,,,,,
294,Personal and Non-Durable Consumer Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,"Hygenic Corporation, The  (4)",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,10/2017,,,,-,,,,(3,,,,-,,,,-,,,,,,,,,
296,"Hygenic Corporation,  The*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,10/2018,,,,3534,,,,3492,,,,0.6,,,,3534,,,,,,,,,
297,"Massage Envy, LLC  (4)",,,One stop,,,,L + 7.25,,,,No Value,(5),,,09/2018,,,,-,,,,(15,,,,-,,,,-,,,,,,,,,
298,"Massage Envy, LLC",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2018,,,,16634,,,,16291,,,,2.5,,,,16634,,,,,,,,,
299,Team Technologies Acquisition  Company  (4),,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,12/2017,,,,-,,,,(4,,,,-,,,,-,,,,,,,,,
300,Team Technologies Acquisition Company,,,Senior loan,,,,L + 4.75,,,,6.00,,,,12/2017,,,,3519,,,,3490,,,,0.6,,,,3519,,,,,,,,,
301,,,,,,,,,,,,,,,,,,,,23687,,,,23251,,,,3.7,,,,23687,,,,,,,,,
302,"Personal, Food and Miscellaneous Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Affordable Care Inc.  (4),,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,12/2017,,,,-,,,,(2,,,,-,,,,-,,,,,,,,,
304,Affordable Care Inc.,,,Senior loan,,,,L + 4.75,,,,6.00,,,,12/2018,,,,3541,,,,3510,,,,0.5,,,,3541,,,,,,,,,
305,"Automatic Bar Controls, Inc.  (4)",,,Senior loan,,,,L + 5.75,,,,No Value,(5),,,03/2016,,,,-,,,,(1,,,,-,,,,-,,,,,,,,,
306,"Automatic Bar Controls, Inc.*",,,Senior loan,,,,L + 5.50,,,,7.00,,,,03/2016,,,,904,,,,897,,,,0.1,,,,904,,,,,,,,,
307,Focus Brands Inc.,,,Second lien,,,,L + 9.00,,,,10.25,,,,08/2018,,,,11195,,,,11076,,,,1.7,,,,11418,,,,,,,,,
308,"National Veterinary Associates, Inc.",,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2017,,,,955,,,,943,,,,0.2,,,,955,,,,,,,,,
309,"National Veterinary Associates, Inc.  (4)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,12/2017,,,,-,,,,(1,,,,-,,,,-,,,,,,,,,
310,"National Veterinary Associates, Inc.",,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2017,,,,6006,,,,5963,,,,0.9,,,,6006,,,,,,,,,
311,"PMI Holdings, Inc.  (4)",,,Senior loan,,,,L + 4.75,,,,No Value,(5),,,06/2017,,,,-,,,,(2,,,,-,,,,-,,,,,,,,,
312,"PMI Holdings, Inc.",,,Senior loan,,,,L + 4.75,,,,5.75,,,,06/2017,,,,2629,,,,2609,,,,0.4,,,,2629,,,,,,,,,
313,Vetcor Merger Sub LLC,,,Senior loan,,,,L + 6.50,,,,7.75,,,,12/2017,,,,377,,,,356,,,,0.1,,,,377,,,,,,,,,
314,Vetcor Merger Sub LLC,,,Senior loan,,,,L + 6.50,,,,7.75,,,,12/2017,,,,520,,,,513,,,,0.1,,,,520,,,,,,,,,
315,Vetcor Merger Sub  LLC*,,,Senior loan,,,,L + 6.50,,,,7.75,,,,12/2017,,,,5938,,,,5881,,,,0.9,,,,5938,,,,,,,,,
316,,,,,,,,,,,,,,,,,,,,32065,,,,31742,,,,4.9,,,,32288,,,,,,,,,
317,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage of Total  Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
318,Personal Transportation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,PODS Funding Corp. II,,,Subordinated debt,,,,No Value,,,,21.00,,,,11/2017,,,,702,,,,702,,,,0.1,,,,702,,,,,,,,,
320,PODS Funding Corp. II,,,Subordinated debt,,,,No Value,,,,21.00,,,,11/2017,,,,3400,,,,3400,,,,0.5,,,,3400,,,,,,,,,
321,PODS Funding Corp. II,,,Subordinated debt,,,,No Value,,,,10.50 cash/  5.00 PIK,,,,05/2017,,,,1217,,,,1267,,,,0.2,,,,1278,,,,,,,,,
322,PODS Funding Corp. II,,,Subordinated debt,,,,No Value,,,,10.50 cash/  5.00 PIK,,,,05/2017,,,,4829,,,,4980,,,,0.8,,,,5070,,,,,,,,,
323,PODS Funding Corp. II,,,Senior loan,,,,L + 6.00,,,,7.25,,,,11/2016,,,,691,,,,678,,,,0.1,,,,691,,,,,,,,,
324,PODS Funding Corp. II*,,,Senior loan,,,,L + 6.00,,,,7.25,,,,11/2016,,,,6091,,,,5978,,,,0.9,,,,6091,,,,,,,,,
325,,,,,,,,,,,,,,,,,,,,16930,,,,17005,,,,2.6,,,,17232,,,,,,,,,
326,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"Market Track, LLC  (4)",,,Senior loan,,,,L + 6.11,,,,No Value,(5),,,08/2018,,,,-,,,,(5,,,,-,,,,-,,,,,,,,,
328,"Market Track, LLC*",,,Senior loan,,,,L + 6.11,,,,7.36,,,,08/2018,,,,3114,,,,3076,,,,0.5,,,,3114,,,,,,,,,
329,"Market Track, LLC  (4)",,,Senior loan,,,,L + 7.65,,,,No Value,(5),,,08/2018,,,,-,,,,(3,,,,-,,,,-,,,,,,,,,
330,,,,,,,,,,,,,,,,,,,,3114,,,,3068,,,,0.5,,,,3114,,,,,,,,,
331,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,"Barcelona Restaurants, LLC  (4)  (6)",,,One stop,,,,L + 8.25,,,,No Value,(5),,,03/2017,,,,-,,,,(4,,,,-,,,,-,,,,,,,,,
333,"Barcelona Restaurants, LLC*  (6)",,,One stop,,,,L + 8.25,,,,9.50,,,,03/2017,,,,5707,,,,5623,,,,0.9,,,,5707,,,,,,,,,
334,"Benihana, Inc.  (4)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,07/2018,,,,-,,,,(42,,,,-,,,,-,,,,,,,,,
335,"Benihana, Inc.*",,,One stop,,,,L + 5.50,,,,6.75,,,,01/2019,,,,14106,,,,13679,,,,2.1,,,,14106,,,,,,,,,
336,"Boot Barn, Inc.*",,,One stop,,,,L + 5.75,,,,7.00,,,,05/2019,,,,24677,,,,24327,,,,3.7,,,,24430,,,,,,,,,
337,"Capital Vision Services, LLC  (4)",,,One stop,,,,L + 7.25,,,,No Value,(5),,,12/2017,,,,-,,,,(16,,,,-,,,,-,,,,,,,,,
338,"Capital Vision Services, LLC",,,One stop,,,,P + 6.25,,,,9.50,,,,12/2017,,,,323,,,,311,,,,0.1,,,,323,,,,,,,,,
339,"Capital Vision Services, LLC*",,,One stop,,,,L + 7.25,,,,8.50,,,,12/2017,,,,13358,,,,13190,,,,2.0,,,,13358,,,,,,,,,
340,"DTLR, Inc.*",,,One stop,,,,L + 8.00,,,,11.00,,,,12/2015,,,,16757,,,,16625,,,,2.6,,,,16757,,,,,,,,,
341,"Floor & Decor Outlets of America, Inc.*",,,One stop,,,,L + 6.50,,,,7.75,,,,05/2019,,,,11358,,,,11226,,,,1.7,,,,11216,,,,,,,,,
342,"Marshall Retail Group, LLC, The  (4)",,,Senior loan,,,,L + 6.50,,,,No Value,(5),,,10/2016,,,,-,,,,(11,,,,-,,,,-,,,,,,,,,
343,"Marshall Retail Group, LLC, The*",,,Senior loan,,,,L + 6.50,,,,8.00,,,,10/2016,,,,9495,,,,9370,,,,1.4,,,,9495,,,,,,,,,
344,"Paper Source, Inc.",,,One stop,,,,L + 6.25,,,,7.25,,,,09/2018,,,,169,,,,157,,,,-,,,,157,,,,,,,,,
345,"Paper Source, Inc.*",,,One stop,,,,L + 6.25,,,,7.25,,,,09/2018,,,,12703,,,,12562,,,,1.9,,,,12576,,,,,,,,,
346,"Restaurant Holding Company, LLC",,,Senior loan,,,,L + 7.50,,,,9.00,,,,02/2017,,,,9274,,,,9149,,,,1.4,,,,9298,,,,,,,,,
347,"Rubio's Restaurants,  Inc.*",,,One stop,,,,L + 7.25,,,,8.75 cash/  0.25 PIK,,,,06/2015,,,,7695,,,,7637,,,,1.2,,,,7695,,,,,,,,,
348,"Sneaker Villa, Inc.",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,626,,,,619,,,,0.1,,,,626,,,,,,,,,
349,"Sneaker Villa, Inc.",,,One stop,,,,P + 7.00,,,,11.50,,,,12/2017,,,,752,,,,736,,,,0.1,,,,752,,,,,,,,,
350,"Sneaker Villa, Inc.",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,4549,,,,4453,,,,0.7,,,,4549,,,,,,,,,
351,Specialty Catalog  Corp.  (4),,,One stop,,,,L + 6.00,,,,No Value,(5),,,07/2017,,,,-,,,,(6,,,,-,,,,-,,,,,,,,,
352,Specialty Catalog Corp.,,,One stop,,,,L + 6.00,,,,7.50,,,,07/2017,,,,5187,,,,5134,,,,0.8,,,,5187,,,,,,,,,
353,Vision Source L.P.,,,One stop,,,,P + 5.50,,,,8.75,,,,04/2016,,,,129,,,,123,,,,-,,,,129,,,,,,,,,
354,Vision Source L.P.*,,,One stop,,,,L + 6.75,,,,8.00,,,,04/2016,,,,11703,,,,11580,,,,1.8,,,,11703,,,,,,,,,
355,,,,,,,,,,,,,,,,,,,,148568,,,,146422,,,,22.5,,,,148064,,,,,,,,,
356,,,Investment  Type,,Spread Above Index  (1),,Interest Rate  (2),,Maturity Date,,Principal Amount,,Cost,,Percentage  of Total  Net Assets,,Fair  Value,,,,,,,,,,,,,,,,,,,,,,,,
357,Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,Hosting.com Inc.,,,Senior loan,,,,P + 3.25,,,,6.50,,,,10/2016,,,,20,,,,19,,,,-,,,,20,,,,,,,,,
359,Hosting.com Inc.*,,,Senior loan,,,,L + 4.50,,,,5.75,,,,10/2016,,,,812,,,,802,,,,0.1,,,,812,,,,,,,,,
360,"ITC Global, Inc.  (4)",,,One stop,,,,P + 5.50,,,,8.75,,,,07/2018,,,,10,,,,(5,,,,-,,,,(4,,,,,,,,,
361,"ITC Global, Inc.",,,One stop,,,,L + 6.75,,,,7.75,,,,07/2018,,,,8605,,,,8513,,,,1.3,,,,8519,,,,,,,,,
