,Company(1),Business Description,Investment,Interest(5)(9),Acquisition  Date,Amortized  Cost,,Fair  Value,,Percentage  of Net  Assets,,,
171,"Blue Campaigns Intermediate Holding Corp. and Elevate Parent, Inc. (dba EveryAction) (18)",Provider of fundraising and organizing efforts and digital services to non-profits and political campaigns,First lien senior secured loan ($27.5 par due 8/2023),9.39% (Libor + 6.75%/Q),8/20/2018,27.5,,27.5,,,(2)(14),,
172,,,"Series A preferred stock (150,000 shares)",,9/26/2018,1.5,,1.7,,,,,
173,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock (expires 7/2024)",,7/23/2014,-,,-,,,(2),,
174,"Chesapeake Research Review, LLC and Schulman Associates Institutional Review Board, Inc. (18)",Provider of central institutional review boards over clinical trials,First lien senior secured loan ($3.8 par due 11/2023),8.35% (Libor + 5.75%/Q),2/28/2019,3.8,,3.8,,,(2)(14),,
175,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),,9/11/2015,-,,-,,,(2),,
176,Command Alkon Incorporated (18),Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($4.1 par due 9/2022),9.50% (Base Rate + 4.00%/M),9/1/2017,4.1,,4.0,,,(2)(14)(17),,
177,,,First lien senior secured loan ($20.3 par due 9/2023),7.49% (Libor + 5.00%/M),9/1/2017,20.3,,19.7,,,(2)(14),,
178,,,Second lien senior secured loan ($33.8 par due 3/2024),11.49% (Libor + 9.00%/M),9/1/2017,33.8,,31.7,,,(2)(14),,
179,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",,12/15/2014,2.3,,2.2,,,(2),,
180,,,"Class B-1 common stock (4,132 units)",,12/15/2014,0.5,,0.4,,,(2),,
181,,,"Class C-1 common stock (4,132 units)",,12/15/2014,0.3,,0.3,,,(2),,
182,,,"Class A-2 common stock (4,132 units)",,12/15/2014,-,,-,,,(2),,
183,,,"Class B-2 common stock (4,132 units)",,12/15/2014,-,,-,,,(2),,
184,,,"Class C-2 common stock (4,132 units)",,12/15/2014,-,,-,,,(2),,
185,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,First lien senior secured loan ($1.8 par due 4/2018),,12/19/2014,1.3,,-,,,(2)(13),,
186,,,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock (expires 12/2024)",,12/19/2014,-,,-,,,(2),,
187,"Display Holding Company, Inc., Saldon Holdings, Inc. and Fastsigns Holdings Inc. (18)",Provider of visual communications solutions,First lien senior secured revolving loan ($0.1 par due 3/2024),9.25% (Base Rate + 3.75%/Q),3/13/2019,0.1,,0.1,,,(2)(14),,
188,,,First lien senior secured loan ($16.4 par due 3/2025),7.25% (Libor + 4.75%/M),3/13/2019,16.4,,16.3,,,(2)(14),,
189,,,Common units (600 units),,3/13/2019,0.6,,0.6,,,(2),,
190,Doxim Inc. (8)(18),Enterprise content management provider,First lien senior secured loan ($0.6 par due 2/2024),8.48% (Libor + 6.00%/M),2/28/2018,0.6,,0.6,,,(2)(11)(14),,
191,,,First lien senior secured loan ($4.2 par due 2/2024),8.61% (Libor + 6.00%/Q),2/28/2018,4.2,,4.2,,,(2)(11)(14),,
192,,,First lien senior secured loan ($10.2 par due 2/2024),8.60% (Libor + 6.00%/Q),2/28/2018,10.1,,10.2,,,(2)(11)(14),,
193,"DRB Holdings, LLC (18)",Provider of integrated technology solutions to car wash operators,First lien senior secured revolving loan ($3.3 par due 10/2023),8.61% (Libor + 6.00%/Q),10/6/2017,3.3,,3.3,,,(2)(14),,
194,,,First lien senior secured revolving loan ($2.0 par due 10/2023),10.50% (Base Rate + 5.00%/S),10/6/2017,2.0,,2.0,,,(2)(14),,
195,,,First lien senior secured loan ($23.7 par due 10/2023),8.60% (Libor + 6.00%/Q),10/6/2017,23.7,,23.7,,,(3)(14),,
196,"DTI Holdco, Inc. and OPE DTI Holdings, Inc. (18)",Provider of legal process outsourcing and managed services,First lien senior secured revolving loan ($0.9 par due 9/2021),7.00% (Libor + 4.50%/M),9/23/2016,0.9,,0.9,,,(2)(14),,
197,,,First lien senior secured revolving loan ($1.3 par due 9/2021),6.99% (Libor + 4.50%/M),9/23/2016,1.3,,1.3,,,(2)(14),,
198,,,"Class A common stock (7,500 shares)",,8/19/2014,7.5,,7.4,,,(2),,
199,,,"Class B common stock (7,500 shares)",,8/19/2014,-,,-,,,(2),,
200,"Emergency Communications Network, LLC (18)",Provider of mission critical emergency mass notification solutions,First lien senior secured loan ($25.1 par due 6/2023),8.75% (Libor + 6.25%/M),6/1/2017,24.9,,24.1,,,(2)(14),,
201,,,First lien senior secured loan ($19.7 par due 6/2023),8.75% (Libor + 6.25%/M),6/1/2017,19.6,,18.9,,,(4)(14),,
202,"Entertainment Partners, LLC and Entertainment Partners Canada Inc. (18)",Provider of entertainment workforce and production management solutions,First lien senior secured loan ($2.7 par due 5/2022),7.47% (CIBOR + 5.50%/M),5/8/2017,2.6,,2.6,,,(2)(8)(14),,
203,,,First lien senior secured loan ($1.0 par due 5/2022),7.69% (CIBOR + 5.50%/Q),5/8/2017,0.9,,0.9,,,(2)(8)(14),,
204,,,First lien senior secured loan ($2.7 par due 5/2022),7.85% (CIBOR + 5.50%/S),5/8/2017,2.6,,2.6,,,(2)(8)(14),,
205,,,First lien senior secured loan ($21.8 par due 5/2023),8.25% (Libor + 5.75%/M),5/8/2017,21.8,,21.8,,,(3)(14),,
206,,,First lien senior secured loan ($26.4 par due 5/2023),8.49% (Libor + 5.75%/Q),5/8/2017,26.4,,26.4,,,(3)(14),,
207,,,First lien senior secured loan ($26.4 par due 5/2023),8.59% (Libor + 5.75%/Q),5/8/2017,26.4,,26.4,,,(3)(14),,
208,Episerver Inc. and Goldcup 17308 AB (18),Provider of web content management and digital commerce solutions,First lien senior secured loan ($27.7 par due 10/2024),8.25% (Libor + 5.75%/M),10/9/2018,27.7,,27.4,,,(2)(14),,
209,,,First lien senior secured loan ($6.1 par due 10/2024),8.61% (EURIBOR + 6.00%/Q),3/22/2019,6.1,,6.1,,,(2)(8)(14),,
210,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock (expires 3/2024)",,3/20/2014,-,,-,,,(2),,
211,"Foundation Risk Partners, Corp. (18)",Full service independent insurance agency,First lien senior secured revolving loan ($3.6 par due 11/2023),7.35% (Libor + 4.75%/Q),11/10/2017,3.6,,3.6,,,(2)(14),,
212,,,First lien senior secured loan ($22.2 par due 11/2023),7.35% (Libor + 4.75%/Q),11/10/2017,22.2,,22.2,,,(3)(14),,
213,,,Second lien senior secured loan ($6.3 par due 11/2024),11.20% (Libor + 8.50%/Q),8/9/2018,6.3,,6.3,,,(2)(14),,
214,,,Second lien senior secured loan ($15.4 par due 11/2024),11.10% (Libor + 8.50%/Q),8/9/2018,15.4,,15.4,,,(2)(14),,
215,,,Second lien senior secured loan ($19.1 par due 11/2024),11.10% (Libor + 8.50%/Q),8/9/2018,19.1,,19.1,,,(2)(14),,
216,,,Second lien senior secured loan ($27.5 par due 11/2024),11.10% (Libor + 8.50%/Q),11/10/2017,27.5,,27.5,,,(2)(14),,
217,Genesis Acquisition Co. and Genesis Holding Co. (18),Child care management software and services provider,First lien senior secured loan ($5.5 par due 7/2024),6.60% (Libor + 4.00%/Q),7/31/2018,5.5,,5.5,,,(2)(14),,
218,,,Second lien senior secured loan ($25.8 par due 7/2025),10.24% (Libor + 7.50%/Q),7/31/2018,25.8,,25.8,,,(2)(14),,
219,,,Class A common stock (8 shares),,7/31/2018,0.8,,0.8,,,(2),,
220,"GTCR-Ultra Holdings III, LLC and GTCR-Ultra Holdings LLC (18)",Provider of payment processing and merchant acquiring solutions,First lien senior secured loan ($6.5 par due 8/2024),7.75% (Libor + 5.25%/M),8/1/2017,6.5,,6.5,,,(2)(14),,
221,,,Class A-2 units (911 units),,8/1/2017,0.9,,1.3,,,(2),,
222,,,"Class B units (2,878,372 units)",,8/1/2017,-,,-,,,(2),,
223,"HAI Acquisition Corporation and Aloha Topco, LLC (18)","Professional employer organization offering human resources, compliance and risk management services",First lien senior secured loan ($66.0 par due 11/2024),8.74% (Libor + 6.00%/Q),11/1/2017,66.0,,66.0,,,(3)(14),,
224,,,"Class A units (16,980 units)",,11/1/2017,1.7,,2.1,,,(2),,
225,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock (expires 10/2022)",,10/15/2012,0.1,,0.1,,,(2),,
226,"Implementation Management Assistance, LLC (18)",Revenue cycle consulting firm to the healthcare industry,First lien senior secured revolving loan ($10.3 par due 12/2023),7.10% (Libor + 4.50%/Q),12/13/2017,10.3,,10.1,,,(2)(14),,
227,,,First lien senior secured loan ($16.9 par due 12/2023),7.10% (Libor + 4.50%/Q),12/13/2017,16.9,,16.6,,,(2)(14),,
228,"Infinite Electronics, Inc. (18)",Manufacturer and distributor of radio frequency and microwave electronic components,First lien senior secured revolving loan,-,7/2/2018,-,,-,,,(16),,
229,,,First lien senior secured loan ($10.3 par due 7/2025),6.50% (Libor + 4.00%/M),7/2/2018,10.3,,10.3,,,(2)(14),,
230,"Infogix, Inc. and Infogix Parent Corporation (18)",Enterprise data analytics and integrity software solutions provider,"Series A preferred stock (2,475 shares)",9.00% PIK,1/3/2017,2.5,,2.5,,,,,
231,,,"Common stock (1,297,768 shares)",,1/3/2017,-,,-,,,,,
232,"Inmar, Inc.","Technology-driven solutions provider for retailers, wholesalers and manufacturers",First lien senior secured loan ($26.8 par due 5/2024),6.60% (Libor + 4.00%/Q),1/31/2019,25.4,,25.4,,,(2)(14),,
233,,,Second lien senior secured loan ($28.3 par due 5/2025),10.60% (Libor + 8.00%/Q),4/25/2017,28.0,,27.4,,,(2)(14),,
234,"InterVision Systems, LLC and InterVision Holdings, LLC","Provider of cloud based IT solutions, infrastructure and services",First lien senior secured loan ($16.4 par due 5/2022),10.26% (Libor + 7.77%/M),5/31/2017,16.4,,15.5,,,(2)(14),,
235,,,First lien senior secured loan ($24.7 par due 5/2022),10.97% (Libor + 8.47%/M),5/31/2017,24.7,,23.5,,,(2)(14),,
236,,,First lien senior secured loan ($10.0 par due 5/2022),10.97% (Libor + 8.47%/M),5/31/2017,10.0,,9.5,,,(4)(14),,
237,,,"Class A membership units (1,000 units)",,5/31/2017,1.0,,0.4,,,,,
238,"Invoice Cloud, Inc. (18)",Provider of electronic payment processing solutions,First lien senior secured loan ($32.4 par due 2/2024),9.20% (Libor + 6.50%/Q),2/11/2019,32.4,,32.1,,,(2)(14),,
239,"iParadigms Holdings, LLC",Anti-plagiarism software provider to the education market,Second lien senior secured loan ($32.5 par due 7/2022),9.85% (Libor + 7.25%/Q),1/3/2017,32.1,,32.5,,,(2)(14),,
240,"iPipeline, Inc., Internet Pipeline, Inc., iPipeline Limited and iPipeline Holdings, Inc. (18)",Provider of SaaS-based software solutions to the insurance and financial services industry,First lien senior secured loan ($11.4 par due 8/2022),7.25% (Libor + 4.75%/M),12/18/2017,11.7,,11.4,,,(2)(8)(14),,
241,,,First lien senior secured loan ($7.4 par due 8/2022),7.25% (Libor + 4.75%/M),6/15/2017,7.4,,7.4,,,(4)(14),,
242,,,First lien senior secured loan ($5.0 par due 8/2022),7.25% (Libor + 4.75%/M),9/15/2017,5.0,,5.0,,,(4)(14),,
243,,,First lien senior secured loan ($16.2 par due 8/2022),7.25% (Libor + 4.75%/M),8/4/2015,16.2,,16.2,,,(3)(14),,
244,,,First lien senior secured loan ($14.5 par due 8/2022),7.25% (Libor + 4.75%/M),8/4/2015,14.5,,14.5,,,(4)(14),,
245,,,"Preferred stock (1,100 shares)",,8/4/2015,1.1,,5.2,,,(2),,
246,,,"Common stock (668,781 shares)",,8/4/2015,-,,0.1,,,(2),,
247,"IRI Holdings, Inc., IRI Group Holdings, Inc. and IRI Parent, L.P.",Market research company focused on the consumer packaged goods industry,First lien senior secured loan ($31.6 par due 11/2025),7.13% (Libor + 4.50%/Q),11/30/2018,31.3,,30.9,,,(2)(14),,
248,,,First lien senior secured loan ($34.9 par due 11/2025),7.13% (Libor + 4.50%/Q),11/30/2018,34.6,,34.2,,,(3)(14),,
249,,,Second lien senior secured loan ($86.8 par due 11/2026),10.63% (Libor + 8.00%/Q),11/30/2018,85.3,,85.1,,,(2)(14),,
250,,,"Series A-1 preferred shares (46,900 shares)",13.39% PIK (Libor + 10.79%),11/30/2018,48.3,,49.0,,,(2)(14),,
251,,,"Class A-1 common units (90,500 units)",,11/30/2018,9.1,,9.1,,,(2),,
252,"Kaufman, Hall & Associates, LLC (18)",Provider of specialty advisory services and software solutions to the healthcare market,First lien senior secured revolving loan ($0.5 par due 11/2023),7.49% (Libor + 5.00%/M),11/9/2018,0.5,,0.5,,,(2)(14),,
253,,,First lien senior secured loan ($5.5 par due 5/2025),7.74% (Libor + 5.25%/M),11/9/2018,5.5,,5.4,,,(2)(14),,
254,,,First lien senior secured loan ($8.2 par due 5/2025),7.74% (Libor + 5.25%/M),11/9/2018,8.2,,8.1,,,(4)(14),,
255,,,First lien senior secured loan ($4.5 par due 5/2025),7.93% (Libor + 5.25%/S),11/9/2018,4.5,,4.5,,,(2)(14),,
256,,,First lien senior secured loan ($6.8 par due 5/2025),7.93% (Libor + 5.25%/S),11/9/2018,6.8,,6.7,,,(4)(14),,
257,Labstat International Inc. (8)(18),Lab testing services for nicotine containing products,First lien senior secured loan ($5.2 par due 6/2024),8.27% (CIBOR + 6.25%/Q),10/19/2018,5.2,,5.1,,,(2)(14),,
258,,,First lien senior secured loan ($19.9 par due 6/2024),8.27% (CIBOR + 6.25%/Q),6/25/2018,19.6,,19.6,,,(2)(14),,
259,LLSC Holdings Corporation (dba Lawrence Merchandising Services) (7),Marketing services provider,"Series A preferred stock (9,000 shares)",,1/3/2017,1.8,,0.4,,,,,
260,,,"Common stock (1,000 shares)",,1/3/2017,-,,-,,,,,
261,"Masergy Holdings, Inc. (18)","Provider of software-defined solutions for enterprise global networks, cyber security, and cloud communications",First lien senior secured revolving loan,-,2/8/2018,-,,-,,,(16),,
262,"Ministry Brands, LLC and MB Parent HoldCo, L.P. (dba Community Brands) (18)",Software and payment services provider to faith-based institutions,First lien senior secured loan ($4.9 par due 12/2022),6.50% (Libor + 4.00%/M),8/22/2017,4.9,,4.9,,,(2)(14),,
263,,,First lien senior secured loan ($10.5 par due 12/2022),6.50% (Libor + 4.00%/M),4/6/2017,10.5,,10.5,,,(2)(14),,
264,,,First lien senior secured loan ($14.5 par due 12/2022),6.50% (Libor + 4.00%/M),4/6/2017,14.4,,14.5,,,(2)(14),,
265,,,Second lien senior secured loan ($16.6 par due 6/2023),11.88% (Libor + 9.25%/Q),12/2/2016,16.6,,16.6,,,(2)(14),,
266,,,Second lien senior secured loan ($2.5 par due 6/2023),11.88% (Libor + 9.25%/Q),8/22/2017,2.5,,2.5,,,(2)(14),,
267,,,Second lien senior secured loan ($15.4 par due 6/2023),11.88% (Libor + 9.25%/Q),8/22/2017,15.4,,15.4,,,(2)(14),,
268,,,Second lien senior secured loan ($4.7 par due 6/2023),11.88% (Libor + 9.25%/Q),4/6/2017,4.7,,4.7,,,(2)(14),,
269,,,Second lien senior secured loan ($0.2 par due 6/2023),10.50% (Libor + 8.00%/M),4/18/2018,0.2,,0.2,,,(2)(14),,
270,,,Second lien senior secured loan ($2.2 par due 6/2023),10.50% (Libor + 8.00%/M),4/18/2018,2.2,,2.2,,,(2)(14),,
271,,,Second lien senior secured loan ($7.0 par due 6/2023),10.63% (Libor + 8.00%/Q),4/18/2018,7.0,,7.0,,,(2)(14),,
272,,,Second lien senior secured loan ($0.8 par due 6/2023),10.63% (Libor + 8.00%/Q),4/18/2018,0.8,,0.8,,,(2)(14),,
273,,,Second lien senior secured loan ($9.2 par due 6/2023),11.88% (Libor + 9.25%/Q),4/6/2017,9.2,,9.2,,,(2)(14),,
274,,,Second lien senior secured loan ($38.6 par due 6/2023),10.63% (Libor + 8.00%/Q),4/18/2018,38.6,,38.6,,,(2)(14),,
275,,,Second lien senior secured loan ($75.0 par due 6/2023),11.88% (Libor + 9.25%/Q),12/2/2016,74.5,,75.0,,,(2)(14),,
276,,,Second lien senior secured loan ($15.0 par due 6/2023),11.88% (Libor + 9.25%/Q),12/2/2016,14.9,,15.0,,,(3)(14),,
277,,,"Class A units (500,000 units)",,12/2/2016,5.0,,6.4,,,(2),,
278,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",,4/1/2010,-,,-,,,(2),,
279,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers",Second lien senior secured loan ($24.1 par due 12/2021),11.35% (Libor + 8.75%/Q),6/1/2015,24.1,,24.1,,,(2)(14),,
280,,,Second lien senior secured loan ($7.0 par due 12/2021),11.35% (Libor + 8.75%/Q),6/1/2015,7.0,,7.0,,,(2)(14),,
281,"Novetta Solutions, LLC","Provider of advanced analytics solutions for the government, defense and commercial industries",First lien senior secured loan ($8.6 par due 10/2022),7.50% (Libor + 5.00%/M),1/3/2017,8.4,,8.3,,,(4)(14),,
282,,,Second lien senior secured loan ($31.0 par due 10/2023),11.00% (Libor + 8.50%/M),1/3/2017,29.1,,28.5,,,(2)(14),,
283,"NSM Insurance Group, LLC",Insurance program administrator,First lien senior secured loan ($13.1 par due 5/2024),7.10% (Libor + 4.50%/Q),5/11/2018,13.1,,13.1,,,(3)(14),,
284,"PayNearMe, Inc.",Electronic cash payment system provider,"Warrant to purchase up to 195,726 shares of Series E preferred stock (expires 3/2023)",,3/11/2016,0.2,,-,,,(2),,
285,"PDI TA Holdings, Inc., Peachtree Parent, Inc. and Insight PDI Holdings, LLC (18)",Provider of enterprise management software for the convenience retail and petroleum wholesale market,First lien senior secured loan ($55.0 par due 10/2024),7.13% (Libor + 3.50%/Q),3/19/2019,55.0,,54.9,,,(2)(14),,
286,,,Second lien senior secured loan ($70.1 par due 10/2025),11.13% (Libor + 8.50%/Q),3/19/2019,70.1,,70.0,,,(2)(14),,
287,,,"Series A preferred shares (13,656 shares)",13.25% PIK,3/19/2019,13.4,,13.7,,,(2),,
288,,,"Class A units (1,942,225 units)",,3/19/2019,1.9,,1.9,,,(2),,
289,"Perforce Software, Inc. (18)",Developer of software used for application development,First lien senior secured loan ($47.9 par due 12/2024),9.00% (Base Rate + 3.50%/M),2/8/2019,47.6,,47.6,,,(2)(14),,
290,"PHL Investors, Inc., and PHL Holding Co. (7)",Mortgage services,Class A common stock (576 shares),,7/31/2012,3.8,,-,,,(2),,
291,"PHNTM Holdings, Inc. and Planview Parent, Inc.",Provider of project and portfolio management software,Second lien senior secured loan ($62.0 par due 7/2023),12.25% (Libor + 9.75%/M),1/27/2017,61.4,,62.0,,,(2)(14),,
292,,,Class A common shares (990 shares),,1/27/2017,1.0,,1.8,,,(2),,
293,,,"Class B common shares (168,329 shares)",,1/27/2017,-,,0.3,,,(2),,
294,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",,6/25/2015,0.1,,-,,,(2),,
295,"Production Resource Group, L.L.C.","Provider of rental equipment, labor, production management, scenery, and other products to various entertainment end-markets",First lien senior secured loan ($21.0 par due 8/2024),9.65% (Libor + 7.00%/Q),8/21/2018,21.0,,20.2,,,(2)(14),,
296,,,First lien senior secured loan ($80.0 par due 8/2024),9.65% (Libor + 7.00%/Q),8/21/2018,80.0,,76.8,,,(3)(14),,
297,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common shares (7,445 shares)",,8/22/2016,7.4,,10.7,,,(2),,
298,,,"Class B common shares (1,841,609 shares)",,8/22/2016,0.1,,0.1,,,(2),,
299,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,5/29/2007,0.3,,0.2,,,(2),,
300,SCM Insurance Services Inc. (18),"Provider of claims management, claims investigation & support and risk management solutions for the Canadian property and casualty insurance industry",First lien senior secured revolving loan ($4.1 par due 8/2022),7.95% (Base Rate + 4.00%/Q),8/29/2017,4.1,,4.0,,,(2)(14),,
301,,,First lien senior secured loan ($20.2 par due 8/2024),6.97% (CIBOR + 5.00%/M),8/29/2017,21.2,,19.5,,,(2)(8)(14),,
302,,,Second lien senior secured loan ($57.8 par due 3/2025),10.97% (CIBOR + 9.00%/M),8/29/2017,60.5,,54.5,,,(2)(8)(14),,
303,Shift PPC LLC (18),Digital solutions provider,First lien senior secured loan ($1.0 par due 12/2021),7.00% (Libor + 4.50%/M),12/22/2016,1.0,,1.0,,,(2)(14),,
304,,,First lien senior secured loan ($1.0 par due 12/2021),7.38% (Libor + 4.50%/S),12/22/2016,1.0,,1.0,,,(2)(14),,
305,"SpareFoot, LLC (18)",PMS solutions and web services for the self-storage industry,First lien senior secured revolving loan ($0.3 par due 4/2023),6.74% (Libor + 4.25%/M),4/13/2018,0.3,,0.3,,,(2)(14),,
306,,,First lien senior secured loan ($1.2 par due 4/2024),6.74% (Libor + 4.25%/M),8/31/2018,1.1,,1.2,,,(2)(14),,
307,,,First lien senior secured loan ($4.7 par due 4/2024),6.74% (Libor + 4.25%/M),4/13/2018,4.6,,4.7,,,(2)(14),,
308,,,First lien senior secured loan ($0.5 par due 4/2024),6.75% (Libor + 4.25%/Q),3/29/2019,0.5,,0.5,,,(2)(14),,
309,,,Second lien senior secured loan ($4.2 par due 4/2025),10.75% (Libor + 8.25%/M),8/31/2018,4.1,,4.2,,,(2)(14),,
310,,,Second lien senior secured loan ($6.1 par due 4/2025),10.75% (Libor + 8.25%/M),4/13/2018,6.0,,6.1,,,(2)(14),,
311,"Sparta Systems, Inc., Project Silverback Holdings Corp. and Silverback Holdings, Inc. (18)",Quality management software provider,Second lien senior secured loan ($20.0 par due 8/2025),10.75% (Libor + 8.25%/M),8/21/2017,19.7,,16.8,,,(2)(14),,
312,,,"Series B preferred shares (10,084 shares)",,8/21/2017,1.1,,-,,,,,
313,Telestream Holdings Corporation (18),Provider of digital video tools and workflow solutions to the media and entertainment industries,First lien senior secured revolving loan,-,2/8/2018,-,,-,,,(16),,
314,"TU BidCo, Inc. (18)","Provider of outsourced customer service management solutions and back-office support services to e-commerce, software and tech-enabled services industries",First lien senior secured revolving loan,-,10/1/2018,-,,-,,,(16),,
315,,,First lien senior secured loan ($18.0 par due 10/2023),6.50% (Libor + 4.00%/M),10/1/2018,18.0,,17.9,,,(3)(14),,
316,"UL Holding Co., LLC (6)",Provider of collection and landfill avoidance solutions for food waste and unsold food products,Senior subordinated loan ($3.2 par due 5/2020),10.00% PIK,4/30/2012,1.2,,3.2,,,(2),,
317,,,Senior subordinated loan ($0.4 par due 5/2020),,4/30/2012,0.2,,0.4,,,(2),,
318,,,Senior subordinated loan ($6.9 par due 5/2020),10.00% PIK,4/30/2012,2.6,,6.9,,,(2),,
319,,,Senior subordinated loan ($0.5 par due 5/2020),,4/30/2012,0.2,,0.5,,,(2),,
320,,,Senior subordinated loan ($27.7 par due 5/2020),10.00% PIK,4/30/2012,10.6,,27.7,,,(2),,
321,,,Senior subordinated loan ($3.8 par due 5/2020),,4/30/2012,1.4,,3.8,,,(2),,
322,,,"Class A common units (533,351 units)",,6/17/2011,5.0,,0.2,,,(2),,
323,,,"Class B-5 common units (272,834 units)",,6/17/2011,2.5,,0.1,,,(2),,
324,,,"Class C common units (758,546 units)",,4/25/2008,-,,-,,,(2),,
325,,,"Warrant to purchase up to 719,044 shares of Class A units",,5/2/2014,-,,-,,,(2),,
326,,,"Warrant to purchase up to 28,663 shares of Class B-1 units",,5/2/2014,-,,-,,,(2),,
327,,,"Warrant to purchase up to 57,325 shares of Class B-2 units",,5/2/2014,-,,-,,,(2),,
328,,,"Warrant to purchase up to 29,645 shares of Class B-3 units",,5/2/2014,-,,-,,,(2),,
329,,,"Warrant to purchase up to 80,371 shares of Class B-5 units",,5/2/2014,-,,-,,,(2),,
330,,,"Warrant to purchase up to 59,655 shares of Class B-6 units",,5/2/2014,-,,-,,,(2),,
331,,,"Warrant to purchase up to 1,046,713 shares of Class C units",,5/2/2014,-,,-,,,(2),,
332,"Unison Software, Inc. (fka Compusearch Software Systems, Inc.)",Provider of enterprise software and services for organizations in the public sector,Second lien senior secured loan ($51.0 par due 11/2021),11.44% (Libor + 8.75%/Q),1/3/2017,51.0,,51.0,,,(3)(14),,
333,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",,12/13/2013,4.5,,3.6,,,,,
334,"Visual Edge Technology, Inc. (18)",Provider of outsourced office solutions with a focus on printer and copier equipment and other parts and supplies,First lien senior secured loan ($6.0 par due 8/2022),8.24% (Libor + 5.75%/M),8/31/2017,6.0,,6.0,,,(2)(14),,
335,,,First lien senior secured loan ($3.4 par due 8/2022),8.25% (Libor + 5.75%/M),8/31/2017,3.4,,3.4,,,(2)(14),,
336,,,First lien senior secured loan ($6.2 par due 8/2022),8.25% (Libor + 5.75%/M),8/31/2017,6.2,,6.2,,,(2)(14),,
337,,,First lien senior secured loan ($16.7 par due 8/2022),8.25% (Libor + 5.75%/M),8/31/2017,16.6,,16.7,,,(2)(14),,
338,,,Senior subordinated loan ($57.7 par due 9/2024),12.50% PIK,8/31/2017,54.5,,54.2,,,(2),,
339,,,"Warrant to purchase up to 1,961,452 shares of preferred stock (expires 8/2027)",,8/31/2017,3.9,,3.9,,,(2),,
340,,,"Warrant to purchase up to 1,720,432 shares of common stock (expires 8/2027)",,8/31/2017,-,,-,,,(2),,
341,"VRC Companies, LLC (18)",Provider of records and information management services,First lien senior secured revolving loan ($0.8 par due 3/2022),9.00% (Libor + 6.50%/M),4/17/2017,0.8,,0.8,,,(2)(14),,
342,,,First lien senior secured revolving loan ($0.2 par due 3/2022),11.00% (Base Rate + 5.50%/Q),4/17/2017,0.2,,0.2,,,(2)(14),,
343,,,First lien senior secured loan ($0.2 par due 3/2023),9.00% (Libor + 6.50%/M),1/29/2019,0.2,,0.2,,,(2)(14),,
344,,,First lien senior secured loan ($1.6 par due 3/2023),9.00% (Libor + 6.50%/M),1/29/2019,1.6,,1.6,,,(2)(14),,
345,,,First lien senior secured loan ($9.1 par due 3/2023),9.00% (Libor + 6.50%/M),3/31/2017,9.1,,9.1,,,(2)(14),,
346,WorldPay Group PLC (8),Payment processing company,"C2 shares (73,974 shares)",,10/21/2015,-,,-,,,(21),,
347,"Worldwide Facilities, LLC (18)",Specialty insurance wholesale broker,First lien senior secured revolving loan ($0.4 par due 4/2024),6.75% (Libor + 4.25%/M),5/3/2018,0.4,,0.4,,,(2)(14),,
348,"XIFIN, Inc. (18)",Revenue cycle management provider to labs,First lien senior secured revolving loan,-,2/8/2018,-,,-,,,(16),,
349,"Zywave, Inc. (18)",Provider of software and technology-enabled content and analytical solutions to insurance brokers,First lien senior secured revolving loan ($6.3 par due 11/2022),7.50% (Libor + 5.00%/M),11/17/2016,6.3,,6.3,,,(2)(14),,
350,,,Second lien senior secured loan ($27.0 par due 11/2023),11.49% (Libor + 9.00%/M),11/17/2016,27.0,,27.0,,,(2)(14),,
351,,,,,,2249.5,,2247.8,,,,30.63,%
352,"Badger Sportswear Acquisition, Inc.",Provider of team uniforms and athletic wear,Second lien senior secured loan ($56.8 par due 3/2024),11.50% (Libor + 9.00%/M),9/6/2016,56.7,,55.1,,,(2)(14),,
353,"BRG Sports, Inc.","Designer, manufacturer and licensor of branded sporting goods","Preferred stock (2,009 shares)",,1/3/2017,-,,0.2,,,,,
