,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,
266,Only About Children,Only About Children,,,,,,,,
267,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"7.75 (1M BBSW+675, 1.00 Floor)",04/06/24,A$,6768,4938,4949,(17)
268,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,3.04 Unfunded,04/06/24,A$,232,(6),(7),(8)(17)  (21)(23)
269,,Nemo (BC) Bidco Pty Ltd,4932,4942,,,,,,
270,Paper Source,Paper Source,,,,,,,,
271,,"Paper Source, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",05/22/24,11322,11179,8831,(9),
272,,"Paper Source, Inc.",First Lien Secured Debt,"11.00 (1M L+1000, 1.00 Floor)",06/30/21,1691,1691,1691,(9),
273,,"Paper Source, Inc.",First Lien Secured Debt,"13.00 (3M L+1200, 1.00 Floor)",02/26/21,556,556,434,(9)(11),
274,,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.00 (3M L+700, 1.00 Floor)",05/22/24,3082,3044,2404,(9)(23),
275,,"Paper Source, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/30/21,1597,(75),0,(9)(21) (23),
276,"Pinstripe Holdings, LLC","Pinstripe Holdings, LLC",,,,,,,,
277,,"Pinstripe Holdings, LLC",First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",01/17/25,6860,6773,6798,,
278,The Club Company,The Club Company,,,,,,,,
279,,Eldrickco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625 PIK, 0.50 Floor)",11/21/25,£,10976,13797,14336,(9)(17)
280,,Eldrickco Limited,First Lien Secured Debt - Revolver,"6.75 (6M GBPL+625 PIK, 0.50 Floor)",05/21/25,£,356,410,464,(9)(17)  (23)
281,,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,11/21/25,£,3934,(85),(253),(8)(9)  (17)(21)(23)
282,,Eldrickco Limited,14122,14547,,,,,,
283,US Auto,US Auto,,,,,,,,
284,,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",04/17/24,11842,11875,11810,(9),
285,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",04/17/24,6734,6734,6715,(9)(23),
286,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/17/24,6600,(36),(18),(8)(9)  (21)(23),
287,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/17/24,8222,(21),0,(9)(21)  (23),
288,,"U.S. Auto Finance, Inc.",18552,18507,,,,,,
290,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
291,Celink,Celink,,,,,,,,
292,,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/11/24,2273,(33),(27),(8)(9)  (21)(23),
293,,"Peer Advisors, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/11/24,19034,18759,18809,(9),
294,,"Peer Advisors, LLC",18726,18782,,,,,,
295,"Exeter Property Group, LLC","Exeter Property Group, LLC",,,,,,,,
296,,"Exeter Property Group, LLC",First Lien Secured Debt,4.62 (1M L+450),08/28/24,4550,4508,4550,(9),
297,,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/28/24,192,(2),0,(9)(21)  (23),
298,,"Exeter Property Group, LLC",4506,4550,,,,,,
299,"Flock Financial, LLC","Flock Financial, LLC",,,,,,,,
300,,"Flock SPV I, LLC",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",08/30/22,14533,14505,14388,(9)(17),
301,,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/22,1333,(5),(13),(8)(9)  (17)(21)(23),
302,,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,4133,(38),(41),(8)(9)  (17)(21)(23),
303,,"Flock SPV I, LLC",14462,14334,,,,,,
304,Golden Bear,Golden Bear,,,,,,,,
305,,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,09/20/42,N/A,16812,11289,(3)(17),,
306,"Purchasing Power, LLC","Purchasing Power, LLC",,,,,,,,
307,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",01/24/24,8383,8384,8334,(9)(23),
308,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.40 Unfunded,01/24/24,729,0,(4),(8)(9)  (21)(23),
309,,"Purchasing Power Funding I, LLC",8384,8330,,,,,,
310,"Ten-X, LLC","Ten-X, LLC",,,,,,,,
311,,"Ten-X, LLC",First Lien Secured Debt - Revolver,3.36 (1M L+325),09/29/22,4680,4554,4485,(23),
313,Education,Education,,,,,,,,
314,NFA Group,NFA Group,,,,,,,,
315,,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.75 (6M GPBL+625, 0.50 Floor)",07/30/25,£,30000,36161,41159,(9)(17)
317,Energy – Electricity,Energy – Electricity,,,,,,,,
318,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
319,,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,498,(15)(17)  (25),
320,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,42,(13)(25),
321,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,28,(13)(25),
322,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series E Preferred Stock,N/A,N/A,"441,576 Shares",1902,5106,(13)(17)  (25),
323,,Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"671,194 Shares",671,776,(13)(17)  (25),
324,,Renew JV LLC (4),17018,6450,,,,,,
325,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
326,,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,2534,(14)(17)
327,,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5623,0,(2)(13)  (17),
328,,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)  (17),
329,,Solarplicity UK Holdings Limited,13264,2534,,,,,,
331,Energy – Oil & Gas,Energy – Oil & Gas,,,,,,,,
332,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
333,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK,03/29/21,41121,36926,8111,(11)(14),
334,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13)(25),
335,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",67004,8111,,,,,,
336,Pelican,Pelican,,,,,,,,
337,,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",16764,2170,(13)(16)  (17)(25),
338,Spotted Hawk,Spotted Hawk,,,,,,,,
339,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,14.00 (8.00 Cash plus 6.00  PIK),07/31/21,47511,44059,9899,(14),
340,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,14.00 PIK,07/31/21,89434,44380,0,(14),
341,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/21,24728,24728,25470,,
342,,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16)  (25),
343,,"SHD Oil & Gas, LLC (5)",114578,35369,,,,,,
345,Environmental Industries,Environmental Industries,,,,,,,,
346,Ortega National Parks,Ortega National Parks,,,,,,,,
347,,"Ortega National Parks, LLC",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",10/31/25,11603,11429,11132,(9),
348,,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1366,(31),(55),(8)(9)  (21)(23),
349,,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/31/25,6202,(51),(252),(8)(9)  (21)(23),
351,Healthcare & Pharmaceuticals,Healthcare & Pharmaceuticals,,,,,,,,
352,Akoya,Akoya,,,,,,,,
353,,"Akoya Biosciences, Inc.",First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",10/27/25,9750,9746,9735,(9),
354,,"Akoya Biosciences, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/27/25,1500,(7),(2),(8)(9)  (21)(23),
355,,"Akoya Biosciences, Inc.",9739,9733,,,,,,
356,AmeriVet,AmeriVet,,,,,,,,
357,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",06/05/24,1517,1500,1514,(9),
358,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",06/05/24,26883,26509,26827,(9),
359,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (2M L+525, 1.00 Floor)",06/05/24,912,901,911,(9),
360,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,7.50 (P+425),06/05/24,524,524,523,(9)(23),
361,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,282,(11),(1),(8)(9)  (21)(23),
362,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,4519,(72),(9),(8)(9)  (21)(23),
363,,Amerivet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,192,(9)(13),
364,,Amerivet Partners Parent LP,29476,29957,,,,,,
365,Analogic,Analogic,,,,,,,,
366,,Analogic Corporation,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,18033,17789,17762,(9),
367,,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,1826,(20),(27),(8)(9)  (21)(23),
368,,Analogic Corporation,17769,17735,,,,,,
369,"BioClinica Holding I, LP","BioClinica Holding I, LP",,,,,,,,
370,,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",10/21/24,24612,24359,24501,,
371,BK Medical,BK Medical,,,,,,,,
372,,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,7231,7179,7187,(9),
373,,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/24,783,(5),(2),(8)(9)  (21)(23),
374,,"BK Medical Holding Company, Inc.",7174,7185,,,,,,
375,CARE Fertility,CARE Fertility,,,,,,,,
376,,Royton Bidco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625, 0.50 Floor)",05/09/25,£,15510,19796,21093,(9)(17)
377,,Royton Bidco Limited,First Lien Secured Debt,"6.75 (1M GBPL+625, 0.50 Floor)",05/09/25,£,2147,2701,2920,(9)(17)
378,,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.19 Unfunded,05/09/25,£,2265,(59),(45),(8)(9)  (17)(21)(23)
379,,Royton Bidco Limited,22438,23968,,,,,,
380,Cerus,Cerus,,,,,,,,
381,,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,16500,16452,16830,(9)(17),
382,,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55 (1M L+375, 1.80 Floor)",03/01/24,125,125,127,(9)(17)  (23),
383,,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,875,(1),0,(9)(17)  (21)(23),
384,,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,4500,(13),0,(9)(17)  (21)(23),
385,,Cerus Corporation,16563,16957,,,,,,
386,Dohmen Life Science Services,Dohmen Life Science Services,,,,,,,,
387,,"LSCS Holdings, Inc",Second Lien Secured Debt,8.51 (6M L+825),03/16/26,19818,19530,19285,,
388,Emmes Corporation,Emmes Corporation,,,,,,,,
389,,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,475,(9)(13),
390,,"The Emmes Company, LLC",First Lien Secured Debt,"6.00 (6M L+500, 1.00 Floor)",03/03/25,12000,11882,11760,(9),
391,,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(24),(49),(8)(9)  (21)(23),
392,,"The Emmes Company, LLC",12164,12186,,,,,,
393,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",,,,,,,,
394,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/08/23,85870,(305),"(1,511)",(8)(9)  (21)(23),
395,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,6087,0,(91),(8)(9)  (21)(23),
396,,"Genesis Healthcare, Inc.",(305),"(1,602)",,,,,,
397,Gossamer,Gossamer,,,,,,,,
398,,"GB001, Inc.",First Lien Secured Debt,"9.00 (1M L+700, 2.00 Floor)",01/01/25,6000,5995,6120,(9)(17),
399,,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,01/01/25,24000,(156),0,(9)(17)  (21)(23),
400,,"GB001, Inc.",5839,6120,,,,,,
401,Health & Safety Institute,Health & Safety Institute,,,,,,,,
402,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",08/31/26,8981,8886,8852,(9),
403,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",08/30/25,135,135,134,(9)(23),
404,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/25,677,(6),(7),(8)(9)  (21)(23),
405,,"HSI Halo Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,517,(9)(13),
406,,"HSI Halo Acquisition, Inc.",9515,9496,,,,,,
407,IMA Group,IMA Group,,,,,,,,
408,,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",05/30/24,458,454,439,,
409,,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",05/30/24,4616,4587,4432,,
410,,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",05/30/24,289,287,277,(23),
411,,"IMA Group Management Company, LLC",5328,5148,,,,,,
412,Kindeva,Kindeva,,,,,,,,
413,,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",05/01/26,1820,1781,1804,(9),
414,,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Revolver,"7.00 (1M L+600, 1.00 Floor)",05/01/25,50,50,50,(9)(23),
415,,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/01/25,117,(3),(1),(8)(9)  (21)(23),
416,,Kindeva Drug Delivery L.P.,1828,1853,,,,,,
417,KureSmart,KureSmart,,,,,,,,
418,,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,162,(9)(13),
419,,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",08/27/24,21880,21656,21493,(9),
420,,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/27/24,2654,(27),(47),(8)(9)  (21)(23),
421,,"Kure Pain Holdings, Inc.",21762,21608,,,,,,
422,"Lanai Holdings III, Inc. (Patterson Medical)","Lanai Holdings III, Inc. (Patterson Medical)",,,,,,,,
423,,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.50 (1M L+1050 PIK, 1.00 Floor)",08/28/23,19564,19385,19079,,
424,Mannkind Corporation,Mannkind Corporation,,,,,,,,
425,,Mannkind Corporation,First Lien Secured Debt,"8.75 (1M L+675, 2.00 Floor)",08/01/24,17333,17218,17888,(9),
426,,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,8667,(29),0,(9)(21)  (23),
427,,Mannkind Corporation,Warrants,N/A,N/A,"444,936 Shares",76,1492,(9)(13),
428,,Mannkind Corporation,17265,19380,,,,,,
429,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",,,,,,,,
430,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",11/22/23,23638,23379,23590,(9),
431,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(13),(1),(8)(9)  (21)(23),
432,,"Maxor National Pharmacy Services, LLC",23366,23589,,,,,,
433,Medical Guardian,Medical Guardian,,,,,,,,
434,,"Medical Guardian, LLC",First Lien Secured Debt,"8.75 (1M L+825, 0.50 Floor)",12/31/24,28571,28142,28374,(9),
435,,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,5714,(86),(39),(8)(9)  (21)(23),
436,,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/24,5714,(114),(39),(8)(9)  (21)(23),
437,,"Medical Guardian, LLC",27942,28296,,,,,,
438,Midwest Vision,Midwest Vision,,,,,,,,
439,,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",01/12/27,5704,5594,5647,(9),
440,,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/12/27,612,(12),(6),(8)(9)  (21)(23),
441,,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,01/12/27,3670,(35),(37),(8)(9)  (21)(23),
442,,"Midwest Vision Partners Management, LLC",5547,5604,,,,,,
443,Orchard,Orchard,,,,,,,,
444,,Orchard Therapeutics plc,First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",05/24/24,8333,8307,8400,(9)(17),
445,,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(53),0,(9)(17)  (21)(23),
446,,Orchard Therapeutics plc,8254,8400,,,,,,
447,Ovation Fertility,Ovation Fertility,,,,,,,,
448,,"FPG Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",06/13/25,13901,13713,13762,(9),
449,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(27),(21),(8)(9)  (21)(23),
450,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/13/25,3768,(37),(38),(8)(9)  (21)(23),
451,,"FPG Services, LLC",13649,13703,,,,,,
452,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",,,,,,,,
453,,"Partner Therapeutics, Inc",First Lien Secured Debt,"7.65 (1M L+665, 1.00 Floor)",01/01/23,10000,9934,9975,(9),
454,,"Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,416,(9)(13),
455,,"Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,103,(9)(13),
456,,"Partner Therapeutics, Inc",10402,10494,,,,,,
457,PHS,PHS,,,,,,,,
458,,"PHS Buyer, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",01/31/25,10203,10055,9947,(9),
459,,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(29),(50),(8)(9)  (21)(23),
460,,"PHS Buyer, Inc.",10026,9897,,,,,,
461,Radius Health,Radius Health,,,,,,,,
462,,"Radius Health, Inc.",First Lien Secured Debt,"7.75 (1M L+575, 2.00 Floor)",06/01/24,29000,28636,28623,(9)(17),
463,,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/01/24,1000,(2),(1),(8)(9)  (17)(21)(23),
464,,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/01/24,4833,0,0,(9)(17)  (21)(23),
465,,"Radius Health, Inc.",28634,28622,,,,,,
466,RHA Health Services,RHA Health Services,,,,,,,,
467,,"Pace Health Companies, LLC",First Lien Secured Debt,"5.50 (3M L+450, 1.00 Floor)",08/02/24,3914,3874,3902,(9),
468,,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/24,395,(7),(1),(8)(9)  (21)(23),
469,,"Pace Health Companies, LLC",First Lien Secured Debt - Letter of Credit,4.50,12/10/21,105,0,0,(9)(23),
470,,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/02/24,575,(27),(2),(8)(9)  (21)(23),
471,,"Pace Health Companies, LLC",3840,3899,,,,,,
472,Rigel Pharmaceuticals,Rigel Pharmaceuticals,,,,,,,,
473,,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.15 (1M L+565, 1.50 Floor)",09/01/24,6000,6012,6049,(9),
474,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",,,,,,,,
475,,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",09/13/23,13333,13155,13333,(9),
476,,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/23,2000,(27),0,(9)(21)  (23),
477,,"RiteDose Holdings I, Inc.",13128,13333,,,,,,
479,High Tech Industries,High Tech Industries,,,,,,,,
480,Acronis AG,Acronis AG,,,,,,,,
481,,Acronis AG,First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",12/18/24,21000,20922,20895,(9)(17),
482,American Megatrends,American Megatrends,,,,,,,,
483,,AMI US Holdings Inc.,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",04/01/25,21651,21362,21833,(9),
484,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.61 (1M L+550),04/01/24,2093,2093,2093,(9)(23),
485,,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,814,(35),0,(9)(21)  (23),
486,,AMI US Holdings Inc.,23420,23926,,,,,,
487,"Calero Holdings, Inc.","Calero Holdings, Inc.",,,,,,,,
488,,"Telesoft Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/16/25,22500,22101,22104,,
489,,"Telesoft Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/16/25,2273,(40),(40),(8)(21)  (23),
490,,"Telesoft Holdings, LLC",22061,22064,,,,,,
491,ChyronHego Corporation,ChyronHego Corporation,,,,,,,,
492,,ChyronHego Corporation (5),First Lien Secured Debt,"6.00 (3M L+350 Cash plus 1.50 PIK, 1.00 Floor)",12/31/22,84202,81644,81676,,
493,,ChyronHego Corporation (5),First Lien Secured Debt - Revolver,"6.00 (3M L+500, 1.00 Floor)",12/31/22,2406,2406,2334,(23),
494,,ChyronHego Corporation (5),First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/22,3594,0,(108),(8)(21)  (23),
495,,ChyronHego Corporation (5),Preferred Equity - Preferred Equity,N/A,N/A,"7,800 Shares",6000,6151,(13)(25),
496,,ChyronHego Corporation (5),90050,90053,,,,,,
497,Digital.ai,Digital.ai,,,,,,,,
498,,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",02/10/27,22581,21919,22242,(9),
499,,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/10/27,2419,(71),(36),(8)(9)  (21)(23),
500,,"Digital.ai Software Holdings, Inc.",21848,22206,,,,,,
501,GoHealth,GoHealth,,,,,,,,
502,,"Norvax, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/15/25,31341,30753,31654,(9),
503,,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,3182,(55),0,(9)(21)  (23),
504,,"Norvax, LLC",30698,31654,,,,,,
505,"International Cruise & Excursion Gallery, Inc.","International Cruise & Excursion Gallery, Inc.",,,,,,,,
506,,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",06/06/25,14587,14411,13350,,
507,LabVantage Solutions,LabVantage Solutions,,,,,,,,
508,,LabVantage Solutions Inc.,First Lien Secured Debt,"8.50 (1M L+750, 1.00 Floor)",09/30/21,7256,7236,7256,,
509,,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",09/30/21,€,8053,8642,9465,(17)
510,,LabVantage Solutions Limited,15878,16721,,,,,,
511,Magnitude Software,Magnitude Software,,,,,,,,
512,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",05/01/26,6796,6697,6694,(9),
513,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.00 (3M E+500, 1.00 Floor)",05/01/26,€,730,807,845,(9)
514,,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/01/26,2250,(16),(34),(8)(9)  (21)(23),
515,,New Amsterdam Software BidCo LLC,7488,7505,,,,,,
516,MYCOM,MYCOM,,,,,,,,
517,,Magnate Holding Corp.,First Lien Secured Debt,"7.75 (3M L+625 Cash plus 1 PIK, 0.50 Floor)",12/16/24,18112,17959,15575,(9)(17),
518,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.75 (3M L+625 Cash plus 1 PIK, 0.50 Floor)",12/14/23,2970,2970,2554,(9)(17)  (23),
519,,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,2.19 Unfunded,12/14/23,221,(27),(31),(8)(9)  (17)(21)(23),
520,,Magnate Holding Corp.,First Lien Secured Debt - Letter of Credit,6.25,04/22/21,140,0,(20),(8)(9)  (17)(23),
521,,Magnate Holding Corp.,20902,18078,,,,,,
522,"Omnitracs, LLC","Omnitracs, LLC",,,,,,,,
523,,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.375 Unfunded,03/23/23,3750,(133),(263),(8)(21)  (23),
524,Pro Vigil,Pro Vigil,,,,,,,,
525,,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"9.50 (1M L+850, 1.00 Floor)",01/13/25,8000,7774,7760,(9),
526,,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,01/13/25,2000,(33),(60),(8)(9)  (21)(23),
