,Industry,Company,Investment_Type,Interest Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
356,LucidHealth,"Premier Imaging, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",01/02/25,12480,7628,7614,(9)(21)(23)  (26),
358,Mannkind Corporation,Mannkind Corporation,First Lien Secured Debt,"L+675, 1.00 Floor",08/01/25,13866,13793,14058,(9)(26),
359,Mannkind Corporation,Mannkind Corporation,First Lien Secured Debt,"L+625, 1.00 Floor",08/01/25,30000,(23),0,(9)(23),
360,Mannkind Corporation,Mannkind Corporation,Common Equity - Common Stock,N/A,N/A,"334,226 Shares",76,1230,(9)(10)(13)  (17),
363,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",12/06/27,23436,23206,23145,(9)(28),
364,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",12/06/26,1558,(11),(20),(8)(9)(21)  (23),
367,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",10/26/26,36112,30882,30966,(9)(21)(23)  (26),
368,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",10/26/26,3810,(52),(41),(8)(9)(21)  (23),
371,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",01/12/27,24261,21431,21601,(9)(21)(23)  (28)(29),
372,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",01/12/27,612,602,606,(9)(23)(28),
375,Orchard,Orchard Therapeutics PLC,First Lien Secured Debt,"L+595, 1.00 Floor",05/28/26,33333,10906,10776,(9)(17)(23)  (26),
377,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",06/13/25,19031,14119,14276,(9)(21)(23)  (28),
378,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",06/13/24,2105,(19),(5),(8)(9)(21)  (23),
381,Paragon 28,"Paragon 28, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",05/01/26,10000,7472,7475,(9)(23)(26),
382,Paragon 28,"Paragon 28, Inc.",First Lien Secured Debt - Revolver,"L+300, 1.00 Floor",05/01/26,2000,(8),(5),(8)(9)(21)  (23),
385,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",First Lien Secured Debt,"L+665, 1.00 Floor",01/01/23,10000,9976,9950,(9)(26),
386,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",First Lien Secured Debt,"L+665, 1.00 Floor",08/01/22,3333,3333,3333,(9)(26),
387,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",First Lien Secured Debt - Revolver,"L+375, 1.00 Floor",04/01/26,1000,(2),0,(9)(21)(23),
388,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,343,(9)(13),
389,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,99,(9)(13),
392,PHS,"PHS Buyer, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",01/31/27,25115,24711,24612,(9)(28),
393,PHS,"PHS Buyer, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",01/31/27,2000,351,360,(9)(21)(23)  (28),
396,Radius Health,"Radius Health, Inc.",First Lien Secured Debt,"L+575, 2.00 Floor",06/01/24,33833,28736,28459,(9)(17)(23)  (26),
397,Radius Health,"Radius Health, Inc.",First Lien Secured Debt - Revolver,"L+350, 2.00 Floor",06/01/24,1000,(1),(10),(8)(9)(17)  (21)(23),
400,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt,"L+450, 1.00 Floor",08/02/24,3768,3729,3736,(9)(28),
401,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",08/02/24,500,18,(4),(8)(9)(20)  (21)(23),
404,Rigel Pharmaceuticals,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"L+565, 1.50 Floor",09/01/24,9000,9011,9051,(9)(26),
406,Unchained Labs,"Unchained Labs, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",08/09/27,6760,1848,1854,(9)(21)(23)  (26),
407,Unchained Labs,"Unchained Labs, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",08/09/27,726,(13),(7),(8)(9)(21)  (23),
410,"WellDyneRx, LLC","WelldyneRX, LLC",First Lien Secured Debt,"SOFR+675, 0.75 Floor",03/09/27,18077,17720,17715,(9)(27),
411,"WellDyneRx, LLC","WelldyneRX, LLC",First Lien Secured Debt - Revolver,"SOFR+675, 0.75 Floor",03/09/26,1923,(38),(38),(8)(9)(21)  (23),
416,Acronis AG,ACRONIS AG,First Lien Secured Debt,"L+535, 1.50 Floor",12/18/24,21000,20941,20962,(9)(17)(26),
418,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt,"L+525, 1.00 Floor",04/01/25,21430,21211,21430,(9)(26),
419,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,"L+525, 0.00 Floor",04/01/24,2907,1139,1163,(9)(21)(23)  (26),
422,"Calero Holdings, Inc.","Telesoft Holdings, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",12/16/25,22273,21952,22141,(28),
423,"Calero Holdings, Inc.","Telesoft Holdings, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/16/25,2273,(32),(13),(8)(21)(23),
426,ChyronHego Corporation,ChyronHego Corporation (5),First Lien Secured Debt,"L+350 Cash plus 1.50 PIK, 1.00 Floor",12/31/22,85277,84170,84424,(28),
427,ChyronHego Corporation,ChyronHego Corporation (5),First Lien Secured Debt,"L+800 PIK, 1.00 Floor",12/31/22,2570,2500,2545,(28),
428,ChyronHego Corporation,ChyronHego Corporation (5),First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",12/31/22,8000,7156,7076,(21)(23)(28),
429,ChyronHego Corporation,ChyronHego Corporation (5),Preferred Equity - Preferred Equity,N/A,N/A,"7,800 Shares",6000,15553,(13)(24),
432,Dairy.com,Momentx Corporation,First Lien Secured Debt,"L+575, 1.00 Floor",06/24/27,13640,13395,13265,(9)(28),
433,Dairy.com,Momentx Corporation,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",06/24/27,1257,(22),(35),(8)(9)(21)  (23),
436,Digital.ai,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt,"L+700, 1.00 Floor",02/10/27,22355,21810,22080,(9)(28),
437,Digital.ai,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",02/10/27,2419,748,777,(9)(21)(23)  (28),
440,GoHealth,"Norvax, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",09/13/24,3182,2428,2461,(9)(21)(23)  (26)(28),
442,"International Cruise & Excursion Gallery, Inc.","International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"L+535, 1.00 Floor",06/06/25,14438,14305,13642,(26),
444,Modern Campus,"Destiny Solutions U.S., Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",06/08/26,25573,25024,25126,(26),
445,Modern Campus,"RMCF IV CIV XXXV, L.P.",Common Equity - Common Stock,N/A,N/A,482 Shares,1000,1430,(13)(24),
448,MYCOM,Magnate Holding Corp.,First Lien Secured Debt,"L+625, 0.50 Floor",12/16/24,19164,19050,18817,(9)(17)(28),
449,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"L+625, 0.50 Floor",12/14/23,3150,3133,3105,(9)(17)(23)  (28),
452,"New Era Technology, Inc.","New Era Technology, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",10/31/26,23794,21315,21221,(9)(21)(23)  (28),
453,"New Era Technology, Inc.","New Era Technology, Inc.",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",10/30/26,1049,594,591,(9)(21)(23)  (28),
456,Pro Vigil,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"L+850, 1.00 Floor",01/11/25,9910,9724,9808,(9)(28),
457,Pro Vigil,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"SOFR+850, 1.00 Floor",01/11/25,5329,1493,1542,(9)(21)(23)  (27),
460,Schlesinger Group,"Schlesinger Global, LLC",First Lien Secured Debt,"L+600 Cash plus 1.00 PIK, 1.00 Floor",07/12/25,9882,9730,9747,(9)(28),
461,Schlesinger Group,"Schlesinger Global, LLC",First Lien Secured Debt,"L+775, 1.00 Floor",07/12/25,963,950,964,(9)(28),
464,Simeio,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"L+550, 1.00 Floor",02/02/26,8178,8099,8076,(9)(26),
465,Simeio,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00 Floor",02/02/26,1731,(17),(21),(8)(9)(21)  (23),
468,Sirsi Corporation,Sirsi Corporation,First Lien Secured Debt,"L+450, 1.00 Floor",03/15/24,5456,5423,5440,(9)(26),
469,Sirsi Corporation,Sirsi Corporation,First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",03/15/24,429,(3),(1),(8)(9)(21)  (23),
472,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",12/23/26,15933,15724,15786,(28),
473,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/23/26,1463,(17),(13),(8)(21)(23),
476,Tax Slayer,"MEP-TS Midco, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",12/31/26,13379,13139,13245,(9)(29),
477,Tax Slayer,"MEP-TS Midco, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",12/31/26,1452,(1),(15),(8)(9)(21)  (23),
480,Telnyx,Telnyx LLC,First Lien Secured Debt,"L+625, 1.50 Floor",10/21/25,5250,5230,5277,(9)(26),
482,UpStack,Upstack Holdco Inc.,First Lien Secured Debt,"L+550, 1.00 Floor",08/20/27,31914,27581,27995,(9)(21)(23)  (29),
483,UpStack,Upstack Holdco Inc.,First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",08/20/27,3000,(74),(30),(8)(9)(20)  (21)(23),
488,Guernsey,Guernsey Holdings SDI LA LLC,First Lien Secured Debt,6.95,11/18/26,9904,9812,9811,(9),
489,Guernsey,Guernsey Holdings SDI LA LLC,First Lien Secured Debt,"L+595, 1.00 Floor",11/18/26,1167,1,(11),(8)(9)(23),
492,Taco Cabana,"YTC Enterprises, LLC",First Lien Secured Debt,"L+625, 1.00 Floor",08/16/26,9942,9835,9843,(9)(26),
496,High Street Insurance,"High Street Buyer, Inc.",First Lien Secured Debt,"L+600, 0.75 Floor",04/14/28,30113,29607,29586,(9)(26),
497,High Street Insurance,"High Street Buyer, Inc.",First Lien Secured Debt - Revolver,"L+600, 0.75 Floor",04/16/27,2203,(37),(39),(8)(9)(21)  (23),
500,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",12/02/25,19230,18930,18889,(9)(29),
501,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/02/25,923,(14),(16),(8)(9)(21)  (23),
504,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",04/15/25,34858,31093,31447,(9)(21)(23)  (26)(28)(29),
505,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",04/15/24,1785,263,280,(9)(20)(21)  (23)(29),
510,"AVAD, LLC","Surf Opco, LLC",First Lien Secured Debt - Revolver,"L+400, 1.00 Floor",03/17/26,16667,11564,11419,(9)(20)(21)  (23)(26),
511,"AVAD, LLC","Surf Opco, LLC",Preferred Equity - Class P-1 Preferred,N/A,N/A,"33,333 Shares",3333,6342,(9)(13)(16),
512,"AVAD, LLC","Surf Opco, LLC",Preferred Equity - Class P-2 Preferred,N/A,N/A,"85,164 Shares",8516,1970,(9)(13)(16),
513,"AVAD, LLC","Surf Opco, LLC",Common Equity - Class A-1 Common,N/A,N/A,"3,333 Shares",0,85,(9)(13)(16),
516,Kauffman,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,98,(9)(13),
517,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",05/08/25,16281,16114,15843,(9)(30),
518,Kauffman,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",05/08/25,1243,277,277,(9)(21)(23)  (28),
521,MedPlast Holdings Inc.,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)",Second Lien Secured Debt,"L+775, 0.00 Floor",07/02/26,8000,7959,7607,(26),
525,New Wave Entertainment,"NW Entertainment, Inc.",First Lien Secured Debt,"L+750 Cash plus 2.00 PIK, 1.00 Floor",08/16/24,29195,28940,29186,(9)(28),
526,New Wave Entertainment,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"L+750, 1.00 Floor",08/16/24,3078,3050,3061,(9)(23)(28),
529,Nitro World Entertainment,NWE OPCO LP,First Lien Secured Debt,"L+650, 2.00 Floor",12/19/22,4579,4573,4572,(9)(26),
531,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt,"L+760, 1.25 Floor",11/15/21,2475,2474,2019,(9)(11)(26),
532,Sonar Entertainment,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"L+760, 1.25 Floor",11/15/21,1604,1561,1308,(9)(11)(23)  (26),
537,IPS,"SI Holdings, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",07/25/25,31005,30645,30780,(9)(26),
538,IPS,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",07/25/24,3413,395,404,(9)(21)(23)  (26),
542,"Securus Technologies Holdings, Inc.","Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"L+825, 1.00 Floor",11/01/25,7128,7119,6843,(28),
546,Beacon Mobility,Beacon Mobility Corp.,First Lien Secured Debt,"L+550, 1.00 Floor",05/22/24,28266,13227,13429,(9)(21)(23)  (28),
547,Beacon Mobility,Beacon Mobility Corp.,First Lien Secured Debt - Revolver,P+450,05/22/24,4145,597,635,(9)(20)(21)  (23)(25),
548,Beacon Mobility,Beacon Mobility Corp.,First Lien Secured Debt - Revolver,"L+400, 0.00 Floor",05/22/24,50000,0,0,(9)(22)(23),
551,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,44432,3110,(13)(17)(19)(24),
553,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",12/03/26,30453,30019,29582,(9)(26),
554,Heniff and Superior,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/03/24,3925,1331,1295,(9)(20)(21)  (23)(26),
557,MSEA Tankers LLC,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,50258,34274,(17)(18)(24),
561,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",10/31/25,17751,15111,15171,(9)(21)(23)  (26),
562,Banner Solutions,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",10/31/25,1935,623,631,(9)(21)(23)  (26),
563,Banner Solutions,"Banner Parent Holdings, Inc.",Common Equity - Common Stock,N/A,N/A,"6,125 Shares",613,539,(9)(13),
566,Thomas Scientific,"BSP-TS, LP",Common Equity - Common Stock,N/A,N/A,185 Shares,185,190,(9)(13)(24),
567,Thomas Scientific,"Thomas Scientific, LLC",First Lien Secured Debt,"L+625, 1.00 Floor",12/14/27,31785,26056,26283,(9)(21)(23)  (29),
568,Thomas Scientific,"Thomas Scientific, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",12/14/27,2963,(56),(30),(8)(9)(21)  (23),
