,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (29),Fair Value (1)(30),,
263,,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(9),(17),(8)(21)  (23),
264,,"Marlin DTC-LS Midco 2, LLC",9062,8949,,,,,,
265,First Heritage,First Heritage,,,,,,,,
266,,"First Heritage Credit, LLC",First Lien Secured Debt,4.91 (1M L+475),04/02/22,16500,16417,16223,(9),
267,,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,5.66 (1M L+550),04/02/22,892,892,878,(9)(23),
268,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/02/22,2858,(19),(46),(8)(9)  (21)(23),
269,,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/02/22,9750,(49),(164),(8)(9)  (21)(23),
270,,"First Heritage Credit, LLC",17241,16891,,,,,,
271,Only About Children,Only About Children,,,,,,,,
272,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"6.75 (6M BBSW+575, 1.00 Floor)",04/06/24,A$,6768,4930,4608,(17)
273,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,232,(6),(8),(8)(17)  (21)(23)
274,,Nemo (BC) Bidco Pty Ltd,4924,4600,,,,,,
275,Paper Source,Paper Source,,,,,,,,
276,,"Paper Source, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",05/22/24,11471,11303,9062,(9),
277,,"Paper Source, Inc.",First Lien Secured Debt,12.25 (P+900),02/01/21,1027,984,811,(9),
278,,"Paper Source, Inc.",First Lien Secured Debt - Revolver,9.25 (P+600),05/22/24,1890,1890,1493,(9)(23),
279,,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.00 (3M L+700, 1.00 Floor)",05/22/24,1191,1147,941,(9)(23),
280,,"Paper Source, Inc.",Preferred Equity - Preferred Equity,N/A,N/A,411 Shares,0,0,(9)(13)  (28),
281,,"Paper Source, Inc.",15324,12307,,,,,,
282,"Pinstripe Holdings, LLC","Pinstripe Holdings, LLC",,,,,,,,
283,,"Pinstripe Holdings, LLC",First Lien Secured Debt,6.27 (6M L+600),01/17/25,6895,6796,6643,,
284,The Club Company,The Club Company,,,,,,,,
285,,Eldrickco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625, 0.50 Floor)",11/21/25,£,10619,13288,12808,(9)(17)
286,,Eldrickco Limited,First Lien Secured Debt - Revolver,"6.25 (6M GBPL+575, 0.50 Floor)",05/21/25,£,345,395,421,(9)(17)  (23)
287,,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,11/21/25,£,3991,(95),(294),(8)(9)  (17)(21)  (23)
288,,Eldrickco Limited,13588,12935,,,,,,
289,"Tidewater Consumer Receivables, LLC","Tidewater Consumer Receivables, LLC",,,,,,,,
290,,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,10.90 (1M L +1075),06/30/22,2608,2591,2582,(9)(17),
291,,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,5.90 (1M L+575),06/30/22,3761,3736,3723,(9)(17),
292,,"Tidewater Consumer Receivables, LLC",6327,6305,,,,,,
293,US Auto,US Auto,,,,,,,,
294,,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",04/17/22,10279,10270,10164,(9),
295,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",04/17/22,7817,7817,7729,(9)(23),
296,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/17/22,5516,(54),(62),(8)(9)  (21)(23),
297,,"U.S. Auto Finance, Inc.",18033,17831,,,,,,
299,"Containers, Packaging & Glass","Containers, Packaging & Glass",,,,,,,,
300,"TricorBraun Holdings, Inc.","TricorBraun Holdings, Inc.",,,,,,,,
301,,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.38 Unfunded,11/30/21,5625,(118),(29),(8)(21)  (23),
303,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
304,Celink,Celink,,,,,,,,
305,,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/11/24,2273,(38),(64),(8)(9)  (21)(23),
306,,"Peer Advisors, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/11/24,19943,19611,19383,(9),
307,,"Peer Advisors, LLC",19573,19319,,,,,,
308,"Exeter Property Group, LLC","Exeter Property Group, LLC",,,,,,,,
309,,"Exeter Property Group, LLC",First Lien Secured Debt,4.66 (1M L+450),08/28/24,4575,4526,4481,(9),
310,,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/28/24,192,(2),(4),(8)(9)  (21)(23),
311,,"Exeter Property Group, LLC",4524,4477,,,,,,
312,"Flock Financial, LLC","Flock Financial, LLC",,,,,,,,
313,,"Flock SPV I, LLC",First Lien Secured Debt,7.50 (1M L+650),08/30/22,14000,13962,13801,(9)(17),
314,,"Flock SPV I, LLC",First Lien Secured Debt - Revolver,7.50 (1M L+650),08/30/22,533,533,526,(9)(17)  (23),
315,,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/22,800,(6),(11),(8)(9)  (17)(21)  (23),
316,,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,4667,(51),(66),(8)(9)  (17)(21)  (23),
317,,"Flock SPV I, LLC",14438,14250,,,,,,
318,Golden Bear,Golden Bear,,,,,,,,
319,,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16755,9265,(3)(17),
320,"Purchasing Power, LLC","Purchasing Power, LLC",,,,,,,,
321,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,6.66 (1M L+650),01/24/22,8316,8316,8213,(9)(23),
322,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.40 Unfunded,01/24/22,797,0,(10),(8)(9)  (21)(23),
323,,"Purchasing Power Funding I, LLC",8316,8203,,,,,,
324,"Taupo River II, LLC","Taupo River II, LLC",,,,,,,,
325,,"Taupo River II, LLC",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",12/06/20,815,814,815,(9)(17),
326,"Ten-X, LLC","Ten-X, LLC",,,,,,,,
327,,"Ten-X, LLC",First Lien Secured Debt - Revolver,3.40 (1M L+325),09/29/22,4680,4512,4424,(23),
329,Education,Education,,,,,,,,
330,NFA Group,NFA Group,,,,,,,,
331,,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.75 (6M GPBL+625, 0.50 Floor)",07/30/25,£,30000,36077,38028,(9)(17)
333,Energy – Electricity,Energy – Electricity,,,,,,,,
334,"AMP Solar Group, Inc.","AMP Solar Group, Inc.",,,,,,,,
335,,"AMP Solar Group, Inc. (4)",Common Equity - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,8570,(13)(17)  (28),
336,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
337,,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,412,(17)(15)  (28),
338,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,3544,(13)(28),
339,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,2371,(13)(28),
340,,Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"771,449 Shares",771,905,(13)(17)  (28),
341,,Renew JV LLC (4),15216,7232,,,,,,
342,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
343,,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,2210,(13)(14)  (17)
344,,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5705,0,(2)(13)  (17),
345,,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)  (17),
346,,Solarplicity UK Holdings Limited,13346,2210,,,,,,
348,Energy – Oil & Gas,Energy – Oil & Gas,,,,,,,,
349,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
350,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK,03/29/21,39135,36926,10333,(13)(14),
351,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13)(28),
352,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",67004,10333,,,,,,
353,Pelican,Pelican,,,,,,,,
354,,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",16764,2170,(13)(16)  (17)(28),
355,Spotted Hawk,Spotted Hawk,,,,,,,,
356,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/21,24728,24728,25470,,
357,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00,07/31/21,45917,44528,16820,(13)(14),
358,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3.00 PIK,07/31/21,85777,44380,0,(13)(14),
359,,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16)  (28),
360,,"SHD Oil & Gas, LLC (5)",115047,42290,,,,,,
362,Environmental Industries,Environmental Industries,,,,,,,,
363,Denali,Denali,,,,,,,,
364,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",01/29/27,16557,16223,16237,(9),
365,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",01/29/26,1867,1867,1837,(9)(23),
366,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/29/26,1173,(65),(19),(8)(9)  (21)(23),
367,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Letters of Credit,5.50,02/26/21 - 06/30/21,207,0,(3),(8)(9)  (23),
368,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/29/27,5114,(61),(99),(8)(9)  (21)(23),
369,,"Dispatch Acquisition Holdings, LLC",17964,17953,,,,,,
370,Ortega National Parks,Ortega National Parks,,,,,,,,
371,,"Ortega National Parks, LLC",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",10/31/25,11662,11468,11151,(9),
372,,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"6.25 (1M L+525, 1.00 Floor)",10/31/25,2049,2014,1958,(9)(23),
373,,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/31/25,6202,(57),(272),(8)(9)  (21)(23),
374,,"Ortega National Parks, LLC",13425,12837,,,,,,
376,Food & Grocery,Food & Grocery,,,,,,,,
377,Bumble Bee Foods S.À R.L.,Bumble Bee Foods S.À R.L.,,,,,,,,
378,,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,N/A,01/31/24,126,0,0,,
379,,Bumble Bee Holdings Inc,First Lien Secured Debt,N/A,01/31/24,443,0,0,,
380,,Tonos US LLC,First Lien Secured Debt,"8.75 (3M L+725, 1.50 Floor)",01/31/24,9454,9561,9454,,
382,Healthcare & Pharmaceuticals,Healthcare & Pharmaceuticals,,,,,,,,
383,"Altasciences, Inc.","Altasciences, Inc.",,,,,,,,
384,,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",06/09/23,2826,2797,2762,(9)(17),
385,,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (3M CADL+625, 1.00 Floor)",06/09/23,C$,2345,1728,1716,(9)(17)
386,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",06/09/23,5965,5898,5831,(9),
387,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"7.25 (3M L+625, 1.00 Floor)",06/09/23,392,392,383,(9)(23),
388,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/09/23,1033,(14),(23),(8)(9)  (21)(23)  (11),
389,,"Altasciences US Acquistion, Inc.",10801,10669,,,,,,
390,American Veterinary Group,American Veterinary Group,,,,,,,,
391,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.75 (1M L+825, 1.50 Floor)",02/08/24,13225,13026,13101,(9),
392,AmeriVet,AmeriVet,,,,,,,,
393,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",06/05/24,695,687,687,(9),
394,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",06/05/24,26310,25884,26015,(9),
395,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,8.50 (P+525),06/05/24,524,524,518,(9)(23),
396,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,282,(12),(3),(8)(9)  (21)(23),
397,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,6952,(83),(78),(8)(9)  (21)(23),
398,,Amerivet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,198,(9)(13)  (28),
399,,Amerivet Partners Parent LP,27125,27337,,,,,,
400,Analogic,Analogic,,,,,,,,
401,,Analogic Corporation,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,18124,17841,17761,(9),
402,,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,1826,(25),(37),(8)(9)  (21)(23),
403,,Analogic Corporation,17816,17724,,,,,,
404,"BioClinica Holding I, LP","BioClinica Holding I, LP",,,,,,,,
405,,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",10/21/24,24612,24330,23778,,
406,BK Medical,BK Medical,,,,,,,,
407,,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,7268,7207,7134,(9),
408,,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/24,783,(6),(12),(8)(9)  (21)(23),
409,,"BK Medical Holding Company, Inc.",7201,7122,,,,,,
410,CARE Fertility,CARE Fertility,,,,,,,,
411,,Royton Bidco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625, 0.50 Floor)",05/09/25,£,17363,22068,21546,(9)(17)
412,,Royton Bidco Limited,First Lien Secured Debt,"6.75 (1M GBPL+625, 0.50 Floor)",05/09/25,£,294,372,365,(9)(17)
413,,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,05/09/25,£,2265,(67),(118),(8)(9)  (17)(21)  (23)
414,,Royton Bidco Limited,22373,21793,,,,,,
415,Cerus,Cerus,,,,,,,,
416,,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,12000,11958,12360,(9)(17),
417,,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55 (1M L+375, 1.80 Floor)",03/01/24,55,55,56,(9)(17)  (23),
418,,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,445,(1),0,(9)(17)  (21)(23),
419,,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,9000,(31),0,(9)(17)  (21)(23),
420,,Cerus Corporation,11981,12416,,,,,,
421,Dohmen Life Science Services,Dohmen Life Science Services,,,,,,,,
422,,"LSCS Holdings, Inc",Second Lien Secured Debt,8.61 (6M L+825),03/16/26,19818,19501,19123,,
423,Emmes Corporation,Emmes Corporation,,,,,,,,
424,,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,418,(9)(13),
425,,"The Emmes Company, LLC",First Lien Secured Debt,"6.09 (6M L+500, 1.00 Floor)",03/03/25,12061,11928,11760,(9),
426,,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(27),(61),(8)(9)  (21)(23),
427,,"The Emmes Company, LLC",12207,12117,,,,,,
428,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",,,,,,,,
429,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"6.50 (1M L+600, 0.50 Floor)",03/06/23,25000,24817,24605,(9),
430,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/08/23,60870,(384),"(1,190)",(8)(9)  (21)(23),
431,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,6848,0,(80),(8)(9)  (21)(23),
432,,"Genesis Healthcare, Inc.",24433,23335,,,,,,
433,Gossamer,Gossamer,,,,,,,,
434,,"GB001, Inc.",First Lien Secured Debt,"9.00 (1M L+700, 2.00 Floor)",01/01/25,6000,5981,6120,(9)(17),
435,,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,01/01/25,24000,(177),0,(9)(17)  (21)(23),
436,,"GB001, Inc.",5804,6120,,,,,,
437,Health & Safety Institute,Health & Safety Institute,,,,,,,,
438,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",08/31/26,6366,6312,6181,(9),
439,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",08/31/26,2660,2610,2583,(9),
440,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Revolver,8.00 (P+475),08/30/25,374,374,365,(9)(23),
441,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/25,439,(7),(10),(8)(9)  (21)(23),
442,,"HSI Halo Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,425,(9)(13)  (28),
443,,"HSI Halo Acquisition, Inc.",9789,9544,,,,,,
444,IMA Group,IMA Group,,,,,,,,
445,,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",05/30/24,5100,5062,4794,,
446,,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"6.50 (3M L+550, 1.00 Floor)",05/30/24,289,287,272,(23),
447,,"IMA Group Management Company, LLC",5349,5066,,,,,,
448,Kindeva,Kindeva,,,,,,,,
449,,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"7.00 (6M L+600, 1.00 Floor)",05/01/26,1829,1786,1808,(9),
450,,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/01/25,167,(4),(2),(8)(9)  (21)(23),
451,,Kindeva Drug Delivery L.P.,1782,1806,,,,,,
452,KureSmart,KureSmart,,,,,,,,
453,,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,121,(9)(13),
454,,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",08/27/24,21991,21733,21134,(9),
455,,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/27/24,2654,(31),(105),(8)(9)  (21)(23),
456,,"Kure Pain Holdings, Inc.",21835,21150,,,,,,
457,"Lanai Holdings III, Inc. (Patterson Medical)","Lanai Holdings III, Inc. (Patterson Medical)",,,,,,,,
458,,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.50 (3M L+1050 PIK, 1.00 Floor)",08/28/23,18241,18025,15806,,
459,Mannkind Corporation,Mannkind Corporation,,,,,,,,
460,,Mannkind Corporation,First Lien Secured Debt,"8.75 (1M L+675, 2.00 Floor)",08/01/24,13867,13813,14193,(9),
461,,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,8667,(33),0,(9)(21)  (23),
462,,Mannkind Corporation,13780,14193,,,,,,
463,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",,,,,,,,
464,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",11/22/23,23649,23341,23306,(9),
465,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(17),(18),(8)(9)  (21)(23),
466,,"Maxor National Pharmacy Services, LLC",23324,23288,,,,,,
467,Medical Guardian,Medical Guardian,,,,,,,,
468,,"Medical Guardian, LLC",First Lien Secured Debt,"9.50 (1M L+850, 1.00 Floor)",12/31/24,34286,33702,33881,(9),
469,,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"9.50 (1M L+850, 1.00 Floor)",12/31/24,381,381,376,(9)(23),
470,,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,5333,(97),(63),(8)(9)  (21)(23),
471,,"Medical Guardian, LLC",33986,34194,,,,,,
472,Orchard,Orchard,,,,,,,,
473,,Orchard Therapeutics plc,First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",05/24/24,8333,8303,8323,(9)(17),
474,,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(61),(20),(8)(9)  (17)(21)  (23),
475,,Orchard Therapeutics plc,8242,8303,,,,,,
476,Ovation Fertility,Ovation Fertility,,,,,,,,
477,,"FPG Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",06/13/25,12474,12278,12113,(9),
478,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(31),(61),(8)(9)  (21)(23),
479,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/13/25,5263,(41),(152),(8)(9)  (21)(23),
480,,"FPG Services, LLC",12206,11900,,,,,,
481,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",,,,,,,,
482,,"Partner Therapeutics, Inc",First Lien Secured Debt,"7.65 (1M L+665, 1.00 Floor)",01/01/23,10000,9915,10025,(9),
483,,"Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,663,(9)(13),
484,,"Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,218,(9)(13),
485,,"Partner Therapeutics, Inc",10383,10906,,,,,,
486,PHS,PHS,,,,,,,,
487,,"PHS Buyer, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",01/31/25,10203,10036,9897,(9),
488,,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(32),(60),(8)(9)  (21)(23),
489,,"PHS Buyer, Inc.",10004,9837,,,,,,
490,ProPharma,ProPharma,,,,,,,,
491,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.25 (1M L+575, 0.50 Floor)",07/12/23,€,6308,7149,7398,
492,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.25 (1M L+575, 0.50 Floor)",07/12/23,£,4187,5455,5414,
493,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.25 (1M L+575, 0.50 Floor)",07/12/23,11272,11202,11272,,
494,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/12/23,1032,(6),0,(21)(23),
495,,"ProPharma Group Intermediate, LLC",23800,24084,,,,,,
496,Radius Health,Radius Health,,,,,,,,
497,,"Radius Health, Inc.",First Lien Secured Debt,"7.75 (1M L+575, 2.00 Floor)",06/01/24,3000,2994,3033,(9)(17),
498,,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,06/01/24,2000,(4),0,(9)(17)  (21)(23),
499,,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/01/24,13500,0,0,(9)(17)  (21)(23),
500,,"Radius Health, Inc.",2990,3033,,,,,,
501,RHA Health Services,RHA Health Services,,,,,,,,
502,,"Pace Health Companies, LLC",First Lien Secured Debt,"5.50 (3M L+450, 1.00 Floor)",08/02/24,545,537,536,(9),
503,,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/24,433,(8),(7),(8)(9)  (21)(23),
504,Rigel Pharmaceuticals,Rigel Pharmaceuticals,,,,,,,,
505,,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.15 (1M L+565, 1.50 Floor)",09/01/24,6000,6002,5998,(9),
506,,"Rigel Pharmaceuticals, Inc.",6002,5998,,,,,,
507,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",,,,,,,,
508,,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/13/23,14588,14352,14587,(9),
509,,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/23,2000,(32),0,(9)(21)  (23),
510,,"RiteDose Holdings I, Inc.",14320,14587,,,,,,
511,"Wright Medical Group, Inc.","Wright Medical Group, Inc.",,,,,,,,
512,,"Wright Medical Group, Inc.",First Lien Secured Debt,"8.85 (1M L+785, 1.00 Floor)",12/23/21,18333,18243,18563,(9)(17),
513,,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"5.00 (1M L+425, 0.75 Floor)",12/23/21,21000,21000,21157,(9)(17)  (23),
514,,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,37333,(159),0,(9)(17)  (21)(23),
515,,"Wright Medical Group, Inc.",39084,39720,,,,,,
517,High Tech Industries,High Tech Industries,,,,,,,,
518,Acronis AG,Acronis AG,,,,,,,,
519,,Acronis AG,First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",12/18/24,21000,20911,20542,(9)(17),
520,American Megatrends,American Megatrends,,,,,,,,
521,,AMI US Holdings Inc.,First Lien Secured Debt,"6.59 (6M L+550, 1.00 Floor)",04/01/25,21762,21434,21305,(9),
522,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.66 (1M L+550),04/01/24,814,814,794,(9)(23),
523,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.65 (1M L+550),04/01/24,698,698,681,(9)(23),
524,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.59 (6M L+550),04/01/24,581,581,567,(9)(23),
525,,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,814,(41),(20),(8)(9)  (21)(23),
526,,AMI US Holdings Inc.,23486,23327,,,,,,
527,"Calero Holdings, Inc.","Calero Holdings, Inc.",,,,,,,,
