,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,
273,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.75 (6M E+525),03/21/24,€,605,655,608,(9)(17)(23)
274,Lion Cashmere Midco Limited,First Lien Secured Debt - Revolver,5.86 (6M GBPL+525),03/21/24,€,225,247,226,(9)(17)(23)
275,Lion Cashmere Midco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,03/21/25,€,2371,(39),(216),(8)(9)(17)(21)(23)
276,Lion Cashmere Midco Limited,14118,12944,,,,,,
277,Olaplex,,,,,,,,
278,"Olaplex, Inc.",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",01/08/26,26200,25696,25696,(9),
279,"Olaplex, Inc.",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",01/08/25,3800,3727,3724,(9)(23),
280,"Olaplex, Inc.",29423,29420,,,,,,
281,"Sequential Brands Group, Inc.",,,,,,,,
282,"Sequential Brands Group, Inc.",Second Lien Secured Debt,9.75 (1M L+875),02/07/24,12965,12882,12289,(17),
284,Consumer Services,,,,,,,,
285,1A Smart Start LLC,,,,,,,,
286,1A Smart Start LLC,Second Lien Secured Debt,"9.32 (3M L+825, 1.00 Floor)",08/22/22,25100,24842,24282,,
287,Clarus Commerce,,,,,,,,
288,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt,"6.57 (6M L+550, 1.00 Floor)",07/01/25,9245,9103,8806,,
289,"Marlin DTC-LS Midco 2, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,685,(10),(33),(8)(21)(23),
290,"Marlin DTC-LS Midco 2, LLC",9093,8773,,,,,,
291,First Heritage,,,,,,,,
292,"First Heritage Credit, LLC",First Lien Secured Debt,6.33 (1M L+475),04/02/22,18450,18340,17959,(9),
293,"First Heritage Credit, LLC",First Lien Secured Debt - Revolver,7.08 (1M L+550),04/02/22,517,517,504,(9)(23),
294,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/02/22,3233,(25),(83),(8)(9)(21)(23),
295,"First Heritage Credit, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/02/22,7800,(65),(207),(8)(9)(21)(23),
296,"First Heritage Credit, LLC",18767,18173,,,,,,
297,Only About Children,,,,,,,,
298,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"6.75 (1M BBSW+575, 1.00 Floor)",04/06/24,A$,6768,4923,3894,(17)
299,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,232,(7),(9),(8)(17)(21)(23)
300,Nemo (BC) Bidco Pty Ltd,4916,3885,,,,,,
301,Paper Source,,,,,,,,
302,"Paper Source, Inc.",First Lien Secured Debt,"8.78 (3M L+700, 1.00 Floor)",05/22/24,11620,11427,10981,(9),
303,"Paper Source, Inc.",First Lien Secured Debt - Revolver,9.25 (P+600),05/22/24,1890,1890,1786,(9)(23),
304,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.70 (3M L+700, 1.00 Floor)",05/22/24,205,154,194,(9)(23),
305,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.74 (3M L+700, 1.00 Floor)",05/22/24,411,411,388,(9)(23),
306,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.83 (3M L+700, 1.00 Floor)",05/22/24,205,205,194,(9)(23),
307,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.85 (3M L+700, 1.00 Floor)",05/22/24,370,370,350,(9)(23),
308,"Paper Source, Inc.",14457,13893,,,,,,
309,"Pinstripe Holdings, LLC",,,,,,,,
310,"Pinstripe Holdings, LLC",First Lien Secured Debt,"7.08 (6M L+600, 1.00 Floor)",01/17/25,6930,6819,6547,,
311,The Club Company,,,,,,,,
312,Eldrickco Limited,First Lien Secured Debt,"6.04 (3M GBPL+550, 0.50 Floor)",11/21/25,£,750,938,869,(9)(17)
313,Eldrickco Limited,First Lien Secured Debt,"6.23 (3M GBPL+550, 0.50 Floor)",11/21/25,£,9914,12376,11336,(9)(17)
314,Eldrickco Limited,First Lien Secured Debt - Revolver,"5.52 (3M GBPL+500, 0.50 Floor)",05/21/25,£,345,394,394,(9)(17)(23)
315,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,11/21/25,£,3991,(104),(326),(8)(9)(17)(21)(23)
316,Eldrickco Limited,13604,12273,,,,,,
317,"Tidewater Consumer Receivables, LLC",,,,,,,,
318,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,7.33 (1M L+575),12/28/23,11333,11248,11090,(9)(17),
319,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Revolver,7.33 (1M L+575),12/28/23,1537,1537,1504,(9)(17)(23),
320,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,12/28/23,130,(9),(3),(8)(9)(17)(21)(23),
321,"Tidewater Consumer Receivables, LLC",12776,12591,,,,,,
322,US Auto,,,,,,,,
323,"U.S. Auto Finance, Inc.",First Lien Secured Debt,6.33 (3M L+475),04/17/22,20893,20824,20351,(9),
324,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,7.08 (3M L+550),04/17/22,3052,3052,2973,(9)(23),
325,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/17/22,16948,(71),(441),(8)(9)(21)(23),
326,"U.S. Auto Finance, Inc.",23805,22883,,,,,,
328,"Containers, Packaging & Glass",,,,,,,,
329,"TricorBraun Holdings, Inc.",,,,,,,,
330,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,4.05 (1M L+325),11/30/21,1500,1500,1478,(23),
331,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Revolver,5.50 (P+225),11/30/21,3750,3750,3695,(23),
332,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/30/21,375,(169),(6),(8)(21)(23),
334,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
335,Celink,,,,,,,,
336,Compu-Link Corporation,First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",06/11/24,45,3,44,(9)(23),
337,Compu-Link Corporation,First Lien Secured Debt - Revolver,"6.72 (3M L+550, 1.00 Floor)",06/11/24,2227,2227,2152,(9)(23),
338,"Peer Advisors, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/11/24,21875,21461,21138,(9),
339,"Peer Advisors, LLC",23691,23334,,,,,,
340,"Exeter Property Group, LLC",,,,,,,,
341,"Exeter Property Group, LLC",First Lien Secured Debt,6.08 (1M L+450),08/28/24,4772,4714,4618,(9),
342,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/28/24,192,(2),(6),(8)(9)(21)(23),
343,"Exeter Property Group, LLC",4712,4612,,,,,,
344,"Flock Financial, LLC",,,,,,,,
345,"Flock SPV I, LLC",First Lien Secured Debt,8.08 (1M L+650),08/30/22,13067,13018,12788,(9)(17),
346,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/22,1333,(8),(28),(8)(9)(17)(21)(23),
347,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,5600,(64),(119),(8)(9)(17)(21)(23),
348,"Flock SPV I, LLC",12946,12641,,,,,,
349,Golden Bear,,,,,,,,
350,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,0,16729,9748,(3)(17),
351,"Purchasing Power, LLC",,,,,,,,
352,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,8.08 (1M L+650),01/24/22,4608,4608,4529,(9)(23),
353,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/24/22,4504,0,(77),(8)(9)(21)(23),
354,"Purchasing Power Funding I, LLC",4608,4452,,,,,,
355,"Taupo River II, LLC",,,,,,,,
356,"Taupo River II, LLC",First Lien Secured Debt,"7.16 (3M L+525, 1.00 Floor)",06/08/20,14000,13993,13966,(9)(17),
357,"Ten-X, LLC",,,,,,,,
358,"Ten-X, LLC",First Lien Secured Debt - Revolver,4.00 (1M L+325),09/29/22,3120,3120,2911,(23),
359,"Ten-X, LLC",First Lien Secured Debt - Revolver,4.19 (1M L+325),09/29/22,1560,1350,1455,(23),
360,"Ten-X, LLC",4470,4366,,,,,,
362,Education,,,,,,,,
363,NFA Group,,,,,,,,
364,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.94 (6M GPBL+625, 0.50 Floor)",07/30/25,£,535,641,634,(9)(17)
365,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.99 (6M GBPL+625, 0.50 Floor)",07/30/25,£,28370,33983,33627,(9)(17)
366,SSCP Spring Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.88 Unfunded,07/30/25,£,1095,(29),(60),(8)(9)(17)(21)(23)
368,Energy – Electricity,,,,,,,,
369,"AMP Solar Group, Inc.",,,,,,,,
370,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,8736,(13)(17),
371,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
372,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,442,(15)(17),
373,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,3284,(13),
374,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,2101,(13),
375,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,"893,336 Shares",893,914,(13)(17),
376,Renew JV LLC (4),15338,6741,,,,,,
377,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
378,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,3787,(13)(14)(17)
379,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,0,(2)(13)(17),
380,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)(17),
381,Solarplicity UK Holdings Limited,13502,3787,,,,,,
383,Energy – Oil & Gas,,,,,,,,
384,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
385,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK Toggle (8.00 Cash),03/29/21,37234,36926,14711,(13)(14),
386,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13),
387,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",67004,14711,,,,,,
388,Pelican,,,,,,,,
389,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",16822,2411,(13)(16)(17),
390,Spotted Hawk,,,,,,,,
391,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/21,24000,24000,24720,,
392,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00 (4.00 Cash plus 0.00 PIK),07/31/21,45457,44998,22495,(13)(14),
393,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3.00 PIK,07/31/21,84484,44380,0,(13)(14),
394,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16),
395,"SHD Oil & Gas, LLC (5)",114789,47215,,,,,,
397,Environmental Industries,,,,,,,,
398,Denali,,,,,,,,
399,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt,"7.27 (3M L+550, 1.00 Floor)",01/29/27,16342,15983,15983,(9),
400,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Revolver,"7.28 (3M L+550, 1.00 Floor)",01/29/26,325,325,317,(9)(23),
401,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Revolver,"7.27 (3M L+550, 1.00 Floor)",01/29/26,812,812,793,(9)(23),
402,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Revolver,7.75 (P+450),01/29/26,325,325,317,(9)(23),
403,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/29/26,1786,(71),(40),(8)(9)(21)(23),
404,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/29/27,5411,(66),(122),(8)(9)(21)(23),
405,"Dispatch Acquisition Holdings, LLC",17308,17248,,,,,,
406,Ortega National Parks,,,,,,,,
407,"Ortega National Parks, LLC",First Lien Secured Debt,"6.32 (6M L+525, 1.00 Floor)",10/31/25,11229,11020,10551,(9),
408,"Ortega National Parks, LLC",First Lien Secured Debt,"6.52 (3M L+525, 1.00 Floor)",10/31/25,492,487,462,(9),
409,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"6.45 (3M L+525, 1.00 Floor)",10/31/25,1503,1465,1411,(9)(23),
410,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"7.04 (3M L+525, 1.00 Floor)",10/31/25,273,273,257,(9)(23),
411,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"7.16 (3M L+525, 1.00 Floor)",10/31/25,273,273,257,(9)(23),
412,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,10/31/25,6202,(62),(375),(8)(9)(21)(23),
413,"Ortega National Parks, LLC",13456,12563,,,,,,
415,Food & Grocery,,,,,,,,
416,Bumble Bee Foods S.À R.L.,,,,,,,,
417,Bumble Bee Holdings Inc,First Lien Secured Debt,N/A,01/31/24,443,0,430,,
418,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,N/A,01/31/24,126,0,122,,
419,Tonos US LLC,First Lien Secured Debt,"8.96 (3M L+725, 1.50 Floor)",01/31/24,15123,15319,14670,,
421,Healthcare & Pharmaceuticals,,,,,,,,
422,"Altasciences, Inc.",,,,,,,,
423,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (3M CADL+625, 1.00 Floor)",06/09/23,C$,2357,1734,1602,(9)(17)
424,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.32 (6M L+625, 1.00 Floor)",06/09/23,2821,2787,2730,(9)(17),
425,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",06/09/23,19,19,18,(9)(17),
426,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"7.32 (6M L+625, 1.00 Floor)",06/09/23,5959,5879,5765,(9),
427,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"7.25 (1M L+625, 1.00 Floor)",06/09/23,37,37,36,(9),
428,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"7.30 (3M L+625, 1.00 Floor)",06/09/23,392,392,379,(9)(23),
429,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"7.45 (3M L+625, 1.00 Floor)",06/09/23,456,456,441,(9)(23),
430,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"7.52 (3M L+625, 1.00 Floor)",06/09/23,570,570,552,(9)(23),
431,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,7,(17),0,(8)(9)(11)(21)(23),
432,"Altasciences US Acquistion, Inc.",11857,11523,,,,,,
433,American Veterinary Group,,,,,,,,
434,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.00 (1M L+800, 1.00 Floor)",02/08/24,11759,11642,11097,(9),
435,AVG Intermediate Holdings LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/08/24,1466,(113),(83),(8)(9)(21)(23),
436,AVG Intermediate Holdings LLC,11529,11014,,,,,,
437,AmeriVet,,,,,,,,
438,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.75 (1M L+675, 1.00 Floor)",06/05/24,26429,25944,25480,(9),
439,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,9.00 (P+575),06/05/24,524,524,505,(9)(23),
440,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,282,(14),(10),(8)(9)(21)(23),
441,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,7648,(95),(275),(8)(9)(21)(23),
442,Amerivet Partners Parent LP,Common Equity/Interests - Class D Partnership Units,N/A,N/A,13 Shares,125,144,(9)(13),
443,Amerivet Partners Parent LP,26484,25844,,,,,,
444,Analogic,,,,,,,,
445,Analogic Corporation,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,18215,17894,17851,(9),
446,Analogic Corporation,First Lien Secured Debt - Revolver,"6.25 (1M L+525, 1.00 Floor)",06/22/23,157,157,153,(9)(23),
447,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,1670,(42),(33),(8)(9)(21)(23),
448,Analogic Corporation,18009,17971,,,,,,
449,"BioClinica Holding I, LP",,,,,,,,
450,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",10/21/24,24612,24303,23345,,
451,BK Medical,,,,,,,,
452,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,7304,7235,7234,(9),
453,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,783,(7),(8),(8)(9)(21)(23),
454,"BK Medical Holding Company, Inc.",7228,7226,,,,,,
455,CARE Fertility,,,,,,,,
456,Royton Bidco Limited,First Lien Secured Debt,"6.29 (3M GBPL+575, 0.50 Floor)",05/09/25,£,559,647,650,(9)(17)
457,Royton Bidco Limited,First Lien Secured Debt,"6.42 (3M GBPL+575, 0.50 Floor)",05/09/25,£,15588,19794,18130,(9)(17)
458,Royton Bidco Limited,First Lien Secured Debt,"6.48 (6M GBPL+575, 0.50 Floor)",05/09/25,£,293,370,340,(9)(17)
459,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,05/09/25,£,3559,(74),(274),(8)(9)(17)(21)(23)
460,Royton Bidco Limited,20737,18846,,,,,,
461,Cerus,,,,,,,,
462,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,12000,11952,12146,(9)(17),
463,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55 (1M L+375, 1.80 Floor)",03/01/24,187,187,189,(9)(17)(23),
464,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,313,(1),0,(9)(17)(21)(23),
465,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,9000,(36),0,(9)(17)(21)(23),
466,Cerus Corporation,12102,12335,,,,,,
467,Dohmen Life Science Services,,,,,,,,
468,"LSCS Holdings, Inc",Second Lien Secured Debt,9.70 (3M L+825),03/16/26,19818,19473,18901,,
469,Emmes Corporation,,,,,,,,
470,"Emmes Blocker, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,306 Shares,306,314,(9)(13),
471,"The Emmes Company, LLC",First Lien Secured Debt,"6.58 (1M L+500, 1.00 Floor)",03/03/25,12122,11973,11819,(9),
472,"The Emmes Company, LLC",First Lien Secured Debt - Revolver,"6.00 (1M L+500, 1.00 Floor)",03/03/25,2449,2419,2388,(9)(23),
473,"The Emmes Company, LLC",14698,14521,,,,,,
474,"Genesis Healthcare, Inc.",,,,,,,,
475,"Genesis Healthcare, Inc.",First Lien Secured Debt,"12.58 (1M L+1100, 1.00 Floor)",03/06/23,8370,8370,8197,(9),
476,"Genesis Healthcare, Inc.",First Lien Secured Debt,"7.58 (1M L+600, 0.50 Floor)",03/06/23,25000,24780,24237,(9),
477,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"7.58 (1M L+600, 0.50 Floor)",03/08/23,14069,14069,13605,(9)(23),
478,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/08/23,46801,(462),"(1,542)",(8)(9)(21)(23),
479,"Genesis Healthcare, Inc.",46757,44497,,,,,,
480,Gossamer,,,,,,,,
481,"GB001, Inc.",First Lien Secured Debt,"8.15 (1M L+615, 2.00 Floor)",05/01/24,6000,5970,6049,(9)(17),
482,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/24,24000,(196),0,(9)(17)(21)(23),
483,"GB001, Inc.",5774,6049,,,,,,
484,Health & Safety Institute,,,,,,,,
485,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",08/31/26,25288,25053,24360,(9),
486,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Revolver,8.00 (P+475),08/30/25,2049,2049,1983,(9)(23),
487,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/25,410,(22),(13),(8)(9)(21)(23),
488,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,08/31/26,2131,(38),(78),(8)(9)(21)(23),
489,"HSI Halo Acquisition, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,500 Shares,500,398,(9)(13),
490,"HSI Halo Acquisition, Inc.",27542,26650,,,,,,
491,IMA Group,,,,,,,,
492,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.57 (6M L+550, 1.00 Floor)",05/30/24,5126,5083,4921,,
493,IM Acquirer LLC,First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",05/30/24,289,287,277,(23),
494,IM Acquirer LLC,5370,5198,,,,,,
495,KureSmart,,,,,,,,
496,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity/Interests - Partnership Interests,N/A,N/A,133 Shares,133,120,(9)(13),
497,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",08/27/24,22102,21810,21015,(9),
498,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Revolver,"6.50 (1M L+550, 1.00 Floor)",08/27/24,2654,2619,2522,(9)(23),
499,"Kure Pain Holdings, Inc.",24562,23657,,,,,,
500,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,,,
501,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.28 (3M L+1050 PIK, 1.00 Floor)",08/28/23,17391,17138,14383,,
502,Mannkind Corporation,,,,,,,,
503,Mannkind Corporation,First Lien Secured Debt,"8.75 (1M L+675, 2.00 Floor)",08/01/24,13867,13806,13639,(9),
504,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,12133,(53),(199),(8)(9)(21)(23),
505,Mannkind Corporation,13753,13440,,,,,,
506,"Maxor National Pharmacy Services, LLC",,,,,,,,
507,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.95 (3M L+550, 1.00 Floor)",11/22/23,24476,24107,23754,(9),
508,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Revolver,7.75 (P+450),11/22/22,779,779,760,(9)(23),
509,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,779,(21),(19),(8)(9)(21)(23),
510,"Maxor National Pharmacy Services, LLC",24865,24495,,,,,,
511,Medical Guardian,,,,,,,,
512,"Medical Guardian, LLC",First Lien Secured Debt,"9.50 (1M L+850, 1.00 Floor)",12/31/24,34286,33635,33600,(9),
513,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"9.50 (1M L+850, 1.00 Floor)",12/31/24,381,381,373,(9)(23),
514,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,5333,(108),(107),(8)(9)(21)(23),
515,"Medical Guardian, LLC",33908,33866,,,,,,
516,Orchard,,,,,,,,
517,Orchard Therapeutics plc,First Lien Secured Debt,"7.58 (1M L+600, 1.00 Floor)",05/24/24,8333,8299,8257,(9)(17),
518,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(69),(153),(8)(9)(17)(21)(23),
519,Orchard Therapeutics plc,8230,8104,,,,,,
520,Ovation Fertility,,,,,,,,
521,"FPG Services, LLC",First Lien Secured Debt,"6.95 (3M L+550, 1.00 Floor)",06/13/25,12537,12319,11820,(9),
522,"FPG Services, LLC",First Lien Secured Debt - Revolver,"6.50 (6M L+550, 1.00 Floor)",06/13/24,2105,2070,1985,(9)(23),
523,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,06/13/25,5263,(46),(301),(8)(9)(21)(23),
524,"FPG Services, LLC",14343,13504,,,,,,
525,"Partner Therapeutics, Inc",,,,,,,,
526,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.23 (1M L+665, 1.00 Floor)",01/01/23,10000,9896,9945,(9),
527,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9)(13),
528,"Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,88,(9)(13),
529,"Partner Therapeutics, Inc",10364,10366,,,,,,
530,PHS,,,,,,,,
531,"PHS Buyer, Inc.",First Lien Secured Debt,"6.70 (3M L+525, 1.00 Floor)",01/31/25,12870,12636,12548,(9),
532,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(36),(50),(8)(9)(21)(23),
533,"PHS Buyer, Inc.",12600,12498,,,,,,
534,ProPharma,,,,,,,,
535,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.74 (1M L+575, 0.50 Floor)",07/12/23,€,6357,7196,6835,
536,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.74 (1M L+575, 0.50 Floor)",07/12/23,£,4220,5490,5128,
537,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.74 (1M L+575, 0.50 Floor)",07/12/23,11358,11276,11132,,
538,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Revolver,"7.20 (1M L+575, 0.50 Floor)",07/12/23,1032,1025,1012,(23),
539,"ProPharma Group Intermediate, LLC",24987,24107,,,,,,
540,"PTC Therapeutics, Inc",,,,,,,,
541,"PTC Therapeutics, Inc",First Lien Secured Debt,"7.73 (1M L+615, 1.00 Floor)",05/01/21,7389,7379,7463,(9)(17),
542,Radius Health,,,,,,,,
543,"Radius Health, Inc.",First Lien Secured Debt,"7.75 (1M L+575, 2.00 Floor)",06/01/24,3000,2993,2993,(9)(17),
544,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Revolver,0.00 Unfunded,06/01/24,2000,(5),(5),(8)(9)(17)(21)(23),
545,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/01/24,13500,0,(33),(8)(9)(17)(21)(23),
546,"Radius Health, Inc.",2988,2955,,,,,,
547,RHA Health Services,,,,,,,,
