,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
219,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,3435,(43,(39,(8)(17)(21)(23),
220,Magnate Holding Corp.,First Lien Secured Debt,"8.78 (3M L+600, 1.00 Floor)",12/16/24,16670,16422,16420,(9)(17),
221,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.78 (3M L+500, 1.00 Floor)",12/14/23,1358,1358,1338,(9)(17)(23),
222,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,1972,(49,(30,(8)(9)(17)(21)(23),
223,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(285,(338,(8)(21)(23),
224,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (3M L+645, 1.00 Floor)",03/24/22,36073,35828,35171,(18),
225,Tibco Software Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/05/19,6000,(11,(840,(8)(21)(23),
226,"ZPower, LLC",First Lien Secured Debt,"10.27 (1M L+775, 1.00 Floor)",07/01/22,6667,6685,6636,(9),
227,"ZPower, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,07/01/22,1667,(7,(8,(8)(9)(21)(23),
228,"ZPower, LLC",Common Equity/Interests - Warrants,N/A,N/A,"29,630 Warrants",48,57,(9)(13),
229,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,
230,GFRC Holdings LLC,First Lien Secured Debt,"10.80 (3M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500,2500,2500,,
231,"Manufacturing, Capital Equipment",,,,,,,,
232,AVAD,,,,,,,,
233,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"6.52 (1M L+400, 1.00 Floor)",10/02/23,641,641,628,(9)(23),
234,AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,359,(19,(7,(8)(9)(21)(23),
235,"AVAD, LLC",First Lien Secured Debt,"10.27 (1M L+775, 1.00 Floor)",10/02/23,8194,8039,8031,(9),
236,"AVAD, LLC",First Lien Secured Debt - Revolver,"6.52 (1M L+400, 1.00 Floor)",10/02/23,12376,12376,12129,(9)(23),
237,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,3290,(298,(66,(8)(9)(21)(23),
238,MedPlast Holdings Inc.,Second Lien Secured Debt,10.55 (3M L+775),07/02/26,8000,7925,7800,(10),
239,Media – Diversified & Production,,,,,,,,
240,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(33,(44,(8)(10)(21)(23),
241,SESAC Holdco II LLC,Second Lien Secured Debt,"9.76 (1M L+725, 1.00 Floor)",02/24/25,3241,3216,3120,(10),
242,"Sonar Entertainment, Inc.",First Lien Secured Debt,"10.12 (1M L+760, 1.25 Floor)",11/15/21,9669,9508,9499,(9),
243,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"10.12 (1M L+760, 1.25 Floor)",11/15/21,6581,6581,6466,(9)(23),
244,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,16250,(382,(284,(8)(9)(21)(23),
245,Metals & Mining,,,,,,,,
246,"Magnetation, LLC",First Lien Secured Debt,10.80 (3M L+800 Cash (PIK Toggle)),12/31/19,1352,1182,157,(13)(14),
247,Telecommunications,,,,,,,,
248,IPC Corporation,First Lien Secured Debt,"7.51 (3M L+500, 1.00 Floor)",08/06/21,10000,9921,9383,(9),
249,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.77 (1M L+825, 1.00 Floor)",11/01/25,12878,12768,12459,(10),
250,"Transportation – Cargo, Distribution",,,,,,,,
251,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.80 (3M L+700),06/30/23,42000,41820,42000,(17),
252,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25,9/20/19 - 3/31/21,2750,0,0,(17)(23),
253,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,48956,37367,(17)(24),
254,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,74450,74300,(17)(25),
255,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.80 (3M L+800, 1.00 Floor)",12/08/25,9375,9293,9281,,
256,Utilities – Electric,,,,,,,,
257,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.04,05/18/27,58411,26363,29794,(11)(17)(19),
