,Industry,Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
306,"Purchasing Power, LLC","Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.40 Unfunded,01/24/24,8687,0,0,(9)(21)  (23),
309,Spectrum Automotive,CC SAG Holdings Corp.,First Lien Secured Debt,"6.50 (3M L+575, 0.75 Floor)",06/29/28,11434,11262,11262,(9),
310,Spectrum Automotive,CC SAG Holdings Corp.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/29/27,420,(6),0,(9)(21)  (23),
311,Spectrum Automotive,CC SAG Holdings Corp.,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,06/29/28,3147,(24),(24),(8)(9)  (21)(23),
314,"Ten-X, LLC","Ten-X, LLC",First Lien Secured Debt - Revolver,3.35 (1M L+325),09/29/22,4680,4575,4489,(23),
318,NFA Group,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625, 0.50 Floor)",07/30/25,30000,36205,41254,(9)(17),
322,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,143 Shares,534,503,(17)(15)  (25),
323,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,0,(13)(25),
324,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,0,(13)(25),
325,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series E Preferred Stock,N/A,N/A,"441,576 Shares",1902,5081,(13)(17)  (25),
326,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"633,948 Shares",634,800,(13)(17)  (25),
329,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,5562,7439,2544,(14)(17),
330,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5623,0,(2)(13)  (17),
331,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)  (17),
336,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK,03/29/21,41121,36926,4139,(11)(14),
337,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13)(25),
340,Pelican,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",16764,2170,(13)(16)  (17)(25),
342,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/21,24728,24728,25470,,
343,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,14.00 (8.00 Cash plus 6.00 PIK),07/31/21,49193,44059,11055,(14),
344,Spotted Hawk,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,14.00 PIK,07/31/21,92599,44380,0,(14),
345,Spotted Hawk,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16)  (25),
350,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",10/31/25,11574,11410,11180,(9),
351,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1366,(30),(46),(8)(9)  (21)(23),
352,Ortega National Parks,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/31/25,6202,(48),(211),(8)(9)  (21)(23),
356,Akoya,"Akoya Biosciences, Inc.",First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",10/27/25,9750,9772,9750,(9),
357,Akoya,"Akoya Biosciences, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/27/25,1500,(6),0,(9)(21)  (23),
360,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",06/05/24,29867,29485,29832,(9),
361,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (2M L+525, 1.00 Floor)",06/05/24,1423,1406,1421,(9),
362,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,806,(10),(1),(8)(9)  (21)(23),
363,AmeriVet,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,2477,(67),(3),(8)(9)  (21)(23),
364,AmeriVet,Amerivet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,230,(9)(13),
367,Analogic,Analogic Corporation,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,17987,17763,17717,(9),
368,Analogic,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,1826,(18),(27),(8)(9)  (21)(23),
371,BK Medical,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,7213,7164,7179,(9),
372,BK Medical,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/24,783,(5),(1),(8)(9)  (21)(23),
375,CARE Fertility,Royton Bidco Limited,First Lien Secured Debt,"6.75 (3M GBPL+625, 0.50 Floor)",05/09/25,17579,22426,24100,(9)(17),
376,CARE Fertility,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.19 Unfunded,05/09/25,2265,(55),(24),(8)(9)  (17)(21)  (23),
379,Cerus,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,16500,16455,16830,(9)(17),
380,Cerus,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55 (1M L+375, 1.80 Floor)",03/01/24,956,956,965,(9)(17)  (23),
381,Cerus,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,44,(1),0,(9)(17)  (21)(23),
382,Cerus,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,4500,(12),0,(9)(17)  (21)(23),
385,Dohmen Life Science Services,"LSCS Holdings, Inc",Second Lien Secured Debt,8.42 (6M L+825),03/16/26,19818,19545,19634,,
387,Eating Recovery Center,"ERC Finance, LLC",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",04/22/24,25492,25014,24982,(9),
388,Eating Recovery Center,"ERC Finance, LLC",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",04/22/24,278,278,272,(9)(23),
389,Eating Recovery Center,"ERC Finance, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/22/24,1013,(31),(20),(8)(9)  (21)(23),
390,Eating Recovery Center,"ERC Finance, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,04/22/24,2778,(13),(14),(8)(9)  (21)(23),
391,Eating Recovery Center,"ERC Finance, LLC",First Lien Secured Debt - Letters of Credit,6.00,07/05/21 - 06/15/22,376,0,(6),(8)(9)  (23),
394,Emmes Corporation,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,595,(9)(13),
395,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",03/03/25,4038,3980,3957,(9),
396,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt,"6.00 (6M L+500, 1.00 Floor)",03/03/25,11969,11859,11730,(9),
397,Emmes Corporation,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(22),(49),(8)(9)  (21)(23),
400,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/08/23,85870,(266),"(1,237)",(8)(9)  (21)(23),
401,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,6087,0,(74),(8)(9)  (21)(23),
404,Gossamer,"GB001, Inc.",First Lien Secured Debt,"9.00 (1M L+700, 2.00 Floor)",01/01/25,6000,6003,6060,(9)(17),
405,Gossamer,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,01/01/25,24000,(146),0,(9)(17)  (21)(23),
408,Health & Safety Institute,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",08/31/26,8958,8868,8839,(9),
409,Health & Safety Institute,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",08/30/25,135,135,134,(9)(23),
410,Health & Safety Institute,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/25,677,(6),(7),(8)(9)  (21)(23),
411,Health & Safety Institute,"HSI Halo Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,505,(9)(13),
414,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",05/30/24,6461,6405,6365,,
415,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",05/30/24,289,287,285,(23),
416,IMA Group,"IMA Group Management Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/30/24,6275,(121),(94),(8)(21)  (23),
419,Kindeva,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",05/01/26,1815,1778,1801,(9),
420,Kindeva,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Revolver,"7.00 (1M L+600, 1.00 Floor)",05/01/25,47,47,46,(9)(23),
421,Kindeva,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/01/25,120,(3),(1),(8)(9)  (21)(23),
424,KureSmart,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,177,(9)(13),
425,KureSmart,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",08/27/24,21825,21618,21504,(9),
426,KureSmart,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/27/24,2654,(25),(41),(8)(9)  (21)(23),
429,"Lanai Holdings III, Inc. (Patterson Medical)","Lanai Holdings III, Inc.",Second Lien Secured Debt,12.75 ( P+950),08/28/23,20049,19888,19876,,
431,Mannkind Corporation,Mannkind Corporation,First Lien Secured Debt,"7.25 (1M L+675, 0.50 Floor)",08/01/24,13866,13781,14356,(9),
432,Mannkind Corporation,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,30000,(27),0,(9)(21)  (23),
433,Mannkind Corporation,Mannkind Corporation,Warrants,N/A,N/A,"444,936 Shares",76,1737,(9)(13),
436,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",11/22/23,22438,22215,22418,(9),
437,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(11),0,(9)(21)  (23),
440,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt,"8.75 (1M L+775, 1.00 Floor)",12/31/24,28571,28170,28409,(9),
441,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,5714,(80),(33),(8)(9)  (21)(23),
442,Medical Guardian,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/24,5714,(114),(33),(8)(9)  (21)(23),
445,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",01/12/27,2599,2574,2573,(9),
446,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"7.25 (6M L+625, 1.00 Floor)",01/12/27,5690,5585,5633,(9),
447,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Revolver,8.50 (P+525),01/12/27,535,535,530,(9)(23),
448,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/12/27,76,(11),(1),(8)(9)  (21)(23),
449,Midwest Vision,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,01/12/27,1070,(34),(11),(8)(9)  (21)(23),
452,Orchard,Orchard Therapeutics plc,First Lien Secured Debt,"6.95 (1M L+595, 1.00 Floor)",05/28/26,11000,10962,11000,(9)(17),
453,Orchard,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/28/26,22333,(77),0,(9)(17)  (21)(23),
456,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",06/13/25,13866,13655,13791,(9),
457,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(25),(11),(8)(9)  (21)(23),
458,Ovation Fertility,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,06/13/25,5275,(39),(28),(8)(9)  (21)(23),
461,Paragon 28,"Paragon 28, Inc.",First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",05/01/26,2500,2488,2488,(9),
462,Paragon 28,"Paragon 28, Inc.",First Lien Secured Debt - Revolver,"4.00 (1M L+300, 1.00 Floor)",05/01/26,1000,1000,995,(9)(23),
463,Paragon 28,"Paragon 28, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/01/26,1000,(10),(5),(8)(9)  (21)(23),
464,Paragon 28,"Paragon 28, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/26,7500,0,0,(9)(21)  (23),
467,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",First Lien Secured Debt,"7.65 (1M L+665, 1.00 Floor)",01/01/23,10000,9943,9975,(9),
468,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,04/01/26,1000,(2),(3),(8)(9)  (21)(23),
469,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,349,(9)(13),
470,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,113,(9)(13),
473,PHS,"PHS Buyer, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",01/31/25,10203,10065,9948,(9),
474,PHS,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(27),(50),(8)(9)  (21)(23),
477,Radius Health,"Radius Health, Inc.",First Lien Secured Debt,"7.75 (1M L+575, 2.00 Floor)",06/01/24,29000,28664,28652,(9)(17),
478,Radius Health,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/01/24,1000,(2),0,(9)(17)  (21)(23),
479,Radius Health,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/01/24,4833,0,(58),(8)(9)  (17)(21)  (23),
482,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt,"5.50 (3M L+450, 1.00 Floor)",08/02/24,3905,3870,3897,(9),
483,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/24,395,(6),(1),(8)(9)  (21)(23),
484,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/02/24,575,(25),(1),(8)(9)  (21)(23),
485,RHA Health Services,"Pace Health Companies, LLC",First Lien Secured Debt - Letter of Credit,4.50,12/10/21,105,0,0,(9)(23),
488,Rigel Pharmaceuticals,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.15 (1M L+565, 1.50 Floor)",09/01/24,6000,6017,6048,(9),
490,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",09/13/23,13293,13133,13293,(9),
491,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/23,2000,(24),0,(9)(21)  (23),
496,Acronis AG,Acronis AG,First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",12/18/24,21000,20927,21000,(9)(17),
498,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",04/01/25,21596,21325,21596,(9),
499,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.59 (1M L+550),04/01/24,581,581,581,(9)(23),
500,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.63 (2M L+550),04/01/24,581,581,581,(9)(23),
501,American Megatrends,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,1744,(32),0,(9)(21)  (23),
504,"Calero Holdings, Inc.","Telesoft Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/16/25,22443,22066,22185,,
505,"Calero Holdings, Inc.","Telesoft Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/16/25,2273,(38),(26),(8)(21)  (23),
508,ChyronHego Corporation,ChyronHego Corporation (5),First Lien Secured Debt,"6.00 (3M L+350 Cash plus 1.50 PIK, 1.00 Floor)",12/31/22,84311,82120,81781,,
509,ChyronHego Corporation,ChyronHego Corporation (5),First Lien Secured Debt - Revolver,"6.00 (3M L+500, 1.00 Floor)",12/31/22,2406,2406,2334,(23),
510,ChyronHego Corporation,ChyronHego Corporation (5),First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/22,3594,0,(108),(8)(21)  (23),
511,ChyronHego Corporation,ChyronHego Corporation (5),Preferred Equity - Preferred Equity,N/A,N/A,"7,800 Shares",6000,6084,(13)(25)  (25),
514,Dairy.com,Momentx Corporation,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/24/27,13743,13469,13468,(9),
515,Dairy.com,Momentx Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/24/27,1257,(25),(25),(8)(9)  (21)(23),
518,Digital.ai,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",02/10/27,22524,21892,22186,(9),
519,Digital.ai,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/10/27,2419,(68),(36),(8)(9)  (21)(23),
522,GoHealth,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,3182,(51),0,(9)(21)  (23),
524,"International Cruise & Excursion Gallery, Inc.","International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",06/06/25,14550,14385,13613,,
526,LabVantage Solutions,LabVantage Solutions Inc.,First Lien Secured Debt,"8.50 (1M L+750, 1.00 Floor)",09/30/21,3165,3161,3165,,
527,LabVantage Solutions,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",09/30/21,5763,6193,6834,(17),
530,Magnitude Software,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"5.75 (3M E+475, 1.00 Floor)",05/01/26,728,805,855,(9),
531,Magnitude Software,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"5.75 (3M L+475, 1.00 Floor)",05/01/26,6778,6684,6711,(9),
532,Magnitude Software,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,05/01/26,0,0,0,(9)(21)  (23),
535,Modern Campus,"Destiny Solutions U.S., Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",06/08/26,15733,15376,15372,(26),
536,Modern Campus,"Destiny Solutions U.S., Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/08/26,4267,(97),(98),(8)(21)  (23)(26),
537,Modern Campus,"RMCF IV CIV XXXV, L.P.",Common Equity - Common Stock,N/A,N/A,482 Shares,1000,1000,(13),
540,MYCOM,Magnate Holding Corp.,First Lien Secured Debt,"7.75 (3M L+625 Cash plus 1 PIK, 0.50 Floor)",12/16/24,18467,18324,16139,(9)(17),
541,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.75 (3M L+625 Cash plus 1 PIK, 0.50 Floor)",12/14/23,3029,3005,2648,(9)(17)  (23),
542,MYCOM,Magnate Holding Corp.,First Lien Secured Debt - Letter of Credit,6.25,04/22/22,42,0,(5),(8)(9)  (17)(23),
545,"New Era Technology, Inc.","New Era Technology, Inc.",First Lien Secured Debt,"7.25 (3M L+625, 1.00 Floor)",10/31/26,15420,15129,15119,(9),
546,"New Era Technology, Inc.","New Era Technology, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/26,1049,(21),(21),(8)(9)  (21)(23),
547,"New Era Technology, Inc.","New Era Technology, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,10/31/26,8531,(91),(85),(8)(9)  (21)(23),
550,Pro Vigil,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"9.50 (1M L+850, 1.00 Floor)",01/13/25,7980,7769,7870,(9),
551,Pro Vigil,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,01/13/25,2000,(17),(28),(8)(9)  (21)(23),
554,Schlesinger Group,"Schlesinger Global, LLC",First Lien Secured Debt,"8.00 (3M L+600 Cash plus 1.00 PIK, 1.00 Floor)",07/12/25,9906,9722,9696,(9),
556,Simeio,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",01/30/26,8546,8448,8410,(9),
557,Simeio,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/30/26,1731,(20),(28),(8)(9)  (21)(23),
558,Simeio,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/30/26,4615,(26),(79),(8)(9)  (21)(23),
561,Sirsi Corporation,Sirsi Corporation,First Lien Secured Debt,"5.75 (3M L+475, 1.00 Floor)",03/15/24,6142,6092,6065,(9),
562,Sirsi Corporation,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,429,(3),(5),(8)(9)  (21)(23),
565,"Sontiq, Inc.","Sontiq, Inc.",First Lien Secured Debt,"8.50 (3M L+750, 1.00 Floor)",03/02/26,14131,13867,13881,(9),
566,"Sontiq, Inc.","Sontiq, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/02/26,833,(9),(15),(8)(9)  (21)(23),
569,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/23/26,9729,9599,9615,,
570,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/26,1463,(20),(17),(8)(21)  (23),
571,Springbrook,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/23/26,3659,(28),(43),(8)(21)  (23),
574,Tax Slayer,"MEP-TS Midco, LLC",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",12/31/26,34,33,34,(9),
575,Tax Slayer,"MEP-TS Midco, LLC",First Lien Secured Debt,"7.50 (6M L+650, 1.00 Floor)",12/31/26,13447,13200,13312,(9),
576,Tax Slayer,"MEP-TS Midco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/26,1452,(27),(15),(8)(9)  (21)(23),
579,Telnyx,Telnyx LLC,First Lien Secured Debt,"7.75 (1M L+625, 1.50 Floor)",10/21/25,5250,5226,5382,(9),
580,Telnyx,Telnyx LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/21/25,4750,(41),0,(9)(21)  (23),
585,High Street Insurance,"High Street Buyer, Inc.",First Lien Secured Debt,"6.75 (6M L+600, 0.75 Floor)",04/14/28,16476,16214,16146,(9),
586,High Street Insurance,"High Street Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/16/27,2203,(43),(44),(8)(9)  (21)(23),
587,High Street Insurance,"High Street Buyer, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,04/14/28,13821,(165),(138),(8)(9)  (21)(23),
590,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",12/02/25,19377,19011,18989,(9),
591,PGM Holdings Corporation,"Turbo Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/02/25,923,(17),(18),(8)(9)  (21)(23),
594,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.00 (3M L+600, 1.00 Floor)",04/15/25,26019,25583,26060,(9),
595,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",04/15/24,365,365,365,(9)(23),
596,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/15/24,974,(17),0,(9)(21)  (23),
597,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,04/15/25,4481,(90),0,(9)(21)  (23),
598,Relation Insurance,"AQ Sunshine, Inc.",First Lien Secured Debt - Letter of Credit,6.00,05/02/22,30,0,0,(9)(23),
603,"AVAD, LLC","AVAD, LLC",First Lien Secured Debt - Revolver,N/A,10/02/23,2060,869,0,(9)(23),
604,"AVAD, LLC","Surf Opco, LLC",First Lien Secured Debt - Revolver,"5.00 (1M L+400, 1.00 Floor)",03/16/26,8886,8886,8886,(9)(23),
605,"AVAD, LLC","Surf Opco, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/16/26,7781,0,0,(9)(21)  (23),
606,"AVAD, LLC","Surf Opco, LLC",Preferred Equity - Class P-1 Preferred,N/A,N/A,"33,333 Shares",3333,6667,(9)(13)  (16)(25),
607,"AVAD, LLC","Surf Opco, LLC",Preferred Equity - Class P-2 Preferred,N/A,N/A,"85,164 Shares",8516,3262,(9)(13)  (16)(25),
608,"AVAD, LLC","Surf Opco, LLC",Common Equity - Class A-1 Common,N/A,N/A,"3,333 Shares",0,235,(9)(13)  (16)(25),
