,Industry / Company,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (28),Fair Value (1)(29),,,
322,"Springbrook Holding Company, LLC",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",12/23/26,9853,9691,9656,,
323,Telestream Holdings Corporation,,,,,,,,
324,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (3M L +645, 1.00 Floor)",03/24/22,38085,37891,36942,(18),
325,"ZPower, LLC",,,,,,,,
326,"ZPower, LLC",First Lien Secured Debt,L+600,07/01/22,6716,6853,2066,(9)(13)(14),
327,Total High Tech Industries,362907,341580,,,,,,
328,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,
329,Garden Fresh,,,,,,,,
330,GFRC Holdings LLC,First Lien Secured Debt,L+800 Cash (L+800 PIK Toggle),02/01/22,2500,2500.0,2425,(13)(14),
331,"Total Hotel, Gaming, Leisure, Restaurants",2500,2425,,,,,,
332,Insurance,,,,,,,,
333,PGM Holdings Corporation,,,,,,,,
334,"Turbo Buyer, Inc.",First Lien Secured Debt,"7.52 (1M L+600, 1.00 Floor)",12/02/25,11942,11660,11524,(9),
335,PIB Group,,,,,,,,
336,Ivy Finco Limited,First Lien Secured Debt,5.27 (1M GBPL+500),06/07/25,£,12131,15103.0,14154,(9)(17)
337,Relation Insurance,,,,,,,,
338,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.42 (6M L+550, 1.00 Floor)",04/15/25,17008,16773,16354.0,(9),
339,Risk Strategies,,,,,,,,
340,"RSC Acquisition , Inc.",First Lien Secured Debt,"7.28 (3M L+550, 1.00 Floor)",11/02/26,16121,15832,15468,(17),
341,Total Insurance,65337,63006,,,,,,
342,"Manufacturing, Capital Equipment",,,,,,,,
343,"AVAD, LLC",,,,,,,,
344,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"5.58 (1M L+400, 1.00 Floor)",10/02/23,534,534.0,511,(9)(23),
345,"AVAD, LLC",First Lien Secured Debt,"9.33 (1M L+775, 1.00 Floor)",10/02/23,8587,8464,8231,(9),
346,Kauffman,,,,,,,,
347,"Kauffman Holdco, LLC",Common Equity/Interests - Class A Units,"250,000 Shares",250,187.0,(9)(13),,,
348,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.20 (3M L+575, 1.00 Floor)",05/08/25,16839,16552,16275,(9),
349,MedPlast Holdings Inc.,,,,,,,,
350,MedPlast Holdings Inc.,Second Lien Secured Debt,9.20 (3M L+775),07/02/26,8000,7937,7538,,
351,"Total Manufacturing, Capital Equipment",45022,43369,,,,,,
352,Media – Diversified & Production,,,,,,,,
353,New Wave Entertainment,,,,,,,,
354,"NW Entertainment, Inc.",First Lien Secured Debt,"8.00 (1M L+700, 1.00 Floor)",08/16/24,23700,23285.0,22738,(9),
355,Nitro World Entertainment,,,,,,,,
356,NWE OPCO LP,First Lien Secured Debt,"8.50 (1M L+650, 2.00 Floor)",12/19/22,5000,4977,4755,(9),
357,Sonar Entertainment,,,,,,,,
358,"Sonar Entertainment, Inc.",First Lien Secured Debt,"9.18 (1M L+760, 1.25 Floor)",11/15/21,8058,7981,7917,(9),
359,Total Media – Diversified & Production,43020,41856,,,,,,
360,Metals & Mining,,,,,,,,
361,"Magnetation, LLC",,,,,,,,
362,"Magnetation, LLC",First Lien Secured Debt,9.91 (6M L+800 Cash (PIK Toggle)),12/31/19,1213,581.0,0,(13)(14)(26),
363,Total Metals & Mining,581,0,,,,,,
364,Retail,,,,,,,,
365,IPS,,,,,,,,
366,"SI Holdings, Inc.",First Lien Secured Debt,"7.45 (3M L+600, 1.00 Floor)",07/25/25,31641,31067.0,30420,(9),
367,Rapid Displays,,,,,,,,
368,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"6.00 (1M L+500, 1.00 Floor)",07/01/25,440,432,423,(9),
369,Total Retail,47879,46839,,,,,,
370,Telecommunications,,,,,,,,
371,IPC Corporation,,,,,,,,
372,IPC Corporation,First Lien Secured Debt,"6.78 (3M L+500, 1.00 Floor)",08/06/21,10000,9959.0,8996,(9),
373,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"8.21 (3M L+650, 1.50 Floor)",08/06/21,843,815,789,(9)(17),
374,"Securus Technologies Holdings, Inc.",,,,,,,,
375,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",11/01/25,12878,12788,10817,,
376,Total Telecommunications,24105,21128,,,,,,
377,"Transportation – Cargo, Distribution",,,,,,,,
378,"Dynamic Product Tankers (Prime), LLC",,,,,,,,
379,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,8.94 (3M L+700),06/30/23,42000,41870.0,42000,(17),
380,Heniff and Superior,,,,,,,,
381,"Heniff Holdco, LLC",First Lien Secured Debt,"7.25 (1M L+575, 1.00 Floor)",12/03/26,31075,30477,29611,(9),
382,MSEA Tankers LLC,,,,,,,,
383,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,61950,59735.0,(17)(25),,,,
384,"Total Transportation – Cargo, Distribution",185665,169290,,,,,,
385,Wholesale,,,,,,,,
386,Banner Solutions,,,,,,,,
387,"Banner Buyer, LLC",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",10/31/25,12549,12345.0,11915,(9),
388,"Banner Parent Holdings, Inc",Common Equity/Interests - Common Stock,"5,000 Shares",500,331.0,(9)(13),,,
389,Total Wholesale,14316,13418,,,,,,
390,Total Investments before Cash Equivalents,3089613,2785433,,,,,,
