,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (28),Fair  Value (1)(29),,
243,,"AMP Solar Group, Inc. (4)",Common Equity/Interests - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,8039,(13)(17),
244,Renew Financial,Renew Financial,,,,,,,,
245,,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,635,(15)(17),
246,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,11371,(13),
247,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,5447,(13),
248,,Renew JV LLC (4),Common Equity/Interests - Membership Interests,N/A,N/A,N/A,3374,6192,(13)(17),
249,,Renew JV LLC (4),17819,23645,,,,,,
250,Solarplicity Group,Solarplicity Group,,,,,,,,
251,,Solarplicity Group Limited (4),First Lien Secured Debt,N/A,11/30/22,£,4331,5811,1705,(3)(17)
252,,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,6795,(17)
253,,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,4688,(2)(13)(17),
254,,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,138,(2)(13)(17),
255,,Solarplicity UK Holdings Limited,19313,13326,,,,,,
257,Energy – Oil & Gas,Energy – Oil & Gas,,,,,,,,
258,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/20,6000,6000,6000,,
259,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK (8.00 Cash Toggle),03/29/21,35425,35425,33443,,
260,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13),
261,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",71503,39443,,,,,,
262,,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",17003,3572,(13)(16)(17),
263,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/20,24000,24000,24720,,
264,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00,07/31/20,45457,45457,46821,,
266,Food & Grocery,Food & Grocery,,,,,,,,
267,Bumble Bee Foods,Bumble Bee Foods,,,,,,,,
268,,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,15.50 (P+850 Cash plus 2.00 PIK),08/15/23,15450,15234,14214,,
269,,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,15.50 (P+850 Cash plus 2.00 PIK),08/15/23,4377,4316,4027,,
271,Healthcare & Pharmaceuticals,Healthcare & Pharmaceuticals,,,,,,,,
272,Altasciences,Altasciences,,,,,,,,
273,,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49 (3M L+625, 1.00 Floor)",06/09/23,C$,2369,1740,1722,(9)(17)
274,,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.37 (3M L+625, 1.00 Floor)",06/09/23,2855,2815,2748,(9)(17),
275,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"8.37 (3M L+625, 1.00 Floor)",06/09/23,5110,5039,4918,(9),
276,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"8.35 (3M L+625, 1.00 Floor)",06/09/23,917,895,883,(9),
277,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"8.35 (3M L+625, 1.00 Floor)",06/09/23,962,962,926,(9)(23),
278,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,463,(20,(17,(8)(9)(21)(23)(27),
279,,"Altasciences US Acquistion, Inc.",11431,11180,,,,,,
280,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.79 (1M L+575, 1.00 Floor)",06/05/24,23185,22877,22692,(9),
281,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,806,(16,(17,(8)(9)(21)(23),
282,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,2861,(193,(61,(8)(9)(21)(23),
283,,"Amerivet Partners Management, Inc.",22668,22614,,,,,,
284,,Analogic Corporation,First Lien Secured Debt,"8.04 (1M L+600, 1.00 Floor)",06/22/24,27117,26582,26846,(9),
285,,Analogic Corporation,First Lien Secured Debt - Revolver,"8.04 (1M L+600, 1.00 Floor)",06/22/23,261,261,258,(9)(23),
286,,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,2348,(49,(23,(8)(9)(21)(23),
287,,Analogic Corporation,26794,27081,,,,,,
288,,Aptevo Therapeutics Inc.,First Lien Secured Debt,"9.70 (1M L+760, 0.50 Floor)",02/01/23,8571,8773,8494,(9),
289,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"10.05 (1M L+800, 1.00 Floor)",02/08/24,10538,10406,10264,(9),
290,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"10.06 (1M L+800, 1.00 Floor)",02/08/24,1083,1083,1055,(9),
291,,AVG Intermediate Holdings LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/08/24,1603,(127,(42,(8)(9)(21)(23),
292,,AVG Intermediate Holdings LLC,11362,11277,,,,,,
293,,"BioClinica Holding I, LP",Second Lien Secured Debt,"10.44 (3M L+825, 1.00 Floor)",10/21/24,24612,24277,22828,(10),
294,,Cerus Corporation,First Lien Secured Debt,"7.55 (1M L+545, 1.80 Floor)",03/01/24,12000,11946,12106,(9)(17),
295,,Cerus Corporation,First Lien Secured Debt - Revolver,"5.85 (1M L+375, 1.80 Floor)",03/01/24,187,187,189,(9)(17)(23),
296,,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,313,(1,0,(9)(17)(21)(23),
297,Emmes Corporation,Emmes Corporation,,,,,,,,
298,,"Emmes Blocker, Inc.",Common Equity/Interests - Common Stock,N/A,N/A,306 Shares,306,329,(9)(13),
299,,"The Emmes Company, LLC",First Lien Secured Debt,"7.60 (1M L+550, 1.00 Floor)",03/03/25,12184,12019,11940,(9),
300,,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(33,(49,(8)(9)(21)(23),
301,,"The Emmes Company, LLC",12292,12220,,,,,,
302,,"FPG Services, LLC",First Lien Secured Debt,"7.60 (3M L+550, 1.00 Floor)",06/13/25,12600,12361,12348,(9),
303,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(40,(42,(8)(9)(21)(23),
304,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/13/25,5263,(50,(53,(8)(9)(21)(23),
305,,"FPG Services, LLC",12271,12253,,,,,,
306,,"GB001, Inc.",First Lien Secured Debt,"8.26 (1M L+615, 2.00 Floor)",05/01/24,6000,5953,6030,(9)(17),
307,,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/24,24000,(220,0,(9)(17)(21)(23),
308,,"GB001, Inc.",5733,6030,,,,,,
309,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.13 (1M L+600, 0.50 Floor)",03/06/23,25000,24743,24770,(9),
310,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"13.13 (1M L+1100, 1.00 Floor)",03/06/23,9130,9130,9004,(9),
311,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"8.13 (1M L+600, 0.50 Floor)",03/06/23,17814,17814,17644,(9)(23),
312,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"5.38 (1M L+325, 0.50 Floor)",02/02/20,14032,14032,13898,(9)(23),
313,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/23,21143,(401,(202,(8)(9)(21)(23),
314,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/02/20,7881,(37,(75,(8)(9)(21)(23),
315,,"Genesis Healthcare, Inc.",65281,65039,,,,,,
316,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"7.87 (3M L+575, 1.00 Floor)",08/30/26,23443,23211,23208,(9),
317,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/25,2459,(24,(25,(8)(9)(21)(23),
318,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/30/26,4098,(40,(41,(8)(9)(21)(23),
319,,"HSI Halo Acquisition, Inc.",23147,23142,,,,,,
320,,"IMA Group Management Company, LLC",First Lien Secured Debt,"7.56 (3M L+550, 1.00 Floor)",05/30/24,4687,4644,4594,,
321,,"IMA Group Management Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/30/24,289,(3,(6,(8)(21)(23),
322,,"IMA Group Management Company, LLC",4641,4588,,,,,,
323,Kure Pain,Kure Pain,,,,,,,,
324,,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity/Interests - Common Stock,N/A,N/A,133 Shares,133,133,(9),
325,,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"7.55 (1M L+550, 1.00 Floor)",08/27/24,22213,21886,21880,(9),
326,,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Revolver,"7.55 (1M L+550, 1.00 Floor)",08/27/24,398,398,392,(9)(23),
327,,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/27/24,2256,(39,(34,(8)(9)(21)(23),
328,,"Kure Pain Holdings, Inc.",22378,22371,,,,,,
329,,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"10.76 (3M L+850, 1.00 Floor)",08/28/23,17391,17101,15652,,
330,,"LSCS Holdings, Inc",Second Lien Secured Debt,10.31 (3M L+825),03/16/26,19818,19444,19719,,
331,,Mannkind Corporation,First Lien Secured Debt,"8.85 (1M L+675, 2.00 Floor)",08/01/24,13867,13800,13797,(9),
332,,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,12133,(59,(61,(8)(9)(21)(23),
333,,Mannkind Corporation,13741,13736,,,,,,
334,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"7.60 (3M L+550, 1.00 Floor)",11/22/23,24604,24182,24174,(9),
335,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(24,(25,(8)(9)(21)(23),
336,,"Maxor National Pharmacy Services, LLC",24158,24149,,,,,,
337,,Orchard Therapeutics plc,First Lien Secured Debt,"8.10 (1M L+600, 1.00 Floor)",05/24/24,8333,8295,8292,(9)(17),
338,,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(78,(83,(8)(9)(17)(21)(23),
339,,Orchard Therapeutics plc,8217,8209,,,,,,
340,,"Pace Health Companies, LLC",First Lien Secured Debt,"6.77 (3M L+450, 1.00 Floor)",08/02/24,500,490,489,(9),
341,,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/24,500,(10,(11,(8)(9)(21)(23),
342,,"Pace Health Companies, LLC",480,478,,,,,,
343,,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.75 (3M L+665, 1.00 Floor)",12/31/19,1667,1706,1667,(9),
344,,"Partner Therapeutics, Inc",First Lien Secured Debt,"8.75 (1M L+665, 1.00 Floor)",01/01/23,10000,9877,9845,(9),
345,,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9)(13),
346,,"Partner Therapeutics, Inc",Common Equity/Interests  - Warrants,N/A,N/A,"33,333 Warrants",135,86,(9)(13),
347,,"Partner Therapeutics, Inc",12051,11931,,,,,,
348,,"PHS Buyer, Inc.",First Lien Secured Debt,"7.35 (3M L+525, 1.00 Floor)",01/31/25,12935,12676,12676,(9),
349,,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(40,(40,(8)(9)(21)(23),
350,,"PHS Buyer, Inc.",12636,12636,,,,,,
351,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.79 (1M L+575, 0.50 Floor)",07/12/23,£,1864,2424,2274,
352,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.79 (1M L+575, 0.50 Floor)",01/13/20,£,2377,3110,2900,
353,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.79 (1M L+575, 0.50 Floor)",07/12/23,€,6389,7225,6896,
354,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.79 (1M L+575, 0.50 Floor)",07/12/23,11007,10915,10896,,
355,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"7.79 (1M L+575, 0.50 Floor)",01/13/20,410,409,406,,
356,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Revolver,"7.79 (1M L+575, 0.50 Floor)",07/12/23,344,344,341,(23),
357,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/12/23,688,(9,(7,(8)(21)(23),
358,,"ProPharma Group Intermediate, LLC",24418,23706,,,,,,
359,,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.25 (1M L+615, 1.00 Floor)",05/01/21,10556,10535,10661,(9)(17),
360,,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.15 (1M L+565, 1.50 Floor)",09/01/24,3000,2993,2992,(9),
361,,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,09/01/24,3000,0,0,(9)(21)(23),
362,,"Rigel Pharmaceuticals, Inc.",2993,2992,,,,,,
363,,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.82 (3M L+650, 1.00 Floor)",09/13/23,14738,14420,14337,(9),
364,,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,2000,(38,(45,(8)(9)(21)(23),
365,,"RiteDose Holdings I, Inc.",14382,14292,,,,,,
366,,Royton Bidco Limited,First Lien Secured Debt,"6.51 (3M L+575, 0.50 Floor)",05/09/25,£,15588,19744,18633,(9)(17)
367,,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,05/09/25,£,4412,(81,(163,(8)(9)(17)(21)(23)
368,,Royton Bidco Limited,19663,18470,,,,,,
369,,SSCP Spring Bidco Limited,First Lien Secured Debt,"7.06 (6M L+625, 0.50 Floor)",07/30/25,£,88091,105115,105841,(9)(17)
370,,SSCP Spring Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.88 Unfunded,07/30/25,£,6909,(102,(213,(8)(9)(17)(21)(23)
371,,SSCP Spring Bidco Limited,105013,105628,,,,,,
372,,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(18,(52,(8)(17)(21)(23),
373,,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,1/13/20 - 05/11/20,360,0,(14,(8)(17)(23),
374,,"Teladoc, Inc.",(18,(66,,,,,,
375,,"Wright Medical Group, Inc.",First Lien Secured Debt,"9.95 (1M L+785, 1.00 Floor)",12/23/21,6667,6584,6667,(9)(17),
376,,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.35 (1M L+425, 0.75 Floor)",12/23/21,7666,7666,7590,(9)(17)(23),
377,,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,50667,(289,(507,(8)(9)(17)(21)(23),
378,,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/23/21,11667,(82,0,(9)(17)(21)(23),
379,,"Wright Medical Group, Inc.",13879,13750,,,,,,
381,High Tech Industries,High Tech Industries,,,,,,,,
382,,AMI US Holdings Inc.,First Lien Secured Debt,"7.60 (1M L+550, 1.00 Floor)",04/01/25,21983,21579,21763,(9),
383,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,7.60 (1M L+550),04/01/24,1628,1628,1599,(9)(23),
384,,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,1279,(52,(23,(8)(9)(21)(23),
385,,AMI US Holdings Inc.,23155,23339,,,,,,
386,,"ChargePoint, Inc.",First Lien Secured Debt,"8.65 (1M L+655, 1.25 Floor)",06/01/23,10500,10421,10458,(9),
387,,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,3725,3725,3725,,
388,,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,34579,34510,32158,(18),
389,,ChyronHego Corporation,38235,35883,,,,,,
390,,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"10.04 (1M L+800, 1.00 Floor)",10/31/25,12157,12111,12157,(10),
391,,"Digital Reasoning Systems, Inc.",First Lien Secured Debt,"8.34 (1M L+625, 2.00 Floor)",08/01/24,3750,3714,3712,(9),
392,,"Digital Reasoning Systems, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,1250,(12,(13,(8)(9)(21)(23),
393,,"Digital Reasoning Systems, Inc.",3702,3699,,,,,,
394,,"FiscalNote, Inc.",First Lien Secured Debt,"10.04 (1M L+800, 1.00 Floor)",08/21/23,28125,27522,27350,(9),
395,,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"10.04 (1M L+800, 1.00 Floor)",08/21/23,3038,3038,2954,(9)(23),
396,,"FiscalNote, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/21/23,3338,(91,(92,(8)(9)(21)(23),
397,,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,565 Shares",1500,1500,(9),
398,,"FiscalNote, Inc.",31969,31712,,,,,,
399,,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.29 (1M L+525, 1.00 Floor)",06/06/25,14813,14570,14701,,
400,LabVantage Solutions,LabVantage Solutions,,,,,,,,
401,,LabVantage Solutions Inc.,First Lien Secured Debt,"9.54 (1M L+750, 1.00 Floor)",12/29/20,10981,10891,10981,,
402,,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (1M E+750, 1.00 Floor)",12/29/20,€,11114,11866,12117,(17)
403,,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,€,3435,(24,0,(17)(21)(23)
404,,LabVantage Solutions Limited,22733,23098,,,,,,
405,,Magnate Holding Corp.,First Lien Secured Debt,"8.10 (3M L+600, 1.00 Floor)",12/16/24,16670,16453,16352,(9)(17),
406,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.13 (3M L+500, 1.00 Floor)",12/14/23,666,666,654,(9)(17)(23),
407,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.11 (3M L+500, 1.00 Floor)",12/14/23,999,999,981,(9)(17)(23),
408,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.10 (3M L+500, 1.00 Floor)",12/14/23,1025,1025,1007,(9)(17)(23),
409,,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,640,(42,(11,(8)(9)(17)(21)(23),
410,,Magnate Holding Corp.,19101,18983,,,,,,
411,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,5.00 (3M E+500),05/02/26,€,743,818,794,(9)
412,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"7.10 (3M L+500, 1.00 Floor)",05/02/26,6899,6769,6761,(9),
413,,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/02/26,2250,(21,(45,(8)(9)(21)(23),
414,,New Amsterdam Software BidCo LLC,7566,7510,,,,,,
415,,"Norvax, LLC",First Lien Secured Debt,"8.55 (1M L+650, 1.00 Floor)",09/13/25,31818,31029,31023,(9),
416,,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/24,3182,(79,(80,(8)(9)(21)(23),
417,,"Norvax, LLC",30950,30943,,,,,,
418,,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(235,(338,(8)(21)(23),
419,,Sirsi Corporation,First Lien Secured Debt,"6.78 (1M L+475, 1.00 Floor)",03/15/24,6983,6890,6878,(9),
420,,Sirsi Corporation,First Lien Secured Debt - Revolver,"6.79 (3M L+475, 1.00 Floor)",03/15/24,171,171,169,(9)(23),
421,,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,257,(6,(4,(8)(9)(21)(23),
422,,Sirsi Corporation,7055,7043,,,,,,
423,,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (1M L+645, 1.00 Floor)",03/24/22,38284,38043,37519,(18),
424,,"Wall Street Systems Delaware, Inc.",First Lien Secured Debt,"7.26 (1M L+500, 2.00 Floor)",11/21/24,13998,13733,13936,(10),
425,,"ZPower, LLC",First Lien Secured Debt,"8.10 (1M L+775, 1.00 Floor)",07/01/22,6482,6576,6361,(9),
426,,"ZPower, LLC",Common Equity/Interests  - Warrants,N/A,N/A,"29,630 Warrants",48,0,(9)(13),
427,,"ZPower, LLC",6624,6361,,,,,,
429,"Hotel, Gaming, Leisure, Restaurants","Hotel, Gaming, Leisure, Restaurants",,,,,,,,
430,,GFRC Holdings LLC,First Lien Secured Debt,"10.13 (1M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500,2500,2500,,
432,Insurance,Insurance,,,,,,,,
433,,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.60 (1M L+550, 1.00 Floor)",04/15/25,2129,2129,2088,(9),
434,,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.60 (3M L+550, 1.00 Floor)",04/15/25,14082,13822,13812,(9),
435,,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"7.61 (3M L+550, 1.00 Floor)",04/15/24,588,588,577,(9)(23),
436,,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/15/24,588,(21,(11,(8)(9)(21)(23),
437,,Ivy Finco Limited,First Lien Secured Debt,5.71 (1M L+500),06/07/25,£,11066,13692,13281,(9)(17)
438,,Ivy Finco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.50 Unfunded,06/07/25,£,6434,(144,(207,(8)(9)(17)(21)(23)
439,,Ivy Finco Limited,13548,13074,,,,,,
441,"Manufacturing, Capital Equipment","Manufacturing, Capital Equipment",,,,,,,,
442,AVAD,AVAD,,,,,,,,
443,,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"6.10 (1M L+400, 1.00 Floor)",10/02/23,1112,1112,1093,(9)(23),
444,,AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,221,(16,(3,(8)(9)(21)(23),
445,,"AVAD, LLC",First Lien Secured Debt,"9.85 (1M L+775, 1.00 Floor)",10/02/23,9170,9020,8983,(9),
446,,"AVAD, LLC",First Lien Secured Debt - Revolver,"6.10 (1M L+400, 1.00 Floor)",10/02/23,16309,16309,16032,(9)(23),
447,,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,2358,(251,(34,(8)(9)(21)(23),
448,,"AVAD, LLC",26174,26071,,,,,,
449,Kauffman,Kauffman,,,,,,,,
450,,"Kauffman Holdco, LLC",Common Equity - Common Stock/Interests,N/A,N/A,"250,000 Shares",250,244,(9)(13),
451,,"Kauffman Intermediate, LLC",First Lien Secured Debt,"7.85 (3M L+575, 1.00 Floor)",05/08/25,16926,16610,16742,(9),
452,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,2409,(48,(24,(8)(9)(21)(23),
453,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Letter of Credit,5.75,05/08/25,155,0,(2,(8)(9)(23),
454,,"Kauffman Intermediate, LLC",16812,16960,,,,,,
455,,MedPlast Holdings Inc.,Second Lien Secured Debt,9.85 (3M L+775),07/02/26,8000,7932,7500,(10),
457,Media – Diversified & Production,Media – Diversified & Production,,,,,,,,
458,,"NW Entertainment, Inc.",First Lien Secured Debt,"9.12 (3M L+700, 1.00 Floor)",08/16/24,24000,23532,23520,(9),
459,,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"9.12 (3M L+700, 1.00 Floor)",08/16/24,2400,2400,2352,(9)(23),
460,,"NW Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/16/24,600,(58,(12,(8)(9)(21)(23),
461,,"NW Entertainment, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,08/16/24,3000,(58,(60,(8)(9)(21)(23),
462,,"NW Entertainment, Inc.",25816,25800,,,,,,
463,,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(25,(6,(8)(10)(21)(23),
464,,"Sonar Entertainment, Inc.",First Lien Secured Debt,"9.70 (1M L+760, 1.25 Floor)",11/15/21,8662,8555,8511,(9),
465,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"9.70 (1M L+760, 1.25 Floor)",11/15/21,4567,4567,4487,(9)(23),
466,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,18264,(282,(320,(8)(9)(21)(23),
467,,"Sonar Entertainment, Inc.",12840,12678,,,,,,
469,Metals & Mining,Metals & Mining,,,,,,,,
470,,"Magnetation, LLC",First Lien Secured Debt,10.20 (6M L+800 Cash (PIK Toggle)),12/31/19,1213,1134,509,(13)(14),
472,Retail,Retail,,,,,,,,
473,,Rapid Displays Acquisition Corporation,First Lien Secured Debt,"7.25 (3M L+500, 1.00 Floor)",07/01/25,10962,10751,10742,(9),
474,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Revolver,"7.04 (1M L+525, 1.00 Floor)",07/01/25,692,692,678,(9)(23),
475,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/01/25,1615,(44,(32,(8)(9)(21)(23),
476,,Rapid Displays Acquisition Corporation,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,07/01/25,1731,(17,(17,(8)(9)(21)(23),
477,,Rapid Displays Acquisition Corporation,11382,11371,,,,,,
478,,"SI Holdings, Inc.",First Lien Secured Debt,"8.28 (3M L+600, 1.00 Floor)",07/25/25,21587,21168,21155,(9),
479,,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"8.28 (3M L+600, 1.00 Floor)",07/25/24,853,853,836,(9)(23),
480,,"SI Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/25/24,2560,(66,(51,(8)(9)(21)(23),
481,,"SI Holdings, Inc.",21955,21940,,,,,,
483,Telecommunications,Telecommunications,,,,,,,,
484,IPC,IPC,,,,,,,,
