,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity Date,Par/Shares (12),Cost (26),Fair Value (1)(27),,
266,,Go Car Wash Management Corp.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/26,417,(7),(9),(8)(9)  (21)(23),
267,,Go Car Wash Management Corp.,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/26,2917,(25),(66),(8)(9)  (21)(23),
268,,Go Car Wash Management Corp.,1606,1554,,,,,,
269,Lending Point,Lending Point,,,,,,,,
270,,LendingPoint LLC,First Lien Secured Debt,"11.50 (3M L+1050, 1.00 Floor)",12/30/25,11375,11261,11261,(9),
271,,LendingPoint LLC,First Lien Secured Debt - Revolver,"6.75 (3M L+575, 1.00 Floor)",12/30/25,633,633,627,(9)(23),
272,,LendingPoint LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/30/25,367,(10),(4),(8)(9)  (21)(23),
273,,LendingPoint LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,12/30/25,6125,(61),(61),(8)(9)  (21)(23),
274,,LendingPoint LLC,11823,11823,,,,,,
275,Nutrisystem,Nutrisystem,,,,,,,,
276,,"Nutrisystem, Inc.",First Lien Secured Debt,"7.50 (3M L+650, 1.00 Floor)",12/08/25,8800,8625,8624,,
277,,"Nutrisystem, Inc.",First Lien Secured Debt - Revolver,"7.50 (3M L+650, 1.00 Floor)",12/08/25,48,48,47,(23),
278,,"Nutrisystem, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/08/25,152,(4),(3),(8)(21)  (23),
279,,"Nutrisystem, Inc.",8669,8668,,,,,,
280,Only About Children,Only About Children,,,,,,,,
281,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt,"7.75 (1M BBSW+675, 1.00 Floor)",04/06/24,A$,6768,4934,4987,(17)
282,,Nemo (BC) Bidco Pty Ltd,First Lien Secured Debt - Unfunded Delayed Draw,2.59 Unfunded,04/06/24,A$,232,(6),(8),(8)(17)  (21)(23)
283,,Nemo (BC) Bidco Pty Ltd,4928,4979,,,,,,
284,Paper Source,Paper Source,,,,,,,,
285,,"Paper Source, Inc.",First Lien Secured Debt,"8.00 (3M L+700, 1.00 Floor)",05/22/24,11325,11171,8947,(9),
286,,"Paper Source, Inc.",First Lien Secured Debt - Revolver,9.25 (P+600),05/22/24,1890,1890,1493,(9)(23),
287,,"Paper Source, Inc.",First Lien Secured Debt - Revolver,"8.00 (3M L+700, 1.00 Floor)",05/22/24,1191,1150,941,(9)(23),
288,"Pinstripe Holdings, LLC","Pinstripe Holdings, LLC",,,,,,,,
289,,"Pinstripe Holdings, LLC",First Lien Secured Debt,6.27 (3M L+600),01/17/25,6878,6784,6796,,
290,The Club Company,The Club Company,,,,,,,,
291,,Eldrickco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625 PIK, 0.50 Floor)",11/21/25,£,10975,13781,14154,(9)(17)
292,,Eldrickco Limited,First Lien Secured Debt - Revolver,"6.75 (6M GBPL+625 PIK, 0.50 Floor)",05/21/25,£,356,410,458,(9)(17)  (23)
293,,Eldrickco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.93 Unfunded,11/21/25,£,3933,(90),(264),(8)(9)  (17)(21)  (23)
294,,Eldrickco Limited,14101,14348,,,,,,
295,"Tidewater Consumer Receivables, LLC","Tidewater Consumer Receivables, LLC",,,,,,,,
296,,"Tidewater Consumer Receivables, LLC",First Lien Secured Debt,5.90 (1M L+575),06/30/22,2522,2508,2566,(9)(17),
297,US Auto,US Auto,,,,,,,,
298,,"U.S. Auto Finance, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",04/17/22,11949,11976,11885,(9),
299,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Revolver,"7.00 (3M L+600, 1.00 Floor)",04/17/22,3740,3740,3719,(9)(23),
300,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/17/22,9594,(45),(52),(8)(9)  (21)(23),
301,,"U.S. Auto Finance, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,04/17/22,8222,(26),0,(9)(21)  (23),
302,,"U.S. Auto Finance, Inc.",15645,15552,,,,,,
304,"Containers, Packaging & Glass","Containers, Packaging & Glass",,,,,,,,
305,"TricorBraun Holdings, Inc.","TricorBraun Holdings, Inc.",,,,,,,,
306,,"TricorBraun Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.38 Unfunded,11/30/21,5625,(92),(12),(8)(21)  (23),
308,"Diversified Investment Vehicles, Banking, Finance, Real Estate","Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,
309,Celink,Celink,,,,,,,,
310,,Compu-Link Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/11/24,2273,(35),(28),(8)(9)  (21)(23),
311,,"Peer Advisors, LLC",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",06/11/24,19943,19633,19702,(9),
312,,"Peer Advisors, LLC",19598,19674,,,,,,
313,"Exeter Property Group, LLC","Exeter Property Group, LLC",,,,,,,,
314,,"Exeter Property Group, LLC",First Lien Secured Debt,4.65 (1M L+450),08/28/24,4563,4517,4512,(9),
315,,"Exeter Property Group, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/28/24,192,(2),(2),(8)(9)  (21)(23),
316,,"Exeter Property Group, LLC",4515,4510,,,,,,
317,"Flock Financial, LLC","Flock Financial, LLC",,,,,,,,
318,,"Flock SPV I, LLC",First Lien Secured Debt,"7.50 (1M L+650, 1.00 Floor)",08/30/22,14533,14500,14298,(9)(17),
319,,"Flock SPV I, LLC",First Lien Secured Debt - Revolver,"7.50 (1M L+650, 1.00 Floor)",08/30/22,1333,1328,1312,(9)(17)  (23),
320,,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,08/30/22,4133,(44),(67),(8)(9)  (17)(21)  (23),
321,,"Flock SPV I, LLC",15784,15543,,,,,,
322,Golden Bear,Golden Bear,,,,,,,,
323,,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16802,10071,(3)(17),
324,"Purchasing Power, LLC","Purchasing Power, LLC",,,,,,,,
325,,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,6.65 (1M L+650),01/24/22,9113,9112,9020,(9)(23),
326,"Ten-X, LLC","Ten-X, LLC",,,,,,,,
327,,"Ten-X, LLC",First Lien Secured Debt - Revolver,3.40 (1M L+325),09/29/22,4680,4533,4454,(23),
329,Education,Education,,,,,,,,
330,NFA Group,NFA Group,,,,,,,,
331,,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.75 (6M GPBL+625, 0.50 Floor)",07/30/25,£,30000,36118,40558,(9)(17)
333,Energy – Electricity,Energy – Electricity,,,,,,,,
334,"Renew Financial LLC (f/k/a Renewable Funding, LLC)","Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
335,,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,375,(17)(15)  (25),
336,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,330,(13)(25),
337,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,223,(13)(25),
338,,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series E Preferred Stock,N/A,N/A,"441,576 Shares",1902,4902,(13)(17)  (25),
339,,Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"741,526 Shares",742,861,(13)(17)  (25),
340,,Renew JV LLC (4),17089,6691,,,,,,
341,Solarplicity Group Limited (f/k/a AMP Solar UK),Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
342,,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,2444,(13)(14)  (17)
343,,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5623,0,(2)(13)  (17),
344,,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,0,(2)(13)  (17),
345,,Solarplicity UK Holdings Limited,13264,2444,,,,,,
347,Energy – Oil & Gas,Energy – Oil & Gas,,,,,,,,
348,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)","Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
349,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK,03/29/21,40121,36926,8179,(13)(14),
350,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"5,000,000 Shares",30078,0,(13)(25),
351,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",67004,8179,,,,,,
352,Pelican,Pelican,,,,,,,,
353,,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",16764,2170,(13)(16)  (17)(25),
354,Spotted Hawk,Spotted Hawk,,,,,,,,
355,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00,07/31/21,45917,44059,6895,(13)(14)  (16),
356,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3.00 PIK,07/31/21,86435,44380,0,(13)(14)  (16),
357,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/21,24728,24728,25470,(16),
358,,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16)  (25),
359,,"SHD Oil & Gas, LLC (5)",114578,32365,,,,,,
361,Environmental Industries,Environmental Industries,,,,,,,,
362,Denali,Denali,,,,,,,,
363,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",01/29/27,19004,18660,18624,(9),
364,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Revolver,"6.50 (3M L+550, 1.00 Floor)",01/29/26,2083,2083,2049,(9)(23),
365,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/29/26,956,(62),(16),(8)(9)  (21)(23),
366,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Letter of Credit,5.50,02/26/21 - 06/30/21,207,0,(4),(8)(9)  (23),
367,,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75 Unfunded,01/29/27,2623,(59),(52),(8)(9)  (21)(23),
368,,"Dispatch Acquisition Holdings, LLC",20622,20601,,,,,,
369,Ortega National Parks,Ortega National Parks,,,,,,,,
370,,"Ortega National Parks, LLC",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",10/31/25,11632,11449,11099,(9),
371,,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/31/25,1366,(33),(63),(8)(9)  (21)(23),
372,,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/31/25,6202,(54),(285),(8)(9)  (21)(23),
373,,"Ortega National Parks, LLC",11362,10751,,,,,,
375,Healthcare & Pharmaceuticals,Healthcare & Pharmaceuticals,,,,,,,,
376,Akoya,Akoya,,,,,,,,
377,,"Akoya Biosciences, Inc.",First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",10/27/25,9750,9720,9701,(9),
378,,"Akoya Biosciences, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,10/27/25,1500,(7),(8),(8)(9)  (21)(23),
379,,"Akoya Biosciences, Inc.",9713,9693,,,,,,
380,"Altasciences, Inc.","Altasciences, Inc.",,,,,,,,
381,,9360-1367 Quebec Inc.,First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",06/09/23,2817,2793,2769,(9)(17),
382,,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.00 (1M CBA +575, 1.00 Floor)",06/09/23,C$,2337,1726,1803,(9)(17)
383,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"6.75 (1M L+575, 1.00 Floor)",06/09/23,5950,5889,5846,(9),
384,,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/09/23,1426,(13),(25),(8)(9)  (21)(23)  (11),
385,,"Altasciences US Acquistion, Inc.",10395,10393,,,,,,
386,American Veterinary Group,American Veterinary Group,,,,,,,,
387,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.75 (1M L+825, 1.50 Floor)",02/08/24,13225,13040,13206,(9),
388,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.75 (3M L+825, 1.50 Floor)",02/08/24,2975,2911,2971,(9),
389,,AVG Intermediate Holdings LLC,15951,16177,,,,,,
390,AmeriVet,AmeriVet,,,,,,,,
391,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",06/05/24,511,504,509,(9),
392,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (6M L+525, 1.00 Floor)",06/05/24,26945,26540,26847,(9),
393,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"6.25 (2M L+525, 1.00 Floor)",06/05/24,1010,998,1007,(9),
394,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,7.50 (P+425),06/05/24,524,524,522,(9)(23),
395,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,282,(11),(1),(8)(9)  (21)(23),
396,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,5432,(78),(20),(8)(9)  (21)(23),
397,,Amerivet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,217,(9)(13)  (25),
398,,Amerivet Partners Parent LP,28602,29081,,,,,,
399,Analogic,Analogic,,,,,,,,
400,,Analogic Corporation,First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,18078,17815,17807,(9),
401,,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,1826,(23),(27),(8)(9)  (21)(23),
402,,Analogic Corporation,17792,17780,,,,,,
403,"BioClinica Holding I, LP","BioClinica Holding I, LP",,,,,,,,
404,,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.25 (1M L+825, 1.00 Floor)",10/21/24,24612,24345,24066,,
405,BK Medical,BK Medical,,,,,,,,
406,,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25 (1M L+525, 1.00 Floor)",06/22/24,7250,7193,7179,(9),
407,,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/24,783,(6),(6),(8)(9)  (21)(23),
408,,"BK Medical Holding Company, Inc.",7187,7173,,,,,,
409,CARE Fertility,CARE Fertility,,,,,,,,
410,,Royton Bidco Limited,First Lien Secured Debt,"6.75 (6M GBPL+625, 0.50 Floor)",05/09/25,£,15510,19769,20827,(9)(17)
411,,Royton Bidco Limited,First Lien Secured Debt,"6.75 (1M GBPL+625, 0.50 Floor)",05/09/25,£,2147,2699,2884,(9)(17)
412,,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01 Unfunded,05/09/25,£,2265,(63),(54),(8)(9)  (17)(21)  (23)
413,,Royton Bidco Limited,22405,23657,,,,,,
414,Cerus,Cerus,,,,,,,,
415,,Cerus Corporation,First Lien Secured Debt,"7.25 (1M L+545, 1.80 Floor)",03/01/24,12000,11961,12360,(9)(17),
416,,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55 (1M L+375, 1.80 Floor)",03/01/24,1,1,1,(9)(17)  (23),
417,,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,999,(1),0,(9)(17)  (21)(23),
418,,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,9000,(29),0,(9)(17)  (21)(23),
419,,Cerus Corporation,11932,12361,,,,,,
420,Dohmen Life Science Services,Dohmen Life Science Services,,,,,,,,
421,,"LSCS Holdings, Inc",Second Lien Secured Debt,8.51 (6M L+825),03/16/26,19818,19516,19220,,
422,Emmes Corporation,Emmes Corporation,,,,,,,,
423,,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,456,(9)(13),
424,,"The Emmes Company, LLC",First Lien Secured Debt,"6.00 (6M L+500, 1.00 Floor)",03/03/25,12031,11905,11730,(9),
425,,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(25),(61),(8)(9)  (21)(23),
426,,"The Emmes Company, LLC",12186,12125,,,,,,
427,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",,,,,,,,
428,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"6.50 (3M L+600, 0.50 Floor)",03/06/23,25000,24836,24523,(9),
429,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/08/23,60870,(343),"(1,364)",(8)(9)  (21)(23),
430,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,6087,0,(103),(8)(9)  (21)(23),
431,,"Genesis Healthcare, Inc.",24493,23056,,,,,,
432,Gossamer,Gossamer,,,,,,,,
433,,"GB001, Inc.",First Lien Secured Debt,"9.00 (1M L+700, 2.00 Floor)",01/01/25,6000,5988,6097,(9)(17),
434,,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,01/01/25,24000,(167),0,(9)(17)  (21)(23),
435,,"GB001, Inc.",5821,6097,,,,,,
436,Health & Safety Institute,Health & Safety Institute,,,,,,,,
437,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",08/31/26,9004,8904,8840,(9),
438,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Revolver,"6.75 (1M L+575, 1.00 Floor)",08/30/25,190,190,187,(9)(23),
439,,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/30/25,623,(6),(8),(8)(9)  (21)(23),
440,,"HSI Halo Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,493,(9)(13),
441,,"HSI Halo Acquisition, Inc.",9588,9512,,,,,,
442,IMA Group,IMA Group,,,,,,,,
443,,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.50 (6M L+550, 1.00 Floor)",05/30/24,5087,5052,4781,,
444,,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"6.50 (3M L+550, 1.00 Floor)",05/30/24,289,287,272,(23),
445,,"IMA Group Management Company, LLC",5339,5053,,,,,,
446,Kindeva,Kindeva,,,,,,,,
447,,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"7.00 (6M L+600, 1.00 Floor)",05/01/26,1824,1784,1808,(9),
448,,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/01/25,167,(4),(2),(8)(9)  (21)(23),
449,,Kindeva Drug Delivery L.P.,1780,1806,,,,,,
450,KureSmart,KureSmart,,,,,,,,
451,,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,135,(9)(13),
452,,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",08/27/24,21936,21695,21468,(9),
453,,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/27/24,2654,(29),(57),(8)(9)  (21)(23),
454,,"Kure Pain Holdings, Inc.",21799,21546,,,,,,
455,"Lanai Holdings III, Inc. (Patterson Medical)","Lanai Holdings III, Inc. (Patterson Medical)",,,,,,,,
456,,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.50 (3M L+1050 PIK, 1.00 Floor)",08/28/23,18725,18528,16557,,
457,Mannkind Corporation,Mannkind Corporation,,,,,,,,
458,,Mannkind Corporation,First Lien Secured Debt,"8.75 (1M L+675, 2.00 Floor)",08/01/24,17334,17210,17899,(9),
459,,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/01/24,8667,(31),0,(9)(21)  (23),
460,,Mannkind Corporation,Warrants,N/A,N/A,"444,936 Shares",76,1142,(9)(13),
461,,Mannkind Corporation,17255,19041,,,,,,
462,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",,,,,,,,
463,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",11/22/23,23644,23360,23331,(9),
464,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(15),(16),(8)(9)  (21)(23),
465,,"Maxor National Pharmacy Services, LLC",23345,23315,,,,,,
466,Medical Guardian,Medical Guardian,,,,,,,,
467,,"Medical Guardian, LLC",First Lien Secured Debt,"9.50 (1M L+850, 1.00 Floor)",12/31/24,28571,28114,28357,(9),
468,,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"9.50 (1M L+850, 1.00 Floor)",12/31/24,305,305,302,(9)(23),
469,,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/24,5410,(91),(41),(8)(9)  (21)(23),
470,,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,12/31/24,5714,(114),(43),(8)(9)  (21)(23),
471,,"Medical Guardian, LLC",28214,28575,,,,,,
472,Orchard,Orchard,,,,,,,,
473,,Orchard Therapeutics plc,First Lien Secured Debt,"7.00 (1M L+600, 1.00 Floor)",05/24/24,8333,8305,8347,(9)(17),
474,,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(57),0,(9)(17)  (21)(23),
475,,Orchard Therapeutics plc,8248,8347,,,,,,
476,Ovation Fertility,Ovation Fertility,,,,,,,,
477,,"FPG Services, LLC",First Lien Secured Debt,"6.50 (3M L+550, 1.00 Floor)",06/13/25,13937,13737,13630,(9),
478,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(29),(46),(8)(9)  (21)(23),
479,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/13/25,3768,(39),(83),(8)(9)  (21)(23),
480,,"FPG Services, LLC",13669,13501,,,,,,
481,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",,,,,,,,
482,,"Partner Therapeutics, Inc",First Lien Secured Debt,"7.65 (1M L+665, 1.00 Floor)",01/01/23,10000,9924,9975,(9),
483,,"Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,501,(9)(13),
484,,"Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,130,(9)(13),
485,,"Partner Therapeutics, Inc",10392,10606,,,,,,
486,PHS,PHS,,,,,,,,
487,,"PHS Buyer, Inc.",First Lien Secured Debt,"6.25 (3M L+525, 1.00 Floor)",01/31/25,10203,10046,9897,(9),
488,,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(31),(60),(8)(9)  (21)(23),
489,,"PHS Buyer, Inc.",10015,9837,,,,,,
490,Radius Health,Radius Health,,,,,,,,
491,,"Radius Health, Inc.",First Lien Secured Debt,"7.75 (1M L+575, 2.00 Floor)",06/01/24,7500,7483,7718,(9)(17),
492,,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/01/24,2000,(4),0,(9)(17)  (21)(23),
493,,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/01/24,9000,0,0,(9)(17)  (21)(23),
494,,"Radius Health, Inc.",7479,7718,,,,,,
495,RHA Health Services,RHA Health Services,,,,,,,,
496,,"Pace Health Companies, LLC",First Lien Secured Debt,"5.50 (3M L+450, 1.00 Floor)",08/02/24,543,536,537,(9),
497,,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/02/24,433,(7),(5),(8)(9)  (21)(23),
498,,"Pace Health Companies, LLC",First Lien Secured Debt - Letter of Credit,4.50,12/10/21,68,0,(1),(8)(9)  (23),
499,,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,08/02/24,3950,(29),(44),(8)(9)  (21)(23),
500,,"Pace Health Companies, LLC",500,487,,,,,,
501,Rigel Pharmaceuticals,Rigel Pharmaceuticals,,,,,,,,
502,,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.15 (1M L+565, 1.50 Floor)",09/01/24,6000,6007,6008,(9),
503,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",,,,,,,,
504,,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"7.50 (2M L+650, 1.00 Floor)",09/13/23,13883,13679,13883,(9),
505,,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/23,2000,(29),0,(9)(21)  (23),
506,,"RiteDose Holdings I, Inc.",13650,13883,,,,,,
508,High Tech Industries,High Tech Industries,,,,,,,,
509,Acronis AG,Acronis AG,,,,,,,,
510,,Acronis AG,First Lien Secured Debt,"7.85 (1M L+635, 1.50 Floor)",12/18/24,21000,20917,20654,(9)(17),
511,American Megatrends,American Megatrends,,,,,,,,
512,,AMI US Holdings Inc.,First Lien Secured Debt,"6.50 (1M L+550, 1.00 Floor)",04/01/25,21706,21398,21641,(9),
513,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.65 (1M L+550),04/01/24,1279,1279,1270,(9)(23),
514,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,5.64 (1M L+550),04/01/24,814,814,808,(9)(23),
515,,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,814,(38),(6),(8)(9)  (21)(23),
516,,AMI US Holdings Inc.,23453,23713,,,,,,
517,"Calero Holdings, Inc.","Calero Holdings, Inc.",,,,,,,,
518,,"Telesoft Holdings, LLC",First Lien Secured Debt,"6.75 (3M L+575, 1.00 Floor)",12/16/25,22557,22136,22097,,
519,,"Telesoft Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/16/25,2273,(42),(46),(8)(21)  (23),
520,,"Telesoft Holdings, LLC",22094,22051,,,,,,
521,ChargePoint,ChargePoint,,,,,,,,
522,,"ChargePoint, Inc.",First Lien Secured Debt,"7.80 (1M L+655, 1.25 Floor)",06/01/23,10500,10448,10810,(9),
523,ChyronHego Corporation,ChyronHego Corporation,,,,,,,,
524,,ChyronHego Corporation (5),First Lien Secured Debt,"6.00 (3M L+500, 1.00 Floor)",12/31/22,84100,81183,81577,,
525,,ChyronHego Corporation (5),First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/31/22,6000,0,(180),(8)(21)  (23),
526,,ChyronHego Corporation (5),Preferred Equity - Preferred Equity,N/A,N/A,"7,800 Shares",6000,5662,(13)(25),
527,,ChyronHego Corporation (5),87183,87059,,,,,,
528,GoHealth,GoHealth,,,,,,,,
