,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
255,"Flock SPV I, LLC",First Lien Secured Debt,6.67% (1M L+650),08/30/22,13067,13023,12860,(9)(17),
256,"Flock SPV I, LLC",First Lien Secured Debt - Revolver,6.67% (1M L+650),08/30/22,1198,1199,1180,(9)(17)  (23),
257,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/30/22,135,(7),(2),(8)(9)  (17)(21)  (23),
258,"Flock SPV I, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,08/30/22,5600,(58),(88),(8)(9)  (17)(21)  (23),
259,Golden Bear,,,,,,,,
260,"Golden Bear 2016-R, LLC (4)",Structured Products and Other - Membership Interests,N/A,09/20/42,N/A,16729,9815,(3)(17)  (28),
261,"Purchasing Power, LLC",,,,,,,,
262,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Revolver,7.50% (1M L+650),01/24/22,7133,7133,7028,(9)(23),
263,"Purchasing Power Funding I, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/24/22,1980,-,(29),(8)(9)  (21)(23),
264,"Taupo River II, LLC",,,,,,,,
265,"Taupo River II, LLC",First Lien Secured Debt,"6.25% (3M L+525, 1.00% Floor)",12/06/20,3000,2998,2997,(9)(17),
266,"Ten-X, LLC",,,,,,,,
267,"Ten-X, LLC",First Lien Secured Debt - Revolver,3.43% (1M L+325),09/29/22,1560,1371,1465,(23),
268,"Ten-X, LLC",First Lien Secured Debt - Revolver,3.44% (1M L+325),09/29/22,3120,3120,2929,(23),
269,Education,,,,,,,,
270,NFA Group,,,,,,,,
271,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.94% (6M GPBL+625, 0.50% Floor)",07/30/25,534,641,642,(9)(17),
272,SSCP Spring Bidco Limited,First Lien Secured Debt,"6.99% (6M GPBL+625, 0.50% Floor)",07/30/25,28370,34018,34059,(9)(17),
273,SSCP Spring Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.88% Unfunded,07/30/25,1095,(28),(38),(8)(9)  (17)(21)  (23),
274,Energy – Electricity,,,,,,,,
275,"AMP Solar Group, Inc.",,,,,,,,
276,"AMP Solar Group, Inc. (4)",Common Equity - Class A Common Unit,N/A,N/A,"243,646 Shares",10000,9035,(13)(17)  (28),
277,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,
278,"AIC SPV Holdings II, LLC (4)",Preferred Equity - Preferred Stock,N/A,N/A,"534,375 Shares",534,436,(17)(15)  (28),
279,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series B Preferred Stock,N/A,N/A,"1,505,868 Shares",8343,3692,(13)(28),
280,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",Preferred Equity - Series D Preferred Stock,N/A,N/A,"436,689 Shares",5568,2218,(13)(28),
281,Renew JV LLC (4),Common Equity - Membership Interests,N/A,N/A,"859,819 Shares",860,992,(13)(17)  (28),
282,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,
283,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00%,03/08/23,5562,7637,2539,(13)(14)  (17),
284,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,-,(2)(13)  (17),
285,Solarplicity UK Holdings Limited,Common Equity - Ordinary Shares,N/A,N/A,"2,825 Shares",4,-,(2)(13)  (17),
286,Energy – Oil & Gas,,,,,,,,
287,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,
288,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00% PIK Toggle (8.00% Cash),03/29/21,38172,36926,11492,(13)(14),
289,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity - Common Stock,N/A,N/A,"5,000,000 Shares",30078,-,(13)(28),
290,Pelican,,,,,,,,
291,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",16822,2411,(13)(16)  (17)(28),
292,Spotted Hawk,,,,,,,,
293,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00% PIK,07/31/21,24728,24728,25470,,
294,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00% PIK,07/31/21,45917,44998,22005,(13)(14),
295,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3.00% PIK,07/31/21,85125,44380,-,(13)(14),
296,Environmental Industries,,,,,,,,
297,Denali,,,,,,,,
298,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",01/29/27,16599,16251,16071,(9),
299,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Revolver,"6.50% (1M L+550, 1.00% Floor)",01/29/26,2137,2137,2077,(9)(23),
300,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/29/26,1109,(68),(31),(8)(9)  (21)(23),
301,"Dispatch Acquisition Holdings, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.75% Unfunded,01/29/27,5114,(64),(163),(8)(9)  (21)(23),
302,Ortega National Parks,,,,,,,,
303,"Ortega National Parks, LLC",First Lien Secured Debt,"6.32% (6M L+525, 1.00% Floor)",10/31/25,11201,11002,10710,(9),
304,"Ortega National Parks, LLC",First Lien Secured Debt,"6.25% (3M L+525, 1.00% Floor)",10/31/25,491,486,469,(9),
305,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"6.25% (3M L+525, 1.00% Floor)",10/31/25,2049,2049,1959,(9)(23),
306,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,10/31/25,-,(36),-,(8)(9)  (21)(23),
307,"Ortega National Parks, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,10/31/25,6202,(59),(272),(8)(9)  (21)(23),
308,Food & Grocery,,,,,,,,
309,Bumble Bee Foods S.À R.L.,,,,,,,,
310,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,N/A,01/31/24,126,-,-,,
311,Bumble Bee Holdings Inc,First Lien Secured Debt,N/A,01/31/24,443,-,-,,
312,Tonos US LLC,First Lien Secured Debt,"8.75% (3M L+725, 1.50% Floor)",01/31/24,9454,9569,9454,,
313,Healthcare & Pharmaceuticals,,,,,,,,
314,"Altasciences, Inc.",,,,,,,,
315,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.32% (6M L+625, 1.00% Floor)",06/09/23,2821,2790,2744,(9)(17),
316,9360-1367 Quebec Inc.,First Lien Secured Debt,"7.25% (3M L+625, 1.00% Floor)",06/09/23,12,12,11,(9)(17),
317,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.49% (3M CADL+625, 1.00% Floor)",06/09/23,2351,1731,1678,(9)(17),
318,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"7.32% (6M L+625, 1.00% Floor)",06/09/23,5959,5886,5795,(9),
319,"Altasciences US Acquistion, Inc.",First Lien Secured Debt,"7.25% (3M L+625, 1.00% Floor)",06/09/23,21,21,21,(9),
320,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Revolver,"7.25% (3M L+625, 1.00% Floor)",06/09/23,1418,1418,1380,(9)(23),
321,"Altasciences US Acquistion, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25% Unfunded,06/09/23,7,(16),-,(8)(9)  (21)(23)  (11),
322,American Veterinary Group,,,,,,,,
323,AVG Intermediate Holdings LLC,First Lien Secured Debt,"9.00% (1M L+800, 1.00% Floor)",02/08/24,11759,11649,11285,(9),
324,AVG Intermediate Holdings LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,02/08/24,1466,(105),(59),(8)(9)  (21)(23),
325,AmeriVet,,,,,,,,
326,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.75% (3M L+675, 1.00% Floor)",06/05/24,163,161,158,(9),
327,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"7.75% (6M L+675, 1.00% Floor)",06/05/24,26369,25914,25610,(9),
328,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,9.00% (P+575),06/05/24,524,524,509,(9)(23),
329,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/05/24,282,(13),(8),(8)(9)  (21)(23),
330,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,06/05/24,7485,(89),(216),(8)(9)  (21)(23),
331,Amerivet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,168,(9)(13)  (28),
332,Analogic,,,,,,,,
333,Analogic Corporation,First Lien Secured Debt,"6.25% (1M L+525, 1.00% Floor)",06/22/24,18170,17867,17806,(9),
334,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/22/23,1826,(27),(37),(8)(9)  (21)(23),
335,"BioClinica Holding I, LP",,,,,,,,
336,"BioClinica Holding I, LP",Second Lien Secured Debt,"9.25% (1M L+825, 1.00% Floor)",10/21/24,24612,24316,23404,,
337,BK Medical,,,,,,,,
338,"BK Medical Holding Company, Inc.",First Lien Secured Debt,"6.25% (1M L+525, 1.00% Floor)",06/22/24,7286,7221,7143,(9),
339,"BK Medical Holding Company, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,06/22/23,783,(7),(13),(8)(9)  (21)(23),
340,CARE Fertility,,,,,,,,
341,Royton Bidco Limited,First Lien Secured Debt,"6.98% (6M GBPL+625, 0.50% Floor)",05/09/25,294,372,345,(9)(17),
342,Royton Bidco Limited,First Lien Secured Debt,"6.75% (6M GBPL+625, 0.50% Floor)",05/09/25,16147,20466,18969,(9)(17),
343,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.01% Unfunded,05/09/25,3559,(70),(218),(8)(9)  (17)(21)  (23),
344,Cerus,,,,,,,,
345,Cerus Corporation,First Lien Secured Debt,"7.25% (1M L+545, 1.80% Floor)",03/01/24,12000,11955,12229,(9)(17),
346,Cerus Corporation,First Lien Secured Debt - Revolver,"5.55% (1M L+375, 1.80% Floor)",03/01/24,449,449,455,(9)(17)  (23),
347,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/01/24,51,(1),-,(9)(17)  (21)(23),
348,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,03/01/24,9000,(33),-,(9)(17)  (21)(23),
349,Dohmen Life Science Services,,,,,,,,
350,"LSCS Holdings, Inc",Second Lien Secured Debt,8.61% (6M L+825),03/16/26,19818,19487,19099,,
351,Emmes Corporation,,,,,,,,
352,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,313,(9)(13),
353,"The Emmes Company, LLC",First Lien Secured Debt,"6.59% (6M L+550, 1.00% Floor)",03/03/25,12092,11950,11729,(9),
354,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/03/25,2449,(29),(73),(8)(9)  (21)(23),
355,"Genesis Healthcare, Inc.",,,,,,,,
356,"Genesis Healthcare, Inc.",First Lien Secured Debt,"6.50% (1M L+600, 0.50% Floor)",03/06/23,25000,24799,24385,(9),
357,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/08/23,60870,(423),"(1,671)",(8)(9)  (21)(23),
358,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00% Unfunded,03/06/23,7609,-,-,(9)(21)  (23),
359,Gossamer,,,,,,,,
360,"GB001, Inc.",First Lien Secured Debt,"8.15% (1M L+615, 2.00% Floor)",05/01/24,6000,5978,6082,(9)(17),
361,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,05/01/24,24000,(184),-,(9)(17)  (21)(23),
362,Health & Safety Institute,,,,,,,,
363,"HSI Halo Acquisition, Inc.",First Lien Secured Debt,"6.75% (1M L+575, 1.00% Floor)",08/31/26,7657,7588,7376,(9),
364,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Revolver,8.00% (P+475),08/30/25,677,677,656,(9)(23),
365,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/30/25,135,(7),(4),(8)(9)  (21)(23),
366,"HSI Halo Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,08/31/26,1388,(24),(51),(8)(9)  (21)(23),
367,"HSI Halo Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,495,(9)(13)  (28),
368,IMA Group,,,,,,,,
369,"IMA Group Management Company, LLC",First Lien Secured Debt,"6.57% (6M L+550, 1.00% Floor)",05/30/24,5113,5073,4857,,
370,IM Acquirer LLC,First Lien Secured Debt - Revolver,"6.50% (3M L+550, 1.00% Floor)",05/30/24,289,287,275,(23),
371,Kindeva,,,,,,,,
372,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"7.00% (3M L+600, 1.00% Floor)",05/01/26,1833,1789,1791,(9),
373,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,05/01/25,167,(4),(4),(8)(9)  (21)(23),
374,KureSmart,,,,,,,,
375,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,117,(9)(13)  (28),
376,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"6.50% (1M L+550, 1.00% Floor)",08/27/24,22047,21772,21134,(9),
377,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Revolver,"6.50% (1M L+550, 1.00% Floor)",08/27/24,1327,1327,1271,(9)(23),
378,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/27/24,1327,(33),(56),(8)(9)  (21)(23),
379,"Lanai Holdings III, Inc. (Patterson Medical)",,,,,,,,
380,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.50% (3M L+1050 PIK, 1.00% Floor)",08/28/23,17764,17529,15086,,
381,Mannkind Corporation,,,,,,,,
382,Mannkind Corporation,First Lien Secured Debt,"8.75% (1M L+675, 2.00% Floor)",08/01/24,13867,13810,14054,(9),
383,Mannkind Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,08/01/24,8667,(35),-,(9)(21)  (23),
384,"Maxor National Pharmacy Services, LLC",,,,,,,,
385,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",11/22/23,23655,23323,23113,(9),
386,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Revolver,7.75% (P+450),11/22/22,779,779,765,(9)(23),
387,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,11/22/22,779,(19),(14),(8)(9)  (21)(23),
388,Medical Guardian,,,,,,,,
389,"Medical Guardian, LLC",First Lien Secured Debt,"9.50% (1M L+850, 1.00% Floor)",12/31/24,34286,33668,33720,(9),
390,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"9.50% (1M L+850, 1.00% Floor)",12/31/24,381,381,375,(9)(23),
391,"Medical Guardian, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/31/24,5333,(103),(89),(8)(9)  (21)(23),
392,Orchard,,,,,,,,
393,Orchard Therapeutics plc,First Lien Secured Debt,"7.00% (1M L+600, 1.00% Floor)",05/24/24,8333,8301,8271,(9)(17),
394,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,05/24/24,16667,(65),(125),(8)(9)  (17)(21)  (23),
395,Ovation Fertility,,,,,,,,
396,"FPG Services, LLC",First Lien Secured Debt,"6.50% (3M L+550, 1.00% Floor)",06/13/25,12505,12299,12039,(9),
397,"FPG Services, LLC",First Lien Secured Debt - Revolver,"6.50% (6M L+550, 1.00% Floor)",06/13/24,2105,2072,2026,(9)(23),
398,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,06/13/25,5263,(43),(196),(8)(9)  (21)(23),
399,"Partner Therapeutics, Inc",,,,,,,,
400,"Partner Therapeutics, Inc",First Lien Secured Debt,"7.65% (1M L+665, 1.00% Floor)",01/01/23,10000,9906,9975,(9),
401,"Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,564,(9)(13),
402,"Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,170,(9)(13),
403,PHS,,,,,,,,
404,"PHS Buyer, Inc.",First Lien Secured Debt,"6.25% (3M L+525, 1.00% Floor)",01/31/25,12203,11992,11837,(9),
405,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/31/25,2000,(34),(60),(8)(9)  (21)(23),
406,ProPharma,,,,,,,,
407,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.25% (1M L+575, 0.50% Floor)",07/12/23,6341,7181,6979,,
408,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.25% (1M L+575, 0.50% Floor)",07/12/23,4209,5479,5097,,
409,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"6.25% (1M L+575, 0.50% Floor)",07/12/23,11329,11253,11103,,
410,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Revolver,"6.25% (1M L+575, 0.50% Floor)",07/12/23,551,551,540,(23),
411,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/12/23,482,(7),(10),(8)(21)  (23),
412,"PTC Therapeutics, Inc",,,,,,,,
413,"PTC Therapeutics, Inc",First Lien Secured Debt,"7.15% (1M L+615, 1.00% Floor)",05/01/21,5806,5799,5990,(9)(17),
414,Radius Health,,,,,,,,
415,"Radius Health, Inc.",First Lien Secured Debt,"7.75% (1M L+575, 2.00% Floor)",06/01/24,3000,2993,3006,(9)(17),
416,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Revolver,0.00% Unfunded,06/01/24,2000,(4),-,(9)(17)  (21)(23),
417,"Radius Health, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,06/01/24,13500,-,-,(9)(17)  (21)(23),
418,RHA Health Services,,,,,,,,
419,"Pace Health Companies, LLC",First Lien Secured Debt,"5.50% (3M L+450, 1.00% Floor)",08/02/24,546,537,529,(9),
420,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,08/02/24,433,(8),(13),(8)(9)  (21)(23),
421,"Pace Health Companies, LLC",First Lien Secured Debt - Letter of Credit,4.50%,12/10/20,68,-,(2),(8)(9)  (23),
422,"Pace Health Companies, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,08/02/24,3950,(33),(122),(8)(9)  (21)(23),
423,Rigel Pharmaceuticals,,,,,,,,
424,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"7.15% (1M L+565, 1.50% Floor)",09/01/24,6000,5998,5958,(9),
425,"RiteDose Holdings I, Inc.",,,,,,,,
426,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"7.93% (3M L+650, 1.00% Floor)",09/13/23,14625,14369,14382,(9),
427,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/13/23,2000,(35),(25),(8)(9)  (21)(23),
428,"Teladoc, Inc.",,,,,,,,
429,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,07/14/20,1317,(1),-,(17)(21)  (23),
430,"Teladoc, Inc.",First Lien Secured Debt - Letter of Credit,7.25%,07/14/20,349,-,-,(17)(23),
431,"Wright Medical Group, Inc.",,,,,,,,
432,"Wright Medical Group, Inc.",First Lien Secured Debt,"8.85% (1M L+785, 1.00% Floor)",12/23/21,18334,18224,18563,(9)(17),
433,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"5.00% (1M L+425, 0.75% Floor)",12/23/21,21000,21000,21157,(9)(17)  (23),
434,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/23/21,37333,(192),-,(9)(17)  (21)(23),
435,High Tech Industries,,,,,,,,
436,Acronis AG,,,,,,,,
437,Acronis AG,First Lien Secured Debt,"7.35% (1M L+585, 1.50% Floor)",12/18/24,21000,20906,20509,(9)(17),
438,American Megatrends,,,,,,,,
439,AMI US Holdings Inc.,First Lien Secured Debt,"6.34% (6M L+525, 1.00% Floor)",04/01/25,21817,21471,21315,(9),
440,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.32% (6M L+525),04/01/24,698,698,680,(9)(23),
441,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.34% (6M L+525),04/01/24,581,581,567,(9)(23),
442,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,6.39% (3M L+525),04/01/24,1395,1395,1360,(9)(23),
443,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,04/01/24,233,(44),(6),(8)(9)  (21)(23),
444,"Calero Holdings, Inc.",,,,,,,,
445,"Telesoft Holdings, LLC",First Lien Secured Debt,"7.00% (3M L+600, 1.00% Floor)",12/16/25,22670,22205,22058,,
446,"Telesoft Holdings, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/16/25,2273,(47),(61),(8)(21)  (23),
447,ChargePoint,,,,,,,,
448,"ChargePoint, Inc.",First Lien Secured Debt,"7.80% (1M L+655, 1.25% Floor)",06/01/23,10500,10437,10374,(9),
449,ChyronHego Corporation,,,,,,,,
450,ChyronHego Corporation,First Lien Secured Debt,7.15% (P+390),03/09/20,34753,31182,31625,(27),
451,ChyronHego Corporation,First Lien Secured Debt,7.93% (P+468),03/09/20,3725,3725,3651,(27),
452,ChyronHego Corporation,First Lien Secured Debt,7.93% (P+468),03/09/20,34579,34410,28009,(27),
453,ChyronHego Corporation,First Lien Secured Debt - Revolver,7.15% (P+390),03/09/20,5050,5050,4848,(23)(27),
454,ChyronHego Corporation,First Lien Secured Debt - Unfunded Revolver,0.375% Unfunded,03/09/20,700,(581),(28),(8)(21)  (23)(27),
455,Digital Reasoning,,,,,,,,
456,"Digital Reasoning Systems, Inc.",First Lien Secured Debt,"8.25% (1M L+625, 2.00% Floor)",08/01/24,3750,3725,3732,(9),
457,"Digital Reasoning Systems, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00% Unfunded,08/01/24,1250,(10),(6),(8)(9)  (21)(23),
458,"Digital Reasoning Systems, Inc.",Warrants,N/A,N/A,"48,596 Shares",-,47,(9)(13)  (28),
459,FiscalNote,,,,,,,,
460,"FiscalNote, Inc.",First Lien Secured Debt,"9.00% (1M L+800, 1.00% Floor)",08/21/23,28906,28418,27692,(9),
461,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"9.00% (1M L+800, 1.00% Floor)",08/21/23,1312,1298,1292,(9)(23),
462,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,565 Shares",1500,1500,(9),
463,GoHealth,,,,,,,,
464,"Norvax, LLC",First Lien Secured Debt,"7.50% (3M L+650, 1.00% Floor)",09/15/25,31579,30894,30383,(9),
465,"Norvax, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,09/13/24,3182,(67),(106),(8)(9)  (21)(23),
466,"International Cruise & Excursion Gallery, Inc.",,,,,,,,
467,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"6.32% (6M L+525, 1.00% Floor)",06/06/25,14700,14491,13258,,
468,LabVantage Solutions,,,,,,,,
469,LabVantage Solutions Inc.,First Lien Secured Debt,"8.50% (1M L+750, 1.00% Floor)",12/29/20,8313,8286,8313,,
470,LabVantage Solutions Limited,First Lien Secured Debt,"8.50% (1M E+750, 1.00% Floor)",12/29/20,9079,9738,10197,(17),
471,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/29/20,3435,(5),-,(17)(21)  (23),
472,Magnitude Software,,,,,,,,
473,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.00% (3M L+500, 1.00% Floor)",05/01/26,6847,6733,6574,(9),
474,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"6.00% (1M E+500, 1.00% Floor)",05/01/26,736,811,793,(9),
475,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00% Unfunded,05/01/26,2250,(19),(90),(8)(9)  (21)(23),
476,MYCOM,,,,,,,,
477,Magnate Holding Corp.,First Lien Secured Debt,"7.32% (6M L+625, 0.50% Floor)",12/16/24,16587,16402,10790,(9)(17),
478,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.32% (6M L+625, 0.50% Floor)",12/14/23,1025,1025,667,(9)(17)  (23),
479,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"6.83% (6M L+625, 0.50% Floor)",12/14/23,666,666,433,(9)(17)  (23),
480,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.23% (6M L+625, 0.50% Floor)",12/14/23,999,999,650,(9)(17)  (23),
481,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75% Unfunded,12/14/23,500,(34),(175),(8)(9)  (17)(21)  (23),
482,Magnate Holding Corp.,First Lien Secured Debt - Letter of Credit,6.25%,04/22/21,140,-,(49),(8)(9)  (17)(23),
483,"Omnitracs, LLC",,,,,,,,
484,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.38% Unfunded,03/23/23,3750,(184),(347),(8)(21)  (23),
485,Schlesinger Group,,,,,,,,
486,"Schlesinger Global, LLC",First Lien Secured Debt,"7.00% (3M L+600, 1.00% Floor)",07/12/25,9942,9710,9663,(9),
487,Simeio,,,,,,,,
488,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"6.75% (1M L+575, 1.00% Floor)",01/30/26,8632,8512,8373,(9),
489,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,8.00% (P+475),01/30/26,577,577,559,(9)(23),
490,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,01/30/26,1154,(24),(36),(8)(9)  (21)(23),
491,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.75% Unfunded,01/30/26,4615,(32),(143),(8)(9)  (21)(23),
492,Sirsi Corporation,,,,,,,,
493,Sirsi Corporation,First Lien Secured Debt,"5.75% (3M L+475, 1.00% Floor)",03/15/24,6806,6730,6636,(9),
494,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,03/15/24,429,(5),(11),(8)(9)  (21)(23),
495,Springbrook,,,,,,,,
496,"Springbrook Holding Company, LLC",First Lien Secured Debt,"6.75% (3M L+575, 1.00% Floor)",12/23/26,9829,9673,9632,,
497,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50% Unfunded,12/23/26,1463,(24),(29),(8)(21)  (23),
498,"Springbrook Holding Company, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50% Unfunded,12/23/26,3658,(33),(73),(8)(21)  (23),
499,Telestream Holdings Corporation,,,,,,,,
500,Telestream Holdings Corporation,First Lien Secured Debt,"7.61% (3M L +645, 1.00% Floor)",03/24/22,37985,37815,36845,(18),
501,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,
502,Garden Fresh,,,,,,,,
