,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (30),Fair  Value (1) (31),,
248,,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,564 Shares",1500,1500,(9),
249,,"FiscalNote, Inc.",29923,29905,,,,,,
250,,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.49 (1M L+525, 1.00 Floor)",06/06/25,14962,14675,14888,,
251,LabVantage Solutions,LabVantage Solutions,,,,,,,,
252,,LabVantage Solutions Inc.,First Lien Secured Debt,"9.74 (1M L+750, 1.00 Floor)",12/29/20,12421,12238,12297,,
253,,LabVantage Solutions Limited,First Lien Secured Debt,"7.50 (1M E+750, 1.00 Floor)",12/29/20,€,12195,12930,14023,(17)
254,,LabVantage Solutions Limited,First Lien Secured Debt - Revolver,"7.50 (1M E+750, 1.00 Floor)",12/29/20,€,609,750,700,(17)(23)
255,,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,€,2827,(120,(33,(8)(17)(21)(23)
256,,LabVantage Solutions Limited,25798,26987,,,,,,
257,,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(302,(338,(8)(21)(23),
258,,"Smokey Merger Sub, Inc.",Second Lien Secured Debt,"10.82 (3M L+850, 1.00 Floor)",05/24/24,30000,29272,30300,(9),
259,,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (3M L +645, 1.00 Floor)",03/24/22,36166,35902,35262,(18),
260,,Tibco Software Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/05/19,6000,0,(840,(8)(21)(23),
261,,"ZPower, LLC",First Lien Secured Debt,"10.01 (1M L+775, 1.00 Floor)",07/01/22,6667,6659,6624,(9),
262,,"ZPower, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,07/01/22,1667,(7,(11,(8)(9)(21)(23),
263,,"ZPower, LLC",Common Equity/Interests - Warrants,N/A,N/A,"29,630 Warrants",48,65,(9)(13),
264,,"ZPower, LLC",6700,6678,,,,,,
266,"Hotel, Gaming, Leisure, Restaurants","Hotel, Gaming, Leisure, Restaurants",,,,,,,,
267,,GFRC Holdings LLC,First Lien Secured Debt,"10.21 (2M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500,2500,2500,,
269,Insurance,Insurance,,,,,,,,
270,,Confie Seguros Holding II Co.,Second Lien Secured Debt,"11.74 (1M L+950, 1.25 Floor)",05/08/19,16844,16823,16423,(10),
272,"Manufacturing, Capital Equipment","Manufacturing, Capital Equipment",,,,,,,,
273,,MedPlast Holdings Inc.,Second Lien Secured Debt,10.15 (3M L+775),07/02/26,8000,7922,8140,(10),
275,Media – Diversified & Production,Media – Diversified & Production,,,,,,,,
276,,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(1,(44,(8)(21)(23),
277,,SESAC Holdco II LLC,Second Lien Secured Debt,"9.49 (1M L+725, 1.00 Floor)",02/24/25,3241,3215,3231,(10),
279,Metals & Mining,Metals & Mining,,,,,,,,
280,,"Magnetation, LLC",First Lien Secured Debt,10.40 (3M L+800 Cash (PIK Toggle)),12/31/19,1352,1273,157,(13)(14),
282,Telecommunications,Telecommunications,,,,,,,,
283,,IPC Corporation,First Lien Secured Debt,"7.33 (3M L+500, 1.00 Floor)",08/06/21,10000,9913,9850,(9),
284,,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.49 (1M L+825, 1.00 Floor)",11/01/25,12878,12764,12958,(10),
285,,UniTek Global Services Inc.,First Lien Secured Debt - Letters of Credit,7.50,01/13/19,3415,0,0,(23),
287,"Transportation – Cargo, Distribution","Transportation – Cargo, Distribution",,,,,,,,
288,,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.39 (3M L+700),06/30/23,42000,41810,42000,(17),
289,,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25,9/20/19 - 1/31/21,2750,0,0,(17)(23),
290,,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,48956,39424,(17)(24),
291,,"Dynamic Product Tankers, LLC (5)",90766,81424,,,,,,
292,,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,74450,73775,(17)(25),
293,,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.39 (3M L+800, 1.00 Floor)",12/08/25,9375,9290,9516,,
295,Utilities – Electric,Utilities – Electric,,,,,,,,
296,,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.81,05/18/27,58411,26247,28747,(11)(17)(19),
