,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
290,Cerus Corporation,First Lien Secured Debt,"L+545, 1.80% Floor",03/01/24,16500,16457,16830,(9)(17)(26),
291,Cerus Corporation,First Lien Secured Debt,"L+545, 1.80% Floor",03/01/24,4500,(11),-,(9)(17)(23),
292,Cerus Corporation,First Lien Secured Debt - Revolver,"L+375, 1.80% Floor",03/01/24,1000,181,183,(9)(17)(21)  (23)(26),
293,Dohmen Life Science Services,,,,,,,,
294,"LSCS Holdings, Inc",Second Lien Secured Debt,"L+825, 0.00% Floor",03/16/26,19818,19556,19654,(29),
295,Eating Recovery Center,,,,,,,,
296,"ERC Finance, LLC",First Lien Secured Debt,"L+600, 1.00% Floor",04/22/24,25871,25433,25418,(9)(28),
297,"ERC Finance, LLC",First Lien Secured Debt,"L+600, 1.00% Floor",04/22/24,2333,(7),(41),(8)(9)(21)  (23),
298,"ERC Finance, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",04/22/24,1667,249,249,(9)(20)(21)  (23)(28),
299,Emmes Corporation,,,,,,,,
300,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,742,(9)(13),
301,"The Emmes Company, LLC",First Lien Secured Debt,"L+500, 1.00% Floor",03/03/25,15967,15809,15647,(9)(29),
302,"The Emmes Company, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",03/03/25,2449,(21),(49),(8)(9)(21)  (23),
303,EmpiRx,,,,,,,,
304,EmpiRx Health LLC,First Lien Secured Debt,"L+550, 1.00% Floor",08/05/27,9091,8912,9000,(9)(28),
305,EmpiRx Health LLC,First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",08/05/27,909,(18),(9),(8)(9)(21)  (23),
306,"Genesis Healthcare, Inc.",,,,,,,,
307,"Genesis Healthcare, Inc.",First Lien Secured Debt,"L+1100, 1.00% Floor",03/06/23,6087,-,(49),(8)(9)(21)  (23),
308,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"L+600, 0.50% Floor",03/06/23,85870,(212),(756),(8)(9)(21)  (23),
309,Gossamer,,,,,,,,
310,"GB001, Inc.",First Lien Secured Debt,"L+700, 2.00% Floor",01/01/25,6000,6002,6060,(9)(17)(26),
311,"GB001, Inc.",First Lien Secured Debt,"L+700, 2.00% Floor",01/01/25,24000,(139),-,(9)(17)(23),
312,Health & Safety Institute,,,,,,,,
313,"HSI HALO Acquisition, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",08/31/26,8935,8849,8803,(9)(28),
314,"HSI HALO Acquisition, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",09/01/25,813,130,127,(9)(21)(23)  (26),
315,"HSI HALO Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,533,(9)(13),
316,IMA Group,,,,,,,,
317,"IMA Group Management Company, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",05/30/24,6445,6392,6382,(28),
318,"IMA Group Management Company, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",05/30/24,6275,474,523,(21)(23)  (28),
319,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",05/30/24,289,259,257,(21)(23)  (28),
320,Kindeva,,,,,,,,
321,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"L+600, 1.00% Floor",05/01/26,9458,9281,9324,(9)(28),
322,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",05/01/25,167,70,70,(9)(21)(23)  (26),
323,KureSmart,,,,,,,,
324,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,211,(9)(13),
325,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"L+550, 1.00% Floor",08/27/24,21769,21575,21504,(9)(26),
326,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",08/27/24,2654,(28),(34),(8)(9)(21)  (23),
327,Mannkind Corporation,,,,,,,,
328,Mannkind Corporation,First Lien Secured Debt,"L+675, 1.00% Floor",08/01/25,13867,13782,14091,(9)(26),
329,Mannkind Corporation,First Lien Secured Debt,"L+675, 1.00% Floor",08/01/25,30000,(25),-,(9)(23),
330,Mannkind Corporation,Warrants,N/A,N/A,"444,936 Shares",76,1653,(9)(13),
331,"Maxor National Pharmacy Services, LLC",,,,,,,,
332,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",11/22/23,22438,22235,22438,(9)(28),
333,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",11/22/22,1558,(9),-,(9)(21)(23),
334,Medical Guardian,,,,,,,,
335,"Medical Guardian, LLC",First Lien Secured Debt,"L+750, 1.00% Floor",12/31/24,28400,28023,28349,(9)(26),
336,"Medical Guardian, LLC",First Lien Secured Debt,"L+800, 1.00% Floor",12/31/24,5714,(107),(10),(8)(9)(21)  (23),
337,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"L+825, 1.00% Floor",12/31/24,5714,(74),(10),(8)(9)(21)  (23),
338,Midwest Vision,,,,,,,,
339,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"L+625, 1.00% Floor",01/12/27,5676,5575,5619,(9)(28),
340,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"L+625, 1.00% Floor",01/12/27,3663,3423,3452,(9)(23)(28),
341,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00% Floor",01/12/27,612,(11),(6),(8)(9)(21)  (23),
342,Orchard,,,,,,,,
343,Orchard Therapeutics PLC,First Lien Secured Debt,"L+595, 1.00% Floor",05/28/26,11000,10961,11005,(9)(17)(26),
344,Orchard Therapeutics PLC,First Lien Secured Debt,"L+595, 1.00% Floor",05/28/26,22333,(71),-,(9)(17)(23),
345,Ovation Fertility,,,,,,,,
346,"FPG Services, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",06/13/25,13831,13631,13796,(9)(28),
347,"FPG Services, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",06/13/25,5274,530,555,(9)(21)(23)  (28),
348,"FPG Services, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",06/13/24,2105,(23),(5),(8)(9)(21)  (23),
349,Paragon 28,,,,,,,,
350,"Paragon 28, Inc.",First Lien Secured Debt,"L+600, 1.00% Floor",05/01/26,10000,2490,2450,(9)(23)(26),
351,"Paragon 28, Inc.",First Lien Secured Debt - Revolver,"L+300, 1.00% Floor",05/01/26,2000,1598,1597,(9)(21)(23)  (26),
352,"Partner Therapeutics, Inc",,,,,,,,
353,"Partner Therapeutics, Inc",First Lien Secured Debt,"L+665, 1.00% Floor",01/01/23,10000,9956,9875,(9)(26),
354,"Partner Therapeutics, Inc",First Lien Secured Debt - Revolver,"L+375, 1.00% Floor",04/01/26,1000,177,177,(9)(21)(23)  (26),
355,"Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,348,(9)(13),
356,"Partner Therapeutics, Inc",Warrants,N/A,N/A,"33,333 Shares",135,103,(9)(13),
357,PHS,,,,,,,,
358,"PHS Buyer, Inc.",First Lien Secured Debt,"L+525, 1.00% Floor",01/31/25,10203,10073,9948,(9)(28),
359,"PHS Buyer, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",01/31/25,2000,(30),(50),(8)(9)(21)  (23),
360,Radius Health,,,,,,,,
361,"Radius Health, Inc.",First Lien Secured Debt,"L+575, 2.00% Floor",06/01/24,29000,28682,28739,(9)(17)(26),
362,"Radius Health, Inc.",First Lien Secured Debt,"L+575, 2.00% Floor",06/01/24,4833,-,(44),(8)(9)(17)  (23),
363,"Radius Health, Inc.",First Lien Secured Debt - Revolver,"L+350, 2.00% Floor",06/01/24,1000,(2),(1),(8)(9)(17)  (21)(23),
364,RHA Health Services,,,,,,,,
365,"Pace Health Companies, LLC",First Lien Secured Debt,"L+450, 1.00% Floor",08/02/24,489,484,489,(9)(28),
366,"Pace Health Companies, LLC",First Lien Secured Debt,"L+450, 1.00% Floor",08/02/24,3982,3357,3401,(9)(23)(28),
367,"Pace Health Companies, LLC",First Lien Secured Debt - Revolver,"L+450, 1.00% Floor",08/02/24,500,3,(1),(8)(9)(20)  (21)(23),
368,Rigel Pharmaceuticals,,,,,,,,
369,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"L+565, 1.50% Floor",09/01/24,6000,6017,6058,(9)(26),
370,"RiteDose Holdings I, Inc.",,,,,,,,
371,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"L+650, 1.00% Floor",09/13/23,12627,12491,12627,(9)(28),
372,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",09/13/23,2000,(21),-,(9)(21)(23),
373,Unchained Labs,,,,,,,,
374,"Unchained Labs, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",08/09/27,1931,1893,1911,(9)(26),
375,"Unchained Labs, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",08/09/27,4839,(46),(48),(8)(9)(21) (23),
376,"Unchained Labs, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",08/09/27,726,(14),(7),(8)(9)(21)  (23),
378,High Tech Industries,,,,,,,,
379,Acronis AG,,,,,,,,
380,ACRONIS AG,First Lien Secured Debt,"L+585, 1.50% Floor",12/18/24,21000,20928,21000,(9)(17)(26),
381,American Megatrends,,,,,,,,
382,AMI US Holdings Inc.,First Lien Secured Debt,"L+550, 1.00% Floor",04/01/25,21541,21285,21541,(9)(26),
383,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,"L+550, 0.00% Floor",04/01/24,2907,1134,1163,(9)(21)(23)  (26),
384,"Calero Holdings, Inc.",,,,,,,,
385,"Telesoft Holdings, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",12/16/25,22386,22022,22203,(28),
386,"Telesoft Holdings, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/16/25,2273,(36),(19),(8)(21)(23),
387,ChyronHego Corporation,,,,,,,,
388,ChyronHego Corporation (5),First Lien Secured Debt,"L+350 Cash plus 1.50% PIK, 1.00% Floor",12/31/22,84634,82790,82941,(28),
389,ChyronHego Corporation (5),First Lien Secured Debt - Revolver,"L+500, 1.00% Floor",12/31/22,6000,5956,5836,(21)(23)  (28),
390,ChyronHego Corporation (5),Preferred Equity - Preferred Equity,N/A,N/A,"7,800 Shares",6000,6464,(13)(25),
391,Dairy.com,,,,,,,,
392,Momentx Corporation,First Lien Secured Debt,"L+550, 1.00% Floor",06/24/27,13709,13442,13454,(9)(28),
393,Momentx Corporation,First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",06/24/27,1257,(24),(23),(8)(9)(21)  (23),
394,Digital.ai,,,,,,,,
395,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt,"L+700, 1.00% Floor",02/10/27,22468,21862,22151,(9)(28),
396,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt - Revolver,"L+700, 1.00% Floor",02/10/27,2419,338,369,(9)(21)(23)  (28),
397,GoHealth,,,,,,,,
398,"Norvax, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",09/13/24,3182,351,398,(9)(21)(23)  (28),
399,"International Cruise & Excursion Gallery, Inc.",,,,,,,,
400,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"L+525, 1.00% Floor",06/06/25,14513,14357,13611,(28),
401,Magnitude Software,,,,,,,,
402,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"L+475, 1.00% Floor",05/01/26,6761,6671,6693,(9)(28),
403,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"E+475, 1.00% Floor",05/01/26,727,804,833,(9)(35),
404,Modern Campus,,,,,,,,
405,"Destiny Solutions U.S., Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",06/08/26,15733,15391,15308,(26)(28),
406,"Destiny Solutions U.S., Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",06/08/26,4267,(92),(115),(8)(21)(23),
407,"RMCF IV CIV XXXV, L.P.",Common Equity - Common Stock,N/A,N/A,482 Shares,1000,1309,(13)(25),
408,MYCOM,,,,,,,,
409,Magnate Holding Corp.,First Lien Secured Debt,"L+625, 0.50% Floor",12/16/24,18833,18701,17057,(9)(17)(28),
410,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"L+625, 0.50% Floor",12/14/23,3089,3068,2798,(9)(17)(23)  (28),
411,"New Era Technology, Inc.",,,,,,,,
412,"New Era Technology, Inc.",First Lien Secured Debt,"L+625, 1.00% Floor",10/31/26,14561,14288,14270,(9)(28),
413,"New Era Technology, Inc.",First Lien Secured Debt,"L+625, 1.00% Floor",10/31/26,9340,5045,4993,(9)(21)(23)  (28),
414,"New Era Technology, Inc.",First Lien Secured Debt - Revolver,"L+625, 1.00% Floor",10/30/26,1049,(20),(21),(8)(9)(21)  (23),
415,Pro Vigil,,,,,,,,
416,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"L+850, 1.00% Floor",01/11/25,7960,7761,7850,(9)(26),
417,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"L+850, 1.00% Floor",01/11/25,1999,916,904,(9)(21)(23)  (26),
418,Schlesinger Group,,,,,,,,
419,"Schlesinger Global, LLC",First Lien Secured Debt,"L+600 Cash plus 1.00% PIK, 1.00% Floor",07/12/25,9862,9690,9725,(9)(28),
420,Simeio,,,,,,,,
421,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"L+550, 1.00% Floor",02/02/26,8524,8431,8379,(9)(26),
422,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"L+525, 1.00% Floor",02/02/26,4615,(25),(84),(8)(9)(21) (23),
423,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00% Floor",02/02/26,1731,(19),(30),(8)(9)(21)  (23),
424,Sirsi Corporation,,,,,,,,
425,Sirsi Corporation,First Lien Secured Debt,"L+475, 1.00% Floor",03/15/24,5971,5925,5896,(9)(28),
426,Sirsi Corporation,First Lien Secured Debt - Revolver,"L+475, 1.00% Floor",03/15/24,429,(3),(5),(8)(9)(21)  (23),
427,"Sontiq, Inc.",,,,,,,,
428,"Sontiq, Inc.",First Lien Secured Debt,"L+750, 1.00% Floor",03/01/26,14096,13848,13890,(9)(28),
429,"Sontiq, Inc.",First Lien Secured Debt - Revolver,"L+750, 1.00% Floor",03/01/26,833,(8),(12),(8)(9)(21)  (23),
430,Springbrook,,,,,,,,
431,"Springbrook Holding Company, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",12/23/26,9274,9151,9174,(28),
432,"Springbrook Holding Company, LLC",First Lien Secured Debt,"L+550, 1.00% Floor",12/23/26,4090,1562,1558,(21)(23)  (28),
433,"Springbrook Holding Company, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/23/26,1463,(19),(16),(8)(21)(23),
434,Tax Slayer,,,,,,,,
435,"MEP-TS Midco, LLC",First Lien Secured Debt,"L+600, 1.00% Floor",12/31/26,13447,13203,13312,(9)(28)(29),
436,"MEP-TS Midco, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",12/31/26,1452,(25),(15),(8)(9)(21)  (23),
437,Telnyx,,,,,,,,
438,Telnyx LLC,First Lien Secured Debt,"L+625, 1.50% Floor",10/21/25,5250,5226,5277,(9)(26),
439,Telnyx LLC,First Lien Secured Debt,"L+625, 1.50% Floor",10/21/25,3333,(27),-,(9)(23),
440,UpStack,,,,,,,,
441,Upstack Holdco Inc.,First Lien Secured Debt,"L+600, 1.00% Floor",08/20/27,12000,11674,11670,(9)(29),
442,Upstack Holdco Inc.,First Lien Secured Debt,"L+600, 1.00% Floor",08/20/27,15000,(199),(206),(8)(9)(21)  (23),
443,Upstack Holdco Inc.,First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",08/20/27,3000,(81),(83),(8)(9)(20)  (21)(23),
445,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,
446,Taco Cabana,,,,,,,,
447,"YTC Enterprises, LLC",First Lien Secured Debt,"L+625, 1.00% Floor",08/16/26,9992,9871,9867,(9)(26),
449,Insurance,,,,,,,,
450,High Street Insurance,,,,,,,,
451,"High Street Buyer, Inc.",First Lien Secured Debt,"L+600, 0.75% Floor",04/14/28,16484,16174,16154,(9)(29),
452,"High Street Buyer, Inc.",First Lien Secured Debt,"L+600, 0.75% Floor",04/14/28,13771,10073,9998,(9)(23)(26),
453,"High Street Buyer, Inc.",First Lien Secured Debt - Revolver,"L+600, 0.75% Floor",04/16/27,2203,(41),(44),(8)(9)(21)  (23),
454,PGM Holdings Corporation,,,,,,,,
455,"Turbo Buyer, Inc.",First Lien Secured Debt,"L+575, 1.00% Floor",12/02/25,19327,18988,19005,(9)(28),
456,"Turbo Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/02/25,923,(16),(15),(8)(9)(21)  (23),
457,Relation Insurance,,,,,,,,
458,"AQ Sunshine, Inc.",First Lien Secured Debt,"L+600, 1.00% Floor",04/15/25,27434,26982,27417,(9)(28),
459,"AQ Sunshine, Inc.",First Lien Secured Debt,"L+600, 1.00% Floor",04/15/25,2996,(56),(20),(8)(9)(21)  (23),
460,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",04/15/24,1369,350,365,(9)(20)(21)  (23)(28),
462,"Manufacturing, Capital Equipment",,,,,,,,
463,"AVAD, LLC",,,,,,,,
464,"AVAD, LLC",First Lien Secured Debt - Revolver,"L+400, 1.00% Floor",10/02/23,2060,902,-,(9)(23)(26),
465,"Surf Opco, LLC",First Lien Secured Debt - Revolver,"L+400, 1.00% Floor",03/17/26,16667,10646,10646,(9)(20)(21)  (23)(26),
466,"Surf Opco, LLC",Preferred Equity - Class P-1 Preferred,N/A,N/A,"33,333 Shares",3333,6667,(9)(13)  (16)(25),
467,"Surf Opco, LLC",Preferred Equity - Class P-2 Preferred,N/A,N/A,"85,164 Shares",8516,3195,(9)(13)  (16)(25),
468,"Surf Opco, LLC",Common Equity - Class A-1 Common,N/A,N/A,"3,333 Shares",-,210,(9)(13)  (16)(25),
469,Kauffman,,,,,,,,
470,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,55,(9)(13),
471,"Kauffman Intermediate, LLC",First Lien Secured Debt,"L+650, 1.00% Floor",05/08/25,16414,16215,15932,(9)(28),
472,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00% Floor",05/08/25,1243,75,88,(9)(20)(21)  (23)(26),
473,MedPlast Holdings Inc.,,,,,,,,
474,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)",Second Lien Secured Debt,"L+775, 0.00% Floor",07/02/26,8000,7952,7546,(26),
476,Media – Diversified & Production,,,,,,,,
477,New Wave Entertainment,,,,,,,,
478,"NW Entertainment, Inc.",First Lien Secured Debt,"L+700 Cash plus 2.00% PIK, 1.00% Floor",08/16/24,27774,27471,27255,(9)(28)(29),
479,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"L+700 Cash plus 2.00% PIK, 1.00% Floor",08/16/24,3078,3043,3039,(9)(23)  (28),
480,Nitro World Entertainment,,,,,,,,
481,NWE OPCO LP,First Lien Secured Debt,"L+650, 2.00% Floor",12/19/22,4695,4685,4695,(9)(26),
482,Sonar Entertainment,,,,,,,,
483,"Sonar Entertainment, Inc.",First Lien Secured Debt,"L+760, 1.25% Floor",11/15/21,3611,3607,2954,(9)(26),
484,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"L+760, 1.25% Floor",11/15/21,2142,2099,1752,(9)(23)(26),
486,Retail,,,,,,,,
487,IPS,,,,,,,,
488,"SI Holdings, Inc.",First Lien Secured Debt,"L+600, 1.00% Floor",07/25/25,31165,30750,30619,(9)(28),
489,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00% Floor",07/25/24,3413,815,812,(9)(21)(23)  (28),
491,Telecommunications,,,,,,,,
492,IPC Corporation,,,,,,,,
493,IPC Corporation,First Lien Secured Debt,"P+400, 0.00% Floor",08/15/21,10000,9995,10000,(9)(11)(19)  (34),
494,IPC Information Systems UK Holdings Limited,First Lien Secured Debt,"L+650, 1.50% Floor",10/07/21,1405,1405,1405,(9)(17)(28),
495,"Securus Technologies Holdings, Inc.",,,,,,,,
496,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"L+825, 1.00% Floor",11/01/25,12878,12808,11590,(28),
498,"Transportation – Cargo, Distribution",,,,,,,,
499,Beacon Mobility,,,,,,,,
500,Beacon Mobility Corp.,First Lien Secured Debt,"L+550, 1.00% Floor",05/22/24,14023,10222,10229,(9)(21)(23)  (28),
501,Beacon Mobility Corp.,First Lien Secured Debt - Revolver,"L+550, 1.00% Floor",05/22/24,957,(17),(17),(8)(9)(21)  (23),
502,"Dynamic Product Tankers (Prime), LLC",,,,,,,,
503,"Dynamic Product Tankers, LLC (5)",Unsecured Debt,"L+500, 0.00% Floor",07/31/24,22000,22000,22000,(17)(29),
504,"Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,16125,(13)(17)  (24)(25),
505,Heniff and Superior,,,,,,,,
506,"Heniff Holdco, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",12/03/26,30609,30105,29556,(9)(28),
507,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",12/03/24,3925,1389,1354,(9)(20)(21)  (23)(28),
508,MSEA Tankers LLC,,,,,,,,
509,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,53739,50604,(17)(18)(25),
511,Wholesale,,,,,,,,
512,Banner Solutions,,,,,,,,
513,"Banner Buyer, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",10/31/25,12360,12211,12262,(9)(26),
514,"Banner Buyer, LLC",First Lien Secured Debt,"L+575, 1.00% Floor",10/31/25,5468,2953,2973,(9)(21)(23) (26),
515,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00% Floor",10/31/25,1935,104,114,(9)(21)(23)  (26),
516,"Banner Parent Holdings, Inc.",Common Equity - Common Stock,N/A,N/A,"6,125 Shares",613,604,(9)(13),
