,new_Industry,Industry / Company,Investment Type,Interest Rate,Maturity Date,Par/Shares (12),Cost (35),Fair Value (1)(36),,
287,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",41058,6116,,,,,,
288,Pelican,Pelican,,,,,,,,
289,,"Pelican Energy, LLC (4)",Common Equity - Membership Interests,N/A,N/A,"1,444 Shares",13063,630,(13)(16)(17)  (25),
290,Spotted Hawk,Spotted Hawk,,,,,,,,
291,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,06/30/22,24728,24728,25470,,
292,,"SHD Oil & Gas, LLC (5)",Common Equity - Series A Units,N/A,N/A,"7,600,000 Shares",1412,0,(13)(16)(25),
293,,"SHD Oil & Gas, LLC (5)",Common Equity - Series C Units,N/A,N/A,"50,952,525 Shares",44065,2839,(13)(16)(25),
294,,"SHD Oil & Gas, LLC (5)",70205,28309,,,,,,
296,Environmental Industries,Environmental Industries,,,,,,,,
297,Ortega National Parks,Ortega National Parks,,,,,,,,
298,,"Ortega National Parks, LLC",First Lien Secured Debt,"L+525, 1.00 Floor",10/31/25,15590,9229,9223,(9)(21)(23)  (29),
299,,"Ortega National Parks, LLC",First Lien Secured Debt - Revolver,"L+525, 1.00 Floor",10/31/25,2049,(27),(22),(8)(9)(21)  (23),
301,Healthcare & Pharmaceuticals,Healthcare & Pharmaceuticals,,,,,,,,
302,83bar,83bar,,,,,,,,
303,,"83Bar, Inc.",First Lien Secured Debt,"L+575, 1.50 Floor",07/02/26,5000,4975,4975,(9)(26),
304,Akoya,Akoya,,,,,,,,
305,,"Akoya Biosciences, Inc.",First Lien Secured Debt,"L+635, 1.50 Floor",10/27/25,9750,9771,9750,(9)(26),
306,AmeriVet,AmeriVet,,,,,,,,
307,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"L+475, 1.00 Floor",06/05/24,33617,33202,33265,(9)(27),
308,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Revolver,"L+475, 1.00 Floor",06/05/24,806,(8),(9),(8)(9)(21)  (23),
309,,AmeriVet Partners Parent LP,Common Equity - Class D Partnership Units,N/A,N/A,13 Shares,125,299,(9)(13),
310,,AmeriVet Partners Parent LP,33319,33555,,,,,,
311,Analogic,Analogic,,,,,,,,
312,,Analogic Corporation,First Lien Secured Debt,"L+525, 1.00 Floor",06/22/24,17896,17707,17627,(9)(26),
313,,Analogic Corporation,First Lien Secured Debt - Revolver,"L+525, 1.00 Floor",06/22/23,1826,1030,1016,(9)(21)(23)  (26),
314,,Analogic Corporation,18737,18643,,,,,,
315,CARE Fertility,CARE Fertility,,,,,,,,
316,,Royton Bidco Limited,First Lien Secured Debt,"SON+525, 0.50 Floor",05/09/25,£,19766,22335,23473,(9)(17)(21)  (23)(31)
317,Cato Research,Cato Research,,,,,,,,
318,,"LS Clinical Services Holdings, Inc.",First Lien Secured Debt,"L+675, 1.00 Floor",12/16/27,13125,12800,12797,(9)(28),
319,,"LS Clinical Services Holdings, Inc.",First Lien Secured Debt - Revolver,"L+675, 1.00 Floor",12/16/26,1875,(46),(47),(8)(9)(21)  (23),
320,,"LS Clinical Services Holdings, Inc.",12754,12750,,,,,,
321,Cerus,Cerus,,,,,,,,
322,,Cerus Corporation,First Lien Secured Debt,"L+545, 1.80 Floor",03/01/24,21000,16449,16830,(9)(17)(23)  (26),
323,,Cerus Corporation,First Lien Secured Debt - Revolver,"L+375, 1.80 Floor",03/01/24,1500,318,324,(9)(17)(21)  (23)(26),
324,,Cerus Corporation,16767,17154,,,,,,
325,Emmes Corporation,Emmes Corporation,,,,,,,,
326,,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,842,(9)(13),
327,,"The Emmes Company, LLC",First Lien Secured Debt,"L+500, 1.00 Floor",03/03/25,15926,15782,15687,(9)(29),
328,,"The Emmes Company, LLC",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",03/03/25,2449,2429,2412,(9)(23)(26),
329,,"The Emmes Company, LLC",18517,18941,,,,,,
330,EmpiRx,EmpiRx,,,,,,,,
331,,EmpiRx Health LLC,First Lien Secured Debt,"L+550, 1.00 Floor",08/05/27,9091,8919,9000,(9)(27),
332,,EmpiRx Health LLC,First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",08/05/27,909,(17),(9),(8)(9)(21)  (23),
333,,EmpiRx Health LLC,8902,8991,,,,,,
334,Forge Biologics,Forge Biologics,,,,,,,,
335,,"Forge Biologics, Inc.",First Lien Secured Debt,"L+675, 0.50 Floor",12/03/26,26667,3202,3201,(9)(23)(26),
336,"Genesis Healthcare, Inc.","Genesis Healthcare, Inc.",,,,,,,,
337,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"L+1100, 1.00 Floor",03/06/23,6087,0,0,(9)(21)(23),
338,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"L+600, 0.50 Floor",03/06/23,85870,(171),0,(9)(21)(23),
339,,"Genesis Healthcare, Inc.",(171),0,,,,,,
340,Gossamer,Gossamer,,,,,,,,
341,,"GB001, Inc.",First Lien Secured Debt,"L+700, 2.00 Floor",01/01/25,30000,5873,6060,(9)(17)(23)  (26),
342,Health & Safety Institute,Health & Safety Institute,,,,,,,,
343,,"HSI HALO Acquisition, Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",08/31/26,16412,13524,13360,(9)(21)(23)  (28),
344,,"HSI HALO Acquisition, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",09/02/25,813,131,121,(9)(21)(23)  (26),
345,,"HSI HALO Acquisition, Inc.",Common Equity - Common Stock,N/A,N/A,500 Shares,500,612,(9)(13),
346,,"HSI HALO Acquisition, Inc.",14155,14093,,,,,,
347,IMA Group,IMA Group,,,,,,,,
348,,"IMA Group Management Company, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",05/30/24,12704,6866,6887,(21)(23)(29),
349,,"IMA Group Management Company, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",05/30/24,289,259,257,(21)(23)(27),
350,,"IMA Group Management Company, LLC",7125,7144,,,,,,
351,Kindeva,Kindeva,,,,,,,,
352,,Kindeva Drug Delivery L.P.,First Lien Secured Debt,"L+600, 1.00 Floor",05/01/26,9434,9267,9372,(9)(28),
353,,Kindeva Drug Delivery L.P.,First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",05/01/25,167,77,78,(9)(21)(23)  (26),
354,,Kindeva Drug Delivery L.P.,9344,9450,,,,,,
355,KureSmart,KureSmart,,,,,,,,
356,,"Clearway Corporation (f/k/a NP/Clearway Holdings, Inc.)",Common Equity - Common Stock,N/A,N/A,133 Shares,133,206,(9)(13),
357,,"Kure Pain Holdings, Inc.",First Lien Secured Debt,"L+500, 1.00 Floor",08/27/24,21714,21532,21403,(9)(26),
358,,"Kure Pain Holdings, Inc.",First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",08/27/24,2654,(26),(40),(8)(9)(21)  (23),
359,,"Kure Pain Holdings, Inc.",21639,21569,,,,,,
360,Mannkind Corporation,Mannkind Corporation,,,,,,,,
361,,Mannkind Corporation,First Lien Secured Debt,"L+675, 1.00 Floor",08/01/25,13866,13784,14094,(9)(26),
362,,Mannkind Corporation,First Lien Secured Debt,"L+625, 1.00 Floor",08/01/25,30000,(24),0,(9)(23),
363,,Mannkind Corporation,Common Equity - Common Stock,N/A,N/A,"334,226 Shares",76,1461,(9)(10)(13)  (17),
364,,Mannkind Corporation,13836,15555,,,,,,
365,"Maxor National Pharmacy Services, LLC","Maxor National Pharmacy Services, LLC",,,,,,,,
366,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",12/06/27,23438,23201,22973,(9)(26)(28),
367,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",12/06/26,1558,(11),(30),(8)(9)(21)  (23),
368,,"Maxor National Pharmacy Services, LLC",23190,22943,,,,,,
369,Medical Guardian,Medical Guardian,,,,,,,,
370,,"Medical Guardian, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",10/26/26,36191,30931,30911,(9)(21)(23)  (26),
371,,"Medical Guardian, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",10/26/26,3810,(55),(54),(8)(9)(21)  (23),
372,,"Medical Guardian, LLC",30876,30857,,,,,,
373,Midwest Vision,Midwest Vision,,,,,,,,
374,,"Midwest Vision Partners Management, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",01/12/27,24315,21466,21656,(9)(21)(23)  (27)(28)(29),
375,,"Midwest Vision Partners Management, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",01/12/27,612,295,300,(9)(21)(23)  (27),
376,,"Midwest Vision Partners Management, LLC",21761,21956,,,,,,
377,Orchard,Orchard,,,,,,,,
378,,Orchard Therapeutics PLC,First Lien Secured Debt,"L+595, 1.00 Floor",05/28/26,33333,10897,10994,(9)(17)(23)  (26),
379,Ovation Fertility,Ovation Fertility,,,,,,,,
380,,"FPG Services, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",06/13/25,19068,14141,14312,(9)(21)(23)  (28),
381,,"FPG Services, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",06/13/24,2105,(21),(6),(8)(9)(21)  (23),
382,,"FPG Services, LLC",14120,14306,,,,,,
383,Paragon 28,Paragon 28,,,,,,,,
384,,"Paragon 28, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",05/01/26,10000,2492,2475,(9)(23)(26),
385,,"Paragon 28, Inc.",First Lien Secured Debt - Revolver,"L+300, 1.00 Floor",05/01/26,2000,(9),(5),(8)(9)(21)  (23),
386,,"Paragon 28, Inc.",2483,2470,,,,,,
387,"Partner Therapeutics, Inc","Partner Therapeutics, Inc",,,,,,,,
388,,"Partner Therapeutics, Inc",First Lien Secured Debt,"L+665, 1.00 Floor",01/01/23,10000,9964,9950,(9)(26),
389,,"Partner Therapeutics, Inc",First Lien Secured Debt - Revolver,"L+375, 1.00 Floor",04/01/26,1000,823,825,(9)(21)(23)  (26),
390,,"Partner Therapeutics, Inc",Preferred Equity - Preferred Equity,N/A,N/A,"55,556 Shares",333,871,(9)(13),
391,,"Partner Therapeutics, Inc",Warrants,N/A,"33,333 Shares",135,372,(9)(13),,
392,,"Partner Therapeutics, Inc",11255,12018,,,,,,
393,PHS,PHS,,,,,,,,
394,,"PHS Buyer, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",01/31/27,25177,24746,24674,(9)(28),
395,,"PHS Buyer, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",01/31/27,2000,(30),(40),(8)(9)(21)  (23),
396,,"PHS Buyer, Inc.",24716,24634,,,,,,
397,Radius Health,Radius Health,,,,,,,,
398,,"Radius Health, Inc.",First Lien Secured Debt,"L+575, 2.00 Floor",06/01/24,33833,28700,28425,(9)(17)(23)  (26),
399,,"Radius Health, Inc.",First Lien Secured Debt - Revolver,"L+350, 2.00 Floor",06/01/24,1000,(1),(13),(8)(9)(17)  (21)(23),
400,,"Radius Health, Inc.",28699,28412,,,,,,
401,RHA Health Services,RHA Health Services,,,,,,,,
402,,"Pace Health Companies, LLC",First Lien Secured Debt,"L+450, 1.00 Floor",08/02/24,4463,3837,3880,(9)(23)(28),
403,,"Pace Health Companies, LLC",First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",08/02/24,500,11,(1),(8)(9)(20)  (21)(23),
404,,"Pace Health Companies, LLC",3848,3879,,,,,,
405,Rigel Pharmaceuticals,Rigel Pharmaceuticals,,,,,,,,
406,,"Rigel Pharmaceuticals, Inc.",First Lien Secured Debt,"L+565, 1.50 Floor",09/01/24,6000,6017,6056,(9)(26),
407,"RiteDose Holdings I, Inc.","RiteDose Holdings I, Inc.",,,,,,,,
408,,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"P+550, 1.00 Floor",09/13/23,12093,11977,12087,(9)(26)(34),
409,,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",09/13/23,2000,(18),0,(9)(21)(23),
410,,"RiteDose Holdings I, Inc.",11959,12087,,,,,,
411,Unchained Labs,Unchained Labs,,,,,,,,
412,,"Unchained Labs, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",08/09/27,6765,1847,1859,(9)(21)(23)  (26),
413,,"Unchained Labs, LLC",First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",08/09/27,726,(14),(7),(8)(9)(21)  (23),
414,,"Unchained Labs, LLC",1833,1852,,,,,,
416,High Tech Industries,High Tech Industries,,,,,,,,
417,Acronis AG,Acronis AG,,,,,,,,
418,,ACRONIS AG,First Lien Secured Debt,"L+585, 1.50 Floor",12/18/24,21000,20930,21000,(9)(17)(26),
419,American Megatrends,American Megatrends,,,,,,,,
420,,AMI US Holdings Inc.,First Lien Secured Debt,"L+525, 1.00 Floor",04/01/25,21485,21241,21485,(9)(26),
421,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,"L+525, 0.00 Floor",04/01/24,2907,1136,1163,(9)(21)(23)  (26),
422,,AMI US Holdings Inc.,22377,22648,,,,,,
423,"Calero Holdings, Inc.","Calero Holdings, Inc.",,,,,,,,
424,,"Telesoft Holdings, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",12/16/25,22330,21987,22194,(28),
425,,"Telesoft Holdings, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/16/25,2273,(34),(14),(8)(21)(23),
426,,"Telesoft Holdings, LLC",21953,22180,,,,,,
427,ChyronHego Corporation,ChyronHego Corporation,,,,,,,,
428,,ChyronHego Corporation (5),First Lien Secured Debt,"L+350 Cash plus 1.50 PIK, 1.00 Floor",12/31/22,84958,83476,84109,(28),
429,,ChyronHego Corporation (5),First Lien Secured Debt,"L+800 PIK, 1.00 Floor",12/31/22,2514,2422,2413,(28),
430,,ChyronHego Corporation (5),First Lien Secured Debt - Revolver,"L+500, 1.00 Floor",12/31/22,8000,7156,7076,(21)(23)(29),
431,,ChyronHego Corporation (5),Preferred Equity - Preferred Equity,N/A,N/A,"7,800 Shares",6000,12269,(13)(25),
432,,ChyronHego Corporation (5),99054,105867,,,,,,
433,Dairy.com,Dairy.com,,,,,,,,
434,,Momentx Corporation,First Lien Secured Debt,"L+575, 1.00 Floor",06/24/27,13674,13420,13335,(9)(28),
435,,Momentx Corporation,First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",06/24/27,1257,(23),(31),(8)(9)(21)  (23),
436,,Momentx Corporation,13397,13304,,,,,,
437,Digital.ai,Digital.ai,,,,,,,,
438,,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt,"L+700, 1.00 Floor",02/10/27,22411,21833,22109,(9)(28),
439,,"Digital.ai Software Holdings, Inc.",First Lien Secured Debt - Revolver,"L+700, 1.00 Floor",02/10/27,2419,745,774,(9)(21)(23)  (28),
440,,"Digital.ai Software Holdings, Inc.",22578,22883,,,,,,
441,GoHealth,GoHealth,,,,,,,,
442,,"Norvax, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",09/13/24,3182,2423,2466,(9)(21)(23)  (26)(27)(28),
443,"International Cruise & Excursion Gallery, Inc.","International Cruise & Excursion Gallery, Inc.",,,,,,,,
444,,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"L+525, 1.00 Floor",06/06/25,14475,14329,13540,(26),
445,Modern Campus,Modern Campus,,,,,,,,
446,,"Destiny Solutions U.S., Inc.",First Lien Secured Debt,"L+575, 1.00 Floor",06/08/26,15733,15405,15458,(26),
447,,"Destiny Solutions U.S., Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",06/08/26,9840,5775,5858,(21)(23)(28),
448,,"RMCF IV CIV XXXV, L.P.",Common Equity - Common Stock,N/A,N/A,482 Shares,1000,1340,(13)(25),
449,,"RMCF IV CIV XXXV, L.P.",22180,22656,,,,,,
450,MYCOM,MYCOM,,,,,,,,
451,,Magnate Holding Corp.,First Lien Secured Debt,"L+625 Cash plus 1.00 PIK, 0.50 Floor",12/16/24,19206,19080,17737,(9)(17)(28),
452,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"L+625 Cash plus 1.00 PIK, 0.50 Floor",12/14/23,3150,3131,2980,(9)(17)(23)  (28),
453,,Magnate Holding Corp.,22211,20717,,,,,,
454,"New Era Technology, Inc.","New Era Technology, Inc.",,,,,,,,
455,,"New Era Technology, Inc.",First Lien Secured Debt,"L+625, 1.00 Floor",10/31/26,23850,20358,20278,(9)(21)(23)  (28),
456,,"New Era Technology, Inc.",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",10/30/26,1049,330,329,(9)(21)(23)  (28),
457,,"New Era Technology, Inc.",20688,20607,,,,,,
458,Pro Vigil,Pro Vigil,,,,,,,,
459,,"Pro-Vigil Holding Company, LLC",First Lien Secured Debt,"L+850, 1.00 Floor",01/11/25,9935,9733,9798,(9)(26),
460,Schlesinger Group,Schlesinger Group,,,,,,,,
461,,"Schlesinger Global, LLC",First Lien Secured Debt,"L+600 Cash plus 1.00 PIK, 1.00 Floor",07/12/25,9887,9723,9741,(9)(28),
462,,"Schlesinger Global, LLC",First Lien Secured Debt,"L+775, 1.00 Floor",07/12/25,963,949,971,(9)(28),
463,,"Schlesinger Global, LLC",10672,10712,,,,,,
464,Simeio,Simeio,,,,,,,,
465,,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"L+550, 1.00 Floor",02/02/26,8293,8207,8178,(9)(26),
466,,"Simeio Group Holdings, Inc.",First Lien Secured Debt,"L+525, 1.00 Floor",02/02/26,4615,(24),(69),(8)(9)(21)  23),
467,,"Simeio Group Holdings, Inc.",First Lien Secured Debt - Revolver,"L+525, 1.00 Floor",02/02/26,1731,(18),(24),(8)(9)(21)  (23),
468,,"Simeio Group Holdings, Inc.",8165,8085,,,,,,
469,Sirsi Corporation,Sirsi Corporation,,,,,,,,
470,,Sirsi Corporation,First Lien Secured Debt,"L+450, 1.00 Floor",03/15/24,5671,5631,5654,(9)(26),
471,,Sirsi Corporation,First Lien Secured Debt - Revolver,"L+450, 1.00 Floor",03/15/24,429,(3),(1),(8)(9)(21)  (23),
472,,Sirsi Corporation,5628,5653,,,,,,
473,Springbrook,Springbrook,,,,,,,,
474,,"Springbrook Holding Company, LLC",First Lien Secured Debt,"L+550, 1.00 Floor",12/23/26,13336,10693,10727,(21)(23)(29),
475,,"Springbrook Holding Company, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/23/26,1463,(18),(13),(8)(21)(23),
476,,"Springbrook Holding Company, LLC",10675,10714,,,,,,
477,Tax Slayer,Tax Slayer,,,,,,,,
478,,"MEP-TS Midco, LLC",First Lien Secured Debt,"L+600, 1.00 Floor",12/31/26,13413,13159,13279,(9)(29),
479,,"MEP-TS Midco, LLC",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",12/31/26,1452,(2),(15),(8)(9)(21)  (23),
480,,"MEP-TS Midco, LLC",13157,13264,,,,,,
481,Telnyx,Telnyx,,,,,,,,
482,,Telnyx LLC,First Lien Secured Debt,"L+625, 1.50 Floor",10/21/25,8583,5202,5278,(9)(23)(26),
483,UpStack,UpStack,,,,,,,,
484,,Upstack Holdco Inc.,First Lien Secured Debt,"L+600, 1.00 Floor",08/20/27,31958,27593,27478,(9)(21)(23)  (28)(29),
485,,Upstack Holdco Inc.,First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",08/20/27,3000,(78),(83),(8)(9)(20)  (21)(23),
486,,Upstack Holdco Inc.,27515,27395,,,,,,
488,"Hotel, Gaming, Leisure, Restaurants","Hotel, Gaming, Leisure, Restaurants",,,,,,,,
489,Guernsey,Guernsey,,,,,,,,
490,,Guernsey Holdings SDI LA LLC,First Lien Secured Debt,6.95,11/18/26,14333,14194,14190,(9),
491,,Guernsey Holdings SDI LA LLC,First Lien Secured Debt,"L+595, 1.00 Floor",11/18/26,1667,0,0,(9)(23),
492,,Guernsey Holdings SDI LA LLC,14194,14190,,,,,,
493,Taco Cabana,Taco Cabana,,,,,,,,
494,,"YTC Enterprises, LLC",First Lien Secured Debt,"L+625, 1.00 Floor",08/16/26,9967,9851,9842,(9)(26),
496,Insurance,Insurance,,,,,,,,
497,High Street Insurance,High Street Insurance,,,,,,,,
498,,"High Street Buyer, Inc.",First Lien Secured Debt,"L+600, 0.75 Floor",04/14/28,30189,29660,29585,(9)(28)(29),
499,,"High Street Buyer, Inc.",First Lien Secured Debt - Revolver,"L+600, 0.75 Floor",04/16/27,2203,(39),(44),(8)(9)(21)  (23),
500,,"High Street Buyer, Inc.",29621,29541,,,,,,
501,PGM Holdings Corporation,PGM Holdings Corporation,,,,,,,,
502,,"Turbo Buyer, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",12/02/25,19279,18962,18893,(9)(29),
503,,"Turbo Buyer, Inc.",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/02/25,923,(15),(18),(8)(9)(21)  (23),
504,,"Turbo Buyer, Inc.",18947,18875,,,,,,
505,Relation Insurance,Relation Insurance,,,,,,,,
506,,"AQ Sunshine, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",04/15/25,30353,29684,30172,(9)(21)(23)  (29),
507,,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",04/15/24,1369,353,365,(9)(20)(21)  (23)(29),
508,,"AQ Sunshine, Inc.",30037,30537,,,,,,
510,"Manufacturing, Capital Equipment","Manufacturing, Capital Equipment",,,,,,,,
511,"AVAD, LLC","AVAD, LLC",,,,,,,,
512,,"AVAD, LLC",First Lien Secured Debt - Revolver,"L+400, 1.00 Floor",10/02/23,2060,962,0,(9)(23)(26),
513,,"Surf Opco, LLC",First Lien Secured Debt - Revolver,"L+400, 1.00 Floor",03/17/26,16667,11785,11785,(9)(20)(21)  (23)(26),
514,,"Surf Opco, LLC",Preferred Equity - Class P-1 Preferred,N/A,N/A,"33,333 Shares",3333,6667,(9)(13)(16)  (25),
515,,"Surf Opco, LLC",Preferred Equity - Class P-2 Preferred,N/A,N/A,"85,164 Shares",8516,3131,(9)(13)(16)  (25),
516,,"Surf Opco, LLC",Common Equity - Class A-1 Common,N/A,N/A,"3,333 Shares",0,180,(9)(13)(16)  (25),
517,,"Surf Opco, LLC",24596,21763,,,,,,
518,Kauffman,Kauffman,,,,,,,,
519,,"Kauffman Holdco, LLC",Common Equity - Common Stock,N/A,N/A,"250,000 Shares",250,60,(9)(13),
520,,"Kauffman Intermediate, LLC",First Lien Secured Debt,"L+650, 1.00 Floor",05/08/25,16324,16139,15865,(9)(28),
521,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"L+650, 1.00 Floor",05/08/25,1243,269,276,(9)(21)(23)  (28),
522,,"Kauffman Intermediate, LLC",16658,16201,,,,,,
523,MedPlast Holdings Inc.,MedPlast Holdings Inc.,,,,,,,,
524,,"Viant Medical Holdings, Inc. (fka MedPlast Holdings, Inc.)",Second Lien Secured Debt,"L+775, 0.00 Floor",07/02/26,8000,7954,7586,(26),
526,Media – Diversified & Production,Media – Diversified & Production,,,,,,,,
527,New Wave Entertainment,New Wave Entertainment,,,,,,,,
528,,"NW Entertainment, Inc.",First Lien Secured Debt,"L+750, 1.00 Floor",08/16/24,28491,27611,27711,(9)(21)(23)  (28),
529,,"NW Entertainment, Inc.",First Lien Secured Debt - Revolver,"L+750, 1.00 Floor",08/16/24,3078,3046,3055,(9)(23)(28),
530,,"NW Entertainment, Inc.",30657,30766,,,,,,
531,Nitro World Entertainment,Nitro World Entertainment,,,,,,,,
532,,NWE OPCO LP,First Lien Secured Debt,"L+650, 2.00 Floor",12/19/22,4637,4627,4637,(9)(26),
533,Sonar Entertainment,Sonar Entertainment,,,,,,,,
534,,"Sonar Entertainment, Inc.",First Lien Secured Debt,"L+760, 1.25 Floor",11/15/21,3186,3185,2673,(9)(11)(26),
535,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"L+760, 1.25 Floor",11/15/21,1890,1848,1586,(9)(11)(23)  (26),
536,,"Sonar Entertainment, Inc.",5033,4259,,,,,,
538,Retail,Retail,,,,,,,,
539,IPS,IPS,,,,,,,,
540,,"SI Holdings, Inc.",First Lien Secured Debt,"L+600, 1.00 Floor",07/25/25,31085,30692,30616,(9)(28),
541,,"SI Holdings, Inc.",First Lien Secured Debt - Revolver,"L+600, 1.00 Floor",07/25/24,3413,391,388,(9)(21)(23)  (28),
543,Telecommunications,Telecommunications,,,,,,,,
544,"Securus Technologies Holdings, Inc.","Securus Technologies Holdings, Inc.",,,,,,,,
545,,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"L+825, 1.00 Floor",11/01/25,12878,12809,12363,(28),
547,"Transportation – Cargo, Distribution","Transportation – Cargo, Distribution",,,,,,,,
548,Beacon Mobility,Beacon Mobility,,,,,,,,
549,,Beacon Mobility Corp.,First Lien Secured Debt,"L+550, 1.00 Floor",05/22/24,13989,13292,13396,(9)(21)(23)  (28),
550,,Beacon Mobility Corp.,First Lien Secured Debt - Revolver,"L+550, 1.00 Floor",05/22/24,957,(16),(9),(8)(9)(21)  (23),
551,,Beacon Mobility Corp.,13276,13387,,,,,,
552,"Dynamic Product Tankers (Prime), LLC","Dynamic Product Tankers (Prime), LLC",,,,,,,,
553,,"Dynamic Product Tankers, LLC (5)",Unsecured Debt,"L+500, 0.00 Floor",07/31/24,22000,22000,22000,(17)(29),
554,,"Dynamic Product Tankers, LLC (5)",Common Equity - Class A Units,N/A,N/A,N/A,49806,5776,(13)(17)(24)  (25),
555,,"Dynamic Product Tankers, LLC (5)",71806,27776,,,,,,
556,Heniff and Superior,Heniff and Superior,,,,,,,,
557,,"Heniff Holdco, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",12/03/26,30531,30067,29630,(9)(26),
558,,"Heniff Holdco, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",12/03/24,3925,1262,1230,(9)(20)(21)  (23)(26),
559,,"Heniff Holdco, LLC",31329,30860,,,,,,
560,MSEA Tankers LLC,MSEA Tankers LLC,,,,,,,,
561,,MSEA Tankers LLC (5),Common Equity - Class A Units,N/A,N/A,N/A,50994,46254,(17)(18)(25),
563,Wholesale,Wholesale,,,,,,,,
564,Banner Solutions,Banner Solutions,,,,,,,,
565,,"Banner Buyer, LLC",First Lien Secured Debt,"L+575, 1.00 Floor",10/31/25,17789,15136,15224,(9)(21)(23)  (26),
566,,"Banner Buyer, LLC",First Lien Secured Debt - Revolver,"L+575, 1.00 Floor",10/31/25,1935,(24),(12),(8)(9)(21)  (23),
567,,"Banner Parent Holdings, Inc.",Common Equity - Common Stock,N/A,N/A,"6,125 Shares",613,560,(9)(13),
568,,"Banner Parent Holdings, Inc.",15725,15772,,,,,,
569,Thomas Scientific,Thomas Scientific,,,,,,,,
570,,"BSP-TS, LP",Common Equity - Common Stock,N/A,N/A,185 Shares,185,185,(9)(13)(25),
571,,"Thomas Scientific, LLC",First Lien Secured Debt,"L+625, 1.00 Floor",12/14/27,31852,26088,26081,(9)(21)(23)  (28),
572,,"Thomas Scientific, LLC",First Lien Secured Debt - Revolver,"L+625, 1.00 Floor",12/14/27,2963,(59),(59),(8)(9)(21)  (23),
573,,"Thomas Scientific, LLC",26214,26207,,,,,,
