,Industry/Company,Investment_Type,Interest_Rate,Maturity_Date,Par_Shares,Cost,Fair_Value,,
220,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(44,(45,(8)(9)(21)(23),
221,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.50 (1M L+600, 0.50 Floor)",07/12/23,11062,10957,10951,,
222,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.50 (1M L+600, 0.50 Floor)",01/13/20,412,410,408,,
223,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.50 (1M L+600, 0.50 Floor)",07/12/23,6422,7253,7138,,
224,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.50 (1M L+600, 0.50 Floor)",07/12/23,1878,2439,2423,,
225,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.50 (1M L+600, 0.50 Floor)",01/13/20,2389,3111,3082,,
226,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Revolver,"8.48 (1M L+600, 0.50 Floor)",07/12/23,757,757,750,(23),
227,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/12/23,275,(10,(3,(8)(21)(23),
228,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,01/13/20,1,(1,(4,(8)(21)(23),
229,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.65 (1M L+615, 1.00 Floor)",05/01/21,12666,12633,12792,(9)(17),
230,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"9.09 (3M L+650, 1.00 Floor)",09/13/23,14813,14454,14377,(9),
231,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,2000,(45,(51,(8)(9)(21)(23),
232,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(29,0,(17)(21)(23),
233,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,04/12/19- 05/15/20,360,0,0,(17)(23),
234,"TherapeuticsMD, Inc.",First Lien Secured Debt,"10.25 (1M L+775, 1.50 Floor)",05/01/23,22500,22459,22275,(9)(17),
235,"TherapeuticsMD, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/23,37500,(313,(375,(8)(9)(17)(21)(23),
236,"Wright Medical Group, Inc.",First Lien Secured Debt,"10.35 (1M L+785, 1.00 Floor)",12/23/21,6666,6565,6666,(9)(17),
237,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.75 (1M L+425, 0.75 Floor)",12/23/21,7666,7666,7590,(9)(17)(23),
238,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,50667,(354,(507,(8)(9)(17)(21)(23),
239,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/23/21,11667,(100,0,(9)(17)(21)(23),
240,High Tech Industries,,,,,,,,
241,API Healthcare Holding Corporation,First Lien Secured Debt -  Unfunded Revolver,1.00 Unfunded,02/11/22,5000,(96,0,(9)(21)(23),
242,"ChargePoint, Inc.",First Lien Secured Debt,"9.05 (1M L+655, 1.25 Floor)",06/01/23,10500,10410,10422,(9),
243,"ChargePoint, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/01/23,3000,(26,0,(9)(21)(23),
244,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,34346,34200,32286,(18),
245,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"10.50 (1M L+800, 1.00 Floor)",10/31/25,12157,12107,11998,(10),
246,"FiscalNote, Inc.",First Lien Secured Debt,"10.50 (1M L+800, 1.00 Floor)",08/21/23,28125,27446,27352,(9),
247,"FiscalNote, Inc.",First Lien Secured Debt - Revolver,"10.50 (1M L+800, 1.00 Floor)",08/21/23,1313,1313,1276,(9)(23),
248,"FiscalNote, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,08/21/23,1313,(63,(36,(8)(9)(21)(23),
249,"FiscalNote, Inc.",Preferred Equity - Series F Preferred Stock,N/A,N/A,"259,565 Shares",1500,1500,(9),
250,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.75 (1M L+525, 1.00 Floor)",06/06/25,14888,14622,14776,,
251,LabVantage Solutions,,,,,,,,
252,LabVantage Solutions Inc.,First Lien Secured Debt,"10.00 (1M L+750, 1.00 Floor)",12/29/20,11543,11411,11428,,
253,LabVantage Solutions Limited,First Lien Secured Debt,"8.50 (E+750, 1.00 Floor)",12/29/20,11630,12373,12928,(17),
254,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,3435,(36,(39,(8)(17)(21)(23),
255,Magnate Holding Corp.,First Lien Secured Debt,"8.60 (3M L+600, 1.00 Floor)",12/16/24,16670,16433,16430,(9)(17),
256,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.60 (3M L+500, 1.00 Floor)",12/14/23,1857,1857,1830,(9)(17)(23),
257,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,1473,(47,(21,(8)(9)(17)(21)(23),
258,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(268,(338,(8)(21)(23),
259,Sirsi Corporation,First Lien Secured Debt,"7.23 (1M L+475, 1.00 Floor)",03/15/24,7071,6966,6965,(9),
260,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,429,(6,(6,(8)(9)(21)(23),
261,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (6M L+645, 1.00 Floor)",03/24/22,35980,35754,35261,(18),
262,Tibco Software Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/05/19,6000,(8,(450,(8)(21)(23),
263,"ZPower, LLC",First Lien Secured Debt,"10.25 (1M L+775, 1.00 Floor)",07/01/22,6666,6711,6617,(9),
264,"ZPower, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,07/01/22,1667,(6,(13,(8)(9)(21)(23),
265,"ZPower, LLC",Common Equity/Interests - Warrants,N/A,N/A,"29,630 Warrants",48,57,(9)(13),
266,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,
267,GFRC Holdings LLC,First Lien Secured Debt,"10.63 (3M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500,2500,2500,,
268,"Manufacturing, Capital Equipment",,,,,,,,
269,AVAD,,,,,,,,
270,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"6.50 (1M L+400, 1.00 Floor)",10/2/23,636,636,626,(9)(23),
271,AVAD Canada Ltd.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/2/23,364,(18,(6,(8)(9)(21)(23),
272,"AVAD, LLC",First Lien Secured Debt,"10.25 (1M L+775, 1.00 Floor)",10/2/23,9653,9476,9457,(9),
273,"AVAD, LLC",First Lien Secured Debt - Revolver,"6.50 (1M L+400, 1.00 Floor)",10/2/23,11650,11650,11461,(9)(23),
274,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/2/23,4016,(282,(65,(8)(9)(21)(23),
275,MedPlast Holdings Inc.,Second Lien Secured Debt,10.35 (3M L+775),07/02/26,8000,7927,8000,(10),
276,Media – Diversified & Production,,,,,,,,
277,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(31,(44,(8)(10)(21)(23),
278,SESAC Holdco II LLC,Second Lien Secured Debt,"9.75 (1M L+725, 1.00 Floor)",02/24/25,3241,3217,3217,(10),
279,"Sonar Entertainment, Inc.",First Lien Secured Debt,"10.10 (1M L+760, 1.25 Floor)",11/15/21,9267,9125,9104,(9),
280,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"10.10 (1M L+760, 1.25 Floor)",11/15/21,5856,5856,5753,(9)(23),
281,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,16975,(349,(297,(8)(9)(21)(23),
282,Metals & Mining,,,,,,,,
283,"Magnetation, LLC",First Lien Secured Debt,10.60 (3M L+800 Cash (PIK Toggle)),12/31/19,1225,1146,221,(13)(14),
284,Telecommunications,,,,,,,,
285,IPC Corporation,First Lien Secured Debt,"7.76 (3M L+500, 1.00 Floor)",08/06/21,10000,9928,8888,(9),
286,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.75 (1M L+825, 1.00 Floor)",11/01/25,12878,12772,12653,(10),
287,"Transportation – Cargo, Distribution",,,,,,,,
288,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.60 (3M L+700),06/30/23,42000,41830,42000,(17),
289,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,74450,73369,(17)(25),
290,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.60 (3M L+800, 1.00 Floor)",12/08/25,9375,9296,9281,,
291,Utilities – Electric,,,,,,,,
292,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.05,05/18/27,58411,26480,32659,(11)(17)(19),
