,new_Industry,Industry / Company,Investment Type,Interest Rate (20),Maturity  Date,Par / Shares (12),Cost (29),Fair  Value (1) (30),,
244,,Solarplicity UK Holdings Limited,First Lien Secured Debt,4.00,03/08/23,£,5562,7637,6983,(17)
245,,Solarplicity UK Holdings Limited,Preferred Equity - Preferred Stock,N/A,N/A,"4,286 Shares",5861,4757,(2)(13)(17),
246,,Solarplicity UK Holdings Limited,Common Equity/Interests - Ordinary Shares,N/A,N/A,"2,825 Shares",4,81,(2)(13)(17),
247,,Solarplicity UK Holdings Limited,19313,13582,,,,,,
249,Energy – Oil & Gas,Energy – Oil & Gas,,,,,,,,
250,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",First Lien Secured Debt,8.00 Cash (10.00 PIK Toggle),03/29/20,7000,7000,7000,,
251,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Second Lien Secured Debt,10.00 PIK Toggle (8.00 Cash),03/29/21,34554,34554,34554,,
252,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",Common Equity/Interests - Common Stock,N/A,N/A,"5,000,000 Shares",30078,681,(13),
253,,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",71632,42235,,,,,,
254,,"Pelican Energy, LLC (4)",Common Equity/Interests - Membership Interests,N/A,N/A,"1,444 Shares",17508,4415,(13)(16)(17),
255,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche C Note,12.00,07/31/20,20400,20400,21012,,
256,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche A Note,4.00,07/31/20,45457,45457,46821,,
257,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Tranche B Note,3 PIK,07/31/20,82577,44380,31683,(13)(14),
258,,"SHD Oil & Gas, LLC (5)",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,07/31/20,1600,0,0,(21)(23),
259,,"SHD Oil & Gas, LLC (5)",Common Equity/Interests - Series A Units,N/A,N/A,"7,600,000 Shares",1411,0,(13)(16),
260,,"SHD Oil & Gas, LLC (5)",111648,99516,,,,,,
262,Food & Grocery,Food & Grocery,,,,,,,,
263,Bumble Bee Foods,Bumble Bee Foods,,,,,,,,
264,,"Bumble Bee Holdings, Inc.",First Lien Secured Debt,"10.52 (3M L+800, 1.00 Floor)",08/15/23,15312,15083,14393,,
265,,Connors Bros Clover Leaf Seafoods Company,First Lien Secured Debt,"10.52 (3M L+800, 1.00 Floor)",08/15/23,4338,4273,4078,,
267,Healthcare & Pharmaceuticals,Healthcare & Pharmaceuticals,,,,,,,,
268,Altasciences,Altasciences,,,,,,,,
269,,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.77 (3M L+625, 1.00 Floor)",06/09/23,C$,2375,1743,1749,(9)(17)
270,,9360-1367 Quebec Inc.,First Lien Secured Debt,"8.77 (3M L+625, 1.00 Floor)",06/09/23,2862,2819,2755,(9)(17),
271,,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.77 (3M L+625, 1.00 Floor)",06/09/23,5123,5047,4931,(9),
272,,"Altasciences US Acquisition, Inc.",First Lien Secured Debt,"8.58 (3M L+625, 1.00 Floor)",06/09/23,920,920,885,(9)(27),
273,,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Revolver,"8.56 (3M L+625, 1.00 Floor)",06/09/23,962,962,926,(9)(23),
274,,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Revolver,0.25 Unfunded,06/09/23,463,(21,(17,(8)(9)(21)(23)(27),
275,,"Altasciences US Acquisition, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/09/23,1931,(23,(72,(8)(9)(21)(23)(27),
276,,"Altasciences US Acquisition, Inc.",11447,11157,,,,,,
277,,"Amerivet Partners Management, Inc.",First Lien Secured Debt,"8.15 (1M L+575, 1.00 Floor)",06/05/24,15972,15741,15622,(9),
278,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/05/24,806,(17,(18,(8)(9)(21)(23),
279,,"Amerivet Partners Management, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,06/05/24,10162,(204,(222,(8)(9)(21)(23),
280,,"Amerivet Partners Management, Inc.",15520,15382,,,,,,
281,,Analogic Corporation,First Lien Secured Debt,"8.40 (1M L+600, 1.00 Floor)",06/22/24,27186,26621,26914,(9),
282,,Analogic Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/22/23,2609,(52,(26,(8)(9)(21)(23),
283,,Analogic Corporation,26569,26888,,,,,,
284,,Aptevo Therapeutics Inc.,First Lien Secured Debt,"10.00 (1M L+760, 0.50 Floor)",02/01/23,8571,8752,8549,(9),
285,,"Argon Medical Devices Holdings, Inc.",Second Lien Secured Debt,"10.40 (1M L+800, 1.00 Floor)",01/23/26,19600,19519,19355,(10),
286,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"10.38 (1M L+800, 1.00 Floor)",02/08/24,6725,6586,6571,(9),
287,,AVG Intermediate Holdings LLC,First Lien Secured Debt,"10.36 (1M L+800, 1.00 Floor)",02/08/24,1993,1993,1948,(9),
288,,AVG Intermediate Holdings LLC,First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,02/08/24,4507,(135,(103,(8)(9)(21)(23),
289,,AVG Intermediate Holdings LLC,8444,8416,,,,,,
290,,"BioClinica Holding I, LP",Second Lien Secured Debt,"10.81 (3M L+825, 1.00 Floor)",10/21/24,24612,24264,23012,(10),
291,,Cerus Corporation,First Lien Secured Debt,"7.85 (1M L+545, 1.80 Floor)",03/01/24,12000,11943,12013,(9)(17),
292,,Cerus Corporation,First Lien Secured Debt - Revolver,"6.15 (1M L+375, 1.80 Floor)",03/01/24,188,188,188,(9)(17)(23),
293,,Cerus Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/01/24,312,(1,0,(9)(17)(21)(23),
294,,Cerus Corporation,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,03/01/24,9000,(42,0,(9)(17)(21)(23),
295,,Cerus Corporation,12088,12201,,,,,,
296,Emmes Corporation,Emmes Corporation,,,,,,,,
297,,"Emmes Blocker, Inc.",Common Equity - Common Stock,N/A,N/A,306 Shares,306,306,(9)(13),
298,,"The Emmes Company, LLC",First Lien Secured Debt,"7.90 (1M L+550, 1.00 Floor)",03/03/25,12214,12041,11909,(9),
299,,"The Emmes Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/03/25,2449,(35,(61,(8)(9)(21)(23),
300,,"The Emmes Company, LLC",12312,12154,,,,,,
301,,"FPG Services, LLC",First Lien Secured Debt,"7.95 (3M L+550, 1.00 Floor)",06/13/25,12632,12381,12379,(9),
302,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,06/13/24,2105,(42,(42,(8)(9)(21)(23),
303,,"FPG Services, LLC",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,06/13/25,5263,(52,(53,(8)(9)(21)(23),
304,,"FPG Services, LLC",12287,12284,,,,,,
305,,"GB001, Inc.",First Lien Secured Debt,"8.55 (1M L+615, 2.00 Floor)",05/01/24,6000,5945,5997,(9)(17),
306,,"GB001, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/01/24,24000,(232,0,(9)(17)(21)(23),
307,,"GB001, Inc.",5713,5997,,,,,,
308,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"8.32 (3M L+600, 0.50 Floor)",03/06/23,25000,24724,24733,(9),
309,,"Genesis Healthcare, Inc.",First Lien Secured Debt,"13.32 (3M L+1100, 1.00 Floor)",03/06/23,5478,5417,5397,(9),
310,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"8.32 (3M L+600, 0.50 Floor)",03/06/23,19059,19059,18862,(9)(23),
311,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Revolver,"5.57 (3M L+325, 0.50 Floor)",02/02/20,10863,10863,10751,(9)(23),
312,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/06/23,19898,(430,(206,(8)(9)(21)(23),
313,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/02/20,11050,(64,(114,(8)(9)(21)(23),
314,,"Genesis Healthcare, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,2.00 Unfunded,03/06/23,3652,0,(54,(8)(9)(21)(23),
315,,"Genesis Healthcare, Inc.",59569,59369,,,,,,
316,,"IMA Group Management Company, LLC",First Lien Secured Debt,"7.83 (3M L+550, 1.00 Floor)",05/30/24,4699,4654,4652,,
317,,"IMA Group Management Company, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/30/24,289,(3,(3,(8)(21)(23),
318,,"IMA Group Management Company, LLC",4651,4649,,,,,,
319,,"Lanai Holdings III, Inc.",Second Lien Secured Debt,"11.08 (3M L+850, 1.00 Floor)",08/28/23,17391,17082,16087,,
320,,"LSCS Holdings, Inc",Second Lien Secured Debt,10.58 (3M L+825),03/16/26,19818,19429,19703,,
321,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt,"7.83 (3M L+550, 1.00 Floor)",11/22/23,24668,24220,24225,(9),
322,,"Maxor National Pharmacy Services, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/22/22,1558,(26,(27,(8)(9)(21)(23),
323,,"Maxor National Pharmacy Services, LLC",24194,24198,,,,,,
324,,Orchard Therapeutics plc,First Lien Secured Debt,"8.40 (1M L+600, 1.00 Floor)",05/24/24,8333,8292,8292,(9)(17),
325,,Orchard Therapeutics plc,First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,05/24/24,16667,(82,(84,(8)(9)(17)(21)(23),
326,,Orchard Therapeutics plc,8210,8208,,,,,,
327,,"Partner Therapeutics, Inc",First Lien Secured Debt,"9.05 (1M L+665, 1.00 Floor)",01/01/23,11667,11537,11512,(9),
328,,"Partner Therapeutics, Inc",Preferred Equity - Preferred Stock,N/A,N/A,"55,556 Shares",333,333,(9)(13),
329,,"Partner Therapeutics, Inc",Common Equity/Interests - Warrants,N/A,N/A,"33,333 Warrants",135,89,(9)(13),
330,,"Partner Therapeutics, Inc",12005,11934,,,,,,
331,,"PHS Buyer, Inc.",First Lien Secured Debt,"7.65 (1M L+525, 1.00 Floor)",01/31/25,12968,12696,12708,(9),
332,,"PHS Buyer, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,01/31/25,2000,(42,(40,(8)(9)(21)(23),
333,,"PHS Buyer, Inc.",12654,12668,,,,,,
334,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.40 (1M L+600, 0.50 Floor)",07/12/23,€,6405,7239,7222,
335,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.40 (1M L+600, 0.50 Floor)",07/12/23,£,1869,2428,2354,
336,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.40 (1M L+600, 0.50 Floor)",01/13/20,£,2389,3118,3010,
337,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.40 (1M L+600, 0.50 Floor)",07/12/23,11034,10936,10924,,
338,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt,"8.40 (1M L+600, 0.50 Floor)",01/13/20,411,409,407,,
339,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Revolver,"8.40 (1M L+600, 0.50 Floor)",07/12/23,688,688,681,(23),
340,,"ProPharma Group Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/12/23,344,(9,(3,(8)(21)(23),
341,,"ProPharma Group Intermediate, LLC",24809,24595,,,,,,
342,,"PTC Therapeutics, Inc",First Lien Secured Debt,"8.55 (1M L+615, 1.00 Floor)",05/01/21,12139,12111,12260,(9)(17),
343,,"RiteDose Holdings I, Inc.",First Lien Secured Debt,"8.82 (3M L+650, 1.00 Floor)",09/13/23,14775,14437,14355,(9),
344,,"RiteDose Holdings I, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,09/13/22,2000,(42,(48,(8)(9)(21)(23),
345,,"RiteDose Holdings I, Inc.",14395,14307,,,,,,
346,,Royton Bidco Limited,First Lien Secured Debt,"8.31 (3M L+575, 0.50 Floor)",05/09/25,£,15588,19721,19244,(9)(17)
347,,Royton Bidco Limited,First Lien Secured Debt - Unfunded Delayed Draw,2.0125 Unfunded,05/09/25,£,4412,(84,(84,(8)(9)(17)(21)(23)
348,,Royton Bidco Limited,19637,19160,,,,,,
349,,"Teladoc, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,07/14/20,1306,(23,0,(17)(21)(23),
350,,"Teladoc, Inc.",First Lien Secured Debt - Letters of Credit,7.25,01/13/20 - 05/11/20,360,0,0,(17)(23),
351,,"Teladoc, Inc.",(23,0,,,,,,
352,,"Wright Medical Group, Inc.",First Lien Secured Debt,"10.25 (1M L+785, 1.00 Floor)",12/23/21,6667,6575,6667,(9)(17),
353,,"Wright Medical Group, Inc.",First Lien Secured Debt - Revolver,"6.65 (1M L+425, 0.75 Floor)",12/23/21,7666,7666,7590,(9)(17)(23),
354,,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/23/21,50667,(321,(507,(8)(9)(17)(21)(23),
355,,"Wright Medical Group, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,0.00 Unfunded,12/23/21,11667,(91,0,(9)(17)(21)(23),
356,,"Wright Medical Group, Inc.",13829,13750,,,,,,
358,High Tech Industries,High Tech Industries,,,,,,,,
359,,AMI US Holdings Inc.,First Lien Secured Debt,"7.90 (1M L+550, 1.00 Floor)",04/01/25,22038,21615,21597,(9),
360,,AMI US Holdings Inc.,First Lien Secured Debt - Revolver,7.90 (1M L+550),04/01/24,581,581,570,(9)(23),
361,,AMI US Holdings Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/01/24,2326,(55,(47,(8)(9)(21)(23),
362,,AMI US Holdings Inc.,22141,22120,,,,,,
363,,"ChargePoint, Inc.",First Lien Secured Debt,"8.95 (1M L+655, 1.25 Floor)",06/01/23,10500,10416,10438,(9),
364,,ChyronHego Corporation,First Lien Secured Debt,"7.43 (3M L+643, 1.00 Floor)",03/09/20,34346,34238,31942,(18),
365,,"DigiCert Holdings, Inc.",Second Lien Secured Debt,"10.40 (1M L+800, 1.00 Floor)",10/31/25,12157,12109,12119,(10),
366,,"FiscalNote, Inc.",First Lien Secured Debt,"10.40 (1M L+800, 1.00 Floor)",08/21/23,28125,27484,27352,(9),
367,,"International Cruise & Excursion Gallery, Inc.",First Lien Secured Debt,"7.65 (1M L+525, 1.00 Floor)",06/06/25,14850,14596,14794,,
368,LabVantage Solutions,LabVantage Solutions,,,,,,,,
369,,LabVantage Solutions Inc.,First Lien Secured Debt,"9.90 (1M L+750, 1.00 Floor)",12/29/20,11262,11151,11262,,
370,,LabVantage Solutions Limited,First Lien Secured Debt,8.50 (E+750),12/29/20,€,11372,12120,12951,(17)
371,,LabVantage Solutions Limited,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/29/20,€,3435,(30,0,(17)(21)(23)
372,,LabVantage Solutions Limited,23241,24213,,,,,,
373,,Magnate Holding Corp.,First Lien Secured Debt,"8.33 (3M L+600, 1.00 Floor)",12/16/24,16670,16443,16431,(9)(17),
374,,Magnate Holding Corp.,First Lien Secured Debt - Revolver,"7.33 (3M L+500, 1.00 Floor)",12/14/23,1358,1358,1339,(9)(17)(23),
375,,Magnate Holding Corp.,First Lien Secured Debt - Unfunded Revolver,1.75 Unfunded,12/14/23,1972,(44,(28,(8)(9)(17)(21)(23),
376,,Magnate Holding Corp.,17757,17742,,,,,,
377,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"5.00 (1M E L+500, 1.00 Floor)",05/02/26,€,743,817,829,(9)
378,,New Amsterdam Software BidCo LLC,First Lien Secured Debt,"7.40 (1M L+500, 1.00 Floor)",05/02/26,6917,6782,6778,(9),
379,,New Amsterdam Software BidCo LLC,First Lien Secured Debt - Unfunded Delayed Draw,0.50 Unfunded,05/02/26,2250,(22,(45,(8)(9)(21)(23),
380,,New Amsterdam Software BidCo LLC,7577,7562,,,,,,
381,,"Omnitracs, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/23/23,3750,(252,(338,(8)(21)(23),
382,,Sirsi Corporation,First Lien Secured Debt,"7.27 (3M L+475, 1.00 Floor)",03/15/24,7027,6928,6922,(9),
383,,Sirsi Corporation,First Lien Secured Debt - Revolver,"7.20 (3M L+475, 1.00 Floor)",03/15/24,171,171,169,(9)(23),
384,,Sirsi Corporation,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,03/15/24,257,(6,(4,(8)(9)(21)(23),
385,,Sirsi Corporation,7093,7087,,,,,,
386,,Telestream Holdings Corporation,First Lien Secured Debt,"7.61 (6M L +645, 1.00 Floor)",03/24/22,35605,35396,34892,(18),
387,,Tibco Software Inc.,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,12/05/19,6000,(5,(450,(8)(21)(23),
388,,"Wall Street Systems Delaware, Inc.",First Lien Secured Debt,"7.40 (1M L+500, 2.00 Floor)",11/21/24,14033,13755,13963,,
389,,"ZPower, LLC",First Lien Secured Debt,"10.15 (1M L+775, 1.00 Floor)",07/01/22,6333,6402,6046,(9),
390,,"ZPower, LLC",Common Equity/Interests  - Warrants,N/A,N/A,"29,630 Warrants",48,0,(9)(13),
391,,"ZPower, LLC",6450,6046,,,,,,
393,"Hotel, Gaming, Leisure, Restaurants","Hotel, Gaming, Leisure, Restaurants",,,,,,,,
394,,GFRC Holdings LLC,First Lien Secured Debt,"10.53 (3M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",02/01/22,2500,2500,2500,,
396,Insurance,Insurance,,,,,,,,
397,,"AQ Sunshine, Inc.",First Lien Secured Debt,"7.90 (1M L+550, 1.00 Floor)",04/15/25,14118,13845,13838,(9),
398,,"AQ Sunshine, Inc.",First Lien Secured Debt - Revolver,"8.09 (3M L+550, 1.00 Floor)",04/15/24,588,588,577,(9)(23),
399,,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,04/15/24,588,(23,(12,(8)(9)(21)(23),
400,,"AQ Sunshine, Inc.",First Lien Secured Debt - Unfunded Delayed Draw,1.00 Unfunded,04/15/25,4706,(91,(93,(8)(9)(21)(23),
401,,"AQ Sunshine, Inc.",14319,14310,,,,,,
402,,Ivy Finco Limited,First Lien Secured Debt,7.61 (1M L+525),06/07/25,£,8836,10927,10936,(9)(17)
403,,Ivy Finco Limited,First Lien Secured Debt - Unfunded Delayed Draw,1.84 Unfunded,06/07/25,£,8664,(150,(303,(8)(9)(17)(21)(23)
404,,Ivy Finco Limited,10777,10633,,,,,,
406,"Manufacturing, Capital Equipment","Manufacturing, Capital Equipment",,,,,,,,
407,AVAD,AVAD,,,,,,,,
408,,AVAD Canada Ltd.,First Lien Secured Debt - Revolver,"6.40 (1M L+400, 1.00 Floor)",10/02/23,1000,983,983,(9)(23),
409,,"AVAD, LLC",First Lien Secured Debt,"10.15 (1M L+775, 1.00 Floor)",10/02/23,9411,9248,9223,(9),
410,,"AVAD, LLC",First Lien Secured Debt - Revolver,"6.40 (1M L+400, 1.00 Floor)",10/02/23,13918,13918,13677,(9)(23),
411,,"AVAD, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,10/02/23,1748,(267,(30,(8)(9)(21)(23),
412,,"AVAD, LLC",23882,23853,,,,,,
413,Kauffman,Kauffman,,,,,,,,
414,,"Kauffman Holdco, LLC",Common Equity/Interests - Common Stock,N/A,N/A,"250,000 Shares",250,250,(9)(13),
415,,"Kauffman Intermediate, LLC",First Lien Secured Debt,"8.08 (3M L+575, 1.00 Floor)",05/08/25,17436,17096,17262,(9),
416,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Revolver,"8.08 (3M L+575, 1.00 Floor)",05/08/25,777,777,769,(9)(23),
417,,"Kauffman Intermediate, LLC",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,05/08/25,1787,(50,(18,(8)(9)(21)(23),
418,,"Kauffman Intermediate, LLC",18073,18263,,,,,,
419,,MedPlast Holdings Inc.,Second Lien Secured Debt,10.08 (3M L+775),07/02/26,8000,7930,7900,(10),
421,Media – Diversified & Production,Media – Diversified & Production,,,,,,,,
422,,SESAC Holdco II LLC,First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,02/23/22,587,(28,(44,(8)(10)(21)(23),
423,,SESAC Holdco II LLC,Second Lien Secured Debt,"9.65 (1M L+725, 1.00 Floor)",02/24/25,3241,3218,3209,(10),
424,,SESAC Holdco II LLC,3190,3165,,,,,,
425,,"Sonar Entertainment, Inc.",First Lien Secured Debt,"10.00 (1M L+760, 1.25 Floor)",11/15/21,8964,8840,8807,(9),
426,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Revolver,"10.00 (1M L+760, 1.25 Floor)",11/15/21,7227,7227,7101,(9)(23),
427,,"Sonar Entertainment, Inc.",First Lien Secured Debt - Unfunded Revolver,0.50 Unfunded,11/15/21,15604,(316,(274,(8)(9)(21)(23),
428,,"Sonar Entertainment, Inc.",15751,15634,,,,,,
430,Metals & Mining,Metals & Mining,,,,,,,,
431,,"Magnetation, LLC",First Lien Secured Debt,10.32 (3M L+800 Cash (PIK  Toggle)),12/31/19,1213,1134,530,(13)(14),
433,Telecommunications,Telecommunications,,,,,,,,
434,,IPC Corporation,First Lien Secured Debt,"7.58 (3M L+500, 1.00 Floor)",08/06/21,10000,9936,8888,(9),
435,,"Securus Technologies Holdings, Inc.",Second Lien Secured Debt,"10.58 (3M L+825, 1.00 Floor)",11/01/25,12878,12776,11848,(10),
437,"Transportation – Cargo, Distribution","Transportation – Cargo, Distribution",,,,,,,,
438,,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt,9.33 (3M L+700),06/30/23,42000,41840,42000,(17),
439,,"Dynamic Product Tankers, LLC (5)",First Lien Secured Debt - Letters of Credit,2.25,9/20/19 - 03/31/21,6050,0,0,(17)(23),
440,,"Dynamic Product Tankers, LLC (5)",Common Equity/Interests - Class A Units,N/A,N/A,N/A,49806,36685,(17)(24),
441,,"Dynamic Product Tankers, LLC (5)",91646,78685,,,,,,
442,,MSEA Tankers LLC (5),Common Equity/Interests - Class A Units,N/A,N/A,N/A,74450,72859,(17)(25),
443,,"PT Intermediate Holdings III, LLC",Second Lien Secured Debt,"10.33 (3M L+800, 1.00 Floor)",12/08/25,9375,9299,9094,,
445,Utilities – Electric,Utilities – Electric,,,,,,,,
446,,Asset Repackaging Trust Six B.V.,Structured Products and Other,12.06,05/18/27,58411,26602,32564,(11)(17)(19),
