,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
182,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C.(6)",Payroll and accounting services provider to the entertainment industry,"Class A membership units (2,500,000 units)",0,57,5885
183,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C.(6)",Payroll and accounting services provider to the entertainment industry,"Class B membership units (2,500,000 units)",0,57,5885
184,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,2500,4915
185,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($10,000 par due 8/2020)",9.25% (Libor + 8.25%/Q),10000,10000
186,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($26,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),26500,26500
187,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($11,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),11500,11500
188,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Senior subordinated loan ($17,621 par due 8/2021)",14.00% PIK,17621,17621
189,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",0,2250,2527
190,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-1 common stock (4,132 units)",0,450,505
191,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-1 common stock (4,132 units)",0,300,337
192,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-2 common stock (4,132 units)",0,0,0
193,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-2 common stock (4,132 units)",0,0,0
194,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-2 common stock (4,132 units)",0,0,0
195,"Coverall North America, Inc.",Commercial janitorial services provider,Letter of credit facility,0,0,0
196,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"First lien senior secured loan ($2,500 par due 4/2018)",10.25% (Libor + 9.25%/M),2500,2500
197,"Directworks, Inc. and Co-Exprise Holdings, Inc.",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock",0,0,0
198,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,"First lien senior secured loan ($1,000 par due 8/2020)",5.75% (Libor + 4.75%/Q),1000,1000
199,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",0,7500,8383
200,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",0,0,0
201,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"First lien senior secured loan ($3,267 par due 4/2017)",9.50%,3193,3267
202,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrants to purchase up to 122,827 units of Series C preferred stock",0,0,6
203,"HCPro, Inc. and HCP Acquisition Holdings, LLC(7)",Healthcare compliance advisory services,"Senior subordinated loan ($9,398 par due 5/2015)",0,2691,0
204,"HCPro, Inc. and HCP Acquisition Holdings, LLC(7)",Healthcare compliance advisory services,"Class A units (14,293,110 units)",0,12793,0
205,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock",0,88,79
206,"Investor Group Services, LLC(6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (7.75% interest),0,0,625
207,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,First lien senior secured revolving loan,0,0,0
208,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock",0,214,244
209,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($54,767 par due 6/2018)",6.50% (Libor + 5.50%/M),54767,54767
210,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($4,900 par due 6/2018)",6.50% (Libor + 5.50%/M),4900,4900
211,"ISS #2, LLC","Provider of repairs, refurbishments and services to the broader industrial end user markets","First lien senior secured loan ($44,325 par due 6/2018)",6.50% (Libor + 5.50%/Q),44325,44325
212,"Itel Laboratories, Inc.",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",0,1000,1289
213,"Market Track Holdings, LLC",Business media consulting services company,"Preferred stock (1,500 shares)",0,1982,1912
214,"Market Track Holdings, LLC",Business media consulting services company,"Common stock (15,000 shares)",0,1982,1780
215,"Maximus Holdings, LLC",Provider of software simulation tools and related services,"Warrants to purchase up to 1,050,013 shares of common stock",0,0,610
216,"Multi-Ad Services, Inc.(6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,788,2118
217,"Multi-Ad Services, Inc.(6)",Marketing services and software provider,"Common units (1,725,280 units)",0,0,0
218,"MVL Group, Inc.(7)",Marketing research provider,Senior subordinated loan ($430 par due 7/2012),0,226,226
219,"MVL Group, Inc.(7)",Marketing research provider,"Common stock (560,716 shares)",0,0,0
220,"NComputing, Inc.",Desktop virtualization hardware and software technology service provider,"Warrant to purchase up to 462,726 shares of Series C preferred stock",0,0,12
221,"PeakColo Holdings, Inc. and Powered by Peak LLC",Wholesaler of cloud-based software applications and services,"First lien senior secured loan ($4,000 par due 11/2018)",9.75% (Libor + 8.75%/M),3909,3920
222,"PeakColo Holdings, Inc. and Powered by Peak LLC",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 2,037 shares of Series A preferred stock",0,93,93
223,"PHL Investors, Inc., and PHL Holding Co.(7)",Mortgage services,Class A common stock (576 shares),0,3768,0
224,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",0,1000,963
225,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,250,181
226,Rocket Fuel Inc.,Provider of open and integrated software for digital marketing optimization,"Common stock (11,405 units)",0,40,92
227,Ship Investor & Cy S.C.A.(8),Payment processing company,"Common stock (936,693 shares)",0,1729,3135
228,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($65,716 par due 5/2018)",7.00% (Libor + 5.75%/Q),65716,66373
229,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($38,582 par due 5/2018)",7.00% (Libor + 5.75%/Q),38582,38968
230,"Tripwire, Inc.",IT security software provider,"First lien senior secured loan ($7,716 par due 5/2018)",7.00% (Libor + 5.75%/Q),7716,7794
231,"Tripwire, Inc.",IT security software provider,"Class A common stock (2,970 shares)",0,2970,4098
232,"Tripwire, Inc.",IT security software provider,"Class B common stock (2,655,638 shares)",0,30,11602
233,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",0,4503,3270
234,"Venturehouse-Cibernet Investors, LLC",Financial settlement services for intercarrier wireless roaming,Equity interest,0,0,0
235,Campus Management Corp. and Campus Management Acquisition Corp.(6),Education software developer,"Preferred stock (485,159 shares)",0,10520,10161
236,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured revolving loan,0,0,0
237,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured loan ($1 par due 8/2016),9.50% (Libor + 8.50%/Q),1,1
238,"Infilaw Holding, LLC",Operator of for-profit law schools,"First lien senior secured loan ($9,411 par due 8/2016)",9.50% (Libor + 8.50%/Q),9411,9411
239,"Infilaw Holding, LLC",Operator of for-profit law schools,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),124890,124890
240,"Infilaw Holding, LLC",Operator of for-profit law schools,Series B preferred units (3.91 units),0,9245,12840
241,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($58,798 par due 12/2016)",0,52972,47039
242,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($1,996 par due 12/2016)",0,1996,1597
243,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,5000,0
244,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (2,512,586 shares)",0,689,0
245,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (20 shares),0,0,0
246,"Lakeland Tours, LLC",Educational travel provider,First lien senior secured revolving loan,0,0,0
247,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($4,181 par due 1/2017)",5.25% (Libor + 4.25%/Q),4180,4181
248,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($85,688 par due 1/2017)",8.50% (Libor + 7.50%/Q),85664,85688
249,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($40,362 par due 1/2017)",8.50% (Libor + 7.50%/Q),40305,40362
250,"Lakeland Tours, LLC",Educational travel provider,"Common stock (5,000 shares)",0,5000,5261
251,PIH Corporation,Franchisor of education-based early childhood centers,First lien senior secured revolving loan ($621 par due 6/2017),7.25% (Libor + 6.25%/M),621,621
252,PIH Corporation,Franchisor of education-based early childhood centers,"First lien senior secured loan ($35,512 par due 6/2017)",7.25% (Libor + 6.25%/M),36127,35512
253,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Preferred stock (1,977 shares)",0,494,494
254,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,Common membership interest (15.76% interest),0,15800,26199
255,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Warrants to purchase up to 27,890 shares",0,0,0
256,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"First lien senior secured loan ($3,000 par due 1/2018)",10.00%,2934,2940
257,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 987,771 shares of Series CC preferred stock",0,0,76
258,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($12,683 par due 5/2019)",5.57% (Libor + 4.32%/Q),12683,12620
259,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($18,860 par due 5/2019)",5.57% (Libor + 4.32%/Q),18860,18765
260,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($11,709 par due 5/2019)",5.57% (Libor + 4.32%/Q),11709,11651
261,"WCI-Quantum Holdings, Inc.","Distributor of instructional products, services and resources","Series A preferred stock (1,272 shares)",0,1000,1000
262,"AllBridge Financial, LLC(7)",Asset management services,Equity interests,0,1140,5804
263,Callidus Capital Corporation(7),Asset management services,Common stock (100 shares),0,3000,1702
264,Ciena Capital LLC(7),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2014)",6.00%,14000,14000
265,Ciena Capital LLC(7),Real estate and small business loan servicer,"First lien senior secured loan ($1,000 par due 12/2016)",12.00%,1000,1000
266,Ciena Capital LLC(7),Real estate and small business loan servicer,"First lien senior secured loan ($10,000 par due 12/2016)",12.00%,10000,10000
267,Ciena Capital LLC(7),Real estate and small business loan servicer,"First lien senior secured loan ($5,000 par due 12/2016)",12.00%,5000,5000
268,Ciena Capital LLC(7),Real estate and small business loan servicer,Equity interests,0,49374,19907
269,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,28000,28000
270,"Cook Inlet Alternative Risk, LLC",Risk management services,Senior subordinated loan ($750 par due 9/2015),9.00%,750,750
271,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),0,0,0
272,Imperial Capital Group LLC,Investment services,"Class A common units (23,130 units)",0,11248,15633
273,Imperial Capital Group LLC,Investment services,"2006 Class B common units (7,578 units)",0,2,4
274,Imperial Capital Group LLC,Investment services,2007 Class B common units (945 units),0,0,0
275,"Ivy Hill Asset Management, L.P.(7)(9)",Asset management services,Member interest (100.00% interest),0,170961,259325
276,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC(9)",Asset-backed financial services company,"First lien senior secured revolving loan ($42,400 par due 6/2017)",8.41% (Libor + 8.25%/M),42400,42400
277,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($28,581 par due 12/2018)",9.25% (Libor + 8.25%/Q),28581,27152
278,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($10,919 par due 12/2018)",9.25% (Libor + 8.25%/Q),10922,10373
279,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Promissory note ($18,817 par due 12/2023)",0,13770,346
280,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Warrants to purchase up to 23,750 units of Series D common stock",0,24,0
281,"Benihana, Inc.",Restaurant owner and operator,"First lien senior secured loan ($4,888 par due 1/2019)",6.75% (Libor + 5.50%/Q),4888,4790
282,"DineInFresh, Inc.",Meal-delivery provider,"First lien senior secured loan ($7,500 par due 7/2018)",9.75% (Libor + 8.75%/Q),7425,7500
283,"DineInFresh, Inc.",Meal-delivery provider,"Warrant to purchase up to 143,079 shares of Series A preferred stock",0,0,3
284,Garden Fresh Restaurant Corp.,Restaurant owner and operator,"First lien senior secured revolving loan ($1,100 par due 7/2018)",10.00% (Libor + 8.50%/M),1100,1100
285,Garden Fresh Restaurant Corp.,Restaurant owner and operator,"First lien senior secured loan ($42,219 par due 7/2018)",10.00% (Libor + 8.50%/M),42219,42219
286,"Global Franchise Group, LLC and GFG Intermediate Holding, Inc.",Worldwide franchisor of quick service restaurants,"First lien senior secured loan ($62,500 par due 12/2019)",10.57% (Libor + 9.57%/Q),62500,62500
287,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured revolving loan ($1,450 par due 2/2017)",9.00% (Libor + 8.00%/Q),1450,1450
288,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured loan ($14,442 par due 2/2017)",9.00% (Libor + 8.00%/Q),14442,14442
289,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured loan ($9,407 par due 2/2017)",9.00% (Libor + 8.00%/Q),9407,9407
290,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured loan ($14,442 par due 2/2017)",9.00% (Libor + 8.00%/Q),14136,14442
291,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Warrants to purchase up to 7.5% of membership interest,0,0,507
292,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Warrants to purchase up to 324 shares of Class A common stock,0,669,7313
293,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",Convenience food service retailer,"First lien senior secured loan ($8,069 par due 9/2015)",0,8069,3106
294,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",Convenience food service retailer,"Second lien senior secured loan ($19,420 par due 9/2015)",0,0,0
295,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",Convenience food service retailer,"Preferred units (10,000 units)",0,0,0
296,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",Convenience food service retailer,"Class A common units (25,001 units)",0,0,0
297,"Orion Foods, LLC (fka Hot Stuff Foods, LLC)(7)",Convenience food service retailer,"Class B common units (1,122,452 units)",0,0,0
298,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured revolving loan ($2,500 par due 12/2017)",8.75% (Libor + 7.25%/M),2500,2500
299,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($6,250 par due 12/2017)",8.75% (Libor + 7.25%/Q),6250,6250
300,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($15,700 par due 12/2017)",8.75% (Libor + 7.25%/Q),15700,15700
301,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($25,000 par due 12/2017)",8.75% (Libor + 7.25%/Q),25000,25000
302,"OTG Management, LLC",Airport restaurant operator,"Common units (3,000,000 units)",0,3000,2238
303,"OTG Management, LLC",Airport restaurant operator,Warrants to purchase up to 7.73% of common units,0,100,4464
304,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Second lien senior secured loan ($24,328 par due 11/2019)",6.25% (Libor + 5.25%/M),24234,24084
305,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Class A non-voting common stock (1,366,120 shares)",0,6303,8507
306,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($37,312 par due 2/2019)",8.75% (Libor + 7.75%/M),36998,34327
307,S.B. Restaurant Company,Restaurant owner and operator,"Preferred stock (46,690 shares)",0,0,0
308,S.B. Restaurant Company,Restaurant owner and operator,"Warrants to purchase up to 257,429 shares of common stock",0,0,0
309,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"First lien senior secured loan ($1,212 par due 8/2015)",12.00%,1212,1212
310,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"Warrants to purchase up to 400,000 shares of Series D-4 convertible preferred stock",0,0,13
311,"Component Hardware Group, Inc.",Commercial equipment,"First lien senior secured revolving loan ($1,867 par due 7/2019)",5.50% (Libor + 4.50%/M),1867,1867
312,"Component Hardware Group, Inc.",Commercial equipment,"First lien senior secured loan ($6,838 par due 7/2019)",5.50% (Libor + 4.25%/Q),6838,6838
313,"Component Hardware Group, Inc.",Commercial equipment,"First lien senior secured loan ($1,306 par due 7/2019)",5.50% (Libor + 4.50%/M),1306,1306
314,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC",Cutting tool provider to the metalworking industry,"First lien senior secured loan ($4,863 par due 3/2020)",5.75% (Libor + 4.75%/Q),4863,4863
315,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC",Cutting tool provider to the metalworking industry,First lien senior secured loan ($12 par due 3/2020),7.00% (Base Rate + 3.75%/Q),12,12
316,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC",Cutting tool provider to the metalworking industry,Class A membership units (750 units),0,750,958
317,"Ioxus, Inc.",Energy storage devices,"First lien senior secured loan ($10,000 par due 11/2017)",9.00%,9674,9300
318,"Ioxus, Inc.",Energy storage devices,"Warrant to purchase up to 538,314 shares of Series C preferred stock",0,0,0
319,Mac Lean-Fogg Company,Intelligent transportation systems products in the traffic and rail industries,"Senior subordinated loan ($101,763 par due 10/2023)","9.50% Cash, 1.50% PIK",101763,101763
320,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($28,274 par due 3/2019)",9.38% (Libor + 8.13%/Q),28274,28274
321,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($20,000 par due 3/2019)",9.38% (Libor + 8.13%/Q),20000,20000
322,Niagara Fiber Intermediate Corp.,Insoluble fiber filler products,"First lien senior secured revolving loan ($1,881 par due 5/2018)",6.75% (Libor + 5.50%/M),1865,1806
323,Niagara Fiber Intermediate Corp.,Insoluble fiber filler products,"First lien senior secured loan ($15,464 par due 5/2018)",6.75% (Libor + 5.50%/M),15333,14845
324,"Pelican Products, Inc.",Flashlights,"Second lien senior secured loan ($40,000 par due 4/2021)",9.25% (Libor + 8.25%/Q),39947,40000
325,"Protective Industries, Inc. dba Caplugs",Plastic protection products,First lien senior secured loan ($987 par due 10/2019),6.25% (Libor + 5.25%/M),987,987
326,"Protective Industries, Inc. dba Caplugs",Plastic protection products,"Preferred stock (2,379,361 shares)",0,1298,7468
327,Saw Mill PCG Partners LLC,Metal precision engineered components,"Common units (1,000 units)",0,1000,0
328,"SI Holdings, Inc.","Elastomeric parts, mid-sized composite structures, and composite tooling","Common stock (1,500 shares)",0,1500,1905
329,TPTM Merger Corp.,Time temperature indicator products,"First lien senior secured loan ($40,216 par due 9/2018)",9.42% (Libor + 8.42%/Q),40216,40216
330,TPTM Merger Corp.,Time temperature indicator products,First lien senior secured loan ($409 par due 9/2018),4.75% (Libor + 3.75%/Q),409,409
331,TPTM Merger Corp.,Time temperature indicator products,"First lien senior secured loan ($9,950 par due 9/2018)",4.75% (Libor + 3.75%/Q),9950,9950
332,"GS Pretium Holdings, Inc.",Manufacturer and supplier of high performance plastic containers,"Common stock (500,000 shares)",0,500,397
333,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer",First lien senior secured revolving loan,0,0,0
334,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($25,669 par due 8/2016)",6.75% (Libor + 5.75%/Q),25669,25669
335,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($23,716 par due 8/2016)",6.75% (Libor + 5.75%/Q),23724,23716
336,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($53,515 par due 8/2016)",6.75% (Libor + 5.75%/Q),53515,53515
337,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($142,500 par due 12/2018)",8.50% (Libor + 7.50%/Q),142500,142500
338,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Common stock (50,000 shares)",0,3951,6595
339,"Lonestar Prospects, Ltd.",Sand proppant producer and distributor to the oil and natural gas industry,"First lien senior secured loan ($75,187 par due 9/2018)","8.50% (Libor + 6.50% Cash, 1.00% PIK/Q)",75187,72180
340,Petroflow Energy Corporation,Oil and gas exploration and production company,"First lien senior secured loan ($51,147 par due 7/2017)","12.00% (Libor + 8.00% Cash, 3.00% PIK/Q)",50165,47055
341,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($11,136 par due 12/2016)",0,8761,9187
342,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($47,233 par due 12/2016)",0,37229,38967
343,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($5,496 par due 12/2016)",0,4294,4534
344,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Class A common units (533,351 units)",0,4993,0
345,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Class B-5 common units (272,834 units)",0,2491,0
346,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Class C common units (758,546 units)",0,0,0
347,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 467,575 shares of Class A units",0,0,0
348,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 18,639 shares of Class B-1 units",0,0,0
349,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 37,277 shares of Class B-2 units",0,0,0
350,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 19,277 shares of Class B-3 units",0,0,0
351,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 52,263 shares of Class B-5 units",0,0,0
352,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 38,792 shares of Class B-6 units",0,0,0
353,"UL Holding Co., LLC and Universal Lubricants, LLC(6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 680,649 shares of Class C units",0,0,0
354,Fulton Holdings Corp.,Airport restaurant operator,"First lien senior secured loan ($43,000 par due 5/2018)",8.50%,43000,43000
355,Fulton Holdings Corp.,Airport restaurant operator,"First lien senior secured loan ($40,000 par due 5/2018)",8.50%,40000,40000
356,Fulton Holdings Corp.,Airport restaurant operator,"Common stock (19,672 shares)",0,1461,3142
357,"Paper Source, Inc. and Pine Holdings, Inc.",Retailer of fine and artisanal paper products,"First lien senior secured loan ($8,863 par due 9/2018)",7.25% (Libor + 6.25%/Q),8863,8863
358,"Paper Source, Inc. and Pine Holdings, Inc.",Retailer of fine and artisanal paper products,"First lien senior secured loan ($9,900 par due 9/2018)",7.25% (Libor + 6.25%/Q),9900,9900
359,"Paper Source, Inc. and Pine Holdings, Inc.",Retailer of fine and artisanal paper products,"Class A common stock (36,364 shares)",0,6000,6871
360,"Things Remembered, Inc. and TRM Holdings Corporation",Personalized gifts retailer,"First lien senior secured loan ($14,443 par due 5/2018)",8.00% (Libor + 6.50%/Q),14443,12999
361,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",Aerospace precision components manufacturer,"First lien senior secured loan ($4,414 par due 5/2018)",6.50% (Libor + 5.25%/Q),4387,4414
362,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",Aerospace precision components manufacturer,"Second lien senior secured loan ($79,657 par due 5/2019)",10.50% (Libor + 9.25%/Q),79657,76471
363,"ILC Industries, LLC",Designer and manufacturer of protective cases and technically advanced lighting systems,"Second lien senior secured loan ($40,000 par due 7/2021)",9.50% (Libor + 8.50%/Q),40000,40000
364,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,121,121
365,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services","Common stock (1,885,195 shares)",0,2291,2341
366,"10th Street, LLC and New 10th Street, LLC(7)",Real estate holding company,"First lien senior secured loan ($25,065 par due 11/2019)","7.00% Cash, 1.00% PIK",25065,25065
367,"10th Street, LLC and New 10th Street, LLC(7)",Real estate holding company,"Senior subordinated loan ($26,964 par due 11/2019)","7.00% Cash, 1.00% PIK",26964,26964
368,"10th Street, LLC and New 10th Street, LLC(7)",Real estate holding company,Member interest (10.00% interest),0,594,50926
369,"10th Street, LLC and New 10th Street, LLC(7)",Real estate holding company,"Option (25,000 units)",0,25,25
370,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,0,0,3544
371,"Commons R-3, LLC",Real estate developer,Real estate equity interests,0,0,0
372,"Crescent Hotels & Resorts, LLC and affiliates(7)",Hotel operator,"Senior subordinated loan ($2,236 par due 9/2011)",15.00%,0,0
373,"Crescent Hotels & Resorts, LLC and affiliates(7)",Hotel operator,Common equity interest,0,0,0
374,"NPH, Inc.",Hotel property,Real estate equity interests,0,2140,2450
375,CH Hold Corp.,Collision repair company,"First lien senior secured loan ($17,661 par due 11/2019)",5.50% (Libor + 4.75%/Q),17661,17661
376,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"First lien senior secured loan ($10,000 par due 1/2019)",9.75% (Libor + 8.75%/M),9473,9700
377,"ChargePoint, Inc.",Developer and operator of electric vehicle charging stations,"Warrant to purchase up to 404,563 shares of Series E preferred stock",0,327,327
378,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,First lien senior secured loan ($984 par due 3/2017),6.00% (Libor + 5.00%/Q),984,984
379,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,First lien senior secured loan ($8 par due 3/2017),7.25% (Base Rate + 4.00%/Q),8,8
380,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Preferred stock (247,500 units)",0,2475,3088
