,Industry,Company,Business Description,Investment,Interest,Amortized Cost,Fair Value
178,Power Generation,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",,21654,23299
179,Power Generation,PERC Holdings 1 LLC,,,,594418,568901
180,Manufacturing,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"Warrant to purchase up to 400,000 shares of Series D-4 convertible preferred stock",,0,13
181,Manufacturing,"Chariot Acquisition, LLC(25)",Distributor and designer of aftermarket golf cart parts and accessories,"First lien senior secured loan ($59,318 par due 9/2021)",7.25% (Libor + 6.25%/Q),59318,59318
182,Manufacturing,"Component Hardware Group, Inc.(25)",Commercial equipment,"First lien senior secured revolving loan ($2,241 par due 7/2019)",5.50% (Libor + 4.50%/Q),2241,2218
183,Manufacturing,"Component Hardware Group, Inc.(25)",,"First lien senior secured loan ($8,062 par due 7/2019)",5.50% (Libor + 4.50%/Q),8062,7982
184,Manufacturing,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC(25)",Cutting tool provider to the metalworking industry,"Senior subordinated loan ($27,925 par due 9/2020)",11.00%,27925,27925
185,Manufacturing,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC(25)",,Class A membership units (750 units),,896,1444
186,Manufacturing,"Ioxus, Inc.",Energy storage devices,"First lien senior secured loan ($10,168 par due 11/2017)","10.00% Cash, 2.00% PIK",9957,8643
187,Manufacturing,"Ioxus, Inc.",,"Warrant to purchase up to 717,751 shares of Series AA preferred stock",,0,0
188,Manufacturing,KPS Global LLC,Walk-in cooler and freezer systems,"First lien senior secured loan ($50,000 par due 12/2020)",9.63% (Libor + 8.63%/Q),50000,50000
189,Manufacturing,"MacLean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",Manufacturer and supplier for the power utility and automotive markets worldwide,"Senior subordinated loan ($96,992 par due 10/2025)","10.50% Cash, 3.00% PIK",96992,96992
190,Manufacturing,"MacLean-Fogg Company and MacLean-Fogg Holdings, L.L.C.",,"Preferred units (70,183 units)","4.50% Cash, 9.25% PIK",70782,70782
191,Manufacturing,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($14,164 par due 3/2019)",7.375% (Libor + 6.125%/Q),14164,14164
192,Manufacturing,"MWI Holdings, Inc.",,"First lien senior secured loan ($28,102 par due 3/2019)",9.375% (Libor + 8.125%/Q),28102,28102
193,Manufacturing,"MWI Holdings, Inc.",,"First lien senior secured loan ($19,879 par due 3/2019)",9.375% (Libor + 8.125%/Q),19879,19879
194,Manufacturing,Niagara Fiber Intermediate Corp.(25),Insoluble fiber filler products,"First lien senior secured revolving loan ($1,881 par due 5/2018)",6.75% (Libor + 5.50%/Q),1870,1505
195,Manufacturing,Niagara Fiber Intermediate Corp.(25),,"First lien senior secured loan ($1,430 par due 5/2018)",6.75% (Libor + 5.50%/Q),1421,1144
196,Manufacturing,Niagara Fiber Intermediate Corp.(25),,"First lien senior secured loan ($13,649 par due 5/2018)",6.75% (Libor + 5.50%/Q),13567,10919
197,Manufacturing,Nordco Inc.(25),Railroad maintenance-of-way machinery,"First lien senior secured revolving loan ($3,750 par due 8/2020)",8.75% (Base Rate + 5.25%/Q),3750,3713
198,Manufacturing,Nordco Inc.(25),,"First lien senior secured loan ($70,250 par due 8/2020)",7.25% (Libor + 6.25%/Q),70250,69548
199,Manufacturing,Nordco Inc.(25),,First lien senior secured loan ($188 par due 8/2020),8.75% (Base Rate + 5.25%/Q),188,186
200,Manufacturing,"Pelican Products, Inc.",Flashlights,"Second lien senior secured loan ($40,000 par due 4/2021)",9.25% (Libor + 8.25%/Q),39955,38400
201,Manufacturing,Saw Mill PCG Partners LLC,Metal precision engineered components,"Common units (1,000 units)",,1000,0
202,Manufacturing,"SI Holdings, Inc.","Elastomeric parts, mid-sized composite structures, and composite tooling","Common stock (1,500 shares)",,1500,1483
203,Manufacturing,TPTM Merger Corp.(25),Time temperature indicator products,First lien senior secured revolving loan ($750 par due 9/2018),7.25% (Libor + 6.25%/Q),750,743
204,Manufacturing,TPTM Merger Corp.(25),,"First lien senior secured loan ($22,000 par due 9/2018)",9.42% (Libor + 8.42%/Q),22000,21780
205,Manufacturing,TPTM Merger Corp.(25),,"First lien senior secured loan ($10,000 par due 9/2018)",9.42% (Libor + 8.42%/Q),10000,9900
206,Manufacturing,TPTM Merger Corp.(25),,,,554569,546783
207,Business Services,2329497 Ontario Inc.(9),Outsourced data center infrastructure and related services provider,"Second lien senior secured loan ($42,480 par due 6/2019)",10.50% (Libor + 9.25%/M),43096,26023
208,Business Services,Brandtone Holdings Limited(9)(25),Mobile communications and marketing services provider,"First lien senior secured loan ($5,674 par due 11/2018)",9.50% (Libor + 8.50%/M),5532,5674
209,Business Services,Brandtone Holdings Limited(9)(25),,"First lien senior secured loan ($3,296 par due 1/2019)",9.50% (Libor + 8.50%/M),3209,3296
210,Business Services,Brandtone Holdings Limited(9)(25),,"Warrant to purchase up to 115,002 units of Series Three participating convertible preferred ordinary shares",,0,1
211,Business Services,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"First lien senior secured loan ($3,515 par due 5/2018)",10.00%,3499,3515
212,Business Services,"CallMiner, Inc.",,"First lien senior secured loan ($1,939 par due 9/2018)",10.00%,1929,1939
213,Business Services,"CallMiner, Inc.",,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock",,0,0
214,Business Services,"CIBT Holdings, Inc. and CIBT Investment Holdings, LLC(25)",Expedited travel document processing services,"Class A shares (2,500 shares)",,2500,4563
215,Business Services,"CMW Parent LLC (fka Black Arrow, Inc.)",Multiplatform media firm,Series A units (32 units),,0,0
216,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($10,000 par due 8/2020)",9.25% (Libor + 8.25%/Q),10000,10000
217,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",,"Second lien senior secured loan ($11,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),11500,11500
218,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",,"Second lien senior secured loan ($26,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),26500,26500
219,Business Services,"Command Alkon, Incorporated and CA Note Issuer, LLC",,"Senior subordinated loan ($20,301 par due 8/2021)",14.00% PIK,20301,20301
220,Business Services,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",,2250,2038
221,Business Services,"Compuware Parent, LLC",,"Class B-1 common stock (4,132 units)",,450,408
222,Business Services,"Compuware Parent, LLC",,"Class C-1 common stock (4,132 units)",,300,272
223,Business Services,"Compuware Parent, LLC",,"Class A-2 common stock (4,132 units)",,0,0
224,Business Services,"Compuware Parent, LLC",,"Class B-2 common stock (4,132 units)",,0,0
225,Business Services,"Compuware Parent, LLC",,"Class C-2 common stock (4,132 units)",,0,0
226,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.(25)",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"First lien senior secured loan ($2,333 par due 4/2018)",10.25% (Libor + 9.25%/M),2333,2287
227,Business Services,"Directworks, Inc. and Co-Exprise Holdings, Inc.(25)",,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock",,0,0
228,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,First lien senior secured loan ($990 par due 8/2020),5.75% (Libor + 4.75%/Q),990,950
229,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",,"Class A common stock (7,500 shares)",,7500,6361
230,Business Services,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",,"Class B common stock (7,500 shares)",,0,0
231,Business Services,"EN Engineering, L.L.C.(25)","Engineering and consulting services to natural gas, electric power and other energy & industrial end markets","First lien senior secured loan ($2,568 par due 6/2021)",8.50% (Base Rate + 5.00%/Q),2568,2568
232,Business Services,"EN Engineering, L.L.C.(25)",,"First lien senior secured loan ($22,368 par due 6/2021)",7.00% (Libor + 6.00%/Q),22229,22368
233,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.)(25)",Wholesaler of cloud-based software applications and services,"First lien senior secured revolving loan ($2,000 par due 11/2017)",7.75% (Base Rate + 4.25%/Q),2000,2000
234,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.)(25)",,"First lien senior secured loan ($4,000 par due 5/2019)",9.75% (Libor + 8.75%/Q),3932,4000
235,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.)(25)",,"First lien senior secured loan ($3,000 par due 12/2019)",9.75% (Libor + 8.75%/Q),3000,3000
236,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.)(25)",,"Warrant to purchase up to 1,481 shares of Series A preferred stock",,0,0
237,Business Services,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.)(25)",,"Warrant to purchase up to 2,037 shares of Series A preferred stock",,93,147
238,Business Services,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrant to purchase up to 122,827 units of Series C preferred stock",,0,13
239,Business Services,"HCPro, Inc. and HCP Acquisition Holdings, LLC(8)",Healthcare compliance advisory services,"Senior subordinated loan ($9,810 par due 5/2015)",,2691,0
240,Business Services,"HCPro, Inc. and HCP Acquisition Holdings, LLC(8)",,"Class A units (14,293,110 units)",,12793,0
241,Business Services,"iControl Networks, Inc. and uControl Acquisition, LLC",Software and services company for the connected home market,"Second lien senior secured loan ($20,000 par due 3/2019)",9.50% (Libor + 8.50%/Q),19684,20075
242,Business Services,"iControl Networks, Inc. and uControl Acquisition, LLC",,"Warrant to purchase up to 385,616 shares of Series D preferred stock",,0,173
243,Business Services,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock",,88,71
244,Business Services,Interactions Corporation,Developer of a speech recognition software based customer interaction system,"Second lien senior secured loan ($2,500 par due 7/2019)",9.85% (Libor + 8.85%/Q),2196,2500
245,Business Services,Interactions Corporation,,"Second lien senior secured loan ($22,500 par due 7/2019)",9.85% (Libor + 8.85%/Q),22155,22500
246,Business Services,Interactions Corporation,,"Warrant to purchase up to 68,187 shares of Series G-3 convertible preferred stock",,303,303
247,Business Services,"Investor Group Services, LLC(7)",Business consulting for private equity and corporate clients,Limited liability company membership interest (5.17% interest),,0,360
248,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc.(25)",Provider of software solutions to the insurance and financial services industry,"First lien senior secured loan ($11,970 par due 8/2022)",8.25% (Libor + 7.25%/Q),11970,11970
249,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc.(25)",,"First lien senior secured loan ($44,888 par due 8/2022)",8.25% (Libor + 7.25%/Q),44888,44888
250,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc.(25)",,"First lien senior secured loan ($14,963 par due 8/2022)",8.25% (Libor + 7.25%/Q),14963,14963
251,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc.(25)",,"Preferred stock (1,485 shares)",,1485,1912
252,Business Services,"iPipeline, Inc., Internet Pipeline, Inc. and iPipeline Holdings, Inc.(25)",,"Common stock (647,542 shares)",,15,0
253,Business Services,"IronPlanet, Inc.",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock",,214,214
254,Business Services,"Itel Laboratories, Inc.(25)",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",,1000,1183
255,Business Services,"Market Track Holdings, LLC",Business media consulting services company,"Preferred stock (1,685 shares)",,2221,2362
256,Business Services,"Market Track Holdings, LLC",,"Common stock (16,251 shares)",,2221,2304
257,Business Services,"Maximus Holdings, LLC",Provider of software simulation tools and related services,"Warrant to purchase up to 1,050,013 shares of common stock",,0,0
258,Business Services,"Ministry Brands, LLC and MB Parent Holdings, LLC(25)",Software and payment services provider to faith-based institutions,"First lien senior secured loan ($1,571 par due 11/2021)",5.25% (Libor + 4.25%/Q),1571,1571
259,Business Services,"Ministry Brands, LLC and MB Parent Holdings, LLC(25)",,"First lien senior secured loan ($16,688 par due 11/2021)",10.75% (Libor + 9.75%/Q),16688,16688
260,Business Services,"Ministry Brands, LLC and MB Parent Holdings, LLC(25)",,"First lien senior secured loan ($34,250 par due 11/2021)",10.75% (Libor + 9.75%/Q),33912,34250
261,Business Services,"Ministry Brands, LLC and MB Parent Holdings, LLC(25)",,"Class A common units (2,000,000 units)",,2000,2000
262,Business Services,"Multi-Ad Services, Inc.(7)",Marketing services and software provider,"Preferred units (1,725,280 units)",,0,404
263,Business Services,"Multi-Ad Services, Inc.(7)",,"Common units (1,725,280 units)",,0,0
264,Business Services,"MVL Group, Inc.(8)",Marketing research provider,Senior subordinated loan ($441 par due 7/2012),,226,226
265,Business Services,"MVL Group, Inc.(8)",,"Common stock (560,716 shares)",,0,0
266,Business Services,"NAS, LLC, Nationwide Marketing Group, LLC and Nationwide Administrative Services, Inc.","Buying and marketing services organization for appliance, furniture and consumer electronics dealers","Second lien senior secured loan ($24,100 par due 12/2021)",9.75% (Libor + 8.75%/Q),24100,23136
267,Business Services,"PHL Investors, Inc., and PHL Holding Co.(8)",Mortgage services,Class A common stock (576 shares),,3768,0
268,Business Services,Poplicus Incorporated,Business intelligence and market analytics platform provider,"First lien senior secured loan ($5,000 par due 7/2019)",8.50% (Libor + 7.50%/M),4759,4900
269,Business Services,Poplicus Incorporated,,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock",,125,125
270,Business Services,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",Fixed asset financial management software provider,"Second lien senior secured loan ($30,000 par due 2/2023)",10.75% (Libor + 9.75%/Q),29742,30000
271,Business Services,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",,"Second lien senior secured loan ($50,000 par due 2/2023)",10.75% (Libor + 9.75%/Q),49557,50000
272,Business Services,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",,"Class A common stock (1,980 shares)",,1980,2592
273,Business Services,"PowerPlan, Inc. and Project Torque Ultimate Parent Corporation",,"Class B common stock (989,011 shares)",,20,26
274,Business Services,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",,1000,1130
275,Business Services,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",,250,235
276,Business Services,Rocket Fuel Inc.,Provider of open and integrated software for digital marketing optimization,"Common stock (11,405 units)",,40,20
277,Business Services,Sonian Inc.,Cloud-based email archiving platform,"First lien senior secured loan ($7,500 par due 9/2019)",9.00% (Libor + 8.00%/M),7308,7350
278,Business Services,Sonian Inc.,,"Warrant to purchase up to 169,045 shares of Series C preferred stock",,93,93
279,Business Services,"Talari Networks, Inc.",Networking equipment provider,"First lien senior secured loan ($6,000 par due 12/2018)",9.75% (Libor + 8.75%/M),5901,6000
280,Business Services,"Talari Networks, Inc.",,"Warrant to purchase up to 421,052 shares of Series D-1 preferred stock",,50,50
281,Business Services,"TraceLink, Inc.(25)",Supply chain management software provider for the pharmaceutical industry,"First lien senior secured loan ($4,500 par due 1/2019)",8.50% (Libor + 7.00%/M),4413,4500
282,Business Services,"TraceLink, Inc.(25)",,"Warrant to purchase up to 283,353 shares of Series A-2 preferred stock",,146,1041
283,Business Services,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",,4503,2966
284,Business Services,WorldPay Group PLC(9),Payment processing provider,"C2 shares (73,974 shares)",,11,44
285,Business Services,WorldPay Group PLC(9),,"Ordinary shares (1,310,386 shares)",,1128,5931
286,Business Services,WorldPay Group PLC(9),,,,507889,480780
287,Financial Services,"AllBridge Financial, LLC(8)",Asset management services,Equity interests,,1140,8037
288,Financial Services,Callidus Capital Corporation(8),Asset management services,Common stock (100 shares),,3000,1670
289,Financial Services,Ciena Capital LLC(8)(25),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2016)",6.00%,14000,14000
290,Financial Services,Ciena Capital LLC(8)(25),,First lien senior secured loan ($500 par due 12/2016),12.00%,500,500
291,Financial Services,Ciena Capital LLC(8)(25),,"First lien senior secured loan ($5,000 par due 12/2016)",12.00%,5000,5000
292,Financial Services,Ciena Capital LLC(8)(25),,"First lien senior secured loan ($2,500 par due 12/2016)",12.00%,2500,2500
293,Financial Services,Ciena Capital LLC(8)(25),,Equity interests,,38974,20835
294,Financial Services,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,28000,28000
295,Financial Services,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),,0,0
296,Financial Services,Imperial Capital Group LLC,Investment services,"Class A common units (40,440 units)",,9832,14376
297,Financial Services,Imperial Capital Group LLC,,"2006 Class B common units (13,249 units)",,2,3
298,Financial Services,Imperial Capital Group LLC,,"2007 Class B common units (1,652 units)",,0,0
299,Financial Services,"Ivy Hill Asset Management, L.P.(8)(10)",Asset management services,Member interest (100.00% interest),,170961,235526
300,Financial Services,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC(10)(25)",Asset-backed financial services,"First lien senior secured revolving loan ($50,960 par due 6/2017)",8.48% (Libor + 8.25%/M),50960,50960
301,Financial Services,"LSQ Funding Group, L.C. and LM LSQ Investors LLC(10)(25)",Asset based lender,"Senior subordinated loan ($30,000 par due 6/2021)",10.50%,30000,30000
302,Financial Services,"LSQ Funding Group, L.C. and LM LSQ Investors LLC(10)(25)",,"Membership units (3,000,000 units)",,3000,2966
303,Financial Services,"LSQ Funding Group, L.C. and LM LSQ Investors LLC(10)(25)",,,,357869,414373
304,Education,Campus Management Corp. and Campus Management Acquisition Corp.(7),Education software developer,"Preferred stock (485,159 shares)",,10520,9315
305,Education,"Infilaw Holding, LLC(25)",Operator of for-profit law schools,First lien senior secured revolving loan,,0,0
306,Education,"Infilaw Holding, LLC(25)",,"First lien senior secured loan ($3,626 par due 8/2016)",9.50% (Libor + 8.50%/Q),3626,3626
307,Education,"Infilaw Holding, LLC(25)",,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),124890,113650
308,Education,"Infilaw Holding, LLC(25)",,Series B preferred units (3.91 units),,9245,9765
309,Education,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($1,670 par due 12/2018)",10.50% (Libor + 9.00%/Q),1670,1670
310,Education,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",,"Senior preferred series A-1 shares (163,902 shares)",,119422,99514
311,Education,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",,"Series B preferred stock (1,750,000 shares)",,5000,0
312,Education,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",,"Series C preferred stock (2,512,586 shares)",,689,0
313,Education,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",,Common stock (20 shares),,0,0
314,Education,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($30,750 par due 6/2020)",9.77% (Libor + 8.77%/Q),30750,30750
315,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($43,967 par due 6/2020)",9.77% (Libor + 8.77%/Q),43960,43967
316,Education,"Lakeland Tours, LLC",,"First lien senior secured loan ($40,362 par due 6/2020)",9.77% (Libor + 8.77%/Q),40334,40362
317,Education,"Lakeland Tours, LLC",,"Common stock (5,000 shares)",,5000,9742
318,Education,PIH Corporation(25),Franchisor of education-based early childhood centers,First lien senior secured revolving loan ($621 par due 12/2018),7.00% (Libor + 6.00%/Q),621,621
319,Education,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Preferred stock (1,977 shares)",,494,494
320,Education,"R3 Education, Inc. and EIC Acquisitions Corp.",,Common membership interest (15.76% interest),,15800,25890
321,Education,"R3 Education, Inc. and EIC Acquisitions Corp.",,"Warrant to purchase up to 27,890 shares",,0,0
322,Education,"Regent Education, Inc.(25)",Provider of software solutions designed to optimize the financial aid and enrollment processes,"First lien senior secured revolving loan ($1,000 par due 7/2016)",10.00% (Libor + 8.00%/Q),1000,960
323,Education,"Regent Education, Inc.(25)",,"First lien senior secured loan ($3,000 par due 1/2018)",10.00% (Libor + 8.00%/Q),2927,2880
324,Education,"Regent Education, Inc.(25)",,"Warrant to purchase up to 987,771 shares of Series CC preferred stock",,0,62
325,Education,"Severin Acquisition, LLC(25)",Provider of student information system software solutions to the K-12 education market,"Second lien senior secured loan ($4,154 par due 7/2022)",9.75% (Libor + 8.75%/Q),4073,4071
326,Education,"Severin Acquisition, LLC(25)",,"Second lien senior secured loan ($15,000 par due 7/2022)",9.25% (Libor + 8.25%/Q),14718,14550
327,Education,"WCI-Quantum Holdings, Inc.","Distributor of instructional products, services and resources","Series A preferred stock (1,272 shares)",,1000,1206
328,Education,"WCI-Quantum Holdings, Inc.",,,,435739,413095
329,Restaurants and Food Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($28,581 par due 12/2018)",9.25% (Libor + 8.25%/Q),28581,25151
330,Restaurants and Food Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",,"First lien senior secured loan ($10,919 par due 12/2018)",9.25% (Libor + 8.25%/Q),10922,9609
331,Restaurants and Food Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",,"Promissory note ($21,972 par due 12/2023)",,13770,1641
332,Restaurants and Food Services,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",,"Warrant to purchase up to 23,750 units of Series D common stock",,24,0
333,Restaurants and Food Services,"Benihana, Inc.(25)",Restaurant owner and operator,First lien senior secured revolving loan ($969 par due 7/2018),8.25% (Base Rate + 4.75%/Q),969,921
334,Restaurants and Food Services,"Benihana, Inc.(25)",,"First lien senior secured loan ($4,839 par due 1/2019)",7.25% (Libor + 6.00%/Q),4839,4597
335,Restaurants and Food Services,"DineInFresh, Inc.",Meal-delivery provider,"First lien senior secured loan ($7,500 par due 7/2018)",9.75% (Libor + 8.75%/M),7438,7500
336,Restaurants and Food Services,"DineInFresh, Inc.",,"Warrant to purchase up to 143,079 shares of Series A preferred stock",,0,4
337,Restaurants and Food Services,Garden Fresh Restaurant Corp.(25),Restaurant owner and operator,"First lien senior secured revolving loan ($1,100 par due 7/2018)",10.50% (Libor + 9.00%/Q),1100,1100
338,Restaurants and Food Services,Garden Fresh Restaurant Corp.(25),,"First lien senior secured loan ($40,688 par due 7/2018)",10.50% (Libor + 9.00%/Q),40688,40688
339,Restaurants and Food Services,"Global Franchise Group, LLC and GFG Intermediate Holding, Inc.",Worldwide franchisor of quick service restaurants,"First lien senior secured loan ($62,500 par due 12/2019)",10.53% (Libor + 9.53%/Q),62500,62500
340,Restaurants and Food Services,"Heritage Food Service Group, Inc. and WCI-HFG Holdings, LLC",Distributor of replacement parts for commercial kitchen equipment,"Second lien senior secured loan ($31,645 par due 10/2022)",9.50% (Libor + 8.50%/Q),31645,31012
341,Restaurants and Food Services,"Heritage Food Service Group, Inc. and WCI-HFG Holdings, LLC",,"Preferred units (3,000,000 units)",,3000,3000
342,Restaurants and Food Services,"Orion Foods, LLC(8)",Convenience food service retailer,"First lien senior secured loan ($7,536 par due 9/2015)",,7536,3699
343,Restaurants and Food Services,"Orion Foods, LLC(8)",,"Second lien senior secured loan ($19,420 par due 9/2015)",,0,0
344,Restaurants and Food Services,"Orion Foods, LLC(8)",,"Preferred units (10,000 units)",,0,0
345,Restaurants and Food Services,"Orion Foods, LLC(8)",,"Class A common units (25,001 units)",,0,0
346,Restaurants and Food Services,"Orion Foods, LLC(8)",,"Class B common units (1,122,452 units)",,0,0
347,Restaurants and Food Services,"OTG Management, LLC(25)",Airport restaurant operator,"First lien senior secured revolving loan ($2,300 par due 12/2017)",8.75% (Libor + 7.25%/Q),2300,2300
348,Restaurants and Food Services,"OTG Management, LLC(25)",,"First lien senior secured loan ($10,756 par due 12/2017)",8.75% (Libor + 7.25%/Q),10756,10756
349,Restaurants and Food Services,"OTG Management, LLC(25)",,"First lien senior secured loan ($22,101 par due 12/2017)",8.75% (Libor + 7.25%/Q),22101,22101
350,Restaurants and Food Services,"OTG Management, LLC(25)",,"First lien senior secured loan ($24,688 par due 12/2017)",8.75% (Libor + 7.25%/Q),24688,24688
351,Restaurants and Food Services,"OTG Management, LLC(25)",,"Common units (3,000,000 units)",,3000,11451
352,Restaurants and Food Services,"OTG Management, LLC(25)",,Warrant to purchase up to 7.73% of common units,,100,22843
353,Restaurants and Food Services,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($36,309 par due 2/2019)",8.75% (Libor + 7.75%/Q),36076,35219
354,Restaurants and Food Services,"Restaurant Holding Company, LLC",,,,312033,320780
355,Oil and Gas,"Lonestar Prospects, Ltd.",Sand proppant producer and distributor to the oil and natural gas industry,"First lien senior secured loan ($25,286 par due 9/2018)","8.50% (Libor + 6.50% Cash, 1.00% PIK/Q)",25286,24022
356,Oil and Gas,"Lonestar Prospects, Ltd.",,"First lien senior secured loan ($49,343 par due 9/2018)","8.50% (Libor + 6.50% Cash, 1.00% PIK/Q)",49343,46876
357,Oil and Gas,Petroflow Energy Corporation,Oil and gas exploration and production company,"First lien senior secured loan ($52,539 par due 7/2017)",,49269,19807
358,Oil and Gas,Primexx Energy Corporation,Privately-held oil and gas exploration and production company,"Second lien senior secured loan ($125,000 par due 1/2020)",10.00% (Libor + 9.00%/M),124524,116250
359,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($12,099 par due 12/2016)",,9,10
360,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Second lien senior secured loan ($51,314 par due 12/2016)",,37043,42295
361,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Second lien senior secured loan ($5,971 par due 12/2016)",,4272,4921
362,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Class A common units (533,351 units)",,4993,0
363,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Class B-5 common units (272,834 units)",,2492,0
364,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Class C common units (758,546 units)",,0,0
365,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 654,045 shares of Class A units",,0,0
366,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 26,072 shares of Class B-1 units",,0,0
367,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 52,143 shares of Class B-2 units",,0,0
368,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 26,965 shares of Class B-3 units",,0,0
369,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 73,106 shares of Class B-5 units",,0,0
370,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 54,263 shares of Class B-6 units",,0,0
371,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,"Warrant to purchase up to 952,095 shares of Class C units",,0,0
372,Oil and Gas,"UL Holding Co., LLC and Universal Lubricants, LLC(7)",,,,305939,264143
