,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
177,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",9.00% (Libor + 7.75%/M),5/14/2013,140000,140000
178,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($25,686 par due 6/2018)","12.00% Cash, 1.50% PIK",12/22/2010,25686,25686
179,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,6724,17432
180,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,"Second lien senior secured loan ($78,000 par due 2/2020)",9.75% (Libor + 8.50%/Q),2/21/2013,78000,78000
181,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($91,770 par due 8/2020)",6.25% (Libor + 5.25%/Q),8/1/2013,91770,91770
182,"Centinela Funding, LLC",Solar power generation facility developer and operator,"First lien senior secured loan ($56,000 par due 11/2020)",10.00% (Libor + 8.75%/Q),11/14/2012,56000,56000
183,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"First lien senior secured loan ($7,500 par due 2/2017)",10.00%,7/25/2013,7428,7500
184,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock",0,7/25/2013,0,34
185,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($68,000 par due 8/2018)",10.25% (Libor + 8.75%/M),8/9/2011,67021,67320
186,"Panda Sherman Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($32,500 par due 9/2018)",9.00% (Libor + 7.50%/Q),9/14/2012,32500,32500
187,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($60,000 par due 7/2018)",11.50% (Libor + 10.00%/Q),7/17/2012,58338,60000
188,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($20,000 par due 4/2019)",7.25% (Libor + 6.00%/Q),4/3/2013,19813,20000
189,"Sunrun Solar Owner Holdco X, LLC",Residential solar energy provider,"First lien senior secured loan ($60,000 par due 6/2019)",9.50% (Libor + 8.25%/Q),6/7/2013,60000,60000
190,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,5077,7980
191,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,3000,1725
192,Ciena Capital LLC (7),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2014)",6.00%,11/29/2010,14000,14000
193,Ciena Capital LLC (7),Real estate and small business loan servicer,"First lien senior secured loan ($28,000 par due 12/2016)",12.00%,11/29/2010,28000,28000
194,Ciena Capital LLC (7),Real estate and small business loan servicer,Equity interests,0,11/29/2010,53374,12907
195,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,5/10/2012,28000,28000
196,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior subordinated loan ($2,000 par due 9/2015)",9.00%,9/30/2011,2000,2000
197,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),0,11/30/2012,0,0
198,Imperial Capital Group LLC,Investment services,"Class A common units (7,710 units)",0,5/10/2007,14997,19280
199,Imperial Capital Group LLC,Investment services,"2006 Class B common units (2,526 units)",0,5/10/2007,3,5
200,Imperial Capital Group LLC,Investment services,2007 Class B common units (315 units),0,5/10/2007,0,1
201,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,170961,275462
202,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"First lien senior secured revolving loan ($1,018 par due 11/2014)",6.50% (Libor + 3.50%/Q),11/27/2006,1018,1018
203,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"First lien senior secured loan ($9,104 par due 11/2015)",12.50% (Libor + 9.50%/Q),11/27/2006,9104,9104
204,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"First lien senior secured loan ($10,919 par due 11/2015)",12.50% (Libor + 9.50%/Q),11/27/2006,10922,10919
205,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,"Promissory note ($21,240,073 par due 11/2016)",12.00% PIK,11/27/2006,17804,21195
206,"ADF Capital, Inc. & ADF Restaurant Group, LLC",Restaurant owner and operator,Warrants to purchase up to 0.61 shares,0,6/1/2006,0,1411
207,"Benihana, Inc.",Restaurant owner and operator,"First lien senior secured loan ($9,950 par due 2/2018)",6.75% (Libor + 5.50%/Q),8/21/2012,9950,9950
208,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured revolving loan ($2,350 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,2350,2350
209,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured loan ($25,600 par due 2/2017)",9.00% (Libor + 8.00%/S),2/15/2012,25112,25600
210,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Warrants to purchase up to,0,2/15/2012,0,276
211,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Warrants to purchase up to 324 shares of Class A common stock,0,2/15/2012,669,3972
212,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"First lien senior secured revolving loan ($8,000 par due 9/2014)",10.75% (Base Rate + 7.50%/M),4/1/2010,8000,8000
213,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"First lien senior secured loan ($33,147 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,33147,33147
214,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Second lien senior secured loan ($37,552 par due 9/2014)",0,4/1/2010,19752,21822
215,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Preferred units (10,000 units)",0,10/28/2010,0,0
216,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Class A common units (25,001 units)",0,4/1/2010,0,0
217,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Class B common units (1,122,452 units)",0,4/1/2010,0,0
218,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($30,500 par due 12/2017)",8.75% (Libor + 7.25%/Q),12/11/2012,30500,30500
219,"OTG Management, LLC",Airport restaurant operator,"Common units (3,000,000 units)",0,1/5/2011,3000,1804
220,"OTG Management, LLC",Airport restaurant operator,Warrants to purchase up to 7.73% of common units,0,6/19/2008,100,3830
221,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Second lien senior secured loan ($74,812 par due 11/2019)",6.25% (Libor + 5.25%/Q),5/14/2013,74456,74812
222,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,6303,6408
223,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($60,417 par due 2/2017)",9.00% (Libor + 7.50%/M),2/17/2012,59535,60417
224,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($9,295 par due 2/2017)",9.00% (Libor + 7.50%/M),2/17/2012,9158,9295
225,S.B. Restaurant Company,Restaurant owner and operator,"Preferred stock (46,690 shares)",0,4/1/2010,0,0
226,S.B. Restaurant Company,Restaurant owner and operator,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0,0
227,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer",First lien senior secured revolving loan,0,8/31/2011,0,0
228,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($25,997 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,25997,25997
229,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($36,814 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,36945,36814
230,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($61,679 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,61679,61679
231,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($14,757 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,14757,14757
232,"Microstar Logistics LLC, Microstar Global Asset Management LLC and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($165,000 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,165000,165000
233,"Microstar Logistics LLC, Microstar Global Asset Management LLC and MStar Holding Corporation",Keg management solutions provider,"Common stock (50,000 shares)",0,12/14/2012,5000,6242
234,"Pregis Corporation, Pregis Intellipack Corp. and Pregis Innovative Packaging Inc.","Provider of a broad range of highly-customized, tailored protective packaging solutions",First lien senior secured loan ($985 par due 3/2017),7.75% (Libor + 6.25%/M),4/25/2012,985,985
235,"Gilchrist & Soames, Inc.",Personal care manufacturer,"First lien senior secured revolving loan ($8,700 par due 10/2013)",6.25% (Libor + 5.00%/M),4/1/2010,8700,8700
236,"Gilchrist & Soames, Inc.",Personal care manufacturer,"First lien senior secured loan ($22,393 par due 10/2013)","13.44% Cash, 2.00% PIK",4/1/2010,22389,21722
237,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,10/31/2011,5095,5095
238,"Implus Footcare, LLC",Provider of footwear and other accessories,Common stock (455 shares),0,10/31/2011,455,853
239,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,"Second lien senior secured loan ($19,310 par due 8/2017)",13.25% (Libor + 11.75%/Q),8/26/2011,19157,19310
240,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,"Class A common stock (155,000 shares)",0,8/26/2011,6035,7110
241,Insight Pharmaceuticals Corporation (6),OTC drug products manufacturer,"Class B common stock (155,000 shares)",0,8/26/2011,6035,7110
242,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Warrants to purchase up to 1,489 shares of preferred stock",0,7/27/2011,0,1121
243,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Warrants to purchase up to 1,654,678 shares of common stock",0,7/27/2011,0,1144
244,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($5,624 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,5603,5624
245,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($33,386 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,33263,33386
246,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($8,906 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,8872,8906
247,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",0,8/29/2012,1000,1365
248,"The Step2 Company, LLC",Toy manufacturer,"Second lien senior secured loan ($25,600 par due 4/2015)",10.00%,4/1/2010,24997,25600
249,"The Step2 Company, LLC",Toy manufacturer,"Second lien senior secured loan ($32,450 par due 4/2015)",10.00%,4/1/2010,30802,25960
250,"The Step2 Company, LLC",Toy manufacturer,"Common units (1,116,879 units)",0,4/1/2010,24,0
251,"The Step2 Company, LLC",Toy manufacturer,"Warrants to purchase up to 3,157,895 units",0,4/1/2010,0,0
252,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,5206,4753
253,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Common units (5,400 units)",0,6/21/2007,0,4635
254,Woodstream Corporation,Pet products manufacturer,"First lien senior secured loan ($14,377 par due 8/2016)",6.00% (Libor + 5.00%/Q),4/18/2012,14377,14377
255,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($73,102 par due 2/2017)",11.00%,4/18/2012,70351,72371
256,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($6,898 par due 2/2017)",11.00%,4/18/2012,6898,6829
257,Woodstream Corporation,Pet products manufacturer,"Common stock (4,254 shares)",0,1/22/2010,1222,2294
258,Woodstream Corporation,Pet products manufacturer,0,0,1/22/2010,92848,95871
259,"Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Preferred stock (247,500 units)",0,12/16/2011,2475,2797
260,"Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Common stock (25,000 units)",0,12/16/2011,25,308
261,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured revolving loan ($1,600 par due 7/2017)",8.25% (Base Rate + 5.00%/Q),7/12/2012,1600,1600
262,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($8,220 par due",7.25% (Libor + 6.00%/Q),7/12/2012,8220,8220
263,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($40,807 par due 7/2017)",7.25% (Libor + 6.00%/Q),7/12/2012,40807,40807
264,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Series A preferred stock (1,800 shares)",0,7/12/2012,1800,1989
265,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Common stock (20,000 shares)",0,7/12/2012,200,261
266,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($5,000 par due 10/2016)",10.83%,12/28/2012,5000,5000
267,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($5,000 par due 7/2016)",10.13%,12/28/2012,4878,5000
268,"EcoMotors, Inc.",Engine developer,"Warrant to purchase up to 321,888 shares of Series C preferred stock",0,12/28/2012,0,43
269,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($117,850 par due 8/2017)",7.25% (Libor + 6.25%/Q),8/20/2012,117850,115724
270,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($4,850 par due 8/2017)",4.50% (Libor + 3.50%/Q),8/20/2012,4850,5270
271,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($10,000 par due 8/2017)",7.25% (Libor + 6.25%/Q),8/20/2012,10000,10866
272,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($9,699 par due 8/2017)",4.50% (Libor + 3.50%/Q),8/20/2012,9699,10539
273,"Service King Paint & Body, LLC",Collision repair site operators,Membership interest,0,8/20/2012,5000,6528
274,"Argotec, LLC",Thermoplastic polyurethane films,"First lien senior secured revolving loan ($1,125 par due 5/2018)",7.00% (Base Rate + 3.75%/M),5/31/2013,1125,1125
275,"Argotec, LLC",Thermoplastic polyurethane films,"First lien senior secured loan ($10,862 par due 5/2019)",5.75% (Libor + 4.75%/S),5/31/2013,10862,10862
276,"Argotec, LLC",Thermoplastic polyurethane films,First lien senior secured loan ($137 par due 5/2019),5.75% (Libor + 4.75%/S),5/31/2013,137,137
277,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"First lien senior secured loan ($3,485 par due 8/2015)",12.00%,8/7/2012,3485,3485
278,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"Warrants to purchase up to 400,000 shares of Series D-4 convertible preferred stock",0,8/7/2012,0,6
279,"Component Hardware Group, Inc.",Commercial equipment,"First lien senior secured loan ($25,766 par due 7/2019)",5.50% (Libor + 4.50%/M),7/1/2013,25766,25766
280,Lighting Science Group Corporation,Advanced lighting products,Letter of credit facility,0,9/20/2011,0,0
281,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($38,274 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,38274,38274
282,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($10,000 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,10000,10000
283,"NetShape Technologies, Inc.",Metal precision engineered components,First lien senior secured revolving loan ($266 par due 12/2014),7.50% (Libor + 6.50%/S),4/1/2010,266,266
284,"Pelican Products, Inc.",Flashlights,"First lien senior secured loan ($7,900 par due 7/2018)",7.00% (Libor + 5.50%/Q),7/13/2012,7900,7900
285,"Pelican Products, Inc.",Flashlights,"Second lien senior secured loan ($32,000 par due 6/2019)",11.50% (Libor + 10.00%/Q),7/13/2012,32000,32000
286,"Protective Industries, Inc. (dba Caplugs)",Plastic protection products,First lien senior secured revolving loan,0,11/30/2012,0,0
287,"Protective Industries, Inc. (dba Caplugs)",Plastic protection products,Senior subordinated loan ($733 par due 5/2018),"8.00% Cash, 7.25% PIK",5/23/2011,733,733
288,"Protective Industries, Inc. (dba Caplugs)",Plastic protection products,"Preferred stock (2,379,361 shares)",0,5/23/2011,2307,5541
289,Saw Mill PCG Partners LLC,Metal precision engineered components manufacturer,"Common units (1,000 units)",0,1/30/2007,1000,0
290,"SSH Environmental Industries, Inc. and SSH Non-Destructive Testing, Inc.",Magnetic sensors and supporting sensor products,"First lien senior secured loan ($11,261 par due 12/2016)",9.00% (Libor + 7.50%/Q),3/23/2012,11098,11261
291,TPTM Merger Corp.,Time temperature indicator products,First lien senior secured revolving loan ($540 par due 9/2018),7.50% (Base Rate + 4.25%/Q),9/12/2013,540,540
292,TPTM Merger Corp.,Time temperature indicator products,"First lien senior secured loan ($33,500 par due 9/2018)",6.25% (Libor + 5.25%/Q),9/12/2013,33500,33500
293,Fulton Holdings Corp.,Airport retail operator,"First lien senior secured loan ($43,000 par due 5/2018)",8.50%,5/10/2013,43000,43000
294,Fulton Holdings Corp.,Airport retail operator,"First lien senior secured loan ($40,000 par due 5/2018)",8.50%,5/28/2010,40000,40000
295,Fulton Holdings Corp.,Airport retail operator,"Common stock (19,672 shares)",0,5/28/2010,1461,1741
296,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes",First lien senior secured revolving loan ($333 par due 9/2018),7.25% (Libor + 6.25%/Q),9/23/2013,333,333
297,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes","First lien senior secured loan ($25,000 par due 9/2018)",7.25% (Libor + 6.25%/Q),9/23/2013,25000,25000
298,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes","Class A Common Stock (36,364 shares)",0,9/23/2013,6000,6000
299,Things Remembered Inc. and TRM Holdings Corporation,Personalized gifts retailer,"First lien senior secured loan ($14,850 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,14850,14850
300,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",Aerospace precision components manufacturer,"First lien senior secured loan ($1,127 par due 5/2018)",6.50% (Libor + 5.25%/Q),5/15/2012,1122,1127
301,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",Aerospace precision components manufacturer,"First lien senior secured loan ($8,396 par due 5/2018)",6.50% (Libor + 5.25%/Q),5/15/2012,8329,8396
302,"Cadence Aerospace, LLC (fka PRV Aerospace, LLC)",Aerospace precision components manufacturer,"Second lien senior secured loan ($79,658 par due 5/2019)",10.50% (Libor + 9.25%/Q),5/10/2012,79658,79658
303,"ILC Industries, LLC",Designer and manufacturer of protective cases and technically advanced lighting systems,"First lien senior secured loan ($4,796 par due 7/2018)",8.00% (Libor + 6.50%/Q),7/13/2012,4720,4700
304,"ILC Industries, LLC",Designer and manufacturer of protective cases and technically advanced lighting systems,"First lien senior secured loan ($19,427 par due 7/2018)",8.00% (Libor + 6.50%/Q),7/13/2012,19102,19038
305,"TurboCombuster Technology, Inc.","Manufacturer of complex fabrications for the commercial aerospace, military aerospace and industrial gas turbine markets","First lien senior secured loan ($4,987 par due 12/2017)",6.00% (Libor + 5.00%/Q),1/31/2013,4965,4987
306,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,109,109
307,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services","Common stock (1,885,195 shares)",0,1/17/2008,2291,1807
308,Bushnell Inc.,Sports optics manufacturer,"Second lien senior secured loan ($48,825 par due 2/2016)",9.00% (Libor + 7.50%/Q),4/1/2010,44951,48825
309,Bushnell Inc.,Sports optics manufacturer,"Second lien senior secured loan ($43,675 par due 2/2016)",9.50% (Libor + 8.00%/Q),4/30/2012,43675,43675
310,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured revolving loan ($1,200 par due 8/2019)",8.13% (Libor + 7.13%/M),8/19/2013,1200,1200
311,"K2 Pure Solutions Nocal, L.P.",Chemical producer,"First lien senior secured loan ($90,000 par due 8/2019)",7.00% (Libor + 6.00%/M),8/19/2013,90000,90000
312,"Eberle Design, Inc.",Provider of intelligent transportation systems products in the traffic and rail industries,"First lien senior secured loan ($43,000 par due 8/2018)",7.50% (Libor + 6.25%/Q),8/26/2013,42794,43000
313,PODS Funding Corp.,Storage and warehousing,"Junior subordinated loan ($41,064 par due 5/2017)","12.75% Cash, 2.75% PIK",11/29/2011,41064,41064
314,"United Road Towing, Inc.",Towing company,Warrants to purchase up to 607 shares,0,4/1/2010,0,0
315,"Batanga, Inc.",Independent digital media company,"First lien senior secured loan ($5,359 par due 11/2016)",9.60%,10/31/2012,5359,5453
316,"Batanga, Inc.",Independent digital media company,"First lien senior secured loan ($4,500 par due 9/2017)",9.60%,10/31/2012,4500,4500
317,"Earthcolor Group, LLC",Printing management services,Limited liability company interests (9.30%),0,5/18/2012,0,0
318,"National Print Group, Inc.",Printing management services,First lien senior secured revolving loan ($685 par due 10/2013),9.00% (Libor + 6.00%/Q),3/2/2006,685,685
319,"National Print Group, Inc.",Printing management services,"First lien senior secured revolving loan ($1,850 par due 10/2013)",9.00% (Base Rate + 5.00%/Q),3/2/2006,1850,1850
320,"National Print Group, Inc.",Printing management services,"First lien senior secured loan ($6,540 par due 10/2013)",9.00% (Libor + 6.00%/Q),3/2/2006,6283,6540
321,"National Print Group, Inc.",Printing management services,"Preferred stock (9,344 shares)",0,3/2/2006,2000,561
322,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"First lien senior secured loan ($20,995 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,20995,20995
323,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"First lien senior secured loan ($9,751 par due 3/2017)",9.00% (Libor + 7.50%/Q),9/29/2006,9751,9751
324,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Preferred stock (10,663 shares)",0,9/29/2006,1066,3334
325,"The Teaching Company, LLC and The Teaching Company Holdings, Inc.",Education publications provider,"Common stock (15,393 shares)",0,9/29/2006,3,8
326,"AWTP, LLC (7)",Water treatment services,"Second lien senior secured loan ($4,212 par due 6/2015)",10.00%,4/18/2011,4212,4212
327,"AWTP, LLC (7)",Water treatment services,"Second lien senior secured loan ($6,121 par due 6/2015)",15.00%,4/18/2011,6121,6121
328,"AWTP, LLC (7)",Water treatment services,Membership interests (90% interest),0,4/18/2011,0,7905
329,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"First lien senior secured loan ($1,500 par due 10/2016)",9.26%,3/28/2013,1434,1500
330,"Genomatica, Inc.",Developer of a biotechnology platform for the production of chemical products,"Warrant to purchase 322,422 shares of Series D preferred stock",0,3/28/2013,0,6
331,"RE Community Holdings II, Inc.and Pegasus Community Energy, LLC.",Operator of municipal recycling facilities,"Preferred stock (1,000 shares)",0,3/1/2011,8839,800
332,"Waste Pro USA, Inc",Waste management services,"Preferred Class A common equity (611,615 shares)",0,11/9/2006,12263,26978
333,"10th Street, LLC (6)",Real estate holding company,"Senior subordinated loan ($25,986 par due 11/2014)","8.93% Cash, 4.07% PIK",4/1/2010,25987,25987
334,"10th Street, LLC (6)",Real estate holding company,Member interest (10.00%,0,4/1/2010,594,7251
335,"10th Street, LLC (6)",Real estate holding company,"Option (25,000 units)",0,4/1/2010,25,25
336,"American Commercial Coatings, Inc.",Real estate property,"Commercial mortgage loan ($2,417 par due 12/2025)",8.75% (Libor + 7.25%/Q),4/1/2010,706,2061
337,"Cleveland East Equity, LLC",Hotel operator,Real estate equity interests,0,4/1/2010,1026,4444
338,"Commons R-3, LLC",Real estate developer,Real estate equity interests,0,4/1/2010,0,0
339,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,"Senior subordinated loan ($2,236 par due 9/2011)",0,4/1/2010,0,0
340,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,"Senior subordinated loan ($2,092 par due 6/2017)",0,4/1/2010,0,0
341,"Crescent Hotels & Resorts, LLC and affiliates (7)",Hotel operator,Common equity interest,0,4/1/2010,0,0
342,"Hot Light Brands, Inc. (7)",Real estate holding company,"First lien senior secured loan ($32,957 par due 2/2011)",0,4/1/2010,1664,1633
343,"Hot Light Brands, Inc. (7)",Real estate holding company,"Common stock (93,500 shares)",0,4/1/2010,0,0
344,"NPH, Inc.",Hotel property,Real estate equity interests,0,4/1/2010,5291,5833
345,"Geotrace Technologies, Inc.",Reservoir processing and development,"Warrants to purchase up to 69,978 shares of common stock",0,4/1/2010,88,0
346,"Geotrace Technologies, Inc.",Reservoir processing and development,"Warrants to purchase up to 210,453 shares of preferred stock",0,4/1/2010,2805,2158
347,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Second lien senior secured loan ($9,926 par due 12/2014)",0,4/30/2012,9786,7269
348,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Second lien senior secured loan ($5,144 par due 12/2014)",0,4/30/2012,5089,3767
349,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Second lien senior secured loan ($44,434 par due 12/2014)",0,4/30/2012,43434,32537
350,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Class A common units (151,236 units)",0,6/17/2011,1512,0
351,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Class B-5 common units (599,200 units)",0,4/25/2008,5472,0
352,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Class B-4 common units (50,000 units)",0,6/17/2011,500,0
353,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Petroleum product manufacturer,"Class C common units (758,546 units)",0,4/25/2008,0,0
354,"Athletic Club Holdings, Inc.",Premier health club operator,"First lien senior secured loan ($34,000 par due 3/2019)",7.25% (Libor + 6.00%/M),10/11/2007,34000,34000
355,"CFW Co-Invest, L.P. and NCP Curves, L.P.",Health club franchisor,"Limited partnership interest (4,152,165 shares)",0,7/31/2012,4152,3338
356,"CFW Co-Invest, L.P. and NCP Curves, L.P.",Health club franchisor,"Limited partnership interest (1,847,835 shares)",0,7/31/2012,1848,1486
357,"American Broadband Communications, LLC, American Broadband Holding Company, Cameron Holdings of NC, Inc.",Broadband communication services,Warrants to purchase up to 378 shares,0,11/7/2007,0,4982
358,"American Broadband Communications, LLC, American Broadband Holding Company, Cameron Holdings of NC, Inc.",Broadband communication services,Warrants to purchase up to 200 shares,0,9/1/2010,0,2636
359,"Quantance, Inc.",Designer of semiconductor products to the mobile wireless market,"First lien senior secured loan ($3,500 par due 9/2016)",10.25%,8/23/2013,3396,3430
360,"Quantance, Inc.",Designer of semiconductor products to the mobile wireless market,"Warrant to purchase up to 130,432 shares of Series D preferred stock",0,8/23/2013,74,74
361,"Startec Equity, LLC (7)",Communication services,Member interest,0,4/1/2010,0,0
