,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
176,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","First lien senior secured loan ($7,698 par due 3/2017)",5.75% (Libor + 4.75%/Q),3/30/2012,7698,7698
177,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies",First lien senior secured loan ($42 par due 3/2017),7.00% (Base Rate + 3.75%/M),3/30/2012,42,42
178,"McKenzie Sports Products, LLC","Designer, manufacturer and distributor of taxidermy forms and supplies","First lien senior secured loan ($8,797 par due 3/2017)",5.75% (Libor + 4.75%/Q),3/30/2012,8797,8797
179,Spin HoldCo Inc.,Laundry service and equipment provider,"Second lien senior secured loan ($140,000 par due 5/2020)",8.00% (Libor + 7.00%/Q),5/14/2013,140000,140000
180,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Senior subordinated loan ($39,900 par due 6/2018)",11.75%,12/22/2010,40099,39900
181,The Dwyer Group (6),Operator of multiple franchise concepts primarily related to home maintenance or repairs,"Series A preferred units (13,292,377 units)",8.00% PIK,12/22/2010,4614,14576
182,"Wash Multifamily Laundry Systems, LLC",Laundry service and equipment provider,"Second lien senior secured loan ($78,000 par due 2/2020)",7.75% (Libor + 6.75%/S),6/26/2012,78000,78000
183,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured revolving loan ($5,000 par due 3/2019)",5.50% (Libor + 4.50%/Q),3/18/2011,5000,5000
184,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($54,161 par due 3/2019)",5.50% (Libor + 4.50%/Q),3/18/2011,54161,54161
185,"American Academy Holdings, LLC","Provider of education, training, certification, networking, and consulting services to medical coders and other healthcare professionals","First lien senior secured loan ($4,480 par due 3/2019)",5.50% (Libor + 4.50%/Q),3/18/2011,4480,4480
186,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520,6873
187,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Preferred stock (99,492 shares)",12.00% PIK,8/1/2011,10633,10633
188,"ELC Acquisition Corp., ELC Holdings Corporation, and Excelligence Learning Corporation (6)","Developer, manufacturer and retailer of educational products","Common stock (50,800 shares)",0,8/1/2011,0,1127
189,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured revolving loan,0,8/25/2011,0,0
190,"Infilaw Holding, LLC",Operator of for-profit law schools,First lien senior secured loan ($1 par due 8/2016),9.50% (Libor + 8.50%/Q),8/25/2011,1,1
191,"Infilaw Holding, LLC",Operator of for-profit law schools,"First lien senior secured loan ($14,290 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,14290,14290
192,"Infilaw Holding, LLC",Operator of for-profit law schools,"Series A preferred units (124,890 units)",0,8/25/2011,124890,124890
193,"Infilaw Holding, LLC",Operator of for-profit law schools,Series B preferred units (3.91 units),0,10/19/2012,9245,11476
194,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($14,990 par due 6/2015)",0,4/24/2013,14531,12741
195,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($40,035 par due 6/2015)",0,4/24/2013,38809,34029
196,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000,0
197,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689,0
198,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (20 shares),0,6/7/2010,0,0
199,"Lakeland Tours, LLC",Educational travel provider,First lien senior secured revolving loan,0,10/4/2011,0,0
200,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($82,989 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,82930,82989
201,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($1,661 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,1660,1661
202,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($7,962 par due 12/2016)",5.25% (Libor + 4.25%/Q),10/4/2011,7947,7962
203,"Lakeland Tours, LLC",Educational travel provider,"First lien senior secured loan ($40,362 par due 12/2016)",8.50% (Libor + 7.50%/Q),10/4/2011,40283,40362
204,"Lakeland Tours, LLC",Educational travel provider,"Common stock (5,000 shares)",0,10/4/2011,5000,4720
205,PIH Corporation,Franchisor of education-based early childhood centers,First lien senior secured revolving loan ($621 par due 6/2016),7.25% (Libor + 6.25%/M),12/13/2013,621,621
206,PIH Corporation,Franchisor of education-based early childhood centers,"First lien senior secured loan ($38,075 par due 6/2016)",7.25% (Libor + 6.25%/M),12/13/2013,39081,38837
207,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Preferred stock (8,800 shares)",0,7/30/2008,2200,1936
208,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,Common membership interest (26.27% interest),0,9/21/2007,15800,29307
209,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0,0
210,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($24,933 par due 5/2019)",5.50% (Libor + 4.25%/Q),5/29/2013,24933,24933
211,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,First lien senior secured loan ($634 par due 5/2019),5.50% (Libor + 4.25%/Q),5/29/2013,634,634
212,"RuffaloCODY, LLC",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($1,453 par due 5/2019)",6.50% (Base Rate + 3.25%/Q),5/29/2013,1453,1453
213,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($2,000 par due 7/2017)",9.50%,2/26/2014,1914,1940
214,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"First lien senior secured loan ($3,000 par due 7/2017)",9.62%,12/16/2013,2737,2910
215,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Series B preferred stock (74,449 shares)",0,2/26/2014,250,250
216,"Alphabet Energy, Inc.",Technology developer to convert waste-heat into electricity,"Warrants to purchase up to 59,524 units of Series B preferred stock",0,12/16/2013,146,128
217,Bicent (California) Holdings LLC,Gas turbine power generation facilities operator,"Senior subordinated loan ($50,000 par due 2/2021)",8.25% (Libor + 7.25%/Q),2/6/2014,50000,50000
218,"Brush Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($89,752 par due 8/2020)",6.25% (Libor + 5.25%/Q),8/1/2013,89752,89752
219,"Centinela Funding, LLC",Solar power generation facility developer and operator,"Senior subordinated loan ($56,000 par due 11/2020)",10.00% (Libor + 8.75%/Q),11/14/2012,56000,56000
220,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"First lien senior secured loan ($7,500 par due 2/2017)",10.00%,7/25/2013,7438,7500
221,"Joule Unlimited Technologies, Inc. and Stichting Joule Global Foundation",Renewable fuel and chemical production developer,"Warrant to purchase up to 32,051 shares of Series C-2 preferred stock",0,7/25/2013,0,39
222,"La Paloma Generating Company, LLC","Natural gas fired, combined cycle plant operator","Second lien senior secured loan ($10,000 par due 2/2020)",9.25% (Libor + 8.25%/Q),2/20/2014,9605,9750
223,"Panda Sherman Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($32,500 par due 9/2018)",9.00% (Libor + 7.50%/Q),9/14/2012,32500,32500
224,"Panda Temple Power II, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($20,000 par due 4/2019)",7.25% (Libor + 6.00%/Q),4/3/2013,19827,20000
225,"Panda Temple Power, LLC",Gas turbine power generation facilities operator,"First lien senior secured loan ($60,000 par due 7/2018)",11.50% (Libor + 10.00%/Q),7/17/2012,58469,60000
226,"Sunrun Solar Owner Holdco X, LLC",Residential solar energy provider,"First lien senior secured loan ($59,423 par due 6/2019)",9.50% (Libor + 8.25%/Q),6/7/2013,59423,59423
227,"Sunrun Solar Owner Holdco XIII, LLC",Residential solar energy provider,"First lien senior secured loan ($28,656 par due 12/2019)",9.50% (Libor + 8.25%/Q),11/27/2013,28441,28656
228,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,5077,10115
229,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,3000,1730
230,Ciena Capital LLC (7),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2014)",6.00%,11/29/2010,14000,14000
231,Ciena Capital LLC (7),Real estate and small business loan servicer,"First lien senior secured loan ($26,000 par due 12/2016)",12.00%,11/29/2010,26000,26000
232,Ciena Capital LLC (7),Real estate and small business loan servicer,Equity interests,0,11/29/2010,53374,12969
233,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,5/10/2012,28000,28000
234,"Cook Inlet Alternative Risk, LLC",Risk management services,"Senior subordinated loan ($1,500 par due 9/2015)",9.00%,9/30/2011,1500,1500
235,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),0,11/30/2012,0,0
236,Imperial Capital Group LLC,Investment services,"Class A common units (23,130 units)",0,5/10/2007,11248,15252
237,Imperial Capital Group LLC,Investment services,"2006 Class B common units (7,578 units)",0,5/10/2007,2,4
238,Imperial Capital Group LLC,Investment services,2007 Class B common units (945 units),0,5/10/2007,0,0
239,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,170961,264941
240,"Gilchrist & Soames, Inc.",Personal care manufacturer,"First lien senior secured revolving loan ($3,650 par due 12/2014)",7.25% (Base Rate + 4.00%/M),4/1/2010,3650,3650
241,"Gilchrist & Soames, Inc.",Personal care manufacturer,"First lien senior secured revolving loan ($5,050 par due 12/2014)",6.25% (Libor + 5.00%/M),4/1/2010,5050,5050
242,"Gilchrist & Soames, Inc.",Personal care manufacturer,"First lien senior secured loan ($22,624 par due 12/2014)","13.44% Cash, 2.00% PIK",4/1/2010,22621,21945
243,"Implus Footcare, LLC",Provider of footwear and other accessories,Preferred stock (455 shares),6.00% PIK,10/31/2011,5248,5248
244,"Implus Footcare, LLC",Provider of footwear and other accessories,Common stock (455 shares),0,10/31/2011,455,992
245,Insight Pharmaceuticals Corporation (6),OTC drug products manufactuer,"Second lien senior secured loan ($19,310 par due 8/2017)",13.25% (Libor + 11.75%/Q),8/26/2011,19172,19310
246,Insight Pharmaceuticals Corporation (6),OTC drug products manufactuer,"Class A common stock (155,000 shares)",0,8/26/2011,6035,10713
247,Insight Pharmaceuticals Corporation (6),OTC drug products manufactuer,"Class B common stock (155,000 shares)",0,8/26/2011,6035,10713
248,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Warrants to purchase up to 1,654,678 shares of common stock",0,7/27/2011,0,334
249,"Matrixx Initiatives, Inc. and Wonder Holdings Acquisition Corp.",Developer and marketer of over-the-counter healthcare products,"Warrants to purchase up to 1,489 shares of preferred stock",0,7/27/2011,0,1167
250,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($31,024 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,30921,31024
251,"Oak Parent, Inc.",Manufacturer of athletic apparel,First lien senior secured loan ($81 par due 4/2018),9.25% (Base Rate + 6.00%/Q),4/2/2012,81,81
252,"Oak Parent, Inc.",Manufacturer of athletic apparel,"First lien senior secured loan ($8,768 par due 4/2018)",7.50% (Libor + 7.00%/Q),4/2/2012,8738,8768
253,"Oak Parent, Inc.",Manufacturer of athletic apparel,First lien senior secured loan ($23 par due 4/2018),9.25% (Base Rate + 6.00%/Q),4/2/2012,23,23
254,"PG-ACP Co-Invest, LLC","Supplier of medical uniforms, specialized medical footwear and accessories","Class A membership units (1,000,0000 units)",0,8/29/2012,1000,1570
255,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured revolving loan ($2,073 par due 3/2020)",10.00% (Base Rate + 6.75%/Q),3/14/2014,2073,2073
256,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured loan ($7,871 par due 3/2020)",10.00% (Base Rate + 6.75%/Q),3/14/2014,7871,7871
257,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","First lien senior secured loan ($80,000 par due 3/2020)",10.00% (Base Rate + 6.75%/Q),3/14/2014,80000,80000
258,"Shock Doctor, Inc. and BRP Hold 14, LLC","Developer, marketer and distributor of sports protection equipment and accessories.","Class A preferred units (50,000 units)",0,3/14/2014,5000,5000
259,"The Step2 Company, LLC",Toy manufacturer,"Second lien senior secured loan ($25,600 par due 4/2015)",10.00%,4/1/2010,25181,25600
260,"The Step2 Company, LLC",Toy manufacturer,"Second lien senior secured loan ($4,500 par due 4/2015)",10.00%,3/13/2014,4500,4500
261,"The Step2 Company, LLC",Toy manufacturer,"Second lien senior secured loan ($33,290 par due 4/2015)",0,4/1/2010,30802,14238
262,"The Step2 Company, LLC",Toy manufacturer,"Common units (1,116,879 units)",0,4/1/2010,24,0
263,"The Step2 Company, LLC",Toy manufacturer,Warrants to purchase up to,0,4/1/2010,0,0
264,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Preferred units (6,283 units)",8.00% PIK,6/21/2007,3935,3519
265,"The Thymes, LLC (7)",Cosmetic products manufacturer,"Common units (5,400 units)",0,6/21/2007,0,7855
266,Woodstream Corporation,Pet products manufacturer,"First lien senior secured loan ($8,313 par due 8/2016)",6.00% (Libor + 5.00%/Q),4/18/2012,8313,8313
267,Woodstream Corporation,Pet products manufacturer,"Senior subordinated loan ($80,000 par due 2/2017)",11.50%,4/18/2012,77576,80000
268,Woodstream Corporation,Pet products manufacturer,"Common stock (4,254 shares)",0,1/22/2010,1222,2881
269,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($28,581 par due 12/2018)",9.25% (Libor + 8.25%/Q),11/27/2006,28581,28581
270,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($10,919 par due 12/2018)",9.25% (Libor + 8.25%/Q),11/27/2006,10922,10919
271,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Promissory note ($17,055 par due 12/2018)",13.00% PIK,11/27/2006,13770,16925
272,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Warrants to purchase up to 23,750 units of Series D common stock",0,12/18/2013,24,0
273,"Benihana, Inc.",Restaurant owner and operator,"First lien senior secured loan ($4,900 par due 2/2018)",6.75% (Libor + 5.50%/Q),8/21/2012,4900,4900
274,Garden Fresh Restaurant Corp.,Restaurant owner and operator,First lien senior secured revolving loan,0,10/3/2013,0,0
275,Garden Fresh Restaurant Corp.,Restaurant owner and operator,"First lien senior secured loan ($43,367 par due 7/2018)",10.00% (Libor + 8.50%/M),10/3/2013,43367,43367
276,"Hojeij Branded Foods, Inc.",Airport restaurant operator,First lien senior secured revolving loan ($450 par due 2/2017),9.00% (Libor + 8.00%/Q),2/15/2012,450,450
277,"Hojeij Branded Foods, Inc.",Airport restaurant operator,"First lien senior secured loan ($27,500 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,27074,27500
278,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Warrants to purchase up to 7.5% of membership interest,0,2/15/2012,0,344
279,"Hojeij Branded Foods, Inc.",Airport restaurant operator,Warrants to purchase up to 324 shares of Class A common stock,0,2/15/2012,669,4965
280,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,First lien senior secured revolving loan ($400 par due 9/2014),10.75% (Base Rate + 7.50%/M),4/1/2010,400,400
281,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"First lien senior secured loan ($32,698 par due 9/2014)",10.00% (Libor + 8.50%/Q),4/1/2010,32698,32698
282,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Second lien senior secured loan ($19,129 par due 9/2014)",14.00%,4/1/2010,733,4147
283,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Preferred units (10,000 units)",0,10/28/2010,0,0
284,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Class A common units (25,001 units)",0,4/1/2010,0,0
285,"Orion Foods, LLC (fka Hot Stuff Foods, LLC) (7)",Convenience food service retailer,"Class B common units (1,122,452 units)",0,4/1/2010,0,0
286,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($6,250 par due 12/2017)",8.75% (Libor + 7.25%/Q),1/2/2014,6250,6250
287,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($25,000 par due 12/2017)",8.75% (Libor + 7.25%/Q),12/11/2012,25000,25000
288,"OTG Management, LLC",Airport restaurant operator,"First lien senior secured loan ($11,325 par due 12/2017)",8.75% (Libor + 7.25%/Q),12/11/2012,11325,11325
289,"OTG Management, LLC",Airport restaurant operator,"Common units (3,000,000 units)",0,1/5/2011,3000,2120
290,"OTG Management, LLC",Airport restaurant operator,Warrants to purchase up to 7.73% of common units,0,6/19/2008,100,4229
291,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Second lien senior secured loan ($39,525 par due",6.25% (Libor + 5.25%/Q),5/14/2013,39351,39675
292,"Performance Food Group, Inc. and Wellspring Distribution Corp",Food service distributor,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,6303,6621
293,"PMI Holdings, Inc.",Restaurant owner and operator,"Preferred stock (46,025 shares)",0,12/13/2013,378,624
294,"PMI Holdings, Inc.",Restaurant owner and operator,"Common stock (22,401 shares)",0,12/13/2013,687,870
295,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($37,500 par due 2/2019)",8.75% (Libor + 7.75%/M),3/13/2014,37130,37500
296,S.B. Restaurant Company,Restaurant owner and operator,"Preferred stock (46,690 shares)",0,4/1/2010,0,0
297,S.B. Restaurant Company,Restaurant owner and operator,"Warrants to purchase up to 257,429 shares of common stock",0,4/1/2010,0,0
298,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"First lien senior secured loan ($2,576 par due 8/2015)",12.00%,8/7/2012,2576,2576
299,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"Warrants to purchase up to 400,000 shares of Series D-4 convertible preferred stock",0,8/7/2012,0,6
300,"Component Hardware Group, Inc.",Commercial equipment,First lien senior secured revolving loan ($187 par due 7/2019),6.75% (Base Rate + 3.50%/Q),7/1/2013,187,187
301,"Component Hardware Group, Inc.",Commercial equipment,"First lien senior secured loan ($23,583 par due 7/2019)",5.50% (Libor + 4.50%/M),7/1/2013,23583,23583
302,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC",Cutting tool provider to the metalworking industry,First lien senior secured revolving facility ($198 par due 3/2019),5.75% (Libor + 4.75%/Q),3/28/2014,198,198
303,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC",Cutting tool provider to the metalworking industry,"First lien senior secured loan ($25,000 par due 3/2020)",5.75% (Libor + 4.75%/Q),3/28/2014,25000,25000
304,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC",Cutting tool provider to the metalworking industry,Class A membership units (750 units),0,3/28/2014,750,750
305,Mac Lean-Fogg Company,Provider of intelligent transportation systems products in the traffic and rail industries,"Senior subordinated loan ($100,621 par due 10/2023)","9.50% Cash, 1.50% PIK",10/31/2013,100621,100621
306,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($38,274 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,38274,38274
307,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($10,000 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,10000,10000
308,"NetShape Technologies, Inc.",Metal precision engineered components,First lien senior secured revolving loan ($784 par due 12/2014),7.50% (Libor + 6.50%/Q),4/1/2010,784,784
309,"Pelican Products, Inc.",Flashlights,"First lien senior secured loan ($2,311 par due 7/2018)",7.25% (Base Rate + 4.00%/Q),7/13/2012,2311,2311
310,"Pelican Products, Inc.",Flashlights,"Second lien senior secured loan ($32,000 par due 6/2019)",12.25% (Base Rate + 9.00%/Q),7/13/2012,32000,32640
311,"Protective Industries, Inc. dba Caplugs",Plastic protection products,First lien senior secured loan ($995 par due 10/2019),6.75% (Libor + 5.75%/M),11/30/2012,995,995
312,"Protective Industries, Inc. dba Caplugs",Plastic protection products,"Preferred stock (2,379,361 shares)",0,5/23/2011,1298,5601
313,Saw Mill PCG Partners LLC,Metal precision engineered components manufacturer,"Common units (1,000 units)",0,1/30/2007,1000,0
314,"SSH Environmental Industries, Inc. and SSH Non-Destructive Testing, Inc.",Magnetic sensors and supporting sensor products,"First lien senior secured loan ($10,568 par due 12/2016)",9.00% (Libor + 7.50%/Q),3/23/2012,10436,10568
315,TPTM Merger Corp.,Time temperature indicator products,"First lien senior secured loan ($25,870 par due 9/2018)",6.25% (Libor + 5.25%/Q),9/12/2013,25870,25870
316,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer",First lien senior secured revolving loan,0,8/31/2011,0,0
317,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($27,670 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,27706,27670
318,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($61,358 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,61358,61358
319,"ICSH, Inc.","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($14,680 par due 8/2016)",7.00% (Libor + 6.00%/Q),8/31/2011,14680,14680
320,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($142,500 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,142500,142500
321,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Common stock (50,000 shares)",0,12/14/2012,5000,7650
322,"Pregis Corporation, Pregis Intellipack Corp., and Pregis Innovative Packaging Inc.","Provider of a broad range of highly-customized, tailored protective packaging solutions",First lien senior secured loan ($970 par due 3/2017),7.75% (Libor + 6.25%/M),4/25/2012,970,970
323,"Pregis Corporation, Pregis Intellipack Corp., and Pregis Innovative Packaging Inc.","Provider of a broad range of highly-customized, tailored protective packaging solutions",First lien senior secured loan ($5 par due 3/2017),8.50% (Base Rate + 5.25%/Q),4/25/2012,5,5
324,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,First lien senior secured loan ($980 par due 3/2017),6.00% (Libor + 5.00%/Q),12/16/2011,980,980
325,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,First lien senior secured loan ($20 par due 3/2017),7.25% (Base Rate + 4.00%/Q),12/16/2011,20,20
326,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Preferred stock (247,500 units)",0,12/16/2011,2475,2910
327,"Driven Brands, Inc. and Driven Holdings, LLC",Automotive aftermarket car care franchisor,"Common stock (25,000 units)",0,12/16/2011,25,1376
328,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured revolving loan ($4,200 par due 7/2017)",8.25% (Base Rate + 5.00%/Q),7/12/2012,4200,4200
329,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,First lien senior secured loan ($296 par due 7/2017),8.25% (Base Rate + 5.00%/M),7/12/2012,296,296
330,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($7,826 par due 7/2017)",7.25% (Libor + 6.00%/S),7/12/2012,7826,7826
331,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"First lien senior secured loan ($30,448 par due 7/2017)",7.25% (Libor + 6.00%/Q),7/12/2012,30448,30448
332,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Series A preferred stock (1,800 shares)",0,7/12/2012,1800,1870
333,"Eckler Industries, Inc.",Restoration parts and accessories provider for classic automobiles,"Common stock (20,000 shares)",0,0,200,0
334,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($5,000 par due 10/2016)",10.83%,12/28/2012,4878,5000
335,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($5,000 par due 6/2017)",10.83%,12/28/2012,4862,5000
336,"EcoMotors, Inc.",Engine developer,"First lien senior secured loan ($4,458 par due 7/2016)",10.13%,12/28/2012,4367,4458
337,"EcoMotors, Inc.",Engine developer,"Warrant to purchase up to 321,888 shares of Series C Preferred Stock",0,12/28/2012,0,43
338,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($13,968 par due 8/2017)",4.00% (Libor + 3.00%/Q),8/20/2012,13968,13968
339,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($119,033 par due 8/2017)",6.00% (Libor + 5.00%/Q),8/20/2012,119033,119033
340,"Service King Paint & Body, LLC",Collision repair site operators,"First lien senior secured loan ($10,000 par due 8/2017)",6.00% (Libor + 5.00%/Q),8/20/2012,10000,10000
341,"Service King Paint & Body, LLC",Collision repair site operators,First lien senior secured,4.00% (Libor + 3.00%/Q),8/20/2012,9593,9593
342,"Service King Paint & Body, LLC",Collision repair site operators,"loan ($9,593 par due 8/2017)",0,8/20/2012,5000,7140
343,Fulton Holdings Corp.,Airport restaurant operator,"First lien senior secured loan ($43,000 par due 5/2018)",8.50%,5/10/2013,43000,43000
344,Fulton Holdings Corp.,Airport restaurant operator,"First lien senior secured loan ($40,000 par due 5/2018)",8.50%,5/28/2010,40000,40000
345,Fulton Holdings Corp.,Airport restaurant operator,"Common stock (19,672 shares)",0,5/28/2010,1461,2020
346,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes","First lien senior secured loan ($8,930 par due 9/2018)",7.25% (Libor + 6.25%/Q),9/23/2013,8930,8930
347,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes","First lien senior secured loan ($9,975 par due 9/2018)",7.25% (Libor + 6.25%/Q),9/23/2013,9975,9975
348,"Paper Source, Inc. and Pine Holdings, Inc.","Retailer of fine and artisanal papers, gifts, gift wrap, greeting cards and envelopes","Class A common stock (36,364 shares)",0,9/23/2013,6000,7205
349,Things Remembered Inc. and TRM Holdings Corporation,Personalized gifts retailer,"First lien senior secured loan ($14,775 par due 5/2018)",8.00% (Libor + 6.50%/Q),5/24/2012,14775,14775
350,"Argotec, LLC",Thermoplastic polyurethane films,"First lien senior secured revolving loan ($1,000 par due 5/2018)",7.00% (Base Rate + 3.75%/M),5/31/2013,1000,1000
351,"Argotec, LLC",Thermoplastic polyurethane films,First lien senior secured loan ($74 par due 5/2019),7.00% (Base Rate + 3.75%/Q),5/31/2013,74,74
