,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
134,"Pegasus Global Enterprise Holdings, LLC, Mekone Blocker Acquisition, Inc. and Mekone Parent, LLC (16)",Provider of plant maintenance and scheduling software,"Class A units (5,000 units)",0,5/29/2019,5.0,12.3
135,"Pluralsight, Inc. (16)",Online education learning platform,First lien senior secured loan ($117.7 par due 4/2027),9.00% (Libor + 8.00%/Q),4/6/2021,117.7,117.7
136,Poplicus Incorporated,Business intelligence and market analytics platform for companies that sell to the public sector,"Warrant to purchase up to 2,402,991 shares of Series C preferred stock (expires 6/2025)",0,6/25/2015,0.1,0.0
137,"PracticeTek Purchaser, LLC and GSV PracticeTek Holdings, LLC",Software provider for medical practitioners,"Class A units (11,804,000 units)",8.00% PIK,3/31/2021,0.0,8.2
138,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,First lien senior secured loan ($3.9 par due 3/2027),6.25% (Libor + 5.25%/M),3/5/2021,3.9,3.9
139,"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P. (16)",Provider of practice management software to law firms,"Limited partnership units (1,624,000 units)",0,3/5/2021,1.6,1.6
140,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class A common stock (7,445 shares)",0,8/22/2016,7.4,16.8
141,"Project Alpha Intermediate Holding, Inc. and Qlik Parent, Inc.",Provider of data visualization software for data analytics,"Class B common stock (1,841,609 shares)",0,8/22/2016,0.1,0.2
142,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (16)",Saas provider of automated crew callout and scheduling software for the utility industry,First lien senior secured loan ($36.6 par due 4/2028),6.75% (Libor + 5.75%/Q),4/20/2021,36.6,35.8
143,"Project Essential Bidco, Inc. and Project Essential Super Parent, Inc. (16)",Saas provider of automated crew callout and scheduling software for the utility industry,"Preferred shares (26,436 shares)",10.50% PIK (Libor + 9.50%/Q),4/20/2021,28.5,28.5
144,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured revolving loan ($0.8 par due 4/2026),10.50% (Base Rate + 7.25%/Q),4/23/2020,0.7,0.8
145,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($44.1 par due 4/2027),9.25% (Libor + 8.25%/M),4/23/2020,44.1,44.1
146,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($12.9 par due 4/2027),9.25% (Libor + 8.25%/M),10/30/2020,12.9,12.9
147,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,First lien senior secured loan ($19.4 par due 4/2027),9.25% (Libor + 8.25%/M),11/18/2020,19.4,19.4
148,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,"Class A units (1,599 units)",9.00% PIK,4/23/2020,1.9,1.9
149,"Project Potter Buyer, LLC and Project Potter Parent, L.P. (16)",Software solutions provider to the ready-mix concrete industry,"Class B units (588,636 units)",0,4/23/2020,0.0,0.8
150,"Proofpoint, Inc. (16)",Cybersecurity solutions provider,First lien senior secured loan ($1.0 par due 8/2028),3.75% (Libor + 3.25%/Q),6/9/2021,1.0,1.0
151,"Proofpoint, Inc. (16)",Cybersecurity solutions provider,Second lien senior secured loan ($34.6 par due 8/2029),6.75% (Libor + 6.25%/Q),6/9/2021,34.4,34.6
152,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($8.1 par due 12/2027),7.25% (Libor + 6.25%/Q),12/15/2021,8.1,8.1
153,"QF Holdings, Inc. (16)",SaaS based electronic health record software provider,First lien senior secured loan ($15.5 par due 12/2027),7.50% (Libor + 6.50%/Q),9/19/2019,15.5,15.5
154,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,First lien senior secured loan ($28.5 par due 10/2028),7.00% (Libor + 6.00%/Q),10/5/2021,28.5,28.2
155,"Raptor Technologies, LLC, Sycamore Bidco LTD and Rocket Parent, LLC (16)",Provider of SaaS-based safety and security software to the K-12 school market,"Class A common units (2,880,582 units)",0,12/17/2018,3.5,4.8
156,"RealPage, Inc.",Provider of enterprise software solutions to the residential real estate industry,Second lien senior secured loan ($84.1 par due 4/2029),7.25% (Libor + 6.50%/M),4/22/2021,82.9,84.1
157,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 5,393,194 shares of common stock (expires 12/2026)",0,12/23/2016,0.0,0.0
158,"Regent Education, Inc.",Provider of software solutions designed to optimize the financial aid and enrollment processes,Warrant to purchase up to 987 shares of common stock (expires 12/2026),0,12/23/2016,0.0,0.0
159,Relativity ODA LLC (16),Electronic discovery document review software platform for use in litigations and investigations,First lien senior secured loan ($59.8 par due 5/2027),8.50% PIK (Libor + 7.50%/M),5/12/2021,59.8,59.8
160,"RMS Holdco II, LLC & RMS Group Holdings, Inc. (16)","Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",First lien senior secured loan ($23.5 par due 12/2027),6.50% (Libor + 5.75%/Q),12/16/2021,23.5,23.3
161,"RMS Holdco II, LLC & RMS Group Holdings, Inc. (16)","Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",Class A common stock (464.9 shares),0,12/16/2021,4.6,4.6
162,"Smarsh Inc., MobileGuard, LLC, Actiance, Inc. and Skywalker TopCo, LLC",SaaS based communication archival service provider,First lien senior secured loan ($13.3 par due 11/2025),9.25% (Libor + 8.25%/M),11/20/2020,13.3,13.3
163,"Smarsh Inc., MobileGuard, LLC, Actiance, Inc. and Skywalker TopCo, LLC",SaaS based communication archival service provider,"Common units (1,432,835 units)",0,11/20/2020,4.8,5.1
164,"SocialFlow, Inc.",Social media optimization platform provider,"Warrant to purchase up to 215,331 shares of Series C preferred stock (expires 1/2026)",0,1/13/2016,0.0,0.0
165,"Sophia, L.P.",Provider of ERP software and services for higher education institutions,Second lien senior secured loan ($105.9 par due 10/2028),9.00% (Libor + 8.00%/Q),10/7/2020,105.9,105.9
166,SoundCloud Limited,"Platform for receiving, sending, and distributing music","Common stock (73,422 shares)",0,8/15/2017,0.4,0.7
167,Stamps.com Inc.,Provider of mailing and shipping solutions,First lien senior secured loan ($197.9 par due 10/2028),6.50% (Libor + 5.75%/Q),10/5/2021,197.9,193.9
168,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,Second lien senior secured loan ($42.8 par due 4/2029),7.50% (Libor + 6.75%/Q),4/16/2021,42.8,42.8
169,"Storable, Inc. and EQT IX Co-Investment (E) SCSP",PMS solutions and web services for the self-storage industry,"Limited partnership interests (614,950 interests)",0,4/16/2021,6.2,6.8
170,"Sundance Group Holdings, Inc. (16)",Provider of cloud-based document management and collaboration solutions,First lien senior secured revolving loan ($0.9 par due 7/2027),7.75% (Libor + 6.75%/Q),7/2/2021,0.8,0.9
171,"Sundance Group Holdings, Inc. (16)",Provider of cloud-based document management and collaboration solutions,First lien senior secured loan ($15.4 par due 7/2027),7.75% (Libor + 6.75%/Q),7/2/2021,15.2,15.3
172,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured loan ($6.6 par due 8/2026),6.50% (Libor + 5.50%/Q),12/1/2020,6.6,6.6
173,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured loan ($4.0 par due 8/2026),6.50% (Libor + 5.50%/Q),10/19/2021,4.0,4.0
174,TCP Hawker Intermediate LLC (16),Workforce management solutions provider,First lien senior secured loan ($34.8 par due 8/2026),6.50% (Libor + 5.50%/Q),8/30/2019,34.8,34.8
175,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,First lien senior secured revolving loan,-%,5/3/2019,0.0,0.0
176,"The Ultimate Software Group, Inc. and H&F Unite Partners, L.P. (16)",Provider of cloud based HCM solutions for businesses,"Limited partnership interests (12,583,556 interests)",0,5/3/2019,12.6,15.1
177,Verscend Holding Corp. (16),Healthcare analytics solutions provider,First lien senior secured revolving loan,-%,8/27/2018,0.0,0.0
178,"WebPT, Inc. (16)",Electronic medical record software provider,First lien senior secured loan ($48.1 par due 8/2024),7.75% (Libor + 6.75%/Q),8/28/2019,48.1,48.1
179,"Wellness AcquisitionCo, Inc. (16)","Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",First lien senior secured loan ($0.1 par due 1/2027),6.50% (Libor + 5.50%/Q),1/20/2021,0.1,0.1
180,"WorkWave Intermediate II, LLC (16)",Provider of cloud-based field services and fleet management solutions,First lien senior secured loan ($61.6 par due 6/2027),8.00% PIK (Libor + 7.25%/Q),6/29/2021,61.6,61.6
181,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,First lien senior secured revolving loan ($4.0 par due 6/2024),11.25% (Base rate + 3.00% Cash + 5.00% PIK/Q),6/1/2021,4.0,4.0
182,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,First lien senior secured loan ($49.5 par due 6/2024),"10.00% (Libor + 4.00% Cash, 5.00% PIK/Q)",6/1/2021,49.5,49.5
183,"Absolute Dental Group LLC and Absolute Dental Equity, LLC (5)(16)",Dental services provider,"Class A common units (7,617,280 units)",0,6/1/2021,4.7,10.4
184,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($9.6 par due 9/2022),7.50% (Base rate + 3.75% Cash + .50% PIK/A),9/28/2016,9.6,9.5
185,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,First lien senior secured revolving loan ($2.3 par due 9/2022),"5.75% (Libor + 4.25% Cash, 0.50% PIK/Q)",9/28/2016,2.3,2.3
186,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,Second lien senior secured loan ($115.3 par due 3/2024),11.00% PIK (Libor + 10.00%/Q),9/28/2016,95.2,103.7
187,"ADG, LLC and RC IV GEDC Investor LLC (16)",Dental services provider,"Membership units (3,000,000 units)",0,9/28/2016,3.0,0.0
188,"Alteon Health, LLC",Provider of physician management services,First lien senior secured loan ($2.8 par due 9/2023),7.50% (Libor + 6.50%/Q),5/15/2017,2.8,2.8
189,"Athenahealth, Inc., VVC Holding Corp., Virence Intermediate Holding Corp., and Virence Holdings LLC (16)",Revenue cycle management provider to the physician practices and acute care hospitals,Class A interests (0.39% interest),0,2/11/2019,9.0,49.3
190,"Bambino Group Holdings, LLC",Dental services provider,"Class A preferred units (1,000,000 units)",0,12/21/2016,1.0,1.1
191,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($69.5 par due 7/2027),9.25% (Libor + 8.25%/Q),7/9/2019,69.5,69.5
192,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,Second lien senior secured loan ($12.7 par due 7/2027),9.25% (Libor + 8.25%/Q),9/10/2019,12.7,12.7
193,"Bearcat Buyer, Inc. and Bearcat Parent, Inc. (16)",Provider of central institutional review boards over clinical trials,"Class B common units (4,211 units)",0,7/9/2019,4.2,10.8
194,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured revolving loan,-%,10/1/2018,0.0,0.0
195,"CCS-CMGC Holdings, Inc. (16)",Correctional facility healthcare operator,First lien senior secured loan ($34.0 par due 10/2025),5.63% (Libor + 5.50%/Q),9/25/2018,33.8,33.3
196,"Center for Autism and Related Disorders, LLC (16)",Autism treatment and services provider specializing in applied behavior analysis therapy,First lien senior secured revolving loan ($6.8 par due 11/2023),5.65% (Libor + 5.50%/Q),11/21/2018,6.8,6.2
197,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured revolving loan ($0.3 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,0.3,0.3
198,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($2.6 par due 2/2024),7.00% (Libor + 5.75%/Q),2/14/2018,2.6,2.6
199,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($0.1 par due 2/2024),8.00% (Base Rate + 4.75%/Q),4/19/2021,0.1,0.1
200,"Comprehensive EyeCare Partners, LLC (16)",Vision care practice management company,First lien senior secured loan ($0.6 par due 2/2024),7.00% (Libor + 5.75%/Q),4/19/2021,0.6,0.6
201,"Convey Health Solutions, Inc.",Healthcare workforce management software provider,First lien senior secured loan ($2.7 par due 9/2026),5.50% (Libor + 4.75%/M),9/4/2019,2.7,2.7
202,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured revolving loan ($0.4 par due 10/2024),8.00% (Base Rate + 4.75%/Q),10/31/2019,0.4,0.4
203,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured loan ($39.4 par due 10/2025),6.25% (Libor + 5.25%/Q),10/31/2019,39.4,39.4
204,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,First lien senior secured loan ($49.2 par due 10/2025),6.75% (Libor + 5.75%/Q),4/26/2021,49.2,49.2
205,"CVP Holdco, Inc. and OMERS Wildcats Investment Holdings LLC (16)",Veterinary hospital operator,"Common stock (32,429 shares)",0,10/31/2019,10.0,15.9
206,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,Second lien senior secured loan ($114.0 par due 5/2029),7.50% (Libor + 6.75%/Q),5/26/2021,114.0,114.0
207,"GHX Ultimate Parent Corporation, Commerce Parent, Inc. and Commerce Topco, LLC",On-demand supply chain automation solutions provider to the healthcare industry,"Class A units (14,013,303 units)",0,6/30/2017,14.0,32.2
208,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,Second lien senior secured loan ($95.4 par due 12/2029),7.50% (Libor + 6.75%/Q),12/17/2021,95.4,94.5
209,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 115,733 units of common stock (expires 3/2028)",0,3/14/2018,0.9,3.0
210,"Global Medical Response, Inc. and GMR Buyer Corp.",Emergency air medical services provider,"Warrant to purchase up to 1,926.57 units of common stock (expires 12/2031)",0,12/17/2021,0.1,0.0
211,"HealthEdge Software, Inc. (16)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured revolving loan,-%,12/16/2021,0.0,0.0
212,"HealthEdge Software, Inc. (16)","Provider of financial, administrative and clinical software platforms to the healthcare industry",First lien senior secured loan ($79.2 par due 4/2026),7.25% (Libor + 6.25%/Q),12/16/2021,79.2,79.2
213,"Honor Technology, Inc.",Nursing and home care provider,First lien senior secured loan ($2.5 par due 8/2026),11.00% (Libor + 10.00%/M),8/6/2021,2.4,2.5
214,"Honor Technology, Inc.",Nursing and home care provider,"Warrant to purchase up to 133,333 shares of series D-2 preferred stock (expires 8/2031)",0,8/6/2021,0.1,0.1
215,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured revolving loan ($4.4 par due 4/2022),0,4/10/2017,3.8,3.1
216,"JDC Healthcare Management, LLC (16)",Dental services provider,First lien senior secured loan ($37.2 par due 4/2023),0,4/10/2017,31.7,26.5
217,"KBHS Acquisition, LLC (d/b/a Alita Care, LLC) (16)",Provider of behavioral health services,First lien senior secured revolving loan ($0.8 par due 3/2024),6% (Libor + 4.00% Cash + 1% PIK/M),3/17/2017,0.8,0.8
218,"MCH Holdings, Inc., MC Acquisition Holdings I, LLC and Privia Health Group, Inc.",Healthcare professional provider,First lien senior secured loan ($110.2 par due 7/2022),8.50% (Libor + 7.00%/M),7/26/2017,110.2,110.2
219,"MCH Holdings, Inc., MC Acquisition Holdings I, LLC and Privia Health Group, Inc.",Healthcare professional provider,"Class A units (1,438,643 shares)",0,1/17/2014,0.0,0.6
220,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,Second lien senior secured loan ($72.8 par due 10/2023),11.00% (Libor + 10.00%/Q),4/19/2016,72.8,72.8
221,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Preferred units (1,842 units)",15.00% PIK,6/29/2020,0.1,0.1
222,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Senior preferred units (5,320 units)",8.00% PIK,6/29/2020,0.3,0.3
223,"Napa Management Services Corporation and ASP NAPA Holdings, LLC",Anesthesia management services provider,"Class A units (25,277 units)",0,4/19/2016,2.5,4.1
224,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehabilitation technology solutions for patients with mobility loss,First lien senior secured revolving loan,-%,11/13/2018,0.0,0.0
225,NMN Holdings III Corp. and NMN Holdings LP (16),Provider of complex rehabilitation technology solutions for patients with mobility loss,"Partnership units (30,000 units)",0,11/13/2018,3.0,2.8
226,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured revolving loan ($3.3 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,3.3,3.3
227,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($12.4 par due 9/2023),8.25% (Libor + 7.25%/M),9/27/2018,12.4,12.4
228,"NueHealth Performance, LLC (16)","Developer, builder and manager of specialty surgical hospitals and ambulatory surgery centers",First lien senior secured loan ($3.0 par due 9/2023),8.25% (Libor + 7.25%/M),2/1/2020,3.0,3.0
229,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($10.1 par due 9/2024),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),9/24/2019,10.1,8.3
230,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured revolving loan ($0.2 par due 9/2024),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),12/17/2020,0.2,0.2
231,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured loan ($42.1 par due 9/2026),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),9/24/2019,42.1,34.5
232,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,First lien senior secured loan ($0.9 par due 9/2026),8.50% (Libor + 5.50% Cash + 2.00% PIK/M),12/31/2020,0.9,0.8
233,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,"Preferred units (417,189)",15.00% PIK,7/28/2021,0.3,0.3
234,"Olympia Acquisition, Inc. and Olympia TopCo, L.P. (16)",Behavioral health and special education platform provider,"Class A common units (9,549,000 units)",0,9/24/2019,9.5,0.0
235,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($26.1 par due 10/2025),6.50% (Libor + 5.50%/Q),10/24/2019,26.1,26.1
236,"OMH-HealthEdge Holdings, LLC",Revenue cycle management provider to the healthcare industry,First lien senior secured loan ($15.4 par due 10/2025),6.50% (Libor + 5.50%/Q),3/10/2021,15.4,15.4
237,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,First lien senior secured revolving loan,-%,3/31/2020,0.0,0.0
238,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,Second lien senior secured loan ($76.3 par due 3/2028),8.75% (Libor + 7.75%/M),3/31/2020,76.3,76.3
239,Pathway Vet Alliance LLC and Jedi Group Holdings LLC (16),Veterinary hospital operator,"Class R common units (6,004,768 units)",0,3/31/2020,6.0,7.9
240,PhyMED Management LLC,Provider of anesthesia services,Second lien senior secured loan ($55.7 par due 9/2022),15% (Libor + 3.51% Cash + 10.49% PIK/Q),12/18/2015,55.6,52.4
241,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured revolving loan ($12.0 par due 7/2023),3.41% (Libor + 3.25%/Q),7/10/2018,12.0,12.0
242,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,First lien senior secured loan ($8.6 par due 7/2025),3.72% (Libor + 3.50%/Q),7/10/2018,8.6,8.6
243,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,Second lien senior secured loan ($67.1 par due 7/2026),7.72% (Libor + 7.50%/Q),7/10/2018,66.7,67.1
244,Premise Health Holding Corp. and OMERS Bluejay Investment Holdings LP (16),Provider of employer-sponsored onsite health and wellness clinics and pharmacies,"Class A units (9,775 units)",0,7/10/2018,9.8,17.5
245,Project Ruby Ultimate Parent  Corp. (dba Wellsky),Provider of care coordination and transition management software solutions,Second lien senior secured loan ($193.1 par due 3/2029),7.25% (Libor + 6.50%/M),3/10/2021,193.1,193.1
246,"Respicardia, Inc.",Developer of implantable therapies to improve cardiovascular health,"Warrant to purchase up to 99,094 shares of Series C preferred stock (expires 6/2022)",0,6/28/2012,0.0,0.0
247,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (16)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured revolving loan ($5.0 par due 7/2026),8.25% (Libor + 6.75%/M),7/20/2020,5.0,5.0
248,"RTI Surgical, Inc. and Pioneer Surgical Technology, Inc. (16)","Manufacturer of biologic, metal and synthetic implants/devices",First lien senior secured loan ($28.5 par due 7/2026),8.25% (Libor + 6.75%/Q),7/20/2020,28.5,28.5
249,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,First lien senior secured loan ($11.5 par due 3/2024),5.75% (Libor + 4.75%/M),3/26/2018,11.5,9.9
250,"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC (16)",Outsourced anesthesia provider,"Common units (684,854 units)",0,3/26/2018,4.8,0.7
251,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series A units (8,041 units)",0,8/1/2018,8.0,9.6
252,"SM Wellness Holdings, Inc. and SM Holdco, Inc. (16)",Breast cancer screening provider,"Series B units (804,142 units)",0,8/1/2018,0.0,0.0
253,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,Second lien senior secured loan ($69.9 par due 12/2028),8.63% (Libor + 7.88%/Q),12/22/2020,69.9,69.9
254,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,"Series C-1 preferred shares (75,939 shares)",11.00% PIK,6/18/2021,85.0,85.0
255,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,"Series C-2 preferred shares (40,115 shares)",11.00% PIK,6/18/2021,42.6,42.6
256,"Symplr Software Inc. and Symplr Software Intermediate Holdings, Inc. (16)",SaaS based healthcare compliance platform provider,"Series C-3 preferred shares (16,201 shares)",11.00% PIK,10/12/2021,16.6,16.6
257,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private pay home care for the elderly,First lien senior secured loan ($15.3 par due 4/2024),6.75% (Libor + 5.75%/Q),4/2/2018,15.3,15.3
258,"Synergy HomeCare Franchising, LLC and NP/Synergy Holdings, LLC (16)",Franchisor of private pay home care for the elderly,Common units (550 units),0,4/2/2018,0.5,1.0
259,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($8.8 par due 1/2022),0,10/15/2021,8.1,8.8
260,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($1.4 par due 12/2022),0,1/27/2021,1.3,0.5
261,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products",Second lien senior secured loan ($77.8 par due 12/2022),0,12/13/2018,67.6,29.5
262,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Series D preferred stock (77,725 shares)",0,1/27/2021,0.0,0.0
263,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 490,492 shares of common stock (expires 4/2025)",0,4/6/2020,0.0,0.0
264,"Teligent, Inc (16)","Pharmaceutical company that develops, manufactures and markets injectable pharmaceutical products","Warrant to purchase up to 122,548 shares of common stock (expires 7/2025)",0,7/20/2020,0.0,0.0
265,Therapy Brands Holdings LLC (16),Provider of software solutions for the mental and behavioral health market segments,Second lien senior secured loan ($20.5 par due 5/2029),7.50% (Libor + 6.75%/Q),6/2/2021,20.3,20.5
266,"Touchstone Acquisition, Inc. and Touchstone Holding, L.P.","Manufacturer of consumable products in the dental, medical, cosmetic and consumer/industrial end-markets","Class A preferred units (2,149 units)",8.00% PIK,11/15/2018,2.7,2.8
267,"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",Anesthesiology service provider,Second lien senior secured loan ($147.8 par due 10/2029),8.00% (Libor + 7.50%/Q),10/1/2021,147.8,146.3
268,"U.S. Anesthesia Partners, Inc. & U.S. Anesthesia Partners Holdings, Inc.",Anesthesiology service provider,"Common stock (3,671,429 shares)",0,12/3/2021,12.9,12.9
269,"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P. (16)",Veterinary hospital operator,First lien senior secured loan ($6.4 par due 12/2027),6.75% (Libor + 5.75%/Q),12/1/2021,6.4,6.4
270,"VPP Intermediate Holdings, LLC and VPP Group Holdings, L.P. (16)",Veterinary hospital operator,"Class A-2 units (7,524 units)",0,12/1/2021,7.5,7.5
271,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured revolving loan ($1.5 par due 3/2027),7.00% (Libor + 6.00%/Q),3/30/2018,1.5,1.5
272,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.9 par due 3/2027),7.00% (Libor + 6.00%/Q),10/14/2021,4.9,4.9
273,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($33.4 par due 3/2027),7.00% (Libor + 6.00%/Q),3/30/2018,33.4,33.4
274,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($4.5 par due 3/2027),7.00% (Libor + 6.00%/Q),2/11/2019,4.5,4.5
275,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($11.4 par due 3/2027),7.00% (Libor + 6.00%/M),8/30/2019,11.4,11.4
276,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($10.8 par due 3/2027),7.00% (Libor + 6.00%/Q),10/31/2019,10.8,10.8
277,WSHP FC Acquisition LLC (16),Provider of biospecimen products for pharma research,First lien senior secured loan ($9.0 par due 3/2027),7.00% (Libor + 6.00%/Q),11/23/2021,9.0,9.0
278,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,First lien senior secured revolving loan ($4.1 par due 5/2023),10.00% (Libor + 9.00%/Q),5/11/2018,4.1,3.9
279,Accommodations Plus Technologies LLC and Accommodations Plus Technologies Holdings LLC (16),Provider of outsourced crew accommodations and logistics management solutions to the airline industry,"Class A common units (236,358 units)",0,5/11/2018,4.3,4.0
