,Company,Business Description,Investment,Interest,Acquisition Date,Amortized Cost,Fair Value
165,PERC Holdings 1 LLC,"Operator of recycled energy, combined heat and power, and energy efficiency facilities","Class B common units (21,653,543 units)",0,10/20/2014,21654,21654
166,Campus Management Corp. and Campus Management Acquisition Corp. (6),Education software developer,"Preferred stock (485,159 shares)",0,2/8/2008,10520,10800
167,"Infilaw Holding, LLC (28)",Operator of for-profit law schools,First lien senior secured revolving loan,0,8/25/2011,0,0
168,"Infilaw Holding, LLC (28)",Operator of for-profit law schools,"First lien senior secured loan ($6,480 par due 8/2016)",9.50% (Libor + 8.50%/Q),8/25/2011,6480,6480
169,"Infilaw Holding, LLC (28)",Operator of for-profit law schools,"Series A preferred units (124,890 units)",9.50% (Libor + 8.50%/Q),8/25/2011,124890,122392
170,"Infilaw Holding, LLC (28)",Operator of for-profit law schools,Series B preferred units (3.91 units),0,10/19/2012,9245,13322
171,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($58,987 par due 12/2016)",0,4/24/2013,52600,44175
172,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"First lien senior secured loan ($1,996 par due 12/2016)",0,6/13/2014,1930,1469
173,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series B preferred stock (1,750,000 shares)",0,8/5/2010,5000,0
174,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,"Series C preferred stock (2,512,586 shares)",0,6/7/2010,689,0
175,"Instituto de Banca y Comercio, Inc. & Leeds IV Advisors, Inc.",Private school operator,Common stock (20 shares),0,6/7/2010,0,0
176,"Lakeland Tours, LLC (28)",Educational travel provider,First lien senior secured revolving loan,0,10/4/2011,0,0
177,"Lakeland Tours, LLC (28)",Educational travel provider,"First lien senior secured loan ($3,987 par due 1/2017)",5.25% (Libor + 4.25%/Q),10/4/2011,3987,3987
178,"Lakeland Tours, LLC (28)",Educational travel provider,"First lien senior secured loan ($85,689 par due 1/2017)",8.50% (Libor + 7.50%/Q),10/4/2011,85667,85689
179,"Lakeland Tours, LLC (28)",Educational travel provider,"First lien senior secured loan ($40,362 par due 1/2017)",8.50% (Libor + 7.50%/Q),10/4/2011,40312,40362
180,"Lakeland Tours, LLC (28)",Educational travel provider,"Common stock (5,000 shares)",0,10/4/2011,5000,4785
181,PIH Corporation (28),Franchisor of education-based early childhood centers,First lien senior secured revolving loan ($621 par due 6/2017),6.50% (Libor + 5.50%/M),12/13/2013,621,621
182,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Preferred stock (1,977 shares)",0,7/30/2008,494,494
183,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,Common membership interest (15.76% interest),0,9/21/2007,15800,24673
184,"R3 Education, Inc. and EIC Acquisitions Corp.",Medical school operator,"Warrants to purchase up to 27,890 shares",0,12/8/2009,0,0
185,"Regent Education, Inc. (28)",Provider of software solutions designed to optimize the financial aid and enrollment processes,"First lien senior secured revolving loan ($1,000 par due 7/2016)",7.75% (Base Rate + 4.50%/M),7/1/2014,1000,1000
186,"Regent Education, Inc. (28)",Provider of software solutions designed to optimize the financial aid and enrollment processes,"First lien senior secured loan ($3,000 par due 1/2018)",10.00%,7/1/2014,2940,3000
187,"Regent Education, Inc. (28)",Provider of software solutions designed to optimize the financial aid and enrollment processes,"Warrant to purchase up to 987,771 shares of Series CC preferred stock",0,7/1/2014,0,72
188,"RuffaloCODY, LLC (28)",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($12,683 par due 5/2019)",5.57% (Libor + 4.32%/Q),5/29/2013,12683,12429
189,"RuffaloCODY, LLC (28)",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($18,860 par due 5/2019)",5.57% (Libor + 4.32%/Q),5/29/2013,18860,18483
190,"RuffaloCODY, LLC (28)",Provider of student fundraising and enrollment management services,"First lien senior secured loan ($11,709 par due 5/2019)",5.57% (Libor + 4.32%/Q),5/29/2013,11709,11475
191,"WCI-Quantum Holdings, Inc.","Distributor of instructional products, services and resources","Series A preferred stock (1,272 shares)",0,10/24/2014,1000,1050
192,"AllBridge Financial, LLC (7)",Asset management services,Equity interests,0,4/1/2010,1140,6534
193,Callidus Capital Corporation (7),Asset management services,Common stock (100 shares),0,4/1/2010,3000,1685
194,Ciena Capital LLC (7)(28),Real estate and small business loan servicer,"First lien senior secured revolving loan ($14,000 par due 12/2016)",6.00%,11/29/2010,14000,14000
195,Ciena Capital LLC (7)(28),Real estate and small business loan servicer,"First lien senior secured loan ($1,000 par due 12/2016)",12.00%,11/29/2010,1000,1000
196,Ciena Capital LLC (7)(28),Real estate and small business loan servicer,"First lien senior secured loan ($10,000 par due 12/2016)",12.00%,11/29/2010,10000,10000
197,Ciena Capital LLC (7)(28),Real estate and small business loan servicer,"First lien senior secured loan ($5,000 par due 12/2016)",12.00%,11/29/2010,5000,5000
198,Ciena Capital LLC (7)(28),Real estate and small business loan servicer,Equity interests,0,11/29/2010,49374,23566
199,"Commercial Credit Group, Inc.",Commercial equipment finance and leasing company,"Senior subordinated loan ($28,000 par due 5/2018)",12.75%,5/10/2012,28000,28000
200,Gordian Acquisition Corp.,Financial services firm,Common stock (526 shares),0,11/30/2012,0,0
201,Imperial Capital Group LLC,Investment services,"Class A common units (17,307 units)",0,5/10/2007,9832,13927
202,Imperial Capital Group LLC,Investment services,"2006 Class B common units (5,670 units)",0,5/10/2007,2,3
203,Imperial Capital Group LLC,Investment services,2007 Class B common units (707 units),0,5/10/2007,0,0
204,"Ivy Hill Asset Management, L.P. (7)(9)",Asset management services,Member interest (100.00% interest),0,6/15/2009,170961,239188
205,"Javlin Three LLC, Javlin Four LLC, and Javlin Five LLC (9)(28)",Asset-backed financial services company,"First lien senior secured revolving loan ($47,200 par due 6/2017)",9.42% (Libor + 9.25%/M),6/24/2014,47200,47200
206,2329497 Ontario Inc. (8),Outsourced data center infrastructure and related services provider,"Second lien senior secured loan ($42,480 par due 6/2019)",10.50% (Libor + 9.25%/M),12/13/2013,43267,31996
207,"BlackArrow, Inc.",Advertising and data solutions software platform provider,"First lien senior secured loan ($7,273 par due 9/2017)",9.25%,3/13/2014,7094,7273
208,"BlackArrow, Inc.",Advertising and data solutions software platform provider,"Warrant to purchase up to 517,386 units of Series C preferred stock",0,3/13/2014,0,76
209,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"First lien senior secured loan ($4,000 par due 5/2018)",10.00%,7/23/2014,3975,4000
210,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"First lien senior secured loan ($2,000 par due 9/2018)",10.00%,7/23/2014,1987,2000
211,"CallMiner, Inc.",Provider of cloud-based conversational analytics solutions,"Warrant to purchase up to 2,350,636 shares of Series 1 preferred stock",0,7/23/2014,0,0
212,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)(28)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($5,699 par due 10/2019)",4.00% (Libor + 3.00%/Q),12/24/2012,5699,5699
213,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)(28)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($45,069 par due 10/2019)",7.00% (Libor + 6.00%/Q),12/24/2012,45069,45069
214,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)(28)",Payroll and accounting services provider to the entertainment industry,"First lien senior secured loan ($41,813 par due 10/2019)",7.00% (Libor + 6.00%/Q),12/24/2012,41813,41813
215,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)(28)",Payroll and accounting services provider to the entertainment industry,"Class A membership units (2,500,000 units)",0,12/24/2012,57,8048
216,"Cast & Crew Payroll, LLC and Centerstage Co-Investors, L.L.C. (6)(28)",Payroll and accounting services provider to the entertainment industry,"Class B membership units (2,500,000 units)",0,12/24/2012,57,8048
217,"CIBT Investment Holdings, LLC",Expedited travel document processing services,"Class A shares (2,500 shares)",0,12/15/2011,2500,4817
218,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($10,000 par due 8/2020)",9.25% (Libor + 8.25%/Q),9/28/2012,10000,10000
219,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($26,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),9/28/2012,26500,26500
220,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Second lien senior secured loan ($11,500 par due 8/2020)",9.25% (Libor + 8.25%/Q),9/28/2012,11500,11500
221,"Command Alkon, Incorporated and CA Note Issuer, LLC",Software solutions provider to the ready-mix concrete industry,"Senior subordinated loan ($18,283 par due 8/2021)",14.00% PIK,8/8/2014,18283,18283
222,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-1 common stock (4,132 units)",0,12/15/2014,2250,2527
223,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-1 common stock (4,132 units)",0,12/15/2014,450,505
224,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-1 common stock (4,132 units)",0,12/15/2014,300,337
225,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class A-2 common stock (4,132 units)",0,12/15/2014,0,0
226,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class B-2 common stock (4,132 units)",0,12/15/2014,0,0
227,"Compuware Parent, LLC",Web and mobile cloud performance testing and monitoring services provider,"Class C-2 common stock (4,132 units)",0,12/15/2014,0,0
228,"Coverall North America, Inc.",Commercial janitorial services provider,Letter of credit facility,0,1/17/2013,0,0
229,"Directworks, Inc. and Co-Exprise Holdings, Inc. (28)",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"First lien senior secured loan ($2,500 par due 4/2018)",10.25% (Libor + 9.25%/M),12/19/2014,2500,2500
230,"Directworks, Inc. and Co-Exprise Holdings, Inc. (28)",Provider of cloud-based software solutions for direct materials sourcing and supplier management for manufacturers,"Warrant to purchase up to 1,875,000 shares of Series 1 preferred stock",0,12/19/2014,0,0
231,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,First lien senior secured loan ($997 par due 8/2020),5.75% (Libor + 4.75%/Q),8/19/2014,997,997
232,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,"Class A common stock (7,500 shares)",0,8/19/2014,7500,8186
233,"DTI Holdco, Inc. and OPE DTI Holdings, Inc.",Provider of legal process outsourcing and managed services,"Class B common stock (7,500 shares)",0,8/19/2014,0,0
234,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (28)",Wholesaler of cloud-based software applications and services,"First lien senior secured loan ($4,000 par due 11/2018)",9.75% (Libor + 8.75%/M),11/3/2014,3914,3960
235,"Faction Holdings, Inc. and The Faction Group LLC (fka PeakColo Holdings, Inc.) (28)",Wholesaler of cloud-based software applications and services,"Warrant to purchase up to 2,037 shares of Series A preferred stock",0,11/3/2014,93,93
236,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"First lien senior secured loan ($2,917 par due 4/2017)",9.50%,3/20/2014,2859,2917
237,"First Insight, Inc.",Software company providing merchandising and pricing solutions to companies worldwide,"Warrants to purchase up to 122,827 units of Series C preferred stock",0,3/20/2014,0,14
238,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Senior subordinated loan ($9,498 par due 5/2015)",0,3/5/2013,2691,0
239,"HCPro, Inc. and HCP Acquisition Holdings, LLC (7)",Healthcare compliance advisory services,"Class A units (14,293,110 units)",0,6/26/2008,12793,0
240,"iControl Networks, Inc. and uControl Acquisition, LLC",Software and services company for the connected home market,"Second lien senior secured loan ($20,000 par due 3/2019)",9.50% (Libor + 8.50%/Q),2/19/2015,19608,19875
241,"iControl Networks, Inc. and uControl Acquisition, LLC",Software and services company for the connected home market,"Warrant to purchase up to 385,616 shares of Series D preferred stock",0,2/19/2015,0,173
242,IfByPhone Inc.,Voice-based marketing automation software provider,"Warrant to purchase up to 124,300 shares of Series C preferred stock",0,10/15/2012,88,75
243,"Investor Group Services, LLC (6)",Business consulting for private equity and corporate clients,Limited liability company membership interest (5.17% interest),0,6/22/2006,0,354
244,"IronPlanet, Inc. (28)",Online auction platform provider for used heavy equipment,First lien senior secured revolving loan,0,9/24/2013,0,0
245,"IronPlanet, Inc. (28)",Online auction platform provider for used heavy equipment,"Warrant to purchase to up to 133,333 shares of Series C preferred stock",0,9/24/2013,214,244
246,"Itel Laboratories, Inc. (28)",Data services provider for building materials to property insurance industry,"Preferred units (1,798,391 units)",0,6/29/2012,1000,1156
247,"Market Track Holdings, LLC",Business media consulting services company,"Preferred stock (1,500 shares)",0,12/13/2013,1982,1957
248,"Market Track Holdings, LLC",Business media consulting services company,"Common stock (15,000 shares)",0,12/13/2013,1982,1633
249,"Maximus Holdings, LLC",Provider of software simulation tools and related services,"Warrants to purchase up to 1,050,013 shares of common stock",0,12/13/2013,0,0
250,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Preferred units (1,725,280 units)",0,4/1/2010,788,2178
251,"Multi-Ad Services, Inc. (6)",Marketing services and software provider,"Common units (1,725,280 units)",0,4/1/2010,0,0
252,"MVL Group, Inc. (7)",Marketing research provider,Senior subordinated loan ($433 par due 7/2012),0,4/1/2010,226,226
253,"MVL Group, Inc. (7)",Marketing research provider,"Common stock (560,716 shares)",0,4/1/2010,0,0
254,"PHL Investors, Inc., and PHL Holding Co. (7)",Mortgage services,Class A common stock (576 shares),0,7/31/2012,3768,0
255,"PowerPlan, Inc.",Fixed asset financial management software provider,"Second lien senior secured loan ($80,000 par due 2/2023)",10.75% (Libor + 9.75%/Q),2/23/2015,79225,80000
256,"PowerPlan, Inc.",Fixed asset financial management software provider,"Class A common stock (1,980 shares)",0,2/23/2015,1980,1980
257,"PowerPlan, Inc.",Fixed asset financial management software provider,"Class B common stock (989,011 shares)",0,2/23/2015,20,20
258,"Powersport Auctioneer Holdings, LLC",Powersport vehicle auction operator,"Common units (1,972 units)",0,3/2/2012,1000,954
259,R2 Acquisition Corp.,Marketing services,"Common stock (250,000 shares)",0,5/29/2007,250,169
260,Rocket Fuel Inc.,Provider of open and integrated software for digital marketing optimization,"Common stock (11,405 units)",0,9/9/2014,40,57
261,Ship Investor & Cy S.C.A. (8),Payment processing company,"Common stock (936,693 shares)",0,12/13/2013,1729,3064
262,"TraceLink, Inc. (28)",Supply chain management software provider for the pharmaceutical industry,"First lien senior secured loan ($4,500 par due 1/2019)",8.50% (Libor + 7.00%/M),1/2/2015,4389,4500
263,"TraceLink, Inc. (28)",Supply chain management software provider for the pharmaceutical industry,"Warrant to purchase up to 283,353 shares of Series A-2 preferred stock",0,1/2/2015,146,1040
264,Velocity Holdings Corp.,Hosted enterprise resource planning application management services provider,"Common units (1,713,546 units)",0,12/13/2013,4503,3121
265,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($28,581 par due 12/2018)",9.25% (Libor + 8.25%/Q),11/27/2006,28581,24866
266,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"First lien senior secured loan ($10,919 par due 12/2018)",9.25% (Libor + 8.25%/Q),11/27/2006,10922,9499
267,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Promissory note ($19,429 par due 12/2023)",0,11/27/2006,13770,0
268,"ADF Capital, Inc., ADF Restaurant Group, LLC, and ARG Restaurant Holdings, Inc.",Restaurant owner and operator,"Warrants to purchase up to 23,750 units of Series D common stock",0,12/18/2013,24,0
269,"Benihana, Inc. (28)",Restaurant owner and operator,First lien senior secured revolving loan ($646 par due 7/2018),7.50% (Base Rate + 4.25%/Q),8/21/2012,646,633
270,"Benihana, Inc. (28)",Restaurant owner and operator,"First lien senior secured loan ($4,863 par due 1/2019)",6.75% (Libor + 5.50%/Q),8/21/2012,4863,4766
271,"DineInFresh, Inc.",Meal-delivery provider,"First lien senior secured loan ($7,500 par due 7/2018)",9.75% (Libor + 8.75%/M),12/19/2014,7428,7500
272,"DineInFresh, Inc.",Meal-delivery provider,"Warrant to purchase up to 143,079 shares of Series A preferred stock",0,12/19/2014,0,3
273,Garden Fresh Restaurant Corp. (28),Restaurant owner and operator,"First lien senior secured revolving loan ($1,100 par due 7/2018)",10.50% (Libor + 9.00%/M),10/3/2013,1100,1100
274,Garden Fresh Restaurant Corp. (28),Restaurant owner and operator,"First lien senior secured loan ($41,836 par due 7/2018)",10.50% (Libor + 9.00%/M),10/3/2013,41836,41836
275,"Global Franchise Group, LLC and GFG Intermediate Holding, Inc.",Worldwide franchisor of quick service restaurants,"First lien senior secured loan ($62,500 par due 12/2019)",10.57% (Libor + 9.57%/Q),12/18/2014,62500,62500
276,"Hojeij Branded Foods, Inc. (28)",Airport restaurant operator,"First lien senior secured revolving loan ($2,350 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,2350,2350
277,"Hojeij Branded Foods, Inc. (28)",Airport restaurant operator,"First lien senior secured loan ($9,782 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,9782,9782
278,"Hojeij Branded Foods, Inc. (28)",Airport restaurant operator,"First lien senior secured loan ($14,262 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,14262,14262
279,"Hojeij Branded Foods, Inc. (28)",Airport restaurant operator,"First lien senior secured loan ($14,262 par due 2/2017)",9.00% (Libor + 8.00%/Q),2/15/2012,13995,14262
280,"Hojeij Branded Foods, Inc. (28)",Airport restaurant operator,Warrants to purchase up to 7.5% of membership interest,0,2/15/2012,0,502
281,"Hojeij Branded Foods, Inc. (28)",Airport restaurant operator,Warrants to purchase up to 324 shares of Class A common stock,0,2/15/2012,669,7230
282,"Orion Foods, LLC (7)",Convenience food service retailer,"First lien senior secured loan ($7,536 par due 9/2015)",0,4/1/2010,7536,1967
283,"Orion Foods, LLC (7)",Convenience food service retailer,"Second lien senior secured loan ($19,420 par due 9/2015)",0,4/1/2010,0,0
284,"Orion Foods, LLC (7)",Convenience food service retailer,"Preferred units (10,000 units)",0,10/28/2010,0,0
285,"Orion Foods, LLC (7)",Convenience food service retailer,"Class A common units (25,001 units)",0,4/1/2010,0,0
286,"Orion Foods, LLC (7)",Convenience food service retailer,"Class B common units (1,122,452 units)",0,4/1/2010,0,0
287,"OTG Management, LLC (28)",Airport restaurant operator,"First lien senior secured revolving loan ($1,175 par due 12/2017)",8.75% (Libor + 7.25%/M),12/11/2012,1175,1175
288,"OTG Management, LLC (28)",Airport restaurant operator,First lien senior secured loan ($6.250 par due 12/2017),8.75% (Libor + 7.25%/Q),12/11/2012,6250,6250
289,"OTG Management, LLC (28)",Airport restaurant operator,"First lien senior secured loan ($15,700 par due 12/2017)",8.75% (Libor + 7.25%/Q),12/11/2012,15700,15700
290,"OTG Management, LLC (28)",Airport restaurant operator,"First lien senior secured loan ($25,000 par due 12/2017)",8.75% (Libor + 7.25%/Q),12/11/2012,25000,25000
291,"OTG Management, LLC (28)",Airport restaurant operator,"Common units (3,000,000 units)",0,1/5/2011,3000,2164
292,"OTG Management, LLC (28)",Airport restaurant operator,Warrants to purchase up to 7.73% of common units,0,6/19/2008,100,4317
293,"Restaurant Holding Company, LLC",Fast food restaurant operator,"First lien senior secured loan ($37,219 par due 2/2019)",8.75% (Libor + 7.75%/M),3/13/2014,36924,34241
294,Wellspring Distribution Corp,Food service distributor,"Class A non-voting common stock (1,366,120 shares)",0,5/3/2008,6303,8507
295,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,First lien senior secured loan ($758 par due 8/2015),12.00%,8/7/2012,758,758
296,Cambrios Technologies Corporation,Nanotechnology-based solutions for electronic devices and computers,"Warrants to purchase up to 400,000 shares of Series D-4 convertible preferred stock",0,8/7/2012,0,13
297,"Component Hardware Group, Inc. (28)",Commercial equipment,"First lien senior secured revolving loan ($2,241 par due 7/2019)",5.50% (Libor + 4.50%/M),7/1/2013,2241,2241
298,"Component Hardware Group, Inc. (28)",Commercial equipment,"First lien senior secured loan ($8,124 par due 7/2019)",5.50% (Libor + 4.50%/M),7/1/2013,8124,8124
299,"Harvey Tool Company, LLC and Harvey Tool Holding, LLC (28)",Cutting tool provider to the metalworking industry,Class A membership units (750 units),0,3/28/2014,750,1014
300,"Ioxus, Inc.",Energy storage devices,"First lien senior secured loan ($10,000 par due 11/2017)",11.00%,4/29/2014,9702,9000
301,"Ioxus, Inc.",Energy storage devices,"Warrant to purchase up to 538,314 shares of Series C preferred stock",0,4/29/2014,0,0
302,Mac Lean-Fogg Company,Intelligent transportation systems products in the traffic and rail industries,"Senior subordinated loan ($102,139 par due 10/2023)","9.50% Cash, 1.50% PIK",10/31/2013,102139,102139
303,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($28,274 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,28274,28274
304,"MWI Holdings, Inc.","Engineered springs, fasteners, and other precision components","First lien senior secured loan ($20,000 par due 3/2019)",9.38% (Libor + 8.13%/Q),6/15/2011,20000,20000
305,Niagara Fiber Intermediate Corp. (28),Insoluble fiber filler products,"First lien senior secured revolving loan ($1,881 par due 5/2018)",6.75% (Libor + 5.50%/M),5/8/2014,1866,1750
306,Niagara Fiber Intermediate Corp. (28),Insoluble fiber filler products,"First lien senior secured loan ($15,367 par due 5/2018)",6.75% (Libor + 5.50%/M),5/8/2014,15247,14292
307,"Pelican Products, Inc.",Flashlights,"Second lien senior secured loan ($40,000 par due 4/2021)",9.25% (Libor + 8.25%/Q),4/11/2014,39949,40000
308,Saw Mill PCG Partners LLC,Metal precision engineered components,"Common units (1,000 units)",0,1/30/2007,1000,0
309,"SI Holdings, Inc.","Elastomeric parts, mid-sized composite structures, and composite tooling","Common stock (1,500 shares)",0,5/30/2014,1500,1601
310,TPTM Merger Corp. (28),Time temperature indicator products,First lien senior secured revolving loan ($750 par due 9/2018),7.25% (Libor + 6.25%/Q),9/12/2013,750,750
311,TPTM Merger Corp. (28),Time temperature indicator products,"First lien senior secured loan ($36,423 par due 9/2018)",9.42% (Libor + 8.42%/Q),9/12/2013,36423,36423
312,TPTM Merger Corp. (28),Time temperature indicator products,First lien senior secured loan ($407 par due 9/2018),4.75% (Libor + 3.75%/Q),9/12/2013,407,407
313,TPTM Merger Corp. (28),Time temperature indicator products,"First lien senior secured loan ($5,135 par due 9/2018)",4.75% (Libor + 3.75%/Q),9/12/2013,5135,5135
314,"Charter NEX US Holdings, Inc.",Producer of high-performance specialty films used in flexible packaging,"Second lien senior secured loan ($16,000 par due 2/2023)",9.25% (Libor + 8.25%/Q),2/5/2015,15765,16000
315,"GS Pretium Holdings, Inc.",Manufacturer and supplier of high performance plastic containers,"Common stock (500,000 shares)",0,6/2/2014,500,447
316,"ICSH, Inc. (28)","Industrial container manufacturer, reconditioner and servicer",First lien senior secured revolving loan,0,8/31/2011,0,0
317,"ICSH, Inc. (28)","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($25,603 par due 8/2016)",6.75% (Libor + 5.75%/Q),8/31/2011,25603,25603
318,"ICSH, Inc. (28)","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($53,374 par due 8/2016)",6.75% (Libor + 5.75%/Q),8/31/2011,53374,53374
319,"ICSH, Inc. (28)","Industrial container manufacturer, reconditioner and servicer","First lien senior secured loan ($12,683 par due 8/2016)",6.75% (Libor + 5.75%/Q),8/31/2011,12672,12683
320,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Second lien senior secured loan ($142,500 par due 12/2018)",8.50% (Libor + 7.50%/Q),12/14/2012,142500,142500
321,"Microstar Logistics LLC, Microstar Global Asset Management LLC, and MStar Holding Corporation",Keg management solutions provider,"Common stock (50,000 shares)",0,12/14/2012,3951,6251
322,"Lonestar Prospects, Ltd.",Sand proppant producer and distributor to the oil and natural gas industry,"First lien senior secured loan ($75,372 par due 9/2018)","8.50% (Libor + 6.50% Cash, 1.00% PIK/Q)",9/18/2014,75372,72357
323,Petroflow Energy Corporation,Oil and gas exploration and production company,"First lien senior secured loan ($51,532 par due 7/2017)","12.00% (Libor + 8.00% Cash, 3.00% PIK/Q)",7/31/2014,50550,46379
324,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($11,374 par due 12/2016)",0,4/30/2012,8761,9198
325,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($48,239 par due 12/2016)",0,4/30/2012,37228,39015
326,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Second lien senior secured loan ($5,613 par due 12/2016)",0,4/30/2012,4294,4539
327,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Class A common units (10,782 units)",0,6/17/2011,4993,0
328,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Class B-5 common units (599,200 units)",0,6/17/2011,2492,0
329,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Class C common units (618,091 units)",0,4/25/2008,0,0
330,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 513,037 shares of Class A units",0,5/2/2014,0,0
331,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 20,451 shares of Class B-1 units",0,5/2/2014,0,0
332,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 40,901 shares of Class B-2 units",0,5/2/2014,0,0
333,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 21,152 shares of Class B-3 units",0,5/2/2014,0,0
334,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 57,345 shares of Class B-5 units",0,5/2/2014,0,0
335,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 42,564 shares of Class B-6 units",0,5/2/2014,0,0
336,"UL Holding Co., LLC and Universal Lubricants, LLC (6)",Manufacturer and distributor of re-refined oil products,"Warrant to purchase up to 746,828 shares of Class C units",0,5/2/2014,0,0
337,"Cadence Aerospace, LLC",Aerospace precision components manufacturer,"First lien senior secured loan ($4,343 par due 5/2018)",6.50% (Libor + 5.25%/Q),5/15/2012,4319,4343
338,"Cadence Aerospace, LLC",Aerospace precision components manufacturer,"Second lien senior secured loan ($79,657 par due 5/2019)",10.50% (Libor + 9.25%/Q),5/10/2012,79657,76471
339,"ILC Industries, LLC",Designer and manufacturer of protective cases and technically advanced lighting systems,"Second lien senior secured loan ($40,000 par due 7/2021)",9.50% (Libor + 8.50%/Q),7/15/2014,40000,40000
340,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services",Senior preferred stock (775 shares),8.00% PIK,1/17/2008,123,123
341,"Wyle Laboratories, Inc. and Wyle Holdings, Inc.","Provider of specialized engineering, scientific and technical services","Common stock (1,885,195 shares)",0,1/17/2008,2291,2275
