,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
204,"Systems Maintenance Services Holding,  Inc.ˆ",,,Senior loan,,,,L + 4.00,,,,5.00,,,,10/2019,,,,2623,,,,2614,,,,0.3,,,,2623,
205,"Taxware, LLC  (3)",,,One stop,,,,L + 6.50,,,,No Value,(5),,,04/2022,,,,0,,,,(5,,,,0,,,,0,
206,"Taxware, LLC*ˆ",,,One stop,,,,L + 6.50,,,,7.50,,,,04/2022,,,,19899,,,,19609,,,,2.5,,,,19899,
207,"Watchfire Enterprises, Inc.",,,Second lien,,,,L + 8.00,,,,9.00,,,,10/2021,,,,9435,,,,9242,,,,1.2,,,,9435,
208,,,,,,,,,,,,,,,,,,,,134178,,,,132431,,,,16.5,,,,133687,
209,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Ascensus, Inc.  (3)",,,One stop,,,,L + 4.00,,,,No Value,(5),,,11/2018,,,,0,,,,(12,,,,0,,,,0,
211,"Ascensus, Inc.ˆ",,,One stop,,,,L + 4.00,,,,5.00,,,,12/2019,,,,3953,,,,3895,,,,0.5,,,,3953,
212,"Ascensus, Inc.*ˆ",,,One stop,,,,L + 8.00,,,,9.00,,,,12/2020,,,,6337,,,,6173,,,,0.8,,,,6337,
213,,,,,,,,,,,,,,,,,,,,10290,,,,10056,,,,1.3,,,,10290,
214,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,AG Kings Holdings Inc.  (3),,,One stop,,,,L + 5.50,,,,No Value,(5),,,04/2020,,,,0,,,,(7,,,,0,,,,0,
216,AG Kings Holdings Inc.,,,One stop,,,,L + 5.50,,,,6.50,,,,04/2020,,,,6183,,,,6127,,,,0.8,,,,6183,
217,"MyWebGrocer, Inc.  (3)",,,One stop,,,,L + 8.75,,,,No Value,(5),,,05/2018,,,,0,,,,(11,,,,0,,,,0,
218,"MyWebGrocer, Inc.ˆ",,,One stop,,,,L + 8.75,,,,10.00,,,,05/2018,,,,14271,,,,14115,,,,1.7,,,,14271,
219,,,,,,,,,,,,,,,,,,,,20454,,,,20224,,,,2.5,,,,20454,
220,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"Agilitas USA, Inc.ˆ",,,Senior loan,,,,L + 4.00,,,,5.00,,,,10/2020,,,,2125,,,,2107,,,,0.3,,,,2125,
222,"Avalign Technologies, Inc.ˆ",,,Senior loan,,,,L + 4.50,,,,5.50,,,,07/2021,,,,1165,,,,1160,,,,0.2,,,,1159,
223,"Avatar International, LLC  (6)",,,One stop,,,,L + 7.89,,,,6.19 cash/  2.95 PIK,,,,09/2016,,,,1648,,,,1644,,,,0.1,,,,548,
224,"Avatar International, LLC",,,One stop,,,,L + 7.89,,,,6.19 cash/  2.95 PIK,,,,09/2016,,,,573,,,,571,,,,0.1,,,,573,
225,"Avatar International, LLC  (6)  *",,,One stop,,,,L + 7.89,,,,6.19 cash/  2.95 PIK,,,,09/2016,,,,7641,,,,7615,,,,0.3,,,,2540,
226,"California Cryobank, LLCˆ",,,One stop,,,,L + 5.50,,,,6.50,,,,08/2019,,,,1550,,,,1538,,,,0.2,,,,1550,
227,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
228,"Healthcare, Education and Childcare – (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"California Cryobank, LLC",,,One stop,,,,L + 5.50,,,,6.50,,,,08/2019,,,,43,,,,42,,,,0,,,,43,
230,"California Cryobank, LLC",,,One stop,,,,P + 4.25,,,,7.50,,,,08/2019,,,,43,,,,41,,,,0,,,,43,
231,Certara L.P.  (3),,,One stop,,,,L + 6.25,,,,No Value,(5),,,12/2018,,,,0,,,,(14,,,,0,,,,0,
232,Certara L.P.*ˆ,,,One stop,,,,L + 6.25,,,,7.25,,,,12/2018,,,,30848,,,,30555,,,,3.8,,,,30848,
233,"CPI Buyer, LLC (Cole-Parmer)*ˆ",,,Senior loan,,,,L + 4.50,,,,5.50,,,,08/2021,,,,7940,,,,7674,,,,1.0,,,,7900,
234,Curo Health Services LLC,,,Senior loan,,,,L + 5.50,,,,6.50,,,,02/2022,,,,1990,,,,1972,,,,0.3,,,,1997,
235,"DCA Investment Holding, LLC  (3)",,,One stop,,,,L + 5.25,,,,No Value,(5),,,07/2021,,,,0,,,,(2,,,,0,,,,(1,
236,"DCA Investment Holding, LLC*",,,One stop,,,,L + 5.25,,,,6.25,,,,07/2021,,,,14336,,,,13990,,,,1.8,,,,14192,
237,Deca Dental Management LLC  (3),,,One stop,,,,L + 6.25,,,,No Value,(5),,,07/2020,,,,0,,,,(11,,,,0,,,,(8,
238,Deca Dental Management LLC,,,One stop,,,,P + 5.25,,,,8.50,,,,07/2020,,,,20,,,,19,,,,0,,,,20,
239,Deca Dental Management LLC*ˆ,,,One stop,,,,L + 6.25,,,,7.25,,,,07/2020,,,,4188,,,,4128,,,,0.5,,,,4146,
240,Delta Educational Systems*,,,Senior loan,,,,P + 4.75,,,,8.00,,,,12/2016,,,,1435,,,,1424,,,,0.2,,,,1220,
241,Delta Educational Systems  (3),,,Senior loan,,,,L + 6.00,,,,No Value,(5),,,12/2016,,,,0,,,,0,,,,0,,,,(8,
242,Dental Holdings Corporation  (3),,,One stop,,,,L + 5.50,,,,No Value,(5),,,02/2020,,,,0,,,,(16,,,,0,,,,0,
243,Dental Holdings Corporation  (3),,,One stop,,,,L + 5.50,,,,No Value,(5),,,02/2020,,,,0,,,,(12,,,,0,,,,0,
244,Dental Holdings Corporation,,,One stop,,,,L + 5.50,,,,6.50,,,,02/2020,,,,6575,,,,6444,,,,0.8,,,,6575,
245,"Encore GC Acquisition, LLC  (3)",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,01/2020,,,,0,,,,(9,,,,0,,,,0,
246,"Encore GC Acquisition, LLC*",,,Senior loan,,,,L + 4.50,,,,5.50,,,,01/2020,,,,3484,,,,3439,,,,0.4,,,,3484,
247,"G & H Wire Company, Inc.",,,One stop,,,,L + 5.75,,,,6.75,,,,12/2017,,,,268,,,,263,,,,0,,,,268,
248,"G & H Wire Company, Inc.*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,12/2017,,,,13291,,,,13197,,,,1.6,,,,13291,
249,GSDM Holdings Corp.,,,Senior loan,,,,L + 4.25,,,,5.25,,,,06/2019,,,,870,,,,867,,,,0.1,,,,870,
250,"IntegraMed America, Inc.",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2017,,,,406,,,,402,,,,0,,,,398,
251,"IntegraMed America, Inc.*ˆ",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2017,,,,14975,,,,14839,,,,1.8,,,,14676,
252,"Joerns Healthcare, LLC*",,,One stop,,,,L + 5.00,,,,6.17,,,,05/2020,,,,3318,,,,3286,,,,0.4,,,,3301,
253,"Katena Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,No Value,(5),,,06/2021,,,,0,,,,(8,,,,0,,,,0,
254,"Katena Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,No Value,(5),,,06/2021,,,,0,,,,(1,,,,0,,,,0,
255,"Katena Holdings, Inc.ˆ",,,One stop,,,,L + 6.25,,,,7.25,,,,06/2021,,,,8142,,,,8064,,,,1.0,,,,8142,
256,"Maverick Healthcare Group, LLC*",,,Senior loan,,,,L + 5.50,,,,7.25,,,,12/2016,,,,1933,,,,1912,,,,0.2,,,,1933,
257,"Pentec Acquisition Sub, Inc.  (3)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,05/2017,,,,0,,,,(1,,,,0,,,,0,
258,"Pentec Acquisition Sub, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,05/2018,,,,1588,,,,1574,,,,0.2,,,,1588,
259,"PPT Management, LLC  (3)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,04/2020,,,,0,,,,(1,,,,0,,,,0,
260,"PPT Management, LLC*ˆ",,,One stop,,,,L + 5.00,,,,6.00,,,,04/2020,,,,13158,,,,13037,,,,1.6,,,,13158,
261,Premise Health Holding Corp.,,,One stop,,,,L + 4.50,,,,5.50,,,,06/2020,,,,394,,,,374,,,,0,,,,394,
262,Premise Health Holding Corp.,,,One stop,,,,L + 4.50,,,,5.50,,,,06/2020,,,,15000,,,,14896,,,,1.9,,,,15000,
263,"Pyramid Healthcare, Inc.",,,One stop,,,,P + 4.50,,,,7.75,,,,08/2019,,,,313,,,,309,,,,0,,,,313,
264,"Pyramid Healthcare, Inc.ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,08/2019,,,,8439,,,,8377,,,,1.0,,,,8439,
265,"Radiology Partners, Inc.  (3)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,09/2020,,,,0,,,,(38,,,,0,,,,0,
266,"Radiology Partners, Inc.  (3)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,09/2020,,,,0,,,,(6,,,,0,,,,0,
267,"Radiology Partners, Inc.*ˆ",,,One stop,,,,L + 5.00,,,,6.00,,,,09/2020,,,,17037,,,,16813,,,,2.1,,,,17037,
268,"Reliant Pro ReHab, LLC",,,Senior loan,,,,P + 4.00,,,,7.25,,,,06/2017,,,,424,,,,419,,,,0.1,,,,424,
269,"Reliant Pro ReHab, LLC*",,,Senior loan,,,,L + 5.00,,,,6.00,,,,06/2017,,,,3226,,,,3206,,,,0.4,,,,3226,
270,RXH Buyer Corporation  (3),,,One stop,,,,L + 5.75,,,,No Value,(5),,,09/2021,,,,0,,,,(56,,,,0,,,,(28,
271,RXH Buyer Corporation  (3),,,One stop,,,,L + 5.75,,,,No Value,(5),,,09/2021,,,,0,,,,(4,,,,0,,,,(2,
272,RXH Buyer Corporation*ˆ,,,One stop,,,,L + 5.75,,,,6.75,,,,09/2021,,,,17612,,,,17264,,,,2.2,,,,17435,
273,Southern Anesthesia and Surgical  (3),,,One stop,,,,L + 5.50,,,,No Value,(5),,,11/2017,,,,0,,,,(27,,,,0,,,,0,
274,Southern Anesthesia and Surgical  (3),,,One stop,,,,L + 5.50,,,,No Value,(5),,,11/2017,,,,0,,,,(7,,,,0,,,,0,
275,Southern Anesthesia and Surgical,,,One stop,,,,L + 5.50,,,,6.50,,,,11/2017,,,,5638,,,,5570,,,,0.7,,,,5638,
276,"Surgical Information Systems, LLCˆ",,,Senior loan,,,,L + 3.00,,,,4.01,,,,09/2018,,,,1934,,,,1930,,,,0.2,,,,1934,
277,"U.S. Anesthesia Partners, Inc.",,,One stop,,,,L + 5.00,,,,6.00,,,,12/2019,,,,5942,,,,5918,,,,0.7,,,,5942,
278,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
279,"Healthcare, Education and Childcare – (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,"WIL Research Company, Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,02/2018,,,,756,,,,751,,,,0.1,,,,737,
281,"Young Innovations, Inc.",,,Senior loan,,,,L + 3.25,,,,No Value,(5),,,01/2018,,,,0,,,,0,,,,0,,,,0,
282,"Young Innovations, Inc.*",,,Senior loan,,,,L + 4.25,,,,5.25,,,,01/2019,,,,1830,,,,1819,,,,0.2,,,,1830,
283,,,,,,,,,,,,,,,,,,,,222098,,,,219237,,,,26.5,,,,214890,
284,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,1A Smart Start LLC*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,02/2022,,,,2132,,,,2111,,,,0.3,,,,2127,
286,"Plano Molding Company, LLC*",,,One stop,,,,L + 6.00,,,,7.00,,,,05/2021,,,,18115,,,,17946,,,,2.2,,,,18115,
287,"WII Components, Inc.",,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,07/2018,,,,0,,,,0,,,,0,,,,0,
288,"WII Components, Inc.*",,,Senior loan,,,,L + 4.25,,,,5.25,,,,07/2018,,,,1048,,,,1044,,,,0.1,,,,1048,
289,Zenith Products Corporation  (6),,,One stop,,,,P + 1.75,,,,5.00,,,,09/2013,,,,81,,,,48,,,,0,,,,41,
290,Zenith Products Corporation*  (6),,,One stop,,,,P + 3.50,,,,6.75,,,,09/2013,,,,4376,,,,3926,,,,0.3,,,,2188,
291,,,,,,,,,,,,,,,,,,,,25752,,,,25075,,,,2.9,,,,23519,
292,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"Captive Resources Midco, LLC  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,06/2020,,,,0,,,,(22,,,,0,,,,(19,
294,"Captive Resources Midco, LLC  (3)",,,One stop,,,,L + 5.75,,,,No Value,(5),,,06/2020,,,,0,,,,(20,,,,0,,,,(17,
295,"Captive Resources Midco, LLC*ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,06/2020,,,,26845,,,,26525,,,,3.3,,,,26575,
296,"Internet Pipeline, Inc.  (3)",,,One stop,,,,L + 7.25,,,,No Value,(5),,,08/2021,,,,0,,,,(1,,,,0,,,,0,
297,"Internet Pipeline, Inc.",,,One stop,,,,L + 7.25,,,,8.25,,,,08/2022,,,,4960,,,,4826,,,,0.6,,,,4910,
298,,,,,,,,,,,,,,,,,,,,31805,,,,31308,,,,3.9,,,,31449,
299,Investment Funds and Vehicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Senior Loan Fund LLC  (7)  (8),,,Subordinated debt,,,,L + 8.00,,,,8.19,,,,05/2020,,,,76563,,,,76563,,,,9.5,,,,76563,
301,"Leisure, Amusement, Motion Pictures and Entertainment",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,"Competitor Group, Inc.",,,One stop,,,,L + 7.75,,,,9.00,,,,11/2018,,,,884,,,,876,,,,0.1,,,,773,
303,"Competitor Group, Inc.*",,,One stop,,,,L + 9.25,,,,9.00 cash/  1.50 PIK,,,,11/2018,,,,12331,,,,12221,,,,1.4,,,,11098,
304,"Self Esteem Brands, LLC  (3)",,,Senior loan,,,,L + 4.00,,,,No Value,(5),,,02/2020,,,,0,,,,(4,,,,0,,,,0,
305,"Self Esteem Brands, LLCˆ",,,Senior loan,,,,L + 4.00,,,,5.00,,,,02/2020,,,,3669,,,,3653,,,,0.5,,,,3669,
306,"Starplex Operating, L.L.C.  (3)",,,One stop,,,,L + 7.00,,,,No Value,(5),,,12/2017,,,,0,,,,(9,,,,0,,,,0,
307,"Starplex Operating, L.L.C.*ˆ",,,One stop,,,,L + 7.00,,,,8.00,,,,12/2017,,,,9979,,,,9863,,,,1.2,,,,9979,
308,"Teaching Company, The",,,One stop,,,,L + 6.25,,,,7.25,,,,08/2020,,,,30,,,,29,,,,0,,,,29,
309,"Teaching Company, The",,,One stop,,,,L + 6.25,,,,7.25,,,,08/2020,,,,19069,,,,18789,,,,2.3,,,,18878,
310,"Titan Fitness, LLC  (3)",,,One stop,,,,L + 6.50,,,,No Value,(5),,,09/2019,,,,0,,,,(17,,,,0,,,,0,
311,"Titan Fitness, LLC*",,,One stop,,,,L + 6.50,,,,7.75,,,,09/2019,,,,13326,,,,13120,,,,1.6,,,,13326,
312,"Titan Fitness, LLC  (3)",,,One stop,,,,L + 6.50,,,,No Value,(5),,,09/2019,,,,0,,,,(17,,,,0,,,,0,
313,,,,,,,,,,,,,,,,,,,,59288,,,,58504,,,,7.1,,,,57752,
314,"Mining, Steel, Iron and Non-Precious Metals",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,"Benetech, Inc.",,,One stop,,,,P + 7.75,,,,11.00,,,,10/2017,,,,303,,,,297,,,,0,,,,303,
316,"Benetech, Inc.*",,,One stop,,,,L + 9.00,,,,10.25,,,,10/2017,,,,4696,,,,4671,,,,0.6,,,,4696,
317,,,,,,,,,,,,,,,,,,,,4999,,,,4968,,,,0.6,,,,4999,
318,Oil and Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"Drilling Info, Inc.  (3)  (4)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,06/2018,,,,0,,,,(1,,,,0,,,,0,
320,"Drilling Info, Inc.  (4)",,,One stop,,,,L + 5.00,,,,6.00,,,,06/2018,,,,355,,,,353,,,,0,,,,355,
321,"Drilling Info, Inc.ˆ",,,One stop,,,,L + 5.00,,,,6.00,,,,06/2018,,,,901,,,,894,,,,0.1,,,,901,
322,"Drilling Info, Inc.  (3)  (4)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,06/2018,,,,0,,,,(5,,,,0,,,,0,
323,,,,,,,,,,,,,,,,,,,,1256,,,,1241,,,,0.1,,,,1256,
324,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
325,Personal and Non-Durable Consumer Products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,The Hygenic Corporation  (3),,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,10/2019,,,,0,,,,(5,,,,0,,,,0,
327,The Hygenic Corporation*,,,Senior loan,,,,L + 5.00,,,,6.00,,,,10/2020,,,,3275,,,,3231,,,,0.4,,,,3275,
328,"Massage Envy, LLC  (3)",,,One stop,,,,L + 7.25,,,,No Value,(5),,,09/2018,,,,0,,,,(9,,,,0,,,,0,
329,"Massage Envy, LLC*",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2018,,,,15570,,,,15375,,,,1.9,,,,15570,
330,"Orthotics Holdings, Inc  (3)  (8)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,02/2020,,,,0,,,,(2,,,,0,,,,0,
331,"Orthotics Holdings, Inc*  (8)",,,One stop,,,,L + 5.00,,,,6.00,,,,02/2020,,,,1387,,,,1372,,,,0.2,,,,1387,
332,"Orthotics Holdings, Inc  (3)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,02/2020,,,,0,,,,(15,,,,0,,,,0,
333,"Orthotics Holdings, Inc  (3)",,,One stop,,,,L + 5.00,,,,No Value,(5),,,02/2020,,,,0,,,,(14,,,,0,,,,0,
334,"Orthotics Holdings, Inc*",,,One stop,,,,L + 5.00,,,,6.00,,,,02/2020,,,,8460,,,,8367,,,,1.0,,,,8460,
335,Team Technologies Acquisition  Company  (3),,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,12/2017,,,,0,,,,(2,,,,0,,,,0,
336,Team Technologies Acquisition  Companyˆ,,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2017,,,,4782,,,,4754,,,,0.6,,,,4782,
337,Team Technologies Acquisition Company,,,Senior loan,,,,L + 5.50,,,,6.75,,,,12/2017,,,,881,,,,871,,,,0.1,,,,881,
338,,,,,,,,,,,,,,,,,,,,34355,,,,33923,,,,4.2,,,,34355,
339,"Personal, Food and Miscellaneous Services",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Focus Brands Inc.*ˆ,,,Second lien,,,,L + 9.00,,,,10.25,,,,08/2018,,,,11195,,,,11120,,,,1.4,,,,11195,
341,"Ignite Restaurant Group, Inc (Joe's Crab Shack)ˆ",,,One stop,,,,L + 7.00,,,,8.00,,,,02/2019,,,,6108,,,,6039,,,,0.7,,,,6108,
342,PetVet Care Centers LLC,,,Senior loan,,,,L + 4.50,,,,5.50,,,,12/2020,,,,646,,,,626,,,,0.1,,,,646,
343,PetVet Care Centers LLC  (3),,,Senior loan,,,,L + 4.50,,,,No Value,(5),,,12/2019,,,,0,,,,(11,,,,0,,,,0,
344,PetVet Care Centers LLCˆ,,,Senior loan,,,,L + 4.50,,,,5.50,,,,12/2020,,,,5896,,,,5800,,,,0.7,,,,5896,
345,Vetcor Merger Sub LLC  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,04/2021,,,,0,,,,(14,,,,0,,,,0,
346,Vetcor Merger Sub LLC,,,One stop,,,,L + 6.00,,,,7.00,,,,04/2021,,,,8,,,,4,,,,0,,,,8,
347,Vetcor Merger Sub LLC*ˆ,,,One stop,,,,L + 6.00,,,,7.00,,,,04/2021,,,,25181,,,,24715,,,,3.1,,,,25181,
348,"Veterinary Specialists of North America,  LLC",,,One stop,,,,L + 5.00,,,,No Value,(5),,,05/2020,,,,0,,,,0,,,,0,,,,0,
349,"Veterinary Specialists of North America, LLC*",,,One stop,,,,L + 5.00,,,,6.00,,,,05/2020,,,,587,,,,582,,,,0.1,,,,587,
350,,,,,,,,,,,,,,,,,,,,49621,,,,48861,,,,6.1,,,,49621,
351,Printing and Publishing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,"Market Track, LLC",,,One stop,,,,P + 6.00,,,,9.25,,,,10/2019,,,,369,,,,345,,,,0,,,,347,
353,"Market Track, LLC*ˆ",,,One stop,,,,L + 7.00,,,,8.00,,,,10/2019,,,,28976,,,,28643,,,,3.5,,,,28686,
354,"Market Track, LLC*",,,One stop,,,,L + 7.00,,,,8.00,,,,10/2019,,,,2197,,,,2173,,,,0.3,,,,2175,
355,"Market Track, LLC",,,One stop,,,,L + 7.00,,,,8.00,,,,10/2019,,,,1379,,,,1340,,,,0.2,,,,1344,
356,,,,,,,,,,,,,,,,,,,,32921,,,,32501,,,,4.0,,,,32552,
357,Retail Stores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,"Benihana, Inc.",,,One stop,,,,P + 4.75,,,,8.00,,,,07/2018,,,,868,,,,823,,,,0.1,,,,825,
359,"Benihana, Inc.*ˆ",,,One stop,,,,L + 6.00,,,,7.25,,,,01/2019,,,,15436,,,,15124,,,,1.9,,,,15127,
360,"Boot Barn, Inc.*ˆ",,,Senior loan,,,,L + 4.50,,,,5.50,,,,06/2021,,,,10775,,,,10621,,,,1.3,,,,10775,
361,"CVS Holdings I, LP",,,One stop,,,,L + 6.25,,,,7.25,,,,08/2021,,,,366,,,,329,,,,0,,,,347,
362,"CVS Holdings I, LP  (3)",,,One stop,,,,L + 6.25,,,,No Value,(5),,,08/2020,,,,0,,,,(4,,,,0,,,,(2,
363,"CVS Holdings I, LPˆ",,,One stop,,,,L + 6.25,,,,7.25,,,,08/2021,,,,20575,,,,20173,,,,2.5,,,,20369,
364,"Cycle Gear, Inc.  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,01/2020,,,,0,,,,(15,,,,0,,,,0,
365,"Cycle Gear, Inc.",,,One stop,,,,L + 6.00,,,,7.00,,,,01/2020,,,,6486,,,,6362,,,,0.8,,,,6486,
366,"DTLR, Inc.*ˆ",,,One stop,,,,L + 8.00,,,,11.00,,,,12/2015,,,,15026,,,,15017,,,,1.8,,,,15026,
367,"Elite Sportswear, L.P.  (3)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,03/2020,,,,0,,,,(7,,,,0,,,,0,
368,"Elite Sportswear, L.P.",,,Senior loan,,,,L + 5.00,,,,6.00,,,,03/2020,,,,2849,,,,2798,,,,0.4,,,,2849,
369,"Express Oil Change, LLC*",,,Senior loan,,,,L + 5.00,,,,6.00,,,,12/2017,,,,104,,,,103,,,,0,,,,104,
370,"Express Oil Change, LLC*",,,Senior loan,,,,L + 5.00,,,,6.00,,,,12/2017,,,,1371,,,,1366,,,,0.2,,,,1371,
371,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/ Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
372,Retail Stores – (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,"Express Oil Change, LLC  (3)",,,Senior loan,,,,L + 5.00,,,,No Value,(5),,,12/2017,,,,0,,,,(3,,,,0,,,,0,
374,"Express Oil Change, LLC*",,,Senior loan,,,,L + 5.00,,,,6.00,,,,12/2017,,,,3672,,,,3647,,,,0.5,,,,3672,
375,"Floor & Decor Outlets of America,  Inc.*ˆ",,,One stop,,,,L + 6.50,,,,7.75,,,,05/2019,,,,11130,,,,11047,,,,1.4,,,,11130,
376,"Marshall Retail Group, LLC, The  (3)",,,One stop,,,,L + 6.00,,,,No Value,(5),,,08/2020,,,,0,,,,(9,,,,0,,,,(27,
377,"Marshall Retail Group, LLC, The",,,One stop,,,,L + 6.00,,,,7.00,,,,08/2019,,,,146,,,,124,,,,0,,,,80,
378,"Marshall Retail Group, LLC, Theˆ",,,One stop,,,,L + 6.00,,,,7.00,,,,08/2020,,,,12331,,,,12205,,,,1.5,,,,11960,
379,"Paper Source, Inc.",,,One stop,,,,P + 5.00,,,,7.75,,,,09/2018,,,,677,,,,670,,,,0.1,,,,677,
380,"Paper Source, Inc.*ˆ",,,One stop,,,,L + 6.25,,,,7.25,,,,09/2018,,,,12888,,,,12810,,,,1.6,,,,12888,
381,RCPSI Corporation  (3),,,One stop,,,,L + 5.75,,,,No Value,(5),,,04/2020,,,,0,,,,(4,,,,0,,,,0,
382,RCPSI Corporation*ˆ,,,One stop,,,,L + 5.75,,,,6.75,,,,04/2021,,,,22400,,,,21986,,,,2.8,,,,22400,
383,"Restaurant Holding Company, LLC",,,Senior loan,,,,L + 7.75,,,,8.75,,,,02/2019,,,,4843,,,,4809,,,,0.5,,,,4310,
384,"Rubio's Restaurants, Inc",,,Senior loan,,,,L + 4.75,,,,6.00,,,,11/2018,,,,3985,,,,3985,,,,0.4,,,,3985,
385,"Sneaker Villa, Inc.ˆ",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,627,,,,620,,,,0.1,,,,627,
386,"Sneaker Villa, Inc.",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,752,,,,740,,,,0.1,,,,752,
387,"Sneaker Villa, Inc.ˆ",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,1206,,,,1195,,,,0.1,,,,1206,
388,"Sneaker Villa, Inc.",,,One stop,,,,P + 7.00,,,,10.25,,,,12/2017,,,,1253,,,,1240,,,,0.2,,,,1253,
389,"Sneaker Villa, Inc.",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,2506,,,,2489,,,,0.3,,,,2506,
390,"Sneaker Villa, Inc.ˆ",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,4154,,,,4126,,,,0.5,,,,4154,
391,"Sneaker Villa, Inc.",,,One stop,,,,L + 8.50,,,,10.00,,,,12/2017,,,,4317,,,,4254,,,,0.5,,,,4317,
392,Specialty Catalog Corp.  (3),,,One stop,,,,L + 6.00,,,,No Value,(5),,,07/2017,,,,0,,,,(3,,,,0,,,,0,
393,Specialty Catalog Corp.,,,One stop,,,,L + 6.00,,,,7.50,,,,07/2017,,,,4125,,,,4105,,,,0.5,,,,4125,
394,,,,,,,,,,,,,,,,,,,,164868,,,,162723,,,,20.1,,,,163292,
395,Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
396,"Arise Virtual Solutions, Inc.  (3)",,,One stop,,,,L + 5.50,,,,No Value,(5),,,12/2018,,,,0,,,,(1,,,,0,,,,(3,
397,"Arise Virtual Solutions, Inc.ˆ",,,One stop,,,,L + 5.50,,,,6.75,,,,12/2018,,,,1500,,,,1495,,,,0.2,,,,1470,
398,Hosting.com Inc.,,,Senior loan,,,,P + 3.25,,,,6.50,,,,12/2017,,,,37,,,,37,,,,0,,,,37,
399,Hosting.com Inc.*,,,Senior loan,,,,L + 4.50,,,,5.75,,,,12/2017,,,,790,,,,784,,,,0.1,,,,790,
