,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
249,,Daxko Acquisition Corporation,One stop,,L + 4.75,(a)(c),,5.75,,09/2023,,68,,,68,,,0,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,"Digital Guardian, Inc.  !",One stop,,L + 9.50,(c),,7.93 cash/3.00 PIK,,06/2023,,8666,,,8973,,,0.4,,,8963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,"Digital Guardian, Inc.",Subordinated debt,,No Value,,,8.00 PIK,,06/2023,,9,,,7,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,"Digital Guardian, Inc.",One stop,,L + 5.00,,,N/A  (6),,06/2023,,0,,,0,,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,DISA Holdings Acquisition Subsidiary Corp.  +~,Senior loan,,L + 4.00,(c),,5.26,,06/2022,,9840,,,9927,,,0.4,,,8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,,L + 4.00,(c),,5.00,,06/2022,,1448,,,1448,,,0.1,,,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,DISA Holdings Acquisition Subsidiary Corp  .(5),Senior loan,,L + 4.00,,,N/A  (6),,06/2022,,0,,,3,,,0,,,(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,"E2open, LLC  *#+!~",One stop,,L + 5.75,(c),,6.75,,11/2024,,86120,,,87042,,,3.6,,,84398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,"E2open, LLC  (5)",One stop,,L + 5.75,,,N/A  (6),,11/2024,,0,,,(5),,,0,,,(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,"EGD Security Systems, LLC  ^*#",One stop,,L + 5.75,(c),,7.10,,06/2023,,30092,,,30486,,,1.3,,,30092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,"EGD Security Systems, LLC",One stop,,L + 5.75,(c),,6.99,,06/2023,,1258,,,1257,,,0.1,,,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,"EGD Security Systems, LLC  #",One stop,,L + 5.75,(c),,7.10,,06/2023,,644,,,665,,,0,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,"EGD Security Systems, LLC  #",One stop,,L + 5.75,(c),,7.10,,06/2023,,575,,,571,,,0,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,"EGD Security Systems, LLC  (5)",One stop,,L + 5.75,,,N/A  (6),,06/2023,,0,,,(1),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,916,,,898,,,0,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,30,,,29,,,0,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,18,,,18,,,0,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
225,,"Bullhorn, Inc.",One stop,,L + 5.50,(c),,6.50,,10/2025,,,239,,,,236,,,-,,,,234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,"Bullhorn, Inc.",One stop,,L + 5.50,(d),,6.57,,10/2025,,78,,,77,,,-,,,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,"Bullhorn, Inc.",One stop,,L + 0.00,(d),,6.57,,10/2025,,59,,,55,,,-,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,"Calabrio, Inc.  !~",One stop,,L + 6.50,(c),,7.50,,06/2025,,24880,,,24895,,,1.1,,,24880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,"Calabrio, Inc.",One stop,,L + 6.50,(a),,7.50,,06/2025,,72,,,72,,,-,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,Centrify Corporation  *#,One stop,,L + 8.25,(c),,9.33,,08/2024,,23299,,,23339,,,1.0,,,22367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Centrify Corporation,One stop,,P + 7.25,(f),,10.50,,08/2024,,200,,,202,,,-,,,192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,"Clearwater Analytics, LLC  ^*#",One stop,,L + 5.50,(d),,7.09,,09/2022,,16458,,,16454,,,0.7,,,16458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,"Clearwater Analytics, LLC  *",One stop,,L + 5.50,(d),,6.50,,09/2022,,6056,,,6090,,,0.3,,,6056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,"Clearwater Analytics, LLC  +",One stop,,L + 5.50,(d),,6.50,,09/2022,,992,,,976,,,-,,,992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,"Clearwater Analytics, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,09/2022,,-,,,(3),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,"Cloudbees, Inc.",One stop,,L + 9.00,(a),,9.50 cash/0.50 PIK,,05/2023,,4209,,,4246,,,0.2,,,4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,"Cloudbees, Inc.",One stop,,L + 9.00,(a),,9.50 cash/0.50 PIK,,05/2023,,2771,,,2681,,,0.1,,,2758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,"Cloudbees, Inc.",One stop,,L + 9.00,(a),,9.50 cash/0.50 PIK,,05/2023,,1468,,,1484,,,0.1,,,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,"Cloudbees, Inc.",One stop,,L + 8.50,,,N/A  (6),,05/2023,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,"Confluence Technologies, Inc.  +~",One stop,,L + 5.75,(a),,6.75,,03/2024,,45117,,,44865,,,1.9,,,44666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,"Confluence Technologies, Inc.",One stop,,L + 5.75,(a),,6.75,,03/2024,,69,,,68,,,-,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,"Connexin Software, Inc.  !~",One stop,,L + 8.50,(a),,9.50,,02/2024,,7550,,,7621,,,0.3,,,7550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,"Connexin Software, Inc.",One stop,,L + 8.50,(a),,9.50,,02/2024,,20,,,20,,,-,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,"Convercent, Inc.",One stop,,L + 9.00,(c),,8.25 cash/2.75 PIK,,12/2024,,2776,,,2701,,,0.1,,,2810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,"Convercent, Inc.",Subordinated debt,,N/A,,,4.00,,11/2020,,138,,,138,,,-,,,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,"Convercent, Inc.",One stop,,L + 9.00,(c),,8.25 cash/2.75 PIK,,12/2024,,20,,,20,,,-,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,"Convercent, Inc.",One stop,,L + 6.25,,,N/A  (6),,12/2024,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,Daxko Acquisition Corporation  ^*#,One stop,,L + 4.75,(c),,5.75,,09/2023,,22002,,,22260,,,0.9,,,22002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,Daxko Acquisition Corporation,One stop,,L + 4.75,(a)(c),,5.75,,09/2023,,68,,,68,,,-,,,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,"Digital Guardian, Inc.  !",One stop,,L + 9.50,(c),,7.93 cash/3.00 PIK,,06/2023,,8666,,,8973,,,0.4,,,8963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,"Digital Guardian, Inc.",Subordinated debt,,N/A,,,8.00 PIK,,06/2023,,9,,,7,,,-,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,"Digital Guardian, Inc.",One stop,,L + 5.00,,,N/A  (6),,06/2023,,-,,,-,,,-,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,DISA Holdings Acquisition Subsidiary Corp.  +~,Senior loan,,L + 4.00,(c),,5.26,,06/2022,,9840,,,9927,,,0.4,,,8758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,,L + 4.00,(c),,5.00,,06/2022,,1448,,,1448,,,0.1,,,1289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,DISA Holdings Acquisition Subsidiary Corp  .(5),Senior loan,,L + 4.00,,,N/A  (6),,06/2022,,-,,,3,,,-,,,(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,"E2open, LLC  *#+!~",One stop,,L + 5.75,(c),,6.75,,11/2024,,86120,,,87042,,,3.6,,,84398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,"E2open, LLC  (5)",One stop,,L + 5.75,,,N/A  (6),,11/2024,,-,,,(5),,,-,,,(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,,"EGD Security Systems, LLC  ^*#",One stop,,L + 5.75,(c),,7.10,,06/2023,,30092,,,30486,,,1.3,,,30092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,,"EGD Security Systems, LLC",One stop,,L + 5.75,(c),,6.99,,06/2023,,1258,,,1257,,,0.1,,,1258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,,"EGD Security Systems, LLC  #",One stop,,L + 5.75,(c),,7.10,,06/2023,,644,,,665,,,-,,,644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
261,,"EGD Security Systems, LLC  #",One stop,,L + 5.75,(c),,7.10,,06/2023,,575,,,571,,,-,,,575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,,"EGD Security Systems, LLC  (5)",One stop,,L + 5.75,,,N/A  (6),,06/2023,,-,,,(1),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,916,,,898,,,-,,,824,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,30,,,29,,,-,,,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,,EWC Growth Partners LLC,One stop,,L + 5.50,(c),,6.50,,03/2026,,18,,,18,,,-,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
266,,"GS Acquisitionco, Inc.  *#+!~",One stop,,L + 5.75,(c),,6.83,,05/2024,,54184,,,54603,,,2.3,,,54184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,,"GS Acquisitionco, Inc.  *#",One stop,,L + 5.75,(c),,6.83,,05/2024,,12788,,,13110,,,0.5,,,12788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,,"GS Acquisitionco, Inc.  #",One stop,,L + 5.75,(c),,6.83,,05/2024,,,3294,,,,3378,,,0.1,,,,3294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,,"GS Acquisitionco, Inc.  +~",One stop,,L + 5.75,(c),,6.83,,05/2024,,3040,,,3118,,,0.1,,,3040,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,,"GS Acquisitionco, Inc.  #",One stop,,L + 5.75,(c),,6.83,,05/2024,,1904,,,1952,,,0.1,,,1904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
273,,"GS Acquisitionco, Inc.",One stop,,L + 5.75,(d),,6.83,,05/2024,,90,,,88,,,0,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,"GS Acquisitionco, Inc.",One stop,,L + 5.75,(c)(d),,6.85,,05/2024,,75,,,75,,,0,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,"GS Acquisitionco, Inc.",One stop,,L + 5.75,,,N/A  (6),,05/2024,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,"HealthcareSource HR, Inc.  *#",One stop,,L + 6.25,(c),,7.25,,05/2023,,33830,,,33862,,,1.4,,,33830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,"HealthcareSource HR, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,05/2023,,0,,,(2),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,"HealthEdge Software, Inc.",One stop,,L + 6.25,(a),,7.25,,04/2026,,2000,,,1957,,,0.1,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,"HealthEdge Software, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,04/2026,,0,,,(1),,,0,,,(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,"HealthEdge Software, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,04/2026,,0,,,(2),,,0,,,(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,"HSI Halo Acquisition, Inc  .+~",One stop,,L + 5.75,(a),,6.75,,08/2026,,6330,,,6289,,,0.3,,,6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,"HSI Halo Acquisition, Inc.",One stop,,L + 5.75,(a),,6.75,,08/2026,,311,,,305,,,0,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,"HSI Halo Acquisition, Inc.",One stop,,P + 4.75,(f),,8.00,,09/2025,,64,,,63,,,0,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,Hydraulic Authority III Limited  ~(8)(9)(10),One stop,,L + 6.00,(i)(j)(k),,7.00,,11/2025,,12308,,,12526,,,0.5,,,11878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,Hydraulic Authority III Limited  (8)(9)(10),One stop,,No Value,,,11.00 PIK,,11/2028,,198,,,202,,,0,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,Hydraulic Authority III Limited  (8)(9)(10),One stop,,L + 6.00,(d),,7.00,,11/2025,,59,,,59,,,0,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,"ICIMS, Inc.  !~",One stop,,L + 6.50,(c),,7.50,,09/2024,,14355,,,14560,,,0.6,,,14355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,"ICIMS, Inc.  !~",One stop,,L + 6.50,(c),,7.50,,09/2024,,4500,,,4580,,,0.2,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,"ICIMS, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,09/2024,,0,,,(1),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,"Imprivata, Inc.  *#+~",Senior loan,,L + 4.00,(c),,5.00,,10/2023,,9237,,,9435,,,0.4,,,9237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,"Imprivata, Inc.  (5)",Senior loan,,L + 4.00,,,N/A  (6),,10/2023,,0,,,(1),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,"Infinisource, Inc  .+~",One stop,,L + 4.50,(c),,5.50,,10/2026,,29254,,,28811,,,1.2,,,28377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,"Infinisource, Inc.",One stop,,L + 4.50,(c),,5.50,,10/2026,,111,,,110,,,0,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,"Infinisource, Inc.  (5)",One stop,,L + 4.50,,,N/A  (6),,10/2026,,0,,,(2),,,0,,,(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,"Infinisource, Inc.  (5)",One stop,,L + 4.50,,,N/A  (6),,10/2026,,0,,,(3),,,0,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,"Infogix, Inc.  *#",One stop,,L + 7.00,(c),,8.00,,04/2024,,7197,,,7336,,,0.3,,,7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,"Infogix, Inc.  *+",One stop,,L + 7.00,(c),,7.30,,04/2024,,1110,,,1128,,,0,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,"Infogix, Inc.",One stop,,L + 7.00,(c),,8.00,,04/2024,,90,,,91,,,0,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
=======
273,,"GS Acquisitionco, Inc.",One stop,,L + 5.75,(d),,6.83,,05/2024,,90,,,88,,,-,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,,"GS Acquisitionco, Inc.",One stop,,L + 5.75,(c)(d),,6.85,,05/2024,,75,,,75,,,-,,,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,,"GS Acquisitionco, Inc.",One stop,,L + 5.75,,,N/A  (6),,05/2024,,-,,,-,,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,,"HealthcareSource HR, Inc.  *#",One stop,,L + 6.25,(c),,7.25,,05/2023,,33830,,,33862,,,1.4,,,33830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,,"HealthcareSource HR, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,05/2023,,-,,,(2),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,,"HealthEdge Software, Inc.",One stop,,L + 6.25,(a),,7.25,,04/2026,,2000,,,1957,,,0.1,,,1955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,,"HealthEdge Software, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,04/2026,,-,,,(1),,,-,,,(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,,"HealthEdge Software, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,04/2026,,-,,,(2),,,-,,,(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,,"HSI Halo Acquisition, Inc  .+~",One stop,,L + 5.75,(a),,6.75,,08/2026,,6330,,,6289,,,0.3,,,6202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,,"HSI Halo Acquisition, Inc.",One stop,,L + 5.75,(a),,6.75,,08/2026,,311,,,305,,,-,,,297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,,"HSI Halo Acquisition, Inc.",One stop,,P + 4.75,(f),,8.00,,09/2025,,64,,,63,,,-,,,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,,Hydraulic Authority III Limited  ~(8)(9)(10),One stop,,L + 6.00,(i)(j)(k),,7.00,,11/2025,,12308,,,12526,,,0.5,,,11878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,,Hydraulic Authority III Limited  (8)(9)(10),One stop,,N/A,,,11.00 PIK,,11/2028,,198,,,202,,,-,,,196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,,Hydraulic Authority III Limited  (8)(9)(10),One stop,,L + 6.00,(d),,7.00,,11/2025,,59,,,59,,,-,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,,"ICIMS, Inc.  !~",One stop,,L + 6.50,(c),,7.50,,09/2024,,14355,,,14560,,,0.6,,,14355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,,"ICIMS, Inc.  !~",One stop,,L + 6.50,(c),,7.50,,09/2024,,4500,,,4580,,,0.2,,,4500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,,"ICIMS, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,09/2024,,-,,,(1),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,,"Imprivata, Inc.  *#+~",Senior loan,,L + 4.00,(c),,5.00,,10/2023,,9237,,,9435,,,0.4,,,9237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,,"Imprivata, Inc.  (5)",Senior loan,,L + 4.00,,,N/A  (6),,10/2023,,-,,,(1),,,-,,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,,"Infinisource, Inc  .+~",One stop,,L + 4.50,(c),,5.50,,10/2026,,29254,,,28811,,,1.2,,,28377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,,"Infinisource, Inc.",One stop,,L + 4.50,(c),,5.50,,10/2026,,111,,,110,,,-,,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,,"Infinisource, Inc.  (5)",One stop,,L + 4.50,,,N/A  (6),,10/2026,,-,,,(2),,,-,,,(5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,,"Infinisource, Inc.  (5)",One stop,,L + 4.50,,,N/A  (6),,10/2026,,-,,,(3),,,-,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
296,,"Infogix, Inc.  *#",One stop,,L + 7.00,(c),,8.00,,04/2024,,7197,,,7336,,,0.3,,,7052,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
297,,"Infogix, Inc.  *+",One stop,,L + 7.00,(c),,7.30,,04/2024,,1110,,,1128,,,-,,,1088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,,"Infogix, Inc.",One stop,,L + 7.00,(c),,8.00,,04/2024,,90,,,91,,,-,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
>>>>>>> GSBD
299,,"Property Brands, Inc  .#",One stop,,L + 5.75,(c),,6.75,,01/2024,,19895,,,20102,,,0.8,,,18901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,,"Property Brands, Inc.  +~",One stop,,L + 5.75,(c),,6.75,,01/2024,,13702,,,13576,,,0.6,,,13016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,,"Property Brands, Inc.  *#",One stop,,L + 5.75,(c),,6.75,,01/2024,,6669,,,6787,,,0.3,,,6336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,,"Property Brands, Inc.^~",One stop,,L + 5.75,(c),,6.75,,01/2024,,3251,,,3364,,,0.1,,,3088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,,"Property Brands, Inc.",One stop,,L + 5.75,(c),,6.75,,01/2024,,1428,,,1475,,,0.1,,,1356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,,"Property Brands, Inc.  #",One stop,,L + 5.75,(c),,6.75,,01/2024,,1209,,,1249,,,0.1,,,1148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
305,,"Property Brands, Inc.",One stop,,L + 5.75,(c),,6.75,,01/2024,,1191,,,1233,,,0,,,1132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,,"Property Brands, Inc.",One stop,,L + 5.75,(c),,6.75,,01/2024,,955,,,948,,,0,,,907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,,"Property Brands, Inc.",One stop,,L + 5.75,(c),,6.75,,01/2024,,502,,,520,,,0,,,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,,"Property Brands, Inc.",One stop,,L + 5.75,(c),,6.75,,01/2024,,200,,,199,,,0,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,,"Property Brands, Inc.  (5)",One stop,,L + 5.75,,,N/A  (6),,01/2024,,0,,,(2),,,0,,,(175),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,,"Integral Ad Science, Inc  .!~",One stop,,L + 7.25,(c),,7.00 cash/1.25 PIK,,07/2024,,15832,,,16031,,,0.7,,,15515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,,"Integral Ad Science, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,07/2023,,0,,,(3),,,0,,,(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,,"Integration Appliance, Inc.  ^*!~",One stop,,L + 7.25,(c),,9.43,,08/2023,,68335,,,69184,,,2.9,,,68335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,,"Integration Appliance, Inc.",One stop,,L + 7.25,(a),,8.25,,08/2023,,,973,,,,969,,,0,,,,973,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,,Internet Truckstop Group LLC  *#!,One stop,,L + 5.50,(c),,6.50,,04/2025,,22644,,,23254,,,0.9,,,22192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,,Internet Truckstop Group LLC  (5),One stop,,L + 5.50,,,N/A  (6),,04/2025,,0,,,(2),,,0,,,(6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,,"Invoice Cloud, Inc.  !",One stop,,L + 6.50,(c),,4.25 cash/3.25 PIK,,02/2024,,6467,,,6508,,,0.3,,,6337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,,"Invoice Cloud, Inc.",One stop,,L + 7.75,(c),,4.25 cash/3.25 PIK,,02/2024,,2168,,,2167,,,0.1,,,2120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,,"Invoice Cloud, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,02/2024,,0,,,0,,,0,,,(2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,,"JAMF Holdings, Inc.  !~",One stop,,L + 7.00,(c),,8.00,,11/2022,,13559,,,13746,,,0.6,,,13559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,,"JAMF Holdings, Inc.",One stop,,L + 7.00,,,N/A  (6),,11/2022,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,,"Kareo, Inc.",One stop,,L + 9.00,(a),,10.00,,06/2022,,10273,,,10403,,,0.4,,,10358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
