,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
139,"TIDI Products, LLC*",,,One stop,,,,L + 6.50,,,,7.75,,,,07/2018,,,,12631,,,,12441,,,,1.7,,,,12631,
140,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2015,,,,4049,,,,4022,,,,0.6,,,,4049,
141,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2015,,,,56,,,,56,,,,0,,,,56,
=======
124,"Chase Industries, Inc.",,,One stop,,,,P + 4.50,,,,7.75,,,,09/2020,,,,277,,,,255,,,,-,,,,255,
125,"Chase Industries, Inc.  (3)",,,One stop,,,,L + 5.75,,,,N/A,(4),,,09/2020,,,,-,,,,(48,,,,-,,,,(49,
126,ICCN Acquisition Corp.  (3),,,One stop,,,,L + 5.25,,,,N/A,(4),,,03/2019,,,,-,,,,(4,,,,-,,,,-,
127,ICCN Acquisition Corp.ˆ,,,One stop,,,,L + 5.25,,,,6.25,,,,03/2019,,,,3998,,,,3936,,,,0.5,,,,3998,
128,ICCN Acquisition Corp.  (3),,,One stop,,,,L + 5.25,,,,N/A,(4),,,03/2019,,,,-,,,,(14,,,,-,,,,-,
129,"Metal Spinners, Inc.*",,,Senior loan,,,,L + 7.50,,,,9.00,,,,04/2015,,,,1294,,,,1288,,,,0.2,,,,1294,
130,"Metal Spinners, Inc.*",,,Senior loan,,,,L + 7.50,,,,9.00,,,,04/2015,,,,2536,,,,2524,,,,0.3,,,,2536,
131,Onicon Incorporated  (3),,,One stop,,,,L + 4.50,,,,N/A,(4),,,12/2017,,,,-,,,,(10,,,,-,,,,-,
132,Onicon Incorporated,,,One stop,,,,L + 4.50,,,,5.50,,,,12/2017,,,,3141,,,,3100,,,,0.4,,,,3141,
133,"Pasternack Enterprises,  Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,12/2017,,,,1126,,,,1119,,,,0.2,,,,1126,
134,"Plex Systems, Inc.  (3)",,,Senior loan,,,,L + 7.50,,,,N/A,(4),,,06/2018,,,,-,,,,(26,,,,-,,,,-,
135,"Plex Systems, Inc.*ˆ",,,Senior loan,,,,L + 7.50,,,,8.75,,,,06/2018,,,,18797,,,,18409,,,,2.6,,,,18797,
136,"Sunless Merger Sub, Inc.  (3)",,,Senior loan,,,,L + 5.25,,,,N/A,(4),,,07/2016,,,,-,,,,-,,,,-,,,,(26,
137,"Sunless Merger Sub, Inc.*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,07/2016,,,,1816,,,,1813,,,,0.2,,,,1271,
138,"TIDI Products, LLC  (3)",,,One stop,,,,L + 6.50,,,,N/A,(4),,,07/2017,,,,-,,,,(11,,,,-,,,,-,
139,"TIDI Products, LLC*",,,One stop,,,,L + 6.50,,,,7.75,,,,07/2018,,,,12631,,,,12441,,,,1.7,,,,12631,
140,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2015,,,,4049,,,,4022,,,,0.6,,,,4049,
141,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2015,,,,56,,,,56,,,,-,,,,56,
>>>>>>> GSBD
142,"Vintage Parts, Inc.*",,,One stop,,,,L + 4.50,,,,5.75,,,,12/2015,,,,846,,,,850,,,,0.1,,,,846,
143,,,,,,,,,,,,,,,,,,,,71604,,,,70528,,,,9.6,,,,70752,
144,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
145,Diversified Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
146,"Accellos, Inc.  (3)",,,One stop,,,,L + 5.75,,,,No Value,(4),,,07/2020,,,,0,,,,(20,,,,0,,,,0,
147,"Accellos, Inc.ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,07/2020,,,,31113,,,,30740,,,,4.2,,,,31113,
148,"Aderant North America, Inc.*",,,Senior loan,,,,L + 4.25,,,,5.25,,,,12/2018,,,,4220,,,,4190,,,,0.6,,,,4220,
149,Agility Recovery Solutions Inc.  (3),,,One stop,,,,L + 6.75,,,,No Value,(4),,,09/2018,,,,0,,,,(6,,,,0,,,,0,
150,Agility Recovery Solutions Inc.*,,,One stop,,,,L + 6.75,,,,8.00,,,,09/2018,,,,8128,,,,7995,,,,1.1,,,,8128,
151,Bomgar Corporation  (3),,,One stop,,,,L + 6.00,,,,No Value,(4),,,05/2019,,,,0,,,,(18,,,,0,,,,(20,
152,Bomgar Corporation*,,,One stop,,,,L + 6.00,,,,7.00,,,,05/2020,,,,29423,,,,28935,,,,4.0,,,,29129,
153,"Daxko, LLC  (3)",,,One stop,,,,L + 7.75,,,,No Value,(4),,,03/2019,,,,0,,,,(24,,,,0,,,,0,
=======
146,"Accellos, Inc.  (3)",,,One stop,,,,L + 5.75,,,,N/A,(4),,,07/2020,,,,-,,,,(20,,,,-,,,,-,
147,"Accellos, Inc.ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,07/2020,,,,31113,,,,30740,,,,4.2,,,,31113,
148,"Aderant North America, Inc.*",,,Senior loan,,,,L + 4.25,,,,5.25,,,,12/2018,,,,4220,,,,4190,,,,0.6,,,,4220,
149,Agility Recovery Solutions Inc.  (3),,,One stop,,,,L + 6.75,,,,N/A,(4),,,09/2018,,,,-,,,,(6,,,,-,,,,-,
150,Agility Recovery Solutions Inc.*,,,One stop,,,,L + 6.75,,,,8.00,,,,09/2018,,,,8128,,,,7995,,,,1.1,,,,8128,
151,Bomgar Corporation  (3),,,One stop,,,,L + 6.00,,,,N/A,(4),,,05/2019,,,,-,,,,(18,,,,-,,,,(20,
152,Bomgar Corporation*,,,One stop,,,,L + 6.00,,,,7.00,,,,05/2020,,,,29423,,,,28935,,,,4.0,,,,29129,
153,"Daxko, LLC  (3)",,,One stop,,,,L + 7.75,,,,N/A,(4),,,03/2019,,,,-,,,,(24,,,,-,,,,-,
>>>>>>> GSBD
154,"Daxko, LLC",,,One stop,,,,L + 7.75,,,,8.75,,,,03/2019,,,,16840,,,,16564,,,,2.3,,,,16840,
155,"EAG, INC. (Evans Analytical Group)*",,,Senior loan,,,,L + 4.00,,,,5.00,,,,07/2017,,,,2401,,,,2377,,,,0.3,,,,2401,
156,"Integration Appliance,  Inc.",,,Senior loan,,,,L + 8.25,,,,9.50,,,,09/2018,,,,719,,,,711,,,,0.1,,,,719,
157,"Integration Appliance,  Inc.",,,Senior loan,,,,L + 8.25,,,,9.50,,,,09/2018,,,,5396,,,,5288,,,,0.7,,,,5396,
158,"Integration Appliance,  Inc.",,,Senior loan,,,,L + 8.25,,,,9.50,,,,06/2019,,,,7914,,,,7727,,,,1.1,,,,7914,
<<<<<<< HEAD
159,"Marathon Data Operating Co., LLC  (3)",,,One stop,,,,L + 6.25,,,,No Value,(4),,,08/2017,,,,0,,,,(6,,,,0,,,,0,
160,"Marathon Data Operating Co., LLC",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,4595,,,,4528,,,,0.6,,,,4595,
161,"Navex Global, Inc.  (3)",,,One stop,,,,L + 5.50,,,,No Value,(4),,,12/2016,,,,0,,,,(19,,,,0,,,,0,
162,"Navex Global, Inc.*",,,One stop,,,,L + 5.50,,,,6.50,,,,12/2016,,,,19045,,,,18718,,,,2.6,,,,19045,
163,"NetSmart Technologies, Inc.*",,,One stop,,,,L + 7.53,,,,8.78,,,,12/2017,,,,8068,,,,8012,,,,1.1,,,,8068,
164,"NetSmart Technologies,  Inc.",,,One stop,,,,L + 7.52,,,,8.77,,,,12/2017,,,,637,,,,629,,,,0.1,,,,637,
165,"PC Helps Support, LLC  (3)",,,Senior loan,,,,L + 5.25,,,,No Value,(4),,,09/2017,,,,0,,,,(2,,,,0,,,,0,
166,"PC Helps Support, LLC",,,Senior loan,,,,L + 5.25,,,,6.51,,,,09/2017,,,,1707,,,,1692,,,,0.2,,,,1707,
167,"Secure-24, LLC  (3)",,,One stop,,,,L + 6.25,,,,No Value,(4),,,08/2017,,,,0,,,,(5,,,,0,,,,0,
168,"Secure-24, LLC*",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,10433,,,,10249,,,,1.4,,,,10433,
169,"Secure-24, LLCˆ",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,1526,,,,1507,,,,0.2,,,,1526,
170,"SoftWriters, Inc.  (3)",,,One stop,,,,L + 5.00,,,,No Value,(4),,,05/2019,,,,0,,,,(2,,,,0,,,,0,
171,"SoftWriters, Inc.  (3)",,,One stop,,,,L + 5.00,,,,No Value,(4),,,05/2019,,,,0,,,,(3,,,,0,,,,0,
=======
159,"Marathon Data Operating Co., LLC  (3)",,,One stop,,,,L + 6.25,,,,N/A,(4),,,08/2017,,,,-,,,,(6,,,,-,,,,-,
160,"Marathon Data Operating Co., LLC",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,4595,,,,4528,,,,0.6,,,,4595,
161,"Navex Global, Inc.  (3)",,,One stop,,,,L + 5.50,,,,N/A,(4),,,12/2016,,,,-,,,,(19,,,,-,,,,-,
162,"Navex Global, Inc.*",,,One stop,,,,L + 5.50,,,,6.50,,,,12/2016,,,,19045,,,,18718,,,,2.6,,,,19045,
163,"NetSmart Technologies, Inc.*",,,One stop,,,,L + 7.53,,,,8.78,,,,12/2017,,,,8068,,,,8012,,,,1.1,,,,8068,
164,"NetSmart Technologies,  Inc.",,,One stop,,,,L + 7.52,,,,8.77,,,,12/2017,,,,637,,,,629,,,,0.1,,,,637,
165,"PC Helps Support, LLC  (3)",,,Senior loan,,,,L + 5.25,,,,N/A,(4),,,09/2017,,,,-,,,,(2,,,,-,,,,-,
166,"PC Helps Support, LLC",,,Senior loan,,,,L + 5.25,,,,6.51,,,,09/2017,,,,1707,,,,1692,,,,0.2,,,,1707,
167,"Secure-24, LLC  (3)",,,One stop,,,,L + 6.25,,,,N/A,(4),,,08/2017,,,,-,,,,(5,,,,-,,,,-,
168,"Secure-24, LLC*",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,10433,,,,10249,,,,1.4,,,,10433,
169,"Secure-24, LLCˆ",,,One stop,,,,L + 6.25,,,,7.50,,,,08/2017,,,,1526,,,,1507,,,,0.2,,,,1526,
170,"SoftWriters, Inc.  (3)",,,One stop,,,,L + 5.00,,,,N/A,(4),,,05/2019,,,,-,,,,(2,,,,-,,,,-,
171,"SoftWriters, Inc.  (3)",,,One stop,,,,L + 5.00,,,,N/A,(4),,,05/2019,,,,-,,,,(3,,,,-,,,,-,
>>>>>>> GSBD
172,"SoftWriters, Inc.",,,One stop,,,,L + 5.00,,,,6.00,,,,05/2019,,,,6411,,,,6387,,,,0.9,,,,6411,
173,"Source Medical Solutions, Inc.",,,Second lien,,,,L + 8.00,,,,9.00,,,,03/2018,,,,9294,,,,9146,,,,1.3,,,,9294,
174,,,,,,,,,,,,,,,,,,,,167870,,,,165290,,,,22.8,,,,167556,
175,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
176,Electronics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
177,"ECI Acquisition Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,No Value,(4),,,03/2019,,,,0,,,,(17,,,,0,,,,0,
178,"ECI Acquisition Holdings, Inc.ˆ",,,One stop,,,,L + 6.25,,,,7.25,,,,03/2019,,,,22215,,,,21844,,,,3.0,,,,22215,
179,"ECI Acquisition Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,No Value,(4),,,03/2019,,,,0,,,,(79,,,,0,,,,0,
180,"Rogue Wave Holdings, Inc.*ˆ",,,One stop,,,,L + 8.08,,,,9.10,,,,12/2018,,,,10613,,,,10500,,,,1.4,,,,10613,
181,"Sloan Company, Inc., The  (3)",,,One stop,,,,L + 7.50,,,,No Value,(4),,,10/2018,,,,0,,,,(13,,,,0,,,,0,
182,"Sloan Company, Inc.,  The*ˆ",,,One stop,,,,L + 7.50,,,,8.75,,,,10/2018,,,,13027,,,,12895,,,,1.8,,,,13027,
183,Sparta Holding  Corporation  (3),,,One stop,,,,L + 5.25,,,,No Value,(4),,,07/2020,,,,0,,,,(37,,,,0,,,,(30,
184,Sparta Holding Corporation*ˆ,,,One stop,,,,L + 6.75,,,,6.25 cash/  1.50 PIK,,,,07/2020,,,,23358,,,,23075,,,,3.2,,,,23124,
185,Syncsort Incorporated  (3),,,Senior loan,,,,L + 4.75,,,,No Value,(4),,,03/2019,,,,0,,,,(3,,,,0,,,,0,
186,Syncsort Incorporated  (3),,,Senior loan,,,,L + 4.75,,,,No Value,(4),,,03/2019,,,,0,,,,(13,,,,0,,,,0,
=======
177,"ECI Acquisition Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,N/A,(4),,,03/2019,,,,-,,,,(17,,,,-,,,,-,
178,"ECI Acquisition Holdings, Inc.ˆ",,,One stop,,,,L + 6.25,,,,7.25,,,,03/2019,,,,22215,,,,21844,,,,3.0,,,,22215,
179,"ECI Acquisition Holdings, Inc.  (3)",,,One stop,,,,L + 6.25,,,,N/A,(4),,,03/2019,,,,-,,,,(79,,,,-,,,,-,
180,"Rogue Wave Holdings, Inc.*ˆ",,,One stop,,,,L + 8.08,,,,9.10,,,,12/2018,,,,10613,,,,10500,,,,1.4,,,,10613,
181,"Sloan Company, Inc., The  (3)",,,One stop,,,,L + 7.50,,,,N/A,(4),,,10/2018,,,,-,,,,(13,,,,-,,,,-,
182,"Sloan Company, Inc.,  The*ˆ",,,One stop,,,,L + 7.50,,,,8.75,,,,10/2018,,,,13027,,,,12895,,,,1.8,,,,13027,
183,Sparta Holding  Corporation  (3),,,One stop,,,,L + 5.25,,,,N/A,(4),,,07/2020,,,,-,,,,(37,,,,-,,,,(30,
184,Sparta Holding Corporation*ˆ,,,One stop,,,,L + 6.75,,,,6.25 cash/  1.50 PIK,,,,07/2020,,,,23358,,,,23075,,,,3.2,,,,23124,
185,Syncsort Incorporated  (3),,,Senior loan,,,,L + 4.75,,,,N/A,(4),,,03/2019,,,,-,,,,(3,,,,-,,,,-,
186,Syncsort Incorporated  (3),,,Senior loan,,,,L + 4.75,,,,N/A,(4),,,03/2019,,,,-,,,,(13,,,,-,,,,-,
>>>>>>> GSBD
187,Syncsort Incorporated*,,,Senior loan,,,,L + 4.75,,,,5.75,,,,03/2019,,,,6143,,,,6089,,,,0.8,,,,6143,
188,"Systems Maintenance Services Holding, Inc.ˆ",,,Senior loan,,,,L + 4.00,,,,5.00,,,,10/2019,,,,2650,,,,2639,,,,0.4,,,,2650,
189,"Taxware, LLC*ˆ",,,Second lien,,,,L + 8.38,,,,9.38,,,,10/2019,,,,19979,,,,19678,,,,2.7,,,,19979,
190,"Watchfire Enterprises,  Inc.",,,Second lien,,,,L + 8.00,,,,9.00,,,,10/2021,,,,9435,,,,9270,,,,1.3,,,,9435,
191,,,,,,,,,,,,,,,,,,,,107420,,,,105828,,,,14.6,,,,107156,
192,Finance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
193,"Ascensus, Inc.  (3)",,,One stop,,,,L + 4.00,,,,No Value,(4),,,11/2018,,,,0,,,,(16,,,,0,,,,0,
194,"Ascensus, Inc.ˆ",,,One stop,,,,L + 4.00,,,,5.00,,,,12/2019,,,,4193,,,,4120,,,,0.6,,,,4193,
195,"Ascensus, Inc.ˆ",,,One stop,,,,L + 8.00,,,,9.00,,,,12/2020,,,,6337,,,,6142,,,,0.9,,,,6337,
196,Pillar Processing LLC*  (6),,,Senior loan,,,,L + 5.50,,,,5.72,,,,11/2018,,,,447,,,,445,,,,0,,,,0,
197,Pillar Processing LLC*  (6),,,Senior loan,,,,No Value,,,,14.50,,,,05/2019,,,,2377,,,,2368,,,,0,,,,0,
198,,,,,,,,,,,,,,,,,,,,13354,,,,13059,,,,1.5,,,,10530,
199,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"MyWebGrocer, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,No Value,(4),,,05/2018,,,,0,,,,(12,,,,0,,,,0,
=======
193,"Ascensus, Inc.  (3)",,,One stop,,,,L + 4.00,,,,N/A,(4),,,11/2018,,,,-,,,,(16,,,,-,,,,-,
194,"Ascensus, Inc.ˆ",,,One stop,,,,L + 4.00,,,,5.00,,,,12/2019,,,,4193,,,,4120,,,,0.6,,,,4193,
195,"Ascensus, Inc.ˆ",,,One stop,,,,L + 8.00,,,,9.00,,,,12/2020,,,,6337,,,,6142,,,,0.9,,,,6337,
196,Pillar Processing LLC*  (6),,,Senior loan,,,,L + 5.50,,,,5.72,,,,11/2018,,,,447,,,,445,,,,-,,,,-,
197,Pillar Processing LLC*  (6),,,Senior loan,,,,N/A,,,,14.50,,,,05/2019,,,,2377,,,,2368,,,,-,,,,-,
198,,,,,,,,,,,,,,,,,,,,13354,,,,13059,,,,1.5,,,,10530,
199,Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,"MyWebGrocer, Inc.  (3)",,,Senior loan,,,,L + 4.75,,,,N/A,(4),,,05/2018,,,,-,,,,(12,,,,-,,,,-,
>>>>>>> GSBD
201,"MyWebGrocer, Inc.ˆ",,,Senior loan,,,,L + 8.75,,,,6.00 cash/  4.00 PIK,,,,05/2018,,,,14271,,,,14093,,,,1.9,,,,14271,
202,"Teasdale Quality Foods, Inc.*",,,Senior loan,,,,L + 4.50,,,,5.75,,,,05/2018,,,,2674,,,,2653,,,,0.4,,,,2674,
203,,,,,,,,,,,,,,,,,,,,16945,,,,16734,,,,2.3,,,,16945,
204,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
205,"Advanced Pain Management Holdings, Inc.  (3)",,,Senior loan,,,,L + 5.00,,,,No Value,(4),,,02/2018,,,,0,,,,(8,,,,0,,,,0,
206,"Advanced Pain Management Holdings, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,02/2018,,,,7102,,,,7054,,,,1.0,,,,7102,
207,"Advanced Pain Management Holdings, Inc.",,,Senior loan,,,,L + 5.00,,,,6.25,,,,02/2018,,,,486,,,,481,,,,0.1,,,,486,
208,"Avatar International,  LLC  (3)",,,One stop,,,,L + 4.94,,,,No Value,(4),,,09/2016,,,,0,,,,(4,,,,0,,,,0,
=======
205,"Advanced Pain Management Holdings, Inc.  (3)",,,Senior loan,,,,L + 5.00,,,,N/A,(4),,,02/2018,,,,-,,,,(8,,,,-,,,,-,
206,"Advanced Pain Management Holdings, Inc.*",,,Senior loan,,,,L + 5.00,,,,6.25,,,,02/2018,,,,7102,,,,7054,,,,1.0,,,,7102,
207,"Advanced Pain Management Holdings, Inc.",,,Senior loan,,,,L + 5.00,,,,6.25,,,,02/2018,,,,486,,,,481,,,,0.1,,,,486,
208,"Avatar International,  LLC  (3)",,,One stop,,,,L + 4.94,,,,N/A,(4),,,09/2016,,,,-,,,,(4,,,,-,,,,-,
>>>>>>> GSBD
209,"Avatar International,  LLC*",,,One stop,,,,L + 7.89,,,,6.19 cash/  2.95 PIK,,,,09/2016,,,,7611,,,,7560,,,,0.7,,,,4947,
210,"Avatar International, LLC",,,One stop,,,,L + 7.89,,,,6.19 cash/  2.95 PIK,,,,09/2016,,,,1642,,,,1634,,,,0.1,,,,1067,
211,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
212,"Healthcare, Education and Childcare (Continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<<<<<<< HEAD
213,"California Cryobank,  LLC",,,One stop,,,,P + 4.25,,,,7.50,,,,08/2019,,,,86,,,,84,,,,0,,,,84,
214,"California Cryobank, LLCˆ",,,One stop,,,,L + 5.50,,,,6.50,,,,08/2019,,,,1550,,,,1535,,,,0.2,,,,1535,
215,"California Cryobank,  LLC  (3)",,,One stop,,,,L + 5.50,,,,No Value,(4),,,08/2019,,,,0,,,,(2,,,,0,,,,(2,
216,Certara L.P.  (3),,,One stop,,,,L + 6.25,,,,No Value,(4),,,12/2018,,,,0,,,,(18,,,,0,,,,0,
217,Certara L.P.*ˆ,,,One stop,,,,L + 6.25,,,,7.25,,,,12/2018,,,,22948,,,,22722,,,,3.1,,,,22948,
218,Data Innovations LLC,,,One stop,,,,L + 7.69,,,,8.69,,,,05/2019,,,,8800,,,,8619,,,,1.2,,,,8800,
219,Delta Educational Systems*,,,Senior loan,,,,P + 4.75,,,,8.00,,,,12/2016,,,,1646,,,,1627,,,,0.2,,,,1646,
220,Delta Educational  Systems,,,Senior loan,,,,L + 6.00,,,,No Value,(4),,,12/2016,,,,0,,,,0,,,,0,,,,0,
221,"Encore Rehabilitation Services, LLC  (3)",,,One stop,,,,L + 6.00,,,,No Value,(4),,,06/2017,,,,0,,,,(9,,,,0,,,,0,
222,"Encore Rehabilitation Services, LLC",,,One stop,,,,L + 6.00,,,,7.25,,,,06/2017,,,,4969,,,,4895,,,,0.7,,,,4969,
223,"G & H Wire Company,  Inc.  (3)",,,Senior loan,,,,L + 5.75,,,,No Value,(4),,,12/2017,,,,0,,,,(6,,,,0,,,,0,
224,"G & H Wire Company,  Inc.*ˆ",,,Senior loan,,,,L + 5.75,,,,6.75,,,,12/2017,,,,12902,,,,12766,,,,1.8,,,,12902,
225,"Global Healthcare Exchange, LLC  (3)",,,One stop,,,,L + 9.00,,,,No Value,(4),,,03/2020,,,,0,,,,(23,,,,0,,,,0,
=======
213,"California Cryobank,  LLC",,,One stop,,,,P + 4.25,,,,7.50,,,,08/2019,,,,86,,,,84,,,,-,,,,84,
214,"California Cryobank, LLCˆ",,,One stop,,,,L + 5.50,,,,6.50,,,,08/2019,,,,1550,,,,1535,,,,0.2,,,,1535,
215,"California Cryobank,  LLC  (3)",,,One stop,,,,L + 5.50,,,,N/A,(4),,,08/2019,,,,-,,,,(2,,,,-,,,,(2,
216,Certara L.P.  (3),,,One stop,,,,L + 6.25,,,,N/A,(4),,,12/2018,,,,-,,,,(18,,,,-,,,,-,
217,Certara L.P.*ˆ,,,One stop,,,,L + 6.25,,,,7.25,,,,12/2018,,,,22948,,,,22722,,,,3.1,,,,22948,
218,Data Innovations LLC,,,One stop,,,,L + 7.69,,,,8.69,,,,05/2019,,,,8800,,,,8619,,,,1.2,,,,8800,
219,Delta Educational Systems*,,,Senior loan,,,,P + 4.75,,,,8.00,,,,12/2016,,,,1646,,,,1627,,,,0.2,,,,1646,
220,Delta Educational  Systems,,,Senior loan,,,,L + 6.00,,,,N/A,(4),,,12/2016,,,,-,,,,-,,,,-,,,,-,
221,"Encore Rehabilitation Services, LLC  (3)",,,One stop,,,,L + 6.00,,,,N/A,(4),,,06/2017,,,,-,,,,(9,,,,-,,,,-,
222,"Encore Rehabilitation Services, LLC",,,One stop,,,,L + 6.00,,,,7.25,,,,06/2017,,,,4969,,,,4895,,,,0.7,,,,4969,
223,"G & H Wire Company,  Inc.  (3)",,,Senior loan,,,,L + 5.75,,,,N/A,(4),,,12/2017,,,,-,,,,(6,,,,-,,,,-,
224,"G & H Wire Company,  Inc.*ˆ",,,Senior loan,,,,L + 5.75,,,,6.75,,,,12/2017,,,,12902,,,,12766,,,,1.8,,,,12902,
225,"Global Healthcare Exchange, LLC  (3)",,,One stop,,,,L + 9.00,,,,N/A,(4),,,03/2020,,,,-,,,,(23,,,,-,,,,-,
>>>>>>> GSBD
226,"Global Healthcare Exchange, LLC",,,One stop,,,,L + 9.00,,,,10.00,,,,03/2020,,,,20087,,,,19723,,,,2.7,,,,20087,
227,GSDM Holdings Corp.,,,Senior loan,,,,L + 4.25,,,,5.25,,,,06/2019,,,,627,,,,624,,,,0.1,,,,627,
228,"Hospitalists Management Group, LLC",,,Senior loan,,,,L + 5.00,,,,6.77,,,,05/2018,,,,910,,,,896,,,,0.1,,,,864,
229,"Hospitalists Management Group, LLC",,,Senior loan,,,,L + 5.00,,,,6.51,,,,05/2017,,,,3672,,,,3608,,,,0.5,,,,3489,
230,"Hospitalists Management Group, LLC",,,Senior loan,,,,L + 5.00,,,,6.50,,,,05/2017,,,,427,,,,421,,,,0.1,,,,406,
231,"IntegraMed America,  Inc.  (3)",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2017,,,,811,,,,800,,,,0.1,,,,811,
232,"IntegraMed America,  Inc.*ˆ",,,One stop,,,,L + 7.25,,,,8.50,,,,09/2017,,,,15587,,,,15376,,,,2.1,,,,15587,
233,"Joerns Healthcare, LLC",,,One stop,,,,L + 5.00,,,,6.00,,,,05/2020,,,,9794,,,,9702,,,,1.3,,,,9782,
234,"Maverick Healthcare Group, LLC*",,,Senior loan,,,,L + 5.50,,,,7.25,,,,12/2016,,,,1989,,,,1964,,,,0.3,,,,1949,
<<<<<<< HEAD
235,"Northwestern Management Services, LLC",,,Senior loan,,,,P + 4.00,,,,7.25,,,,10/2017,,,,114,,,,104,,,,0,,,,114,
236,"Northwestern Management Services, LLC*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,10/2017,,,,3964,,,,3913,,,,0.5,,,,3964,
237,"Northwestern Management Services, LLC",,,Senior loan,,,,L + 5.25,,,,6.50,,,,10/2017,,,,47,,,,44,,,,0,,,,47,
238,Onsite Holding Corp.  (3),,,One stop,,,,L + 5.25,,,,No Value,(4),,,06/2020,,,,0,,,,(42,,,,0,,,,0,
239,Onsite Holding Corp.*ˆ,,,One stop,,,,L + 5.25,,,,6.25,,,,06/2020,,,,26921,,,,26696,,,,3.7,,,,26921,
240,"Paradigm Management Services, LLCˆ",,,Senior loan,,,,L + 4.50,,,,5.50,,,,01/2019,,,,2740,,,,2719,,,,0.4,,,,2740,
241,"Pentec Acquisition Sub, Inc.  (3)",,,Senior loan,,,,L + 5.25,,,,No Value,(4),,,05/2017,,,,0,,,,(2,,,,0,,,,0,
242,"Pentec Acquisition Sub,  Inc.*",,,Senior loan,,,,L + 5.25,,,,6.50,,,,05/2018,,,,1776,,,,1754,,,,0.2,,,,1776,
243,"Pyramid Healthcare,  Inc.  (3)",,,One stop,,,,L + 5.75,,,,No Value,(4),,,08/2019,,,,0,,,,(5,,,,0,,,,(4,
244,,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal/  Par  Amount,,Cost,,Percentage  of Net  Assets,,Fair  Value,,,,,,,,,,,,,,,,
245,"Healthcare, Education and Childcare (Continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"Pyramid Healthcare,  Inc.ˆ",,,One stop,,,,L + 5.75,,,,6.75,,,,08/2019,,,,7607,,,,7542,,,,1.0,,,,7550,
247,"Radiology Partners, Inc.  (3)",,,One stop,,,,L + 5.00,,,,No Value,(4),,,09/2020,,,,0,,,,(8,,,,0,,,,(8,
248,"Radiology Partners,  Inc.*ˆ",,,One stop,,,,L + 5.00,,,,6.00,,,,09/2020,,,,17209,,,,16937,,,,2.3,,,,17037,
249,"Radiology Partners, Inc.  (3)",,,One stop,,,,L + 5.00,,,,No Value,(4),,,09/2020,,,,0,,,,(46,,,,0,,,,(46,
250,"Reliant Pro ReHab, LLC",,,Senior loan,,,,P + 4.00,,,,7.25,,,,06/2017,,,,10,,,,3,,,,0,,,,10,
