,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
228,"Host Analytics, Inc.",One stop,,N/A,,,8.50 cash/2.25 PIK,,08/2021,,,3169,,,,3131,,,0.3,,,,3169,
229,"Host Analytics, Inc.",One stop,,N/A,,,8.50 cash/2.25 PIK,,08/2021,,2656,,,2557,,,0.3,,,2656,,,,
230,"Host Analytics, Inc.",One stop,,N/A,,,8.50 cash/2.25 PIK,,08/2021,,741,,,733,,,0.1,,,741,,,,
231,"Host Analytics, Inc.  (5)",One stop,,N/A,,,N/A  (6),,08/2021,,-,,,(6,,,-,,,-,,,,
232,"ICIMS, Inc.",One stop,,L + 6.50,(c),,8.64,,09/2024,,5412,,,5305,,,0.5,,,5304,,,,
233,"ICIMS, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,09/2024,,-,,,(1,,,-,,,(1,,,,
234,"III US Holdings, LLC",One stop,,L + 6.50,,,N/A  (6),,09/2022,,-,,,-,,,-,,,-,,,,
235,"Imprivata, Inc.",Senior loan,,L + 4.00,(c),,6.39,,10/2023,,13045,,,12907,,,1.3,,,13045,,,,
236,"Imprivata, Inc.  (5)",Senior loan,,L + 4.00,,,N/A  (6),,10/2023,,-,,,(2,,,-,,,-,,,,
237,"Infogix, Inc.",One stop,,L + 6.00,(c),,8.39,,04/2024,,3330,,,3315,,,0.3,,,3330,,,,
238,"Infogix, Inc.",One stop,,P + 5.00,(f),,10.25,,04/2024,,9,,,9,,,-,,,9,,,,
239,"Integral Ad Science, Inc.",One stop,,L + 7.25,(a),,8.25 cash/1.25 PIK,,07/2024,,5000,,,4904,,,0.5,,,4900,,,,
240,"Integral Ad Science, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,07/2023,,-,,,(1,,,-,,,(1,,,,
241,"Integration Appliance, Inc.*^",One stop,,L + 7.25,(a),,9.36,,08/2023,,34762,,,34381,,,3.6,,,34415,,,,
242,"Integration Appliance, Inc.  (5)",One stop,,L + 7.25,,,N/A  (6),,08/2023,,-,,,(7,,,-,,,(9,,,,
243,"JAMF Holdings, Inc.",One stop,,L + 8.00,(c),,10.32,,11/2022,,4550,,,4475,,,0.5,,,4550,,,,
244,"JAMF Holdings, Inc.  (5)",One stop,,L + 8.00,,,N/A  (6),,11/2022,,-,,,(1,,,-,,,-,,,,
245,"Jobvite, Inc.",One stop,,L + 8.00,(a),,10.15,,07/2023,,2048,,,1979,,,0.2,,,1968,,,,
246,"Jobvite, Inc.",One stop,,L + 8.00,,,N/A  (6),,07/2023,,-,,,-,,,-,,,-,,,,
247,"Jobvite, Inc.  (5)",One stop,,L + 8.00,,,N/A  (6),,07/2023,,-,,,-,,,-,,,(1,,,,
248,"Kareo, Inc.",One stop,,L + 9.00,(a),,11.24,,06/2022,,4518,,,4348,,,0.5,,,4518,,,,
249,"Kareo, Inc.",One stop,,L + 9.00,(a),,11.24,,06/2022,,332,,,327,,,-,,,332,,,,
250,"Kareo, Inc.",One stop,,L + 9.00,,,N/A  (6),,06/2022,,-,,,-,,,-,,,-,,,,
251,Maverick Bidco Inc.*,One stop,,L + 6.25,(c),,8.64,,04/2023,,17468,,,17195,,,1.8,,,17468,,,,
252,Maverick Bidco Inc.,One stop,,L + 6.25,(c),,8.59,,04/2023,,167,,,166,,,-,,,167,,,,
253,Maverick Bidco Inc.,One stop,,L + 6.25,(c),,8.60,,04/2023,,34,,,32,,,-,,,34,,,,
254,Maverick Bidco Inc.  (5),One stop,,L + 6.25,,,N/A  (6),,04/2023,,-,,,(3,,,-,,,-,,,,
255,"Ministry Brands, LLC",Senior loan,,L + 4.00,(a),,6.24,,12/2022,,866,,,862,,,0.1,,,866,,,,
256,"Ministry Brands, LLC",Senior loan,,L + 4.00,(a),,6.24,,12/2022,,496,,,493,,,0.1,,,496,,,,
257,"Ministry Brands, LLC",Senior loan,,L + 4.00,(a),,6.24,,12/2022,,9,,,9,,,-,,,9,,,,
258,MMan Acquisition Co.^,One stop,,L + 6.00,(c),,8.34,,08/2023,,9726,,,9608,,,1.0,,,9531,,,,
259,MMan Acquisition Co.,One stop,,L + 6.00,(c),,8.34,,08/2023,,100,,,99,,,-,,,98,,,,
260,Net Health Acquisition Corp.,One stop,,L + 5.50,(a),,7.74,,12/2023,,3857,,,3823,,,0.4,,,3857,,,,
261,Net Health Acquisition Corp.,One stop,,L + 5.50,(a),,7.74,,12/2023,,540,,,536,,,0.1,,,540,,,,
262,Net Health Acquisition Corp.  (5),One stop,,L + 5.50,,,N/A  (6),,12/2023,,-,,,(1,,,-,,,-,,,,
263,"Netsmart Technologies, Inc.",Senior loan,,L + 3.75,(a),,5.99,,06/2025,,1737,,,1725,,,0.2,,,1750,,,,
264,"Netsmart Technologies, Inc.  (5)",Senior loan,,L + 4.75,,,N/A  (6),,04/2023,,-,,,(6,,,-,,,-,,,,
265,"Nextech Systems, LLC",One stop,,L + 6.00,(a),,8.24,,03/2024,,10357,,,10322,,,1.1,,,10357,,,,
266,"Nextech Systems, LLC",One stop,,L + 6.00,,,N/A  (6),,03/2024,,-,,,-,,,-,,,-,,,,
267,"Nexus Brands Group, Inc.",One stop,,L + 6.00,(c),,8.33,,11/2023,,5750,,,5689,,,0.6,,,5750,,,,
268,"Nexus Brands Group, Inc.",One stop,,L + 6.00,(c),,8.39,,11/2023,,91,,,90,,,-,,,91,,,,
269,"Nexus Brands Group, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,11/2023,,-,,,(1,,,-,,,-,,,,
270,"Nexus Brands Group, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,11/2023,,-,,,(1,,,-,,,-,,,,
271,"Personify, Inc.",One stop,,L + 5.75,(c),,8.14,,09/2024,,5349,,,5296,,,0.5,,,5295,,,,
272,"Personify, Inc.  (5)",One stop,,L + 5.75,,,N/A  (6),,09/2024,,-,,,(1,,,-,,,(1,,,,
273,"Property Brands, Inc.",One stop,,L + 6.00,(a),,8.24,,01/2024,,10872,,,10655,,,1.1,,,10872,,,,
274,"Property Brands, Inc.^",One stop,,L + 6.00,(a),,8.24,,01/2024,,219,,,216,,,-,,,219,,,,
275,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
276,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,
277,"Property Brands, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,01/2024,,,-,,,,(1,,,-,,,,-,
278,"Property Brands, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,01/2024,,-,,,(1,,,-,,,-,,,,
279,"Saba Software, Inc.*^",Senior loan,,L + 4.50,(a),,6.74,,05/2023,,22515,,,22217,,,2.3,,,22515,,,,
280,"Saba Software, Inc.  (5)",Senior loan,,L + 4.50,,,N/A  (6),,05/2023,,-,,,(2,,,-,,,-,,,,
281,"Saldon Holdings, Inc.*",Senior loan,,L + 4.25,(a),,6.41,,09/2022,,750,,,741,,,0.1,,,746,,,,
282,"Saldon Holdings, Inc. *",Senior loan,,L + 4.25,(a),,6.41,,09/2022,,716,,,713,,,0.1,,,713,,,,
283,"Telesoft, LLC*",One stop,,L + 5.00,(c),,7.34,,07/2022,,4160,,,4129,,,0.4,,,4160,,,,
284,"Telesoft, LLC  (5)",One stop,,L + 5.00,,,N/A  (6),,07/2022,,-,,,(1,,,-,,,-,,,,
285,"Transaction Data Systems, Inc.*",One stop,,L + 5.25,(a),,7.50,,06/2021,,39051,,,38889,,,4.0,,,39051,,,,
286,"Transaction Data Systems, Inc.",One stop,,L + 5.25,(c),,7.64,,06/2021,,15,,,14,,,-,,,15,,,,
287,"Trintech, Inc.*^",One stop,,L + 6.00,(b),,8.20,,12/2023,,10875,,,10756,,,1.1,,,10875,,,,
288,"Trintech, Inc.^",One stop,,L + 6.00,(b),,8.20,,12/2023,,3412,,,3375,,,0.4,,,3412,,,,
289,"Trintech, Inc.",One stop,,L + 6.00,(b),,8.20,,12/2023,,30,,,28,,,-,,,30,,,,
290,"True Commerce, Inc.^",One stop,,L + 5.75,(c),,8.14,,11/2023,,5610,,,5550,,,0.6,,,5610,,,,
291,"True Commerce, Inc.  (5)",One stop,,L + 5.75,,,N/A  (6),,11/2023,,-,,,(1,,,-,,,-,,,,
292,"Upserve, Inc.",One stop,,L + 5.50,(a),,7.65,,07/2023,,2969,,,2948,,,0.3,,,2947,,,,
293,"Upserve, Inc.",One stop,,L + 5.50,,,N/A  (6),,07/2023,,-,,,-,,,-,,,-,,,,
294,"Upserve, Inc.  (5)",One stop,,L + 5.50,,,N/A  (6),,07/2023,,-,,,(1,,,-,,,(1,,,,
295,"Valant Medical Solutions, Inc.",One stop,,L + 11.00,(a),,10.88 cash/2.25 PIK,,10/2020,,828,,,775,,,0.1,,,828,,,,
296,"Valant Medical Solutions, Inc.",One stop,,N/A,,,6.00 PIK,,02/2020,,149,,,149,,,-,,,184,,,,
297,"Valant Medical Solutions, Inc.",One stop,,L + 11.00,(a),,10.88 cash/2.25 PIK,,10/2020,,10,,,10,,,-,,,10,,,,
298,"Velocity Technology Solutions, Inc.",One stop,,L + 6.00,(c),,8.39,,12/2023,,8228,,,8103,,,0.9,,,8228,,,,
299,"Velocity Technology Solutions, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,12/2023,,-,,,(1,,,-,,,-,,,,
300,"Vendavo, Inc.*",One stop,,L + 8.50,(c),,10.81,,10/2022,,28936,,,28441,,,3.0,,,28936,,,,
301,"Vendavo, Inc.  (5)",One stop,,L + 8.50,,,N/A  (6),,10/2022,,-,,,(9,,,-,,,-,,,,
302,Vendor Credentialing Service LLC^,One stop,,L + 5.75,(a),,7.99,,11/2021,,12115,,,11949,,,1.3,,,12115,,,,
303,Vendor Credentialing Service LLC,One stop,,L + 5.75,,,N/A  (6),,11/2021,,-,,,-,,,-,,,-,,,,
304,Verisys Corporation*,One stop,,L + 7.75,(c),,10.14,,01/2023,,3886,,,3844,,,0.4,,,3886,,,,
305,Verisys Corporation  (5),One stop,,L + 7.75,,,N/A  (6),,01/2023,,-,,,(1,,,-,,,-,,,,
306,"Workforce Software, LLC^",One stop,,L + 6.50,(c),,8.83,,06/2021,,5790,,,5756,,,0.6,,,5790,,,,
307,"Workforce Software, LLC",One stop,,L + 6.50,(c),,8.81,,06/2021,,577,,,571,,,0.1,,,577,,,,
308,"Workforce Software, LLC  (5)",One stop,,L + 6.50,,,N/A  (6),,06/2021,,-,,,(1,,,-,,,-,,,,
309,,,,,,,,,,,456361,,,450374,,,47.0,,,455279,,,,
310,Ecological,,,,,,,,,,,,,,,,,,,,,,,
311,"Pace Analytical Services, LLC",One stop,,L + 6.25,(a),,8.49,,09/2022,,15190,,,14912,,,1.6,,,15190,,,,
312,"Pace Analytical Services, LLC^",One stop,,L + 6.25,(a),,8.49,,09/2022,,1412,,,1396,,,0.1,,,1412,,,,
313,"Pace Analytical Services, LLC",One stop,,L + 6.25,(a),,8.48,,09/2022,,716,,,709,,,0.1,,,716,,,,
314,"Pace Analytical Services, LLC*",One stop,,L + 6.25,(a),,8.49,,09/2022,,346,,,342,,,-,,,346,,,,
315,"Pace Analytical Services, LLC^",One stop,,L + 6.25,(a),,8.47,,09/2022,,118,,,117,,,-,,,118,,,,
316,"Pace Analytical Services, LLC",One stop,,L + 6.25,(a),,8.49,,09/2022,,10,,,8,,,-,,,10,,,,
317,"Pace Analytical Services, LLC  (5)",One stop,,L + 6.25,,,N/A  (6),,09/2022,,-,,,(3,,,-,,,-,,,,
318,WRE Holding Corp.*,Senior loan,,L + 4.75,(a),,6.99,,01/2023,,1008,,,999,,,0.1,,,1008,,,,
319,WRE Holding Corp.,Senior loan,,L + 4.75,(a),,6.99,,01/2023,,42,,,42,,,-,,,42,,,,
320,WRE Holding Corp.,Senior loan,,L + 4.75,(a),,6.99,,01/2023,,21,,,21,,,-,,,21,,,,
321,WRE Holding Corp.,Senior loan,,L + 4.75,(a),,6.99,,01/2023,,5,,,5,,,-,,,5,,,,
322,,,,,,,,,,,18868,,,18548,,,1.9,,,18868,,,,
323,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
324,Electronics,,,,,,,,,,,,,,,,,,,,,,,
325,"Appriss Holdings, Inc.*^",One stop,,L + 6.25,(c),,8.64,,05/2022,,,36397,,,,36016,,,3.7,,,,36034,
326,"Appriss Holdings, Inc.  (5)",One stop,,L + 6.25,,,N/A  (6),,05/2022,,-,,,(33,,,-,,,(29,,,,
327,"Compusearch Software Holdings, Inc.*^",Senior loan,,L + 4.25,(c),,6.64,,05/2021,,2067,,,2065,,,0.2,,,2067,,,,
328,Diligent Corporation*,One stop,,L + 5.50,(d),,8.09,,04/2022,,26132,,,25856,,,2.7,,,26132,,,,
329,Diligent Corporation,One stop,,L + 5.50,(d),,8.09,,04/2022,,4879,,,4816,,,0.5,,,4879,,,,
330,Diligent Corporation*,One stop,,L + 5.50,(d),,8.09,,04/2022,,4790,,,4700,,,0.5,,,4790,,,,
331,Diligent Corporation*^,One stop,,L + 5.50,(d),,8.09,,04/2022,,2622,,,2586,,,0.3,,,2622,,,,
332,Diligent Corporation,One stop,,L + 5.50,(c),,7.98,,04/2022,,102,,,101,,,-,,,102,,,,
333,Diligent Corporation,One stop,,L + 5.50,(c),,8.03,,04/2022,,81,,,80,,,-,,,81,,,,
334,Diligent Corporation,One stop,,L + 5.50,(c)(d),,8.03,,04/2022,,36,,,35,,,-,,,36,,,,
335,Diligent Corporation  (5),One stop,,L + 5.50,,,N/A  (6),,04/2022,,-,,,(1,,,-,,,-,,,,
336,Diligent Corporation  (5),One stop,,L + 5.50,,,N/A  (6),,04/2022,,-,,,(2,,,-,,,-,,,,
337,"Gamma Technologies, LLC*^",One stop,,L + 5.50,(a),,7.74,,06/2024,,21478,,,21297,,,2.2,,,21478,,,,
338,"Gamma Technologies, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,06/2024,,-,,,(1,,,-,,,-,,,,
339,"SEI, Inc.*",Senior loan,,L + 5.25,(a),,7.49,,07/2023,,5477,,,5428,,,0.6,,,5477,,,,
340,"Sloan Company, Inc., The",One stop,,L + 13.00,(c),,10.89 cash/4.50 PIK,,04/2020,,6467,,,6426,,,0.5,,,5173,,,,
341,"Sloan Company, Inc., The",One stop,,L + 13.00,(c),,10.89 cash/4.50 PIK,,04/2020,,432,,,432,,,-,,,346,,,,
342,"Sloan Company, Inc., The",One stop,,L + 13.00,(c),,10.89 cash/4.50 PIK,,04/2020,,50,,,50,,,-,,,40,,,,
343,Sovos Compliance*^,One stop,,L + 6.00,(a),,8.24,,03/2022,,9234,,,9125,,,1.0,,,9234,,,,
344,Sovos Compliance^,One stop,,L + 6.00,(a),,8.24,,03/2022,,1553,,,1536,,,0.2,,,1553,,,,
345,Sovos Compliance,One stop,,L + 6.00,(a),,8.24,,03/2022,,173,,,172,,,-,,,173,,,,
346,Sovos Compliance  (5),One stop,,L + 6.00,,,N/A  (6),,03/2022,,-,,,(1,,,-,,,-,,,,
347,Sovos Compliance  (5),One stop,,L + 6.00,,,N/A  (6),,03/2022,,-,,,(2,,,-,,,-,,,,
348,"Watchfire Enterprises, Inc.",Second lien,,L + 8.00,(c),,10.39,,10/2021,,9435,,,9338,,,1.0,,,9435,,,,
349,,,,,,,,,,,131405,,,130019,,,13.4,,,129623,,,,
350,Grocery,,,,,,,,,,,,,,,,,,,,,,,
351,"MyWebGrocer, Inc.*",One stop,,L + 5.00,(d),,7.52,,09/2018,,14271,,,14271,,,1.5,,,14271,,,,
352,"Teasdale Quality Foods, Inc.",Senior loan,,L + 4.75,(c),,6.92,,10/2020,,324,,,321,,,-,,,317,,,,
353,,,,,,,,,,,14595,,,14592,,,1.5,,,14588,,,,
354,"Healthcare, Education and Childcare",,,,,,,,,,,,,,,,,,,,,,,
355,"Active Day, Inc.",One stop,,L + 6.00,(a),,8.24,,12/2021,,13265,,,13071,,,1.3,,,13000,,,,
356,"Active Day, Inc.^",One stop,,L + 6.00,(a),,8.24,,12/2021,,1024,,,1014,,,0.1,,,1003,,,,
357,"Active Day, Inc.*",One stop,,L + 6.00,(a),,8.24,,12/2021,,660,,,655,,,0.1,,,646,,,,
358,"Active Day, Inc.*",One stop,,L + 6.00,(a),,8.24,,12/2021,,456,,,451,,,0.1,,,447,,,,
359,"Active Day, Inc.",One stop,,P + 5.00,(f),,10.25,,12/2021,,22,,,21,,,-,,,20,,,,
360,"Acuity Eyecare Holdings, LLC",One stop,,L + 6.75,(b),,9.01,,03/2022,,2564,,,2519,,,0.3,,,2538,,,,
361,"Acuity Eyecare Holdings, LLC",One stop,,L + 6.75,(b),,9.04,,03/2022,,203,,,180,,,-,,,185,,,,
362,"Acuity Eyecare Holdings, LLC^",One stop,,L + 6.75,(b),,9.02,,03/2022,,149,,,148,,,-,,,148,,,,
363,"Acuity Eyecare Holdings, LLC",One stop,,P + 5.75,(f),,11.00,,03/2022,,10,,,10,,,-,,,9,,,,
364,"ADCS Clinics Intermediate Holdings, LLC",One stop,,L + 5.75,(b),,8.04,,05/2022,,21065,,,20641,,,2.1,,,20644,,,,
365,"ADCS Clinics Intermediate Holdings, LLC*",One stop,,L + 5.75,(b),,8.04,,05/2022,,107,,,106,,,-,,,105,,,,
366,"ADCS Clinics Intermediate Holdings, LLC",One stop,,L + 5.75,(b),,8.04,,05/2022,,83,,,82,,,-,,,81,,,,
367,"ADCS Clinics Intermediate Holdings, LLC",One stop,,L + 5.75,(b),,8.04,,05/2022,,50,,,49,,,-,,,48,,,,
368,"ADCS Clinics Intermediate Holdings, LLC*",One stop,,L + 5.75,(b),,8.04,,05/2022,,31,,,31,,,-,,,31,,,,
369,"Agilitas USA, Inc.",One stop,,L + 6.00,(c),,8.34,,04/2022,,8354,,,8295,,,0.9,,,8187,,,,
370,"Agilitas USA, Inc.",One stop,,L + 6.00,(c),,8.34,,04/2022,,10,,,9,,,-,,,8,,,,
371,"Agilitas USA, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,04/2022,,-,,,(1,,,-,,,-,,,,
372,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
373,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,,,,,,,,,,,,,
374,"Aris Teleradiology Company, LLC*  (7)",Senior loan,,L + 5.50,(c),,8.00,,03/2021,,,2693,,,,2678,,,0.1,,,,1236,
375,"Aris Teleradiology Company, LLC  (7)",Senior loan,,L + 5.50,(c)(d),,8.01,,03/2021,,141,,,140,,,-,,,47,,,,
376,"Avalign Technologies, Inc.^",Senior loan,,L + 4.50,(a),,6.75,,07/2021,,1343,,,1340,,,0.1,,,1343,,,,
377,"BIORECLAMATIONIVT, LLC*^",One stop,,L + 6.25,(a),,8.49,,01/2021,,16852,,,16718,,,1.7,,,16852,,,,
378,"BIORECLAMATIONIVT, LLC",One stop,,P + 5.25,(f),,10.50,,01/2021,,100,,,99,,,-,,,100,,,,
379,"CLP Healthcare Services, Inc.^",Senior loan,,L + 5.50,(c),,7.89,,12/2020,,3884,,,3858,,,0.4,,,3807,,,,
380,"DCA Investment Holding, LLC*^",One stop,,L + 5.25,(c),,7.64,,07/2021,,18584,,,18393,,,1.9,,,18584,,,,
381,"DCA Investment Holding, LLC*^",One stop,,L + 5.25,(c),,7.64,,07/2021,,13329,,,13249,,,1.4,,,13329,,,,
382,"DCA Investment Holding, LLC",One stop,,L + 5.25,(c),,7.64,,07/2021,,2450,,,2422,,,0.3,,,2450,,,,
383,"DCA Investment Holding, LLC",One stop,,L + 5.25,(c),,7.64,,07/2021,,151,,,150,,,-,,,151,,,,
384,"DCA Investment Holding, LLC",One stop,,L + 5.25,(c),,7.64,,07/2021,,149,,,147,,,-,,,149,,,,
385,"DCA Investment Holding, LLC",One stop,,L + 5.25,(c),,7.64,,07/2021,,47,,,47,,,-,,,47,,,,
386,"DCA Investment Holding, LLC  (5)",One stop,,L + 5.25,,,N/A  (6),,07/2021,,-,,,(7,,,-,,,-,,,,
387,"DCA Investment Holding, LLC  (5)",One stop,,L + 5.25,,,N/A  (6),,07/2021,,-,,,(9,,,-,,,-,,,,
388,Deca Dental Management LLC*^,One stop,,L + 6.25,(c),,8.64,,07/2020,,4062,,,4040,,,0.4,,,4062,,,,
389,Deca Dental Management LLC,One stop,,L + 6.25,(a)(c),,8.57,,07/2020,,494,,,492,,,0.1,,,494,,,,
390,Deca Dental Management LLC,One stop,,L + 6.25,(a),,8.49,,07/2020,,50,,,50,,,-,,,50,,,,
391,Deca Dental Management LLC  (5),One stop,,L + 6.25,,,N/A  (6),,07/2020,,-,,,(1,,,-,,,-,,,,
392,Dental Holdings Corporation,One stop,,L + 5.50,(d),,8.02,,02/2020,,7142,,,7081,,,0.7,,,7142,,,,
393,Dental Holdings Corporation,One stop,,L + 5.50,(d),,8.02,,02/2020,,1133,,,1126,,,0.1,,,1133,,,,
394,Dental Holdings Corporation,One stop,,L + 5.50,(b),,7.67,,02/2020,,220,,,214,,,-,,,220,,,,
395,Elite Dental Partners LLC*,One stop,,L + 5.25,(a),,7.49,,06/2023,,12274,,,12101,,,1.3,,,12274,,,,
396,Elite Dental Partners LLC,One stop,,L + 5.25,(a),,7.49,,06/2023,,115,,,101,,,-,,,115,,,,
397,Elite Dental Partners LLC  (5),One stop,,L + 5.25,,,N/A  (6),,06/2023,,-,,,(1,,,-,,,-,,,,
398,"ERG Buyer, LLC",One stop,,L + 5.50,(c),,7.89,,05/2024,,13183,,,12996,,,1.4,,,13183,,,,
399,"ERG Buyer, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,05/2024,,-,,,(2,,,-,,,-,,,,
400,"ERG Buyer, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,05/2024,,-,,,(11,,,-,,,-,,,,
401,"eSolutions, Inc.*^",One stop,,L + 6.50,(a),,8.74,,03/2022,,31722,,,31340,,,3.3,,,31484,,,,
402,"eSolutions, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,03/2022,,-,,,(1,,,-,,,(1,,,,
403,Excelligence Learning Corporation^,One stop,,L + 6.00,(a),,8.24,,04/2023,,4805,,,4768,,,0.5,,,4517,,,,
404,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,7926,,,7758,,,0.8,,,7926,,,,
405,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,576,,,566,,,0.1,,,576,,,,
406,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,355,,,353,,,0.1,,,355,,,,
407,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,172,,,171,,,-,,,172,,,,
408,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.59,,05/2023,,100,,,100,,,-,,,100,,,,
409,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,58,,,57,,,-,,,58,,,,
410,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,51,,,50,,,-,,,51,,,,
411,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,33,,,28,,,-,,,33,,,,
412,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.64,,05/2023,,32,,,25,,,-,,,32,,,,
413,Eyecare Services Partners Holdings LLC,One stop,,L + 6.25,(c),,8.63,,05/2023,,25,,,22,,,-,,,25,,,,
414,"G & H Wire Company, Inc.^",One stop,,L + 5.75,(a),,7.99,,09/2023,,5425,,,5367,,,0.6,,,5425,,,,
415,"G & H Wire Company, Inc.  (5)",One stop,,L + 5.75,,,N/A  (6),,09/2022,,-,,,(1,,,-,,,-,,,,
416,"Immucor, Inc.",Senior loan,,L + 5.00,(c),,7.39,,06/2021,,1597,,,1597,,,0.2,,,1626,,,,
417,"Joerns Healthcare, LLC*^",One stop,,L + 6.00,(c),,8.31,,05/2020,,3497,,,3476,,,0.3,,,3253,,,,
418,"Katena Holdings, Inc.^",One stop,,L + 6.00,(c),,8.39,,06/2021,,8523,,,8466,,,0.9,,,8352,,,,
419,"Katena Holdings, Inc.^",One stop,,L + 6.00,(c),,8.39,,06/2021,,833,,,827,,,0.1,,,816,,,,
420,"Katena Holdings, Inc.",One stop,,L + 6.00,(c),,8.39,,06/2021,,568,,,562,,,0.1,,,557,,,,
421,,Investment  Type,,Spread  Above  Index  (1),,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,
422,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,,,,,,,,,,,,,
423,"Katena Holdings, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,06/2021,,,-,,,,(1,,,-,,,,(2,
424,"Lombart Brothers, Inc.^",One stop,,L + 6.75,(c),,9.14,,04/2022,,5041,,,4938,,,0.5,,,4966,,,,
425,"Lombart Brothers, Inc.^  (8)",One stop,,L + 6.75,(c),,9.14,,04/2022,,1648,,,1620,,,0.2,,,1623,,,,
426,"Lombart Brothers, Inc.",One stop,,P + 5.50,(f),,10.75,,04/2022,,29,,,28,,,-,,,28,,,,
427,"Lombart Brothers, Inc.  (8)",One stop,,P + 5.50,(f),,10.75,,04/2022,,8,,,8,,,-,,,8,,,,
428,"Maverick Healthcare Group, LLC*",Senior loan,,L + 7.50,(a),,7.89 cash/2.00 PIK,,04/2017,,1316,,,1316,,,0.1,,,1316,,,,
429,"MD Now Holdings, Inc.",One stop,,L + 5.25,(c),,7.64,,08/2024,,7770,,,7619,,,0.8,,,7692,,,,
430,"MD Now Holdings, Inc.  (5)",One stop,,L + 5.25,,,N/A  (6),,08/2024,,-,,,(1,,,-,,,(2,,,,
431,"MD Now Holdings, Inc.  (5)",One stop,,L + 5.25,,,N/A  (6),,08/2024,,-,,,(1,,,-,,,(2,,,,
432,"MWD Management, LLC & MWD Services, Inc.",One stop,,L + 5.25,(c),,7.64,,06/2023,,5866,,,5808,,,0.6,,,5866,,,,
433,"MWD Management, LLC & MWD Services, Inc.^",One stop,,L + 5.25,(c),,7.64,,06/2023,,229,,,228,,,-,,,229,,,,
434,"MWD Management, LLC & MWD Services, Inc.  (5)",One stop,,L + 5.25,,,N/A  (6),,06/2022,,-,,,(1,,,-,,,-,,,,
435,"MWD Management, LLC & MWD Services, Inc.  (5)",One stop,,L + 5.25,,,N/A  (6),,06/2023,,-,,,(3,,,-,,,-,,,,
436,"Oliver Street Dermatology Holdings, LLC",One stop,,L + 6.00,(c),,8.39,,05/2022,,9338,,,9156,,,1.0,,,9338,,,,
437,"Oliver Street Dermatology Holdings, LLC",One stop,,L + 6.00,(c),,8.39,,05/2022,,942,,,929,,,0.1,,,942,,,,
438,"Oliver Street Dermatology Holdings, LLC*",One stop,,L + 6.00,(c),,8.39,,05/2022,,210,,,208,,,-,,,210,,,,
439,"Oliver Street Dermatology Holdings, LLC^",One stop,,L + 6.00,(c),,8.39,,05/2022,,151,,,149,,,-,,,151,,,,
440,"Oliver Street Dermatology Holdings, LLC",One stop,,L + 6.00,(c),,8.39,,05/2022,,133,,,132,,,-,,,133,,,,
441,"Oliver Street Dermatology Holdings, LLC",One stop,,L + 6.00,(c),,8.39,,05/2022,,116,,,115,,,-,,,116,,,,
