,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
130,,"Paradigm DKD Group, LLC  (5)(7)",Senior loan,,L + 6.25,(c),,7.70,,05/2022,,1,,,(142),,,0,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,58876,,,57567,,,2.8,,,54269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,"Chemicals, Plastics and Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,"Flexan, LLC  &",One stop,,L + 5.25,(c),,6.70,,02/2021,,8495,,,8478,,,0.4,,,8070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,"Chemicals, Plastics and Rubber - (continued)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,"Flexan, LLC  *#",One stop,,L + 5.25,(c),,6.70,,02/2021,,,3290,,,,,3283,,,0.2,,,,3125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,"Flexan, LLC  &",One stop,,L + 5.25,(c),,6.70,,02/2021,,2359,,,2355,,,0.1,,,2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,"Flexan, LLC  ^#",One stop,,L + 5.25,(c),,6.70,,02/2021,,1547,,,1544,,,0.1,,,1471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,"Flexan, LLC",One stop,,L + 5.25,(c),,6.70,,02/2021,,1052,,,1051,,,0,,,998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,,Inhance Technologies Holdings LLC  #,One stop,,L + 5.50,(c),,7.41,,07/2024,,12766,,,12901,,,0.6,,,11597,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,,Inhance Technologies Holdings LLC,One stop,,L + 5.50,(c),,7.15,,07/2024,,1937,,,1968,,,0.1,,,1760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,Inhance Technologies Holdings LLC,One stop,,L + 5.50,(a)(c)(f),,7.32,,07/2024,,160,,,160,,,0,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,31606,,,31740,,,1.5,,,29403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,"Containers, Packaging and Glass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,AmerCareRoyal LLC  +(8)(9),Senior loan,,L + 5.00,(c)(f),,6.81,,11/2025,,847,,,839,,,0.1,,,762,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,AmerCareRoyal LLC  +(8)(9),Senior loan,,P + 4.00,(f),,8.75,,11/2025,,153,,,152,,,0,,,138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,Fortis Solutions Group LLC  +,Senior loan,,L + 4.50,(a),,5.50,,12/2023,,1594,,,1579,,,0.1,,,1499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,Fortis Solutions Group LLC  +,Senior loan,,L + 4.50,(a),,5.50,,12/2023,,636,,,630,,,0,,,598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,Fortis Solutions Group LLC  +,Senior loan,,L + 4.50,(a),,5.50,,12/2023,,610,,,604,,,0,,,574,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,Fortis Solutions Group LLC,Senior loan,,L + 4.50,(a),,5.50,,12/2023,,41,,,40,,,0,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,3881,,,3844,,,0.2,,,3609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,"Blackbird Purchaser, Inc.  +~",Senior loan,,L + 4.50,(c)(f),,5.95,,04/2026,,15603,,,15898,,,0.7,,,13731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,"Blackbird Purchaser, Inc.",Senior loan,,L + 4.50,(c),,5.95,,04/2024,,116,,,114,,,0,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,"Blackbird Purchaser, Inc.",Senior loan,,L + 4.50,,,N/A  (6),,04/2026,,0,,,22,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,"Chase Industries, Inc.  +~",Senior loan,,L + 5.50,(a),,5.45 cash/1.50 PIK,,05/2025,,12059,,,12193,,,0.5,,,10612,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,"Chase Industries, Inc.",Senior loan,,L + 5.50,(a),,5.45 cash/1.50 PIK,,05/2025,,985,,,1024,,,0,,,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,"Chase Industries, Inc.",Senior loan,,L + 5.50,(a),,5.45 cash/1.50 PIK,,05/2023,,354,,,358,,,0,,,310,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,"Inventus Power, Inc.  ^*+",One stop,,L + 6.50,(a),,N/A  (6),,04/2021,,14449,,,13830,,,0.7,,,13726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,,"Inventus Power, Inc.  (5)",One stop,,L + 6.50,,,N/A  (6),,04/2021,,0,,,(28),,,0,,,(42),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,,Madison Safety & Flow LLC  +,Senior loan,,L + 4.50,(a),,5.52,,03/2025,,505,,,504,,,0,,,485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,Madison Safety & Flow LLC,Senior loan,,P + 3.50,(a)(f),,6.39,,03/2025,,6,,,6,,,0,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc  +~&",Senior loan,,L + 4.00,(a),,4.99,,,07/2025,,23758,,,24007,,,1.1,,,21382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,"Pasternack Enterprises, Inc. and Fairview Microwave, Inc",Senior loan,,L + 4.00,(c),,4.82,,07/2023,,36,,,36,,,0,,,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,"PetroChoice Holdings, Inc  .^#",Senior loan,,L + 5.00,(c),,6.78,,08/2022,,3292,,,3301,,,0.1,,,2963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,"Protective Industrial Products, Inc.  +",Senior loan,,L + 4.50,(a),,6.10,,01/2024,,998,,,988,,,0,,,928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,"Reladyne, Inc.  ^*#&",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,33034,,,33313,,,1.6,,,31051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,"Reladyne, Inc.  ~",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,3500,,,3575,,,0.2,,,3289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,"Reladyne, Inc.  ^#",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,1896,,,1936,,,0.1,,,1781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,"Reladyne, Inc.",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,1728,,,1788,,,0.1,,,1624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,"Reladyne, Inc.  #~",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,1633,,,1669,,,0.1,,,1536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,"Reladyne, Inc.  #",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,1553,,,1606,,,0.1,,,1460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,"Reladyne, Inc.  #~",Senior loan,,L + 5.00,(c),,6.91,,07/2022,,745,,,761,,,0,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,"Togetherwork Holdings, LLC  *#",One stop,,L + 6.25,(a),,7.25,,03/2025,,15644,,,15802,,,0.7,,,13297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,"Togetherwork Holdings, LLC  +~",One stop,,L + 6.25,(a),,7.25,,03/2025,,1812,,,1881,,,0.1,,,1540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,7.25,,03/2025,,1759,,,1823,,,0.1,,,1495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,"Togetherwork Holdings, LLC  *#",One stop,,L + 6.25,(a),,7.25,,03/2025,,1715,,,1779,,,0.1,,,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,"Togetherwork Holdings, LLC  +~",One stop,,L + 6.25,(a),,7.25,,03/2025,,1656,,,1692,,,0.1,,,1408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,,Diversified/Conglomerate Manufacturing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,"Togetherwork Holdings, LLC  *+",One stop,,L + 6.25,(a),,7.25,,03/2025,,,1596,,,,1657,,,0.1,,,,1357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,7.25,,03/2025,,1488,,,1542,,,0.1,,,1265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,"Togetherwork Holdings, LLC  *#",One stop,,L + 6.25,(a),,7.25,,03/2025,,1219,,,1239,,,0.1,,,1037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,7.25,,03/2025,,672,,,696,,,0,,,571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,"Togetherwork Holdings, LLC  +",One stop,,L + 6.25,(a),,7.25,,03/2025,,449,,,445,,,0,,,382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,7.25,,03/2024,,300,,,298,,,0,,,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,,"Togetherwork Holdings, LLC",One stop,,L + 6.25,(a),,7.25,,03/2025,,65,,,67,,,0,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,,"Togetherwork Holdings, LLC  ~",One stop,,L + 6.25,(a),,7.25,,03/2025,,59,,,62,,,0,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,144684,,,145884,,,6.7,,,130697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,,Diversified/Conglomerate Service,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,,"3ES Innovation, Inc.  +~(8)(12)",One stop,,L + 5.75,(c),,7.48,,05/2025,,13830,,,14101,,,0.7,,,13138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,,"3ES Innovation, Inc.  (5)(8)(12)",One stop,,L + 5.75,,,N/A  (6),,05/2025,,0,,,(2),,,0,,,(10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,,"Accela, Inc  .*#",One stop,,L + 3.25,(a),,4.25 cash/1.65 PIK,,09/2023,,4442,,,4442,,,0.2,,,4309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,,"Accela, Inc.  (5)",One stop,,L + 7.00,,,N/A  (6),,09/2023,,0,,,0,,,0,,,(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,,"Acquia, Inc.  !~",One stop,,L + 7.00,(c),,8.58,,10/2025,,7118,,,7052,,,0.4,,,6975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,,"Acquia, Inc.  (5)",One stop,,L + 7.00,,,N/A  (6),,10/2025,,0,,,(1),,,0,,,(1),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,,Agility Recovery Solutions Inc.  ^*#,One stop,,L + 6.00,(c)(f),,7.23,,03/2023,,22591,,,22737,,,1.1,,,21686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,,Agility Recovery Solutions Inc.  (5),One stop,,L + 6.00,,,N/A  (6),,03/2023,,0,,,(4),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,"Apptio, Inc.  !~",One stop,,L + 7.25,(a),,8.25,,01/2025,,57009,,,57804,,,2.9,,,57009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,,"Apptio, Inc.  (5)",One stop,,L + 7.25,,,N/A  (6),,01/2025,,0,,,(2),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,,Arch Global CCT Holdings Corp.  #+~,Senior loan,,L + 4.75,(c)(f),,5.82,,04/2026,,4165,,,4203,,,0.2,,,3748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,,Arch Global CCT Holdings Corp.,Senior loan,,L + 4.75,(a),,5.74,,04/2025,,58,,,58,,,0,,,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,,Arch Global CCT Holdings Corp.  (5),Senior loan,,L + 4.75,,,N/A  (6),,04/2026,,0,,,0,,,0,,,(9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,,"Astute Holdings, Inc.  !",One stop,,L + 6.00,(c),,7.07,,04/2025,,10881,,,11059,,,0.5,,,10663,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,,"Astute Holdings, Inc.",One stop,,L + 6.00,(c),,7.21,,04/2025,,150,,,149,,,0,,,148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,,"Astute Holdings, Inc.  (5)",One stop,,L + 6.00,,,N/A  (6),,04/2025,,0,,,(2),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,,Aurora Lux Finco S.A.R.L.  !(8)(13),One stop,,L + 6.00,(c),,7.00,,12/2026,,1000,,,976,,,0,,,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,"AutoQuotes, LLC  !",One stop,,L + 5.50,(c),,7.12,,11/2024,,9888,,,10040,,,0.5,,,9492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,,"AutoQuotes, LLC",One stop,,L + 5.50,(c),,6.72,,11/2024,,100,,,100,,,0,,,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,,Axiom Merger Sub Inc.  !~,One stop,,L + 5.25,(c),,7.07,,04/2026,,5877,,,5935,,,0.3,,,5583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,,Axiom Merger Sub Inc  .+~(8)(9),One stop,,E + 5.50,(g),,5.50,,04/2026,,2423,,,2446,,,0.1,,,2304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,,Axiom Merger Sub Inc.,One stop,,L + 5.25,(c),,6.25,,04/2026,,30,,,29,,,0,,,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,,Axiom Merger Sub Inc.  (5),One stop,,L + 5.25,,,N/A  (6),,04/2026,,0,,,(3),,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,,"Bazaarvoice, Inc  .*#+~",One stop,,L + 5.75,(a)(c),,6.82,,02/2024,,48370,,,49226,,,2.4,,,46435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,,"Bazaarvoice, Inc.",One stop,,L + 5.75,(c),,6.96,,02/2024,,300,,,297,,,0,,,284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,,"Bearcat Buyer, Inc.  +~",Senior loan,,L + 4.25,(c),,5.70,,07/2026,,2942,,,2967,,,0.1,,,2796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,,"Bearcat Buyer, Inc.  ~",Senior loan,,L + 4.25,(c),,5.70,,07/2026,,311,,,308,,,0,,,295,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,,"Bearcat Buyer, Inc.",Senior loan,,L + 4.25,(c),,5.70,,07/2026,,166,,,166,,,0,,,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,,"Bearcat Buyer, Inc.",Senior loan,,L + 4.25,(a),,4.86,,07/2024,,22,,,22,,,0,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,,"Bullhorn, Inc.  #+~",One stop,,L + 5.50,(c)(d)(f),,6.57,,10/2025,,67642,,,66716,,,3.2,,,62231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,,"Bullhorn, Inc.  (8)(9)",One stop,,L + 6.00,(i)(j),,6.70,,10/2025,,12069,,,11903,,,0.6,,,11471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,,"Bullhorn, Inc.  (8)(9)",One stop,,L + 5.75,(c)(d),,5.75,,10/2025,,4846,,,4780,,,0.2,,,4551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,,"Bullhorn, Inc.",One stop,,L + 5.50,(a),,6.50,,10/2025,,239,,,235,,,0,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,,,Investment  Type,,Spread  Above  Index  (1),,,Interest  Rate  (2),,Maturity  Date,,Principal ($) /  Shares  (3),,Amortized Cost,,Percentage  of Net  Assets,,Fair  Value  (4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,,Diversified/Conglomerate Service - (continued),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
226,,"Bullhorn, Inc.",One stop,,L + 5.50,(c)(d),,6.57,,10/2025,,,78,,,,77,,,0,,,,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,,"Bullhorn, Inc.",One stop,,L + 0.00,(c)(d),,1.07,,10/2025,,59,,,55,,,0,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,,"Calabrio, Inc.  !~",One stop,,L + 6.50,(c),,7.95,,06/2025,,24880,,,24895,,,1.2,,,23636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,,"Calabrio, Inc.",One stop,,L + 6.50,(a),,7.50,,06/2025,,72,,,72,,,0,,,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,,Centrify Corporation  *#,One stop,,L + 6.25,(d),,7.33,,08/2024,,23257,,,23301,,,1.0,,,20466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,,Centrify Corporation,One stop,,P + 5.25,(f),,8.50,,08/2024,,300,,,300,,,0,,,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,,"Clearwater Analytics, LLC  ^*#",One stop,,L + 5.50,(d),,7.09,,09/2022,,16458,,,16453,,,0.8,,,16129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,,"Clearwater Analytics, LLC  *",One stop,,L + 5.50,(c),,7.41,,09/2022,,6071,,,6110,,,0.3,,,5950,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,,"Clearwater Analytics, LLC  +",One stop,,L + 5.50,(c),,7.41,,09/2022,,995,,,977,,,0,,,975,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,,"Clearwater Analytics, LLC  (5)",One stop,,L + 5.50,,,N/A  (6),,09/2022,,0,,,(3),,,0,,,(4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,,"Cloudbees, Inc.",One stop,,L + 9.00,(a),,10.08 cash/0.50 PIK,,05/2023,,4204,,,4244,,,0.2,,,4077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,,"Cloudbees, Inc.",One stop,,L + 9.00,(a),,10.08 cash/0.50 PIK,,05/2023,,1465,,,1479,,,0.1,,,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,,"Cloudbees, Inc.",One stop,,L + 8.50,,,N/A  (6),,05/2023,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,,"Confluence Technologies, Inc  .+~",One stop,,L + 5.75,(a),,6.75,,03/2024,,45231,,,44961,,,2.3,,,44327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,,"Confluence Technologies, Inc.",One stop,,L + 5.75,(a),,6.75,,03/2024,,69,,,68,,,0,,,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
241,,"Connexin Software, Inc  .!~",One stop,,L + 8.50,(a),,9.50,,02/2024,,7550,,,7627,,,0.4,,,7247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,,"Connexin Software, Inc.",One stop,,L + 8.50,,,9.50,,02/2024,,40,,,40,,,0,,,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,,"Conservice, LLC  +~",One stop,,L + 5.25,(b),,6.51,,12/2024,,3775,,,3844,,,0.2,,,3624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,,"Conservice, LLC",One stop,,L + 5.25,(b),,6.30,,12/2024,,8,,,8,,,0,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
245,,"Convercent, Inc.",One stop,,L + 9.00,(c),,8.25 cash/2.75 PIK,,12/2024,,2754,,,2675,,,0.1,,,2787,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,,"Convercent, Inc.",Subordinated debt,,No Value,,,4.00,,11/2020,,138,,,138,,,0,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,,"Convercent, Inc.",One stop,,L + 6.25,(a),,7.25,,12/2024,,20,,,20,,,0,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,,"Convercent, Inc.",One stop,,L + 6.25,,,N/A  (6),,12/2024,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,,Daxko Acquisition Corporation  ^*#,One stop,,L + 4.75,(a),,5.75,,09/2023,,22060,,,22337,,,1.1,,,20956,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,,Daxko Acquisition Corporation,One stop,,L + 4.75,(a)(f),,5.75,,09/2023,,68,,,68,,,0,,,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,,"Digital Guardian, Inc.  !",One stop,,L + 9.50,(a),,8.41 cash/3.00 PIK,,06/2023,,8601,,,8935,,,0.5,,,8864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
252,,"Digital Guardian, Inc.",Subordinated debt,,No Value,,,8.00 PIK,,06/2023,,9,,,6,,,0,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,,"Digital Guardian, Inc.",One stop,,L + 5.00,,,N/A  (6),,06/2023,,0,,,0,,,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,,"Digital Guardian, Inc.",One stop,,L + 6.50,,,N/A  (6),,06/2023,,0,,,16,,,0,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
255,,DISA Holdings Acquisition Subsidiary Corp  .+~,Senior loan,,L + 4.00,(a),,5.58,,06/2022,,9865,,,9964,,,0.5,,,9272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,,DISA Holdings Acquisition Subsidiary Corp.,Senior loan,,L + 4.00,(c),,5.00,,06/2022,,1448,,,1448,,,0.1,,,1361,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
257,,DISA Holdings Acquisition Subsidiary Corp.  (5),Senior loan,,L + 4.00,,,N/A  (6),,06/2022,,0,,,3,,,0,,,(20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
