215,,ES Acquisition LLC,Senior loan,,L + 5.50%,(c),,6.50%,,11/2025,,89,,,86,,,0,,90,,,,,,,
216,,ES Acquisition LLC+,Senior loan,,L + 5.00%,(c)(f),,11.49%,,11/2025,,66,,,64,,,0,,65,,,,,,,
217,,ES Acquisition LLC+,Senior loan,,L + 5.00%,(c),,6.00%,,11/2025,,46,,,46,,,0,,46,,,,,,,
218,,ES Acquisition LLC+,Second lien,,L + 5.00%,(c),,6.00%,,11/2025,,36,,,35,,,0,,35,,,,,,,
219,,ES Acquisition LLC+(5),Senior loan,,L + 5.00%,,,N/A(6),,11/2025,,0,,,(1),,,0,,0,,,,,,,
220,,"Watchfire Enterprises, Inc.+",Second lien,,L + 8.25%,(a),,9.25%,,10/2024,,"9,435",,,"9,378",,,0.4,,"9,435",,,,,,,
221,,"Watchfire Enterprises, Inc.+",Senior loan,,L + 4.50%,(a),,5.50%,,07/2024,,"2,220",,,"2,199",,,0.1,,"2,198",,,,,,,
222,,,,,,,,,,,,"43,449",,,"43,036",,,1.7,,"43,423",,,,,,,
224,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
225,,Food & Staples Retailing,,,,,,,,,,,,,,,,,,,,,,,,,
226,,"Cafe Rio Holding, Inc.*#",One stop,,L + 5.25%,(c),,6.25%,,09/2023,,,"18,466",,,,"18,614",,,0.7,%,,"18,466",,,,
227,,"Cafe Rio Holding, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,09/2023,,"2,681",,,"2,680",,,0.1,,"2,681",,,,,,,
228,,"Cafe Rio Holding, Inc.#+",One stop,,L + 5.25%,(c),,6.25%,,09/2023,,"2,231",,,"2,284",,,0.1,,"2,231",,,,,,,
229,,"Cafe Rio Holding, Inc.*#",One stop,,L + 5.25%,(c),,6.25%,,09/2023,,"1,417",,,"1,450",,,0.1,,"1,417",,,,,,,
230,,"Cafe Rio Holding, Inc.#+",One stop,,L + 5.25%,(c),,6.25%,,09/2023,,"1,250",,,"1,280",,,0,,"1,250",,,,,,,
231,,"Cafe Rio Holding, Inc.+",One stop,,L + 5.25%,(c),,6.25%,,09/2023,,180,,,180,,,0,,180,,,,,,,
232,,"Cafe Rio Holding, Inc.+",One stop,,L + 5.25%,,,N/A(6),,09/2023,,0,,,0,,,0,,0,,,,,,,
233,,"Captain D's, LLC#",Senior loan,,L + 4.50%,(c),,5.50%,,12/2023,,"13,688",,,"13,722",,,0.5,,"13,688",,,,,,,
234,,"Captain D's, LLC~",Senior loan,,L + 4.50%,(c),,5.50%,,12/2023,,"2,155",,,"2,126",,,0.1,,"2,155",,,,,,,
235,,"Captain D's, LLC+",Senior loan,,L + 4.50%,,,N/A(6),,12/2023,,0,,,0,,,0,,0,,,,,,,
236,,"Feeders Supply Company, LLC#+",One stop,,L + 5.50%,(a),,6.50%,,04/2023,,"8,938",,,"8,876",,,0.4,,"8,938",,,,,,,
237,,"Feeders Supply Company, LLC+",Subordinated debt,,,,,12.50% cash/7.00% PIK,,10/2023,,160,,,160,,,0,,160,,,,,,,
238,,"Feeders Supply Company, LLC+",One stop,,L + 5.50%,,,N/A(6),,04/2023,,0,,,0,,,0,,0,,,,,,,
239,,FWR Holding Corporation#+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,"10,424",,,"10,413",,,0.4,,"10,216",,,,,,,
240,,FWR Holding Corporation#+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,"1,823",,,"1,865",,,0.1,,"1,786",,,,,,,
241,,FWR Holding Corporation#+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,"1,152",,,"1,180",,,0,,"1,129",,,,,,,
242,,FWR Holding Corporation#+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,365,,,372,,,0,,358,,,,,,,
243,,FWR Holding Corporation+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,275,,,274,,,0,,269,,,,,,,
244,,FWR Holding Corporation#+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,273,,,278,,,0,,267,,,,,,,
245,,FWR Holding Corporation+,One stop,,L + 7.00%,(c),,6.50% cash/1.50% PIK,,08/2023,,132,,,130,,,0,,129,,,,,,,
246,,FWR Holding Corporation+(5),One stop,,L + 5.50%,,,N/A(6),,08/2023,,0,,,0,,,0,,(2),,,,,,,
247,,FWR Holding Corporation+,One stop,,L + 5.50%,,,N/A(6),,08/2023,,0,,,0,,,0,,0,,,,,,,
248,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,862,,,879,,,0,,862,,,,,,,
249,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,678,,,691,,,0,,678,,,,,,,
250,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,665,,,663,,,0,,665,,,,,,,
251,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,327,,,326,,,0,,327,,,,,,,
252,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,327,,,326,,,0,,327,,,,,,,
253,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,161,,,161,,,0,,161,,,,,,,
254,,"Mendocino Farms, LLC+",One stop,,L + 8.50%,(a),,2.00% cash/7.50% PIK,,06/2023,,98,,,97,,,0,,98,,,,,,,
255,,"Mendocino Farms, LLC+(5)",One stop,,L + 8.50%,,,N/A(6),,06/2023,,0,,,(1),,,0,,0,,,,,,,
256,,"Ruby Slipper Cafe LLC, The*+",One stop,,L + 8.50%,(c),,8.50% cash/1.00% PIK,,01/2023,,"2,046",,,"2,042",,,0.1,,"1,965",,,,,,,
257,,"Ruby Slipper Cafe LLC, The+",One stop,,L + 8.50%,(c),,8.50% cash/1.00% PIK,,01/2023,,414,,,423,,,0,,398,,,,,,,
258,,"Ruby Slipper Cafe LLC, The+",One stop,,L + 8.50%,(c),,8.50% cash/1.00% PIK,,01/2023,,30,,,30,,,0,,29,,,,,,,
259,,"Wetzel's Pretzels, LLC*#+",One stop,,L + 8.75%,(c),,7.75% cash/2.00% PIK,,09/2023,,"16,325",,,"16,118",,,0.6,,"16,325",,,,,,,
260,,"Wetzel's Pretzels, LLC+",One stop,,L + 8.75%,(c),,9.75%,,09/2023,,0,,,0,,,0,,0,,,,,,,
261,,Wood Fired Holding Corp.*#,One stop,,L + 7.75%,(c),,7.75% cash/1.00% PIK,,12/2023,,"14,216",,,"14,308",,,0.6,,"14,216",,,,,,,
262,,Wood Fired Holding Corp.+,One stop,,L + 7.75%,(c),,7.75% cash/1.00% PIK,,12/2023,,704,,,700,,,0,,704,,,,,,,
263,,Wood Fired Holding Corp.+,One stop,,L + 7.75%,(c),,7.75% cash/1.00% PIK,,12/2023,,202,,,201,,,0,,202,,,,,,,
264,,Zenput Inc.+,One stop,,L + 9.00%,(c),,7.00% cash/3.00% PIK,,06/2026,,"1,090",,,"1,084",,,0,,"1,108",,,,,,,
265,,Zenput Inc.+,One stop,,L + 6.00%,,,N/A(6),,06/2026,,0,,,0,,,0,,0,,,,,,,
266,,,,,,,,,,,,"103,755",,,"103,932",,,3.8,,"103,383",,,,,,,
268,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
269,,Food Products,,,,,,,,,,,,,,,,,,,,,,,,,
270,,"Borrower R365 Holdings, LLC+",One stop,,L + 6.50%,(c),,4.50% cash/3.00% PIK,,06/2027,,,"12,967",,,,"12,709",,,0.5,%,,"12,837",,,,
271,,"Borrower R365 Holdings, LLC+",One stop,,L + 6.50%,(c),,7.50%,,06/2027,,42,,,41,,,0.1,,42,,,,,,,
272,,"FCID Merger Sub, Inc.*~",One stop,,L + 6.00%,(c),,7.00%,,12/2026,,"13,660",,,"13,474",,,0.5,,"13,660",,,,,,,
273,,"FCID Merger Sub, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,12/2026,,0,,,(1),,,0,,0,,,,,,,
274,,"FCID Merger Sub, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,12/2026,,0,,,(39),,,0,,0,,,,,,,
275,,"Flavor Producers, LLC#~",Senior loan,,L + 5.75%,(c)(d),,5.75% cash/1.00% PIK,,12/2023,,"5,006",,,"4,925",,,0.2,,"4,805",,,,,,,
276,,"Flavor Producers, LLC+(5)",Senior loan,,L + 4.75%,,,N/A(6),,12/2022,,0,,,(2),,,0,,0,,,,,,,
277,,"Kodiak Cakes, LLC+",Senior loan,,L + 4.50%,(c),,5.50%,,06/2027,,"12,369",,,"12,245",,,0.5,,"12,245",,,,,,,
278,,"Kodiak Cakes, LLC+",Senior loan,,L + 4.50%,(c),,5.50%,,06/2026,,50,,,48,,,0.1,,48,,,,,,,
279,,"MAPF Holdings, Inc.*#~^",One stop,,L + 6.00%,(c),,7.00%,,12/2026,,"29,312",,,"29,046",,,1.2,,"29,312",,,,,,,
280,,"MAPF Holdings, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,12/2026,,0,,,(41),,,0,,0,,,,,,,
281,,"MAPF Holdings, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,12/2026,,0,,,(3),,,0,,0,,,,,,,
282,,"Purfoods, LLC+",One stop,,,,,7.00% PIK,,05/2026,,79,,,83,,,0.1,,79,,,,,,,
283,,,,,,,,,,,,"73,485",,,"72,485",,,3.2,,"73,028",,,,,,,
285,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
286,,Health Care Equipment & Supplies,,,,,,,,,,,,,,,,,,,,,,,,,
287,,"Aspen Medical Products, LLC#~",One stop,,L + 4.75%,(c),,5.75%,,06/2025,,,"4,115",,,,"4,174",,,0.2,%,,"4,115",,,,
288,,"Aspen Medical Products, LLC+",One stop,,L + 4.75%,(c),,5.75%,,06/2025,,263,,,261,,,0,,263,,,,,,,
289,,"Aspen Medical Products, LLC+",One stop,,L + 4.75%,,,N/A(6),,06/2025,,0,,,0,,,0,,0,,,,,,,
290,,"Belmont Instrument, LLC#^",Senior loan,,L + 4.75%,(c),,5.75%,,12/2023,,"5,216",,,"5,183",,,0.2,,"5,216",,,,,,,
291,,"Blades Buyer, Inc.#+~^",Senior loan,,L + 4.50%,(b)(c),,5.50%,,08/2025,,"8,735",,,"8,701",,,0.3,,"8,647",,,,,,,
292,,"Blades Buyer, Inc.+",Senior loan,,L + 4.50%,,,N/A(6),,08/2025,,0,,,0,,,0,,0,,,,,,,
293,,"Blades Buyer, Inc.+(5)",Senior loan,,L + 4.75%,,,N/A(6),,08/2025,,0,,,(18),,,0,,(14),,,,,,,
294,,"Blue River Pet Care, LLC#+",One stop,,L + 5.00%,(a),,5.10%,,07/2026,,"34,895",,,"34,866",,,1.4,,"34,895",,,,,,,
295,,"Blue River Pet Care, LLC+",One stop,,L + 5.00%,(a),,5.15%,,08/2025,,300,,,298,,,0,,300,,,,,,,
296,,"Blue River Pet Care, LLC+(5)",One stop,,L + 5.00%,,,N/A(6),,07/2026,,0,,,(24),,,0,,0,,,,,,,
297,,"CCSL Holdings, LLC*^",One stop,,L + 5.75%,(c),,6.75%,,12/2026,,"15,594",,,"15,415",,,0.6,,"15,594",,,,,,,
298,,"CCSL Holdings, LLC+(5)",One stop,,L + 5.75%,,,N/A(6),,12/2026,,0,,,(2),,,0,,0,,,,,,,
299,,"CCSL Holdings, LLC+(5)",One stop,,L + 5.75%,,,N/A(6),,12/2026,,0,,,(58),,,0,,0,,,,,,,
300,,CMI Parent Inc.#+^,Senior loan,,L + 4.25%,(c),,5.25%,,08/2025,,"6,583",,,"6,692",,,0.3,,"6,583",,,,,,,
301,,CMI Parent Inc.+(5),Senior loan,,L + 4.25%,,,N/A(6),,08/2025,,0,,,(2),,,0,,0,,,,,,,
302,,"Flexan, LLC+^",One stop,,L + 5.25%,(c),,6.25%,,02/2022,,"8,384",,,"8,364",,,0.3,,"8,384",,,,,,,
303,,"Flexan, LLC*#",One stop,,L + 5.25%,(c),,6.25%,,02/2022,,"3,247",,,"3,240",,,0.1,,"3,247",,,,,,,
304,,"Flexan, LLC+",One stop,,L + 5.25%,(c),,6.25%,,02/2022,,"2,329",,,"2,323",,,0.1,,"2,329",,,,,,,
305,,"Flexan, LLC#+",One stop,,L + 5.25%,(c),,6.25%,,02/2022,,"1,528",,,"1,524",,,0.1,,"1,528",,,,,,,
306,,"Flexan, LLC+(5)",One stop,,L + 5.25%,,,N/A(6),,02/2022,,0,,,(2),,,0,,0,,,,,,,
307,,"G & H Wire Company, Inc.#^",One stop,,L + 7.00%,(a),,8.00%,,09/2023,,"11,128",,,"11,093",,,0.4,,"11,128",,,,,,,
308,,"G & H Wire Company, Inc.+",One stop,,L + 7.00%,(a),,8.00%,,09/2022,,0,,,0,,,0,,0,,,,,,,
309,,"Joerns Healthcare, LLC*+",One stop,,L + 6.00%,(c),,7.00%,,08/2024,,"1,872",,,"1,836",,,0.1,,"1,834",,,,,,,
310,,"Joerns Healthcare, LLC*+",One stop,,L + 6.00%,(c),,7.00%,,08/2024,,"1,800",,,"1,778",,,0.1,,"1,764",,,,,,,
311,,"Katena Holdings, Inc.#+",One stop,,L + 6.00%,(c),,7.00%,,06/2024,,"12,629",,,"12,510",,,0.5,,"12,629",,,,,,,
312,,"Katena Holdings, Inc.#+",One stop,,L + 6.00%,(c),,7.00%,,06/2024,,"1,234",,,"1,223",,,0,,"1,234",,,,,,,
313,,"Katena Holdings, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,06/2024,,988,,,979,,,0,,988,,,,,,,
314,,"Katena Holdings, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,06/2024,,923,,,914,,,0,,923,,,,,,,
315,,"Katena Holdings, Inc.#+",One stop,,L + 6.00%,(c),,7.00%,,06/2024,,845,,,837,,,0,,845,,,,,,,
316,,"Katena Holdings, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,06/2024,,70,,,68,,,0,,70,,,,,,,
317,,"Lombart Brothers, Inc.*#+~",One stop,,L + 8.25%,(c),,8.25% cash/1.00% PIK,,04/2023,,"29,026",,,"28,992",,,1.1,,"28,445",,,,,,,
318,,"Lombart Brothers, Inc.#+(8)",One stop,,L + 8.25%,(c),,8.25% cash/1.00% PIK,,04/2023,,"3,108",,,"3,107",,,0.1,,"3,046",,,,,,,
319,,"Lombart Brothers, Inc.+",One stop,,L + 8.25%,(a),,8.25% cash/1.00% PIK,,04/2023,,116,,,115,,,0,,114,,,,,,,
320,,"Lombart Brothers, Inc.+(8)",One stop,,L + 8.25%,(a),,8.25% cash/1.00% PIK,,04/2023,,50,,,49,,,0,,48,,,,,,,
321,,,,,,,,,,,,"154,978",,,"154,436",,,5.9,,"154,155",,,,,,,
323,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
324,,Health Care Providers & Services,,,,,,,,,,,,,,,,,,,,,,,,,
325,,"Active Day, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,,"23,206",,,,"23,319",,,0.8,%,,"20,886",,,,
326,,"Active Day, Inc.#+",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,"1,791",,,"1,800",,,0.1,,"1,612",,,,,,,
327,,"Active Day, Inc.*#",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,"1,155",,,"1,159",,,0,,"1,039",,,,,,,
328,,"Active Day, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,919,,,927,,,0,,827,,,,,,,
329,,"Active Day, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,811,,,810,,,0,,731,,,,,,,
330,,"Active Day, Inc.*#",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,798,,,800,,,0,,718,,,,,,,
331,,"Active Day, Inc.+(5)",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,2,,,2,,,0,,(8),,,,,,,
332,,"Active Day, Inc.+",One stop,,L + 6.00%,(c),,7.00%,,12/2021,,0,,,0,,,0,,0,,,,,,,
333,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 8.25%,(c),,7.25% cash/2.00% PIK,,03/2025,,"4,121",,,"4,142",,,0.2,,"4,113",,,,,,,
334,,"Acuity Eyecare Holdings, LLC#+",One stop,,L + 8.25%,(c),,7.25% cash/2.00% PIK,,03/2025,,"3,497",,,"3,569",,,0.1,,"3,490",,,,,,,
335,,"Acuity Eyecare Holdings, LLC+~",One stop,,L + 8.25%,(c),,7.25% cash/2.00% PIK,,03/2025,,"3,238",,,"3,326",,,0.1,,"3,231",,,,,,,
336,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 6.25%,(c),,7.25%,,03/2025,,"2,029",,,"1,996",,,0.1,,"2,022",,,,,,,
337,,"Acuity Eyecare Holdings, LLC+~",One stop,,L + 8.25%,(c),,7.25% cash/2.00% PIK,,03/2025,,"1,889",,,"1,971",,,0.1,,"1,885",,,,,,,
338,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 8.25%,(c),,7.25% cash/2.00% PIK,,03/2025,,457,,,472,,,0,,456,,,,,,,
339,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 13.00%,(c),,7.25% cash/6.75% PIK,,03/2025,,235,,,234,,,0,,249,,,,,,,
340,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 6.25%,(c),,7.25%,,03/2025,,174,,,173,,,0,,174,,,,,,,
341,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 8.25%,(c),,7.25% cash/2.00% PIK,,03/2025,,168,,,167,,,0,,168,,,,,,,
342,,"Acuity Eyecare Holdings, LLC+",Senior loan,,L + 6.25%,(c),,7.25%,,03/2025,,111,,,110,,,0,,111,,,,,,,
343,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 13.00%,(c),,7.25% cash/6.75% PIK,,03/2025,,89,,,89,,,0,,95,,,,,,,
344,,"Acuity Eyecare Holdings, LLC+",One stop,,L + 6.25%,(c),,7.25%,,03/2025,,0,,,0,,,0,,0,,,,,,,
345,,"Acuity Eyecare Holdings, LLC+(5)",One stop,,L + 6.00%,,,N/A(6),,03/2025,,0,,,(179),,,0,,(186),,,,,,,
346,,"Advanced Pain Management Holdings, Inc.+(7)",Senior loan,,L + 5.00%,(c),,6.25%,,07/2021,,"11,433",,,"6,860",,,0,,199,,,,,,,
347,,"Advanced Pain Management Holdings, Inc.+(7)",Senior loan,,L + 8.50%,(c),,9.75%,,07/2021,,"4,082",,,7,,,0,,0,,,,,,,
348,,"Advanced Pain Management Holdings, Inc.+(7)",Senior loan,,L + 5.00%,(c),,6.25%,,07/2021,,782,,,469,,,0,,14,,,,,,,
349,,"Advanced Pain Management Holdings, Inc.+(5)(7)",Senior loan,,L + 5.00%,(c),,6.25%,,07/2021,,348,,,(20),,,0,,5,,,,,,,
350,,"Agilitas USA, Inc.*#",One stop,,L + 7.75%,(c),,8.75%,,04/2022,,"6,621",,,"6,623",,,0.3,,"6,621",,,,,,,
351,,"Agilitas USA, Inc.+",One stop,,L + 7.75%,(c),,8.75%,,04/2022,,100,,,100,,,0,,100,,,,,,,
352,,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+,One stop,,L + 6.00%,(c),,7.00%,,03/2027,,"3,986",,,"3,929",,,0.2,,"3,986",,,,,,,
353,,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+,One stop,,L + 10.50%,(c),,11.50%,,03/2028,,"1,632",,,"1,609",,,0.1,,"1,632",,,,,,,
354,,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+,One stop,,L + 6.00%,(c),,7.00%,,03/2027,,592,,,547,,,0,,592,,,,,,,
355,,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+,One stop,,L + 10.50%,(c),,11.50%,,03/2028,,140,,,133,,,0,,140,,,,,,,
356,,AVG Intermediate Holdings & AVG Subsidiary Holdings LLC+(5),One stop,,L + 6.00%,,,N/A(6),,03/2027,,0,,,(2),,,0,,0,,,,,,,
357,,"CRH Healthcare Purchaser, Inc.*~",Senior loan,,L + 4.50%,(c),,5.50%,,12/2024,,"19,502",,,"19,549",,,0.8,,"19,502",,,,,,,
358,,"CRH Healthcare Purchaser, Inc.+",Senior loan,,L + 4.50%,(c),,5.50%,,12/2024,,"4,164",,,"4,153",,,0.2,,"4,164",,,,,,,
359,,"CRH Healthcare Purchaser, Inc.+(5)",Senior loan,,L + 4.50%,,,N/A(6),,12/2024,,0,,,(1),,,0,,0,,,,,,,
360,,Deca Dental Management LLC*#+,One stop,,L + 6.00%,(c),,7.00%,,05/2022,,"11,310",,,"11,360",,,0.4,,"11,310",,,,,,,
361,,Deca Dental Management LLC#~,One stop,,L + 7.50%,(c),,7.00% cash/1.50% PIK,,05/2022,,"1,377",,,"1,383",,,0.1,,"1,377",,,,,,,
362,,Deca Dental Management LLC+~,One stop,,L + 6.00%,(c),,7.00%,,05/2022,,994,,,998,,,0,,994,,,,,,,
363,,Deca Dental Management LLC+,One stop,,L + 6.00%,(c),,7.00%,,05/2022,,737,,,742,,,0,,737,,,,,,,
364,,Deca Dental Management LLC+,One stop,,L + 6.00%,(c),,7.00%,,05/2022,,2,,,0,,,0,,2,,,,,,,
366,,,Investment Type,,SpreadAboveIndex(1),,InterestRate(2),,MaturityDate,,Principal ($) /Shares(3),,Amortized Cost,,Percentageof NetAssets,,FairValue(4),,,,,,,,,,
367,,Health Care Providers & Services - (continued),,,,,,,,,,,,,,,,,,,,,,,,,
368,,Deca Dental Management LLC+,One stop,,L + 6.00%,(c),,7.00%,,05/2022,,,0,,,,0,,,0,%,,0,,,,
369,,"Emerge Intermediate, Inc.*#",One stop,,L + 8.50%,(c),,7.00% cash/2.50% PIK,,05/2024,,"19,182",,,"18,976",,,0.7,,"18,798",,,,,,,
370,,"Emerge Intermediate, Inc.+(5)",One stop,,L + 6.00%,,,N/A(6),,05/2024,,0,,,(2),,,0,,(6),,,,,,,
371,,Encorevet Group LLC+,One stop,,L + 5.25%,(c),,6.25%,,11/2024,,706,,,698,,,0,,706,,,,,,,
372,,Encorevet Group LLC+,Senior loan,,L + 5.25%,(c),,6.25%,,11/2024,,248,,,246,,,0,,248,,,,,,,
373,,Encorevet Group LLC+,Senior loan,,L + 5.25%,(c),,6.25%,,11/2024,,111,,,111,,,0,,111,,,,,,,
374,,Encorevet Group LLC+,Senior loan,,L + 5.25%,(c),,6.25%,,11/2024,,69,,,69,,,0,,69,,,,,,,
375,,Encorevet Group LLC+,Senior loan,,L + 5.25%,(c),,6.25%,,11/2024,,57,,,57,,,0,,57,,,,,,,
376,,Encorevet Group LLC+,Senior loan,,L + 5.25%,(c),,6.25%,,11/2024,,10,,,10,,,0,,10,,,,,,,
377,,Encorevet Group LLC+,Senior loan,,L + 5.25%,,,N/A(6),,11/2024,,0,,,0,,,0,,0,,,,,,,
378,,"ERC Finance, LLC+",One stop,,L + 6.00%,(a),,7.00%,,04/2024,,"6,896",,,"6,767",,,0.3,,"6,759",,,,,,,
379,,"ERC Finance, LLC+",One stop,,L + 6.00%,(a),,7.00%,,04/2024,,7,,,6,,,0,,6,,,,,,,
380,,"ERC Finance, LLC+(5)",One stop,,L + 6.00%,,,N/A(6),,04/2024,,0,,,(4),,,0,,(4),,,,,,,
381,,Eyecare Services Partners Holdings LLC+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,"18,090",,,"18,164",,,0.6,,"16,281",,,,,,,
382,,Eyecare Services Partners Holdings LLC*+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,"7,936",,,"8,026",,,0.3,,"7,142",,,,,,,
383,,Eyecare Services Partners Holdings LLC*#,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,"6,950",,,"7,034",,,0.2,,"6,255",,,,,,,
384,,Eyecare Services Partners Holdings LLC+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,"5,115",,,"5,130",,,0.2,,"4,604",,,,,,,
385,,Eyecare Services Partners Holdings LLC*+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,"2,373",,,"2,403",,,0.1,,"2,136",,,,,,,
386,,Eyecare Services Partners Holdings LLC*+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,"1,523",,,"1,541",,,0.1,,"1,371",,,,,,,
387,,Eyecare Services Partners Holdings LLC*#,One stop,,L + 6.25%,(c),,7.24%,,05/2023,,"1,126",,,"1,140",,,0,,"1,013",,,,,,,
388,,Eyecare Services Partners Holdings LLC*#,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,992,,,"1,004",,,0,,893,,,,,,,
389,,Eyecare Services Partners Holdings LLC*+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,640,,,647,,,0,,576,,,,,,,
390,,Eyecare Services Partners Holdings LLC+,One stop,,L + 6.25%,(c),,7.25%,,05/2023,,400,,,399,,,0,,360,,,,,,,
391,,"FYI Optical Acquisitions, Inc. & FYI USA, Inc.~(8)(9)(12)",One stop,,L + 4.50%,(m),,4.50%,,03/2027,,"11,742",,,"11,647",,,0.5,,"12,552",,,,,,,
392,,"FYI Optical Acquisitions, Inc. & FYI USA, Inc.+(8)(9)(12)",One stop,,L + 4.50%,(m),,4.50%,,03/2027,,133,,,131,,,0,,144,,,,,,,
393,,"FYI Optical Acquisitions, Inc. & FYI USA, Inc.+(8)(12)",One stop,,L + 4.50%,(c),,5.50%,,03/2027,,20,,,19,,,0,,19,,,,,,,
394,,"FYI Optical Acquisitions, Inc. & FYI USA, Inc.+(5)(8)(9)(12)",One stop,,L + 4.50%,,,N/A(6),,03/2027,,0,,,(6),,,0,,(6),,,,,,,
395,,Klick Inc.+(8)(12),Senior loan,,L + 4.50%,(c),,5.50%,,03/2028,,"10,124",,,"10,026",,,0.4,,"10,124",,,,,,,
396,,Klick Inc.+(5)(8)(12),Senior loan,,L + 4.50%,,,N/A(6),,03/2026,,0,,,(1),,,0,,0,,,,,,,
397,,"Krueger-Gilbert Health Physics, LLC+~",Senior loan,,L + 5.25%,(c),,6.25%,,05/2025,,"2,341",,,"2,331",,,0.1,,"2,341",,,,,,,
398,,"Krueger-Gilbert Health Physics, LLC+",Senior loan,,L + 5.25%,(c),,6.25%,,05/2025,,"1,171",,,"1,170",,,0,,"1,171",,,,,,,
399,,"Krueger-Gilbert Health Physics, LLC+",Senior loan,,L + 5.25%,(c),,6.25%,,05/2025,,"1,108",,,"1,140",,,0,,"1,108",,,,,,,
400,,"Krueger-Gilbert Health Physics, LLC+",Senior loan,,L + 5.25%,(c),,6.25%,,05/2025,,50,,,50,,,0,,50,,,,,,,
401,,"MD Now Holdings, Inc.#+",One stop,,L + 5.00%,(c),,6.00%,,08/2025,,"22,430",,,"22,475",,,0.9,,"22,205",,,,,,,
402,,"MD Now Holdings, Inc.+",One stop,,L + 5.00%,(c),,6.00%,,08/2025,,621,,,621,,,0,,614,,,,,,,
403,,"MD Now Holdings, Inc.+(5)",One stop,,L + 5.00%,,,N/A(6),,08/2025,,0,,,(1),,,0,,(4),,,,,,,
404,,"MWD Management, LLC & MWD Services, Inc.#+^",One stop,,L + 5.50%,(c),,6.50%,,06/2023,,"9,309",,,"9,273",,,0.4,,"9,309",,,,,,,
