,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25
226,,,First Lien Secured Debt,,"8.00 (1M L+625, 1.00 Floor)",,06/09/23,,C$,2406,,,1760,,,1791,,,(9)(17),,,,,,,
227,"Altasciences US Acquisition, Inc.",,First Lien Secured Debt,,"8.49 (1M L+625, 1.00 Floor)",,06/09/23,,5209,,,5117,,,5013,,,(9),,,,,,,,
228,,,First Lien Secured Debt - Unfunded Revolver,,0.25 Unfunded,,06/09/23,,1425,,,(4,,,(53,,,(8)(9)(21)(23)(28),,,,,,,,
229,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,06/09/23,,2851,,,(5,,,(107,,,(8)(9)(21)(23)(28),,,,,,,,
230,,,,,,,,,,,9701,,,9420,,,,,,,,,,,,
231,"Amerivet Partners Management, Inc.",,First Lien Secured Debt,,"7.99 (1M L+575, 1.00 Floor)",,06/05/24,,6030,,,5887,,,5886,,,(9),,,,,,,,
232,,,First Lien Secured Debt,,"7.92 (1M L+575, 1.00 Floor)",,06/05/24,,1809,,,1787,,,1765,,,(9),,,,,,,,
233,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50 Unfunded,,06/05/24,,18340,,,(149,,,(438,,,(8)(9)(21)(23),,,,,,,,
234,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/05/24,,806,,,(12,,,(19,,,(8)(9)(21)(23),,,,,,,,
235,,,,,,,,,,,7513,,,7194,,,,,,,,,,,,
236,Analogic Corporation,,First Lien Secured Debt,,"8.21 (1M L+600, 1.00 Floor)",,06/22/24,,27391,,,26738,,,27117,,,(9),,,,,,,,
237,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,06/22/23,,2609,,,(62,,,(26,,,(8)(9)(21)(23),,,,,,,,
238,,,,,,,,,,,26676,,,27091,,,,,,,,,,,,
239,Aptevo Therapeutics Inc.,,First Lien Secured Debt,,"9.86 (1M L+760, 0.50 Floor)",,02/01/23,,8571,,,8688,,,8532,,,(9),,,,,,,,
240,"Argon Medical Devices Holdings, Inc.",,Second Lien Secured Debt,,"10.24 (1M L+800, 1.00 Floor)",,01/23/26,,19600,,,19510,,,19759,,,(10),,,,,,,,
241,"Avalign Technologies, Inc.",,Second Lien Secured Debt,,"10.76 (6M L+825, 1.00 Floor)",,09/02/24,,5500,,,5454,,,5459,,,,,,,,,,,
242,"BioClinica Holding I, LP",,Second Lien Secured Debt,,"10.63 (3M L+825, 1.00 Floor)",,10/21/24,,24612,,,24225,,,22643,,,(10),,,,,,,,
243,"Elements Behavioral Health, Inc.",,Second Lien Secured Debt,,"15.15 (3M L+1275 PIK, 1.00 Floor)",,02/11/20,,12353,,,11911,,,0,,,(13)(14),,,,,,,,
244,"Genesis Healthcare, Inc.",,First Lien Secured Debt,,"8.40 (3M L+600, 0.50 Floor)",,03/06/23,,25000,,,24668,,,24673,,,(9),,,,,,,,
245,,,First Lien Secured Debt,,"13.40 (3M L+1100, 1.00 Floor)",,03/06/23,,4565,,,4565,,,4506,,,(9),,,,,,,,
246,,,First Lien Secured Debt - Revolver,,"8.40 (3M L+600, 0.50 Floor)",,03/06/23,,19522,,,19522,,,19270,,,(9)(23),,,,,,,,
247,,,First Lien Secured Debt - Revolver,,"5.65 (3M L+325, 0.50 Floor)",,03/06/23,,12167,,,12167,,,12010,,,(9)(23),,,,,,,,
248,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,03/06/23,,29180,,,(696,,,(377,,,(8)(9)(21)(23),,,,,,,,
249,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.00 Unfunded,,03/06/23,,4565,,,(162,,,(60,,,(8)(9)(21)(23),,,,,,,,
250,,,,,,,,,,,60064,,,60022,,,,,,,,,,,,
251,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
252,"Invuity, Inc.",,First Lien Secured Debt,,"8.76 (1M L+650, 1.50 Floor)",,03/01/22,,10000,,,9896,,,11000,,,(9),,,,,,,,
253,,,First Lien Secured Debt - Revolver,,"5.51 (1M L+325, 1.50 Floor)",,03/01/22,,446,,,446,,,455,,,(9)(23),,,,,,,,
254,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,03/01/22,,2554,,,(1,,,0,,,(9)(21)(23),,,,,,,,
255,,,Common Equity/Interests - Warrants,,N/A,,N/A,,"32,803 Warrants",,,180,,,0,,,(9)(13),,,,,,,,
256,,,,,,,,,,,10521,,,11455,,,,,,,,,,,,
257,"Lanai Holdings III, Inc.",,Second Lien Secured Debt,,"10.84 (3M L+850, 1.00 Floor)",,08/28/23,,17391,,,17027,,,16609,,,(10),,,,,,,,
258,"LSCS Holdings, Inc",,Second Lien Secured Debt,,10.64 (3M L+825),,03/16/26,,16669,,,16318,,,16586,,,,,,,,,,,
259,,,Second Lien Secured Debt,,10.64 (3M L+825),,03/16/26,,3149,,,3083,,,3133,,,,,,,,,,,
260,,,Second Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,03/16/26,,1397,,,(14,,,(3,,,(8)(21)(23),,,,,,,,
261,,,,,,,,,,,19387,,,19716,,,,,,,,,,,,
262,"Maxor National Pharmacy Services, LLC",,First Lien Secured Debt,,"8.37 (3M L+600, 1.00 Floor)",,11/22/23,,24860,,,24332,,,24375,,,(9),,,,,,,,
263,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,11/22/22,,1558,,,(7,,,(31,,,(8)(9)(21)(23),,,,,,,,
264,,,,,,,,,,,24325,,,24344,,,,,,,,,,,,
265,"Oxford Immunotec, Inc.",,First Lien Secured Debt,,"9.86 (1M L+760, 0.50 Floor)",,10/01/21,,9750,,,9949,,,9985,,,(9)(17),,,,,,,,
266,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,10/01/21,,1000,,,0,,,0,,,(9)(17)(21)(23),,,,,,,,
267,,,,,,,,,,,9949,,,9985,,,,,,,,,,,,
268,"Partner Therapeutics, Inc",,First Lien Secured Debt,,"8.91 (1M L+665, 1.00 Floor)",,01/01/23,,10000,,,9840,,,9845,,,(9),,,,,,,,
269,,,Preferred Equity - Preferred Stock,,N/A,,N/A,,"55,556 Shares",,,333,,,333,,,(9),,,,,,,,
270,,,Common Equity/Interests - Warrants,,N/A,,N/A,,"33,333 Warrants",,,135,,,99,,,(9)(13),,,,,,,,
271,,,,,,,,,,,10308,,,10277,,,,,,,,,,,,
272,"PTC Therapeutics, Inc",,First Lien Secured Debt,,"8.41 (1M L+615, 1.00 Floor)",,05/01/21,,12667,,,12626,,,12793,,,(9)(17),,,,,,,,
273,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,05/01/21,,6333,,,(2,,,0,,,(9)(17)(21)(23),,,,,,,,
274,,,,,,,,,,,12624,,,12793,,,,,,,,,,,,
275,"RiteDose Holdings I, Inc.",,First Lien Secured Debt,,"9.15 (3M L+675, 1.00 Floor)",,09/13/23,,14888,,,14487,,,14319,,,(9),,,,,,,,
276,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,09/13/22,,2000,,,(7,,,(67,,,(8)(9)(21)(23),,,,,,,,
277,,,,,,,,,,,14480,,,14252,,,,,,,,,,,,
278,"Teladoc, Inc.",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,07/14/20,,1306,,,(40,,,(1,,,(8)(17)(21)(23),,,,,,,,
279,,,First Lien Secured Debt - Letters of Credit,,7.25,,1/12/19 - 5/15/20,,360,,,0,,,0,,,(8)(17)(23),,,,,,,,
280,,,,,,,,,,,(40,,,(1,,,,,,,,,,,,
281,"TherapeuticsMD, Inc.",,First Lien Secured Debt,,"10.01 (1M L+775, 1.50 Floor)",,05/01/23,,22500,,,22346,,,22275,,,(9)(17),,,,,,,,
282,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,05/01/23,,37500,,,(350,,,(375,,,(8)(9)(17)(21)(23),,,,,,,,
283,,,,,,,,,,,21996,,,21900,,,,,,,,,,,,
284,"Wright Medical Group, Inc.",,First Lien Secured Debt,,"10.11 (1M L+785, 1.00 Floor)",,12/23/21,,6667,,,6548,,,6533,,,(9)(17),,,,,,,,
285,,,First Lien Secured Debt - Revolver,,"6.51 (1M L+425, 0.75 Floor)",,12/23/21,,11933,,,11933,,,11933,,,(9)(17)(23),,,,,,,,
286,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/23/21,,38067,,,(323,,,0,,,(9)(17)(21)(23),,,,,,,,
287,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
288,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,12/23/21,,6667,,,(119,,,(133,,,(8)(9)(17)(21)(23),,,,,,,,
289,,,,,,,,,,,18039,,,18333,,,,,,,,,,,,
290,Total Healthcare & Pharmaceuticals,,,,332358,,,,319783,,,,,,,,,,,,,,,,,
291,High Tech Industries,,,,,,,,,,,,,,,,,,,,,,,,,
292,"ChargePoint, Inc.",,First Lien Secured Debt,,"8.81 (1M L+655, 1.25 Floor)",,06/01/23,,,10500,,,,10400,,,,10411,,,(9),,,,,
293,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00 Unfunded,,06/01/23,,3000,,,(29,,,0,,,(9)(21)(23),,,,,,,,
294,,,,,,,,,,,10371,,,10411,,,,,,,,,,,,
295,ChyronHego Corporation,,First Lien Secured Debt,,"7.43 (3M L+643, 1.00 Floor)",,03/09/20,,34812,,,34584,,,33419,,,(18),,,,,,,,
296,"DigiCert Holdings, Inc.",,Second Lien Secured Debt,,"10.24 (1M L+800, 1.00 Floor)",,10/31/25,,15196,,,15129,,,15111,,,(10),,,,,,,,
297,"FiscalNote, Inc.",,First Lien Secured Debt,,"10.17 (1M L+800, 1.00 Floor)",,08/21/23,,28125,,,27369,,,27352,,,(9),,,,,,,,
298,,,First Lien Secured Debt - Revolver,,"10.22 (1M L+800, 1.00 Floor)",,08/21/23,,1125,,,1125,,,1094,,,(9)(23),,,,,,,,
299,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,08/21/23,,1500,,,(71,,,(41,,,(8)(9)(21)(23),,,,,,,,
300,,,Preferred Equity - Series F Preferred Stock,,N/A,,N/A,,"259,564 Shares",,,1500,,,1500,,,(9),,,,,,,,
301,,,,,,,,,,,29923,,,29905,,,,,,,,,,,,
302,"International Cruise & Excursion Gallery, Inc.",,First Lien Secured Debt,,"7.49 (1M L+525, 1.00 Floor)",,06/06/25,,14962,,,14675,,,14888,,,,,,,,,,,
303,LabVantage Solutions,,,,,,,,,,,,,,,,,,,,,,,,,
304,LabVantage Solutions Inc.,,First Lien Secured Debt,,"9.74 (1M L+750, 1.00 Floor)",,12/29/20,,12421,,,12238,,,12297,,,,,,,,,,,
305,LabVantage Solutions Limited,,First Lien Secured Debt,,"7.50 (1M E+750, 1.00 Floor)",,12/29/20,,€,12195,,,12930,,,14023,,,(17),,,,,,,
306,,,First Lien Secured Debt - Revolver,,"7.50 (1M E+750, 1.00 Floor)",,12/29/20,,€,609,,,750,,,700,,,(17)(23),,,,,,,
307,,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/29/20,,€,2827,,,(120,,,(33,,,(8)(17)(21)(23),,,,,,,
308,,,,,,,,,,,25798,,,26987,,,,,,,,,,,,
309,"Omnitracs, LLC",,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,03/23/23,,3750,,,(302,,,(338,,,(8)(21)(23),,,,,,,,
310,"Smokey Merger Sub, Inc.",,Second Lien Secured Debt,,"10.82 (3M L+850, 1.00 Floor)",,05/24/24,,30000,,,29272,,,30300,,,(9),,,,,,,,
311,Telestream Holdings Corporation,,First Lien Secured Debt,,"7.61 (3M L +645, 1.00 Floor)",,03/24/22,,36166,,,35902,,,35262,,,(18),,,,,,,,
312,Tibco Software Inc.,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,12/05/19,,6000,,,0,,,(840,,,(8)(21)(23),,,,,,,,
313,"ZPower, LLC",,First Lien Secured Debt,,"10.01 (1M L+775, 1.00 Floor)",,07/01/22,,6667,,,6659,,,6624,,,(9),,,,,,,,
314,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.00 Unfunded,,07/01/22,,1667,,,(7,,,(11,,,(8)(9)(21)(23),,,,,,,,
315,,,Common Equity/Interests - Warrants,,N/A,,N/A,,"29,630 Warrants",,,48,,,65,,,(9)(13),,,,,,,,
316,,,,,,,,,,,6700,,,6678,,,,,,,,,,,,
317,Total High Tech Industries,,,,202052,,,,201783,,,,,,,,,,,,,,,,,
318,"Hotel, Gaming, Leisure, Restaurants",,,,,,,,,,,,,,,,,,,,,,,,,
319,GFRC Holdings LLC,,First Lien Secured Debt,,"10.21 (2M L+800 Cash (L+800 PIK Toggle), 1.50 Floor)",,02/01/22,,,2500,,,,2500,,,,2500,,,,,,,,
320,"Total Hotel, Gaming, Leisure, Restaurants",,,,2500,,,,2500,,,,,,,,,,,,,,,,,
321,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity  Date,,Par / Shares (12),,Cost (30),,Fair  Value (1) (31),,,,,,,,,,,,,
322,Insurance,,,,,,,,,,,,,,,,,,,,,,,,,
323,Confie Seguros Holding II Co.,,Second Lien Secured Debt,,"11.74 (1M L+950, 1.25 Floor)",,05/08/19,,,16844,,,,16823,,,,16423,,,(10),,,,,
324,Total Insurance,,,,16823,,,,16423,,,,,,,,,,,,,,,,,
325,"Manufacturing, Capital Equipment",,,,,,,,,,,,,,,,,,,,,,,,,
326,MedPlast Holdings Inc.,,Second Lien Secured Debt,,10.15 (3M L+775),,07/02/26,,,8000,,,,7922,,,,8140,,,(10),,,,,
327,"Total Manufacturing, Capital Equipment",,,,7922,,,,8140,,,,,,,,,,,,,,,,,
328,Media – Diversified & Production,,,,,,,,,,,,,,,,,,,,,,,,,
329,SESAC Holdco II LLC,,First Lien Secured Debt - Unfunded Revolver,,0.50 Unfunded,,02/23/22,,,587,,,,(1,,,,(44,,,(8)(21)(23),,,,,
330,,,Second Lien Secured Debt,,"9.49 (1M L+725, 1.00 Floor)",,02/24/25,,3241,,,3215,,,3231,,,(10),,,,,,,,
331,Total Media – Diversified & Production,,,,3214,,,,3187,,,,,,,,,,,,,,,,,
332,Metals & Mining,,,,,,,,,,,,,,,,,,,,,,,,,
333,"Magnetation, LLC",,First Lien Secured Debt,,10.40 (3M L+800 Cash (PIK Toggle)),,12/31/19,,,1352,,,,1273,,,,157,,,(13)(14),,,,,
334,Total Metals & Mining,,,,1273,,,,157,,,,,,,,,,,,,,,,,
335,Telecommunications,,,,,,,,,,,,,,,,,,,,,,,,,
336,IPC Corporation,,First Lien Secured Debt,,"7.33 (3M L+500, 1.00 Floor)",,08/06/21,,,10000,,,,9913,,,,9850,,,(9),,,,,
337,"Securus Technologies Holdings, Inc.",,Second Lien Secured Debt,,"10.49 (1M L+825, 1.00 Floor)",,11/01/25,,12878,,,12764,,,12958,,,(10),,,,,,,,
338,UniTek Global Services Inc.,,First Lien Secured Debt - Letters of Credit,,7.50,,01/13/19,,3415,,,0,,,0,,,(23),,,,,,,,
339,Total Telecommunications,,,,22677,,,,22808,,,,,,,,,,,,,,,,,
340,"Transportation – Cargo, Distribution",,,,,,,,,,,,,,,,,,,,,,,,,
341,"Dynamic Product Tankers, LLC (5)",,First Lien Secured Debt,,9.39 (3M L+700),,06/30/23,,,42000,,,,41810,,,,42000,,,(17),,,,,
342,,,First Lien Secured Debt - Letters of Credit,,2.25,,9/20/19 - 1/31/21,,2750,,,0,,,0,,,(17)(23),,,,,,,,
343,,,Common Equity/Interests - Class A Units,,N/A,,N/A,,N/A,,,48956,,,39424,,,(17)(24),,,,,,,,
344,,,,,,,,,,,90766,,,81424,,,,,,,,,,,,
345,MSEA Tankers LLC (5),,Common Equity/Interests - Class A Units,,N/A,,N/A,,N/A,,,74450,,,73775,,,(17)(25),,,,,,,,
346,"PT Intermediate Holdings III, LLC",,Second Lien Secured Debt,,"10.39 (3M L+800, 1.00 Floor)",,12/08/25,,9375,,,9290,,,9516,,,,,,,,,,,
347,"Total Transportation – Cargo, Distribution",,,,174506,,,,164715,,,,,,,,,,,,,,,,,
348,Utilities – Electric,,,,,,,,,,,,,,,,,,,,,,,,,
349,Asset Repackaging Trust Six B.V.,,Structured Products and Other,,12.81,,05/18/27,,,58411,,,,26247,,,,28747,,,(11)(17)(19),,,,,
350,Total Utilities – Electric,,,,26247,,,,28747,,,,,,,,,,,,,,,,,
351,Total Investments before Cash Equivalents and Option Contracts,,,,,2350117,,,,2324741,,,,,,,,,,,,,,,,
352,J.P. Morgan U.S. Government Money Market Fund,,N/A,,N/A,,N/A,,,17124,,,,17124,,,,17124,,,(22),,,,,
353,Total Investments after Cash Equivalents and before Option Contracts,,,,,2367241,,,,2341865,,,,,,,,,,,,,,,,
354,Counterparty,,Instrument,,Exercise Price,,Maturity Date,,Number of Contracts,,Notional Amount (27),,Cost (Proceeds),,Fair Value (1),,,,,,,,,,,
355,Purchased Put Options,,,,,,,,,,,,,,,,,,,,,,,,,
356,CME Group,,WTI Crude Oil Put Options,,,42.05,,,12/31/19,,125,,,,5256,,,,150,,,,50,,,(10)
357,CME Group,,WTI Crude Oil Put Options,,42.85,,,12/31/19,,125,,,5356,,,138,,,56,,,(10),,,,
358,CME Group,,WTI Crude Oil Put Options,,45.00,,,10/31/18 - 4/30/19,,572,,,25740,,,878,,,15,,,(10),,,,
359,Total Purchased Put Options,,,,,,,,,,,1166,,,,121,,,(16),,,,,,,
360,Written Call Options,,,,,,,,,,,,,,,,,,,,,,,,,
361,CME Group,,WTI Crude Oil Call Options,,,54.30,,,10/31/18 - 3/29/19,,137,,,,"(7,439",,,,(354,,,,"(2,527",,,(10)
362,CME Group,,WTI Crude Oil Call Options,,55.00,,,10/31/18 - 3/29/19,,127,,,"(6,985",,,(317,,,"(2,253",,,(10),,,,
363,CME Group,,WTI Crude Oil Call Options,,57.50,,,10/31/18 - 4/30/19,,154,,,"(8,855",,,(323,,,"(2,367",,,(10),,,,
364,CME Group,,WTI Crude Oil Call Options,,62.75,,,10/31/18 - 4/30/19,,154,,,"(9,664",,,(189,,,"(1,640",,,(10),,,,
365,CME Group,,WTI Crude Oil Call Options,,85.00,,,12/31/19,,250,,,"(21,250",,,(287,,,(425,,,(10),,,,
366,Total Written Call Options,,,,,,,,,"(1,470",,,,"(9,212",,,(16),,,,,,,,,
367,Total Investments after Cash Equivalents and Option Contracts,,,,,2366937,,,,2332774,,,(6)(7),,,,,,,,,,,,,
368,(4),"Denotes investments in which we are an “Affiliated Person,” as defined in the 1940 Act, due to holding the power to vote or owning 5 or more of the outstanding voting securities of the investment but not controlling the company. Fair value as of  March 31, 2018  and  September 30, 2018  along with transactions during the  six months ended September 30, 2018  in these affiliated investments are as follows:",,,,,,,,,,,,,,,,,,,,,,,,
369,(5),"Denotes investments in which we are deemed to exercise a controlling influence over the management or policies of a company, as defined in the 1940 Act, due to beneficially owning, either directly or through one or more controlled companies, more than 25 of the outstanding voting securities of the investment. Fair value as of  March 31, 2018  and  September 30, 2018  along with transactions during the  six months ended September 30, 2018  in these controlled investments are as follows:",,,,,,,,,,,,,,,,,,,,,,,,
370,(11),"These securities are exempt from registration under Rule 144A of the Securities Act of 1933. These securities may be resold in transactions that are exempt from registration, normally to qualified institutional buyers.",,,,,,,,,,,,,,,,,,,,,,,,
371,(21),The rates associated with these undrawn committed revolvers and delayed draw term loans represent rates for commitment and unused fees.,,,,,,,,,,,,,,,,,,,,,,,,
372,(23),"As of  September 30, 2018  , the Company had the following commitments to fund various revolving and delayed draw senior secured and subordinated loans, including commitments to issue letters of credit through a financial intermediary on behalf of certain portfolio companies. Such commitments are subject to the satisfaction of certain conditions set forth in the documents governing these loans and letters of credit and there can be no assurance that such conditions will be satisfied. See  Note 10  to the financial statements for further information on revolving and delayed draw loan commitments, including commitments to issue letters of credit, related to certain portfolio companies.",,,,,,,,,,,,,,,,,,,,,,,,
373,(24),"As of  September 30, 2018  , Dynamic Product Tankers, LLC had various classes of limited liability interests outstanding of which the Company holds Class A-1 and Class A-3 units which are identical except that Class A-1 unit is voting and Class A-3 unit is non-voting. The units entitle the Company to appoint three out of five managers to the board of managers.",,,,,,,,,,,,,,,,,,,,,,,,
374,(30),"The following shows the composition of the Company’s portfolio at cost by control designation, investment type and industry as of  September 30, 2018  :",,,,,,,,,,,,,,,,,,,,,,,,
375,(31),"The following shows the composition of the Company’s portfolio at fair value by control designation, investment type and industry as of  September 30, 2018  :",,,,,,,,,,,,,,,,,,,,,,,,
376,Industry Classification,"Percentage of Total Investments (at Fair Value) as of September 30, 2018",,,,,,,,,,,,,,,,,,,,,,,,
377,Aviation and Consumer Transport,19.6,,,,,,,,,,,,,,,,,,,,,,,,
378,Business Services,15.8,,,,,,,,,,,,,,,,,,,,,,,,
379,Healthcare & Pharmaceuticals,13.8,,,,,,,,,,,,,,,,,,,,,,,,
380,High Tech Industries,8.7,,,,,,,,,,,,,,,,,,,,,,,,
381,Energy – Oil & Gas,7.8,,,,,,,,,,,,,,,,,,,,,,,,
382,"Transportation – Cargo, Distribution",7.1,,,,,,,,,,,,,,,,,,,,,,,,
383,Aerospace & Defense,3.2,,,,,,,,,,,,,,,,,,,,,,,,
384,"Chemicals, Plastics & Rubber",2.9,,,,,,,,,,,,,,,,,,,,,,,,
385,"Diversified Investment Vehicles, Banking, Finance, Real Estate",2.5,,,,,,,,,,,,,,,,,,,,,,,,
386,Energy – Electricity,2.2,,,,,,,,,,,,,,,,,,,,,,,,
387,Consumer Goods – Non-durable,2.1,,,,,,,,,,,,,,,,,,,,,,,,
388,"Beverage, Food & Tobacco",2.1,,,,,,,,,,,,,,,,,,,,,,,,
389,Food & Grocery,1.9,,,,,,,,,,,,,,,,,,,,,,,,
390,"Advertising, Printing & Publishing",1.9,,,,,,,,,,,,,,,,,,,,,,,,
391,Consumer Goods – Durable,1.5,,,,,,,,,,,,,,,,,,,,,,,,
392,Automotive,1.4,,,,,,,,,,,,,,,,,,,,,,,,
393,Consumer Services,1.3,,,,,,,,,,,,,,,,,,,,,,,,
394,Utilities – Electric,1.2,,,,,,,,,,,,,,,,,,,,,,,,
395,Telecommunications,1.0,,,,,,,,,,,,,,,,,,,,,,,,
396,Insurance,0.7,,,,,,,,,,,,,,,,,,,,,,,,
397,"Containers, Packaging & Glass",0.7,,,,,,,,,,,,,,,,,,,,,,,,
398,"Manufacturing, Capital Equipment",0.4,,,,,,,,,,,,,,,,,,,,,,,,
399,Media – Diversified & Production,0.1,,,,,,,,,,,,,,,,,,,,,,,,
400,"Hotel, Gaming, Leisure, Restaurants",0.1,,,,,,,,,,,,,,,,,,,,,,,,
401,Metals & Mining,0.0,,,,,,,,,,,,,,,,,,,,,,,,
402,Total Investments,100.0,,,,,,,,,,,,,,,,,,,,,,,,
