,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
182,,,First Lien Secured Debt - Revolver,,,P+  525,,03/06/24,,,,2727,,,,,2565,,,,,2525,,,(9)(20)(21)(23)  (25),,,,,,,,,,,,,,,,,,,,
183,"Gutter Holdings, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,500  Shares,,,,,500,,,,,248,,,(9),,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,31787,,,,,30869,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,Total Construction & Building,,,,,31787,,,,,30869,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,Consumer Goods - Durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,A&V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"A&V Holdings Midco, LLC",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,03/10/25,,,,1505,,,,,391,,,,,409,,,(21)(23)(26),,,,,,,,,,,,,,,,,,,,
189,KDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,KDC US Holdings,,First Lien Secured Debt - Revolver,,,"L+  325  ,  0.00   Floor",,12/21/23,,,,6020,,,,,665,,,,,601,,,(20)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,
191,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,"KLO Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,1244311 B.C. Ltd. (4),,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,09/30/25,,,,2978,,,,,2978,,,,,2781,,,(17)(28),,,,,,,,,,,,,,,,,,,,
194,,,First Lien Secured Debt,,,"L+  500  Cash plus  6.00   PIK,  1.00   Floor",,09/30/25,,,,1133,,,,,1133,,,,,1049,,,(17)(28),,,,,,,,,,,,,,,,,,,,
195,,,Common Equity - Common Stock,,,N/A,,N/A,,,"1,000,032  Shares",,,,,1000,,,,,339,,,(13)(17)(19)(24),,,,,,,,,,,,,,,,,,,,,
196,GSC Technologies Inc. (4),,First Lien Secured Debt,,,"L+  500  Cash plus  5.00   PIK,  1.00   Floor",,09/30/25,,,,191,,,,,191,,,,,177,,,(17)(28),,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,5302,,,,,4346,,,,,,,,,,,,,,,,,,,,,,,
198,Liqui-Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"Liqui-Box Holdings, Inc.",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,02/26/25,,,,2649,,,,,1830,,,,,1842,,,(20)(21)(23)(26)(28),,,,,,,,,,,,,,,,,,,,
200,,,First Lien Secured Debt - Revolver,,,P+  350,,02/26/25,,,,911,,,,,907,,,,,911,,,(21)(23)(25),,,,,,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,,2737,,,,,2753,,,,,,,,,,,,,,,,,,,,,,,,
202,NSi Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,"Wildcat BuyerCo, Inc.",,First Lien Secured Debt,,,"SOFR+  590  ,  1.00   Floor",,02/27/26,,,,17031,,,,,16605,,,,,16773,,,(32),,,,,,,,,,,,,,,,,,,,
204,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,02/27/26,,,,725,,,,,136,,,,,134,,,(20)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
205,Wildcat Parent LP,,Common Equity - Common Stock,,,N/A,,N/A,,,"1,070  Shares",,,,,107,,,,,218,,,(13),,,,,,,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,,,16848,,,,,17125,,,,,,,,,,,,,,,,,,,,,,,
207,"Sorenson Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,"Sorenson Holdings, LLC",,Common Equity - Membership Interests,,,N/A,,N/A,,,587  Shares,,,,,0,,,,,323,,,(10)(13),,,,,,,,,,,,,,,,,,,,,
209,,,,,,,Total Consumer Goods – Durable,,,,,25943,,,,,25557,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,Consumer Goods - Non-durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,3D Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,"Protein For Pets Opco, LLC",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,05/31/24,,,,2219,,,,,(  16,,,,,0,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
213,Dan Dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"Project Comfort Buyer, Inc.",,First Lien Secured Debt,,,"L+  700  ,  1.00   Floor",,02/01/25,,,,22251,,,,,22008,,,,,21588,,,(9)(26),,,,,,,,,,,,,,,,,,,,
215,,,First Lien Secured Debt - Revolver,,,"L+  700  ,  1.00   Floor",,02/01/25,,,,3462,,,,,(  32,,,,,(  105,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
216,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"491,405  Shares",,,,,492,,,,,45,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,,,22468,,,,,21528,,,,,,,,,,,,,,,,,,,,,,,
218,LashCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,"Lash OpCo, LLC",,First Lien Secured Debt,,,"L+  700  ,  1.00   Floor",,03/18/26,,,,43139,,,,,42426,,,,,42600,,,(9)(29),,,,,,,,,,,,,,,,,,,,
220,,,First Lien Secured Debt - Revolver,,,"L+  700  ,  1.00   Floor",,09/18/25,,,,1612,,,,,743,,,,,762,,,(9)(21)(23)(26)  (29),,,,,,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,,,43169,,,,,43362,,,,,,,,,,,,,,,,,,,,,,,
222,Paladone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223,Paladone Group Bidco Limited,,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,11/12/27,,,,7942,,,,,5944,,,,,5924,,,(9)(17)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
224,,,First Lien Secured Debt - Revolver,,,"SON+  575  ,  1.00   Floor",,11/12/27,,£,,353,,,,,(  8,,,,,(  7,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
225,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,11/12/27,,,,1412,,,,,(  23,,,,,(  24,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
226,Paladone Group Holdings Limited,,Common Equity - Common Stock,,,N/A,,N/A,,,"94,151  Shares",,,,,94,,,,,76,,,(9)(13)(17),,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,6007,,,,,5969,,,,,,,,,,,,,,,,,,,,,,,
228,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"Sequential Brands Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,Gainline Galaxy Holdings LLC,,Common Equity - Common Stock,,,N/A,,N/A,,,"10,854  Shares",,,,,2041,,,,,1100,,,(13)(16)(17),,,,,,,,,,,,,,,,,,,,,
231,Sequential Avia Holdings LLC,,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,11/12/26,,,,1437,,,,,1436,,,,,1436,,,(17)(28),,,,,,,,,,,,,,,,,,,,
232,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,,8.75,,02/07/24,,,,1293,,,,,0,,,,,239,,,(14)(17),,,,,,,,,,,,,,,,,,,,
233,"Swisstech IP CO, LLC",,First Lien Secured Debt,,,6   PIK,,11/29/24,,,,277,,,,,17,,,,,273,,,(17),,,,,,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,,,3494,,,,,3048,,,,,,,,,,,,,,,,,,,,,,,
235,,,,,,,Total Consumer Goods – Non-durable,,,,,75122,,,,,73907,,,,,,,,,,,,,,,,,,,,,,,,,,,,
236,Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Activ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Activ Software Holdings, LLC",,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,05/04/27,,,,29641,,,,,29204,,,,,28900,,,(9)(30),,,,,,,,,,,,,,,,,,,,
239,,,First Lien Secured Debt - Revolver,,,"L+  625  ,  1.00   Floor",,05/04/27,,,,2407,,,,,(  35,,,,,(  96,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,,,29169,,,,,28804,,,,,,,,,,,,,,,,,,,,,,,
241,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"Bird US Opco, LLC",,First Lien Secured Debt,,,"SOFR+  750  ,  1.00   Floor",,01/13/25,,,,14702,,,,,14467,,,,,14637,,,(9)(31),,,,,,,,,,,,,,,,,,,,
243,Clarus Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Marlin DTC-LS Midco 2, LLC",,First Lien Secured Debt,,,"L+  650  ,  1.00   Floor",,07/01/25,,,,12788,,,,,12612,,,,,12642,,,(28),,,,,,,,,,,,,,,,,,,,
245,,,First Lien Secured Debt,,,"L+  600  ,  1.00   Floor",,07/01/25,,,,8844,,,,,8776,,,,,8744,,,,,,,,,,,,,,,,,,,,,,,
246,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,07/01/25,,,,685,,,,,0,,,,,(  8,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,,,21388,,,,,21378,,,,,,,,,,,,,,,,,,,,,,,
248,Go Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,Go Car Wash Management Corp.,,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,12/31/26,,,,26364,,,,,10871,,,,,10616,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
250,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,12/31/26,,,,417,,,,,(  2,,,,,(  8,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,,,10869,,,,,10608,,,,,,,,,,,,,,,,,,,,,,,
252,Lending Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,LendingPoint LLC,,First Lien Secured Debt,,,"SOFR+  1050  ,  1.00   Floor",,12/30/25,,,,32500,,,,,32153,,,,,32240,,,(9)(32),,,,,,,,,,,,,,,,,,,,
254,,,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/30/25,,,,4167,,,,,4136,,,,,4135,,,(9)(32),,,,,,,,,,,,,,,,,,,,
255,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,12/30/25,,,,8333,,,,,8274,,,,,8271,,,(9)(23)(32),,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,44563,,,,,44646,,,,,,,,,,,,,,,,,,,,,,,
257,Renovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"HomeRenew Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,11/23/27,,,,17968,,,,,15057,,,,,14991,,,(9)(21)(23)(32)  (33),,,,,,,,,,,,,,,,,,,,
259,,,First Lien Secured Debt - Revolver,,,"SOFR+  660  ,  1.00   Floor",,11/23/27,,,,1958,,,,,357,,,,,352,,,(9)(21)(23)(31)  (32),,,,,,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,,,15414,,,,,15343,,,,,,,,,,,,,,,,,,,,,,,
261,The Club Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Eldrickco Limited,,First Lien Secured Debt,,,"SON+  625  ,  0.50   Floor",,11/26/25,,£,,14970,,,,,13934,,,,,12993,,,(9)(17)(21)(23)  (27),,,,,,,,,,,,,,,,,,,,
263,,,First Lien Secured Debt - Revolver,,,"SON+  625  ,  0.50   Floor",,11/26/25,,£,,356,,,,,412,,,,,422,,,(9)(17)(23)(27),,,,,,,,,,,,,,,,,,,,
264,,,First Lien Secured Debt - Revolver,,,"SON+  575  ,  0.50   Floor",,05/26/25,,£,,345,,,,,0,,,,,(  8,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,,,14346,,,,,13407,,,,,,,,,,,,,,,,,,,,,,,
266,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
267,US Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,"U.S. Auto Finance, Inc.",,First Lien Secured Debt,,,"SOFR+  525  ,  1.00   Floor",,04/17/24,,,,20000,,,,,5023,,,,,4258,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
269,,,First Lien Secured Debt,,,"SOFR+  900  ,  1.00   Floor",,04/17/25,,,,3700,,,,,3653,,,,,3665,,,(9)(31),,,,,,,,,,,,,,,,,,,,
270,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00   Floor",,04/17/24,,,,13333,,,,,7374,,,,,7074,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,,,16050,,,,,14997,,,,,,,,,,,,,,,,,,,,,,,
272,,,,,,,Total Consumer Services,,,,,166266,,,,,163820,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Celink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Compu-Link Corporation,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,06/11/24,,,,2273,,,,,(  15,,,,,(  23,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
276,"Peer Advisors, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,06/11/24,,,,16477,,,,,16361,,,,,16309,,,(9)(26),,,,,,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,,,16346,,,,,16286,,,,,,,,,,,,,,,,,,,,,,,
278,Golden Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,"Golden Bear 2016-R, LLC (4)",,Structured Products and Other - Membership Interests,,,N/A,,09/20/42,,,N/A,,,,,16998,,,,,9413,,,(3)(17),,,,,,,,,,,,,,,,,,,,,
280,"Purchasing Power, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,"Purchasing Power Funding I, LLC",,First Lien Secured Debt - Revolver,,,"L+  650  ,  0.00   Floor",,02/24/25,,,,9113,,,,,4556,,,,,4556,,,(9)(21)(23)(26),,,,,,,,,,,,,,,,,,,,
282,Spectrum Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Shelby 2021 Holdings Corp.,,First Lien Secured Debt,,,"L+  575  ,  0.75   Floor",,06/29/28,,,,14392,,,,,13310,,,,,13264,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
284,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  0.75   Floor",,06/29/27,,,,420,,,,,(  5,,,,,(  6,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,13305,,,,,13258,,,,,,,,,,,,,,,,,,,,,,,
286,,,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,51205,,,,,43513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,NFA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,SSCP Spring Bidco Limited,,First Lien Secured Debt,,,"SON+  600  ,  0.50   Floor",,07/30/25,,£,,30000,,,,,36394,,,,,35890,,,(9)(17)(27),,,,,,,,,,,,,,,,,,,,
290,,,,,,,Total Education,,,,,36394,,,,,35890,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,Energy - Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"AIC SPV Holdings II, LLC (4)",,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,142  Shares,,,,,534,,,,,74,,,(15)(17)(24),,,,,,,,,,,,,,,,,,,,,
294,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"1,000,000  Shares",,,,,1000,,,,,1961,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
295,,,Preferred Equity - Series B Preferred Stock,,,N/A,,N/A,,,"1,505,868  Shares",,,,,8343,,,,,0,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
296,,,Preferred Equity - Series D Preferred Stock,,,N/A,,N/A,,,"436,689  Shares",,,,,5568,,,,,0,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
297,,,Common Equity - Common Stock,,,N/A,,N/A,,,"441,576  Shares",,,,,1902,,,,,0,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
298,Renew JV LLC (4),,Common Equity - Membership Interests,,,N/A,,N/A,,,"383,381  Shares",,,,,383,,,,,449,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,,,17730,,,,,2484,,,,,,,,,,,,,,,,,,,,,,,
300,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
301,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,,4.00,,03/08/23,,£,,5562,,,,,7231,,,,,2009,,,(14)(17),,,,,,,,,,,,,,,,,,,,
302,,,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,"4,286  Shares",,,,,5623,,,,,0,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,,
303,,,Common Equity - Ordinary Shares,,,N/A,,N/A,,,"2,825  Shares",,,,,4,,,,,0,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,,
304,,,,,,,,,,,,,,,,,12858,,,,,2009,,,,,,,,,,,,,,,,,,,,,,,
305,,,,,,,Total Energy – Electricity,,,,,30588,,,,,4493,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Energy - Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Pelican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"Pelican Energy, LLC (4)",,Common Equity - Membership Interests,,,N/A,,N/A,,,"1,444  Shares",,,,,12271,,,,,195,,,(13)(16)(17)(24),,,,,,,,,,,,,,,,,,,,,
310,Spotted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,"SHD Oil & Gas, LLC (5)",,Common Equity - Series C Units,,,N/A,,N/A,,,"50,952,525  Shares",,,,,43454,,,,,580,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
312,,,Common Equity - Series A Units,,,N/A,,N/A,,,"7,600,000  Shares",,,,,1411,,,,,0,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
313,,,,,,,,,,,,,,,,,44865,,,,,580,,,,,,,,,,,,,,,,,,,,,,,
314,,,,,,,Total Energy – Oil & Gas,,,,,57136,,,,,775,,,,,,,,,,,,,,,,,,,,,,,,,,,,
315,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,83bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
317,"83Bar, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.50   Floor",,07/02/26,,,,3646,,,,,3631,,,,,3582,,,(9)(31),,,,,,,,,,,,,,,,,,,,
318,Akoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"Akoya Biosciences, Inc.",,First Lien Secured Debt,,,"SOFR+  680  ,  2.50   Floor",,11/01/27,,,,22500,,,,,19105,,,,,19012,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
320,Alcami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Alcami Corporation,,First Lien Secured Debt,,,"SOFR+  700  ,  1.00   Floor",,12/21/28,,,,8904,,,,,7908,,,,,7908,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
322,,,First Lien Secured Debt - Revolver,,,"SOFR+  700  ,  1.00   Floor",,12/21/28,,,,1096,,,,,(  38,,,,,(  38,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
323,,,,,,,,,,,,,,,,,7870,,,,,7870,,,,,,,,,,,,,,,,,,,,,,,
324,Analogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Analogic Corporation,,First Lien Secured Debt,,,"L+  525  ,  1.00   Floor",,06/22/24,,,,17713,,,,,17594,,,,,17447,,,(9)(28),,,,,,,,,,,,,,,,,,,,
326,,,First Lien Secured Debt - Revolver,,,"L+  525  ,  1.00   Floor",,06/22/23,,,,1826,,,,,1613,,,,,1599,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
327,,,,,,,,,,,,,,,,,19207,,,,,19046,,,,,,,,,,,,,,,,,,,,,,,
328,Carbon6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,"Carbon6 Technologies, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  1.00   Floor",,08/01/27,,,,12500,,,,,2488,,,,,2413,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
330,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"280,899  Shares",,,,,250,,,,,250,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,2738,,,,,2663,,,,,,,,,,,,,,,,,,,,,,,
332,Cato Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,"LS Clinical Services Holdings, Inc.",,First Lien Secured Debt,,,"L+  675  ,  1.00   Floor",,12/16/27,,,,12994,,,,,12721,,,,,12623,,,(9)(28),,,,,,,,,,,,,,,,,,,,
334,,,First Lien Secured Debt - Revolver,,,"L+  675  ,  1.00   Floor",,12/16/26,,,,1875,,,,,1837,,,,,1825,,,(9)(23)(28),,,,,,,,,,,,,,,,,,,,
335,,,,,,,,,,,,,,,,,14558,,,,,14448,,,,,,,,,,,,,,,,,,,,,,,
336,Celerion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,"Celerion Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  0.75   Floor",,11/05/29,,,,8082,,,,,7842,,,,,7839,,,(9)(32),,,,,,,,,,,,,,,,,,,,
338,,,First Lien Secured Debt,,,"SOFR+  650  ,  0.75   Floor",,11/03/29,,,,1279,,,,,(  38,,,,,(  38,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
339,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  0.75   Floor",,11/03/28,,,,639,,,,,(  19,,,,,(  19,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
340,,,,,,,,,,,,,,,,,7785,,,,,7782,,,,,,,,,,,,,,,,,,,,,,,
341,Cerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Cerus Corporation,,First Lien Secured Debt,,,"SOFR+  545  ,  1.80   Floor",,03/01/24,,,,16500,,,,,16475,,,,,16418,,,(9)(17)(31),,,,,,,,,,,,,,,,,,,,
343,,,First Lien Secured Debt - Revolver,,,"SOFR+  375  ,  1.80   Floor",,03/01/24,,,,1500,,,,,308,,,,,301,,,(9)(17)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
344,,,,,,,,,,,,,,,,,16783,,,,,16719,,,,,,,,,,,,,,,,,,,,,,,
345,CNSI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,"CNSI Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  0.50   Floor",,12/17/28,,,,18000,,,,,17380,,,,,17370,,,(9)(31),,,,,,,,,,,,,,,,,,,,
347,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  0.50   Floor",,12/17/27,,,,2000,,,,,(  69,,,,,(  70,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,17311,,,,,17300,,,,,,,,,,,,,,,,,,,,,,,
349,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Compass Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Roscoe Medical, Inc",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,09/30/24,,,,7544,,,,,7273,,,,,7205,,,(9)(31),,,,,,,,,,,,,,,,,,,,
352,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,09/30/24,,,,1393,,,,,1341,,,,,1330,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
353,,,,,,,,,,,,,,,,,8614,,,,,8535,,,,,,,,,,,,,,,,,,,,,,,
354,EmpiRx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,EmpiRx Health LLC,,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,08/05/27,,,,9000,,,,,8855,,,,,8932,,,(9)(29),,,,,,,,,,,,,,,,,,,,
356,,,First Lien Secured Debt - Revolver,,,"L+  500  ,  1.00   Floor",,08/05/27,,,,909,,,,,(  14,,,,,(  7,,,(8)(9)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
357,,,,,,,,,,,,,,,,,8841,,,,,8925,,,,,,,,,,,,,,,,,,,,,,,
358,Forge Biologics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
