,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
281,Buildings and Real Estate,1.2,,,,,,,,,,,,,
282,Education,1.1,,,,,,,,,,,,,
283,Restaurants,1.0,,,,,,,,,,,,,
284,"Diversified Natural Resources, Precious Metals and Minerals",1.0,,,,,,,,,,,,,
285,"Hotels, Motels, Inns and Gaming",0.9,,,,,,,,,,,,,
286,Packaging,0.9,,,,,,,,,,,,,
287,Broadcasting & Entertainment,0.8,,,,,,,,,,,,,
288,Retail,0.7,,,,,,,,,,,,,
289,Cargo Transport,0.6,,,,,,,,,,,,,
290,Auto Sector,0.5,,,,,,,,,,,,,
291,Consumer Products,0.4,,,,,,,,,,,,,
292,"Beverage, Food, and Tobacco",0.3,,,,,,,,,,,,,
293,Home and Office Furnishings and Durable Consumer Products,0.3,,,,,,,,,,,,,
294,Aerospace and Defense,0.3,,,,,,,,,,,,,
295,Grocery,0.2,,,,,,,,,,,,,
296,Electronics,0.2,,,,,,,,,,,,,
297,Manufacturing,0,,,,,,,,,,,,,
298,Total Investments,100.0,,,,,,,,,,,,,
