,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
226,"Vertafore, Inc.",,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/30/23,,14576,,,"(1,207",,,,"(1,676",,,(8)(21)(23),,,,,,,,
227,,,First Lien Secured Debt - Letter of Credit,,3.25%,,01/17/20,,424,,,-,,,,(49,,,(8)(23),,,,,,,,
228,,,,,,,,,,,,"(1,207",,,,"(1,725",,,,,,,,,,,
229,Total Business Services,,,,420345,,,,,417027,,,,,,,,,,,,,,,,,
230,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,
231,Carbonfree Chemicals,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Carbonfree Caustic SPE LLC (4),,First Lien Secured Debt,,5.00%,,12/31/24,,,13111,,,,13111,,,,,13111,,,,,,,,
233,Carbonfree Chemicals Holdings LLC (4),,Common Equity/Interests,,N/A,,N/A,,"1,381 Shares",,,30011,,,,14982,,,(13),,,,,,,,
234,Carbonfree Chemicals SA LLC (4),,Common Equity/Interests - Class B Units,,N/A,,N/A,,175 Shares,,,14266,,,,10163,,,(13),,,,,,,,
235,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I LLC) (4),,First Lien Secured Debt,,5.22% PIK,,12/31/24,,16900,,,16900,,,,16900,,,,,,,,,,,
236,,,,,,,,,,,,74288,,,,55156,,,,,,,,,,,
237,Niacet Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,
238,"Hare Bidco, Inc.",,Second Lien Secured Debt,,9.75% (1M E+875),,08/01/24,,€,13574,,,14496,,,,15085,,,,,,,,,,
239,"Westfall Technik, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Westfall Technik, Inc.",,First Lien Secured Debt,,"7.67% (3M L+575, 1.00% Floor)",,09/13/24,,673,,,666,,,,666,,,(9),,,,,,,,
241,,,First Lien Secured Debt,,"7.69% (3M L+575, 1.00% Floor)",,09/13/24,,15306,,,15058,,,,15153,,,(9),,,,,,,,
242,,,First Lien Secured Debt - Revolver,,"7.40% (3M L+550, 1.00% Floor)",,09/13/24,,135,,,135,,,,133,,,(9)(23),,,,,,,,
243,,,First Lien Secured Debt - Revolver,,9.50% (P+475),,09/13/24,,1615,,,1615,,,,1599,,,(9)(23),,,,,,,,
244,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
245,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/13/24,,269,,,(32,,,,(3,,,(8)(9)(21)(23),,,,,,,,
246,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,09/13/24,,12829,,,(119,,,,(128,,,(8)(9)(21)(23),,,,,,,,
247,,,,,,,,,,,,17323,,,,17420,,,,,,,,,,,
248,"Total Chemicals, Plastics & Rubber",,,,106107,,,,,87661,,,,,,,,,,,,,,,,,
249,Construction & Building,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Englert,,,,,,,,,,,,,,,,,,,,,,,,,,
251,"Gutter Buyer, Inc.",,First Lien Secured Debt,,"8.05% (1M L+625, 1.00% Floor)",,03/06/25,,,26983,,,,26524,,,,,26451,,,(9),,,,,
252,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,03/06/24,,2727,,,(57,,,,(53,,,(8)(9)(21)(23),,,,,,,,
253,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,03/06/25,,2045,,,(44,,,,(40,,,(8)(9)(21)(23),,,,,,,,
254,"Gutter Holdings, LP",,Common Equity/Interests - Common Stock,,N/A,,N/A,,500 Shares,,,500,,,,663,,,(9),,,,,,,,
255,Total Construction & Building,,,,26923,,,,,27021,,,,,,,,,,,,,,,,,
256,Consumer Goods – Durable,,,,,,,,,,,,,,,,,,,,,,,,,,
257,Dan Dee,,,,,,,,,,,,,,,,,,,,,,,,,,
258,"Project Comfort Buyer, Inc.",,First Lien Secured Debt,,"9.19% (6M L+700, 1.00% Floor)",,02/03/25,,,23324,,,,22729,,,,,22624,,,(9),,,,,
259,,,First Lien Secured Debt - Revolver,,"9.20% (6M L+700, 1.00% Floor)",,02/01/24,,692,,,692,,,,672,,,(9)(23),,,,,,,,
260,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,02/01/24,,2769,,,(85,,,,(83,,,(8)(9)(21)(23),,,,,,,,
261,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,02/03/25,,2308,,,(29,,,,(69,,,(8)(9)(21)(23),,,,,,,,
262,,,Preferred Equity - Preferred Equity,,N/A,,N/A,,"461,538 Shares",,,462,,,,402,,,(9)(13),,,,,,,,
263,,,,,,,,,,,,23769,,,,23546,,,,,,,,,,,
264,"Hayward Industries, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
265,"Hayward Industries, Inc.",,Second Lien Secured Debt,,10.05% (1M L+825),,08/04/25,,21919,,,21682,,,,21531,,,,,,,,,,,
266,KDC,,,,,,,,,,,,,,,,,,,,,,,,,,
267,KDC US Holdings,,First Lien Secured Debt - Unfunded Revolver,,0.25% Unfunded,,12/21/23,,5912,,,-,,,,(450,,,(8)(21)(23),,,,,,,,
268,,,First Lien Secured Debt - Letters of Credit,,3.25%,,03/08/20 - 12/31/20,,108,,,-,,,,(8,,,(8)(23),,,,,,,,
269,,,,,,,,,,,,-,,,,(458,,,,,,,,,,,
270,"KLO Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
271,9357-5991 Quebec Inc.,,First Lien Secured Debt,,11.82% (3M L+775 Cash plus 2.00% PIK),,04/07/22,,9290,,,8653,,,,2523,,,(13)(14),,,,,,,,
272,KLO Acquisition LLC,,First Lien Secured Debt,,11.82% (3M L+775 Cash plus 2.00% PIK),,04/07/22,,5677,,,5300,,,,1542,,,(13)(14),,,,,,,,
273,,,,,,,,,,,,13953,,,,4065,,,,,,,,,,,
274,"Sorenson Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
275,"Sorenson Holdings, LLC",,Common Equity/Interests - Membership Interests,,N/A,,N/A,,587 Shares,,,-,,,,470,,,(10)(13),,,,,,,,
276,Total Consumer Goods – Durable,,,,59404,,,,,49154,,,,,,,,,,,,,,,,,
277,Consumer Goods – Non-durable,,,,,,,,,,,,,,,,,,,,,,,,,,
278,3D Protein,,,,,,,,,,,,,,,,,,,,,,,,,,
279,"Protein For Pets Opco, LLC",,First Lien Secured Debt,,"6.80% (1M L+500, 1.00% Floor)",,11/28/25,,,12749,,,,12517,,,,,12494,,,(9),,,,,
280,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,05/31/24,,2219,,,(51,,,,(44,,,(8)(9)(21)(23),,,,,,,,
281,,,,,,,,,,,,12466,,,,12450,,,,,,,,,,,
282,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
283,"Authentic Brands Group, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
284,"ABG Intermediate Holdings 2, LLC",,Second Lien Secured Debt,,"9.55% (1M L+775, 1.00% Floor)",,09/29/25,,7230,,,7207,,,,7238,,,(10),,,,,,,,
285,Beauty Industry Group (BIG),,,,,,,,,,,,,,,,,,,,,,,,,,
286,"BIG Buyer, LLC",,First Lien Secured Debt,,"8.30% (1M L+650, 1.00% Floor)",,11/20/23,,22424,,,21912,,,,22200,,,(9),,,,,,,,
287,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,11/20/23,,1806,,,(42,,,,(18,,,(8)(9)(21)(23),,,,,,,,
288,,,,,,,,,,,,21870,,,,22182,,,,,,,,,,,
289,DMC,,,,,,,,,,,,,,,,,,,,,,,,,,
290,Lion Cashmere Midco Limited,,First Lien Secured Debt,,"7.83% (6M L+575, 1.00% Floor)",,03/21/25,,13053,,,12854,,,,12715,,,(9)(17),,,,,,,,
291,,,First Lien Secured Debt - Revolver,,5.25% (6M E+525),,03/21/24,,€,249,,,282,,,,273,,,(9)(17)(23),,,,,,,
292,,,First Lien Secured Debt - Revolver,,"6.05% (6M L+525, 1.00% Floor)",,03/21/24,,£,36,,,44,,,,46,,,(9)(17)(23),,,,,,,
293,,,First Lien Secured Debt - Unfunded Revolver,,1.84% Unfunded,,03/21/24,,€,901,,,(20,,,,(24,,,(8)(9)(17)(21)(23),,,,,,,
294,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.01% Unfunded,,03/21/25,,€,2372,,,(41,,,,(73,,,(8)(9)(17)(21)(23),,,,,,,
295,,,,,,,,,,,,13119,,,,12937,,,,,,,,,,,
296,"Sequential Brands Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
297,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,10.55% (1M L+875),,02/07/24,,12965,,,12876,,,,12841,,,(17),,,,,,,,
298,Total Consumer Goods – Non-durable,,,,67538,,,,,67648,,,,,,,,,,,,,,,,,
299,Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,
300,1A Smart Start LLC,,,,,,,,,,,,,,,,,,,,,,,,,,
301,1A Smart Start LLC,,Second Lien Secured Debt,,"10.05% (1M L+825, 1.00% Floor)",,08/22/22,,,25100,,,,24815,,,,,24708,,,,,,,,
302,Clarus Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,
303,"Marlin DTC-LS Midco 2, LLC",,First Lien Secured Debt,,"7.80% (1M L+600, 1.00% Floor)",,07/01/25,,9268,,,9120,,,,9164,,,,,,,,,,,
304,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,07/01/25,,685,,,(11,,,,(8,,,(8)(21)(23),,,,,,,,
305,,,,,,,,,,,,9109,,,,9156,,,,,,,,,,,
306,First Heritage,,,,,,,,,,,,,,,,,,,,,,,,,,
307,"First Heritage Credit, LLC",,First Lien Secured Debt,,6.44% (1M L+475),,04/02/22,,16500,,,16376,,,,16360,,,(9),,,,,,,,
308,,,First Lien Secured Debt - Revolver,,7.19% (1M L+550),,04/02/22,,2613,,,2613,,,,2593,,,(9)(23),,,,,,,,
309,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/02/22,,1137,,,(28,,,,(9,,,(8)(9)(21)(23),,,,,,,,
310,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,04/02/22,,9750,,,(73,,,,(83,,,(8)(9)(21)(23),,,,,,,,
311,,,,,,,,,,,,18888,,,,18861,,,,,,,,,,,
312,Only About Children,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Nemo (BC) Bidco Pty Ltd,,First Lien Secured Debt,,"6.75% (1M BBSW+575, 1.00% Floor)",,04/06/24,,A$,6768,,,4919,,,,4662,,,(17),,,,,,,
314,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.59% Unfunded,,04/06/24,,A$,232,,,(8,,,,(3,,,(8)(17)(21)(23),,,,,,,
315,,,,,,,,,,,,4911,,,,4659,,,,,,,,,,,
316,Paper Source,,,,,,,,,,,,,,,,,,,,,,,,,,
317,"Paper Source, Inc.",,First Lien Secured Debt,,"8.93% (3M L+700, 1.00% Floor)",,05/22/24,,11769,,,11562,,,,11416,,,(9),,,,,,,,
318,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
319,,,First Lien Secured Debt - Revolver,,"8.89% (3M L+700, 1.00% Floor)",,05/22/24,,1110,,,1110,,,,1076,,,(9)(23),,,,,,,,
320,,,First Lien Secured Debt - Revolver,,"8.94% (3M L+700, 1.00% Floor)",,05/22/24,,247,,,247,,,,239,,,(9)(23),,,,,,,,
321,,,First Lien Secured Debt - Revolver,,"8.98% (3M L+700, 1.00% Floor)",,05/22/24,,1479,,,1479,,,,1435,,,(9)(23),,,,,,,,
322,,,First Lien Secured Debt - Revolver,,"8.99% (3M L+700, 1.00% Floor)",,05/22/24,,205,,,205,,,,199,,,(9)(23),,,,,,,,
323,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,05/22/24,,41,,,(54,,,,(1,,,(8)(9)(21)(23),,,,,,,,
324,,,,,,,,,,,,14549,,,,14364,,,,,,,,,,,
325,"Pinstripe Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
326,"Pinstripe Holdings, LLC",,First Lien Secured Debt,,"7.80% (1M L+600, 1.00% Floor)",,01/17/25,,6948,,,6830,,,,6843,,,,,,,,,,,
327,The Club Company,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Eldrickco Limited,,First Lien Secured Debt,,"6.29% (3M GBPL+550, 0.50% Floor)",,11/21/25,,8965,,,11245,,,,11527,,,(9)(17),,,,,,,,
329,,,First Lien Secured Debt,,"6.30% (3M GBPL+550, 0.50% Floor)",,11/21/25,,603,,,793,,,,787,,,(9)(17),,,,,,,,
330,,,First Lien Secured Debt - Unfunded Revolver,,1.75% Unfunded,,05/21/25,,345,,,(13,,,,(13,,,(8)(9)(17)(21)(23),,,,,,,,
331,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.93% Unfunded,,11/21/25,,5086,,,(108,,,,(101,,,(8)(9)(17)(21)(23),,,,,,,,
332,,,,,,,,,,,11917,,,,12200,,,,,,,,,,,,
333,"Tidewater Consumer Receivables, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
334,"Tidewater Consumer Receivables, LLC",,First Lien Secured Debt,,7.44% (1M L+575),,12/28/23,,11333,,,11243,,,,11220,,,(9)(17),,,,,,,,
335,,,First Lien Secured Debt - Revolver,,7.44% (1M L+575),,12/28/23,,790,,,790,,,,782,,,(9)(17)(23),,,,,,,,
336,,,First Lien Secured Debt - Unfunded Revolver,,0.00% Unfunded,,12/28/23,,1543,,,(9,,,,(15,,,(8)(9)(17)(21)(23),,,,,,,,
337,,,,,,,,,,,,12024,,,,11987,,,,,,,,,,,
338,US Auto,,,,,,,,,,,,,,,,,,,,,,,,,,
339,"U.S. Auto Finance, Inc.",,First Lien Secured Debt,,6.66% (3M L+475),,04/17/22,,20000,,,19941,,,,19836,,,(9),,,,,,,,
340,,,First Lien Secured Debt,,6.71% (1M L+475),,04/17/22,,1000,,,1000,,,,993,,,(9),,,,,,,,
341,,,First Lien Secured Debt - Revolver,,7.41% (3M L+550),,04/17/22,,17261,,,17261,,,,17120,,,(9)(23),,,,,,,,
342,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,04/17/22,,2739,,,(80,,,,(22,,,(8)(9)(21)(23),,,,,,,,
343,,,First Lien Secured Debt - Unfunded Delayed Draw,,2.00% Unfunded,,12/31/20,,2000,,,(36,,,,(22,,,(8)(9)(21)(23),,,,,,,,
344,,,,,,,,,,,,38086,,,,37905,,,,,,,,,,,
345,Total Consumer Services,,,,141129,,,,,140683,,,,,,,,,,,,,,,,,
346,"Containers, Packaging & Glass",,,,,,,,,,,,,,,,,,,,,,,,,,
347,"TricorBraun Holdings, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
348,"TricorBraun Holdings, Inc.",,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,11/30/21,,,5625,,,,(194,,,,,-,,,(21)(23),,,,,
349,"Total Containers, Packaging & Glass",,,,(194,,,,,-,,,,,,,,,,,,,,,,,
350,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,,
351,Alera Group Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,
352,Alera Group Intermediate Holdings,,First Lien Secured Debt,,6.30% (1M L+450),,08/01/25,,,2972,,,,2910,,,,,2972,,,(10),,,,,
353,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
354,Celink,,,,,,,,,,,,,,,,,,,,,,,,,,
355,Compu-Link Corporation,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/11/24,,2273,,,(45,,,,(51,,,(8)(9)(21)(23),,,,,,,,
356,"Peer Advisors, LLC",,First Lien Secured Debt,,"7.30% (1M L+550, 1.00% Floor)",,06/11/24,,22159,,,21715,,,,21660,,,(9),,,,,,,,
357,,,,,,,,,,,,21670,,,,21609,,,,,,,,,,,
358,"Exeter Property Group, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
359,"Exeter Property Group, LLC",,First Lien Secured Debt,,6.19% (1M L+450),,08/28/24,,4784,,,4723,,,,4743,,,(9),,,,,,,,
360,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/28/24,,192,,,(2,,,,(2,,,(8)(9)(21)(23),,,,,,,,
361,,,,,,,,,,,,4721,,,,4741,,,,,,,,,,,
362,"Flock Financial, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
363,"Flock SPV I, LLC",,First Lien Secured Debt,,8.19% (1M L+650),,08/30/22,,13067,,,13013,,,,12933,,,(9)(17),,,,,,,,
364,,,First Lien Secured Debt - Revolver,,8.19% (1M L+650),,08/30/22,,1200,,,1200,,,,1189,,,(9)(17)(23),,,,,,,,
365,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,08/30/22,,133,,,(9,,,,(1,,,(8)(9)(17)(21)(23),,,,,,,,
366,,,First Lien Secured Debt - Unfunded Delayed Draw,,0.50% Unfunded,,08/30/22,,5600,,,(71,,,,(57,,,(8)(9)(17)(21)(23),,,,,,,,
367,,,,,,,,,,,,14133,,,,14064,,,,,,,,,,,
368,Golden Bear,,,,,,,,,,,,,,,,,,,,,,,,,,
369,"Golden Bear 2016-R, LLC (4)",,Structured Products and Other - Membership Interests,,,,09/20/42,,N/A,,,16729,,,,11820,,,(3)(17),,,,,,,,
370,Mayfield Agency Borrower Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,
371,Mayfield Agency Borrower Inc.,,Second Lien Secured Debt,,10.30% (1M L+850),,03/02/26,,5000,,,4942,,,,5047,,,(10),,,,,,,,
372,"Purchasing Power, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
373,"Purchasing Power Funding I, LLC",,First Lien Secured Debt - Revolver,,6.50% (1M L+650),,01/24/22,,3547,,,3547,,,,3548,,,(9)(23),,,,,,,,
374,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,01/24/22,,5565,,,-,,,,-,,,(9)(21)(23),,,,,,,,
375,,,,,,,,,,,,3547,,,,3548,,,,,,,,,,,
376,"Taupo River II, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
377,"Taupo River II, LLC",,First Lien Secured Debt,,"7.35% (3M L+525, 1.00% Floor)",,06/08/20,,14000,,,13984,,,,13983,,,(9)(17),,,,,,,,
378,"Ten-X, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,
379,"Ten-X, LLC",,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,09/29/22,,4680,,,(231,,,,(254,,,(8)(21)(23),,,,,,,,
380,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,82405,,,,,77530,,,,,,,,,,,,,,,,,
381,Education,,,,,,,,,,,,,,,,,,,,,,,,,,
382,NFA Group,,,,,,,,,,,,,,,,,,,,,,,,,,
383,SSCP Spring Bidco Limited,,First Lien Secured Debt,,"7.06% (6M L+625, 0.50% Floor)",,07/30/25,,£,27818,,,33231,,,,35931,,,(9)(17),,,,,,,
384,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.88% Unfunded,,07/30/25,,£,2182,,,(31,,,,(72,,,(8)(9)(17)(21)(23),,,,,,,
385,Total Education,,,,33200,,,,,35859,,,,,,,,,,,,,,,,,
386,Energy – Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,
387,"AMP Solar Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
388,"AMP Solar Group, Inc. (4)",,Common Equity/Interests - Class A Common Unit,,N/A,,N/A,,"243,646 Shares",,,,10000,,,,,8138,,,(13)(17),,,,,,
389,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
390,Renew Financial LLC,,,,,,,,,,,,,,,,,,,,,,,,,,
391,"AIC SPV Holdings II, LLC (4)",,Preferred Equity - Preferred Stock,,N/A,,N/A,,"534,375 Shares",,,534,,,,576,,,(17)(15),,,,,,,,
392,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Series B Preferred Stock,,N/A,,N/A,,"1,505,868 Shares",,,8343,,,,8936,,,(13),,,,,,,,
393,,,Preferred Equity - Series D Preferred Stock,,N/A,,N/A,,"436,689 Shares",,,5568,,,,5034,,,(13),,,,,,,,
394,Renew JV LLC (4),,Common Equity/Interests - Membership Interests,,N/A,,N/A,,"962,270 Shares",,,962,,,,1062,,,(13)(17),,,,,,,,
395,,,,,,,,,,,,15407,,,,15608,,,,,,,,,,,
396,Solarplicity Group,,,,,,,,,,,,,,,,,,,,,,,,,,
397,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,4.00%,,03/08/23,,£,5562,,,7637,,,,6773,,,(17),,,,,,,
398,,,Preferred Equity - Preferred Stock,,N/A,,N/A,,"4,286 Shares",,,5861,,,,710,,,(2)(13)(17),,,,,,,,
399,,,Common Equity/Interests - Ordinary Shares,,N/A,,N/A,,"2,825 Shares",,,4,,,,-,,,(2)(13)(17),,,,,,,,
400,,,,,,,,,,,,13502,,,,7483,,,,,,,,,,,
401,Total Energy – Electricity,,,,38909,,,,,31229,,,,,,,,,,,,,,,,,
402,Energy – Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,
403,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,,,,,,,,,,,,,,,,,,,
404,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",,First Lien Secured Debt,,8.00% Cash (10.00% PIK Toggle),,03/29/20,,,1000,,,1000,,,,1000,,,,,,,,,,
405,,,Second Lien Secured Debt,,10.00% PIK Toggle (8.00% Cash),,03/29/21,,36318,,,36318,,,,26378,,,,,,,,,,,
406,,,Common Equity/Interests - Common Stock,,N/A,,N/A,,"5,000,000 Shares",,,30078,,,,-,,,(13),,,,,,,,
407,,,,,,,,,,,,67396,,,,27378,,,,,,,,,,,
408,Pelican,,,,,,,,,,,,,,,,,,,,,,,,,,
409,"Pelican Energy, LLC (4)",,Common Equity/Interests - Membership Interests,,N/A,,N/A,,"1,444 Shares",,,16822,,,,3010,,,(13)(16)(17),,,,,,,,
410,Spotted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,
411,"SHD Oil & Gas, LLC (5)",,First Lien Secured Debt - Tranche C Note,,12.00%,,07/31/20,,24000,,,24000,,,,24720,,,,,,,,,,,
412,,,First Lien Secured Debt - Tranche A Note,,4.00%,,07/31/20,,45457,,,45457,,,,46821,,,,,,,,,,,
413,,,First Lien Secured Debt - Tranche B Note,,3.00% PIK,,07/31/20,,83848,,,44380,,,,15562,,,(13)(14),,,,,,,,
414,,,Common Equity/Interests - Series A Units,,N/A,,N/A,,"7,600,000 Shares",,,1411,,,,-,,,(13)(16),,,,,,,,
415,,,,,,,,,,,,115248,,,,87103,,,,,,,,,,,
416,Total Energy – Oil & Gas,,,,199466,,,,,117491,,,,,,,,,,,,,,,,,
417,Environmental Industries,,,,,,,,,,,,,,,,,,,,,,,,,,
418,Ortega National Parks,,,,,,,,,,,,,,,,,,,,,,,,,,
419,"Ortega National Parks, LLC",,First Lien Secured Debt,,"7.18% (3M L+525, 1.00% Floor)",,10/31/25,,,11257,,,,11038,,,,,11038,,,(9),,,,,
420,,,First Lien Secured Debt - Revolver,,9.00% (P+425),,10/31/25,,273,,,273,,,,268,,,(9)(23),,,,,,,,
421,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,10/31/25,,1776,,,(40,,,,(36,,,(8)(9)(21)(23),,,,,,,,
422,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,10/31/25,,6694,,,(65,,,,(134,,,(8)(9)(21)(23),,,,,,,,
423,Total Environmental Industries,,,,11206,,,,,11136,,,,,,,,,,,,,,,,,
424,Industry / Company,,Investment Type,,Interest Rate (20),,Maturity Date,,Par/Shares (12),,Cost (26),,,Fair Value (1)(27),,,,,,,,,,,,,
425,Food & Grocery,,,,,,,,,,,,,,,,,,,,,,,,,,
426,Bumble Bee Foods S.À R.L.,,,,,,,,,,,,,,,,,,,,,,,,,,
427,"Bumble Bee Holdings, Inc.",,First Lien Secured Debt,,15.75% (P+900 Cash plus 2.00% PIK),,08/15/23,,,16405,,,,16199,,,,,15420,,,,,,,,
428,,,First Lien Secured Debt,,"12.29% (1M L+1050, 1.00% Floor)",,05/26/20,,2462,,,2407,,,,2388,,,(9),,,,,,,,
429,Connors Bros Clover Leaf Seafoods Company,,First Lien Secured Debt,,15.75% (P+900 Cash plus 2.00% PIK),,08/15/23,,4648,,,4590,,,,4369,,,,,,,,,,,
430,Total Food & Grocery,,,,23196,,,,,22177,,,,,,,,,,,,,,,,,
431,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,
432,"Altasciences, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,
433,9360-1367 Quebec Inc.,,First Lien Secured Debt,,"8.49% (3M L+625, 1.00% Floor)",,06/09/23,,C$,2363,,,,1737,,,,,1754,,,(9)(17),,,,,
434,,,First Lien Secured Debt,,"8.16% (3M L+625, 1.00% Floor)",,06/09/23,,,2848,,,2811,,,,2741,,,(9)(17),,,,,,,
435,"Altasciences US Acquistion, Inc.",,First Lien Secured Debt,,"8.16% (3M L+625, 1.00% Floor)",,06/09/23,,5097,,,5031,,,,4906,,,(9),,,,,,,,
436,,,First Lien Secured Debt,,"8.19% (3M L+625, 1.00% Floor)",,06/09/23,,915,,,895,,,,881,,,(9),,,,,,,,
437,,,First Lien Secured Debt - Revolver,,"8.15% (3M L+625, 1.00% Floor)",,06/09/23,,392,,,392,,,,377,,,(9)(23),,,,,,,,
438,,,First Lien Secured Debt - Revolver,,"8.21% (3M L+625, 1.00% Floor)",,06/09/23,,570,,,570,,,,549,,,(9)(23),,,,,,,,
439,,,First Lien Secured Debt - Unfunded Revolver,,0.25% Unfunded,,06/09/23,,463,,,(18,,,,(17,,,(8)(9)(11)(21)(23),,,,,,,,
440,,,,,,,,,,,,11418,,,,11191,,,,,,,,,,,
441,American Veterinary Group,,,,,,,,,,,,,,,,,,,,,,,,,,
442,AVG Intermediate Holdings LLC,,First Lien Secured Debt,,"9.80% (1M L+800, 1.00% Floor)",,02/08/24,,10675,,,10551,,,,10386,,,(9),,,,,,,,
443,,,First Lien Secured Debt,,"9.72% (1M L+800, 1.00% Floor)",,02/08/24,,1083,,,1083,,,,1054,,,(9),,,,,,,,
444,,,First Lien Secured Debt - Unfunded Delayed Draw,,1.00% Unfunded,,02/08/24,,1466,,,(120,,,,(40,,,(8)(9)(21)(23),,,,,,,,
445,,,,,,,,,,,,11514,,,,11400,,,,,,,,,,,
446,AmeriVet,,,,,,,,,,,,,,,,,,,,,,,,,,
447,"Amerivet Partners Management, Inc.",,First Lien Secured Debt,,"8.55% (1M L+675, 1.00% Floor)",,06/05/24,,26292,,,25780,,,,25756,,,(9),,,,,,,,
448,,,First Lien Secured Debt - Revolver,,9.50% (P+475),,06/05/24,,524,,,524,,,,513,,,(9)(23),,,,,,,,
449,,,First Lien Secured Debt - Unfunded Revolver,,0.50% Unfunded,,06/05/24,,282,,,(15,,,,(6,,,(8)(9)(21)(23),,,,,,,,
