,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
223,Investment,,Industry (9),,Interest  Rate (20),,Maturity  Date,,Par (12),,Cost,,Fair  Value (1),,,,,,
224,Controlled Investments (5),,,,,,,,,,,,,,,,,,
225,Corporate Debt,,,,,,,,,,,,,,,,,,
226,Secured Debt,,,,,,,,,,,,,,,,,,
227,First Lien Secured Debt,,,,,,,,,,,,,,,,,,
228,First Lien Secured Debt (excluding Revolvers and Letters of Credit),,,,,,,,,,,,,,,,,,
229,Solarplicity Group Limited (17),,Energy – Electricity,,12.50 Cash (12.50 PIK Toggle),,11/30/22,,£,114670,,,,171034,,,,163034,
230,Total First Lien Secured Debt (excluding Revolvers and Letters of Credit)09.9 (10),,,,,171034,,,,163034,,,,,,,,,
231,Revolvers and Letters of Credit,,,,,,,,,,,,,,,,,,
232,"Merx Aviation Finance, LLC, Revolver (16)(23)",,Aviation and Consumer Transport,,12.00,,10/31/18,,,403084,,,,403084,,,,403084,
233,"Merx Aviation Finance, LLC, Unfunded Revolver (16)(21)(23)",,Aviation and Consumer Transport,,0.00 Unfunded,,10/31/18,,96916,,,0,,,0,,,,
234,"Merx Aviation Finance, LLC, Letter of Credit (16)(23)",,Aviation and Consumer Transport,,2.25,,7/13/16,,177,,,0,,,0,,,,
235,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",,Aviation and Consumer Transport,,2.25,,9/30/16,,1800,,,0,,,0,,,,
236,"Merx Aviation Finance Assets Ireland Limited, Letter of Credit (16)(23)",,Aviation and Consumer Transport,,2.25,,9/30/16,,1800,,,0,,,0,,,,
237,Total Revolvers and Letters of Credit024.5 (10),,,,,,,,,403084,,,,403084,,,,,
238,Total First Lien Secured Debt034.4 (10),,,,,,,,,574118,,,,566118,,,,,
239,Second Lien Secured Debt,,,,,,,,,,,,,,,,,,
240,"Miller Energy Resources, Inc.",,Energy – Oil & Gas,,8.00 Cash (10.00 PIK Toggle),,3/29/21,,,25000,,,,25000,,,,25000,
241,Total Second Lien Debt01.5 (10),,,,,,,,,25000,,,,25000,,,,,
242,Total Secured Debt035.9 (10),,,,,,,,,599118,,,,591118,,,,,
243,Total Corporate Debt035.9 (10),,,,,,,,,599118,,,,591118,,,,,
244,Equity,,,,,,,,,,,,,,,,,,
245,Common Equity/Interests,,,,,,Shares,,,,,,,,,,,,
246,"Dynamic Product Tankers, LLC, Class A Units (17)(24)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,N/A,,,,48106,,,,48264,,
247,"Merx Aviation Finance, LLC, Membership Interests",,Aviation and Consumer Transport,,N/A,,N/A,,N/A,,,64255,,,93714,,,,
248,"Miller Energy Resources, Inc., Common Stock (13)",,Energy – Oil & Gas,,N/A,,N/A,,5000000,,,30078,,,30078,,,,
249,"MSEA Tankers LLC, Class A Units (17)(25)",,"Transportation – Cargo, Distribution",,N/A,,N/A,,N/A,,,85000,,,84138,,,,
250,"Solarplicity Group Limited, Class B Common Shares (2)(13)(17)",,Energy – Electricity,,N/A,,N/A,,2825,,,2472,,,6665,,,,
251,Total Common Equity/Interests016.0 (10),,,,,,,,,229911,,,,262859,,,,,
252,Total Equity016.0 (10),,,,,,,,,229911,,,,262859,,,,,
253,Total Controlled Investments051.9 (10),,,,,,,,,829029,,,,853977,,,,,
254,Total Investments0177.3 (6)(7)(10),,,,,,,,,3098127,,,,2916829,,,,,
255,Liabilities in Excess of Other Assets0(77.3) (10),,,,,,,,,,,"(1,271,248",,,,,,,
256,Net Assets0100.0,,,,,,,,,,,1645581,,,,,,,
257,(3),"Denotes investments in which the Company owns greater than 25 of the equity, where the governing documents of each entity preclude the Company from exercising a controlling influence over the management or policies of such entity. The Company does not have the right to elect or appoint more than 25 of the directors or another party has the right to elect or appoint more directors than the Company and has the right to appoint certain members of senior management. Therefore, the Company has determined that these entities are not controlled affiliates. As of  March 31, 2016  , we had a 28, 100, 26, 32, 32, 36, 97, and 98 equity ownership interest in Generation Brands Holdings, Inc.; Golden Bear Warehouse, LLC; Highbridge Loan Management, Ltd.; Ivy Hill Middle Market Credit Fund IX, Ltd.; Ivy Hill Middle Market Credit Fund X, Ltd.; LVI Group Investments, LLC; MCF CLO I, LLC; and MCF CLO III, LLC, respectively.",,,,,,,,,,,,,,,,,
258,(5),"Denotes investments in which we are deemed to exercise a controlling influence over the management or policies of a company, as defined in the 1940 Act, due to beneficially owning, either directly or through one or more controlled companies, more than 25 of the outstanding voting securities of the investment. Fair value as of  March 31, 2015  and  March 31, 2016  along with transactions during the  year ended March 31, 2016  in these Controlled investments are as follows:",,,,,,,,,,,,,,,,,
259,(10),The percentage is calculated over net assets.,,,,,,,,,,,,,,,,,
260,(11),"These securities are exempt from registration under Rule 144A of the Securities Act of 1933. These securities may be resold in transactions that are exempt from registration, normally to qualified institutional buyers.",,,,,,,,,,,,,,,,,
261,(21),The rates associated with these undrawn committed revolvers and delayed draw term loans represent rates for commitment and unused fees.,,,,,,,,,,,,,,,,,
262,(25),"As of  March 31, 2016  , MSEA Tankers, LLC has various classes of limited liability interests outstanding of which the Company holds Class A-1 and Class A-2 units which are identical except that Class A-1 unit is voting and Class A-2 unit is non-voting. The units entitle the Company to appoint two out of three managers to the board of managers.",,,,,,,,,,,,,,,,,
