,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
179,"Owl Parent Holdings, LLC",,Common Equity - Common Stock,,,N/A,,,N/A,,,100  Shares,,,,,100,,,,,152,,,(9)(13),,,,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,,,9578,,,,,9690,,,,,,,,,,,,,,,,,,,,,
181,,,,,,,Total Business Services,,,,,302634,,,,,289986,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon SPE I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,Carbonfree Chemicals Holdings LLC (4),,Common Equity - Common Equity / Interest,,,N/A,,,N/A,,,"1,246  Shares",,,,,56505,,,,,18705,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,
185,FC2 LLC (4),,Common Equity - Common Stock,,,N/A,,,N/A,,,5  Shares,,,,,-,,,,,-,,,(13)(24),,,,,,,,,,,,,,,,,,,,
186,,,Secured Debt - Promissory Note,,,6.50  %,,,10/14/27,,,,12500,,,,,12500,,,,,12500,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,,,69005,,,,,31205,,,,,,,,,,,,,,,,,,,,,
188,"Westfall Technik, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,"Westfall Technik, Inc.",,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,,09/13/24,,,,21489,,,,,21383,,,,,20200,,,(9)(31),,,,,,,,,,,,,,,,,,,
190,,,First Lien Secured Debt - Revolver,,,"SOFR+  690  ,  1.00  % Floor",,,09/13/24,,,,2039,,,,,2032,,,,,1917,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,,,23415,,,,,22117,,,,,,,,,,,,,,,,,,,,,
192,,,,,,,"Total Chemicals, Plastics & Rubber",,,,,92420,,,,,53322,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,Construction & Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,Allstar Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Athlete Buyer, LLC",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,,04/26/29,,,,5336,,,,,4476,,,,,4472,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
196,,,First Lien Secured Debt - Revolver,,,"SOFR+  660  ,  1.00  % Floor",,,04/26/29,,,,652,,,,,(  15,,,,,(  16,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,,,4461,,,,,4456,,,,,,,,,,,,,,,,,,,,,
198,Englert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,"Gutter Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,,03/06/25,,,,28744,,,,,28563,,,,,28094,,,(9)(31),,,,,,,,,,,,,,,,,,,
200,,,First Lien Secured Debt - Revolver,,,"SOFR+  635  ,  1.00  % Floor",,,03/06/24,,,,2727,,,,,2576,,,,,2560,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,
201,"Gutter Holdings, LP",,Common Equity - Common Stock,,,N/A,,,N/A,,,500  Shares,,,,,500,,,,,172,,,(9)(13),,,,,,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,,,,,31639,,,,,30826,,,,,,,,,,,,,,,,,,,,,
203,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,Pave America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"Pave America Interco, LLC (f/k/a Pavement Partners Interco, LLC)",,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,,02/07/28,,,,12504,,,,,12163,,,,,12129,,,(9)(31)(32),,,,,,,,,,,,,,,,,,,
206,,,First Lien Secured Debt - Revolver,,,"SOFR+  690  ,  1.00  % Floor",,,02/07/28,,,,942,,,,,446,,,,,443,,,(9)(21)(23)(31)  (32),,,,,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,,,,,12609,,,,,12572,,,,,,,,,,,,,,,,,,,,,
208,Yak Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209,Yak Access LLC,,First Lien Secured Debt - Revolver,,,"SOFR+  486  ,  1.00  % Floor",,,09/10/27,,,,5000,,,,,1184,,,,,1188,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
210,,,,,,,Total Construction & Building,,,,,49893,,,,,49042,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,Consumer Goods - Durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,A&V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,"A&V Holdings Midco, LLC",,First Lien Secured Debt - Revolver,,,"SOFR+  461  ,  1.00  % Floor",,,03/10/25,,,,1505,,,,,320,,,,,332,,,(21)(23)(30),,,,,,,,,,,,,,,,,,,
214,KDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,"KDC/ONE Development Corporation, Inc.",,First Lien Secured Debt - Revolver,,,"SOFR+  325  ,  0.00  % Floor",,,12/21/23,,,,6020,,,,,1283,,,,,1283,,,(20)(21)(23)  (30),,,,,,,,,,,,,,,,,,,
216,"KLO Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
217,1244311 B.C. Ltd. (4),,First Lien Secured Debt,,,"SOFR+  500  ,  1.00  % Floor",,,09/30/25,,,,2970,,,,,2970,,,,,2854,,,(17)(30),,,,,,,,,,,,,,,,,,,
218,,,First Lien Secured Debt,,,"SOFR+  500  PIK,  1.00  % Floor",,,09/30/25,,,,1216,,,,,1216,,,,,1163,,,(17)(30),,,,,,,,,,,,,,,,,,,
219,,,Common Equity - Common Stock,,,N/A,,,N/A,,,"1,000,032  Shares",,,,,1000,,,,,833,,,(2)(13)(17)(24),,,,,,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,,,,,5186,,,,,4850,,,,,,,,,,,,,,,,,,,,,
221,NSi Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,"Wildcat BuyerCo, Inc.",,First Lien Secured Debt,,,"SOFR+  515  ,  1.00  % Floor",,,02/27/26,,,,16901,,,,,16556,,,,,16749,,,(31),,,,,,,,,,,,,,,,,,,
223,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00  % Floor",,,02/27/26,,,,725,,,,,(  7,,,,,(  6,,,(8)(20)(21)(23),,,,,,,,,,,,,,,,,,,
224,Wildcat Parent LP,,Common Equity - Common Stock,,,N/A,,,N/A,,,"1,070  Shares",,,,,107,,,,,289,,,(13),,,,,,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,,,,,16656,,,,,17032,,,,,,,,,,,,,,,,,,,,,
226,"Sorenson Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
227,"Sorenson Holdings, LLC",,Common Equity - Membership Interests,,,N/A,,,N/A,,,587  Shares,,,,,-,,,,,592,,,(13),,,,,,,,,,,,,,,,,,,,
228,,,,,,,Total Consumer Goods – Durable,,,,,23445,,,,,24089,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,Consumer Goods - Non-durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230,3D Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"Protein For Pets Opco, LLC",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00  % Floor",,,05/31/24,,,,2219,,,,,(  8,,,,,-,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,
232,Dan Dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233,"Project Comfort Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  710  ,  1.00  % Floor",,,02/01/25,,,,22251,,,,,22099,,,,,21836,,,(9)(31)(32),,,,,,,,,,,,,,,,,,,
234,,,First Lien Secured Debt - Revolver,,,"SOFR+  710  ,  1.00  % Floor",,,02/01/25,,,,1731,,,,,(  10,,,,,(  32,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
235,,,Preferred Equity - Preferred Equity,,,N/A,,,N/A,,,"491,405  Shares",,,,,492,,,,,69,,,(9)(13),,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,,,22581,,,,,21873,,,,,,,,,,,,,,,,,,,,,
237,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,LashCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,"Lash OpCo, LLC",,First Lien Secured Debt,,,"SOFR+  685  ,  1.00  % Floor",,,03/18/26,,,,42811,,,,,42245,,,,,42249,,,(9)(32),,,,,,,,,,,,,,,,,,,
240,,,First Lien Secured Debt - Revolver,,,"SOFR+  685  ,  1.00  % Floor",,,09/18/25,,,,1612,,,,,1186,,,,,1196,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,,,,,43431,,,,,43445,,,,,,,,,,,,,,,,,,,,,
242,Paladone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,Paladone Group Bidco Limited,,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,,11/12/27,,,,6013,,,,,5924,,,,,5990,,,(9)(17)(31),,,,,,,,,,,,,,,,,,,
244,,,First Lien Secured Debt,,,"SOFR+  585  ,  1.00  % Floor",,,11/12/27,,,,1883,,,,,(  7,,,,,(  7,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,
245,,,First Lien Secured Debt - Revolver,,,"SON+  585  ,  1.00  % Floor",,,11/12/27,,£,,353,,,,,(  7,,,,,(  2,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,
246,,,First Lien Secured Debt - Revolver,,,"SOFR+  585  ,  1.00  % Floor",,,11/12/27,,,,1412,,,,,(  20,,,,,(  5,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,
247,Paladone Group Holdings Limited,,Common Equity - Common Stock,,,N/A,,,N/A,,,"94,151  Shares",,,,,94,,,,,85,,,(9)(13)(17),,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,,,5984,,,,,6061,,,,,,,,,,,,,,,,,,,,,
249,"Sequential Brands Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Gainline Galaxy Holdings LLC,,Common Equity - Common Stock,,,N/A,,,N/A,,,"10,854  Shares",,,,,2041,,,,,-,,,(13)(16)(17),,,,,,,,,,,,,,,,,,,,
251,Sequential Avia Holdings LLC,,First Lien Secured Debt,,,"SOFR+  515  ,  1.00  % Floor",,,11/12/26,,,,1225,,,,,1225,,,,,1207,,,(17)(31),,,,,,,,,,,,,,,,,,,
252,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,,8.75  %,,,02/07/24,,,,1293,,,,,-,,,,,238,,,(14)(17),,,,,,,,,,,,,,,,,,,
253,"Swisstech IP CO, LLC",,First Lien Secured Debt,,,6.00  % PIK,,,11/29/24,,,,203,,,,,41,,,,,200,,,(17),,,,,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,,,,,3307,,,,,1645,,,,,,,,,,,,,,,,,,,,,
255,Suave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,Silk Holdings I Corp.,,Common Equity - Common Stock,,,N/A,,,N/A,,,100  Shares,,,,,100,,,,,100,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,
257,Silk Holdings III Corp.,,First Lien Secured Debt,,,"SOFR+  775  ,  1.00  % Floor",,,05/01/29,,,,9875,,,,,9589,,,,,9579,,,(9)(31),,,,,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,,,,,9689,,,,,9679,,,,,,,,,,,,,,,,,,,,,
259,Village Pet Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,"Village Pet Care, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,,09/22/29,,,,6500,,,,,1420,,,,,1370,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,
261,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,,09/22/29,,,,1000,,,,,(  20,,,,,(  20,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,,,1400,,,,,1350,,,,,,,,,,,,,,,,,,,,,
263,,,,,,,Total Consumer Goods – Non-durable,,,,,86384,,,,,84053,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,Activ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
266,"Activ Software Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,,05/04/27,,,,32202,,,,,31705,,,,,31725,,,(9)(32)(33),,,,,,,,,,,,,,,,,,,
267,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,,05/04/27,,,,2407,,,,,(  29,,,,,(  36,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,,,,,31676,,,,,31689,,,,,,,,,,,,,,,,,,,,,
269,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Atlas Technical Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,GI Apple Midco LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,,04/19/30,,,,4435,,,,,3600,,,,,3629,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
272,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,,04/19/29,,,,524,,,,,295,,,,,298,,,(9)(20)(21)(23)  (30),,,,,,,,,,,,,,,,,,,
273,,,First Lien Secured Debt - Revolver,,,P+  575,,,04/19/29,,,,32,,,,,31,,,,,31,,,(9)(28),,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,,,3926,,,,,3958,,,,,,,,,,,,,,,,,,,,,
275,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,"Bird Rides, Inc.",,First Lien Secured Debt,,,"SOFR+  760  ,  1.00  % Floor",,,07/12/25,,,,13618,,,,,13492,,,,,13516,,,(9)(30),,,,,,,,,,,,,,,,,,,
277,Clarus Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,"Marlin DTC-LS Midco 2, LLC",,First Lien Secured Debt,,,"SOFR+  660  ,  1.00  % Floor",,,07/01/25,,,,21466,,,,,21285,,,,,21200,,,(31),,,,,,,,,,,,,,,,,,,
279,,,First Lien Secured Debt - Revolver,,,"SOFR+  660  ,  1.00  % Floor",,,07/01/25,,,,685,,,,,-,,,,,(  8,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,,,,,21285,,,,,21192,,,,,,,,,,,,,,,,,,,,,
281,Go Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Go Car Wash Management Corp.,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,,12/31/26,,,,23784,,,,,10695,,,,,10628,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
283,,,First Lien Secured Debt - Revolver,,,"SOFR+  635  ,  1.00  % Floor",,,12/31/26,,,,417,,,,,(  2,,,,,(  7,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,,,,,10693,,,,,10621,,,,,,,,,,,,,,,,,,,,,
285,Lending Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
286,LendingPoint LLC,,First Lien Secured Debt,,,"SOFR+  1065  ,  1.00  % Floor",,,12/30/26,,,,32229,,,,,31909,,,,,31933,,,(9)(31),,,,,,,,,,,,,,,,,,,
287,,,First Lien Secured Debt,,,"SOFR+  590  ,  1.00  % Floor",,,12/30/26,,,,4167,,,,,4139,,,,,4129,,,(9)(31),,,,,,,,,,,,,,,,,,,
288,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00  % Floor",,,12/30/26,,,,8333,,,,,8283,,,,,8258,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,,,,,44331,,,,,44320,,,,,,,,,,,,,,,,,,,,,
290,Renovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
291,"HomeRenew Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  665  ,  1.00  % Floor",,,11/23/27,,,,15361,,,,,15142,,,,,14978,,,(9)(31),,,,,,,,,,,,,,,,,,,
292,,,First Lien Secured Debt - Revolver,,,"SOFR+  665  ,  1.00  % Floor",,,11/23/27,,,,1958,,,,,1536,,,,,1517,,,(9)(21)(23)(30)  (31),,,,,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,,,,,16678,,,,,16495,,,,,,,,,,,,,,,,,,,,,
294,The Club Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
295,Eldrickco Limited,,First Lien Secured Debt,,,"SON+  603  ,  0.50  % Floor",,,11/26/25,,£,,14858,,,,,14609,,,,,13854,,,(9)(17)(21)(23)  (29),,,,,,,,,,,,,,,,,,,
296,,,First Lien Secured Debt - Revolver,,,"SON+  603  ,  0.50  % Floor",,,11/26/25,,£,,356,,,,,414,,,,,428,,,(9)(17)(23)(29),,,,,,,,,,,,,,,,,,,
297,,,First Lien Secured Debt - Revolver,,,"SON+  553  ,  0.50  % Floor",,,05/26/25,,£,,345,,,,,-,,,,,(  6,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,,,,,15023,,,,,14276,,,,,,,,,,,,,,,,,,,,,
299,US Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,Auto Pool 2023 Trust (Del. Stat. Trust) (4),,Structured Products and Other - Membership Interests,,,N/A,,,02/28/29,,,N/A,,,,,29335,,,,,28791,,,(9)(25),,,,,,,,,,,,,,,,,,,,
301,,,,,,,Total Consumer Services,,,,,186439,,,,,184858,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Celink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Compu-Link Corporation,,First Lien Secured Debt - Revolver,,,"SOFR+  560  ,  1.00  % Floor",,,06/11/24,,,,2273,,,,,(  7,,,,,(  4,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
306,"Peer Advisors, LLC",,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,,06/11/24,,,,5114,,,,,5097,,,,,5104,,,(9)(30),,,,,,,,,,,,,,,,,,,
307,,,,,,,,,,,,,,,,,,,5090,,,,,5100,,,,,,,,,,,,,,,,,,,,,
308,Definiti LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Greylock Holdings LLC,,Common Equity - Common Stock,,,N/A,,,N/A,,,"100,000  Shares",,,,,100,,,,,91,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,
310,RHI Acquisition LLC,,First Lien Secured Debt,,,"SOFR+  660  ,  1.00  % Floor",,,03/16/29,,,,9210,,,,,6349,,,,,6246,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,
311,,,First Lien Secured Debt - Revolver,,,"SOFR+  660  ,  1.00  % Floor",,,03/16/29,,,,660,,,,,(  18,,,,,(  23,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,,,6431,,,,,6314,,,,,,,,,,,,,,,,,,,,,
313,Golden Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,"Golden Bear 2016-R, LLC (4)",,Structured Products and Other - Membership Interests,,,N/A,,,09/20/42,,,N/A,,,,,17103,,,,,11970,,,(3)(17),,,,,,,,,,,,,,,,,,,,
315,"Purchasing Power, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,"Purchasing Power Funding I, LLC",,First Lien Secured Debt - Revolver,,,"L+  710  ,  0.00  % Floor",,,02/24/25,,,,9113,,,,,9112,,,,,9113,,,(9)(23)(34),,,,,,,,,,,,,,,,,,,
317,Spectrum Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Shelby 2021 Holdings Corp.,,First Lien Secured Debt,,,"SOFR+  601  ,  0.75  % Floor",,,06/29/28,,,,14287,,,,,13571,,,,,13524,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
319,,,First Lien Secured Debt - Revolver,,,"SOFR+  601  ,  0.75  % Floor",,,06/29/27,,,,420,,,,,(  4,,,,,(  6,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
320,,,,,,,,,,,,,,,,,,,13567,,,,,13518,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,51303,,,,,46015,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,NFA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,SSCP Spring Bidco Limited,,First Lien Secured Debt,,,"SON+  603  ,  0.50  % Floor",,,07/30/25,,£,,30000,,,,,36541,,,,,36323,,,(9)(17)(29),,,,,,,,,,,,,,,,,,,
325,,,,,,,Total Education,,,,,36541,,,,,36323,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Energy - Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,"AIC SPV Holdings II, LLC",,Preferred Equity - Preferred Stock,,,N/A,,,N/A,,,"534,375  Shares",,,,,534,,,,,91,,,(15)(17)(24),,,,,,,,,,,,,,,,,,,,
329,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,Common Equity - Common Stock,,,N/A,,,N/A,,,"1,368,286  Shares",,,,,16813,,,,,158,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,
330,Renew JV LLC,,Common Equity - Membership Interests,,,N/A,,,N/A,,,"346,752  Shares",,,,,347,,,,,395,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,
331,,,,,,,,,,,,,,,,,,,17694,,,,,644,,,,,,,,,,,,,,,,,,,,,
332,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,,4.00  %,,,03/08/23,,£,,5562,,,,,7231,,,,,1950,,,(11)(14)(17),,,,,,,,,,,,,,,,,,,
334,,,Preferred Equity - Preferred Stock,,,N/A,,,N/A,,,"4,286  Shares",,,,,5623,,,,,-,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,
335,,,Common Equity - Ordinary Shares,,,N/A,,,N/A,,,"2,825  Shares",,,,,4,,,,,-,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,
336,,,,,,,,,,,,,,,,,,,12858,,,,,1950,,,,,,,,,,,,,,,,,,,,,
337,,,,,,,Total Energy – Electricity,,,,,30552,,,,,2594,,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Industry/Company,,Investment Type,,,Interest Rate,,,Maturity Date,,Par/Shares (12),,,Cost (38),,,Fair Value (1)(39),,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Energy - Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Pelican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,"Pelican Energy, LLC (4)",,Common Equity - Membership Interests,,,N/A,,,N/A,,,"1,444  Shares",,,,,11802,,,,,144,,,(13)(16)(17)(24),,,,,,,,,,,,,,,,,,,,
342,Spotted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,"SHD Oil & Gas, LLC (5)",,Common Equity - Series C Units,,,N/A,,,N/A,,,"50,952,525  Shares",,,,,43454,,,,,300,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,
344,,,Common Equity - Series A Units,,,N/A,,,N/A,,,"7,600,000  Shares",,,,,1411,,,,,-,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,,,44865,,,,,300,,,,,,,,,,,,,,,,,,,,,
346,,,,,,,Total Energy – Oil & Gas,,,,,56667,,,,,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
348,83bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,"83Bar, Inc.",,First Lien Secured Debt,,,"SOFR+  586  ,  1.50  % Floor",,,07/02/26,,,,3220,,,,,3213,,,,,3164,,,(9)(30),,,,,,,,,,,,,,,,,,,
350,Akoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,"Akoya Biosciences, Inc.",,First Lien Secured Debt,,,"SOFR+  691  ,  2.50  % Floor",,,11/01/27,,,,22500,,,,,19115,,,,,19071,,,(9)(23)(30),,,,,,,,,,,,,,,,,,,
352,Alcami,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Alcami Corporation,,First Lien Secured Debt,,,"SOFR+  710  ,  1.00  % Floor",,,12/21/28,,,,8842,,,,,7880,,,,,7980,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,
354,,,First Lien Secured Debt - Revolver,,,"SOFR+  710  ,  1.00  % Floor",,,12/21/28,,,,1096,,,,,(  34,,,,,(  22,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,
