,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
179,"US Legal Support Investment Holdings, LLC",,Common Equity - Series A-1 Units,,,N/A,,N/A,,,"631,972  Shares",,,,,632,,,,,727,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
180,"USLS Acquisition, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00  % Floor",,12/02/24,,,,23693,,,,,23550,,,,,23371,,,(9)(31),,,,,,,,,,,,,,,,,,,,
181,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00  % Floor",,12/02/24,,,,1608,,,,,786,,,,,782,,,(9)(20)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,24968,,,,,24880,,,,,,,,,,,,,,,,,,,,,,,
183,Wilson Language Training,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Owl Acquisition, LLC",,First Lien Secured Debt,,,"SOFR+  550  ,  1.00  % Floor",,02/04/28,,,,9635,,,,,9477,,,,,9538,,,(9)(32),,,,,,,,,,,,,,,,,,,,
185,"Owl Parent Holdings, LLC",,Common Equity - Common Stock,,,N/A,,N/A,,,100  Shares,,,,,99,,,,,151,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,9576,,,,,9689,,,,,,,,,,,,,,,,,,,,,,,
187,,,,,,,Total Business Services,,,,,304366,,,,,290352,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,"Chemicals, Plastics & Rubber",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,Carbonfree Chemicals SPE I LLC (f/k/a Maxus Capital Carbon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,Carbonfree Chemicals Holdings LLC (4),,Common Equity - Common Equity / Interest,,,N/A,,N/A,,,"1,246  Shares",,,,,56505,,,,,18902,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
191,FC2 LLC (4),,Common Equity - Common Stock,,,N/A,,N/A,,,5  Shares,,,,,-,,,,,-,,,(24),,,,,,,,,,,,,,,,,,,,,
192,,,Secured Debt - Promissory Note,,,6.50  %,,10/14/27,,,,12500,,,,,12500,,,,,12500,,,,,,,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,69005,,,,,31402,,,,,,,,,,,,,,,,,,,,,,,
194,"Westfall Technik, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,"Westfall Technik, Inc.",,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,09/13/24,,,,21193,,,,,21082,,,,,20825,,,(9)(31),,,,,,,,,,,,,,,,,,,,
196,,,First Lien Secured Debt - Revolver,,,"SOFR+  690  ,  1.00  % Floor",,09/13/24,,,,2039,,,,,2030,,,,,2004,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,23112,,,,,22829,,,,,,,,,,,,,,,,,,,,,,,
198,,,,,,,"Total Chemicals, Plastics & Rubber",,,,,92117,,,,,54231,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Construction & Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,Allstar Holdings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"Athlete Buyer, LLC",,First Lien Secured Debt,,,"SOFR+  610  ,  1.00  % Floor",,04/26/29,,,,4348,,,,,2638,,,,,2635,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
202,,,First Lien Secured Debt - Revolver,,,"SOFR+  610  ,  1.00  % Floor",,04/26/29,,,,652,,,,,36,,,,,36,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,,2674,,,,,2671,,,,,,,,,,,,,,,,,,,,,,,
204,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,Englert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,"Gutter Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,03/06/25,,,,28819,,,,,28601,,,,,28064,,,(9)(31),,,,,,,,,,,,,,,,,,,,
207,,,First Lien Secured Debt - Revolver,,,P+  525,,03/06/24,,,,2727,,,,,2573,,,,,2546,,,(9)(20)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
208,"Gutter Holdings, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,500  Shares,,,,,500,,,,,186,,,(9),,,,,,,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,,,31674,,,,,30796,,,,,,,,,,,,,,,,,,,,,,,
210,Pave America,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,"Pavement Partners Interco, LLC",,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,02/07/28,,,,10088,,,,,9805,,,,,9836,,,(9)(31),,,,,,,,,,,,,,,,,,,,
212,,,First Lien Secured Debt,,,"SOFR+  690  ,  1.00  % Floor",,02/07/28,,,,1445,,,,,(  18,,,,,(  36,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
213,,,First Lien Secured Debt - Revolver,,,"SOFR+  690  ,  1.00  % Floor",,02/07/28,,,,942,,,,,602,,,,,605,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,,,10389,,,,,10405,,,,,,,,,,,,,,,,,,,,,,,
215,Yak Access,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,Yak Access LLC,,First Lien Secured Debt - Revolver,,,"SOFR+  486  ,  1.00  % Floor",,09/10/27,,,,5000,,,,,1180,,,,,1175,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
217,,,,,,,Total Construction & Building,,,,,45917,,,,,45047,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,Consumer Goods - Durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,A&V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,"A&V Holdings Midco, LLC",,First Lien Secured Debt - Revolver,,,"SOFR+  450  ,  1.00  % Floor",,03/10/25,,,,1505,,,,,404,,,,,418,,,(21)(23)(30),,,,,,,,,,,,,,,,,,,,
221,KDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222,KDC US Holdings,,First Lien Secured Debt - Revolver,,,"SOFR+  325  ,  0.00  % Floor",,12/21/23,,,,6020,,,,,935,,,,,901,,,(20)(21)(23)  (30),,,,,,,,,,,,,,,,,,,,
223,"KLO Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1244311 B.C. Ltd. (4),,First Lien Secured Debt,,,"SOFR+  500  ,  1.00  % Floor",,09/30/25,,,,2978,,,,,2978,,,,,2840,,,(17)(30),,,,,,,,,,,,,,,,,,,,
225,,,First Lien Secured Debt,,,"SOFR+  500  PIK,  1.00  % Floor",,09/30/25,,,,1186,,,,,1186,,,,,1125,,,(17)(30),,,,,,,,,,,,,,,,,,,,
226,,,Common Equity - Common Stock,,,N/A,,N/A,,,"1,000,032  Shares",,,,,1000,,,,,785,,,(2)(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,,,5164,,,,,4750,,,,,,,,,,,,,,,,,,,,,,,
228,NSi Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,"Wildcat BuyerCo, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00  % Floor",,02/27/26,,,,9626,,,,,9331,,,,,9531,,,(31),,,,,,,,,,,,,,,,,,,,
230,,,First Lien Secured Debt,,,"SOFR+  500  ,  1.00  % Floor",,02/27/26,,,,7318,,,,,7244,,,,,7247,,,(31),,,,,,,,,,,,,,,,,,,,
231,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00  % Floor",,02/27/26,,,,725,,,,,(  7,,,,,(  7,,,(8)(20)(21)(23),,,,,,,,,,,,,,,,,,,,
232,Wildcat Parent LP,,Common Equity - Common Stock,,,N/A,,N/A,,,"1,070  Shares",,,,,107,,,,,247,,,(13),,,,,,,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,,,16675,,,,,17018,,,,,,,,,,,,,,,,,,,,,,,
234,"Sorenson Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
235,"Sorenson Holdings, LLC",,Common Equity - Membership Interests,,,N/A,,N/A,,,587  Shares,,,,,-,,,,,592,,,(13),,,,,,,,,,,,,,,,,,,,,
236,,,,,,,Total Consumer Goods – Durable,,,,,23178,,,,,23679,,,,,,,,,,,,,,,,,,,,,,,,,,,,
237,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Consumer Goods - Non-durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,3D Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Protein For Pets Opco, LLC",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00  % Floor",,05/31/24,,,,2219,,,,,(  11,,,,,-,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
241,Dan Dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
242,"Project Comfort Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  710  ,  1.00  % Floor",,02/01/25,,,,22251,,,,,22075,,,,,21693,,,(9)(30),,,,,,,,,,,,,,,,,,,,
243,,,First Lien Secured Debt - Revolver,,,"SOFR+  700  ,  1.00  % Floor",,02/01/25,,,,3462,,,,,(  24,,,,,(  88,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
244,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"491,405  Shares",,,,,492,,,,,39,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,,,22543,,,,,21644,,,,,,,,,,,,,,,,,,,,,,,
246,LashCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
247,"Lash OpCo, LLC",,First Lien Secured Debt,,,"SOFR+  710  ,  1.00  % Floor",,03/18/26,,,,42921,,,,,42323,,,,,42212,,,(9)(32),,,,,,,,,,,,,,,,,,,,
248,,,First Lien Secured Debt - Revolver,,,"SOFR+  710  ,  1.00  % Floor",,09/18/25,,,,1612,,,,,706,,,,,716,,,(9)(21)(23)(30)  (32),,,,,,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,,,43029,,,,,42928,,,,,,,,,,,,,,,,,,,,,,,
250,Paladone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,Paladone Group Bidco Limited,,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,11/12/27,,,,6028,,,,,5936,,,,,5939,,,(9)(17)(31),,,,,,,,,,,,,,,,,,,,
252,,,First Lien Secured Debt,,,"SOFR+  575  ,  1.00  % Floor",,11/12/27,,,,1883,,,,,(  9,,,,,(  28,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
253,,,First Lien Secured Debt - Revolver,,,"SON+  575  ,  1.00  % Floor",,11/12/27,,£,,353,,,,,(  7,,,,,(  7,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
254,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00  % Floor",,11/12/27,,,,1412,,,,,(  21,,,,,(  21,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
255,Paladone Group Holdings Limited,,Common Equity - Common Stock,,,N/A,,N/A,,,"94,151  Shares",,,,,94,,,,,80,,,(9)(13)(17),,,,,,,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,,,5993,,,,,5963,,,,,,,,,,,,,,,,,,,,,,,
257,"Sequential Brands Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,Gainline Galaxy Holdings LLC,,Common Equity - Common Stock,,,N/A,,N/A,,,"10,854  Shares",,,,,2041,,,,,-,,,(13)(16)(17),,,,,,,,,,,,,,,,,,,,,
259,Sequential Avia Holdings LLC,,First Lien Secured Debt,,,"L+  525  ,  1.00  % Floor",,11/12/26,,,,1225,,,,,1225,,,,,1206,,,(17)(35),,,,,,,,,,,,,,,,,,,,
260,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,,8.75  %,,02/07/24,,,,1293,,,,,-,,,,,238,,,(14)(17),,,,,,,,,,,,,,,,,,,,
261,"Swisstech IP CO, LLC",,First Lien Secured Debt,,,6  % PIK,,11/29/24,,,,264,,,,,37,,,,,258,,,(17),,,,,,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,,,3303,,,,,1702,,,,,,,,,,,,,,,,,,,,,,,
263,Suave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,Silk Holdings I Corp.,,Common Equity - Common Stock,,,N/A,,N/A,,,100  Shares,,,,,100,,,,,100,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
265,Silk Holdings III Corp.,,First Lien Secured Debt,,,"SOFR+  775  ,  1.00  % Floor",,05/01/29,,,,9900,,,,,9607,,,,,9603,,,(9)(31),,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,9707,,,,,9703,,,,,,,,,,,,,,,,,,,,,,,
267,,,,,,,Total Consumer Goods – Non-durable,,,,,84564,,,,,81940,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
270,Activ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,"Activ Software Holdings, LLC",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,05/04/27,,,,29491,,,,,29062,,,,,28753,,,(9)(32),,,,,,,,,,,,,,,,,,,,
272,,,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,05/04/27,,,,2793,,,,,2717,,,,,2737,,,(9)(32),,,,,,,,,,,,,,,,,,,,
273,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,05/04/27,,,,2407,,,,,(  31,,,,,(  48,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,,,31748,,,,,31442,,,,,,,,,,,,,,,,,,,,,,,
275,Atlas Technical Consultants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,GI Apple Midco LLC,,First Lien Secured Debt,,,"SOFR+  675  ,  1.00  % Floor",,04/19/30,,,,4444,,,,,3520,,,,,3517,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
277,,,First Lien Secured Debt - Revolver,,,P+  675,,04/19/29,,,,40,,,,,39,,,,,38,,,(9)(21)(23)(28),,,,,,,,,,,,,,,,,,,,
278,,,First Lien Secured Debt - Revolver,,,"SOFR+  675  ,  1.00  % Floor",,04/19/29,,,,516,,,,,104,,,,,104,,,(9)(20)(21)(23)  (30),,,,,,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,,,3663,,,,,3659,,,,,,,,,,,,,,,,,,,,,,,
280,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,"Bird US Opco, LLC",,First Lien Secured Debt,,,"SOFR+  760  ,  1.00  % Floor",,01/13/25,,,,12702,,,,,12542,,,,,12607,,,(9)(30),,,,,,,,,,,,,,,,,,,,
282,Clarus Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,"Marlin DTC-LS Midco 2, LLC",,First Lien Secured Debt,,,"L+  650  ,  1.00  % Floor",,07/01/25,,,,21492,,,,,21294,,,,,21286,,,(34),,,,,,,,,,,,,,,,,,,,
284,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00  % Floor",,07/01/25,,,,685,,,,,-,,,,,(  7,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,,,21294,,,,,21279,,,,,,,,,,,,,,,,,,,,,,,
286,Go Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
287,Go Car Wash Management Corp.,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,12/31/26,,,,11087,,,,,10958,,,,,10874,,,(9)(30),,,,,,,,,,,,,,,,,,,,
288,,,First Lien Secured Debt,,,"SOFR+  635  ,  1.00  % Floor",,10/21/23,,,,2496,,,,,337,,,,,416,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
289,,,First Lien Secured Debt,,,"SOFR+  625  ,  1.00  % Floor",,12/31/26,,,,12725,,,,,(  216,,,,,(  246,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
290,,,First Lien Secured Debt - Revolver,,,"SOFR+  635  ,  1.00  % Floor",,12/31/26,,,,417,,,,,165,,,,,158,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,,,11244,,,,,11202,,,,,,,,,,,,,,,,,,,,,,,
292,Lending Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,LendingPoint LLC,,First Lien Secured Debt,,,"SOFR+  1065  ,  1.00  % Floor",,12/30/26,,,,32500,,,,,32175,,,,,32178,,,(9)(31),,,,,,,,,,,,,,,,,,,,
294,,,First Lien Secured Debt,,,"SOFR+  590  ,  1.00  % Floor",,12/30/26,,,,4167,,,,,4138,,,,,4126,,,(9)(31),,,,,,,,,,,,,,,,,,,,
295,,,First Lien Secured Debt - Revolver,,,"SOFR+  590  ,  1.00  % Floor",,12/30/26,,,,8333,,,,,8282,,,,,8253,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,,,44595,,,,,44557,,,,,,,,,,,,,,,,,,,,,,,
297,Renovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,"HomeRenew Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00  % Floor",,11/23/27,,,,15400,,,,,15172,,,,,15015,,,(9)(30),,,,,,,,,,,,,,,,,,,,
299,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,11/23/27,,,,1958,,,,,1535,,,,,1517,,,(9)(21)(23)(30),,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,16707,,,,,16532,,,,,,,,,,,,,,,,,,,,,,,
301,The Club Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Eldrickco Limited,,First Lien Secured Debt,,,"SON+  603  ,  0.50  % Floor",,11/26/25,,£,,14914,,,,,14666,,,,,14437,,,(9)(17)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,
303,,,First Lien Secured Debt - Revolver,,,"SON+  603  ,  0.50  % Floor",,11/26/25,,£,,356,,,,,414,,,,,444,,,(9)(17)(23)(29),,,,,,,,,,,,,,,,,,,,
304,,,First Lien Secured Debt - Revolver,,,"SON+  603  ,  0.50  % Floor",,05/26/25,,£,,345,,,,,-,,,,,(  7,,,(8)(9)(17)(21)  (23),,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,15080,,,,,14874,,,,,,,,,,,,,,,,,,,,,,,
306,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,US Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Auto Pool 2023 Trust (Del. Stat. Trust) (4),,Structured Products and Other - Membership Interests,,,N/A,,02/28/29,,,N/A,,,,,29947,,,,,29370,,,(9)(25),,,,,,,,,,,,,,,,,,,,,
309,,,,,,,Total Consumer Services,,,,,186820,,,,,185522,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Celink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Compu-Link Corporation,,First Lien Secured Debt - Revolver,,,"SOFR+  550  ,  1.00  % Floor",,06/11/24,,,,2273,,,,,(  10,,,,,(  11,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
313,"Peer Advisors, LLC",,First Lien Secured Debt,,,"SOFR+  560  ,  1.00  % Floor",,06/11/24,,,,12841,,,,,12785,,,,,12778,,,(9)(30),,,,,,,,,,,,,,,,,,,,
314,,,,,,,,,,,,,,,,,12775,,,,,12767,,,,,,,,,,,,,,,,,,,,,,,
315,Definiti LLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Greylock Holdings LLC,,Common Equity - Common Stock,,,N/A,,N/A,,,"100,000  Shares",,,,,100,,,,,100,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
317,RHI Acquisition LLC,,First Lien Secured Debt,,,"SOFR+  660  ,  1.00  % Floor",,03/16/29,,,,9225,,,,,6355,,,,,6308,,,(9)(21)(23)(32),,,,,,,,,,,,,,,,,,,,
318,,,First Lien Secured Debt - Revolver,,,"SOFR+  650  ,  1.00  % Floor",,03/16/29,,,,660,,,,,(  19,,,,,(  20,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,6436,,,,,6388,,,,,,,,,,,,,,,,,,,,,,,
320,Golden Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,"Golden Bear 2016-R, LLC (4)",,Structured Products and Other - Membership Interests,,,N/A,,09/20/42,,,N/A,,,,,17103,,,,,11067,,,(3)(17),,,,,,,,,,,,,,,,,,,,,
322,"Purchasing Power, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,"Purchasing Power Funding I, LLC",,First Lien Secured Debt - Revolver,,,"L+  710  ,  0.00  % Floor",,02/24/25,,,,9113,,,,,6173,,,,,6173,,,(9)(21)(23)(33),,,,,,,,,,,,,,,,,,,,
324,Spectrum Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Shelby 2021 Holdings Corp.,,First Lien Secured Debt,,,"SOFR+  601  ,  0.75  % Floor",,06/29/28,,,,11205,,,,,11074,,,,,11037,,,(9)(31),,,,,,,,,,,,,,,,,,,,
326,,,First Lien Secured Debt,,,"SOFR+  601  ,  0.75  % Floor",,06/29/28,,,,3118,,,,,2530,,,,,2521,,,(9)(21)(23)(31),,,,,,,,,,,,,,,,,,,,
327,,,First Lien Secured Debt - Revolver,,,"SOFR+  601  ,  0.75  % Floor",,06/29/27,,,,420,,,,,(  4,,,,,(  6,,,(8)(9)(21)(23),,,,,,,,,,,,,,,,,,,,
328,,,,,,,,,,,,,,,,,13600,,,,,13552,,,,,,,,,,,,,,,,,,,,,,,
329,"'Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,56087,,,,,49947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,NFA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,SSCP Spring Bidco Limited,,First Lien Secured Debt,,,"SON+  575  ,  0.50  % Floor",,07/30/25,,£,,30000,,,,,36496,,,,,37830,,,(9)(17)(29),,,,,,,,,,,,,,,,,,,,
333,,,,,,,Total Education,,,,,36496,,,,,37830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Energy - Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,"AIC SPV Holdings II, LLC (4)",,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,"534,375  Shares",,,,,534,,,,,152,,,(15)(17)(24),,,,,,,,,,,,,,,,,,,,,
337,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"1,000,000  Shares",,,,,1000,,,,,1902,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
338,,,Preferred Equity - Series B Preferred Stock,,,N/A,,N/A,,,"1,505,868  Shares",,,,,8343,,,,,-,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
339,,,Preferred Equity - Series D Preferred Stock,,,N/A,,N/A,,,"436,689  Shares",,,,,5568,,,,,-,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
340,,,Common Equity - Common Stock,,,N/A,,N/A,,,"441,576  Shares",,,,,1902,,,,,-,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
341,Renew JV LLC (4),,Common Equity - Membership Interests,,,N/A,,N/A,,,"350,081  Shares",,,,,350,,,,,435,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,17697,,,,,2489,,,,,,,,,,,,,,,,,,,,,,,
343,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares  (12),,,Cost  (37),,,Fair Value  (1)(38),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
344,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
345,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,,4.00  %,,03/08/23,,£,,5562,,,,,7231,,,,,2055,,,(11)(14)(17),,,,,,,,,,,,,,,,,,,,
346,,,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,"4,286  Shares",,,,,5623,,,,,-,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,,
347,,,Common Equity - Ordinary Shares,,,N/A,,N/A,,,"2,825  Shares",,,,,4,,,,,-,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,12858,,,,,2055,,,,,,,,,,,,,,,,,,,,,,,
349,,,,,,,Total Energy – Electricity,,,,,30555,,,,,4544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Energy - Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Pelican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,"Pelican Energy, LLC (4)",,Common Equity - Membership Interests,,,N/A,,N/A,,,"1,444  Shares",,,,,12271,,,,,260,,,(13)(16)(17)(24),,,,,,,,,,,,,,,,,,,,,
