,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44
182,Construction & Building,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,Englert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,"Gutter Buyer, Inc.",,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,03/06/25,,,,29044,,,,,28777,,,,,28520,,,(9)(26),,,,,,,,,,,,,,,,,,,,
185,,,First Lien Secured Debt - Revolver,,,P+  525,,03/06/24,,,,2727,,,,,1344,,,,,1319,,,(9)(20)(21)  (23)(25),,,,,,,,,,,,,,,,,,,,
186,"Gutter Holdings, LP",,Common Equity - Common Stock,,,N/A,,N/A,,,500  Shares,,,,,500,,,,,908,,,(9),,,,,,,,,,,,,,,,,,,,,
187,,,,,,Total Construction & Building,,,,,30621,,,,,30747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Consumer Goods - Durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,A&V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,"A&V Holdings Midco, LLC",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,03/10/25,,,,1505,,,,,384,,,,,404,,,(21)(23)  (26),,,,,,,,,,,,,,,,,,,,
191,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,KDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,KDC US Holdings,,First Lien Secured Debt - Revolver,,,"L+  325  ,  0.00   Floor",,12/21/23,,,,6020,,,,,900,,,,,730,,,(20)(21)(23)  (26),,,,,,,,,,,,,,,,,,,,
194,"KLO Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,1244311 B.C. Ltd. (4),,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,09/30/25,,,,2978,,,,,2978,,,,,2781,,,(17)(26),,,,,,,,,,,,,,,,,,,,
196,,,First Lien Secured Debt,,,"L+  500  Cash plus  6.00   PIK,  1.00   Floor",,09/30/25,,,,1112,,,,,1112,,,,,1030,,,(17)(28),,,,,,,,,,,,,,,,,,,,
197,,,Common Equity - Common Stock,,,N/A,,N/A,,,"1,000,032  Shares",,,,,1000,,,,,419,,,(2)(13)(17)  (24),,,,,,,,,,,,,,,,,,,,,
198,GSC Technologies Inc. (4),,First Lien Secured Debt,,,"L+  500  Cash plus  5.00   PIK,  1.00   Floor",,09/30/25,,,,196,,,,,196,,,,,182,,,(17)(26),,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,,,5286,,,,,4412,,,,,,,,,,,,,,,,,,,,,,,
200,Liqui-Box,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,"Liqui-Box Holdings, Inc.",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,02/26/25,,,,2578,,,,,1830,,,,,1802,,,(21)(23)(28),,,,,,,,,,,,,,,,,,,,
202,,,First Lien Secured Debt - Revolver,,,P+  350,,02/26/25,,,,982,,,,,976,,,,,968,,,(21)(23)(25),,,,,,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,,2806,,,,,2770,,,,,,,,,,,,,,,,,,,,,,,,
204,NSi Industries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,"Wildcat BuyerCo, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,02/27/26,,,,17074,,,,,16618,,,,,16796,,,(32),,,,,,,,,,,,,,,,,,,,
206,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,02/27/26,,,,725,,,,,(  9,,,,,(  12,,,(8)(20)(21)  (23),,,,,,,,,,,,,,,,,,,,
207,Wildcat Parent LP,,Common Equity - Common Stock,,,N/A,,N/A,,,"1,070  Shares",,,,,107,,,,,181,,,(13),,,,,,,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,,,16716,,,,,16965,,,,,,,,,,,,,,,,,,,,,,,
209,"Sorenson Holdings, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,"Sorenson Holdings, LLC",,Common Equity - Membership Interests,,,N/A,,N/A,,,587  Shares,,,,,0,,,,,323,,,(10)(13),,,,,,,,,,,,,,,,,,,,,
211,,,,,,Total Consumer Goods – Durable,,,,,26092,,,,,25604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,Consumer Goods - Non-durable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,3D Protein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,"Protein For Pets Opco, LLC",,First Lien Secured Debt - Revolver,,,"L+  450  ,  1.00   Floor",,05/31/24,,,,2219,,,,,(  19,,,,,0,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
215,Dan Dee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,"Project Comfort Buyer, Inc.",,First Lien Secured Debt,,,"L+  700  ,  1.00   Floor",,02/01/25,,,,24203,,,,,23914,,,,,23402,,,(9)(26),,,,,,,,,,,,,,,,,,,,
217,,,First Lien Secured Debt - Revolver,,,"L+  700  ,  1.00   Floor",,02/01/25,,,,3462,,,,,(  36,,,,,(  117,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
218,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"491,405  Shares",,,,,492,,,,,24,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,,,24370,,,,,23309,,,,,,,,,,,,,,,,,,,,,,,
220,LashCo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
221,"Lash OpCo, LLC",,First Lien Secured Debt,,,"L+  700  ,  1.00   Floor",,03/18/26,,,,43249,,,,,42490,,,,,42666,,,(9)(29),,,,,,,,,,,,,,,,,,,,
222,,,First Lien Secured Debt - Revolver,,,"L+  700  ,  1.00   Floor",,09/18/25,,,,1612,,,,,555,,,,,576,,,(9)(21)(23)  (29),,,,,,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,,,43045,,,,,43242,,,,,,,,,,,,,,,,,,,,,,,
224,Paladone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,Paladone Group Bidco Limited,,First Lien Secured Debt,,,"L+  575  ,  1.00   Floor",,11/12/27,,,,7957,,,,,5954,,,,,5955,,,(9)(17)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,
226,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  1.00   Floor",,11/12/27,,,,1412,,,,,352,,,,,355,,,(9)(17)(21)  (23)(28),,,,,,,,,,,,,,,,,,,,
227,,,First Lien Secured Debt - Revolver,,,"SON+  575  ,  1.00   Floor",,11/12/27,,£,,353,,,,,(  8,,,,,(  6,,,(8)(9)(17)  (21)(23),,,,,,,,,,,,,,,,,,,,
228,Paladone Group Holdings Limited,,Common Equity - Common Stock,,,N/A,,N/A,,,"94,151  Shares",,,,,94,,,,,91,,,(9)(13)(17)  (24),,,,,,,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,,,6392,,,,,6395,,,,,,,,,,,,,,,,,,,,,,,
230,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"Sequential Brands Group, Inc.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232,Gainline Galaxy Holdings LLC,,Common Equity - Common Stock,,,N/A,,N/A,,,"10,854  Shares",,,,,2041,,,,,1420,,,(13)(16)(17)  (24),,,,,,,,,,,,,,,,,,,,,
233,Sequential Avia Holdings LLC,,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,11/12/26,,,,1437,,,,,1436,,,,,1436,,,(17)(28),,,,,,,,,,,,,,,,,,,,
234,"Sequential Brands Group, Inc.",,Second Lien Secured Debt,,,8.75,,02/07/24,,,,1293,,,,,0,,,,,239,,,(14)(17),,,,,,,,,,,,,,,,,,,,
235,"Swisstech IP CO, LLC",,First Lien Secured Debt,,,6   PIK,,11/29/24,,,,272,,,,,11,,,,,272,,,(17),,,,,,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,,,3488,,,,,3367,,,,,,,,,,,,,,,,,,,,,,,
237,,,,,,Total Consumer Goods – Non-durable,,,,,77276,,,,,76313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
238,Consumer Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
239,Activ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
240,"Activ Software Holdings, LLC",,First Lien Secured Debt,,,"L+  625  ,  1.00   Floor",,05/04/27,,,,29716,,,,,29254,,,,,29419,,,(9)(30),,,,,,,,,,,,,,,,,,,,
241,,,First Lien Secured Debt - Revolver,,,"L+  650  ,  1.00   Floor",,05/04/27,,,,2407,,,,,(  37,,,,,(  60,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,29217,,,,,29359,,,,,,,,,,,,,,,,,,,,,,,
243,Bird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,"Bird US Opco, LLC",,First Lien Secured Debt,,,"SOFR+  750  ,  1.00   Floor",,10/12/24,,,,33715,,,,,30097,,,,,30648,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
245,Clarus Commerce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
246,"Marlin DTC-LS Midco 2, LLC",,First Lien Secured Debt,,,"L+  650  ,  1.00   Floor",,07/01/25,,,,21632,,,,,21366,,,,,21438,,,(26)(28),,,,,,,,,,,,,,,,,,,,
247,,,First Lien Secured Debt - Revolver,,,"L+  600  ,  1.00   Floor",,07/01/25,,,,685,,,,,0,,,,,(  6,,,(8)(21)(23),,,,,,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,,,21366,,,,,21432,,,,,,,,,,,,,,,,,,,,,,,
249,Go Car Wash,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
250,Go Car Wash Management Corp.,,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/31/26,,,,26392,,,,,10876,,,,,10710,,,(9)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
251,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,12/31/26,,,,417,,,,,(  2,,,,,(  7,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,,,10874,,,,,10703,,,,,,,,,,,,,,,,,,,,,,,
253,Lending Point,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
254,LendingPoint LLC,,First Lien Secured Debt,,,"SOFR+  1050  ,  1.00   Floor",,12/30/25,,,,32500,,,,,29289,,,,,29416,,,(9)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
255,,,First Lien Secured Debt,,,"SOFR+  575  ,  1.00   Floor",,12/30/25,,,,4167,,,,,3092,,,,,3098,,,(9)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
256,,,First Lien Secured Debt - Revolver,,,"SOFR+  575  ,  1.00   Floor",,12/30/25,,,,8333,,,,,8271,,,,,8280,,,(9)(23)(32),,,,,,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,,,40652,,,,,40794,,,,,,,,,,,,,,,,,,,,,,,
258,Renovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,"HomeRenew Buyer, Inc.",,First Lien Secured Debt,,,"SOFR+  650  ,  1.00   Floor",,11/23/27,,,,18000,,,,,15075,,,,,15022,,,(9)(21)(23)  (32),,,,,,,,,,,,,,,,,,,,
260,,,First Lien Secured Debt - Revolver,,,"SOFR+  660  ,  1.00   Floor",,11/23/27,,,,1958,,,,,192,,,,,189,,,(9)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,,,15267,,,,,15211,,,,,,,,,,,,,,,,,,,,,,,
262,The Club Company,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Eldrickco Limited,,First Lien Secured Debt,,,"SON+  625  ,  0.50   Floor",,11/26/25,,£,,14970,,,,,13900,,,,,12042,,,(9)(17)(21)  (23)(27),,,,,,,,,,,,,,,,,,,,
264,,,First Lien Secured Debt - Revolver,,,"SON+  625  ,  0.50   Floor",,11/26/25,,£,,356,,,,,411,,,,,391,,,(9)(17)(23)  (27),,,,,,,,,,,,,,,,,,,,
265,,,First Lien Secured Debt - Revolver,,,"SON+  575  ,  0.50   Floor",,05/26/25,,£,,345,,,,,0,,,,,(  6,,,(8)(9)(17)  (21)(23),,,,,,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,,,14311,,,,,12427,,,,,,,,,,,,,,,,,,,,,,,
267,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,US Auto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,"U.S. Auto Finance, Inc.",,First Lien Secured Debt,,,"SOFR+  525  ,  1.00   Floor",,04/17/24,,,,20000,,,,,5023,,,,,4400,,,(9)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
270,,,First Lien Secured Debt,,,"SOFR+  900  ,  1.00   Floor",,04/17/25,,,,4000,,,,,3945,,,,,3998,,,(9)(31),,,,,,,,,,,,,,,,,,,,
271,,,First Lien Secured Debt - Revolver,,,"SOFR+  600  ,  1.00   Floor",,04/17/24,,,,13333,,,,,8098,,,,,7918,,,(9)(21)(23)  (31),,,,,,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,,,17066,,,,,16316,,,,,,,,,,,,,,,,,,,,,,,
273,,,,,,Total Consumer Services,,,,,178850,,,,,176890,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,"Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Celink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Compu-Link Corporation,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,06/11/24,,,,2273,,,,,(  17,,,,,(  32,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
277,"Peer Advisors, LLC",,First Lien Secured Debt,,,"L+  550  ,  1.00   Floor",,06/11/24,,,,17386,,,,,17247,,,,,17143,,,(9)(26),,,,,,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,,,17230,,,,,17111,,,,,,,,,,,,,,,,,,,,,,,
279,Golden Bear,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,"Golden Bear 2016-R, LLC (4)",,Structured Products and Other - Membership Interests,,,N/A,,09/20/42,,,N/A,,,,,16998,,,,,8748,,,(3)(17),,,,,,,,,,,,,,,,,,,,,
281,"Purchasing Power, LLC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,"Purchasing Power Funding I, LLC",,First Lien Secured Debt - Revolver,,,"L+  650  ,  0.00   Floor",,02/24/25,,,,9113,,,,,0,,,,,0,,,(9)(21)(23),,,,,,,,,,,,,,,,,,,,
283,Spectrum Automotive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Shelby 2021 Holdings Corp.,,First Lien Secured Debt,,,"L+  575  ,  0.75   Floor",,06/29/28,,,,14424,,,,,12689,,,,,12647,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
285,,,First Lien Secured Debt - Revolver,,,"L+  575  ,  0.75   Floor",,06/29/27,,,,420,,,,,(  5,,,,,(  6,,,(8)(9)(21)  (23),,,,,,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,,,12684,,,,,12641,,,,,,,,,,,,,,,,,,,,,,,
287,,,"Total Diversified Investment Vehicles, Banking, Finance, Real Estate",,,,,46912,,,,,38500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
289,NFA Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
290,SSCP Spring Bidco Limited,,First Lien Secured Debt,,,"SON+  575  ,  0.50   Floor",,07/30/25,,£,,30000,,,,,36326,,,,,33181,,,(9)(17)(27),,,,,,,,,,,,,,,,,,,,
291,,,,,,Total Education,,,,,36326,,,,,33181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
292,Energy - Electricity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
293,"Renew Financial LLC (f/k/a Renewable Funding, LLC)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
294,"AIC SPV Holdings II, LLC (4)",,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,"534,375  Shares",,,,,534,,,,,0,,,(15)(17)(24),,,,,,,,,,,,,,,,,,,,,
295,"Renew Financial LLC (f/k/a Renewable Funding, LLC) (4)",,Preferred Equity - Series E Preferred Stock,,,N/A,,N/A,,,"441,576  Shares",,,,,1902,,,,,2050,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
296,,,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,"1,000,000  Shares",,,,,1000,,,,,2000,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
297,,,Preferred Equity - Series B Preferred Stock,,,N/A,,N/A,,,"1,505,868  Shares",,,,,8343,,,,,0,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
298,,,Preferred Equity - Series D Preferred Stock,,,N/A,,N/A,,,"436,689  Shares",,,,,5568,,,,,0,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
299,Renew JV LLC (4),,Common Equity - Membership Interests,,,N/A,,N/A,,,"393,242  Shares",,,,,393,,,,,445,,,(13)(17)(24),,,,,,,,,,,,,,,,,,,,,
300,,,,,,,,,,,,,,,,,17740,,,,,4495,,,,,,,,,,,,,,,,,,,,,,,
301,Solarplicity Group Limited (f/k/a AMP Solar UK),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Solarplicity UK Holdings Limited,,First Lien Secured Debt,,,4.00,,03/08/23,,£,,5562,,,,,7231,,,,,1712,,,(14)(17),,,,,,,,,,,,,,,,,,,,
303,,,Preferred Equity - Preferred Stock,,,N/A,,N/A,,,"4,286  Shares",,,,,5623,,,,,0,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,,
304,,,Common Equity - Ordinary Shares,,,N/A,,N/A,,,"2,825  Shares",,,,,4,,,,,0,,,(2)(13)(17),,,,,,,,,,,,,,,,,,,,,
305,,,,,,,,,,,,,,,,,12858,,,,,1712,,,,,,,,,,,,,,,,,,,,,,,
306,,,,,,Total Energy – Electricity,,,,,30598,,,,,6207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Energy - Oil & Gas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,"Glacier Oil & Gas Corp. (f/k/a Miller Energy Resources, Inc.) (5)",,Second Lien Secured Debt,,,10.00   PIK,,03/31/23,,,,40,,,,,41,,,,,40,,,,,,,,,,,,,,,,,,,,,,,
311,,,Common Equity - Common Stock,,,N/A,,N/A,,,"10,000,000  Shares",,,,,30078,,,,,5796,,,(13)(24),,,,,,,,,,,,,,,,,,,,,
312,,,,,,,,,,,,,,,,,30119,,,,,5836,,,,,,,,,,,,,,,,,,,,,,,
313,Pelican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,"Pelican Energy, LLC (4)",,Common Equity - Membership Interests,,,N/A,,N/A,,,"1,444  Shares",,,,,12271,,,,,195,,,(13)(16)(17)  (24),,,,,,,,,,,,,,,,,,,,,
315,Spotted Hawk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,"SHD Oil & Gas, LLC (5)",,First Lien Secured Debt,,,12.00,,03/31/23,,,,17838,,,,,17838,,,,,18374,,,,,,,,,,,,,,,,,,,,,,,
317,,,Common Equity - Series C Units,,,N/A,,N/A,,,"50,952,525  Shares",,,,,44065,,,,,1196,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
318,,,Common Equity - Series A Units,,,N/A,,N/A,,,"7,600,000  Shares",,,,,1411,,,,,0,,,(13)(16)(24),,,,,,,,,,,,,,,,,,,,,
319,,,,,,,,,,,,,,,,,63314,,,,,19570,,,,,,,,,,,,,,,,,,,,,,,
320,,,,,,Total Energy – Oil & Gas,,,,,105704,,,,,25601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
321,Healthcare & Pharmaceuticals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,83bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,"83Bar, Inc.",,First Lien Secured Debt,,,"SOFR+  575  ,  1.50   Floor",,07/02/26,,,,3646,,,,,3631,,,,,3582,,,(9)(31),,,,,,,,,,,,,,,,,,,,
324,Akoya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,"Akoya Biosciences, Inc.",,First Lien Secured Debt,,,"SOFR+  635  ,  1.61   Floor",,10/27/25,,,,15750,,,,,15752,,,,,15750,,,(9)(31),,,,,,,,,,,,,,,,,,,,
326,Analogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Analogic Corporation,,First Lien Secured Debt,,,"L+  525  ,  1.00   Floor",,06/22/24,,,,17759,,,,,17616,,,,,17404,,,(9)(28),,,,,,,,,,,,,,,,,,,,
328,,,First Lien Secured Debt - Revolver,,,"L+  525  ,  1.00   Floor",,06/22/23,,,,1826,,,,,1505,,,,,1481,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
329,,,,,,,,,,,,,,,,,19121,,,,,18885,,,,,,,,,,,,,,,,,,,,,,,
330,Carbon6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,"Carbon6 Technologies, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  1.00   Floor",,08/01/27,,,,12500,,,,,2488,,,,,2488,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
332,,,Preferred Equity - Preferred Equity,,,N/A,,N/A,,,"280,899  Shares",,,,,250,,,,,250,,,(9)(13)(24),,,,,,,,,,,,,,,,,,,,,
333,,,,,,,,,,,,,,,,,2738,,,,,2738,,,,,,,,,,,,,,,,,,,,,,,
334,Cato Research,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,"LS Clinical Services Holdings, Inc.",,First Lien Secured Debt,,,"L+  675  ,  1.00   Floor",,12/16/27,,,,13027,,,,,12736,,,,,12715,,,(9)(28),,,,,,,,,,,,,,,,,,,,
336,,,First Lien Secured Debt - Revolver,,,"L+  675  ,  1.00   Floor",,12/16/26,,,,1875,,,,,523,,,,,518,,,(9)(21)(23)  (28),,,,,,,,,,,,,,,,,,,,
337,,,,,,,,,,,,,,,,,13259,,,,,13233,,,,,,,,,,,,,,,,,,,,,,,
338,Cerus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Cerus Corporation,,First Lien Secured Debt,,,"L+  545  ,  1.80   Floor",,03/01/24,,,,16500,,,,,16474,,,,,16500,,,(9)(17)(26),,,,,,,,,,,,,,,,,,,,
340,,,First Lien Secured Debt - Revolver,,,"L+  375  ,  1.80   Floor",,03/01/24,,,,1500,,,,,29,,,,,30,,,(9)(17)(21)  (23)(26),,,,,,,,,,,,,,,,,,,,
341,,,,,,,,,,,,,,,,,16503,,,,,16530,,,,,,,,,,,,,,,,,,,,,,,
342,Compass Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,"Roscoe Medical, Inc",,First Lien Secured Debt,,,"SOFR+  625  ,  1.00   Floor",,09/30/24,,,,7563,,,,,7291,,,,,7260,,,(9)(31),,,,,,,,,,,,,,,,,,,,
344,,,First Lien Secured Debt - Revolver,,,"SOFR+  625  ,  1.00   Floor",,09/30/24,,,,1393,,,,,1341,,,,,1337,,,(9)(23)(31),,,,,,,,,,,,,,,,,,,,
345,,,,,,,,,,,,,,,,,8632,,,,,8597,,,,,,,,,,,,,,,,,,,,,,,
346,Emmes Corporation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,"Emmes Blocker, Inc.",,Common Equity - Common Stock,,,N/A,,N/A,,,306  Shares,,,,,306,,,,,2426,,,(9)(13),,,,,,,,,,,,,,,,,,,,,
348,Industry/Company,,Investment Type,,,Interest Rate,,Maturity Date,,Par/Shares (12),,,Cost (34),,,Fair Value (1)(35),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,EmpiRx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,EmpiRx Health LLC,,First Lien Secured Debt,,,"L+  500  ,  1.00   Floor",,08/05/27,,,,9023,,,,,8872,,,,,8932,,,(9)(29),,,,,,,,,,,,,,,,,,,,
351,,,First Lien Secured Debt - Revolver,,,"L+  550  ,  1.00   Floor",,08/05/27,,,,909,,,,,(  15,,,,,(  9,,,(8)(9)(20)  (21)(23),,,,,,,,,,,,,,,,,,,,
352,,,,,,,,,,,,,,,,,8857,,,,,8923,,,,,,,,,,,,,,,,,,,,,,,
353,Forge Biologics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,"Forge Biologics, Inc.",,First Lien Secured Debt,,,"SOFR+  675  ,  0.50   Floor",,12/03/26,,,,26667,,,,,13221,,,,,13282,,,(8)(9)(23)(31),,,,,,,,,,,,,,,,,,,,
355,,,First Lien Secured Debt,,,"SOFR+  675  ,  0.50   Floor",,12/03/26,,,,13333,,,,,(  56,,,,,(  26,,,(8)(9)(23),,,,,,,,,,,,,,,,,,,,
356,,,,,,,,,,,,,,,,,13221,,,,,13282,,,,,,,,,,,,,,,,,,,,,,,
357,Gateway Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,"Gateway US Holdings, Inc.",,First Lien Secured Debt,,,"SOFR+  550  ,  0.75   Floor",,09/22/26,,,,7533,,,,,7469,,,,,7420,,,(9)(33),,,,,,,,,,,,,,,,,,,,
