0,1,2,3,4,5,6,7,8,9,10,11
Halcyon Loan Advisors Funding 2013-1 Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),40400,39703,39703,40808,40808,1.1%,0,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),24500,39703,23196,40808,23198,0,0.7%,0,0
Halcyon Loan Advisors Funding 2014-1 Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),24500,23196,23196,23198,23198,0.7%,0,0,0
"Harley Marine  Services, Inc.(16)",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(4)",9000,23196,8826,23198,8832,0,0.2%,0,0
"Harley Marine  Services, Inc.(16)",Washington / Transportation,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 12/20/2019)(4)",9000,8826,8826,8832,8832,0.2%,0,0,0
"Hoffmaster  Group, Inc.(16)",Wisconsin / Personal & Nondurable Consumer Products,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 1/3/2019)(3)(4)",20000,8826,19848,8832,20000,0,0.6%,0,0
"Second Lien Term Loan (10.25% (LIBOR + 9.00% with 1.25% LIBOR floor), due 1/3/2019)(3)(4)",1000,"Second Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 1/3/2019)(3)(4)",992,20840,1000,21000,-%,0.6%,0,0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(3)",23600,20840,23768,21000,22155,0,0.6%,0,0
"ICON Health & Fitness, Inc.",Utah / Durable Consumer Products,"Senior Secured Note (11.875%, due 10/15/2016)(3)",23600,23768,23768,22155,22155,0.6%,0,0,0
"ICV-CSI Holdings, LLC (f/k/a Cargo Airport Services USA, LLC)",New York / Transportation,Common Equity (1.6 units),23600,1639,23768,874,22155,-%,0,0,0
"ICV-CSI Holdings, LLC (f/k/a Cargo Airport Services USA, LLC)",New York / Transportation,Common Equity (1.6 units),23600,1639,23768,874,22155,-%,0,0,0
"IDQ Holdings, Inc.",Texas / Automobile,"Senior Secured Note (11.50%, due 4/1/2017)",12500,1639,12333,874,12500,0,0.4%,0,0
"IDQ Holdings, Inc.",Texas / Automobile,"Senior Secured Note (11.50%, due 4/1/2017)",12500,12333,12333,12500,12500,0.4%,0,0,0
"Ikaria, Inc.(16)",New Jersey / Healthcare,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 2/12/2022)(4)",25000,12333,24417,12500,25000,0,0.7%,0,0
"Ikaria, Inc.(16)",New Jersey / Healthcare,"Second Lien Term Loan (8.75% (LIBOR + 7.75% with 1.00% LIBOR floor), due 2/12/2022)(4)",25000,24417,24417,25000,25000,0.7%,0,0,0
"ING IM CLO  2012-2, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),Principal Value,38070,Fair  Value(2),% of Net Assets,31747,0,0,36916.0,1.0%
"ING IM CLO  2012-2, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),Principal Value,31747,Fair  Value(2),36916,31747,1.0%,0,0,0
"ING IM CLO  2012-3, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),46632,31747,40256,36916,45349,0,1.3%,0,0
"ING IM CLO  2012-3, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),46632,40256,40256,45349,45349,1.3%,0,0,0
"ING IM CLO  2012-4, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),40613,40256,35725,45349,41108,0,1.2%,0,0
"ING IM CLO  2012-4, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),40613,35725,35725,41108,41108,1.2%,0,0,0
"ING IM CLO  2014-1, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),32383,35725,32619,41108,32594,0,0.9%,0,0
"ING IM CLO  2014-1, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),32383,32619,32619,32594,32594,0.9%,0,0,0
"Injured Workers Pharmacy, LLC",Massachusetts / Healthcare,"Second Lien Term Loan (11.50% (LIBOR + 7.00% with 4.50% LIBOR floor) plus 1.00% PIK, due 5/31/2019)(3)(4)",22620,32619,22620,32594,22620,0,0.6%,0,0
"Injured Workers Pharmacy, LLC",Massachusetts / Healthcare,"Second Lien Term Loan (11.50% (LIBOR + 7.00% with 4.50% LIBOR floor) plus 1.00% PIK, due 5/31/2019)(3)(4)",22620,22620,22620,22620,22620,0.6%,0,0,0
"Instant Web, LLC",Minnesota / Media,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)",127000,22620,127000,22620,127000,0,3.6%,0,0
"Senior Secured Term Loan C (12.75% (LIBOR + 11.75% with 1.00% LIBOR floor), due 3/28/2019)(4)",12500,"Senior Secured Term Loan A (5.50% (LIBOR + 4.50% with 1.00% LIBOR floor), due 3/28/2019)(4)",12500,267500,12500,267500,0.3%,7.5%,0,0,0
"InterDent, Inc.",California / Healthcare,"Senior Secured Term Loan A (7.25% (LIBOR + 5.75% with 1.50% LIBOR floor), due 8/3/2017)(4)",54444,267500,54444,267500,54444,0,1.5%,0,0
"Senior Secured Term Loan B (12.25% (LIBOR + 9.25% with 3.00% LIBOR floor), due 8/3/2017)(3)(4)",58500,"Senior Secured Term Loan A (7.25% (LIBOR + 5.75% with 1.50% LIBOR floor), due 8/3/2017)(4)",58500,112944,58496,112940,1.7%,3.2%,0,0,0
"JHH Holdings, Inc.",Texas / Healthcare,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor) plus 0.50% PIK, due 3/30/2019)(3)(4)",35075,112944,35075,112940,35075,0,1.0%,0,0
"JHH Holdings, Inc.",Texas / Healthcare,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor) plus 0.50% PIK, due 3/30/2019)(3)(4)",35075,35075,35075,35075,35075,1.0%,0,0,0
"LaserShip, Inc.",Virginia / Transportation,"Revolving Line of Credit – $5,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 12/21/2014)(4)(25)",-,35075,-,35075,-,0,-%,0,0
"Delayed Draw Term Loan – $6,000 Commitment (2.00%, due 12/31/2015)(4)(25)",-,"Revolving Line of Credit – $5,000 Commitment (10.25% (LIBOR + 8.25% with 2.00% LIBOR floor), due 12/21/2014)(4)(25)",-,58578,-,58578,-%,1.6%,0,0,0
LCM XIV Ltd.(22),Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),26500,58578,25544,58578,25501,0,0.7%,0,0
LCM XIV Ltd.(22),Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),26500,25544,25544,25501,25501,0.7%,0,0,0
LHC Holdings Corp.,Florida / Healthcare,"Revolving Line of Credit – $750 Commitment (8.50% (LIBOR + 6.00% with 2.50% LIBOR floor), due 5/31/2015)(4)(25)(26)",Principal Value,-,Fair  Value(2),% of Net Assets,-,0,0,-,-%
Common Stock (125 shares),1865,216,1865,2081,1865,2118,0.1%,0.1%,0,0,0
"Madison Park  Funding IX, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),31110,2081,25084,2118,27937,0,0.8%,0,0
"Madison Park  Funding IX, Ltd.(22)",Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),31110,25084,25084,27937,27937,0.8%,0,0,0
"Matrixx Initiatives, Inc.",New Jersey / Pharmaceuticals,"Senior Secured Term Loan A (7.50% (LIBOR + 6.00% with 1.50% LIBOR floor), due 8/9/2018)(3)(4)",38815,25084,38815,27937,38815,0,1.1%,0,0
"Senior Secured Term Loan B (12.50% (LIBOR + 11.00% with 1.50% LIBOR floor), due 8/9/2018)(3)(4)",39750,"Senior Secured Term Loan A (7.50% (LIBOR + 6.00% with 1.50% LIBOR floor), due 8/9/2018)(3)(4)",39750,78565,38907,77722,1.1%,2.2%,0,0,0
"Maverick Healthcare Equity, LLC",Arizona / Healthcare,"Preferred Units (1,250,000 units)",39750,1252,38907,721,1.1%,-%,0,0,0
"Class A Common Units (1,250,000 units)",Arizona / Healthcare,-,39750,1252,38907,721,1.1%,-%,0,0,0
Mountain View CLO 2013-I Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),43650,1252,41857,721,43689,0,1.2%,0,0
Mountain View CLO 2013-I Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),43650,41857,41857,43689,43689,1.2%,0,0,0
NCP Finance Limited Partnership(22)(23),Ohio /  Consumer Finance,"Subordinated Secured Term Loan (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)(16)",11940,41857,11715,43689,11940,0,0.3%,0,0
NCP Finance Limited Partnership(22)(23),Ohio /  Consumer Finance,"Subordinated Secured Term Loan (11.00% (LIBOR + 9.75% with 1.25% LIBOR floor), due 9/30/2018)(3)(4)(16)",11940,11715,11715,11940,11940,0.3%,0,0,0
"New Century Transportation, Inc.",New Jersey / Transportation,"Senior Subordinated Term Loan (12.00% (LIBOR + 10.00% with 2.00% LIBOR floor) plus 4.00% PIK, due 2/3/2018)(4)",46361,11715,46361,11940,35913,0,1.0%,0,0
"New Century Transportation, Inc.",New Jersey / Transportation,"Senior Subordinated Term Loan (12.00% (LIBOR + 10.00% with 2.00% LIBOR floor) plus 4.00% PIK, due 2/3/2018)(4)",46361,46361,46361,35913,35913,1.0%,0,0,0
"Nixon, Inc.",California / Durable Consumer Products,"Senior Secured Term Loan (8.75% plus 2.75% PIK, due 4/16/2018)(16)",13439,46361,13213,35913,13439,0,0.4%,0,0
"Nixon, Inc.",California / Durable Consumer Products,"Senior Secured Term Loan (8.75% plus 2.75% PIK, due 4/16/2018)(16)",13439,13213,13213,13439,13439,0.4%,0,0,0
"NRG Manufacturing, Inc.",Texas / Manufacturing,Escrow Receivable,13439,-,13213,1087,13439,-%,0,0,0
"NRG Manufacturing, Inc.",Texas / Manufacturing,Escrow Receivable,13439,-,13213,1087,13439,-%,0,0,0
"Octagon Investment Partners XV, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),26901,-,24802,1087,25998,0,0.7%,0,0
"Octagon Investment Partners XV, Ltd.(22)",Cayman Islands / Diversified Financial Services,Income Notes (Residual Interest),26901,24802,24802,25998,25998,0.7%,0,0,0
"Onyx Payments, Inc.  (f/k/a Pegasus Business Intelligence, LP)",Texas / Diversified Financial Services,"Revolving Line of Credit – $2,500 Commitment (9.00% (LIBOR + 7.75% with 1.25% LIBOR floor), due 4/18/2014)(4)(25)",-,24802,-,25998,-,0,-%,0,0
"Senior Secured Term Loan B (13.75% (LIBOR + 12.50% with 1.25% LIBOR floor), due 4/18/2018)(4)",15938,"Revolving Line of Credit – $2,500 Commitment (9.00% (LIBOR + 7.75% with 1.25% LIBOR floor), due 4/18/2014)(4)(25)",15938,31266,15938,31266,0.5%,0.9%,0,0,0
"Pelican Products, Inc.(16)",California / Durable Consumer Products,"Second Lien Term Loan (11.50% (LIBOR + 10.00% with 1.50% LIBOR floor), due 6/14/2019)(3)(4)",15000,31266,14753,31266,15000,0,0.4%,0,0
"Pelican Products, Inc.(16)",California / Durable Consumer Products,"Second Lien Term Loan (11.50% (LIBOR + 10.00% with 1.50% LIBOR floor), due 6/14/2019)(3)(4)",15000,14753,14753,15000,15000,0.4%,0,0,0
Photonis Technologies SAS(16)(22),France / Aerospace & Defense,"First Lien Term Loan (8.50% (LIBOR + 7.50% with 1.00% LIBOR floor), due 9/18/2019)(4)",10500,14753,10210,15000,10195,0,0.3%,0,0
Photonis Technologies SAS(16)(22),France / Aerospace & Defense,"First Lien Term Loan (8.50% (LIBOR + 7.50% with 1.00% LIBOR floor), due 9/18/2019)(4)",10500,10210,10210,10195,10195,0.3%,0,0,0
Pinnacle (US) Acquisition Co. Limited(16),Texas / Software & Computer Services,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 8/3/2020)(4)",Principal Value,10000,Fair  Value(2),% of Net Assets,9828,0,0,10000.0,0.3%
Pinnacle (US) Acquisition Co. Limited(16),Texas / Software & Computer Services,"Second Lien Term Loan (10.50% (LIBOR + 9.25% with 1.25% LIBOR floor), due 8/3/2020)(4)",Principal Value,9828,Fair  Value(2),10000,9828,0.3%,0,0,0
"PrimeSport, Inc.","Georgia / Hotels, Restaurants & Leisure","Revolving Line of Credit – $15,000 Commitment (10.00% (LIBOR + 9.50% with 0.50% LIBOR floor), due 6/23/2014)(4)(25)",-,9828,-,10000,-,0,-%,0,0
"Senior Secured Term Loan B (11.50% (LIBOR + 10.50% with 1.00% LIBOR floor) plus 1.00% PIK, due 12/23/2019)(3)(4)",43700,"Revolving Line of Credit – $15,000 Commitment (10.00% (LIBOR + 9.50% with 0.50% LIBOR floor), due 6/23/2014)(4)(25)",43700,87182,43700,87182,1.2%,2.4%,0,0,0
Prince Mineral  Holding Corp.,New York / Metal Services & Minerals,"Senior Secured Term Loan (11.50%, due 12/15/2019)",10000,87182,9898,87182,10000,0,0.3%,0,0
Prince Mineral  Holding Corp.,New York / Metal Services & Minerals,"Senior Secured Term Loan (11.50%, due 12/15/2019)",10000,9898,9898,10000,10000,0.3%,0,0,0
"Progrexion  Holdings, Inc.(28)",Utah / Consumer Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 9/14/2017)(3)(4)",437882,9898,437882,10000,437882,0,12.3%,0,0
"Progrexion  Holdings, Inc.(28)",Utah / Consumer Services,"Senior Secured Term Loan (10.50% (LIBOR + 8.50% with 2.00% LIBOR floor), due 9/14/2017)(3)(4)",437882,437882,437882,437882,437882,12.3%,0,0,0
"Rocket Software, Inc.(16)",Massachusetts / Software & Computer Services,"Second Lien Term Loan (10.25% (LIBOR + 8.75% with 1.50% LIBOR floor), due 2/8/2019)(3)(4)",20000,437882,19748,437882,20000,0,0.6%,0,0
"Rocket Software, Inc.(16)",Massachusetts / Software & Computer Services,"Second Lien Term Loan (10.25% (LIBOR + 8.75% with 1.50% LIBOR floor), due 2/8/2019)(3)(4)",20000,19748,19748,20000,20000,0.6%,0,0,0
"Royal Adhesives & Sealants, LLC",Indiana / Chemicals,"Second Lien Term Loan (9.75% (LIBOR + 8.50% with 1.25% LIBOR floor), due 1/31/2019)(4)",20000,19748,19633,20000,18765,0,0.5%,0,0
"Royal Adhesives & Sealants, LLC",Indiana / Chemicals,"Second Lien Term Loan (9.75% (LIBOR + 8.50% with 1.25% LIBOR floor), due 1/31/2019)(4)",20000,19633,19633,18765,18765,0.5%,0,0,0
"Ryan, LLC",Texas / Business Services,"Subordinated Unsecured Notes (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor) plus 3.00% PIK, due 6/30/2018)(4)",70000,19633,70000,18765,70000,0,2.0%,0,0
"Ryan, LLC",Texas / Business Services,"Subordinated Unsecured Notes (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor) plus 3.00% PIK, due 6/30/2018)(4)",70000,70000,70000,70000,70000,2.0%,0,0,0
"Sandow Media, LLC",Florida / Media,"Senior Secured Term Loan (12.00%, due 5/8/2018)(3)",25143,70000,25143,70000,22947,0,0.6%,0,0
"Sandow Media, LLC",Florida / Media,"Senior Secured Term Loan (12.00%, due 5/8/2018)(3)",25143,25143,25143,22947,22947,0.6%,0,0,0
SESAC Holdco  II LLC(16),Tennessee / Media,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 7/12/2019)(3)(4)",6000,25143,5922,22947,6120,0,0.2%,0,0
SESAC Holdco  II LLC(16),Tennessee / Media,"Second Lien Term Loan (10.00% (LIBOR + 8.75% with 1.25% LIBOR floor), due 7/12/2019)(3)(4)",6000,5922,5922,6120,6120,0.2%,0,0,0
Skillsoft Public Limited Company(22),Ireland / Software & Computer Services,"Senior Unsecured Notes (11.125%, due 6/1/2018)",15000,5922,14935,6120,15000,0,0.4%,0,0
Skillsoft Public Limited Company(22),Ireland / Software & Computer Services,"Senior Unsecured Notes (11.125%, due 6/1/2018)",15000,14935,14935,15000,15000,0.4%,0,0,0
Small Business Whole Loan Portfolio(43),New York / Diversified Financial Services,"97 small business loans issued by OnDeck Capital, Inc.",2984,14935,3404,15000,3300,0,0.1%,0,0
Small Business Whole Loan Portfolio(43),New York / Diversified Financial Services,"97 small business loans issued by OnDeck Capital, Inc.",2984,3404,3404,3300,3300,0.1%,0,0,0
Snacks Parent Corporation,Minnesota / Food Products,"Series A Preferred Stock (4,021.45 shares)",2984,56,3404,56,3300,-%,0,0,0
"Warrant (to purchase 31,196.52 shares of Common Stock, expires 11/12/2020)",Minnesota / Food Products,479,2984,591,3404,596,3300,-%,0,0,0
"Spartan Energy Services, Inc.",Louisiana / Energy,"Senior Secured Term Loan (10.50% (LIBOR + 9.00% with 1.50% LIBOR floor), due 12/28/2017)(3)(4)",35994,591,35994,596,35994,0,1.0%,0,0
"Spartan Energy Services, Inc.",Louisiana / Energy,"Senior Secured Term Loan (10.50% (LIBOR + 9.00% with 1.50% LIBOR floor), due 12/28/2017)(3)(4)",35994,35994,35994,35994,35994,1.0%,0,0,0
Speedy Group Holdings Corp.(22),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)",Principal Value,15000,Fair  Value(2),% of Net Assets,15000,0,0,15000.0,0.4%
Speedy Group Holdings Corp.(22),Canada / Consumer Finance,"Senior Unsecured Notes (12.00%, due 11/15/2017)",Principal Value,15000,Fair  Value(2),15000,15000,0.4%,0,0,0
"Sport Helmets Holdings, LLC(14)",New York / Personal & Nondurable Consumer Products,Escrow Receivable,Principal Value,-,Fair  Value(2),128,15000,-%,0,0,0
"Sport Helmets Holdings, LLC(14)",New York / Personal & Nondurable Consumer Products,Escrow Receivable,Principal Value,-,Fair  Value(2),128,15000,-%,0,0,0
"Stauber Performance Ingredients, Inc.",California / Food Products,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 1/21/2016)(3)(4)",13130,-,13130,128,13130,0,0.4%,0,0
"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 5/21/2017)(3)(4)",10041,"Senior Secured Term Loan (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 1/21/2016)(3)(4)",10041,23171,10041,23171,0.3%,0.7%,0,0,0
"Stryker Energy, LLC",Ohio / Oil & Gas Production,"Subordinated Secured Revolving Credit Facility – $50,300 Commitment (12.25% (LIBOR + 10.75% with 1.50% LIBOR floor) plus 3.75% PIK, in non-accrual status effective 12/1/2011, due 12/1/2015)(4)(25)",35742,23171,32711,23171,-,0,-%,0,0
Overriding Royalty Interest(18),Ohio / Oil & Gas Production,-,35742,32711,32711,-,-,-%,0,0,0
Sudbury Mill  CLO Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),28200,32711,26544,-,26081,0,0.7%,0,0
Sudbury Mill  CLO Ltd.(22),Cayman Islands / Diversified Financial Services,Subordinated Notes (Residual Interest),28200,26544,26544,26081,26081,0.7%,0,0,0
Symphony CLO  IX Ltd.(22),Cayman Islands / Diversified Financial Services,Preference Shares (Residual Interest),45500,26544,38735,26081,44330,0,1.2%,0,0
Symphony CLO  IX Ltd.(22),Cayman Islands / Diversified Financial Services,Preference Shares (Residual Interest),45500,38735,38735,44330,44330,1.2%,0,0,0
"System One  Holdings, LLC",Pennsylvania / Business Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 12/31/2018)(3)(4)",48000,38735,48000,44330,48000,0,1.3%,0,0
"System One  Holdings, LLC",Pennsylvania / Business Services,"Senior Secured Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor), due 12/31/2018)(3)(4)",48000,48000,48000,48000,48000,1.3%,0,0,0
"Targus Group International, Inc.(16)",California / Durable Consumer Products,"First Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor) plus 1.0% PIK, due 5/24/2016)(3)(4)",22142,48000,21903,48000,20679,0,0.6%,0,0
"Targus Group International, Inc.(16)",California / Durable Consumer Products,"First Lien Term Loan (11.00% (LIBOR + 9.50% with 1.50% LIBOR floor) plus 1.0% PIK, due 5/24/2016)(3)(4)",22142,21903,21903,20679,20679,0.6%,0,0,0
TB Corp.,"Texas / Hotels, Restaurants & Leisure","Senior Subordinated Note (12.00% plus 1.50% PIK, due 12/19/2018)(3)",23628,21903,23628,20679,23628,0,0.7%,0,0
TB Corp.,"Texas / Hotels, Restaurants & Leisure","Senior Subordinated Note (12.00% plus 1.50% PIK, due 12/19/2018)(3)",23628,23628,23628,23628,23628,0.7%,0,0,0
"Tectum  Holdings, Inc.(16)",Michigan / Automobile,"Second Lien Term Loan (10.25% (PRIME + 7.00%), due 3/12/2019)(4)",10000,23628,9950,23628,9950,0,0.3%,0,0
"Tectum  Holdings, Inc.(16)",Michigan / Automobile,"Second Lien Term Loan (10.25% (PRIME + 7.00%), due 3/12/2019)(4)",10000,9950,9950,9950,9950,0.3%,0,0,0
"Therakos, Inc.(16)",New Jersey / Healthcare,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor), due 6/27/2018)(4)",13000,9950,12751,9950,13000,0,0.4%,0,0
"Therakos, Inc.(16)",New Jersey / Healthcare,"Second Lien Term Loan (11.25% (LIBOR + 10.00% with 1.25% LIBOR floor), due 6/27/2018)(4)",13000,12751,12751,13000,13000,0.4%,0,0,0
"Tolt Solutions, Inc.",South Carolina / Business Services,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 3/7/2019)(4)",39000,12751,39000,13000,39000,0,1.1%,0,0
"Senior Secured Term Loan B (12.00% (LIBOR + 11.00% with 1.00% LIBOR floor), due 3/7/2019)(4)",39000,"Senior Secured Term Loan A (7.00% (LIBOR + 6.00% with 1.00% LIBOR floor), due 3/7/2019)(4)",39000,78000,39000,78000,1.1%,2.2%,0,0,0
Totes Isotoner Corporation(16),Ohio / Personal & Nondurable Consumer Products,"Second Lien Term Loan (10.75% (LIBOR + 9.25% with 1.50% LIBOR floor), due 1/8/2018)(3)(4)",53000,78000,52844,78000,54060,0,1.5%,0,0
Totes Isotoner Corporation(16),Ohio / Personal & Nondurable Consumer Products,"Second Lien Term Loan (10.75% (LIBOR + 9.25% with 1.50% LIBOR floor), due 1/8/2018)(3)(4)",53000,52844,52844,54060,54060,1.5%,0,0,0
Traeger Pellet Grills LLC,Oregon / Durable Consumer Products,"Senior Secured Term Loan A (6.50% (LIBOR + 4.50% with 2.00% LIBOR floor), due 6/18/2018)(3)(4)",Principal Value,29550,Fair  Value(2),% of Net Assets,29550,0,0,29550.0,0.8%
"Senior Secured Term Loan B (11.50% (LIBOR + 9.50% with 2.00% LIBOR floor), due 6/18/2018)(3)(4)",29850,"Senior Secured Term Loan A (6.50% (LIBOR + 4.50% with 2.00% LIBOR floor), due 6/18/2018)(3)(4)",29850,59400,29850,59400,0.9%,1.7%,0,0,0
"Transaction Network Services, Inc.(16)",Virginia / Telecommunication Services,"Second Lien Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 8/14/2020)(4)",5000,59400,4975,59400,5000,0,0.1%,0,0
"Transaction Network Services, Inc.(16)",Virginia / Telecommunication Services,"Second Lien Term Loan (9.00% (LIBOR + 8.00% with 1.00% LIBOR floor), due 8/14/2020)(4)",5000,4975,4975,5000,5000,0.1%,0,0,0
"TriMark USA, LLC(16)","Massachusetts / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 8/11/2019)(4)",10000,4975,9804,5000,9804,0,0.3%,0,0
"TriMark USA, LLC(16)","Massachusetts / Hotels, Restaurants & Leisure","Second Lien Term Loan (10.00% (LIBOR + 9.00% with 1.00% LIBOR floor), due 8/11/2019)(4)",10000,9804,9804,9804,9804,0.3%,0,0,0
"United Sporting Companies, Inc.(5)",South Carolina / Durable Consumer Products,"Second Lien Term Loan (12.75% (LIBOR + 11.00% with 1.75% LIBOR floor), due 5/16/2018)(3)(4)",160000,9804,160000,9804,160000,0,4.5%,0,0
"United Sporting Companies, Inc.(5)",South Carolina / Durable Consumer Products,"Second Lien Term Loan (12.75% (LIBOR + 11.00% with 1.75% LIBOR floor), due 5/16/2018)(3)(4)",160000,160000,160000,160000,160000,4.5%,0,0,0
"United States Environmental Services, LLC",Texas / Commercial Services,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 3/31/2019)(4)",24000,160000,24000,160000,24000,0,0.7%,0,0
"Senior Secured Term Loan B (11.50% (LIBOR + 10.50% with 1.00% LIBOR floor), due 3/31/2019)(4)",36000,"Senior Secured Term Loan A (6.50% (LIBOR + 5.50% with 1.00% LIBOR floor), due 3/31/2019)(4)",36000,60000,36000,60000,1.0%,1.7%,0,0,0
Venio LLC (f/k/a LM Keane Acquisition Co.),Pennsylvania / Business Services,"Second Lien Term Loan (12.00% (LIBOR + 9.50% with 2.50% LIBOR floor), due 2/19/2020)(4)",17000,60000,17000,60000,17000,0,0.5%,0,0
Venio LLC (f/k/a LM Keane Acquisition Co.),Pennsylvania / Business Services,"Second Lien Term Loan (12.00% (LIBOR + 9.50% with 2.50% LIBOR floor), due 2/19/2020)(4)",17000,17000,17000,17000,17000,0.5%,0,0,0
"Water Pik, Inc.(16)",Colorado / Personal & Nondurable Consumer Products,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 1/8/2021)(4)",11000,17000,10594,17000,10594,0,0.3%,0,0
"Water Pik, Inc.(16)",Colorado / Personal & Nondurable Consumer Products,"Second Lien Term Loan (9.75% (LIBOR + 8.75% with 1.00% LIBOR floor), due 1/8/2021)(4)",11000,10594,10594,10594,10594,0.3%,0,0,0
Wind River Resources Corporation(39),Utah / Oil & Gas Production,"Senior Secured Note (13.00% (LIBOR + 7.50% with 5.50% LIBOR floor) plus 3.00% default interest on principal and 16.00% default interest on past due interest, in non-accrual status effective 12/1/2008, past due)(4)",15000,10594,14650,10594,-,0,-%,0,0
Net Profits Interest (5% of Equity Distributions)(7),Utah / Oil & Gas Production,-,15000,14650,14650,-,-,-%,0,0,0
AMU Holdings Inc.(27),Pennsylvania / Property Management,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",Principal Value,28750,Fair  Value(2),% of Net Assets,28750,0,0,28750.0,1.1%
Common Stock (100 shares),12500,"Senior Secured Term Loan (12.00% (LIBOR + 9.00% with 3.00% LIBOR floor), due 6/30/2015)(3)(4)",-,28750,51170,% of Net Assets,54648,0,2.1%,0,0
"APH Property  Holdings, LLC(32)",Georgia /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)(4)",125892,28750,125892,% of Net Assets,125892,0,4.8%,0,0
Membership Interest,Georgia /  Real Estate,"Senior Term Loan (6.00% (LIBOR + 4.00% with 2.00% LIBOR floor) plus 5.50% PIK, due 10/24/2020)(4)",26648,28750,152540,% of Net Assets,152540,0,5.8%,0,0
ARRM Holdings Inc.,South Carolina / Manufacturing,"Senior Secured Note - Tranche A (10.50% (LIBOR + 7.50% with 3.00% LIBOR floor), due 3/30/2018)(3)(4)",19737,28750,19737,% of Net Assets,19737,0,0.7%,0,0
