,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
214,"Memorial MRI & Diagnostic, LLC",Texas / Health Care Providers & Services,"Senior Secured Term Loan (10.19% (LIBOR + 8.50% with 1.00% LIBOR floor), due 3/16/2022)(10)(11)",37430,,37430,,37430,,1.1%,,,,,,,
215,,,,,37430,,37430,,1.1%,,,,,,,,
216,Mountain View CLO 2013-I Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 16.23%, due 10/12/2030)(5)(14)",43650,,27017,,23861,,0.8%,,,,,,,
217,,,,,27017,,23861,,0.8%,,,,,,,,
218,Mountain View CLO IX Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.45%, due 7/15/2027)(5)(6)(14)",47830,,40544,,38507,,1.2%,,,,,,,
219,,,,,40544,,38507,,1.2%,,,,,,,,
220,National Home Healthcare Corp.,Michigan / Health Care Providers & Services,"Second Lien Term Loan (10.43% (LIBOR + 9.00% with 1.00% LIBOR floor), due 12/8/2022)(3)(8)(10)(13)",15407,,15219,,15407,,0.5%,,,,,,,
221,,,,,15219,,15407,,0.5%,,,,,,,,
222,"Octagon Investment Partners XV, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 15.04%, due 7/19/2030)(5)(14)",42064,,31150,,26517,,0.8%,,,,,,,
223,,,,,31150,,26517,,0.8%,,,,,,,,
224,"Octagon Investment Partners XVIII, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 8.98%, due 12/16/2024)(5)(6)(14)",28200,,17439,,15398,,0.5%,,,,,,,
225,,,,,17439,,15398,,0.5%,,,,,,,,
226,Pacific World Corporation,California / Personal Products,"Revolving Line of Credit – $21,000 Commitment (8.74% (LIBOR + 7.25% with 1.00% LIBOR floor), due 9/26/2020)(10)(13)(15)",19225,,19225,,19225,,0.6%,,,,,,,
227,"Senior Secured Term Loan A (6.74% (LIBOR + 5.25% with 1.00% LIBOR floor), due 9/26/2020)(3)(10)(13)",96750,,96750,,94957,,2.9%,,,,,,,,,
228,"Senior Secured Term Loan B (10.74% (LIBOR + 9.25% with 1.00% LIBOR floor), due 9/26/2020)(3)(10)(13)",96750,,96750,,68954,,2.1%,,,,,,,,,
229,"Common Stock (6,778,414 units)(16)",-,,-,,-,,0.1%,,,,,,,,,
230,,,,,212725,,183136,,5.6%,,,,,,,,
231,"Pelican Products, Inc.",California / Chemicals,"Second Lien Term Loan (9.94% (LIBOR + 8.25% with 1.00% LIBOR floor), due 4/9/2021)(3)(8)(10)(11)",17500,,17491,,17077,,0.5%,,,,,,,
232,,,,,17491,,17077,,0.5%,,,,,,,,
233,"PeopleConnect Intermediate, LLC (f/k/a Intelius, Inc.)",Washington / Internet Software & Services,"Revolving Line of Credit – $1,000 Commitment (11.10% (LIBOR + 9.50% with 1.00% LIBOR floor), due 8/11/2018)(10)(11)(15)",500,,500,,500,,-%,,,,,,,
234,"Senior Secured Term Loan A (7.84% (LIBOR + 6.50% with 1.00% LIBOR floor), due 7/1/2021)(3)(10)(11)",19248,,19248,,19248,,0.7%,,,,,,,,,
235,"Senior Secured Term Loan B (13.84% (LIBOR + 12.50% with 1.00% LIBOR floor), due 7/1/2021)(3)(10)(11)",20373,,20373,,20373,,0.7%,,,,,,,,,
236,,,,,40121,,40121,,1.4%,,,,,,,,
237,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
238,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
239,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
240,"PGX Holdings, Inc.(40)",Utah / Diversified Consumer Services,"Second Lien Term Loan (10.57% (LIBOR + 9.00% with 1.00% LIBOR floor), due 9/29/2021)(10)(13)",,134668,,,134668,,,134668.0,,4.0%,,,,
241,,,,,134668,,134668,,4.0%,,,,,,,,
242,PharMerica Corporation,Kentucky / Pharmaceuticals,"Second Lien Term Loan (9.25% (LIBOR + 7.75% with 1.00% LIBOR floor), due 12/07/2024)(8)(10)(13)",12000,,11880,,12000,,0.4%,,,,,,,
243,,,,,11880,,12000,,0.4%,,,,,,,,
244,Photonis Technologies SAS,"France / Electronic Equipment, Instruments & Components","First Lien Term Loan (9.19% (LIBOR + 7.50% with 1.00% LIBOR floor), due 9/18/2019)(8)(10)(11)(14)",12872,,12325,,11283,,0.3%,,,,,,,
245,,,,,12325,,11283,,0.3%,,,,,,,,
246,"PlayPower, Inc.",North Carolina / Leisure Products,"Second Lien Term Loan (10.44% (LIBOR + 8.75% with 1.00% LIBOR floor), due 6/23/2022)(3)(8)(10)(11)",11000,,10892,,11000,,0.3%,,,,,,,
247,,,,,10892,,11000,,0.3%,,,,,,,,
248,Prince Mineral Holding Corp.,New York / Metals & Mining,"Senior Secured Term Loan (11.50%, due 12/15/2019)(8)",10000,,9963,,10000,,0.3%,,,,,,,
249,,,,,9963,,10000,,0.3%,,,,,,,,
250,"RGIS Services, LLC",Michigan / Commercial Services & Supplies,"Senior Secured Term Loan (9.07% (LIBOR + 7.50% with 1.00% LIBOR floor), due 3/31/2023)(3)(8)(10)(11)",30806,,30162,,29133,,1.0%,,,,,,,
251,,,,,30162,,29133,,1.0%,,,,,,,,
252,RME Group Holding Company,Florida / Media,"Senior Secured Term Loan A (7.69% (LIBOR + 6.00% with 1.00% LIBOR floor), due 5/4/2022)(3)(10)(13)",37125,,37125,,37125,,1.2%,,,,,,,
253,"Senior Secured Term Loan B (12.69% (LIBOR + 11.00% with 1.00% LIBOR floor), due 5/4/2022)(3)(10)(11)",24875,,24875,,24875,,0.8%,,,,,,,,,
254,,,,,62000,,62000,,2.0%,,,,,,,,
255,"Rocket Software, Inc.",Massachusetts / Software,"Second Lien Term Loan (11.13% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/14/2024)(3)(8)(10)(11)",50000,,49157,,50000,,1.6%,,,,,,,
256,,,,,49157,,50000,,1.6%,,,,,,,,
257,"SCS Merger Sub, Inc.",Texas / IT Services,"Second Lien Term Loan (11.07% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/30/2023)(3)(8)(10)(13)",20000,,19568,,20000,,0.6%,,,,,,,
258,,,,,19568,,20000,,0.6%,,,,,,,,
259,"Securus Technologies Holdings, Inc.",Texas / Communications Equipment,"Second Lien Term Loan (9.87% (LIBOR + 8.25% with 1.00% LIBOR floor), due 11/01/2025)(8)(10)(11)",40000,,39851,,39851,,1.2%,,,,,,,
260,,,,,39851,,39851,,1.2%,,,,,,,,
261,SESAC Holdco II LLC,Tennessee / Media,"Second Lien Term Loan (8.73% (LIBOR + 7.25% with 1.00% LIBOR floor), due 2/23/2025)(8)(10)(13)",3000,,2973,,2973,,0.1%,,,,,,,
262,,,,,2973,,2973,,0.1%,,,,,,,,
263,Small Business Whole Loan Portfolio(41),New York / Online Lending,"124 Small Business Loans purchased from On Deck Capital, Inc.",1484,,1484,,1365,,-%,,,,,,,
264,,,,,1484,,1365,,-%,,,,,,,,
265,"Spartan Energy Services, Inc.",Louisiana / Energy Equipment & Services,"Senior Secured Term Loan A (7.35% (LIBOR + 6.00% with 1.00% LIBOR floor), due 12/28/2018)(10)(13)",13156,,11952,,12335,,0.4%,,,,,,,
266,"Senior Secured Term Loan B (13.35% PIK (LIBOR + 12.00% with 1.00% LIBOR floor), due 12/28/2018)(3)(10)(13)",17028,,14510,,15970,,0.5%,,,,,,,,,
267,,,,,26462,,28305,,0.9%,,,,,,,,
268,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
269,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
270,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
271,Strategic Materials,Texas / Household Durables,Second Lien Term Loan (9.13% (LIBOR + 7.75% with 1.00% LIBOR floor)(11),,7000,,,6931,,,6931.0,,0.2%,,,,
272,,,,,,6931,,6931,,0.2%,,,,,,,
273,Sudbury Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 8.18%, due 1/17/2026)(5)(14)",28200,,18803,,15077,,0.5%,,,,,,,
274,,,,,18803,,15077,,0.5%,,,,,,,,
275,Symphony CLO XIV Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 6.82%, due 7/14/2026)(5)(6)(14)",49250,,35344,,30162,,0.9%,,,,,,,
276,,,,,35344,,30162,,0.9%,,,,,,,,
277,"Symphony CLO XV, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 10.51%, due 10/17/2026)(5)(14)",50250,,40328,,34887,,1.0%,,,,,,,
278,,,,,40328,,34887,,1.0%,,,,,,,,
279,"TouchTunes Interactive Networks, Inc.",New York / Internet Software & Services,"Second Lien Term Loan (9.62% (LIBOR + 8.25% with 1.00% LIBOR floor), due 5/29/2022)(3)(8)(10)(11)",14000,,13916,,14000,,0.4%,,,,,,,
280,,,,,13916,,14000,,0.4%,,,,,,,,
281,"Transplace Holdings, Inc.",Texas / Transportation Infrastructure,"Second Lien Term Loan (10.13% (LIBOR + 8.75% with 1.00% LIBOR floor), due 10/6/2025)(8)(10)(13)",27500,,26830,,26830,,0.8%,,,,,,,
282,,,,,26830,,26830,,0.8%,,,,,,,,
283,TGP HOLDINGS III LLC,Oregon / Household Durables,"Second Lien Term Loan (10.19% (LIBOR + 8.50% with 1.00% LIBOR floor), due 9/25/2025)(8)(10)(11)",3000,,2956,,3000,,0.1%,,,,,,,
284,,,,,2956,,3000,,0.1%,,,,,,,,
285,"Turning Point Brands, Inc.(42)",Kentucky / Tobacco,"Second Lien Term Loan (11.00%, due 8/17/2022)(3)(8)",14500,,,14380,,,14500,,0.4%,,,,,
286,,,,,14380,,14500,,0.4%,,,,,,,,
287,"United Sporting Companies, Inc.(18)",South Carolina / Distributors,"Second Lien Term Loan (12.75% (LIBOR + 11.00% with 1.75% LIBOR floor) plus 2.00% PIK, in non-accrual status effective 4/1/2017, due 11/16/2019)(10)(13)",142994,,131699,,46914,,1.4%,,,,,,,
288,"Common Stock (24,967 shares)(16)",,-,,-,,-%,,,,,,,,,,
289,,,,,131699,,46914,,1.4%,,,,,,,,
290,"Universal Fiber Systems, LLC","Virginia / Textiles, Apparel & Luxury Goods","Second Lien Term Loan (10.93% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/02/2022)(3)(8)(10)(13)",37000,,36499,,37000,,1.1%,,,,,,,
291,,,,,36499,,37000,,1.1%,,,,,,,,
292,"Universal Turbine Parts, LLC",Alabama / Trading Companies & Distributors,"Senior Secured Term Loan A (6.99% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(3)(10)(13)",31688,,31688,,28648,,0.9%,,,,,,,
293,"Senior Secured Term Loan B (12.99% (LIBOR + 11.75% with 1.00% LIBOR floor), due 7/22/2021)(3)(10)(13)",32500,,32500,,27321,,0.9%,,,,,,,,,
294,,,,,64188,,55969,,1.8%,,,,,,,,
295,"USG Intermediate, LLC",Texas / Leisure Products,"Revolving Line of Credit – $2,500 Commitment (10.82% (LIBOR + 9.25% with 1.00% LIBOR floor), due 8/24/2018)(3)(10)(13)(15)",2500,,2500,,2500,,0.1%,,,,,,,
296,"Senior Secured Term Loan A (8.32% (LIBOR + 6.75% with 1.00% LIBOR floor), due 8/24/2022)(3)(10)(13)",14233,,14233,,14233,,0.4%,,,,,,,,,
297,"Senior Secured Term Loan B (13.32% (LIBOR + 11.75% with 1.00% LIBOR floor), due 8/24/2022)(3)(10)(13)",21591,,21591,,21591,,0.6%,,,,,,,,,
298,Equity(16),,1,,-,,-%,,,,,,,,,,
299,,,,,38325,,38324,,1.1%,,,,,,,,
300,Portfolio Company,Locale / Industry,Investments(1)(44)(45),Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,
301,LEVEL 3 PORTFOLIO INVESTMENTS,,,,,,,,,,,,,,,,
302,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,
303,"UTZ Quality Foods, LLC",Pennsylvania / Food Products,"Second Lien Term Loan (8.76% (LIBOR + 7.25% with 1.00% LIBOR floor, due 11/21/2025)(8)(10)(13)",,10000,,,9876,,,9876.0,,0.3%,,,,
304,,,,,9876,,9876,,0.3%,,,,,,,,
305,"VC GB Holdings, Inc.",Illinois / Household Durables,"Subordinated Secured Term Loan (9.57% (LIBOR + 8.00% with 1.00% LIBOR floor), due 2/28/2025)(3)(8)(10)(13)",18667,,18397,,18667,,0.6%,,,,,,,
306,,,,,18397,,18667,,0.6%,,,,,,,,
307,Venio LLC,Pennsylvania / Professional Services,"Second Lien Term Loan (4.00% plus PIK 10.00% (LIBOR + 7.50% with 2.50% LIBOR floor), due 2/19/2020)(10)(11)(46)",20976,,16287,,17076,,0.5%,,,,,,,
308,,,,,16287,,17076,,0.5%,,,,,,,,
309,"Voya CLO 2012-2, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 0.00%, due 10/15/2022)(5)(14)(17)",38070,,1067,,1270,,-%,,,,,,,
310,,,,,1067,,1270,,-%,,,,,,,,
311,"Voya CLO 2012-3, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 0.00%, due 10/15/2022)(5)(14)(17)",46632,,440,,1288,,-%,,,,,,,
312,,,,,440,,1288,,-%,,,,,,,,
313,"Voya CLO 2012-4, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 12.30%, due 10/15/2028)(5)(14)",40613,,30813,,28802,,0.9%,,,,,,,
314,,,,,30813,,28802,,0.9%,,,,,,,,
315,"Voya CLO 2014-1, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.16%, due 4/18/2026)(5)(6)(14)",32383,,23910,,22775,,0.7%,,,,,,,
316,,,,,23910,,22775,,0.7%,,,,,,,,
317,"Voya CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.62%, due 10/18/2027)(5)(6)(14)",28100,,27091,,22321,,0.8%,,,,,,,
318,,,,,27091,,22321,,0.8%,,,,,,,,
319,"Voya CLO 2017-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.01%, due 7/20/2030)(5)(6)(14)",44885,,47996,,43114,,1.3%,,,,,,,
320,,,,,47996,,43114,,1.3%,,,,,,,,
321,Washington Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 1.82%, due 4/20/2026)(5)(6)(14)",22600,,15716,,11673,,0.3%,,,,,,,
322,,,,,15716,,11673,,0.3%,,,,,,,,
323,"Wheel Pros, LLC",Colorado / Auto Components,"Senior Subordinated Secured Note (11.00% (LIBOR + 7.00% with 4.00% LIBOR floor), due 6/29/2020)(3)(10)(11)",15300,,15300,,15300,,0.5%,,,,,,,
324,"Senior Subordinated Secured Note (11.00% (LIBOR + 7.00% with 4.00% LIBOR floor), due 6/29/2020)(3)(10)(11)",5460,,5460,,5460,,0.2%,,,,,,,,,
325,,,,,20760,,20760,,0.7%,,,,,,,,
326,"Wink Holdco, Inc.",Texas / Insurance,"Second Lien Term Loan (8.24% (LIBOR + 6.75% with 1% LIBOR floor), due 12/1/2025)(8)(10)(11)",3000,,2985,,2985,,0.1%,,,,,,,
327,,,,,2985,,2985,,0.1%,,,,,,,,
328,Total Non-Control/Non-Affiliate Investments (Level 3),,,3643003,,,3389938,,101.2%,,,,,,,,
329,Total Portfolio Investments (Level 3),,,5562438,,,5421132,,161.9%,,,,,,,,
330,Transportation Infrastructure,26830,,26830.0,,0.8,%,,-,,-,,-,%,,,
331,Subtotal,,4495067.0,,,4480856.0,,133.8,%,,,4831550.0,,,4758593.0,141.8,%
332,Structured Finance (B),,1067371.0,,,940276.0,,28.1,%,,,1150006.0,,,1079712.0,32.2,%
333,Total Investments,,5562438.0,,,5421132.0,,161.9,%,,,5981556.0,,,5838305.0,174.0,%
334,CCPI Inc.,-%,7.00%,7.00%,,,,,,,,,,,,,
335,"Cinedigm DC Holdings, LLC",-%,2.50%,2.50%,,,,,,,,,,,,,
336,Credit Central Loan Company,-%,10.00%,10.00%,,,,,,,,,,,,,
337,Echelon Aviation LLC,,,2.25%,(B),,,,,,,,,,,,
338,Echelon Aviation LLC,,,1.00%,(C),,,,,,,,,,,,
339,"Edmentum Ultimate Holdings, LLC - Unsecured Senior PIK Note",8.50%,-%,8.50%,,,,,,,,,,,,,
340,First Tower Finance Company LLC,3.92%,3.08%,7.00%,,,,,,,,,,,,,
341,"MITY, Inc.",-%,10.00%,10.00%,,,,,,,,,,,,,
342,National Property REIT Corp. - Senior Secured Term Loan A,-%,5.50%,5.50%,,,,,,,,,,,,,
343,National Property REIT Corp. - Senior Secured Term Loan E,-%,5.00%,5.00%,,,,,,,,,,,,,
344,"National Property REIT Corp. - Senior Secured Term Loan C to ACL Loan Holdings, Inc.",-%,5.00%,5.00%,,,,,,,,,,,,,
345,National Property REIT Corp. - Senior Secured Term Loan C to American Consumer Lending Limited,-%,5.00%,5.00%,,,,,,,,,,,,,
346,Nationwide Loan Company LLC,-%,10.00%,10.00%,,,,,,,,,,,,,
347,Targus Cayman HoldCo Limited - Senior Secured Term Loan A,15.00%,-%,15.00%,,,,,,,,,,,,,
348,Targus Cayman HoldCo Limited - Senior Secured Term Loan B,15.00%,-%,15.00%,,,,,,,,,,,,,
349,"Valley Electric Co. of Mt. Vernon, Inc.",-%,2.50%,2.50%,,,,,,,,,,,,,
350,"Valley Electric Company, Inc.",8.50%,-%,8.50%,,,,,,,,,,,,,
