0,1,2,3,4,5,6,7,8,9,10,11,12
"United Sporting Companies, Inc.(18)",South Carolina / Distributors,"Second Lien Term Loan (12.75% (LIBOR + 11.00% with 1.75% LIBOR floor) plus 2.00% PIK, in non-accrual status effective 4/1/2017, due 11/16/2019)(3)(10)(13)",142275,14372,136284,14263,65256,0.4%,2.0%,0.0,0,0
"Universal Fiber Systems, LLC","Virginia / Textiles, Apparel & Luxury Goods","Second Lien Term Loan (10.74% (LIBOR + 9.50% with 1.00% LIBOR floor), due 10/02/2022)(3)(8)(10)(13)",37000,136284,36472,65256,37000,2.0%,1.1%,0.0,0,0
"Universal Turbine Parts, LLC",Alabama / Trading Companies & Distributors,"Senior Secured Term Loan A (6.98% (LIBOR + 5.75% with 1.00% LIBOR floor), due 7/22/2021)(3)(10)(13)",32013,36472,32013,37000,30067,1.1%,0.9%,0.0,0,0
"USG Intermediate, LLC",Texas / Leisure Products,"Revolving Line of Credit – $2,500 Commitment (10.49% (LIBOR + 9.25% with 1.00% LIBOR floor), due 8/24/2018)(10)(13)(15)",2500,64513,2500,59991,2500,1.8%,0.1%,0.0,0,0
"VC GB Holdings, Inc.",Illinois / Household Durables,"Subordinated Secured Term Loan (9.24% (LIBOR + 8.00% with 1.00% LIBOR floor), due 2/28/2025)(3)(8)(10)(13)",20000,38543,19721,38542,20000,1.2%,0.6%,0.0,0,0
Venio LLC,Pennsylvania / Professional Services,"Second Lien Term Loan (4.00% plus PIK 10.00% (LIBOR + 7.50% with 2.50% LIBOR floor), in non-accrual status effective 12/31/15, due 2/19/2020)(10)(11)",20442,19721,15897,20000,16248,0.6%,0.5%,0.0,0,0
"Voya CLO 2012-2, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 0.00%, due 10/15/2022)(5)(14)(17)",38070,15897,1122,16248,1637,0.5%,-%,0.0,0,0
"Voya CLO 2012-3, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 0.00%, due 10/15/2022)(5)(14)(17)",46632,1122,531,1637,1720,-%,0.1%,0.0,0,0
"Voya CLO 2012-4, Ltd.",Cayman Islands / Structured Finance,"Income Notes (Residual Interest, current yield 12.96%, due 10/15/2028)(5)(14)",40613,531,30903,1720,29515,0.1%,0.9%,0.0,0,0
"Voya CLO 2014-1, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 13.05%, due 4/18/2026)(5)(6)(14)",32383,30903,24323,29515,24373,0.9%,0.7%,0.0,0,0
"Voya CLO 2016-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 12.80%, due 10/18/2027)(5)(6)(14)",28100,24323,27079,24373,22384,0.7%,0.7%,0.0,0,0
"Voya CLO 2017-3, Ltd.",Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 14.65%, due 7/20/2030)(5)(6)(14)",Principal Value,44885,Fair  Value(2),% of Net Assets,46340,0.7%,0,42581.0,0,1.3%
Washington Mill CLO Ltd.,Cayman Islands / Structured Finance,"Subordinated Notes (Residual Interest, current yield 7.06%, due 4/20/2026)(5)(6)(14)",22600,46340,16344,42581,13619,1.3%,0.4%,0.0,0,0
"Wheel Pros, LLC",Colorado / Auto Components,"Senior Subordinated Secured Note (11.00% (LIBOR + 7.00% with 4.00% LIBOR floor), due 6/29/2020)(3)(10)(11)",15300,16344,15300,13619,15300,0.4%,0.5%,0.0,0,0
