,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
197,Halcyon Loan Advisors Funding 2012-1 Ltd.,Structured Finance,Subordinated Structured Note,8/7/2012,"Residual Interest, current yield 0.00%",-,,8/15/2023,23188,,3726,,-,,-,%,(5)(14)(17),,,,,,,
198,,,,,,,,,,,3726,,-,,-,%,,,,,,,,
199,Halcyon Loan Advisors Funding 2013-1 Ltd.,Structured Finance,Subordinated Structured Note,3/8/2013,"Residual Interest, current yield 0.00%",-,,4/15/2025,40400,,19984,,-,,-,%,(5)(14)(17),,,,,,,
200,,,,,,,,,,,19984,,-,,-,%,,,,,,,,
201,Halcyon Loan Advisors Funding 2014-1 Ltd.,Structured Finance,Subordinated Structured Note,2/7/2014,"Residual Interest, current yield 0.00%",-,,4/20/2026,24500,,11822,,-,,-,%,(5)(14)(17),,,,,,,
202,,,,,,,,,,,11822,,-,,-,%,,,,,,,,
203,Halcyon Loan Advisors Funding 2014-2 Ltd.,Structured Finance,Subordinated Structured Note,4/14/2014,"Residual Interest, current yield 0.00%",-,,4/28/2025,41164,,21322,,-,,-,%,(5)(14)(17),,,,,,,
204,,,,,,,,,,,21322,,-,,-,%,,,,,,,,
205,Halcyon Loan Advisors Funding 2015-3 Ltd.,Structured Finance,Subordinated Structured Note,7/23/2015,"Residual Interest, current yield 0.00%",-,,10/18/2027,39598,,29671,,15189,,0.5,%,(5)(14)(17),,,,,,,
206,,,,,,,,,,,29671,,15189,,0.5,%,,,,,,,,
207,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
208,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
209,"Halyard MD OpCo, LLC",Media,First Lien Term Loan,8/6/2018,10.00% (3ML+ 8.00%),2.00,,8/6/2023,,10265,,,10265,,,10265,,0.3,%,(3)(10),,,,
210,,,,,,,,,,,10265,,10265,,0.3,%,,,,,,,,
211,"HarbourView CLO VII-R, Ltd.",Structured Finance,Subordinated Structured Note,6/5/2015,"Residual Interest, current yield 0.00%",-,,7/18/2031,19025,,12817,,5010,,0.2,%,(5)(14)(17),,,,,,,
212,,,,,,,,,,,12817,,5010,,0.2,%,,,,,,,,
213,"Help/Systems Holdings, Inc.",Software,First Lien Term Loan,11/29/2019,5.75% (3ML+ 4.75%),1.00,,11/19/2026,8458,,8386,,8458,,0.3,%,(3)(8)(10),,,,,,,
214,Second Lien Term Loan,11/22/2019,9.00% (3ML+ 8.00%),1.00,,11/19/2027,17500,,17198,,17198,,0.5,%,(3)(8)(10),,,,,,,,,
215,,,,,,,,,,,25584,,25656,,0.8,%,,,,,,,,
216,"Inpatient Care Management Company, LLC",Health Care Providers & Services,Senior Secured Term Loan,6/8/2016,9.00% (3ML+ 8.00%),1.00,,6/8/2021,14000,,14000,,13973,,0.4,%,(3)(10),,,,,,,
217,,,,,,,,,,,14000,,13973,,0.4,%,,,,,,,,
218,Jefferson Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,6/26/2015,"Residual Interest, current yield 10.39%",-,,10/20/2031,23594,,19760,,12476,,0.4,%,(5)(14),,,,,,,
219,,,,,,,,,,,19760,,12476,,0.4,%,,,,,,,,
220,"K&N Parent, Inc.",Auto Components,First Lien Term Loan,3/3/2020,5.75% (1ML+ 4.75%),1.00,,10/20/2023,1431,,1255,,1382,,-,%,(3)(8)(10),,,,,,,
221,Second Lien Term Loan,10/28/2016,9.75% (1ML+ 8.75%),1.00,,10/21/2024,25887,,25553,,24160,,0.8,%,(3)(8)(10),,,,,,,,,
222,,,,,,,,,,,26808,,25542,,0.8,%,,,,,,,,
223,Keystone Acquisition Corp. (4),Health Care Providers & Services,Second Lien Term Loan,5/18/2017,10.25% (3ML+ 9.25%),1.00,,5/1/2025,50000,,50000,,49692,,1.6,%,(3)(8)(10),,,,,,,
224,,,,,,,,,,,50000,,49692,,1.6,%,,,,,,,,
225,LCM XIV Ltd.,Structured Finance,Subordinated Structured Note,6/25/2013,"Residual Interest, current yield 12.46%",-,,7/21/2031,49934,,28707,,19322,,0.6,%,(5)(14),,,,,,,
226,,,,,,,,,,,28707,,19322,,0.6,%,,,,,,,,
227,"Legility, LLC",Professional Services,First Lien Term Loan,2/28/2020,7.00% (6ML+ 6.00%),1.00,,12/17/2025,19750,,19390,,19750,,0.6,%,(3)(8)(10),,,,,,,
228,,,,,,,,,,,19390,,19750,,0.6,%,,,,,,,,
229,"LGC US FINCO, LLC",Machinery,First Lien Term Loan,1/24/2020,7.50% (1ML+ 6.50%),1.00,,12/20/2025,29550,,28758,,26562,,0.8,%,(3)(8)(10),,,,,,,
230,,,,,,,,,,,28758,,26562,,0.8,%,,,,,,,,
231,"Maverick Healthcare Equity, LLC",Health Care Providers & Services,"Preferred Units (1,250,000 units)",10/31/2007,,-,,,-,,-,,-,,-,%,(16),,,,,,,
232,"Class A Common Units (1,250,000 units)",10/31/2007,,-,,,-,,-,,-,,-,%,(16),,,,,,,,,
233,,,,,,,,,,,-,,-,,-,%,,,,,,,,
234,"Medusind Acquisition, Inc. (19)",Health Care Providers & Services,First Lien Term Loan,9/30/2019,9.00% (3ML+ 8.00%),1.00,,4/8/2024,24324,,24032,,23674,,0.7,%,(3)(10),,,,,,,
235,,,,,,,,,,,24032,,23674,,0.7,%,,,,,,,,
236,Mountain View CLO 2013-I Ltd.,Structured Finance,Subordinated Structured Note,4/17/2013,"Residual Interest, current yield 1.15%",-,,10/15/2030,43650,,28516,,15324,,0.5,%,(5)(14),,,,,,,
237,,,,,,,,,,,28516,,15324,,0.5,%,,,,,,,,
238,Mountain View CLO IX Ltd.,Structured Finance,Subordinated Structured Note,5/13/2015,"Residual Interest, current yield 14.50%",-,,7/15/2031,47830,,29590,,26834,,0.8,%,(5)(14),,,,,,,
239,,,,,,,,,,,29590,,26834,,0.8,%,,,,,,,,
240,"Octagon Investment Partners XV, Ltd.",Structured Finance,Subordinated Structured Note,1/24/2013,"Residual Interest, current yield 11.73%",-,,7/19/2030,42064,,32969,,24504,,0.8,%,(5)(14),,,,,,,
241,,,,,,,,,,,32969,,24504,,0.8,%,,,,,,,,
242,Octagon Investment Partners 18-R Ltd.,Structured Finance,Subordinated Structured Note,8/12/2015,"Residual Interest, current yield 16.00%",-,,4/16/2031,46016,,25925,,18360,,0.6,%,(5)(14),,,,,,,
243,,,,,,,,,,,25925,,18360,,0.6,%,,,,,,,,
244,Pearl Intermediate Parent LLC,Health Care Providers & Services,Second Lien Term Loan,2/28/2018,6.40% (1ML+ 6.25%),-,,2/15/2026,5000,,4983,,4994,,0.2,%,(3)(8)(10),,,,,,,
245,,,,,,,,,,,4983,,4994,,0.2,%,,,,,,,,
246,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
247,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
248,"PeopleConnect Holdings, LLC (11)",Interactive Media & Services,"Revolving Line of Credit - $8,918 Commitment",1/22/2020,10.00% (1ML+ 8.25%),1.75,,1/22/2025,,-,,,-,,,-,,-,%,(10)(15),,,,
249,"Delayed Draw Term Loan - $5,000 Commitment",1/22/2020,10.00% (3ML+ 8.25%),1.75,,1/22/2021,-,,-,,-,,-,%,(10)(15),,,,,,,,,
250,Senior Secured Term Loan,1/22/2020,10.00% (3ML+ 8.25%),1.75,,1/22/2025,195577,,195577,,195577,,6.1,%,(3)(10),,,,,,,,,
251,,,,,,,,,,,195577,,195577,,6.1,%,,,,,,,,
252,"PG Dental Holdings New Jersey, LLC",Health Care Providers & Services,"Delayed Draw Term Loan - $5,000 Commitment",5/31/2019,10.00% (3ML+ 7.25%),2.75,,5/31/2024,2500,,2500,,2500,,0.1,%,(3)(10)(15),,,,,,,
253,Senior Secured Term Loan,5/31/2019,10.00% (3ML+ 7.25%),2.75,,5/31/2024,22185,,22185,,22185,,0.7,%,(3)(10),,,,,,,,,
254,,,,,,,,,,,24685,,24685,,0.8,%,,,,,,,,
255,"PlayPower, Inc.",Leisure Products,First Lien Term Loan,5/16/2019,5.72% (3ML+ 5.50%),-,,5/10/2026,6246,,6194,,5993,,0.2,%,(3)(8)(10),,,,,,,
256,,,,,,,,,,,6194,,5993,,0.2,%,,,,,,,,
257,"Research Now Group, Inc. & Survey Sampling International LLC",Professional Services,First Lien Term Loan,1/5/2018,6.50% (6ML+ 5.50%),1.00,,12/20/2024,9725,,9404,,9619,,0.3,%,(3)(8)(10),,,,,,,
258,Second Lien Term Loan,1/5/2018,10.50% (6ML+ 9.50%),1.00,,12/20/2025,50000,,47727,,49167,,1.5,%,(3)(8)(10),,,,,,,,,
259,,,,,,,,,,,57131,,58786,,1.8,%,,,,,,,,
260,"RGIS Services, LLC",Commercial Services & Supplies,Senior Secured Term Loan,6/25/2020,8.50% (3ML+ 7.50%),1.00,,6/25/2025,8822,,8822,,8822,,0.2,%,(8)(10),,,,,,,
261,Membership Interest (4.34%),6/25/2020,,-,,,-,,10303,,8419,,0.3,%,(16),,,,,,,,,
262,,,,,,,,,,,19125,,17241,,0.5,%,,,,,,,,
263,RME Group Holding Company,Media,Senior Secured Term Loan A,5/4/2017,7.00% (3ML+ 6.00%),1.00,,5/4/2022,27459,,27458,,27153,,0.8,%,(3)(10),,,,,,,
264,Senior Secured Term Loan B,5/4/2017,12.00% (3ML+ 11.00%),1.00,,5/4/2022,22286,,22286,,22032,,0.7,%,(3)(10),,,,,,,,,
265,,,,,,,,,,,49744,,49185,,1.5,%,,,,,,,,
266,"Rocket Software, Inc.",Software,Second Lien Term Loan,12/7/2018,8.51% (3ML+ 8.25%),-,,11/27/2026,50000,,49615,,48730,,1.5,%,(3)(8)(10),,,,,,,
267,,,,,,,,,,,49615,,48730,,1.5,%,,,,,,,,
268,Romark WM-R Ltd.,Structured Finance,Subordinated Structured Note,4/11/2014,"Residual Interest, current yield 10.90%",-,,4/21/2031,27725,,23604,,14940,,0.5,%,(5)(14),,,,,,,
269,,,,,,,,,,,23604,,14940,,0.5,%,,,,,,,,
270,Rosa Mexicano,"Hotels, Restaurants & Leisure",Revolving Line of Credit - $500 Commitment,3/29/2018,6.50% (3ML+ 5.25%) plus 2.25% PIK,1.25,,3/29/2023,510,,510,,465,,-,%,(10)(15)(39),,,,,,,
271,Senior Secured Term Loan,3/29/2018,6.50% (3ML+ 5.25%) plus 2.25% PIK,1.25,,3/29/2023,23324,,23324,,21256,,0.7,%,(10)(39),,,,,,,,,
272,,,,,,,,,,,23834,,21721,,0.7,%,,,,,,,,
273,"Securus Technologies Holdings, Inc.",Communications Equipment,First Lien Term Loan,9/3/2019,5.50% (6ML+ 4.50%),1.00,,11/1/2024,9898,,9142,,9007,,0.3,%,(8)(10),,,,,,,
274,Second Lien Term Loan,11/3/2017,9.25% (6ML+ 8.25%),1.00,,11/1/2025,50662,,50539,,45184,,1.4,%,(3)(8)(10),,,,,,,,,
275,,,,,,,,,,,59681,,54191,,1.7,%,,,,,,,,
276,"SEOTownCenter, Inc.",IT Services,Senior Secured Term Loan A,4/10/2018,7.73% (3ML+ 7.50%),-,,4/7/2023,24644,,24643,,24644,,0.8,%,(3)(10)(39),,,,,,,
277,Senior Secured Term Loan B,4/10/2018,12.73% (3ML+ 12.50%),-,,4/7/2023,19119,,19119,,19119,,0.6,%,(3)(10)(39),,,,,,,,,
278,,,,,,,,,,,43762,,43763,,1.4,%,,,,,,,,
279,"Shearer’s Foods, LLC",Food Products,Second Lien Term Loan,9/28/2020,8.75% (3ML+ 7.75%),1.00,,9/23/2028,5000,,4900,,4938,,0.2,%,(8)(10),,,,,,,
280,,,,,,,,,,,4900,,4938,,0.2,%,,,,,,,,
281,"Shutterfly, Inc.",Internet & Direct Marketing Retail,First Lien Term Loan,12/9/2019,7.00% (3ML+ 6.00%),1.00,,9/25/2026,17419,,15775,,16562,,0.5,%,(3)(8)(10),,,,,,,
282,,,,,,,,,,,15775,,16562,,0.5,%,,,,,,,,
283,"Sorenson Communications, LLC",Diversified Telecommunication Services,First Lien Term Loan,5/8/2019,6.72% (3ML+ 6.50%),-,,4/29/2024,7564,,7507,,7564,,0.2,%,(3)(8)(10),,,,,,,
284,,,,,,,,,,,7507,,7564,,0.2,%,,,,,,,,
285,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
286,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
287,Spectrum Holdings III Corp,Health Care Equipment & Supplies,Second Lien Term Loan,2/13/2018,8.00% (6ML+ 7.00%),1.00,,1/31/2026,,7500,,,7475,,,5845,,0.2,%,(3)(8)(10),,,,
288,,,,,,,,,,,7475,,5845,,0.2,%,,,,,,,,
289,"Staples, Inc.",Distributors,First Lien Term Loan,12/3/2019,5.25% (3ML+ 5.00%),-,,4/16/2026,8932,,8854,,8438,,0.3,%,(3)(8)(10),,,,,,,
290,,,,,,,,,,,8854,,8438,,0.3,%,,,,,,,,
291,Strategic Materials,Household Durables,Second Lien Term Loan,11/1/2017,8.75% (3ML+ 7.75%),1.00,,11/1/2025,7000,,6956,,5249,,0.2,%,(3)(8)(10),,,,,,,
292,,,,,,,,,,,6956,,5249,,0.2,%,,,,,,,,
293,Sudbury Mill CLO Ltd.,Structured Finance,Subordinated Structured Note,11/14/2013,"Residual Interest, current yield 0.00%",-,,1/19/2026,28200,,13875,,3135,,0.1,%,(5)(14)(17),,,,,,,
294,,,,,,,,,,,13875,,3135,,0.1,%,,,,,,,,
295,"Symphony CLO XIV, Ltd.",Structured Finance,Subordinated Structured Note,5/6/2014,"Residual Interest, current yield 0.00%",-,,7/14/2026,49250,,29076,,15318,,0.5,%,(5)(14)(17),,,,,,,
296,,,,,,,,,,,29076,,15318,,0.5,%,,,,,,,,
297,"Symphony CLO XV, Ltd.",Structured Finance,Subordinated Structured Note,10/17/2014,"Residual Interest, current yield 8.04%",-,,1/19/2032,63831,,43830,,22567,,0.7,%,(5)(14),,,,,,,
298,,,,,,,,,,,43830,,22567,,0.7,%,,,,,,,,
299,TGP HOLDINGS III LLC,Household Durables,Second Lien Term Loan,10/3/2017,9.50% (3ML+ 8.50%),1.00,,9/25/2025,3000,,2972,,3000,,0.1,%,(8)(10),,,,,,,
300,,,,,,,,,,,2972,,3000,,0.1,%,,,,,,,,
301,"The Octave Music Group, Inc. (f/k/a Touchtunes Interactive Networks, Inc.)",Entertainment,First Lien Term Loan,3/6/2020,6.25% (1ML+ 5.25%) plus 0.75% PIK,1.00,,5/29/2025,38573,,38225,,37002,,1.2,%,(8)(10)(39),,,,,,,
302,,,,,,,,,,,38225,,37002,,1.2,%,,,,,,,,
303,"Town & Country Holdings, Inc.",Distributors,First Lien Term Loan,1/26/2018,8.73% (3ML+ 8.50%),-,,1/26/2023,163521,,163521,,163521,,5.1,%,(3)(10)(39),,,,,,,
304,,,,,,,,,,,163521,,163521,,5.1,%,,,,,,,,
305,"Transplace Holdings, Inc.",Transportation Infrastructure,Second Lien Term Loan,10/16/2017,9.75% (6ML+ 8.75%),1.00,,10/6/2025,28104,,27683,,27683,,0.9,%,(3)(8)(10),,,,,,,
306,,,,,,,,,,,27683,,27683,,0.9,%,,,,,,,,
307,"United Sporting Companies, Inc. (18)",Distributors,Second Lien Term Loan,9/28/2012,12.75% (1ML+ 11.00%) plus 2.00% PIK,1.75,,11/16/2019,147423,,105431,,6580,,0.2,%,(9)(10),,,,,,,
308,,,,,,,,,,,105431,,6580,,0.2,%,,,,,,,,
309,"Universal Fiber Systems, LLC","Textiles, Apparel & Luxury Goods",Second Lien Term Loan,10/16/2015,10.50% (1ML+ 9.50%),1.00,,10/2/2022,37000,,36789,,34797,,1.1,%,(3)(8)(10),,,,,,,
310,,,,,,,,,,,36789,,34797,,1.1,%,,,,,,,,
311,"Upstream Newco, Inc.",Health Care Providers & Services,First Lien Term Loan,12/2/2019,4.65% (1ML+ 4.50%),-,,11/20/2026,8210,,8172,,8018,,0.2,%,(3)(8)(10),,,,,,,
312,Second Lien Term Loan,12/2/2019,8.65% (1ML+ 8.50%),-,,11/20/2027,22000,,21816,,21869,,0.7,%,(3)(8)(10),,,,,,,,,
313,,,,,,,,,,,29988,,29887,,0.9,%,,,,,,,,
314,"USG Intermediate, LLC",Leisure Products,"Revolving Line of Credit - $3,000 Commitment",4/15/2015,10.25% (1ML+ 9.25%),1.00,,8/24/2021,3000,,3000,,3000,,0.1,%,(10)(15),,,,,,,
315,Senior Secured Term Loan B,4/15/2015,12.75% (1ML+ 11.75%),1.00,,8/24/2022,16393,,16393,,16393,,0.5,%,(3)(10),,,,,,,,,
316,Equity,4/15/2015,,-,,,-,,1,,-,,-,%,(16),,,,,,,,,
317,,,,,,,,,,,19394,,19393,,0.6,%,,,,,,,,
318,Venio LLC,Professional Services,Second Lien Term Loan,2/19/2014,4.00% plus 10.00% PIK (3ML + 7.50%),-,,2/19/2020,18196,,18196,,18196,,0.6,%,(10)(39),,,,,,,
319,,,,,,,,,,,18196,,18196,,0.6,%,,,,,,,,
320,"Versant Health Holdco, Inc. (f/k/a Wink Holdco, Inc.)",Insurance,Second Lien Term Loan,12/12/2017,7.75% (1ML+ 6.75%),1.00,,12/1/2025,3000,,2990,,3000,,0.1,%,(3)(8)(10),,,,,,,
321,,,,,,,,,,,2990,,3000,,0.1,%,,,,,,,,
322,"Voya CLO 2012-4, Ltd.",Structured Finance,Subordinated Structured Note,11/5/2012,"Residual Interest, current yield 5.31%",-,,10/15/2030,40613,,30399,,23584,,0.7,%,(5)(14),,,,,,,
323,,,,,,,,,,,30399,,23584,,0.7,%,,,,,,,,
324,Portfolio Company,Industry,Investments(1)(37),Acquisition Date(44),Coupon/Yield,Floor,Legal Maturity,Principal Value,Amortized Cost,Fair  Value(2),% of Net Assets,,,,,,,,,,,,,
325,Non-Control/Non-Affiliate Investments (less than 5.00% voting control),,,,,,,,,,,,,,,,,,,,,,,
326,"Voya CLO 2014-1, Ltd.",Structured Finance,Subordinated Structured Note,2/5/2014,"Residual Interest, current yield 4.95%",-,,4/18/2031,,40772,,,30683.0,,,18428,,0.6,%,(5)(14),,,,
327,,,,,,,,,,,30683,,18428.0,,0.6,%,,,,,,,,
328,"Voya CLO 2016-3, Ltd.",Structured Finance,Subordinated Structured Note,9/30/2016,"Residual Interest, current yield 8.36%",-,,10/20/2031,28100,,26204,,19485.0,,0.6,%,(5)(14),,,,,,,
329,,,,,,,,,,,26204,,19485.0,,0.6,%,,,,,,,,
330,"Voya CLO 2017-3, Ltd.",Structured Finance,Subordinated Structured Note,6/13/2017,"Residual Interest, current yield 9.80%",-,,7/22/2030,44885,,49945,,39467.0,,1.3,%,(5)(14),,,,,,,
331,,,,,,,,,,,49945,,39467.0,,1.3,%,,,,,,,,
332,"VT Topco, Inc.",Commercial Services & Supplies,Second Lien Term Loan,8/23/2018,7.15% (1ML+ 7.00%),-,,8/17/2026,7000,,6974,,6688.0,,0.2,%,,,,,,,,
333,,,,,,,,,,,6974,,6688.0,,0.2,%,,,,,,,,
334,Total Non-Control/Non-Affiliate Investments (Level 3),,,3335811,,,2816638,,88.5,%,,,,,,,,,,,,,,
335,Total Portfolio Investments (Level 3),,,5828931,,,5386385,,169.2,%,,,,,,,,,,,,,,
336,Machinery,46461,,-,,-,,-,,-,,-,,-,,46461.0,,,,,,,,
337,Media,64229,,-,,35000,,-,,-,,-,,-,,99229.0,,,,,,,,
338,Paper & Forest Products,4404,,-,,11404,,-,,-,,-,,-,,15808.0,,,,,,,,
339,Professional Services,28794,,-,,65923,,-,,-,,-,,-,,94717.0,,,,,,,,
340,Real Estate Management & Development,31537,,-,,-,,-,,-,,-,,-,,31537.0,,,,,,,,
341,Software,8386,,-,,66813,,-,,-,,-,,-,,75199.0,,,,,,,,
342,"Technology Hardware, Storage & Peripherals",-,,-,,12419,,-,,-,,-,,-,,12419.0,,,,,,,,
343,"Textiles, Apparel & Luxury Goods",165390,,-,,36789,,-,,-,,-,,-,,202179.0,,,,,,,,
344,Transportation Infrastructure,-,,-,,27683,,-,,-,,-,,-,,27683.0,,,,,,,,
345,Structured Finance (A),-,,-,,-,,-,,1100944,,-,,-,,1100944.0,,,,,,,,
346,Total Non-Control/Non-Affiliate,,1287456,,,-,,,931127,,,3979,,,1100944.0,,,-,,,12305.0,3335811.0,,
347,Total Portfolio Investment Cost,,2568987,,,2873,,,1432812,,,3979,,,1100944.0,,,48194,,,671142.0,5828931.0,,
348,Affiliate Investments,,,,,,,,,,,,,,,,,,,,,,,
349,Distributors,,-,,,-,,,-,,,-,,,-,,,-,,,-,-,-,%
350,Diversified Consumer Services,-,,2873,,117405,,-,,-,,53262,,63649,,237189.0,,7.5,%,,,,,
351,"Textiles, Apparel & Luxury Goods",-,,-,,-,,-,,-,,-,,24986,,24986.0,,0.8,%,,,,,
352,Total Affiliate Investments,,-,,,2873,,,117405,,,-,,,-,,,53262,,,88635,262175,8.2,%
353,Fair Value % of Net Assets,-,%,0.1,%,3.6,%,-,%,-,%,1.7,%,2.8,%,8.2,%,,,,,,,
354,Non-Control/Non-Affiliate Investments,,,,,,,,,,,,,,,,,,,,,,,
355,Air Freight & Logistics,,-,,,-,,,10386,,,-,,,-,,,-,,,-,10386,0.3,%
356,Auto Components,27859,,-,,24160,,-,,-,,-,,-,,52019.0,,1.6,%,,,,,
357,Chemicals,31222,,-,,-,,-,,-,,-,,-,,31222.0,,1.0,%,,,,,
358,Commercial Services & Supplies,40325,,-,,173869,,-,,-,,-,,8419,,222613.0,,7.0,%,,,,,
359,Communications Equipment,9007,,-,,45184,,-,,-,,-,,-,,54191.0,,1.7,%,,,,,
360,Consumer Finance,29210,,-,,2870,,-,,-,,-,,-,,32080.0,,1.0,%,,,,,
361,Distributors,171959,,-,,6580,,-,,-,,-,,-,,178539.0,,5.6,%,,,,,
362,Diversified Financial Services,30165,,-,,-,,-,,-,,-,,-,,30165.0,,0.9,%,,,,,
363,Diversified Telecommunication Services,17035,,-,,39082,,-,,-,,-,,-,,56117.0,,1.8,%,,,,,
364,Entertainment,49040,,-,,-,,-,,-,,-,,-,,49040.0,,1.5,%,,,,,
365,Food Products,-,,-,,29938,,-,,-,,-,,-,,29938.0,,0.9,%,,,,,
366,Health Care Equipment & Supplies,-,,-,,5845,,-,,-,,-,,-,,5845.0,,0.2,%,,,,,
367,Health Care Providers & Services,151154,,-,,113555,,-,,-,,-,,-,,264709.0,,8.3,%,,,,,
368,"Hotels, Restaurants & Leisure",21721,,-,,-,,-,,-,,-,,-,,21721.0,,0.7,%,,,,,
369,Household Durables,-,,-,,8249,,3980,,-,,-,,5810,,18039.0,,0.6,%,,,,,
370,Household Products,24375,,-,,-,,-,,-,,-,,-,,24375.0,,0.8,%,,,,,
371,Insurance,-,,-,,16978,,-,,-,,-,,-,,16978.0,,0.5,%,,,,,
372,Interactive Media & Services,195577,,-,,-,,-,,-,,-,,-,,195577.0,,6.1,%,,,,,
373,Internet & Direct Marketing Retail,16562,,-,,-,,-,,-,,-,,-,,16562.0,,0.5,%,,,,,
374,IT Services,91857,,-,,85750,,-,,-,,-,,-,,177607.0,,5.6,%,,,,,
375,Leisure Products,25386,,-,,-,,-,,-,,-,,-,,25386.0,,0.8,%,,,,,
376,Machinery,44265,,-,,-,,-,,-,,-,,-,,44265.0,,1.4,%,,,,,
377,Media,62654,,-,,7386,,-,,-,,-,,-,,70040.0,,2.2,%,,,,,
378,Paper & Forest Products,4404,,-,,11404,,-,,-,,-,,-,,15808.0,,0.5,%,,,,,
379,Professional Services,29369,,-,,67363,,-,,-,,-,,-,,96732.0,,3.0,%,,,,,
380,Real Estate Management & Development,31537,,-,,-,,-,,-,,-,,-,,31537.0,,1.0,%,,,,,
381,Software,8458,,-,,65928,,-,,-,,-,,-,,74386.0,,2.3,%,,,,,
382,"Technology Hardware, Storage & Peripherals",-,,-,,12377,,-,,-,,-,,-,,12377.0,,0.4,%,,,,,
383,"Textiles, Apparel & Luxury Goods",165390,,-,,34797,,-,,-,,-,,-,,200187.0,,6.3,%,,,,,
384,Transportation Infrastructure,-,,-,,27683,,-,,-,,-,,-,,27683.0,,0.9,%,,,,,
385,Structured Finance (A),-,,-,,-,,-,,730514,,-,,-,,730514.0,,23.0,%,,,,,
386,Total Non-Control/Non-Affiliate,,1278531,,,-,,,789384,,,3980,,,730514,,,-,,,14229.0,2816638.0,88.5,%
387,Fair Value % of Net Assets,40.2,%,-,%,24.8,%,0.1,%,23.0,%,-,%,0.4,%,88.5,%,,,,,,,
388,Total Portfolio,,2465385,,,2873,,,1293955,,,3980,,,730514,,,53262,,,836416.0,5386385.0,169.3,%
389,Fair Value % of Net Assets,77.5,%,0.1,%,40.7,%,0.1,%,22.9,%,1.7,%,26.3,%,169.3,%,,,,,,,
390,Entertainment,50601,,-,,-,,-,,-,,-,,-,,50601.0,,,,,,,,
391,Food Products,-,,-,,24853,,-,,-,,-,,-,,24853.0,,,,,,,,
392,Health Care Equipment & Supplies,-,,-,,7474,,-,,-,,-,,-,,7474.0,,,,,,,,
393,Health Care Providers & Services,152900,,-,,113235,,-,,-,,-,,-,,266135.0,,,,,,,,
394,"Hotels, Restaurants & Leisure",23501,,-,,-,,-,,-,,-,,-,,23501.0,,,,,,,,
395,Household Durables,-,,-,,9924,,3990,,-,,-,,2001,,15915.0,,,,,,,,
396,Household Products,24437,,-,,-,,-,,-,,-,,-,,24437.0,,,,,,,,
397,Insurance,-,,-,,12796,,-,,-,,-,,-,,12796.0,,,,,,,,
398,Interactive Media & Services,200728,,-,,-,,-,,-,,-,,-,,200728.0,,,,,,,,
399,Internet & Direct Marketing Retail,15706,,-,,-,,-,,-,,-,,-,,15706.0,,,,,,,,
400,IT Services,117574,,-,,85711,,-,,-,,-,,-,,203285.0,,,,,,,,
401,Leisure Products,24518,,-,,-,,-,,-,,-,,1,,24519.0,,,,,,,,
402,Machinery,48745,,-,,-,,-,,-,,-,,-,,48745.0,,,,,,,,
403,Media,64630,,-,,35000,,-,,-,,-,,-,,99630.0,,,,,,,,
404,Paper & Forest Products,4393,,-,,11395,,-,,-,,-,,-,,15788.0,,,,,,,,
405,Professional Services,28910,,-,,75254,,-,,-,,-,,-,,104164.0,,,,,,,,
406,Real Estate Management & Development,31747,,-,,-,,-,,-,,-,,-,,31747.0,,,,,,,,
407,Software,8425,,-,,66783,,-,,-,,-,,-,,75208.0,,,,,,,,
408,"Technology Hardware, Storage & Peripherals",-,,-,,12415,,-,,-,,-,,-,,12415.0,,,,,,,,
409,"Textiles, Apparel & Luxury Goods",166307,,-,,36762,,-,,-,,-,,-,,203069.0,,,,,,,,
410,Transportation Infrastructure,-,,-,,27662,,-,,-,,-,,-,,27662.0,,,,,,,,
411,Structured Finance (A),-,,-,,-,,-,,1089079,,-,,-,,1089079.0,,,,,,,,
412,Total Non-Control/Non-Affiliate,,1298671,,,-,,,928464,,,3990,,,1089079.0,,,-,,,12305.0,3332509.0,,
413,Total Portfolio Investment Cost,,2615252,,,1981,,,1428648,,,3990,,,1089079.0,,,43935,,,599833.0,5782718.0,,
414,Structured Finance (A),79200,,-,,-,,-,,-,,-,,-,,79200,,2.6,%,,,,,
415,Total Control Investments,,1167383,,,-,,,388637,,,-,,,-,,,-,,,703272,2259292.0,73.9,%
416,Fair Value % of Net Assets,38.2,%,,12.7,%,-,%,-,%,-,%,23.0,%,73.9,%,,,,,,,,
