,Industry,Company,Investment Type,Spread Above Index,Interest Rate,Maturity Date,Principal Shares,Amortized Cost,Percentage of Net Assets,Fair Value,10,11,12,13
241,No value,281,"Aris Teleradiology Company, LLC  *",Senior loan,L + 5.50(c),6.83,,2699.0,1.0,2679.0,0.2,2322,,
242,No value,282,"Aris Teleradiology Company, LLC",Senior loan,L + 5.50(c),6.81,,25.0,1.0,25.0,0,21,,
243,No value,283,"Avalign Technologies, Inc.  ^",Senior loan,L + 4.50(a),5.74,,1442.0,1.0,1437.0,0.2,1438,,
244,No value,284,"BIORECLAMATIONIVT, LLC  *^#",One stop,L + 5.75(a),6.99,,15764.0,1.0,15586.0,1.7,15764,,
245,No value,285,"BIORECLAMATIONIVT, LLC",One stop,P + 4.75(e),9.00,,55.0,1.0,54.0,0,55,,
246,No value,286,"California Cryobank, LLC  ^",One stop,L + 5.50(c),6.83,,1479.0,1.0,1473.0,0.2,1479,,
247,No value,287,"California Cryobank, LLC  ^",One stop,L + 5.50(c),6.83,,567.0,1.0,561.0,0.1,567,,
248,No value,288,"California Cryobank, LLC  ^",One stop,L + 5.50(c),6.83,,189.0,1.0,189.0,0,189,,
249,No value,289,"California Cryobank, LLC  (4)",One stop,L + 5.50,N/A  (5),,0.0,1.0,,),0,0,
250,No value,290,"CLP Healthcare Services, Inc.  ^",Senior loan,L + 5.25(c),6.58,,3924.0,1.0,3897.0,0.4,3846,,
251,No value,291,Curo Health Services LLC  #,Senior loan,L + 4.00(b)(c),5.31,,3273.0,1.0,3261.0,0.3,3283,,
252,No value,292,"DCA Investment Holding, LLC  *^#",One stop,L + 5.25(c),6.58,,18776.0,1.0,18515.0,2.0,18776,,
253,No value,293,"DCA Investment Holding, LLC  *^#",One stop,L + 5.25(c),6.58,,13467.0,1.0,13355.0,1.4,13467,,
254,No value,294,"DCA Investment Holding, LLC  #",One stop,L + 5.25(c),6.58,,2475.0,1.0,2436.0,0.3,2475,,
255,No value,295,"DCA Investment Holding, LLC",One stop,P + 4.25(e),8.50,,657.0,1.0,645.0,0.1,657,,
256,No value,296,"DCA Investment Holding, LLC  (4)",One stop,L + 5.25,N/A  (5),,0.0,1.0,,),0,0,
257,No value,297,Deca Dental Management LLC  *^,One stop,L + 6.25(c),7.58,,4086.0,1.0,4052.0,0.4,4086,,
258,No value,298,Deca Dental Management LLC,One stop,L + 6.25(a)(c),7.57,,497.0,1.0,493.0,0.1,497,,
259,No value,299,Deca Dental Management LLC,One stop,L + 6.25(a),7.49,,50.0,1.0,50.0,0,50,,
260,No value,300,Deca Dental Management LLC  (4),One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
261,No value,301,Delta Educational Systems  *(6),Senior loan,P + 6.75(e),9.00 cash/2.00 PIK,,1438.0,1.0,1433.0,0,0,,
262,No value,302,Delta Educational Systems  (4)(6),Senior loan,L + 6.00,N/A  (5),,0.0,1.0,0.0,0,(60,),
263,No value,303,Dental Holdings Corporation,One stop,L + 5.50(c),6.81,,7436.0,1.0,7339.0,0.8,7287,,
264,No value,304,Dental Holdings Corporation,One stop,L + 5.50(b),6.78,,1133.0,1.0,1121.0,0.1,1110,,
265,No value,305,Dental Holdings Corporation,One stop,L + 5.50(c),6.82,,220.0,1.0,211.0,0,198,,
266,No value,306,"eSolutions, Inc.  *^",One stop,L + 6.50(a),7.74,,20091.0,1.0,19787.0,2.1,20091,,
267,No value,307,"eSolutions, Inc.  (4)",One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,0,
268,No value,308,Excelligence Learning Corporation  ^,One stop,L + 6.00(a),7.24,,4854.0,1.0,4809.0,0.5,4854,,
269,No value,309,Eyecare Services Partners Holdings LLC,One stop,L + 6.25(c),7.58,,8006.0,1.0,7800.0,0.8,8006,,
270,No value,310,Eyecare Services Partners Holdings LLC,One stop,P + 5.25(e),9.50,,17.0,1.0,14.0,0,17,,
271,No value,311,Eyecare Services Partners Holdings LLC  (4),One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
272,No value,312,Eyecare Services Partners Holdings LLC  (4),One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
273,No value,313,"G & H Wire Company, Inc.  #",One stop,L + 5.50(c),6.81,,5642.0,1.0,5572.0,0.6,5585,,
274,No value,314,"G & H Wire Company, Inc.  (4)",One stop,L + 5.50,N/A  (5),,0.0,1.0,,),0,(1,)
275,No value,315,"Immucor, Inc.  #",Senior loan,L + 5.00(a),6.24,,1613.0,1.0,1592.0,0.2,1639,,
276,No value,316,"Joerns Healthcare, LLC  *^",One stop,L + 6.50(c),7.82,,3497.0,1.0,3462.0,0.3,3281,,
277,No value,317,"Kareo, Inc.",One stop,L + 9.00(b),10.27,,4518.0,1.0,4303.0,0.5,4518,,
278,No value,318,"Kareo, Inc.",One stop,L + 9.00,N/A  (5),,0.0,1.0,0.0,0,0,,
279,No value,319,"Katena Holdings, Inc.  ^",One stop,L + 6.25(c),7.58,,8611.0,1.0,8555.0,0.9,8439,,
280,No value,320,"Katena Holdings, Inc.  ^",One stop,L + 6.25(c),7.58,,841.0,1.0,836.0,0.1,824,,
281,No value,321,"Katena Holdings, Inc.",One stop,P + 5.25(e),9.50,,64.0,1.0,63.0,0,62,,
282,No value,322,"Lombart Brothers, Inc.  #",One stop,L + 6.75(c),8.08,,3631.0,1.0,3548.0,0.4,3631,,
283,No value,323,"Lombart Brothers, Inc.  #(7)",One stop,L + 6.75(c),8.08,,1664.0,1.0,1639.0,0.2,1664,,
284,No value,324,"Lombart Brothers, Inc.",One stop,P + 5.50(e),9.75,,36.0,1.0,35.0,0,36,,
285,No value,325,"Lombart Brothers, Inc.  (7)",One stop,L + 6.75,N/A  (5),,0.0,1.0,0.0,0,0,,
286,No value,327,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,
287,No value,328,"Maverick Healthcare Group, LLC  *",Senior loan,L + 7.50(a),7.25 cash/2.00 PIK,,1959.0,1.0,1959.0,0.2,1900,,
288,No value,329,"Maverick Healthcare Group, LLC",Senior loan,P + 6.50(e),5.25 cash/5.50 PIK,,82.0,1.0,82.0,0,82,,
289,No value,330,"MWD Management, LLC & MWD Services, Inc.  #",One stop,L + 5.25(c),6.58,,5925.0,1.0,5854.0,0.6,5925,,
290,No value,331,"MWD Management, LLC & MWD Services, Inc.  (4)",One stop,L + 5.25,N/A  (5),,0.0,1.0,,),0,0,
291,No value,332,"MWD Management, LLC & MWD Services, Inc.  (4)",One stop,L + 5.25,N/A  (5),,0.0,1.0,,),0,0,
292,No value,333,"Oliver Street Dermatology Holdings, LLC",One stop,L + 6.50(c),7.83,,9434.0,1.0,9226.0,1.0,9434,,
293,No value,334,"Oliver Street Dermatology Holdings, LLC",One stop,L + 6.50(c),7.83,,952.0,1.0,938.0,0.1,952,,
294,No value,335,"Oliver Street Dermatology Holdings, LLC",One stop,L + 6.50(a)(b)(c),7.78,,201.0,1.0,199.0,0,201,,
295,No value,336,"Oliver Street Dermatology Holdings, LLC",One stop,L + 6.50(c),7.81,,46.0,1.0,45.0,0,46,,
296,No value,337,"Oliver Street Dermatology Holdings, LLC  *",One stop,L + 6.50(c),7.83,,42.0,1.0,41.0,0,42,,
297,No value,338,"Oliver Street Dermatology Holdings, LLC",One stop,L + 6.50(c),7.83,,33.0,1.0,32.0,0,33,,
298,No value,339,"Oliver Street Dermatology Holdings, LLC",One stop,L + 6.50(c),7.83,,30.0,1.0,30.0,0,30,,
299,No value,340,"Oliver Street Dermatology Holdings, LLC  (4)",One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,0,
300,No value,341,"Oliver Street Dermatology Holdings, LLC  (4)",One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,0,
301,No value,342,"Pinnacle Treatment Centers, Inc.",One stop,L + 6.25(b),7.53,,9980.0,1.0,9768.0,1.0,9980,,
302,No value,343,"Pinnacle Treatment Centers, Inc.",One stop,P + 5.00(e),9.25,,30.0,1.0,29.0,0,30,,
303,No value,344,"Pinnacle Treatment Centers, Inc.  (4)",One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
304,No value,345,"PPT Management Holdings, LLC  ^",One stop,L + 6.00(c),7.33,,10223.0,1.0,10022.0,1.0,10018,,
305,No value,346,"PPT Management Holdings, LLC",One stop,L + 6.00(c),7.33,,135.0,1.0,132.0,0,132,,
306,No value,347,"PPT Management Holdings, LLC",One stop,L + 6.00(a),7.24,,50.0,1.0,46.0,0,46,,
307,No value,348,Premise Health Holding Corp.  *^#,One stop,L + 4.50(c),5.83,,14812.0,1.0,14753.0,1.5,14812,,
308,No value,349,Premise Health Holding Corp.  (4),One stop,L + 4.50,N/A  (5),,0.0,1.0,,),0,0,
309,No value,350,"Pyramid Healthcare, Inc.",One stop,L + 6.50(a),7.74,,150.0,1.0,148.0,0,150,,
310,No value,351,"Radiology Partners, Inc.  ^#",One stop,L + 5.75(c),7.08,,22345.0,1.0,22111.0,2.3,22345,,
311,No value,352,"Radiology Partners, Inc.",One stop,L + 5.75(c),7.08,,925.0,1.0,909.0,0.1,925,,
312,No value,353,"Radiology Partners, Inc.",One stop,L + 5.75(c),7.08,,701.0,1.0,700.0,0.1,701,,
313,No value,354,"Radiology Partners, Inc.  (4)",One stop,L + 5.75,N/A  (5),,0.0,1.0,,),0,0,
314,No value,355,"Reliant Pro ReHab, LLC  *",Senior loan,L + 5.00(c),6.33,,2474.0,1.0,2472.0,0.3,2474,,
315,No value,356,"Reliant Pro ReHab, LLC",Senior loan,P + 4.00(e),8.25,,352.0,1.0,351.0,0,352,,
316,No value,357,"Riverchase MSO, LLC  #",Senior loan,L + 5.25(c),6.58,,4981.0,1.0,4917.0,0.5,4981,,
317,No value,358,"Riverchase MSO, LLC",Senior loan,L + 5.25(c),6.58,,28.0,1.0,27.0,0,28,,
318,No value,359,RXH Buyer Corporation  *^,One stop,L + 5.75(c),7.08,,17259.0,1.0,17032.0,1.8,16914,,
319,No value,360,RXH Buyer Corporation  *,One stop,L + 5.75(c),7.08,,1953.0,1.0,1928.0,0.2,1914,,
320,No value,361,RXH Buyer Corporation,One stop,L + 5.75(c)(e),7.61,,55.0,1.0,52.0,0,51,,
321,No value,362,"SLMP, LLC",One stop,L + 6.00(a),7.24,,6196.0,1.0,6050.0,0.6,6196,,
322,No value,363,"SLMP, LLC",One stop,No Value,7.50 PIK,,83.0,1.0,83.0,0,83,,
323,No value,364,"SLMP, LLC  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
324,No value,365,"SLMP, LLC  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
325,No value,366,"Spear Education, LLC  ^",One stop,L + 6.00(c),7.30,,4644.0,1.0,4622.0,0.5,4644,,
326,No value,367,"Spear Education, LLC",One stop,L + 6.00(c),7.30,,75.0,1.0,75.0,0,75,,
327,No value,368,"Spear Education, LLC  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,0.0,0,(1,),
328,No value,369,"Summit Behavioral Holdings I, LLC  *",One stop,L + 5.00(a),6.24,,4338.0,1.0,4297.0,0.5,4338,,
329,No value,370,"Summit Behavioral Holdings I, LLC",One stop,L + 5.00(a),6.24,,113.0,1.0,112.0,0,113,,
330,No value,371,"Summit Behavioral Holdings I, LLC",One stop,L + 5.00(a),6.24,,5.0,1.0,5.0,0,5,,
331,No value,372,"WHCG Management, LLC  *",Senior loan,L + 4.75(c),6.08,,2394.0,1.0,2367.0,0.2,2394,,
332,No value,373,"WHCG Management, LLC  (4)",Senior loan,L + 4.75,N/A  (5),,0.0,1.0,,),0,0,
333,No value,375,"Healthcare, Education and Childcare - (continued)",,,,,,,,,,,
334,No value,376,"WHCG Management, LLC  (4)",Senior loan,L + 4.75,N/A  (5),,0.0,1.0,,),0,0,
335,No value,377,"WIRB-Copernicus Group, Inc.  *^",Senior loan,L + 5.00(c),6.33,,9812.0,1.0,9733.0,1.0,9812,,
336,No value,378,"WIRB-Copernicus Group, Inc.",Senior loan,L + 5.00,N/A  (5),,0.0,1.0,0.0,0,0,,
337,No value,379,"Young Innovations, Inc.  *",Senior loan,L + 5.00(c),6.33,,3587.0,1.0,3566.0,0.4,3587,,
338,No value,380,"Young Innovations, Inc.",Senior loan,L + 5.00(c),6.33,,9.0,1.0,9.0,0,9,,
339,No value,381,"Young Innovations, Inc.",328333.0,323739,33.9,324658.0,,,,,,,
340,No value,382,"Home and Office Furnishings, Housewares, and Durable Consumer",,,,,,,,,,,
341,No value,383,CST Buyer Company  ^,Senior loan,L + 6.25(c),7.58,,2642.0,1.0,2576.0,0.3,2642,,
342,No value,384,CST Buyer Company  (4),Senior loan,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
343,No value,385,"Plano Molding Company, LLC  *^#",One stop,L + 7.50(a),8.74,,14485.0,1.0,14331.0,1.3,12312,,
344,No value,386,"Plano Molding Company, LLC  *^#",17127.0,16906,1.6,14954.0,,,,,,,
345,No value,387,"Hotels, Motels, Inns, and Gaming",,,,,,,,,,,
346,No value,388,"Aimbridge Hospitality, LLC  *^",One stop,L + 5.50(a),6.74,,10041.0,1.0,9875.0,1.0,10041,,
347,No value,389,"Aimbridge Hospitality, LLC",One stop,L + 5.50(a),6.74,,16.0,1.0,15.0,0,16,,
348,No value,390,"Aimbridge Hospitality, LLC  (4)",One stop,L + 5.50,N/A  (5),,0.0,1.0,,),0,0,
349,No value,391,"Aimbridge Hospitality, LLC  (4)",10057.0,9889,1.0,10057.0,,,,,,,
350,No value,392,Insurance,,,,,,,,,,,
351,No value,393,"Captive Resources Midco, LLC  *^#",One stop,L + 5.75(a),6.99,,24253.0,1.0,24075.0,2.5,24253,,
352,No value,394,"Captive Resources Midco, LLC  (4)",One stop,L + 5.75,N/A  (5),,0.0,1.0,,),0,0,
353,No value,395,"Captive Resources Midco, LLC  (4)",One stop,L + 5.75,N/A  (5),,0.0,1.0,,),0,0,
354,No value,396,"Higginbotham Insurance Agency, Inc.  *",Senior loan,L + 5.00(a),6.24,,1595.0,1.0,1584.0,0.2,1595,,
355,No value,397,"Internet Pipeline, Inc.",One stop,L + 7.25(a),8.49,,4847.0,1.0,4743.0,0.5,4917,,
356,No value,398,"Internet Pipeline, Inc.  *",One stop,L + 6.25(a),7.48,,2098.0,1.0,2078.0,0.2,2046,,
357,No value,399,"Internet Pipeline, Inc.  *",One stop,L + 6.25(a),7.48,,794.0,1.0,786.0,0.1,775,,
358,No value,400,"Internet Pipeline, Inc.  (4)",One stop,L + 7.25,N/A  (5),,0.0,1.0,,),0,1,
359,No value,401,"RSC Acquisition, Inc.  #",Senior loan,L + 5.25(c),6.58,,919.0,1.0,913.0,0.1,919,,
360,No value,402,"RSC Acquisition, Inc.  (4)",Senior loan,L + 5.25,N/A  (5),,0.0,1.0,,),0,0,
361,No value,403,"RSC Acquisition, Inc.  (4)",34506.0,34152,3.6,34506.0,,,,,,,
362,No value,404,"Leisure, Amusement, Motion Pictures, Entertainment",,,,,,,,,,,
363,No value,405,"NFD Operating, LLC  #",One stop,L + 7.00(c),8.30,,2325.0,1.0,2299.0,0.2,2325,,
364,No value,406,"NFD Operating, LLC",One stop,L + 7.00,N/A  (5),,0.0,1.0,0.0,0,0,,
365,No value,407,"NFD Operating, LLC  (4)",One stop,L + 7.00,N/A  (5),,0.0,1.0,,),0,0,
366,No value,408,"PADI Holdco, Inc.  *^#",One stop,L + 6.50(c),7.84,,19550.0,1.0,19278.0,2.1,19550,,
367,No value,409,"PADI Holdco, Inc.",One stop,L + 6.50(b)(c),7.78,,72.0,1.0,70.0,0,72,,
368,No value,410,"Self Esteem Brands, LLC  *^#",Senior loan,L + 4.75(a),5.99,,17983.0,1.0,17889.0,1.9,17983,,
369,No value,411,"Self Esteem Brands, LLC  (4)",Senior loan,L + 4.75,N/A  (5),,0.0,1.0,,),0,0,
370,No value,412,"Teaching Company, The",One stop,L + 7.00(a)(c),8.32,,18835.0,1.0,18673.0,1.9,18459,,
371,No value,413,"Teaching Company, The",One stop,L + 7.00(a)(e),8.24,,25.0,1.0,24.0,0,23,,
372,No value,414,"Titan Fitness, LLC  *",One stop,L + 7.00(a),8.25,,13088.0,1.0,12987.0,1.4,13088,,
373,No value,415,"Titan Fitness, LLC",One stop,L + 7.00(a),8.25,,1972.0,1.0,1962.0,0.2,1972,,
374,No value,416,"Titan Fitness, LLC  *",One stop,L + 7.00(a),8.25,,1733.0,1.0,1725.0,0.2,1733,,
375,No value,417,"Titan Fitness, LLC  (4)",One stop,L + 7.00,N/A  (5),,0.0,1.0,,),0,0,
376,No value,418,"Titan Fitness, LLC  (4)",One stop,L + 7.00,N/A  (5),,0.0,1.0,,),0,0,
377,No value,419,"Titan Fitness, LLC  (4)",75583.0,74879,7.9,75205.0,,,,,,,
378,No value,421,Oil and Gas,,,,,,,,,,,
379,No value,422,"Drilling Info, Inc.  *^#",One stop,L + 6.25(b),7.52,,6399.0,1.0,6362.0,0.7,6351,,
380,No value,423,"Drilling Info, Inc.",One stop,L + 6.25,N/A  (5),,0.0,1.0,0.0,0,0,,
381,No value,424,"Drilling Info, Inc.",6399.0,6362,0.7,6351.0,,,,,,,
382,No value,425,Personal and Non Durable Consumer Products (Mfg. Only),,,,,,,,,,,
383,No value,426,"Georgica Pine Clothiers, LLC",One stop,L + 5.50(c),6.83,,5678.0,1.0,5600.0,0.6,5678,,
384,No value,427,"Georgica Pine Clothiers, LLC  ^",One stop,L + 5.50(c),6.83,,495.0,1.0,491.0,0.1,495,,
385,No value,428,"Georgica Pine Clothiers, LLC  *",One stop,L + 5.50(c),6.83,,347.0,1.0,344.0,0.1,347,,
386,No value,429,"Georgica Pine Clothiers, LLC",One stop,L + 5.50(c),6.83,,58.0,1.0,57.0,0,58,,
387,No value,430,"IMPLUS Footwear, LLC",One stop,L + 6.75(c),8.08,,10307.0,1.0,10165.0,1.1,10307,,
388,No value,431,"IMPLUS Footwear, LLC",One stop,L + 6.75(c),8.07,,1815.0,1.0,1790.0,0.2,1815,,
389,No value,432,"Massage Envy, LLC  *^#",One stop,L + 6.75(c)(e),8.09,,35191.0,1.0,34868.0,3.7,35191,,
390,No value,433,"Massage Envy, LLC",One stop,L + 6.75(a),7.99,,316.0,1.0,306.0,0,316,,
391,No value,434,"Massage Envy, LLC",One stop,L + 6.75(c)(e),8.07,,100.0,1.0,99.0,0,100,,
392,No value,435,"Massage Envy, LLC",One stop,L + 6.75(c),8.07,,40.0,1.0,40.0,0,40,,
393,No value,436,"Massage Envy, LLC",One stop,L + 6.75(c)(e),8.08,,35.0,1.0,35.0,0,35,,
394,No value,437,"Massage Envy, LLC",One stop,L + 6.75(c)(e),8.10,,15.0,1.0,15.0,0,15,,
395,No value,438,"Massage Envy, LLC  (4)",One stop,L + 6.75,N/A  (5),,0.0,1.0,,),0,0,
396,No value,439,"Orthotics Holdings, Inc.  *#",One stop,L + 6.00(a),7.24,,8290.0,1.0,8222.0,0.8,8125,,
397,No value,440,"Orthotics Holdings, Inc.  *#(7)",One stop,L + 6.00(a),7.24,,1359.0,1.0,1348.0,0.1,1332,,
398,No value,441,"Orthotics Holdings, Inc.  (4)(7)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
399,No value,442,"Orthotics Holdings, Inc.  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,(4,)
400,No value,443,Team Technologies Acquisition Company  ^,Senior loan,L + 5.00(c)(e),6.32,,4287.0,1.0,4284.0,0.4,4278,,
401,No value,444,Team Technologies Acquisition Company  #,Senior loan,L + 5.50(c)(e),6.82,,790.0,1.0,789.0,0.1,799,,
402,No value,445,Team Technologies Acquisition Company  (4),Senior loan,L + 5.00,N/A  (5),,0.0,1.0,0.0,0,(1,),
403,No value,446,Team Technologies Acquisition Company  (4),69123.0,68441,7.2,68926.0,,,,,,,
404,No value,447,"Personal, Food and Miscellaneous Services",,,,,,,,,,,
405,No value,448,"Community Veterinary Partners, LLC",One stop,L + 5.50(c),6.83,,42.0,1.0,41.0,0,42,,
406,No value,449,"Ignite Restaurant Group, Inc.  ^(6)",One stop,P + 6.00(e),10.25,,4312.0,1.0,4285.0,0.1,1186,,
407,No value,450,PetVet Care Centers LLC  *^#,One stop,L + 6.00(c),7.33,,16780.0,1.0,16620.0,1.8,16780,,
408,No value,451,PetVet Care Centers LLC,One stop,L + 6.00(c),7.32,,430.0,1.0,421.0,0,430,,
409,No value,452,PetVet Care Centers LLC,One stop,L + 6.00(b),7.27,,69.0,1.0,66.0,0,69,,
410,No value,453,"Southern Veterinary Partners, LLC  #",One stop,L + 5.00(a),6.24,,3900.0,1.0,3873.0,0.4,3900,,
411,No value,454,"Southern Veterinary Partners, LLC",One stop,L + 5.00(a),6.23,,160.0,1.0,158.0,0,160,,
412,No value,455,"Southern Veterinary Partners, LLC",One stop,L + 5.00(a),6.23,,17.0,1.0,17.0,0,17,,
413,No value,456,Vetcor Professional Practices LLC  *^#,One stop,L + 6.00(c),7.33,,28750.0,1.0,28348.0,3.0,28750,,
414,No value,457,Vetcor Professional Practices LLC  *,One stop,L + 6.00(c),7.33,,956.0,1.0,949.0,0.1,956,,
415,No value,458,Vetcor Professional Practices LLC  #,One stop,L + 6.00(c),7.33,,948.0,1.0,934.0,0.1,948,,
416,No value,459,Vetcor Professional Practices LLC,One stop,L + 6.00(c),7.33,,861.0,1.0,849.0,0.1,861,,
417,No value,460,Vetcor Professional Practices LLC  #,One stop,L + 6.00(c),7.33,,745.0,1.0,745.0,0.1,745,,
418,No value,461,Vetcor Professional Practices LLC  ^,One stop,L + 6.00(c),7.33,,725.0,1.0,715.0,0.1,725,,
419,No value,462,Vetcor Professional Practices LLC  #,One stop,L + 6.00(c),7.33,,285.0,1.0,283.0,0,285,,
420,No value,463,Vetcor Professional Practices LLC  #,One stop,L + 6.00(c),7.33,,233.0,1.0,232.0,0,233,,
421,No value,464,Vetcor Professional Practices LLC,One stop,L + 6.00(c),7.33,,219.0,1.0,211.0,0,219,,
422,No value,465,Vetcor Professional Practices LLC,One stop,L + 6.00(c),7.33,,17.0,1.0,13.0,0,17,,
423,No value,466,"Veterinary Specialists of North America, LLC  ^",One stop,L + 5.25(c),6.56,,7406.0,1.0,7334.0,0.8,7406,,
424,No value,467,"Veterinary Specialists of North America, LLC",One stop,L + 5.25(c),6.58,,89.0,1.0,74.0,0,89,,
425,No value,469,"Personal, Food and Miscellaneous Services - (continued)",,,,,,,,,,,
426,No value,470,"Veterinary Specialists of North America, LLC  #",One stop,L + 5.25(c),6.56,,63.0,1.0,63.0,0,63,,
427,No value,471,"Veterinary Specialists of North America, LLC  (4)",One stop,L + 5.25,N/A  (5),,0.0,1.0,,),0,0,
428,No value,472,"Wetzel's Pretzels, LLC",One stop,L + 6.75(a),7.99,,6472.0,1.0,6332.0,0.7,6472,,
429,No value,473,"Wetzel's Pretzels, LLC  (4)",One stop,L + 6.75,N/A  (5),,0.0,1.0,,),0,0,
430,No value,474,"Wetzel's Pretzels, LLC  (4)",73479.0,72560,7.3,70353.0,,,,,,,
431,No value,475,Printing and Publishing,,,,,,,,,,,
432,No value,476,"Brandmuscle, Inc.  ^",Senior loan,L + 5.00(c),6.33,,624.0,1.0,619.0,0.1,629,,
433,No value,477,"Marketo, Inc.",One stop,L + 9.50(c),10.83,,9940.0,1.0,9709.0,1.0,9940,,
434,No value,478,"Marketo, Inc.  (4)",One stop,L + 9.50,N/A  (5),,0.0,1.0,,),0,0,
435,No value,479,"Marketo, Inc.  (4)",10564.0,10327,1.1,10569.0,,,,,,,
436,No value,480,Retail Stores,,,,,,,,,,,
437,No value,481,Batteries Plus Holding Corporation,One stop,L + 6.75(a),7.99,,13722.0,1.0,13440.0,1.4,13722,,
438,No value,482,Batteries Plus Holding Corporation  (4),One stop,L + 6.75,N/A  (5),,0.0,1.0,,),0,0,
439,No value,483,"CVS Holdings I, LP  *^#",One stop,L + 6.25(a),7.49,,22058.0,1.0,21773.0,2.3,22058,,
440,No value,484,"CVS Holdings I, LP  *",One stop,L + 6.25(a),7.49,,318.0,1.0,313.0,0,318,,
441,No value,485,"CVS Holdings I, LP",One stop,L + 6.25(a),7.49,,34.0,1.0,28.0,0,34,,
442,No value,486,"CVS Holdings I, LP  (4)",One stop,L + 6.25,N/A  (5),,0.0,1.0,,),0,0,
443,No value,487,"Cycle Gear, Inc.  ^",One stop,L + 6.50(c),7.80,,10427.0,1.0,10321.0,1.1,10427,,
444,No value,488,"Cycle Gear, Inc.",One stop,L + 6.50(c),7.82,,607.0,1.0,602.0,0.1,607,,
445,No value,489,"Cycle Gear, Inc.  (4)",One stop,L + 6.50,N/A  (5),,0.0,1.0,,),0,0,
446,No value,490,"DTLR, Inc.  *^#",One stop,L + 6.50(c),7.81,,22962.0,1.0,22626.0,2.4,22617,,
447,No value,491,"Elite Sportswear, L.P.",Senior loan,L + 5.25(c),6.58,,6942.0,1.0,6854.0,0.7,6957,,
448,No value,492,"Elite Sportswear, L.P.",Senior loan,L + 5.00(c),6.33,,2792.0,1.0,2756.0,0.3,2779,,
449,No value,493,"Elite Sportswear, L.P.",Senior loan,L + 5.25(c),6.58,,1436.0,1.0,1423.0,0.2,1439,,
450,No value,494,"Elite Sportswear, L.P.  *",Senior loan,L + 5.25(c),6.55,,471.0,1.0,467.0,0.1,472,,
451,No value,495,"Elite Sportswear, L.P.",Senior loan,L + 5.25(c),6.58,,218.0,1.0,215.0,0,218,,
452,No value,496,"Elite Sportswear, L.P.  *",Senior loan,L + 5.25(a),6.49,,208.0,1.0,206.0,0,209,,
453,No value,497,"Elite Sportswear, L.P.",One stop,L + 5.00,N/A  (5),,0.0,1.0,0.0,0,0,,
454,No value,498,"Elite Sportswear, L.P.  (4)",Senior loan,L + 5.00,N/A  (5),,0.0,1.0,,),0,(4,)
455,No value,499,"Feeders Supply Company, LLC",One stop,L + 5.75(a),6.99,,5049.0,1.0,4966.0,0.5,5049,,
456,No value,500,"Feeders Supply Company, LLC",Subordinated debt,No Value,12.50 cash/7.00 PIK,,59.0,1.0,59.0,0,59,,
457,No value,501,"Feeders Supply Company, LLC",One stop,L + 5.75,N/A  (5),,0.0,1.0,0.0,0,0,,
458,No value,502,"Marshall Retail Group LLC, The  ^#",One stop,L + 6.00(c),7.30,,12023.0,1.0,11950.0,1.3,12023,,
459,No value,503,"Marshall Retail Group LLC, The",One stop,P + 4.75(e),9.00,,293.0,1.0,279.0,0,293,,
460,No value,504,Mills Fleet Farm Group LLC  *^,One stop,L + 5.50(a),6.74,,1815.0,1.0,1723.0,0.2,1815,,
461,No value,505,"Paper Source, Inc.  ^#",One stop,L + 6.25(c),7.58,,12626.0,1.0,12558.0,1.3,12626,,
462,No value,506,"Paper Source, Inc.  *",One stop,L + 6.25(c),7.58,,1677.0,1.0,1666.0,0.2,1677,,
463,No value,507,"Paper Source, Inc.",One stop,P + 5.00(e),9.25,,525.0,1.0,515.0,0.1,525,,
464,No value,508,Pet Holdings ULC  *^(7)(8),One stop,L + 5.50(c),6.80,,14627.0,1.0,14394.0,1.5,14627,,
465,No value,509,Pet Holdings ULC  (7)(8),One stop,L + 5.50(c),6.81,,56.0,1.0,55.0,0,56,,
466,No value,510,Pet Holdings ULC  (4)(7)(8),One stop,L + 5.50,N/A  (5),,0.0,1.0,,),0,0,
467,No value,511,"PetPeople Enterprises, LLC  #",One stop,L + 6.00(c),7.32,,3145.0,1.0,3107.0,0.3,3114,,
468,No value,512,"PetPeople Enterprises, LLC",One stop,No Value,8.25 PIK,,155.0,1.0,155.0,0,155,,
469,No value,513,"PetPeople Enterprises, LLC  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,0.0,0,(1,),
470,No value,514,"PetPeople Enterprises, LLC  (4)",One stop,L + 6.00,N/A  (5),,0.0,1.0,,),0,0,
